,PSA
2001-07-11,3534307560
2001-07-12,3524700200
2001-07-13,3529503880
2001-07-16,3509088240
2001-07-17,3513891920
2001-07-18,3558325960
2001-07-19,3563129640
2001-07-20,3572737000
2001-07-23,3578741600
2001-07-24,3553522280
2001-07-25,3554723200
2001-07-26,3553522280
2001-07-27,3536709400
2001-07-30,3530704800
2001-07-31,3545115840
2001-08-01,3578741600
2001-08-02,3633983920
2001-08-03,3635184840
2001-08-06,3671212440
2001-08-07,3692829000
2001-08-08,3739664880
2001-08-09,3842944000
2001-08-10,4021881080
2001-08-13,4003867280
2001-08-14,4035091200
2001-08-15,4113151000
2001-08-16,4083128000
2001-08-17,4085529840
2001-08-20,4131164800
2001-08-21,4155183200
2001-08-22,4165991479
2001-08-23,4167192400
2001-08-24,4137169400
2001-08-27,4131164800
2001-08-28,4104744560
2001-08-29,4047100400
2001-08-30,3993059000
2001-08-31,3982250719
2001-09-04,3957031400
2001-09-05,3935414840
2001-09-06,3883775280
2001-09-07,3878971599
2001-09-10,3914999200
2001-09-17,3842944000
2001-09-18,3928209320
2001-09-19,4012273719
2001-09-20,3993059000
2001-09-21,3951026800
2001-09-24,3902990000
2001-09-25,3930611159
2001-09-26,3902990000
2001-09-27,3963036000
2001-09-28,4011072800
2001-10-01,4045003200
2001-10-02,4020925800
2001-10-03,3935451029
2001-10-04,3973974869
2001-10-05,4019721930
2001-10-08,4020925800
2001-10-09,4066672860
2001-10-10,4095565740
2001-10-11,4175021160
2001-10-12,4095565740
2001-10-15,4134089580
2001-10-16,4165390200
2001-10-17,4142516669
2001-10-18,4087138650
2001-10-19,4069080599
2001-10-22,4001663880
2001-10-23,4007683230
2001-10-24,3958324560
2001-10-25,3924616200
2001-10-26,3970363259
2001-10-29,3972771000
2001-10-30,3946285860
2001-10-31,3959528430
2001-11-01,4014906450
2001-11-02,4037779980
2001-11-05,4007683230
2001-11-06,4072692210
2001-11-07,4087138650
2001-11-08,4149739890
2001-11-09,4097973480
2001-11-12,4117235400
2001-11-13,4159370849
2001-11-14,4175021160
2001-11-15,4231603050
2001-11-16,4185855990
2001-11-19,4166594070
2001-11-20,4143720540
2001-11-21,4175021160
2001-11-23,4195486950
2001-11-26,4147332150
2001-11-27,4093158000
2001-11-28,4117235400
2001-11-29,4111216050
2001-11-30,4093158000
2001-12-03,4063061250
2001-12-04,4082323169
2001-12-05,4096769610
2001-12-06,4149739890
2001-12-07,4201506300
2001-12-10,4187059860
2001-12-11,4195486950
2001-12-12,4126866360
2001-12-13,4090750259
2001-12-14,4124458619
2001-12-17,4143720540
2001-12-18,4099177349
2001-12-19,4067876730
2001-12-20,4011294840
2001-12-21,4006479360
2001-12-24,4046207070
2001-12-26,4047410939
2001-12-27,4010090970
2001-12-28,4026945150
2001-12-31,4020925800
2002-01-02,4125433180
2002-01-03,4183967260
2002-01-04,4207137000
2002-01-07,4191284019
2002-01-08,4194942400
2002-01-09,4201039700
2002-01-10,4197381320
2002-01-11,4219331600
2002-01-14,4279085140
2002-01-15,4316888400
2002-01-16,4341277600
2002-01-17,4390056000
2002-01-18,4377861400
2002-01-22,4369325180
2002-01-23,4365666800
2002-01-24,4403470060
2002-01-25,4426639800
2002-01-28,4438834400
2002-01-29,4452248460
2002-01-30,4493710100
2002-01-31,4464443060
2002-02-01,4509563080
2002-02-04,4521757680
2002-02-05,4512002000
2002-02-06,4530293900
2002-02-07,4509563080
2002-02-08,4515660380
2002-02-11,4565658240
2002-02-12,4535171740
2002-02-13,4553463640
2002-02-14,4538830120
2002-02-15,4553463640
2002-02-19,4524196600
2002-02-20,4561999860
2002-02-21,4497368480
2002-02-22,4526635520
2002-02-25,4540049580
2002-02-26,4516879840
2002-02-27,4509563080
2002-02-28,4482734960
2002-03-01,4521757680
2002-03-04,4526635520
2002-03-05,4615656100
2002-03-06,4666873420
2002-03-07,4646142600
2002-03-08,4586389060
2002-03-11,4518099300
2002-03-12,4512002000
2002-03-13,4481515500
2002-03-14,4555902560
2002-03-15,4529074440
2002-03-18,4519318760
2002-03-19,4512002000
2002-03-20,4503465780
2002-03-21,4522977140
2002-03-22,4560780400
2002-03-25,4552244180
2002-03-26,4554683100
2002-03-27,4548585800
2002-03-28,4513221460
2002-04-01,4593505400
2002-04-02,4631579910
2002-04-03,4627895280
2002-04-04,4611928550
2002-04-05,4634036330
2002-04-08,4627895280
2002-04-09,4654915900
2002-04-10,4742118810
2002-04-11,4738434180
2002-04-12,4782649740
2002-04-15,4796160050
2002-04-16,4731064920
2002-04-17,4654915900
2002-04-18,4670882630
2002-04-19,4667198000
2002-04-22,4654915900
2002-04-23,4613156760
2002-04-24,4645090220
2002-04-25,4654915900
2002-04-26,4602102870
2002-04-29,4588592560
2002-04-30,4663513370
2002-05-01,4728608500
2002-05-02,4772824060
2002-05-03,4783877950
2002-05-06,4754400910
2002-05-07,4712641770
2002-05-08,4704044300
2002-05-09,4634036330
2002-05-10,4513671750
2002-05-13,4464543350
2002-05-14,4399448220
2002-05-15,4390850750
2002-05-16,4396991800
2002-05-17,4409273900
2002-05-20,4383481490
2002-05-21,4338037720
2002-05-22,4328212040
2002-05-23,4396991800
2002-05-24,4358917290
2002-05-28,4404361060
2002-05-29,4495248600
2002-05-30,4506302490
2002-05-31,4512443540
2002-06-03,4509987120
2002-06-04,4512443540
2002-06-05,4508758910
2002-06-06,4451033040
2002-06-07,4419099580
2002-06-10,4406817480
2002-06-11,4486651130
2002-06-12,4400676430
2002-06-13,4401904640
2002-06-14,4396991800
2002-06-17,4419099580
2002-06-18,4422784210
2002-06-19,4432609890
2002-06-20,4452261250
2002-06-21,4513671750
2002-06-24,4446120200
2002-06-25,4482966500
2002-06-26,4495248600
2002-06-27,4498933230
2002-06-28,4556659100
2002-07-01,4557449950
2002-07-02,4504413320
2002-07-03,4487145580
2002-07-05,4499479680
2002-07-08,4476044890
2002-07-09,4437809180
2002-07-10,4397106650
2002-07-11,4313234770
2002-07-12,4298433850
2002-07-15,4254031090
2002-07-16,4277465880
2002-07-17,4279932700
2002-07-18,4120822809
2002-07-19,4143024190
2002-07-22,4070253000
2002-07-23,4001182039
2002-07-24,4049285030
2002-07-25,4170159210
2002-07-26,4293500210
2002-07-29,4535248570
2002-07-30,4599385890
2002-07-31,4656122750
2002-08-01,4614186810
2002-08-02,4468644430
2002-08-05,4478511710
2002-08-06,4395873240
2002-08-07,4376138680
2002-08-08,4310767950
2002-08-09,3932111080
2002-08-12,3934577900
2002-08-13,3860573300
2002-08-14,3909909700
2002-08-15,3879074450
2002-08-16,3945678590
2002-08-19,3897575600
2002-08-20,3891408550
2002-08-21,3940744950
2002-08-22,3879074450
2002-08-23,3934577900
2002-08-26,3953079049
2002-08-27,3956779280
2002-08-28,3953079049
2002-08-29,3954312460
2002-08-30,3934577900
2002-09-03,3928410850
2002-09-04,3977747250
2002-09-05,3955545870
2002-09-06,3975280429
2002-09-09,4023383419
2002-09-10,3974047020
2002-09-11,3951845640
2002-09-12,3918543570
2002-09-13,3941978360
2002-09-16,3945678590
2002-09-17,3935811310
2002-09-18,3913609930
2002-09-19,3932111080
2002-09-20,3953079049
2002-09-23,3961712919
2002-09-24,3937044720
2002-09-25,3909909700
2002-09-26,4033250700
2002-09-27,3953079049
2002-09-30,3934577900
2002-10-01,3958573050
2002-10-02,3925120320
2002-10-03,3925120320
2002-10-04,3859453850
2002-10-07,3796265360
2002-10-08,3729359900
2002-10-09,3588115040
2002-10-10,3643869590
2002-10-11,3683517270
2002-10-14,3661215450
2002-10-15,3766529600
2002-10-16,3733076870
2002-10-17,3764051620
2002-10-18,3760334650
2002-10-21,3760334650
2002-10-22,3716970000
2002-10-23,3704580100
2002-10-24,3698385150
2002-10-25,3716970000
2002-10-28,3694668180
2002-10-29,3667410400
2002-10-30,3655020500
2002-10-31,3645108580
2002-11-01,3624045750
2002-11-04,3664932420
2002-11-05,3647586560
2002-11-06,3710775050
2002-11-07,3729359900
2002-11-08,3692190200
2002-11-11,3685995250
2002-11-12,3772724550
2002-11-13,3772724550
2002-11-14,3834674050
2002-11-15,3829718090
2002-11-18,3811133240
2002-11-19,3822284150
2002-11-20,3837152030
2002-11-21,3833435060
2002-11-22,3830957080
2002-11-25,3865648800
2002-11-26,3840869000
2002-11-27,3853258900
2002-11-29,3854497890
2002-12-02,3933793250
2002-12-03,3921403350
2002-12-04,3866887790
2002-12-05,3870604760
2002-12-06,3861931830
2002-12-09,3884233650
2002-12-10,3865648800
2002-12-11,3822284150
2002-12-12,3821045160
2002-12-13,3842107990
2002-12-16,3874321730
2002-12-17,3878038700
2002-12-18,3859453850
2002-12-19,3854497890
2002-12-20,3874321730
2002-12-23,3964768000
2002-12-24,3954856080
2002-12-26,3942466180
2002-12-27,3954856080
2002-12-30,3983352850
2002-12-31,4003176690
2003-01-02,4043702020
2003-01-03,4068517620
2003-01-06,4142964420
2003-01-07,4094574000
2003-01-08,4057350600
2003-01-09,4031294220
2003-01-10,4011441740
2003-01-13,3972977560
2003-01-14,3969255220
2003-01-15,3935754160
2003-01-16,3878678280
2003-01-17,3831528640
2003-01-21,3834010200
2003-01-22,3819120840
2003-01-23,3852621900
2003-01-24,3778175100
2003-01-27,3770730420
2003-01-28,3769489640
2003-01-29,3827806300
2003-01-30,3785619780
2003-01-31,3840214100
2003-02-03,3856344240
2003-02-04,3867511260
2003-02-05,3876196720
2003-02-06,3868752040
2003-02-07,3846418000
2003-02-10,3888604520
2003-02-11,3869992820
2003-02-12,3852621900
2003-02-13,3876196720
2003-02-14,3862548140
2003-02-18,3901012320
2003-02-19,3924587140
2003-02-20,3997793160
2003-02-21,4057350600
2003-02-24,4039979680
2003-02-25,4067276840
2003-02-26,4053628260
2003-02-27,4092092439
2003-02-28,4094574000
2003-03-03,4119389600
2003-03-04,4119389600
2003-03-05,4129315840
2003-03-06,4119389600
2003-03-07,4111944920
2003-03-10,4077203080
2003-03-11,4063554500
2003-03-12,3987866920
2003-03-13,3958088200
2003-03-14,3595780440
2003-03-17,3794305240
2003-03-18,3728543900
2003-03-19,3759563400
2003-03-20,3800509140
2003-03-21,3909697780
2003-03-24,3815398500
2003-03-25,3846418000
2003-03-26,3896049200
2003-03-27,3863788920
2003-03-28,3846418000
2003-03-31,3759563400
2003-04-01,3875028900
2003-04-02,3926114490
2003-04-03,3948542310
2003-04-04,3977200080
2003-04-07,3997135920
2003-04-08,3970970130
2003-04-09,3974708100
2003-04-10,3989659980
2003-04-11,3922376520
2003-04-14,3965986170
2003-04-15,3980938050
2003-04-16,4018317750
2003-04-17,4086847199
2003-04-21,4111767000
2003-04-22,4150392690
2003-04-23,4154130660
2003-04-24,4121734920
2003-04-25,4103045070
2003-04-28,4063173390
2003-04-29,4081863239
2003-04-30,4005857850
2003-05-01,4046975519
2003-05-02,4096815120
2003-05-05,4115504970
2003-05-06,4117996949
2003-05-07,4080617250
2003-05-08,4100553089
2003-05-09,4177804470
2003-05-12,4276237680
2003-05-13,4272499710
2003-05-14,4255055850
2003-05-15,4296173520
2003-05-16,4311125400
2003-05-19,4267515750
2003-05-20,4271253720
2003-05-21,4298665500
2003-05-22,4360965000
2003-05-23,4348505100
2003-05-27,4332307230
2003-05-28,4323585300
2003-05-29,4175312489
2003-05-30,4257547830
2003-06-02,4298665500
2003-06-03,4311125400
2003-06-04,4403328660
2003-06-05,4423264500
2003-06-06,4468120140
2003-06-09,4475596080
2003-06-10,4480580040
2003-06-11,4488055980
2003-06-12,4344767130
2003-06-13,4250071890
2003-06-16,4360965000
2003-06-17,4332307230
2003-06-18,4258793820
2003-06-19,4233874019
2003-06-20,4225152089
2003-06-23,4186526400
2003-06-24,4171574519
2003-06-25,4190264370
2003-06-26,4261285800
2003-06-27,4248825900
2003-06-30,4220168129
2003-07-01,4288036479
2003-07-02,4377161360
2003-07-03,4444946480
2003-07-07,4475073200
2003-07-08,4463775680
2003-07-09,4431138400
2003-07-10,4345779360
2003-07-11,4363353280
2003-07-14,4416075040
2003-07-15,4441180640
2003-07-16,4437414800
2003-07-17,4413564480
2003-07-18,4428627840
2003-07-21,4416075040
2003-07-22,4418585600
2003-07-23,4393480000
2003-07-24,4447457040
2003-07-25,4482604880
2003-07-28,4436159520
2003-07-29,4539092480
2003-07-30,4614409280
2003-07-31,4544113600
2003-08-01,4516497440
2003-08-04,4495157680
2003-08-05,4468796800
2003-08-06,4492647120
2003-08-07,4644536000
2003-08-08,4638259600
2003-08-11,4631983200
2003-08-12,4685960240
2003-08-13,4663365200
2003-08-14,4649557120
2003-08-15,4631983200
2003-08-18,4619430400
2003-08-19,4606877600
2003-08-20,4586793120
2003-08-21,4616919840
2003-08-22,4579261440
2003-08-25,4537837200
2003-08-26,4564198080
2003-08-27,4630727920
2003-08-28,4642025440
2003-08-29,4630727920
2003-09-02,4751234800
2003-09-03,4819019920
2003-09-04,4825296320
2003-09-05,4820275200
2003-09-08,4803956560
2003-09-09,4782616800
2003-09-10,4714831680
2003-09-11,4738682000
2003-09-12,4742447840
2003-09-15,4737426720
2003-09-16,4717342240
2003-09-17,4733660880
2003-09-18,4770064000
2003-09-19,4826551600
2003-09-22,4827806880
2003-09-23,4829062160
2003-09-24,4840359680
2003-09-25,4807722400
2003-09-26,4826551600
2003-09-29,4883039200
2003-09-30,4924463440
2003-10-01,5010823440
2003-10-02,5053834800
2003-10-03,5123412000
2003-10-06,5151242880
2003-10-07,5148712800
2003-10-08,5161363200
2003-10-09,5186664000
2003-10-10,5155038000
2003-10-13,5185398960
2003-10-14,5181603840
2003-10-15,5171483520
2003-10-16,5182868880
2003-10-17,5155038000
2003-10-20,5163893280
2003-10-21,5167688400
2003-10-22,5152507920
2003-10-23,5062690080
2003-10-24,5022208800
2003-10-27,5063955120
2003-10-28,5022208800
2003-10-29,5041184400
2003-10-30,5124677040
2003-10-31,5060160000
2003-11-03,5148712800
2003-11-04,5153772960
2003-11-05,5180338800
2003-11-06,5230940400
2003-11-07,5439672000
2003-11-10,5547200400
2003-11-11,5409311040
2003-11-12,5471298000
2003-11-13,5559850800
2003-11-14,5562380880
2003-11-17,5504189040
2003-11-18,5532019920
2003-11-19,5545935360
2003-11-20,5535815040
2003-11-21,5457382560
2003-11-24,5458647600
2003-11-25,5523164640
2003-11-26,5575031280
2003-11-28,5616777600
2003-12-01,5749606800
2003-12-02,5724306000
2003-12-03,5736956400
2003-12-04,5702800320
2003-12-05,5650933680
2003-12-08,5757197040
2003-12-09,5787558000
2003-12-10,5739486480
2003-12-11,5734426320
2003-12-12,5748341760
2003-12-15,5686354800
2003-12-16,5724306000
2003-12-17,5709125520
2003-12-18,5659788960
2003-12-19,5643343440
2003-12-22,5628162960
2003-12-23,5566176000
2003-12-24,5568706080
2003-12-26,5556055680
2003-12-29,5581356480
2003-12-30,5628162960
2003-12-31,5489008560
2004-01-02,5596008000
2004-01-05,5579474340
2004-01-06,5590920720
2004-01-07,5579474340
2004-01-08,5620172580
2004-01-09,5678676300
2004-01-12,5671045380
2004-01-13,5658327180
2004-01-14,5681219940
2004-01-15,5721918180
2004-01-16,5651968080
2004-01-20,5674860840
2004-01-21,5723190000
2004-01-22,5757529140
2004-01-23,5816032860
2004-01-26,5973738540
2004-01-27,5964835800
2004-01-28,5926681200
2004-01-29,5973738540
2004-01-30,6042416820
2004-02-02,6139075140
2004-02-03,6038601360
2004-02-04,5927953020
2004-02-05,5977554000
2004-02-06,6136531500
2004-02-09,6142890600
2004-02-10,6139075140
2004-02-11,6200122500
2004-02-12,6104736000
2004-02-13,6141618780
2004-02-17,6172142460
2004-02-18,6163239720
2004-02-19,6141618780
2004-02-20,6111095100
2004-02-23,6102192360
2004-02-24,6095833260
2004-02-25,6104736000
2004-02-26,6070396860
2004-02-27,6070396860
2004-03-01,6102192360
2004-03-02,6155608800
2004-03-03,6231918000
2004-03-04,6261169860
2004-03-05,6359100000
2004-03-08,6254810760
2004-03-09,6275159880
2004-03-10,6145434240
2004-03-11,6013164960
2004-03-12,6125085120
2004-03-15,6052591380
2004-03-16,6042416820
2004-03-17,6184860660
2004-03-18,6207753420
2004-03-19,6211568880
2004-03-22,6177229740
2004-03-23,6119997840
2004-03-24,6085658700
2004-03-25,6175957920
2004-03-26,6155608800
2004-03-29,6168327000
2004-03-30,6164511540
2004-03-31,6188676120
2004-04-01,6308849760
2004-04-02,6330547200
2004-04-05,6085493760
2004-04-06,5664308160
2004-04-07,5901703680
2004-04-08,5762584800
2004-04-12,5590281600
2004-04-13,5492004960
2004-04-14,5434570560
2004-04-15,5518807680
2004-04-16,5507320800
2004-04-19,5549439360
2004-04-20,5366925600
2004-04-21,5357991360
2004-04-22,5392452000
2004-04-23,5396280960
2004-04-26,5397557280
2004-04-27,5430741600
2004-04-28,5407767840
2004-04-29,5341399200
2004-04-30,5333741280
2004-05-03,5462649600
2004-05-04,5580071040
2004-05-05,5526465600
2004-05-06,5530294560
2004-05-07,5306938560
2004-05-10,5255885760
2004-05-11,5223977760
2004-05-12,5155056480
2004-05-13,5149951200
2004-05-14,5195898720
2004-05-17,5225254080
2004-05-18,5389899360
2004-05-19,5360544000
2004-05-20,5465202240
2004-05-21,5446057440
2004-05-24,5560926240
2004-05-25,5673242400
2004-05-26,5834058720
2004-05-27,5805979680
2004-05-28,5869795680
2004-06-01,5820019200
2004-06-02,5948927520
2004-06-03,6012743520
2004-06-04,6105914880
2004-06-07,6048480480
2004-06-08,6067625280
2004-06-09,5970624960
2004-06-10,5929782720
2004-06-14,5751097920
2004-06-15,5841716640
2004-06-16,5837887680
2004-06-17,5885111520
2004-06-18,5845545600
2004-06-21,5966796000
2004-06-22,5978282880
2004-06-23,6024230400
2004-06-24,6016572480
2004-06-25,5918295840
2004-06-28,6012743520
2004-06-29,5827677120
2004-06-30,5872348320
2004-07-01,5931616350
2004-07-02,6043050300
2004-07-06,6023837550
2004-07-07,6139114050
2004-07-08,6077633250
2004-07-09,6018714150
2004-07-12,6077633250
2004-07-13,6031522650
2004-07-14,6100688550
2004-07-15,6158326800
2004-07-16,6154484250
2004-07-19,6203156550
2004-07-20,6174977850
2004-07-21,6108373650
2004-07-22,5964918450
2004-07-23,5879101500
2004-07-26,5822744100
2004-07-27,5857327050
2004-07-28,5989254600
2004-07-29,5930335500
2004-07-30,6036646050
2004-08-02,6058420500
2004-08-03,6135271500
2004-08-04,6199314000
2004-08-05,6103250250
2004-08-06,6154484250
2004-08-09,6093003450
2004-08-10,6148080000
2004-08-11,6148080000
2004-08-12,6096846000
2004-08-13,6104531100
2004-08-16,6214684200
2004-08-17,6268479900
2004-08-18,6361981950
2004-08-19,6280007550
2004-08-20,6372228750
2004-08-23,6464449950
