,MMM
2000-07-12,29751030000
2000-07-13,29585088000
2000-07-14,29031948000
2000-07-17,28818594000
2000-07-18,29071458000
2000-07-19,28573631999
2000-07-20,28494612000
2000-07-21,28470906000
2000-07-24,29419145999
2000-07-25,29174184000
2000-07-26,29253204000
2000-07-27,29403342000
2000-07-28,30059208000
2000-07-31,29751030000
2000-08-01,29521872000
2000-08-02,29814245999
2000-08-03,29711520000
2000-08-04,29853756000
2000-08-07,29995992000
2000-08-08,30185640000
2000-08-09,30636054000
2000-08-10,31339331999
2000-08-11,31963590000
2000-08-14,31647509999
2000-08-15,31339331999
2000-08-16,31236606000
2000-08-17,31465764000
2000-08-18,31402548000
2000-08-21,31363038000
2000-08-22,31813452000
2000-08-23,31694922000
2000-08-24,31323528000
2000-08-25,31608000000
2000-08-28,31426254000
2000-08-29,31260312000
2000-08-30,30841506000
2000-08-31,30722976000
2000-09-01,30557034000
2000-09-05,30470112000
2000-09-06,31173390000
2000-09-07,30264659999
2000-09-08,29711520000
2000-09-11,29379636000
2000-09-12,29087262000
2000-09-13,28573631999
2000-09-14,27957276000
2000-09-15,28123218000
2000-09-18,27483156000
2000-09-19,27704412000
2000-09-20,27001134000
2000-09-21,28549926000
2000-09-22,29150478000
2000-09-25,29727323999
2000-09-26,29687814000
2000-09-27,29774736000
2000-09-28,30248856000
2000-09-29,30098718000
2000-10-02,30242370000
2000-10-03,31007699999
2000-10-04,31496880000
2000-10-05,30755219999
2000-10-06,30408060000
2000-10-09,30258150000
2000-10-10,30715770000
2000-10-11,30755219999
2000-10-12,29974110000
2000-10-13,30013560000
2000-10-16,30408060000
2000-10-17,30053010000
2000-10-18,30053010000
2000-10-19,29358690000
2000-10-20,28774830000
2000-10-23,29619060000
2000-10-24,29705850000
2000-10-25,29729520000
2000-10-26,30408060000
2000-10-27,30842010000
2000-10-30,31331190000
2000-10-31,31867710000
2000-11-01,31378530000
2000-11-02,31315410000
2000-11-03,31291739999
2000-11-06,32120190000
2000-11-07,31970280000
2000-11-08,32096520000
2000-11-09,32120190000
2000-11-10,31331190000
2000-11-13,31275960000
2000-11-14,31331190000
2000-11-15,31457429999
2000-11-16,31433760000
2000-11-17,31662570000
2000-11-20,31212840000
2000-11-21,31560000000
2000-11-22,31599449999
2000-11-24,31599449999
2000-11-27,32735610000
2000-11-28,32609370000
2000-11-29,33027540000
2000-11-30,32940750000
2000-12-01,32861850000
2000-12-04,34629210000
2000-12-05,38463750000
2000-12-06,37974570000
2000-12-07,37824660000
2000-12-08,38566320000
2000-12-11,38014020000
2000-12-12,37556400000
2000-12-13,37540620000
2000-12-14,36609600000
2000-12-15,37004100000
2000-12-18,37808880000
2000-12-19,37516950000
2000-12-20,37248690000
2000-12-21,37169790000
2000-12-22,37185570000
2000-12-26,37927230000
2000-12-27,39307980000
2000-12-28,40215330000
2000-12-29,39741930000
2001-01-02,39487332000
2001-01-03,39035550000
2001-01-04,39431850000
2001-01-05,37957614000
2001-01-08,38187468000
2001-01-09,37585092000
2001-01-10,37212570000
2001-01-11,37149162000
2001-01-12,36340710000
2001-01-16,37608870000
2001-01-17,36443748000
2001-01-18,36118782000
2001-01-19,35373738000
2001-01-22,36071226000
2001-01-23,36776640000
2001-01-24,35492628000
2001-01-25,36285228000
2001-01-26,35556036000
2001-01-29,35548110000
2001-01-30,36911382000
2001-01-31,36665676000
2001-02-01,36958938000
2001-02-02,36023670000
2001-02-05,36372414000
2001-02-06,36998568000
2001-02-07,37069902000
2001-02-08,37125384000
2001-02-09,36665676000
2001-02-12,37268052000
2001-02-13,37814946000
2001-02-14,36768714000
2001-02-15,38021022000
2001-02-16,37513758000
2001-02-20,37719834000
2001-02-21,36863826000
2001-02-22,36530934000
2001-02-23,36578490000
2001-02-26,36895530000
2001-02-27,37442424000
2001-02-28,37355238000
2001-03-01,36316932000
2001-03-02,36887604000
2001-03-05,37172940000
2001-03-06,37188792000
2001-03-07,37418646000
2001-03-08,38829474000
2001-03-09,38567916000
2001-03-12,37046124000
2001-03-13,35682852000
2001-03-14,35619444000
2001-03-15,36198042000
2001-03-16,35128032000
2001-03-19,35777964000
2001-03-20,34866474000
2001-03-21,34335432000
2001-03-22,33733056000
2001-03-23,33717204000
2001-03-26,34470174000
2001-03-27,34929882000
2001-03-28,34731732000
2001-03-29,34058022000
2001-03-30,34422618000
2001-04-02,33778187999
2001-04-03,33073486000
2001-04-04,32645913999
2001-04-05,34166170000
2001-04-06,33762352000
2001-04-09,34617496000
2001-04-10,35939802000
2001-04-11,35353870000
2001-04-12,35662672000
2001-04-16,36565324000
2001-04-17,36042736000
2001-04-18,38394382000
2001-04-19,38560660000
2001-04-20,37238354000
2001-04-23,38497316000
2001-04-24,38433972000
2001-04-25,38734856000
2001-04-26,39004068000
2001-04-27,39384132000
2001-04-30,39392050000
2001-05-01,38893216000
2001-05-02,38576496000
2001-05-03,38972396000
2001-05-04,39716688000
2001-05-07,39027822000
2001-05-08,38513152000
2001-05-09,38703184000
2001-05-10,39075330000
2001-05-11,38853626000
2001-05-14,39154510000
2001-05-15,39107002000
2001-05-16,41537828000
2001-05-17,40951896000
2001-05-18,40730192000
2001-05-21,40746028000
2001-05-22,40049244000
2001-05-23,39930474000
2001-05-24,39384132000
2001-05-25,39312870000
2001-05-29,39637508000
2001-05-30,38845708000
2001-05-31,39249526000
2001-06-01,39526656000
2001-06-04,39716688000
2001-06-05,40215522000
2001-06-06,40247194000
2001-06-07,40318456000
2001-06-08,39756278000
2001-06-11,39835458000
2001-06-12,40405554000
2001-06-13,40365964000
2001-06-14,39970064000
2001-06-15,40009654000
2001-06-18,40460980000
2001-06-19,39835458000
2001-06-20,39257444000
2001-06-21,38505234000
2001-06-22,38655676000
2001-06-25,38291448000
2001-06-26,38061826000
2001-06-27,37832204000
2001-06-28,38346874000
2001-06-29,37768860000
2001-07-02,38578740000
2001-07-03,38437080000
2001-07-05,38311160000
2001-07-06,37705170000
2001-07-09,37783870000
2001-07-10,36729290000
2001-07-11,36760770000
2001-07-12,37351020000
2001-07-13,36926040000
2001-07-16,36209870000
2001-07-17,37130660000
2001-07-18,37421850000
2001-07-19,37720910000
2001-07-20,37177880000
2001-07-23,36626980000
2001-07-24,35226120000
2001-07-25,36304310000
2001-07-26,36666330000
2001-07-27,36674200000
2001-07-30,35942290000
2001-07-31,36807990000
2001-08-01,36516800000
2001-08-02,36611240000
2001-08-03,36760770000
2001-08-06,35981640000
2001-08-07,36469580000
2001-08-08,35596010000
2001-08-09,35375650000
2001-08-10,36139040000
2001-08-13,36351530000
2001-08-14,35895070000
2001-08-15,36076080000
2001-08-16,35863590000
2001-08-17,35753410000
2001-08-20,35729800000
2001-08-21,35446480000
2001-08-22,36123300000
2001-08-23,35643230000
2001-08-24,36390880000
2001-08-27,36367270000
2001-08-28,35958030000
2001-08-29,35123810000
2001-08-30,34281720000
2001-08-31,34250240000
2001-09-04,34399770000
2001-09-05,34541430000
2001-09-06,34179410000
2001-09-07,33156310000
2001-09-10,33620640000
2001-09-17,31401300000
2001-09-18,30968450000
2001-09-19,30417550000
2001-09-20,29717120000
2001-09-21,28615320000
2001-09-24,30157840000
2001-09-25,30637910000
2001-09-26,30724480000
2001-09-27,31684620000
2001-09-28,32369310000
2001-10-01,31574102000
2001-10-02,31691072000
2001-10-03,32463074000
2001-10-04,32478670000
2001-10-05,32517660000
2001-10-08,32096567999
2001-10-09,32088770000
2001-10-10,33196086000
2001-10-11,34599726000
2001-10-12,34061664000
2001-10-15,34490554000
2001-10-16,34623120000
2001-10-17,33624975999
2001-10-18,33562592000
2001-10-19,33305258000
2001-10-22,35005222000
2001-10-23,34685504000
2001-10-24,34779080000
2001-10-25,35434112000
2001-10-26,35800618000
2001-10-29,34724494000
2001-10-30,34342392000
2001-10-31,34022674000
2001-11-01,34638716000
2001-11-02,35270354000
2001-11-05,36018962000
2001-11-06,35652456000
2001-11-07,36003366000
2001-11-08,36315286000
2001-11-09,36362074000
2001-11-12,36167124000
2001-11-13,36970318000
2001-11-14,37445996000
2001-11-15,37368016000
2001-11-16,37484986000
2001-11-19,38046442000
2001-11-20,37867088000
2001-11-21,37601956000
2001-11-23,38217998000
2001-11-26,38124422000
2001-11-27,37890482000
2001-11-28,37352420000
2001-11-29,37562966000
2001-11-30,37352420000
2001-12-03,37118480000
2001-12-04,37952866000
2001-12-05,38748262000
2001-12-06,38740464000
2001-12-07,38561110000
2001-12-10,37679936000
2001-12-11,37765714000
2001-12-12,37812502000
2001-12-13,37500582000
2001-12-14,37750118000
2001-12-17,38241392000
2001-12-18,38958808000
2001-12-19,39052384000
2001-12-20,38623494000
2001-12-21,38857434000
2001-12-24,38927616000
2001-12-26,39325314000
2001-12-27,39169354000
2001-12-28,39091374000
2001-12-31,38537716000
2002-01-02,38186806000
2002-01-03,38062038000
2002-01-04,38171210000
2002-01-07,37718926000
2002-01-08,37508380000
2002-01-09,37375814000
2002-01-10,36900136000
2002-01-11,37095086000
2002-01-14,36432256000
2002-01-15,35699244000
2002-01-16,33804330000
2002-01-17,34069462000
2002-01-18,34818070000
2002-01-22,34693302000
2002-01-23,35028616000
2002-01-24,35683648000
2002-01-25,36260700000
2002-01-28,36034558000
2002-01-29,35418516000
2002-01-30,35816214000
2002-01-31,36182720000
2002-02-01,36923530000
2002-02-04,35699244000
2002-02-05,35426314000
2002-02-06,35753830000
2002-02-07,35699244000
2002-02-08,36252902000
2002-02-11,37165268000
2002-02-12,37219854000
2002-02-13,37750118000
2002-02-14,38108826000
2002-02-15,37656542000
2002-02-19,37157470000
2002-02-20,38171210000
2002-02-21,37812502000
2002-02-22,38795050000
2002-02-25,39262930000
2002-02-26,38888626000
2002-02-27,38795050000
2002-02-28,38444140000
2002-03-01,39223940000
2002-03-04,40097316000
2002-03-05,39169354000
2002-03-06,39629436000
2002-03-07,39489072000
2002-03-08,39606042000
2002-03-11,39278526000
2002-03-12,39543658000
2002-03-13,38958808000
2002-03-14,39309718000
2002-03-15,39574850000
2002-03-18,39832184000
2002-03-19,39676224000
2002-03-20,39083576000
2002-03-21,38561110000
2002-03-22,37945068000
2002-03-25,37718926000
2002-03-26,38023048000
2002-03-27,38124422000
2002-03-28,37492784000
2002-04-01,37580400000
2002-04-02,37494600000
2002-04-03,36816000000
2002-04-04,37213800000
2002-04-05,39756600000
2002-04-08,40310400000
2002-04-09,40731600000
2002-04-10,40801800000
2002-04-11,40380600000
2002-04-12,39850200000
2002-04-15,39631800000
2002-04-16,40567800000
2002-04-17,40279200000
2002-04-18,40326000000
2002-04-19,40723800000
2002-04-22,40762800000
2002-04-23,40521000000
2002-04-24,40918800000
2002-04-25,41394600000
2002-04-26,40560000000
2002-04-29,39990600000
2002-04-30,41020200000
2002-05-01,41082600000
2002-05-02,41464800000
2002-05-03,41410200000
2002-05-06,40505400000
2002-05-07,40528800000
2002-05-08,41145000000
2002-05-09,41184000000
2002-05-10,41379000000
2002-05-13,41901600000
2002-05-14,42385200000
2002-05-15,42229200000
2002-05-16,42198000000
2002-05-17,42408600000
2002-05-20,41815800000
2002-05-21,41402400000
2002-05-22,41589600000
2002-05-23,41893800000
2002-05-24,41722200000
2002-05-28,41340000000
2002-05-29,40755000000
2002-05-30,40794000000
2002-05-31,40895400000
2002-06-03,40575600000
2002-06-04,40786200000
2002-06-05,40996800000
2002-06-06,40287000000
2002-06-07,40575600000
2002-06-10,41082600000
2002-06-11,40918800000
2002-06-12,41589600000
2002-06-13,41020200000
2002-06-14,41098200000
2002-06-17,41441400000
2002-06-18,41901600000
2002-06-19,41652000000
2002-06-20,41347800000
2002-06-21,40435200000
2002-06-24,40474200000
2002-06-25,39982800000
2002-06-26,39920400000
2002-06-27,40817400000
2002-06-28,40107600000
2002-07-01,41521496000
2002-07-02,40991368000
2002-07-03,41092716000
2002-07-05,42324484000
2002-07-08,42090604000
2002-07-09,41716396000
2002-07-10,40414464000
2002-07-11,39564700000
2002-07-12,39393188000
2002-07-15,38746120000
2002-07-16,37771620000
2002-07-17,38278360000
2002-07-18,38013296000
2002-07-19,35487392000
2002-07-22,35526372000
2002-07-23,36422912000
2002-07-24,39018980000
2002-07-25,39089144000
2002-07-26,39385392000
2002-07-29,41279820000
2002-07-30,40897816000
2002-07-31,41006960000
2002-08-01,39798580000
2002-08-02,39065756000
2002-08-05,38028888000
2002-08-06,39533516000
2002-08-07,40344300000
2002-08-08,41131696000
2002-08-09,41116104000
2002-08-12,40944592000
2002-08-13,40414464000
2002-08-14,41233044000
2002-08-15,41326596000
2002-08-16,41256432000
2002-08-19,42137380000
2002-08-20,42004848000
2002-08-21,41973664000
2002-08-22,41466924000
2002-08-23,41155084000
2002-08-26,41474720000
2002-08-27,41349984000
2002-08-28,40734100000
2002-08-29,40624956000
2002-08-30,40718508000
2002-09-03,39120328000
2002-09-04,39323024000
2002-09-05,39346412000
2002-09-06,39962296000
2002-09-09,40430056000
2002-09-10,40796468000
2002-09-11,40375484000
2002-09-12,39868744000
2002-09-13,39050164000
2002-09-16,38800692000
2002-09-17,38021092000
2002-09-18,38566812000
2002-09-19,38192604000
2002-09-20,38933224000
2002-09-23,38293952000
2002-09-24,36867284000
2002-09-25,36921856000
2002-09-26,37724844000
2002-09-27,36680180000
2002-09-30,35856600000
2002-10-01,37915800000
2002-10-02,37323000000
2002-10-03,37502400000
2002-10-04,37338600000
2002-10-07,36153000000
2002-10-08,37096800000
2002-10-09,36621000000
2002-10-10,38001600000
2002-10-11,39327600000
2002-10-14,39436800000
2002-10-15,40840800000
2002-10-16,40209000000
2002-10-17,40786200000
2002-10-18,40856400000
2002-10-21,42065400000
2002-10-22,41995200000
2002-10-23,42182400000
2002-10-24,40996800000
2002-10-25,41652000000
2002-10-28,40879800000
2002-10-29,41004600000
2002-10-30,41519400000
2002-10-31,41394600000
2002-11-01,41753400000
2002-11-04,41831400000
2002-11-05,42010800000
2002-11-06,42549000000
2002-11-07,41932800000
2002-11-08,41831400000
2002-11-11,41199600000
2002-11-12,41675400000
2002-11-13,41956200000
2002-11-14,42385200000
2002-11-15,42229200000
2002-11-18,41574000000
2002-11-19,41745600000
2002-11-20,41971800000
2002-11-21,42705000000
2002-11-22,42299400000
2002-11-25,41948400000
2002-11-26,40887600000
2002-11-27,42268200000
2002-11-29,42338400000
2002-12-02,41854800000
2002-12-03,41800200000
2002-12-04,41737800000
2002-12-05,41051400000
2002-12-06,41113800000
2002-12-09,40450800000
2002-12-10,40794000000
2002-12-11,40661400000
2002-12-12,40318200000
2002-12-13,39702000000
2002-12-16,40318200000
2002-12-17,39616200000
2002-12-18,39405600000
2002-12-19,39226200000
2002-12-20,40474200000
2002-12-23,40287000000
2002-12-24,40248000000
2002-12-26,40177800000
2002-12-27,39561600000
2002-12-30,40092000000
2002-12-31,40201200000
2003-01-02,41332200000
2003-01-03,41176200000
2003-01-06,41472600000
2003-01-07,41433600000
2003-01-08,40989000000
2003-01-09,41636400000
2003-01-10,41285400000
2003-01-13,41262000000
2003-01-14,41730000000
2003-01-15,41418000000
2003-01-16,41293200000
2003-01-17,41191800000
2003-01-21,40965600000
2003-01-22,41574000000
2003-01-23,42049800000
2003-01-24,41199600000
2003-01-27,40786200000
2003-01-28,41028000000
2003-01-29,41277600000
2003-01-30,40404000000
2003-01-31,40614600000
2003-02-03,40755000000
2003-02-04,40138800000
2003-02-05,40154400000
2003-02-06,40115400000
2003-02-07,39936000000
2003-02-10,40326000000
2003-02-11,40131000000
2003-02-12,39865800000
2003-02-13,39912600000
2003-02-14,40786200000
2003-02-18,41285400000
2003-02-19,41043600000
2003-02-20,40708200000
2003-02-21,41363400000
2003-02-24,40762800000
2003-02-25,40989000000
2003-02-26,40692600000
2003-02-27,41145000000
2003-02-28,40879800000
2003-03-03,40677000000
2003-03-04,40333800000
2003-03-05,40794000000
2003-03-06,40263600000
2003-03-07,40599000000
2003-03-10,39678600000
2003-03-11,39460200000
2003-03-12,39600600000
2003-03-13,40895400000
2003-03-14,40934400000
2003-03-17,42229200000
2003-03-18,42377400000
2003-03-19,42299400000
2003-03-20,42588000000
2003-03-21,43812600000
2003-03-24,42580200000
2003-03-25,43141800000
2003-03-26,42954600000
2003-03-27,42931200000
2003-03-28,42556800000
2003-03-31,42498648000
2003-04-01,42764460000
2003-04-02,43679166000
2003-04-03,43741710000
2003-04-04,43788618000
2003-04-07,43327356000
2003-04-08,43624440000
2003-04-09,43014636000
2003-04-10,43397718000
2003-04-11,43436808000
2003-04-14,43546260000
2003-04-15,43679166000
2003-04-16,42162474000
2003-04-17,42483012000
2003-04-21,42428286000
2003-04-22,42404832000
2003-04-23,41771574000
2003-04-24,41091408000
2003-04-25,40168884000
2003-04-28,41443218000
2003-04-29,41497944000
2003-04-30,41193042000
2003-05-01,40817778000
2003-05-02,41232132000
2003-05-05,40794324000
2003-05-06,40137612000
2003-05-07,39715440000
2003-05-08,40223610000
2003-05-09,40137612000
2003-05-12,40669236000
2003-05-13,40356516000
2003-05-14,40254882000
2003-05-15,41130498000
2003-05-16,40997592000
2003-05-19,40520694000
2003-05-20,40778688000
2003-05-21,40286154000
2003-05-22,40778688000
2003-05-23,40364334000
2003-05-27,41208678000
2003-05-28,40856868000
2003-05-29,40301790000
2003-05-30,41333766000
2003-06-02,40849050000
2003-06-03,41239950000
2003-06-04,41505762000
2003-06-05,41067954000
2003-06-06,41310312000
2003-06-09,41247768000
2003-06-10,41247768000
2003-06-11,41818482000
2003-06-12,41951388000
2003-06-13,41771574000
2003-06-16,42647190000
2003-06-17,42514284000
2003-06-18,43053726000
2003-06-19,42944274000
2003-06-20,42741006000
2003-06-23,42350106000
2003-06-24,42459558000
2003-06-25,42256290000
2003-06-26,42584646000
2003-06-27,42029568000
2003-06-30,42305632000
2003-07-01,42274248000
2003-07-02,42603780000
2003-07-03,42109482000
2003-07-07,42682240000
2003-07-08,42572396000
2003-07-09,42415476000
2003-07-10,42282094000
2003-07-11,42391938000
2003-07-14,42297786000
2003-07-15,42015330000
2003-07-16,41858410000
2003-07-17,41756412000
2003-07-18,42697932000
2003-07-21,44722200000
2003-07-22,45145884000
2003-07-23,45506800000
2003-07-24,45702950000
2003-07-25,46377706000
2003-07-28,46236478000
2003-07-29,45773564000
2003-07-30,45718642000
2003-07-31,45985406000
2003-08-01,45593106000
2003-08-04,45961868000
2003-08-05,45577414000
2003-08-06,45334188000
2003-08-07,45538184000
2003-08-08,45899100000
2003-08-11,46542472000
2003-08-12,47217228000
2003-08-13,47397686000
2003-08-14,46620932000
2003-08-15,46793544000
2003-08-18,47342764000
2003-08-19,47381994000
2003-08-20,47170152000
2003-08-21,47460454000
2003-08-22,47076000000
2003-08-25,47021078000
2003-08-26,47279996000
2003-08-27,46887696000
2003-08-28,46660162000
2003-08-29,46730776000
2003-09-02,45969714000
2003-09-03,46777852000
2003-09-04,45922638000
2003-09-05,45483262000
2003-09-08,45255728000
2003-09-09,45067424000
2003-09-10,44800660000
2003-09-11,45553876000
2003-09-12,45342034000
2003-09-15,45404802000
2003-09-16,46181556000
2003-09-17,46008944000
2003-09-18,46526780000
2003-09-19,46566010000
2003-09-22,46613086000
2003-09-23,46817082000
2003-09-24,46299246000
2003-09-25,46448320000
2003-09-26,47052462000
2003-09-29,46095250000
2003-09-30,45212475000
2003-10-01,46410312000
2003-10-02,46660840000
2003-10-03,47803874000
2003-10-06,47741242000
2003-10-07,47976112000
2003-10-08,47584662000
2003-10-09,48531971000
2003-10-10,48461510000
2003-10-13,48774670000
2003-10-14,48876447000
2003-10-15,48242298000
2003-10-16,48171837000
2003-10-17,48469339000
2003-10-20,49408819000
2003-10-21,49416648000
2003-10-22,49628031000
2003-10-23,49698492000
2003-10-24,49534083000
2003-10-27,49573228000
2003-10-28,50567511000
2003-10-29,50771064999
2003-10-30,51092054000
2003-10-31,51624426000
2003-11-03,51569623000
2003-11-04,52039363000
2003-11-05,51820151000
2003-11-06,52101995000
2003-11-07,51734032000
2003-11-10,51608768000
2003-11-11,51381727000
2003-11-12,51647913000
2003-11-13,52133311000
2003-11-14,51405214000
2003-11-17,51178173000
2003-11-18,50536195000
2003-11-19,50301325000
2003-11-20,50270008999
2003-11-21,50731920000
2003-11-24,52078508000
2003-11-25,51820151000
2003-11-26,51890612000
2003-11-28,51734032000
2003-12-01,53425095999
2003-12-02,52986672000
2003-12-03,53010158999
2003-12-04,53213713000
2003-12-05,52845750000
2003-12-08,53644308000
2003-12-09,53683452999
2003-12-10,52978843000
2003-12-11,53174568000
2003-12-12,53331148000
2003-12-15,53675624000
2003-12-16,54317602000
2003-12-17,54630762000
2003-12-18,54607275000
2003-12-19,55030041000
2003-12-22,55805112000
2003-12-23,55382345999
2003-12-24,55139647000
2003-12-26,55123989000
2003-12-29,55311885000
2003-12-30,55163133999
2003-12-31,55656361000
2004-01-02,54568130000
2004-01-05,55609387000
2004-01-06,55444977999
2004-01-07,54482011000
2004-01-08,54121877000
2004-01-09,53933981000
2004-01-12,54442866000
2004-01-13,54247141000
2004-01-14,54787342000
2004-01-15,55178792000
2004-01-16,55953863000
2004-01-20,52634367000
2004-01-21,53511214999
2004-01-22,53746085000
2004-01-23,53644308000
2004-01-26,53980955000
2004-01-27,53738256000
2004-01-28,52368181000
2004-01-29,52047192000
2004-01-30,51773177000
2004-02-02,51052908999
2004-02-03,51647913000
2004-02-04,52008047000
2004-02-05,51710545000
2004-02-06,52242917000
2004-02-09,51968902000
2004-02-10,53182397000
2004-02-11,53284174000
2004-02-12,53010158999
2004-02-13,52156798000
2004-02-17,52571735000
2004-02-18,52141139999
2004-02-19,51773177000
2004-02-20,52172456000
2004-02-23,52650025000
2004-02-24,52023705000
2004-02-25,51428701000
2004-02-26,51170344000
2004-02-27,51068567000
2004-03-01,51569623000
2004-03-02,51256463000
2004-03-03,51679229000
2004-03-04,51640083999
2004-03-05,51491333000
2004-03-08,50841526000
2004-03-09,50958961000
2004-03-10,49745466000
2004-03-11,49322700000
2004-03-12,49894217000
2004-03-15,49009540000
2004-03-16,51585281000
2004-03-17,52078508000
2004-03-18,52289891000
2004-03-19,52211601000
2004-03-22,52172456000
2004-03-23,52101995000
2004-03-24,51992389000
2004-03-25,53033645999
2004-03-26,52352523000
2004-03-29,52884895000
2004-03-30,53464241000
2004-03-31,53562125000
2004-04-01,53022200000
2004-04-02,53499525000
2004-04-05,54141175000
2004-04-06,54188125000
2004-04-07,54141175000
2004-04-08,53929900000
2004-04-12,54704575000
2004-04-13,53898600000
2004-04-14,54078575000
2004-04-15,54203775000
2004-04-16,54775000000
2004-04-19,54798475000
2004-04-20,54430700000
2004-04-21,54900200000
2004-04-22,56887750000
2004-04-23,57505924999
2004-04-26,57412025000
2004-04-27,57818925000
2004-04-28,56731250000
2004-04-29,56340000000
2004-04-30,56574750000
2004-05-03,56934700000
2004-05-04,56590399999
2004-05-05,56097425000
2004-05-06,55455775000
2004-05-07,55236675000
2004-05-10,54657624999
2004-05-11,55056700000
2004-05-12,55839200000
2004-05-13,55291450000
2004-05-14,54829774999
2004-05-17,54446350000
2004-05-18,54375924999
2004-05-19,53851649999
2004-05-20,53781225000
2004-05-21,54250725000
2004-05-24,54008150000
2004-05-25,54720225000
2004-05-26,54954975000
2004-05-27,55573150000
2004-05-28,55322750000
2004-06-01,55494900000
2004-06-02,56011350000
2004-06-03,55455775000
2004-06-04,55518375000
2004-06-07,55729650000
2004-06-08,56347825000
2004-06-09,55878325000
2004-06-10,56410425000
2004-06-14,55706175000
2004-06-15,55972225000
2004-06-16,55776600000
2004-06-17,56214800000
2004-06-18,56973825000
2004-06-21,57099025000
2004-06-22,58554475000
2004-06-23,58585775000
2004-06-24,57951950000
2004-06-25,58006725000
2004-06-28,58022375000
2004-06-29,58750100000
2004-06-30,58747956000
2004-07-01,57545832000
2004-07-02,57108696000
2004-07-06,57139920000
2004-07-07,57709758000
2004-07-08,57264816000
2004-07-09,57202368000
2004-07-12,57366293999
2004-07-13,57030636000
2004-07-14,57553638000
2004-07-15,57834654000
2004-07-16,57327264000
2004-07-19,54204864000
2004-07-20,55477241999
2004-07-21,54548328000
2004-07-22,54626388000
2004-07-23,53923848000
2004-07-26,53275950000
2004-07-27,54204864000
2004-07-28,53510130000
2004-07-29,53595996000
2004-07-30,53752116000
2004-08-02,54524909999
2004-08-03,54126804000
2004-08-04,54282924000
2004-08-05,53236920000
2004-08-06,52128468000
2004-08-09,51855258000
2004-08-10,51956736000
2004-08-11,51706943999
2004-08-12,50770224000
2004-08-13,50684358000
2004-08-16,51059046000
2004-08-17,51347868000
2004-08-18,52214334000
2004-08-19,52198722000
2004-08-20,52386066000
2004-08-23,52448514000
