,CHTR
2012-03-01,5685736693
2012-03-02,5624599651
2012-03-05,5605718852
2012-03-06,5475353653
2012-03-07,5442986942
2012-03-08,5487940583
2012-03-09,5492435857
2012-03-12,5616507996
2012-03-13,5654268875
2012-03-14,5674048656
2012-03-15,5708213513
2012-03-16,5753167154
2012-03-19,5751368919
2012-03-20,5684837440
2012-03-21,5754965300
2012-03-22,5810707365
2012-03-23,5835882034
2012-03-26,5787332012
2012-03-27,5752267902
2012-03-28,5686635586
2012-03-29,5674048656
2012-03-30,5704617132
2012-04-02,5791045066
2012-04-03,5668692264
2012-04-04,5558035447
2012-04-05,5646201023
2012-04-09,5547239741
2012-04-10,5344818570
2012-04-11,5448278370
2012-04-12,5493260852
2012-04-13,5485164006
2012-04-16,5428485988
2012-04-17,5515752094
2012-04-18,5502257259
2012-04-19,5528347189
2012-04-20,5574229141
2012-04-23,5415890982
2012-04-24,5413191764
2012-04-25,5454575917
2012-04-26,5483364706
2012-04-27,5435683005
2012-04-30,5440181523
2012-05-01,5489662164
2012-05-02,5599419601
2012-05-03,5609315387
2012-05-04,5539142895
2012-05-07,5561634136
2012-05-08,5845023866
2012-05-09,6040247660
2012-05-10,6090627860
2012-05-11,6071735307
2012-05-14,5958379901
2012-05-15,5891805377
2012-05-16,5874712484
2012-05-17,5698380883
2012-05-18,5549039041
2012-05-21,5724470812
2012-05-22,5816235167
2012-05-23,5812636478
2012-05-24,5776650312
2012-05-25,5782048030
2012-05-29,5814435418
2012-05-30,5684886048
2012-05-31,5640803395
2012-06-01,5515752094
2012-06-04,5513052965
2012-06-05,5713674747
2012-06-06,5735266518
2012-06-07,5740664506
2012-06-08,5768553825
2012-06-11,5702879041
2012-06-12,5823432454
2012-06-13,5841425177
2012-06-14,5927791453
2012-06-15,6017756418
2012-06-18,6084330313
2012-06-19,6205783555
2012-06-20,6243568750
2012-06-21,6067237419
2012-06-22,6109521133
2012-06-25,5992566408
2012-06-26,6090627860
2012-06-27,6266059992
2012-06-28,6297547550
2012-06-29,6375817339
2012-07-02,6494869850
2012-07-03,6509292517
2012-07-05,6511996744
2012-07-06,6497574078
2012-07-09,6492164992
2012-07-10,6499376595
2012-07-11,6453403015
2012-07-12,6560674553
2012-07-13,6568787866
2012-07-16,6538138572
2012-07-17,6586816380
2012-07-18,6575998839
2012-07-19,6743666624
2012-07-20,6704003749
2012-07-23,6627380875
2012-07-24,6573294611
2012-07-25,6688678741
2012-07-26,6832909558
2012-07-27,6882488264
2012-07-30,6982548107
2012-07-31,6933870299
2012-08-01,7061874488
2012-08-02,7058269363
2012-08-03,7205203685
2012-08-06,6994266547
2012-08-07,6912235938
2012-08-08,6851839691
2012-08-09,6806767730
2012-08-10,7024915841
2012-08-13,7113257245
2012-08-14,7076297877
2012-08-15,7193485246
2012-08-16,7076297877
2012-08-17,7013197402
2012-08-20,7020408374
2012-08-21,6966322202
2012-08-22,6950997915
2012-08-23,6885192491
2012-08-24,7006887327
2012-08-27,6962716354
2012-08-28,6919447633
2012-08-29,6892404185
2012-08-30,6941081994
2012-08-31,7013197402
2012-09-04,6948293688
2012-09-05,7045649304
2012-09-06,7146610046
2012-09-07,7044747684
2012-09-10,7013197402
2012-09-11,7112355626
2012-09-12,7229542273
2012-09-13,7358448082
2012-09-14,7440479412
2012-09-17,7278220081
2012-09-18,7201597838
2012-09-19,7245768179
2012-09-20,7236753968
2012-09-21,7160131724
2012-09-24,6884291593
2012-09-25,6800457655
2012-09-26,6750878228
2012-09-27,6779724283
2012-09-28,6766202605
2012-10-01,6782803959
2012-10-02,6827112188
2012-10-03,6941048281
2012-10-04,6997111531
2012-10-05,6920250184
2012-10-08,6875037521
2012-10-09,6879559059
2012-10-10,6870516616
2012-10-11,6883176162
2012-10-12,6884079873
2012-10-15,6938335611
2012-10-16,6931101495
2012-10-17,7025143835
2012-10-18,7099292603
2012-10-19,7102005273
2012-10-22,7068547630
2012-10-23,6889505844
2012-10-24,6880462769
2012-10-25,6889505844
2012-10-26,6923867288
2012-10-31,6999824924
2012-11-01,7030569174
2012-11-02,6790941876
2012-11-05,6595623532
2012-11-06,6476262191
2012-11-07,6281847557
2012-11-08,6172433001
2012-11-09,6214028561
2012-11-12,6239347563
2012-11-13,6233922224
2012-11-14,6103709572
2012-11-15,6197752003
2012-11-16,6263762130
2012-11-19,6206794354
2012-11-20,6357804560
2012-11-21,6318017868
2012-11-23,6329772890
2012-11-26,6355091891
2012-11-27,6355996325
2012-11-28,6355996325
2012-11-29,6448229887
2012-11-30,6406634237
2012-12-03,6370464015
2012-12-04,6370464015
2012-12-05,6306262124
2012-12-06,6293602578
2012-12-07,6368655780
2012-12-10,6308070992
2012-12-11,6292698144
2012-12-12,6294507102
2012-12-13,6246581770
2012-12-14,6210411458
2012-12-17,6400304554
2012-12-18,6704133653
2012-12-19,6695995735
2012-12-20,6620038099
2012-12-21,6639931761
2012-12-24,6639931761
2012-12-26,6622750768
2012-12-27,6661633659
2012-12-28,6653495741
2012-12-31,6916191546
2013-01-02,7084923401
2013-01-03,7074037929
2013-01-04,7039565376
2013-01-07,7021422528
2013-01-08,7003278865
2013-01-09,7130281427
2013-01-10,7166568029
2013-01-11,7111231147
2013-01-14,7092180867
2013-01-15,7104881114
2013-01-16,7106695072
2013-01-17,7162031954
2013-01-18,7151146481
2013-01-22,7150239139
2013-01-23,7162031954
2013-01-24,7186525650
2013-01-25,7318970994
2013-01-28,7460487852
2013-01-29,7393358156
2013-01-30,7405150970
2013-01-31,7073130587
2013-02-01,7079480710
2013-02-04,6955199448
2013-02-05,7396079547
2013-02-06,7352536205
2013-02-07,7314434919
2013-02-08,7338021274
2013-02-11,7194689823
2013-02-12,7257284080
2013-02-13,7260005470
2013-02-14,7210112005
2013-02-15,7215554787
2013-02-19,7201947198
2013-02-20,7074944636
2013-02-21,6987857317
2013-02-22,7712678383
2013-02-25,7556647320
2013-02-26,7868710082
2013-02-27,7904089251
2013-02-28,7836959555
2013-03-01,7846031069
2013-03-04,7891389095
2013-03-05,7947633318
2013-03-06,8162630541
2013-03-07,8146301651
2013-03-08,8079171320
2013-03-11,8069192464
2013-03-12,8119086564
2013-03-13,8153558391
2013-03-14,8174423446
2013-03-15,8172608671
2013-03-18,8893801730
2013-03-19,9106076927
2013-03-20,9595036442
2013-03-21,9285695071
2013-03-22,9369153656
2013-03-25,9292952445
2013-03-26,9342845911
2013-03-27,9460777049
2013-03-28,9450798193
2013-04-01,9440153851
2013-04-02,9441973478
2013-04-03,9303709152
2013-04-04,9510195828
2013-04-05,9595700718
2013-04-08,9528388181
2013-04-09,9421961498
2013-04-10,9430147816
2013-04-11,9536574499
2013-04-12,9556586571
2013-04-15,9376479931
2013-04-16,9542942646
2013-04-17,9462894635
2013-04-18,9344642925
2013-04-19,9372841315
2013-04-22,9446521180
2013-04-23,9497461080
2013-04-24,9373751128
2013-04-25,9197282468
2013-04-26,9245492747
2013-04-29,9243673848
2013-04-30,9163625836
2013-05-01,9202739983
2013-05-02,9381027633
2013-05-03,9515653434
2013-05-06,9553857768
2013-05-07,9977746240
2013-05-08,10009583246
2013-05-09,10017769564
2013-05-10,10011402236
2013-05-13,10156033981
2013-05-14,10349785181
2013-05-15,10418007531
2013-05-16,10334321631
2013-05-17,10200605643
2013-05-20,10134203011
2013-05-21,10369797162
2013-05-22,10273376422
2013-05-23,10327954211
2013-05-24,10265189377
2013-05-28,10378893293
2013-05-29,10246997114
2013-05-30,10170587718
2013-05-31,10187870896
2013-06-03,10153305178
2013-06-04,10456211865
2013-06-05,10362519929
2013-06-06,10245177396
2013-06-07,10361610843
2013-06-10,10236081265
2013-06-11,10229713846
2013-06-12,10132383293
2013-06-13,10086901727
2013-06-14,10607211030
2013-06-17,10708180107
2013-06-18,10729101264
2013-06-19,10715457340
2013-06-20,10374345591
2013-06-21,10886467757
2013-06-24,10773673654
2013-06-25,10712727900
2013-06-26,10824612827
2013-06-27,11262145314
2013-06-28,11265783840
2013-07-01,11374316516
2013-07-02,11646064031
2013-07-03,11878724733
2013-07-05,11854527834
2013-07-08,11897337310
2013-07-09,11695388007
2013-07-10,11665607437
2013-07-11,11651647702
2013-07-12,11602323726
2013-07-15,11593948313
2013-07-16,11523219273
2013-07-17,11553930672
2013-07-18,11593017484
2013-07-19,11941077708
2013-07-22,11929910367
2013-07-23,11890822904
2013-07-24,11932702202
2013-07-25,11888961897
2013-07-26,11782868710
2013-07-29,11697249665
2013-07-30,11519496609
2013-07-31,11701902506
2013-08-01,11908505303
2013-08-02,12470613654
2013-08-05,12112315613
2013-08-06,11823817180
2013-08-07,12063923211
2013-08-08,11917811638
2013-08-09,11937355696
2013-08-12,11778215217
2013-08-13,11735405647
2013-08-14,11582780320
2013-08-15,11458074555
2013-08-16,11409680664
2013-08-19,11470172633
2013-08-20,11622797961
2013-08-21,11468311626
2013-08-22,11535317350
2013-08-23,11418986999
2013-08-26,11369663023
2013-08-27,11261708829
2013-08-28,11167713720
2013-08-29,11251471759
2013-08-30,11299864812
2013-09-03,11451560056
2013-09-04,11592086655
2013-09-05,11601393641
2013-09-06,11634896131
2013-09-09,11791244123
2013-09-10,11860112156
2013-09-11,12015529412
2013-09-12,11938285873
2013-09-13,11982026178
2013-09-16,12022043168
2013-09-17,12122552777
2013-09-18,12320780068
2013-09-19,12398953785
2013-09-20,12455722996
2013-09-23,12418497842
2013-09-24,12205379894
2013-09-25,12471543831
2013-09-26,12655812038
2013-09-27,12430596664
2013-09-30,12652480361
2013-10-01,12719142111
2013-10-02,12561407850
2013-10-03,12351097442
2013-10-04,12453436070
2013-10-07,12439353284
2013-10-08,12356730594
2013-10-09,12346402711
2013-10-10,12777352817
2013-10-11,12790497277
2013-10-14,12880631274
2013-10-15,12904103523
2013-10-16,13051508586
2013-10-17,12929454020
2013-10-18,12891897578
2013-10-21,12872181640
2013-10-22,12835565026
2013-10-23,12695669862
2013-10-24,12953864596
2013-10-25,13011136976
2013-10-28,12819602583
2013-10-29,12884386271
2013-10-30,12676892345
2013-10-31,12584880098
2013-11-01,12963254058
2013-11-04,12747309090
2013-11-05,12305091365
2013-11-06,12104168918
2013-11-07,11968030159
2013-11-08,12023424383
2013-11-11,11927657891
2013-11-12,12060980826
2013-11-13,12089146397
2013-11-14,12024364118
2013-11-15,12082574825
2013-11-18,12162379625
2013-11-19,12118253112
2013-11-20,11920146584
2013-11-21,11920146584
2013-11-22,12643092307
2013-11-25,12608352347
2013-11-26,12780169393
2013-11-27,12673136034
2013-11-29,12684403652
2013-12-02,12460947377
2013-12-03,12140785626
2013-12-04,12152051836
2013-12-05,11949251984
2013-12-06,11994318983
2013-12-09,12032813846
2013-12-10,12369874959
2013-12-11,12282558852
2013-12-12,12392408787
2013-12-13,12350157613
2013-12-16,12333258345
2013-12-17,12215897103
2013-12-18,12237491102
2013-12-19,12122946435
2013-12-20,12207447375
2013-12-23,12337013248
2013-12-24,12418697611
2013-12-26,12408369822
2013-12-27,12534180699
2013-12-30,12598024557
2013-12-31,13162099475
2014-01-02,12969614831
2014-01-03,12835838003
2014-01-06,12992713470
2014-01-07,13289140014
2014-01-08,13097617216
2014-01-09,13089917734
2014-01-10,13129377374
2014-01-13,12917644555
2014-01-14,13217920118
2014-01-15,13092804811
2014-01-16,12988864450
2014-01-17,12924380747
2014-01-21,12848349987
2014-01-22,12992713470
2014-01-23,12844500967
2014-01-24,12648165764
2014-01-27,13177498535
2014-01-28,13151512723
2014-01-29,13304539074
2014-01-30,13355547408
2014-01-31,13185198114
2014-02-03,13100504389
2014-02-04,13364208929
2014-02-05,13218883504
2014-02-06,13137076953
2014-02-07,13233319275
2014-02-10,13244867872
2014-02-11,13271815626
2014-02-12,13240056911
2014-02-13,12406598113
2014-02-14,12448944928
2014-02-18,12655865343
2014-02-19,12553848674
2014-02-20,12688587347
2014-02-21,12037989828
2014-02-24,11893626345
2014-02-25,11678042966
2014-02-26,11669381542
2014-02-27,11947521756
2014-02-28,12200638871
2014-03-03,12096697644
2014-03-04,12340190623
2014-03-05,12262234630
2014-03-06,12188127561
2014-03-07,12222774894
2014-03-10,12370987396
2014-03-11,12293994019
2014-03-12,12248760032
2014-03-13,12099584818
2014-03-14,12222774894
2014-03-17,12173691117
2014-03-18,12125569956
2014-03-19,12171766559
2014-03-20,12193901908
2014-03-21,12246835474
2014-03-24,12102471991
2014-03-25,11945597295
2014-03-26,11848392357
2014-03-27,11670344158
2014-03-28,11781023020
2014-03-31,12028242641
2014-04-01,12266464531
2014-04-02,12350428013
2014-04-03,12194217261
2014-04-04,11981379747
2014-04-07,11612331482
2014-04-08,11828097853
2014-04-09,12110253779
2014-04-10,11910108210
2014-04-11,11565467905
2014-04-14,11658218643
2014-04-15,11527391584
2014-04-16,11531296956
2014-04-17,11503960138
2014-04-21,12068272087
2014-04-22,12395338562
2014-04-23,12506639545
2014-04-24,12739979550
2014-04-25,12693115290
2014-04-28,13673339764
2014-04-29,13390206544
2014-04-30,13232043448
2014-05-01,13344319481
2014-05-02,13396065724
2014-05-05,13513223641
2014-05-06,13514199374
2014-05-07,13621594986
2014-05-08,13415591799
2014-05-09,13468312311
2014-05-12,13382397266
2014-05-13,13338461765
2014-05-14,13292574702
2014-05-15,13366775878
2014-05-16,13420473684
2014-05-19,13539583165
2014-05-20,13566921447
2014-05-21,13527867832
2014-05-22,13489791413
2014-05-23,13726060276
2014-05-27,13952566930
2014-05-28,14018955802
2014-05-29,13933040855
2014-05-30,13975021766
2014-06-02,14366524964
2014-06-03,14373359876
2014-06-04,14398743667
2014-06-05,14412412027
2014-06-06,14534451830
2014-06-09,14520783470
2014-06-10,14536404857
2014-06-11,14566670533
2014-06-12,14429009245
2014-06-13,14470015986
2014-06-16,14498328537
2014-06-17,14449512616
2014-06-18,14512972727
2014-06-19,14473920576
2014-06-20,14694568051
2014-06-23,14803916690
2014-06-24,14748265857
2014-06-25,14840039984
2014-06-26,14840039984
2014-06-27,15117314024
2014-06-30,15490201493
2014-07-01,15687764541
2014-07-02,15844251564
2014-07-03,15885329057
2014-07-07,15715149570
2014-07-08,15513673480
2014-07-09,15858921580
2014-07-10,15930319592
2014-07-11,15870659041
2014-07-14,16010518107
2014-07-15,15955748051
2014-07-16,16037903136
2014-07-17,15942055586
2014-07-18,16054529624
2014-07-21,15942055586
2014-07-22,15911736534
2014-07-23,15954770597
2014-07-24,16026167142
2014-07-25,15878483558
2014-07-28,15793393081
2014-07-29,15850119609
2014-07-30,15821757030
2014-07-31,15112677870
2014-08-01,14891639900
2014-08-04,15365012443
2014-08-05,15156689387
2014-08-06,15038345933
2014-08-07,14807528343
2014-08-08,14870122820
2014-08-11,14908266388
2014-08-12,14935652884
2014-08-13,15160600961
2014-08-14,15300461397
2014-08-15,15219283961
2014-08-18,15395331494
2014-08-19,15272097448
2014-08-20,15234932898
