,MET
2001-08-06,19222853573
2001-08-07,19046294642
2001-08-08,18693176781
2001-08-09,18759386380
2001-08-10,18752029758
2001-08-13,19053651264
2001-08-14,19303776416
2001-08-15,19178713840
2001-08-16,19325846282
2001-08-17,19083077753
2001-08-20,19244923439
2001-08-21,19252280061
2001-08-22,19274349928
2001-08-23,19730460499
2001-08-24,19929089295
2001-08-27,19701034010
2001-08-28,19789313475
2001-08-29,19855523074
2001-08-30,20113004848
2001-08-31,19995298894
2001-09-04,19701034010
2001-09-05,19472978725
2001-09-06,19097790997
2001-09-07,18553400961
2001-09-10,18884448956
2001-09-17,17641179819
2001-09-18,17567613598
2001-09-19,17494047377
2001-09-20,17324845069
2001-09-21,16522973259
2001-09-24,17324845069
2001-09-25,17700032796
2001-09-26,17700032796
2001-09-27,18406268519
2001-09-28,19472978725
2001-10-01,18463739078
2001-10-02,18463739078
2001-10-03,18342267110
2001-10-04,18263667602
2001-10-05,18320830881
2001-10-08,17234728582
2001-10-09,17184710713
2001-10-10,17177565303
2001-10-11,17391927599
2001-10-12,17098965794
2001-10-15,17070384155
2001-10-16,16798858580
2001-10-17,16813149400
2001-10-18,16427297268
2001-10-19,16334406939
2001-10-22,16555914645
2001-10-23,17199001533
2001-10-24,17327618910
2001-10-25,17341909730
2001-10-26,17477672517
2001-10-29,17334764320
2001-10-30,17284746451
2001-10-31,17127547434
2001-11-01,17384782189
2001-11-02,17270455631
2001-11-05,17763488911
2001-11-06,17827797600
2001-11-07,17541981206
2001-11-08,17699180223
2001-11-09,17534835796
2001-11-12,17456236287
2001-11-13,17634871534
2001-11-14,17606289895
2001-11-15,17634871534
2001-11-16,17570562845
2001-11-19,17513399566
2001-11-20,17513399566
2001-11-21,17127547434
2001-11-23,17163274483
2001-11-26,17577708255
2001-11-27,17341909730
2001-11-28,17349055140
2001-11-29,17399073009
2001-11-30,17463381697
2001-12-03,17170419893
2001-12-04,17670598583
2001-12-05,17813506780
2001-12-06,17934978748
2001-12-07,18106468585
2001-12-10,18242231372
2001-12-11,18542338586
2001-12-12,18342267110
2001-12-13,18428012028
2001-12-14,18985353998
2001-12-17,19392642360
2001-12-18,19571277606
2001-12-19,19792785312
2001-12-20,20057165477
2001-12-21,19549841376
2001-12-24,19549841376
2001-12-26,19549841376
2001-12-27,19614150065
2001-12-28,20000002198
2001-12-31,20101600341
2002-01-02,19688602531
2002-01-03,19774050354
2002-01-04,19631637315
2002-01-07,19261363416
2002-01-08,19204398201
2002-01-09,19261363416
2002-01-10,19425138410
2002-01-11,19261363416
2002-01-14,19311207979
2002-01-15,19482103625
2002-01-16,19133191682
2002-01-17,19183036245
2002-01-18,19076226466
2002-01-22,19097588422
2002-01-23,19033502555
2002-01-24,19005019947
2002-01-25,19204398201
2002-01-28,19033502555
2002-01-29,18285834104
2002-01-30,18656108004
2002-01-31,19275604720
2002-02-01,19111829726
2002-02-04,18563539529
2002-02-05,18193265630
2002-02-06,18357040623
2002-02-07,18392643883
2002-02-08,18748676479
2002-02-11,18762917782
2002-02-12,19268484068
2002-02-13,19482103625
2002-02-14,19952066651
2002-02-15,19617396012
2002-02-19,19261363416
2002-02-20,19702843834
2002-02-21,19667240575
2002-02-22,19588913404
2002-02-25,19859498176
2002-02-26,20151444905
2002-02-27,20429150329
2002-02-28,20229772076
2002-03-01,20244013380
2002-03-04,21134094868
2002-03-05,20827906836
2002-03-06,20813665532
2002-03-07,20657011190
2002-03-08,20457632937
2002-03-11,20244013380
2002-03-12,20450512285
2002-03-13,20101600341
2002-03-14,19930704696
2002-03-15,19845256873
2002-03-18,19524827537
2002-03-19,19211518853
2002-03-20,19097588422
2002-03-21,19418017758
2002-03-22,19261363416
2002-03-25,19261363416
2002-03-26,19268484068
2002-03-27,19795412309
2002-03-28,19987669911
2002-04-01,19456063745
2002-04-02,19596998651
2002-04-03,19589951906
2002-04-04,19801354264
2002-04-05,20294626435
2002-04-08,20562402756
2002-04-09,20731524643
2002-04-10,20914740020
2002-04-11,20625823463
2002-04-12,21126142379
2002-04-15,20893599784
2002-04-16,21415058936
2002-04-17,21584180823
2002-04-18,21316404502
2002-04-19,21661695021
2002-04-22,21718068983
2002-04-23,21126142379
2002-04-24,21175469596
2002-04-25,21126142379
2002-04-26,20964067237
2002-04-29,21203656577
2002-04-30,21436199172
2002-05-01,21457339408
2002-05-02,21415058936
2002-05-03,21443245917
2002-05-06,21443245917
2002-05-07,20005709878
2002-05-08,20026850114
2002-05-09,19928195680
2002-05-10,19935242425
2002-05-13,20188925255
2002-05-14,20252345963
2002-05-15,19928195680
2002-05-16,20252345963
2002-05-17,20442608086
2002-05-20,19864774972
2002-05-21,19604045396
2002-05-22,19477203981
2002-05-23,19780214029
2002-05-24,19871821717
2002-05-28,19498344217
2002-05-29,19702699830
2002-05-30,20005709878
2002-05-31,20865412803
2002-06-03,20160738274
2002-06-04,19984569642
2002-06-05,20062083840
2002-06-06,19639279123
2002-06-07,19526531198
2002-06-10,19850681481
2002-06-11,19420830019
2002-06-12,19223521151
2002-06-13,18716155490
2002-06-14,18638641292
2002-06-17,19315128839
2002-06-18,19110773226
2002-06-19,18617501056
2002-06-20,17941013508
2002-06-21,18659781527
2002-06-24,18088995159
2002-06-25,18004434215
2002-06-26,17581629498
2002-06-27,18124228885
2002-06-28,18088995159
2002-07-01,18284255308
2002-07-02,17858553180
2002-07-03,17970212755
2002-07-05,18284255308
2002-07-08,18395914882
2002-07-09,17893446797
2002-07-10,17397957436
2002-07-11,17383999989
2002-07-12,17237446798
2002-07-15,17167659564
2002-07-16,16281361692
2002-07-17,15757957437
2002-07-18,15081021267
2002-07-19,15395063820
2002-07-22,14892595735
2002-07-23,14362212757
2002-07-24,14787914884
2002-07-25,15032170203
2002-07-26,15771914884
2002-07-29,17223489351
2002-07-30,17474723393
2002-07-31,17530553180
2002-08-01,17460765946
2002-08-02,16602382968
2002-08-05,15939404245
2002-08-06,15757957437
2002-08-07,16009191479
2002-08-08,16686127649
2002-08-09,16846638287
2002-08-12,16644255309
2002-08-13,16260425522
2002-08-14,16672170202
2002-08-15,16644255309
2002-08-16,16588425521
2002-08-19,17049021266
2002-08-20,16769872330
2002-08-21,16916425521
2002-08-22,17397957436
2002-08-23,17209531904
2002-08-26,17216510627
2002-08-27,16825702117
2002-08-28,16574468075
2002-08-29,16895489351
2002-08-30,16741957436
2002-09-03,16106893607
2002-09-04,15883574458
2002-09-05,15890553181
2002-09-06,15702127650
2002-09-09,15855659564
2002-09-10,15799829777
2002-09-11,15709106373
2002-09-12,15297361692
2002-09-13,15513702118
2002-09-16,15157787224
2002-09-17,14522723395
2002-09-18,14376170204
2002-09-19,14634382969
2002-09-20,14655319140
2002-09-23,14655319140
2002-09-24,14306382970
2002-09-25,14369191480
2002-09-26,14759999990
2002-09-27,14278468076
2002-09-30,14982367342
2002-10-01,15632489791
2002-10-02,15336979587
2002-10-03,14827224485
2002-10-04,13755999996
2002-10-07,13659959179
2002-10-08,14317469383
2002-10-09,13852040812
2002-10-10,14435673465
2002-10-11,14908489791
2002-10-14,14649918363
2002-10-15,16260448975
2002-10-16,16090530607
2002-10-17,16629836730
2002-10-18,16371265301
2002-10-21,16341714281
2002-10-22,16297387750
2002-10-23,16127469383
2002-10-24,16164408158
2002-10-25,16725877546
2002-10-28,16489469383
2002-10-29,16060979587
2002-10-30,16127469383
2002-10-31,15721142852
2002-11-01,16083142852
2002-11-04,16408204077
2002-11-05,16422979587
2002-11-06,17531142852
2002-11-07,17553306117
2002-11-08,17841428566
2002-11-11,17294734689
2002-11-12,17309510199
2002-11-13,17508979587
2002-11-14,17723224484
2002-11-15,17767551015
2002-11-18,17087877546
2002-11-19,17169142852
2002-11-20,17597632648
2002-11-21,17508979587
2002-11-22,17708448974
2002-11-25,17449877546
2002-11-26,16888408158
2002-11-27,17398163260
2002-11-29,17671510199
2002-12-02,17641959178
2002-12-03,17316897954
2002-12-04,17516367342
2002-12-05,17250408158
2002-12-06,17538530607
2002-12-09,17324285709
2002-12-10,17545918362
2002-12-11,18535877545
2002-12-12,18705795913
2002-12-13,18535877545
2002-12-16,18654081627
2002-12-17,18299469382
2002-12-18,18151714280
2002-12-19,17922693872
2002-12-20,18107387750
2002-12-23,18077836729
2002-12-24,18085224484
2002-12-26,18218204076
2002-12-27,17878367342
2002-12-30,18048285709
2002-12-31,17804489791
2003-01-02,18336408158
2003-01-03,18373346933
2003-01-06,18683632647
2003-01-07,18417673464
2003-01-08,18232979586
2003-01-09,19193387749
2003-01-10,19082571423
2003-01-13,19200775504
2003-01-14,19318979586
2003-01-15,18934816321
2003-01-16,18905265300
2003-01-17,18764897954
2003-01-21,18631918362
2003-01-22,18358571423
2003-01-23,18417673464
2003-01-24,17959632648
2003-01-27,17671510199
2003-01-28,17479428566
2003-01-29,17501591831
2003-01-30,17309510199
2003-01-31,17627183668
2003-02-03,17819265301
2003-02-04,17139591832
2003-02-05,17176530607
2003-02-06,16829306117
2003-02-07,16903183668
2003-02-10,17117428566
2003-02-11,16208734689
2003-02-12,16319551015
2003-02-13,16386040811
2003-02-14,16962285709
2003-02-18,17117428566
2003-02-19,17028775505
