,OMC
2000-06-16,16623130964
2000-06-19,16511449211
2000-06-20,16644071293
2000-06-21,16895355238
2000-06-22,16905825402
2000-06-23,16783673485
2000-06-26,15792497924
2000-06-27,15562154308
2000-06-28,15649405678
2000-06-29,15530743815
2000-06-30,15569869079
2000-07-03,15811126875
2000-07-05,15667770793
2000-07-06,15450988426
2000-07-07,14860081650
2000-07-10,14206238057
2000-07-11,15153786793
2000-07-12,15230709568
2000-07-13,14587355445
2000-07-14,15297142875
2000-07-17,15045395609
2000-07-18,14818123772
2000-07-19,14860081650
2000-07-20,15055885078
2000-07-21,14870571119
2000-07-24,15013927201
2000-07-25,15604833977
2000-07-26,15374065650
2000-07-27,15178262221
2000-07-28,14916025486
2000-07-31,14860081650
2000-08-01,14849592180
2000-08-02,14818123772
2000-08-03,14685257160
2000-08-04,14804137813
2000-08-07,15122318385
2000-08-08,15318121813
2000-08-09,15066374548
2000-08-10,15024416670
2000-08-11,14860081650
2000-08-14,14881060588
2000-08-15,14870571119
2000-08-16,14576865976
2000-08-17,14783158874
2000-08-18,14685257160
2000-08-21,14468474792
2000-08-22,14031413567
2000-08-23,14279664343
2000-08-24,14052392506
2000-08-25,14304139771
2000-08-28,14171273159
2000-08-29,14248195935
2000-08-30,14433509894
2000-08-31,14587355445
2000-09-01,14555887037
2000-09-05,14335608180
2000-09-06,14293650302
2000-09-07,13985959200
2000-09-08,14094350383
2000-09-11,14094350383
2000-09-12,14402041486
2000-09-13,14248195935
2000-09-14,14269174873
2000-09-15,13975469730
2000-09-18,13384562954
2000-09-19,13559387444
2000-09-20,13080368341
2000-09-21,13506940097
2000-09-22,13461485730
2000-09-25,13276171770
2000-09-26,12720229892
2000-09-27,12237714300
2000-09-28,12968480668
2000-09-29,12751698300
2000-10-02,13489449213
2000-10-03,13822929213
2000-10-04,13822929213
2000-10-05,13581064598
2000-10-06,13317212290
2000-10-09,13537089213
2000-10-10,13822929213
2000-10-11,13581064598
2000-10-12,13570070752
2000-10-13,13683673828
2000-10-16,13914544597
2000-10-17,13364852290
2000-10-18,13489449213
2000-10-19,14508212289
2000-10-20,14819704596
2000-10-23,14680449212
2000-10-24,15622255364
2000-10-25,15585609211
2000-10-26,15746852287
2000-10-27,16010704595
2000-10-30,16432135363
2000-10-31,16904870747
2000-11-01,16549403056
2000-11-02,16193935364
2000-11-03,16065673825
2000-11-06,16307538441
2000-11-07,15746852287
2000-11-08,15402378442
2000-11-09,14739083058
2000-11-10,14874673827
2000-11-13,14647467673
2000-11-14,14680449212
2000-11-15,14819704596
2000-11-16,14636473827
2000-11-17,14739083058
2000-11-20,15219147673
2000-11-21,14350633828
2000-11-22,14508212289
2000-11-24,14808710750
2000-11-27,14658461520
2000-11-28,14852686135
2000-11-29,14808710750
2000-11-30,14405603058
2000-12-01,14669455366
2000-12-04,15596603057
2000-12-05,16410147671
2000-12-06,16307538441
2000-12-07,16124307672
2000-12-08,16113313825
2000-12-11,16065673825
2000-12-12,15930083056
2000-12-13,15768839980
2000-12-14,15515981518
2000-12-15,15083556904
2000-12-18,15197159980
2000-12-19,15175172288
2000-12-20,14588833827
2000-12-21,14475230751
2000-12-22,14933307673
2000-12-26,15013929211
2000-12-27,14980947673
2000-12-28,14955295365
2000-12-29,15186166134
2001-01-02,14416596904
2001-01-03,15805486133
2001-01-04,16318532287
2001-01-05,15988716902
2001-01-08,15930083056
2001-01-09,16080332287
2001-01-10,15941076903
2001-01-11,16824249209
2001-01-12,16879218440
2001-01-16,16421141517
2001-01-17,16501763056
2001-01-18,16630024594
2001-01-19,16501763056
2001-01-22,16274556902
2001-01-23,16432135363
2001-01-24,16446793825
2001-01-25,16673999979
2001-01-26,16366172287
2001-01-29,16699652286
2001-01-30,16673999979
2001-01-31,16728969209
2001-02-01,16124307672
2001-02-02,15922753826
2001-02-05,16355178440
2001-02-06,16226916902
2001-02-07,16105984595
2001-02-08,16428470748
2001-02-09,16333190748
2001-02-12,16435799979
2001-02-13,16366172287
2001-02-14,16281886133
2001-02-15,16399153825
2001-02-16,16263563056
2001-02-20,17315307670
2001-02-21,17278661516
2001-02-22,17022138440
2001-02-23,16527415363
2001-02-26,16516421517
2001-02-27,16857230748
2001-02-28,16619030748
2001-03-01,16619030748
2001-03-02,16769279978
2001-03-05,16443129210
2001-03-06,16695987671
2001-03-07,16930523055
2001-03-08,16835243055
2001-03-09,16190270748
2001-03-12,15299769211
2001-03-13,15208153827
2001-03-14,14878338442
2001-03-15,15387719980
2001-03-16,15226476903
2001-03-19,15083556904
2001-03-20,15134861519
2001-03-21,15017593827
2001-03-22,14585169212
2001-03-23,14980947673
2001-03-26,14768399981
2001-03-27,15479335365
2001-03-28,15482999980
2001-03-29,15160513827
2001-03-30,15186166134
2001-04-02,15158484224
2001-04-03,14717152032
2001-04-04,14498309622
2001-04-05,15081889381
2001-04-06,14797394248
2001-04-09,15184015838
2001-04-10,15194957959
2001-04-11,15355442392
2001-04-12,15774890344
2001-04-16,15866074681
2001-04-17,16103153958
2001-04-18,16621080993
2001-04-19,16869102391
2001-04-20,16540838777
2001-04-23,16063032849
2001-04-24,16267285765
2001-04-25,16435064945
2001-04-26,16781565427
2001-04-27,16132332946
2001-04-30,16022911741
2001-05-01,15760300850
2001-05-02,15957259018
2001-05-03,15833248320
2001-05-04,16216222536
2001-05-07,16208927789
2001-05-08,16486128174
2001-05-09,16486128174
2001-05-10,16394943837
2001-05-11,16369412223
2001-05-14,16376706970
2001-05-15,16595549379
2001-05-16,16850865523
2001-05-17,17193718631
2001-05-18,17117123788
2001-05-21,17474566390
2001-05-22,17551161233
2001-05-23,17795535257
2001-05-24,17153597523
2001-05-25,17135360656
2001-05-29,17124418535
2001-05-30,16934755114
2001-05-31,16974876222
2001-06-01,16843570776
2001-06-04,16996760463
2001-06-05,17080650053
2001-06-06,17066060559
2001-06-07,16752386439
2001-06-08,16478833427
2001-06-11,16318348994
2001-06-12,15884311548
2001-06-13,15628995404
2001-06-14,15049063019
2001-06-15,15038120899
2001-06-18,14771862634
2001-06-19,15209547453
2001-06-20,14946936562
2001-06-21,15049063019
2001-06-22,15329910778
2001-06-25,15092831501
2001-06-26,15151189477
2001-06-27,15264258055
2001-06-28,15340852898
2001-06-29,15683706007
2001-07-02,16043910600
2001-07-03,16128877199
2001-07-05,15700350000
2001-07-06,15290293800
2001-07-09,15619077600
2001-07-10,15053865000
2001-07-11,15323541599
2001-07-12,15607995000
2001-07-13,15737292000
2001-07-16,15907225200
2001-07-17,15822258600
2001-07-18,15382648800
2001-07-19,15286599600
2001-07-20,14891320200
2001-07-23,14503429200
2001-07-24,15312459000
2001-07-25,15733597800
2001-07-26,16202761200
2001-07-27,16158430800
2001-07-30,16187984400
2001-07-31,16139959800
2001-08-01,16069770000
2001-08-02,16066075800
2001-08-03,15984803400
2001-08-06,15892448400
2001-08-07,15837035400
2001-08-08,15670796400
2001-08-09,15659713800
2001-08-10,15656019600
2001-08-13,15681879000
2001-08-14,15423285000
2001-08-15,15238575000
2001-08-16,15194244600
2001-08-17,15013228800
2001-08-20,15201633000
2001-08-21,14828518800
2001-08-22,14943039000
2001-08-23,15013228800
2001-08-24,15349400999
2001-08-27,15157302600
2001-08-28,15098195400
2001-08-29,14651197199
2001-08-30,14111844000
2001-08-31,14366743800
2001-09-04,14015794800
2001-09-05,13465359000
2001-09-06,13561408200
2001-09-07,13653763200
2001-09-10,13583573400
2001-09-17,12375570000
2001-09-18,12309074400
2001-09-19,11950737000
2001-09-20,11629341600
2001-09-21,11082600000
2001-09-24,11972902199
2001-09-25,11865770400
2001-09-26,11736473400
2001-09-27,11869464600
2001-09-28,11987679000
2001-10-01,11887696796
2001-10-02,11619385144
2001-10-03,12282711173
2001-10-04,12610647636
2001-10-05,12502577665
2001-10-08,12394507694
2001-10-09,12603194535
2001-10-10,13113731983
2001-10-11,13896307634
2001-10-12,13862768678
2001-10-15,13762151808
2001-10-16,13683894243
2001-10-17,13218075403
2001-10-18,13128638186
2001-10-19,13210622302
2001-10-22,13773331461
2001-10-23,14552180561
2001-10-24,14324860967
2001-10-25,14794406358
2001-10-26,15014272850
2001-10-29,14786953256
2001-10-30,14358399924
2001-10-31,14306228214
2001-11-01,14637891228
2001-11-02,14589446068
2001-11-05,14794406358
2001-11-06,15036632155
2001-11-07,14977007343
2001-11-08,15167061430
2001-11-09,15152155227
2001-11-12,14999366648
2001-11-13,15576982009
2001-11-14,16393096617
2001-11-15,15912371574
2001-11-16,15752129893
2001-11-19,15904918472
2001-11-20,15875106067
2001-11-21,15681325429
2001-11-23,16098699110
2001-11-26,16340924907
2001-11-27,16225401834
2001-11-28,15927277777
2001-11-29,15871379516
2001-11-30,15998082240
2001-12-03,15647786473
2001-12-04,15890012270
2001-12-05,16661408269
2001-12-06,16713579979
2001-12-07,16285026646
2001-12-10,16061433603
2001-12-11,16475080733
2001-12-12,16180683226
2001-12-13,15893738820
2001-12-14,15726044038
2001-12-17,15949637081
2001-12-18,16169503574
2001-12-19,16411729370
2001-12-20,16247761139
2001-12-21,16489986936
2001-12-24,16452721428
2001-12-26,16434088675
2001-12-27,16672587921
2001-12-28,16728486182
2001-12-31,16650228616
2002-01-02,16791837544
2002-01-03,16564517950
2002-01-04,16590603805
2002-01-07,16668861370
2002-01-08,16806743747
2002-01-09,16847735805
2002-01-10,16743392384
2002-01-11,16564517950
2002-01-14,16590603805
2002-01-15,16586877254
2002-01-16,16113605313
2002-01-17,16344651457
2002-01-18,16210495632
2002-01-22,16288753197
2002-01-23,16128511516
2002-01-24,16378190414
2002-01-25,16344651457
2002-01-28,16352104559
2002-01-29,16016714994
2002-01-30,15953363632
2002-01-31,16281300095
2002-02-01,16471354182
2002-02-04,16139691168
2002-02-05,15856473313
2002-02-06,15919824675
2002-02-07,15960816733
2002-02-08,16050253951
2002-02-11,16217948733
2002-02-12,15908645023
2002-02-13,16303659400
2002-02-14,16489986936
2002-02-15,16244034588
2002-02-19,16061433603
2002-02-20,16359557660
2002-02-21,16262667342
2002-02-22,16627869312
2002-02-25,16728486182
2002-02-26,17153312964
2002-02-27,17175672268
2002-02-28,17429077717
2002-03-01,17607952152
2002-03-04,18114763049
2002-03-05,17712295572
2002-03-06,17339640500
2002-03-07,17019157138
2002-03-08,17458890123
2002-03-11,17443983920
2002-03-12,17481249427
2002-03-13,17272562587
2002-03-14,17153312964
2002-03-15,17473796326
2002-03-18,17615405253
2002-03-19,17906076209
2002-03-20,17954521368
2002-03-21,17742107977
2002-03-22,17786826586
2002-03-25,17410444963
2002-03-26,17194305022
2002-03-27,17503608731
2002-03-28,17589319398
2002-04-01,17448114055
2002-04-02,17262653659
2002-04-03,17173632669
2002-04-04,16969626234
2002-04-05,17073484055
2002-04-08,17181051085
2002-04-09,17351674649
2002-04-10,17537135045
2002-04-11,17307164154
2002-04-12,17470369303
2002-04-15,17099448511
2002-04-16,17396185144
2002-04-17,17344256233
2002-04-18,17366511481
2002-04-19,17581645540
2002-04-22,17459241679
2002-04-23,17296036530
2002-04-24,17247816828
2002-04-25,17229270788
2002-04-26,16617251481
2002-04-29,16235203065
2002-04-30,16179564947
2002-05-01,16505975244
2002-05-02,16283422768
2002-05-03,16135054452
2002-05-06,15652857422
2002-05-07,15838317818
2002-05-08,16324224055
2002-05-09,16290841184
2002-05-10,16012650590
2002-05-13,16227784650
2002-05-14,16876896036
2002-05-15,16928824946
2002-05-16,16869477620
2002-05-17,16650634352
2002-05-20,16346479303
2002-05-21,16034905838
2002-05-22,16101671580
2002-05-23,16472592372
2002-05-24,16717400095
2002-05-28,16505975244
2002-05-29,16565322570
2002-05-30,16012650590
2002-05-31,16020069006
2002-06-03,15471106234
2002-06-04,15207752472
2002-06-05,14907306630
2002-06-06,14005969105
2002-06-07,13482970789
2002-06-10,14280450492
2002-06-11,14384308313
2002-06-12,11550473462
2002-06-13,10129846829
2002-06-14,10211449403
2002-06-17,10385782176
2002-06-18,10738156928
2002-06-19,10330144057
2002-06-20,9944386433
2002-06-21,9836819403
2002-06-24,9710706334
2002-06-25,9046758116
2002-06-26,9054176532
2002-06-27,8215895542
2002-06-28,8494086136
2002-07-01,7555113183
2002-07-02,7773940713
2002-07-03,7955678831
2002-07-05,8304319302
2002-07-08,8819862126
2002-07-09,8716011773
2002-07-10,8645541890
2002-07-11,9161084714
2002-07-12,9724843773
2002-07-15,9535687773
2002-07-16,9687754362
2002-07-17,9546814597
2002-07-18,9272352950
2002-07-19,9268644008
2002-07-22,8897749890
2002-07-23,8664086596
2002-07-24,9450382126
2002-07-25,9253808244
2002-07-26,9250099302
2002-07-29,10132827303
2002-07-30,10373908480
2002-07-31,9888037185
2002-08-01,9743388479
2002-08-02,9417001656
2002-08-05,8756810125
2002-08-06,9884328244
2002-08-07,9773060009
2002-08-08,10377617421
2002-08-09,10247804480
2002-08-12,10633534363
2002-08-13,9836112009
2002-08-14,10455505186
2002-08-15,10889451304
2002-08-16,11341942128
2002-08-19,11905701187
2002-08-20,12024387305
2002-08-21,11475464010
2002-08-22,12035514129
2002-08-23,11416120952
2002-08-26,11850067070
2002-08-27,11323397422
2002-08-28,11026682128
2002-08-29,11267763304
2002-08-30,11219547069
2002-09-03,10385035304
2002-09-04,10648370127
2002-09-05,10767056245
2002-09-06,11126823540
2002-09-09,11449501422
2002-09-10,11672037893
2002-09-11,11827813423
2002-09-12,11805559775
2002-09-13,11442083540
2002-09-16,11364195775
2002-09-17,11393867304
2002-09-18,11286308010
2002-09-19,10533392951
2002-09-20,10833817186
2002-09-23,10451796245
2002-09-24,10385035304
2002-09-25,10889451304
2002-09-26,11245509657
2002-09-27,10359072715
2002-09-30,10236645058
2002-10-01,10424169806
2002-10-02,9611562565
2002-10-03,9431391729
2002-10-04,9578469963
2002-10-07,9401976082
2002-10-08,9317406098
2002-10-09,9468161288
2002-10-10,10067505089
2002-10-11,10310184175
2002-10-14,10593309775
2002-10-15,11258838782
2002-10-16,11174268797
2002-10-17,10633756289
2002-10-18,10894820153
2002-10-21,11332377898
2002-10-22,11545641337
2002-10-23,11655950012
2002-10-24,10872758418
2002-10-25,11016159696
2002-10-28,10729357141
2002-10-29,10949974491
2002-10-30,10883789286
2002-10-31,10596986730
2002-11-01,11019836652
2002-11-04,11582410896
2002-11-05,11630211321
2002-11-06,11549318293
2002-11-07,11233100091
2002-11-08,11347085722
2002-11-11,10979390138
2002-11-12,11133822283
2002-11-13,10964682314
2002-11-14,12192785565
2002-11-15,12192785565
2002-11-18,12178077742
2002-11-19,12126600360
2002-11-20,11839797804
2002-11-21,12270001638
2002-11-22,12240585991
2002-11-25,12244262947
2002-11-26,11898629098
2002-11-27,12387664224
2002-11-29,12512680723
2002-12-02,12714913294
2002-12-03,12358248578
2002-12-04,12281032505
2002-12-05,12325155975
2002-12-06,12483265076
2002-12-09,11990552994
2002-12-10,12336186843
2002-12-11,12545773326
2002-12-12,12619312442
2002-12-13,12303094240
2002-12-16,12292063373
2002-12-17,12167046874
2002-12-18,11942752568
2002-12-19,11817736069
2002-12-20,11729489129
2002-12-23,11839797804
2002-12-24,11821413025
2002-12-26,11740519997
2002-12-27,11564026116
2002-12-30,11758904776
2002-12-31,12034354833
2003-01-02,12406935478
2003-01-03,12414387091
2003-01-06,12503806446
2003-01-07,12425564510
2003-01-08,12090241930
2003-01-09,12365951607
2003-01-10,12410661284
2003-01-13,12447919349
2003-01-14,12615580639
2003-01-15,12369677414
2003-01-16,12134951607
2003-01-17,11818258059
2003-01-21,11412145156
2003-01-22,11207225801
2003-01-23,11412145156
2003-01-24,11125258059
2003-01-27,11006032253
2003-01-28,11169967737
2003-01-29,11222129027
2003-01-30,10991129027
2003-01-31,11233306446
2003-02-03,11009758059
2003-02-04,10700516124
2003-02-05,10570112898
2003-02-06,10577564511
2003-02-07,10544032253
2003-02-10,10611096769
2003-02-11,10503048382
2003-02-12,10204983866
2003-02-13,9973983866
2003-02-14,10070854834
2003-02-18,10421080640
2003-02-19,10361467737
2003-02-20,10339112898
2003-02-21,10637177414
2003-02-24,10059677415
2003-02-25,10685612898
2003-02-26,10052225802
2003-02-27,9735532253
2003-02-28,9869661286
2003-03-03,9724354834
2003-03-04,9683370963
2003-03-05,9701999995
2003-03-06,9131951608
2003-03-07,9538064512
2003-03-10,9295887092
2003-03-11,9131951608
2003-03-12,9035080641
2003-03-13,9713177415
2003-03-14,9523161286
2003-03-17,10171451608
2003-03-18,10152822576
2003-03-19,10052225802
2003-03-20,10283225802
2003-03-21,11006032253
2003-03-24,10417354834
2003-03-25,10566387092
2003-03-26,10547758059
2003-03-27,10324209672
2003-03-28,10339112898
2003-03-31,10132031810
2003-04-01,10218054967
2003-04-02,10614509515
2003-04-03,10775335417
2003-04-04,10790295966
2003-04-07,11078286534
2003-04-08,10760374868
2003-04-09,10693052397
2003-04-10,11085766809
2003-04-11,10932421181
2003-04-14,11272773671
2003-04-15,11463520671
2003-04-16,11242852573
2003-04-17,11485961494
2003-04-21,11351316553
2003-04-22,11672968357
2003-04-23,11800133023
2003-04-24,11859975219
2003-04-25,11620606435
2003-04-28,11833794259
2003-04-29,11800133023
2003-04-30,11575724788
2003-05-01,11500922043
2003-05-02,11758991514
2003-05-05,11631826847
2003-05-06,12050722219
2003-05-07,12230248807
2003-05-08,12061942631
2003-05-09,12376114160
2003-05-12,12667844865
2003-05-13,12604262532
2003-05-14,12495798552
2003-05-15,12742647610
2003-05-16,12521979512
2003-05-19,12151705925
2003-05-20,11990880023
2003-05-21,12237729082
2003-05-22,12540680199
2003-05-23,12275130454
2003-05-27,12753868022
2003-05-28,12619223081
2003-05-29,12735167336
2003-05-30,13056819139
2003-06-02,13419612453
2003-06-03,13034378316
2003-06-04,13258786551
2003-06-05,13423352590
2003-06-06,13550517256
2003-06-09,13303668198
2003-06-10,13561737668
2003-06-11,13632800276
2003-06-12,13666461511
2003-06-13,13632800276
2003-06-16,14070396334
2003-06-17,14029254824
2003-06-18,14074136471
2003-06-19,13745004393
2003-06-20,14006814001
2003-06-23,13677681923
2003-06-24,13726303707
2003-06-25,13543036982
2003-06-26,13584178492
2003-06-27,13449533551
2003-06-30,13470537908
2003-07-01,13571989658
2003-07-02,13564474714
2003-07-03,13519385047
2003-07-07,13579504603
2003-07-08,13545687353
2003-07-09,13804952936
2003-07-10,13560717241
2003-07-11,13898889741
2003-07-14,13940221936
2003-07-15,13692228769
2003-07-16,13564474714
2003-07-17,13493082742
2003-07-18,13617079325
2003-07-21,13455508019
2003-07-22,13417933297
2003-07-23,13425448242
2003-07-24,13466780436
2003-07-25,13726046019
2003-07-28,13789923047
2003-07-29,13955251825
2003-07-30,13737318436
2003-07-31,13880102380
2003-08-01,13793680519
2003-08-04,13707258658
2003-08-05,13350298797
2003-08-06,13376601103
2003-08-07,13534414936
2003-08-08,13662168991
2003-08-11,13613321853
2003-08-12,13940221936
2003-08-13,13895132269
2003-08-14,14067975991
2003-08-15,14090520825
2003-08-18,14248334658
2003-08-19,14406148491
2003-08-20,14443723213
2003-08-21,14421178380
2003-08-22,14424935852
2003-08-25,14327241574
2003-08-26,14285909380
2003-08-27,14364816297
2003-08-28,14571477269
2003-08-29,14672929019
2003-09-02,15029888880
2003-09-03,15033646352
2003-09-04,15097523379
2003-09-05,15086250963
2003-09-08,15214005018
2003-09-09,15082493491
2003-09-10,14676686491
2003-09-11,14766865824
2003-09-12,14661656602
2003-09-15,14601537046
2003-09-16,14842015269
2003-09-17,14804440546
2003-09-18,14958496907
2003-09-19,14879589991
2003-09-22,14526387602
2003-09-23,14545174963
2003-09-24,14064218519
2003-09-25,13959009297
2003-09-26,13602049436
2003-09-29,13628351741
2003-09-30,13533633345
2003-10-01,13978100012
2003-10-02,13887700012
2003-10-03,13944200012
2003-10-06,13974333345
2003-10-07,13838733345
2003-10-08,13827433345
2003-10-09,14204100012
2003-10-10,14366066679
2003-10-13,14388666679
2003-10-14,14509200012
2003-10-15,14362300012
2003-10-16,14452700012
2003-10-17,14362300012
2003-10-20,14151366679
2003-10-21,14072266679
2003-10-22,13868866678
2003-10-23,13691833345
2003-10-24,13654166678
2003-10-27,13812366678
2003-10-28,14607133346
2003-10-29,14848200013
2003-10-30,15002633346
2003-10-31,15029000013
2003-11-03,15104333346
2003-11-04,15029000013
2003-11-05,15062900013
2003-11-06,15142000013
2003-11-07,15255000013
2003-11-10,14916000013
2003-11-11,14863266679
2003-11-12,14980033346
2003-11-13,14964966679
2003-11-14,14931066679
2003-11-17,14818066679
2003-11-18,14644800012
2003-11-19,14795466679
2003-11-20,14573233346
2003-11-21,14682466679
2003-11-24,14968733346
2003-11-25,14957433346
2003-11-26,14957433346
2003-11-28,15002633346
2003-12-01,15081733346
2003-12-02,15823766680
2003-12-03,15835066680
2003-12-04,15906633347
2003-12-05,15718300013
2003-12-08,15812466680
2003-12-09,15676866680
2003-12-10,15684400013
2003-12-11,15872733347
2003-12-12,15857666680
2003-12-15,15703233347
2003-12-16,15793633347
2003-12-17,15688166680
2003-12-18,15899100014
2003-12-19,15966900014
2003-12-22,16170300014
2003-12-23,16313433347
2003-12-24,16324733347
2003-12-26,16256933347
2003-12-29,16475400014
2003-12-30,16415133347
2003-12-31,16449033347
2004-01-02,16403833347
2004-01-05,16550733347
2004-01-06,16656200014
2004-01-07,16422666681
2004-01-08,16705166681
2004-01-09,16294600014
2004-01-12,16366166681
2004-01-13,16373700014
2004-01-14,16452800014
2004-01-15,16452800014
2004-01-16,16309666681
2004-01-20,16313433347
2004-01-21,16207966681
2004-01-22,16207966681
2004-01-23,16223033347
2004-01-26,16245633347
2004-01-27,16264466681
2004-01-28,15820000014
2004-01-29,15658033347
2004-01-30,15518666680
2004-02-02,15601533347
2004-02-03,15590233347
2004-02-04,15349166680
2004-02-05,15386833346
2004-02-06,15319033346
2004-02-09,15266300013
2004-02-10,15349166680
2004-02-11,15680633347
2004-02-12,15767266680
2004-02-13,15650500013
2004-02-17,15428266680
2004-02-18,15096800013
2004-02-19,14942366679
2004-02-20,14904700013
2004-02-23,14678700012
2004-02-24,14810533346
2004-02-25,14769100013
2004-02-26,14934833346
2004-02-27,15405666680
2004-03-01,15288900013
2004-03-02,15070433346
2004-03-03,15115633346
2004-03-04,15145766680
2004-03-05,15266300013
2004-03-08,14991333346
2004-03-09,14772866679
2004-03-10,14528033346
2004-03-11,14204100012
2004-03-12,14475300012
2004-03-15,14177733345
2004-03-16,14170200012
2004-03-17,14690000013
2004-03-18,14577000012
2004-03-19,14603366679
2004-03-22,14441400012
2004-03-23,14512966679
2004-03-24,14524266679
2004-03-25,14791700013
2004-03-26,14810533346
2004-03-29,14991333346
2004-03-30,14998866679
2004-03-31,15037805465
2004-04-01,15030310920
2004-04-02,15390049102
2004-04-05,15390049102
2004-04-06,15270136374
2004-04-07,15172707283
2004-04-08,15210180011
2004-04-12,15191443647
2004-04-13,15037805465
2004-04-14,14974101829
2004-04-15,14989090920
2004-04-16,15348829102
2004-04-19,15348829102
2004-04-20,15094014556
2004-04-21,15131487283
2004-04-22,15183949101
2004-04-23,14932881829
2004-04-26,14666825465
2004-04-27,14910398192
2004-04-28,14951618192
2004-04-29,15064036374
2004-04-30,14895409101
2004-05-03,15277630920
2004-05-04,15509961829
2004-05-05,15592401829
2004-05-06,15315103647
2004-05-07,15157718192
2004-05-10,14809221828
2004-05-11,15030310920
2004-05-12,14981596374
2004-05-13,14947870919
2004-05-14,14996585465
2004-05-17,14734276374
2004-05-18,14869178192
2004-05-19,14895409101
2004-05-20,14801727283
2004-05-21,14812969101
2004-05-24,14741770919
2004-05-25,14940376374
2004-05-26,14989090920
2004-05-27,15082772738
2004-05-28,14966607283
2004-06-01,15101509101
2004-06-02,15337587283
2004-06-03,15075278192
2004-06-04,14970354556
2004-06-07,15195190920
2004-06-08,15341334556
2004-06-09,15101509101
2004-06-10,14947870919
2004-06-14,14816716374
2004-06-15,14876672738
2004-06-16,14782990919
2004-06-17,14584385465
2004-06-18,14453230919
2004-06-21,14333318192
2004-06-22,14198416373
2004-06-23,14235889101
2004-06-24,14265867283
2004-06-25,14430747283
2004-06-28,14352054555
2004-06-29,14258372737
2004-06-30,13959835432
2004-07-01,13665556952
2004-07-02,13503703787
2004-07-06,13408063281
2004-07-07,12848934167
2004-07-08,12779043028
2004-07-09,12845255686
2004-07-12,12768007585
2004-07-13,12756972142
2004-07-14,12650296193
2004-07-15,12606154421
2004-07-16,12576726573
2004-07-19,12734901256
2004-07-20,12951931636
2004-07-21,13084356952
2004-07-22,12962967079
2004-07-23,12790078471
2004-07-26,12764329104
2004-07-27,12793756952
2004-07-28,13021822775
2004-07-29,13135855686
2004-07-30,13246210117
2004-08-02,13275637965
2004-08-03,13205746825
2004-08-04,12944574674
2004-08-05,12723865813
2004-08-06,12451658218
2004-08-09,12370731636
2004-08-10,12517870877
2004-08-11,12569369611
2004-08-12,12348660750
2004-08-13,12267734168
2004-08-16,12381767079
2004-08-17,12459015180
2004-08-18,12668688598
2004-08-19,12653974674
2004-08-20,12775364547
2004-08-23,12742258218
