,CBRE
2004-11-18,1882623610
2004-11-19,1884070652
2004-11-22,1903803044
2004-11-23,1889924595
2004-11-24,1927196890
2004-11-26,1965938152
2004-11-29,1960084209
2004-11-30,1979816600
2004-12-01,2112089397
2004-12-02,2201981402
2004-12-03,2250961583
2004-12-06,2199065393
2004-12-07,2050699735
2004-12-08,2148638171
2004-12-09,2180056523
2004-12-10,2185910466
2004-12-13,2172755538
2004-12-14,2195403938
2004-12-15,2216605297
2004-12-16,2196149384
2004-12-17,2177864035
2004-12-20,2161069577
2004-12-21,2207111824
2004-12-22,2264116510
2004-12-23,2364970955
2004-12-27,2332083636
2004-12-28,2357648045
2004-12-29,2404435738
2004-12-30,2478234881
2004-12-31,2467019529
2005-01-03,2422899823
2005-01-04,2408935936
2005-01-05,2339822417
2005-01-06,2365544206
2005-01-07,2367750191
2005-01-10,2460401573
2005-01-11,2408207961
2005-01-12,2481733451
2005-01-13,2474387520
2005-01-14,2496447373
2005-01-18,2561148921
2005-01-19,2514823230
2005-01-20,2441297740
2005-01-21,2465563579
2005-01-24,2451577632
2005-01-25,2426583819
2005-01-26,2470703524
2005-01-27,2448643671
2005-01-28,2460401573
2005-01-31,2572906823
2005-02-01,2609680598
2005-02-02,2584686784
2005-02-03,2762621558
2005-02-04,2723663858
2005-02-07,2656006289
2005-02-08,2720707837
2005-02-09,2702331980
2005-02-10,2695714024
2005-02-11,2786887396
2005-02-14,2800123308
2005-02-15,2777335480
2005-02-16,2814837230
2005-02-17,2772923509
2005-02-18,2720707837
2005-02-22,2706015975
2005-02-23,2650866343
2005-02-24,2687618058
2005-02-25,2676588131
2005-02-28,2653072328
2005-03-01,2661896269
2005-03-02,2684684097
2005-03-03,2684684097
2005-03-04,2720707837
2005-03-07,2713361906
2005-03-08,2652322293
2005-03-09,2588348720
2005-03-10,2553052955
2005-03-11,2541295054
2005-03-14,2536883083
2005-03-15,2526581132
2005-03-16,2540567078
2005-03-17,2565560892
2005-03-18,2569244887
2005-03-21,2518507226
2005-03-22,2575112808
2005-03-23,2555258940
2005-03-24,2614820543
2005-03-28,2609680598
2005-03-29,2518507226
2005-03-30,2551597005
2005-03-31,2581737889
2005-04-01,2573636270
2005-04-04,2523454934
2005-04-05,2519758294
2005-04-06,2497622724
2005-04-07,2534522719
2005-04-08,2521971851
2005-04-11,2564782042
2005-04-12,2581737889
2005-04-13,2458531308
2005-04-14,2490982053
2005-04-15,2415721117
2005-04-18,2409080446
2005-04-19,2434912656
2005-04-20,2459261782
2005-04-21,2505016004
2005-04-22,2538949833
2005-04-25,2586917612
2005-04-26,2542646473
2005-04-27,2582490498
2005-04-28,2431968625
2005-04-29,2564029433
2005-05-02,2603142984
2005-05-03,2617907409
2005-05-04,2604626068
2005-05-05,2534522719
2005-05-06,2536736276
2005-05-09,2568456547
2005-05-10,2523454934
2005-05-11,2541163390
2005-05-12,2517544737
2005-05-13,2479183795
2005-05-16,2501319364
2005-05-17,2520510903
2005-05-18,2611997212
2005-05-19,2746293713
2005-05-20,2744810630
2005-05-23,2836296939
2005-05-24,2870252903
2005-05-25,2813430896
2005-05-26,2855488478
2005-05-27,2868769820
2005-05-31,2837780022
2005-06-01,2783171572
2005-06-02,2849578281
2005-06-03,2843690219
2005-06-06,2879107131
2005-06-07,2866556263
2005-06-08,2874680017
2005-06-09,2944761230
2005-06-10,2873927407
2005-06-13,2870252903
2005-06-14,2856971561
2005-06-15,2885747802
2005-06-16,2893849420
2005-06-17,2961008738
2005-06-20,3054708604
2005-06-21,3011167939
2005-06-22,3025201890
2005-06-23,3037000149
2005-06-24,3124811953
2005-06-27,3178667794
2005-06-28,3246557586
2005-06-29,3183094908
2005-06-30,3253418000
2005-07-01,3199275962
2005-07-05,3248233004
2005-07-06,3284572482
2005-07-07,3287532158
2005-07-08,3294964727
2005-07-11,3363193041
2005-07-12,3369134646
2005-07-13,3232655764
2005-07-14,3127309110
2005-07-15,3126574754
2005-07-18,3133250714
2005-07-19,3227448515
2005-07-20,3202235638
2005-07-21,3156238271
2005-07-22,3156238271
2005-07-25,3141417639
2005-07-26,3160688911
2005-07-27,3314992608
2005-07-28,3395104132
2005-07-29,3415132013
2005-08-01,3386937207
2005-08-02,3418826044
2005-08-03,3623555494
2005-08-04,3558286855
2005-08-05,3475950011
2005-08-08,3412906693
2005-08-09,3478175331
2005-08-10,3502653853
2005-08-11,3549385575
2005-08-12,3538258974
2005-08-15,3553101860
2005-08-16,3562003140
2005-08-17,3446286494
2005-08-18,3412150084
2005-08-19,3426992969
2005-08-22,3458881806
2005-08-23,3438119569
2005-08-24,3449980526
2005-08-25,3393613167
2005-08-26,3211871274
2005-08-29,3207420634
2005-08-30,3426258613
2005-08-31,3616879534
2005-09-01,3642849020
2005-09-02,3604284222
2005-09-06,3642114664
2005-09-07,3679945106
2005-09-08,3670287217
2005-09-09,3670287217
2005-09-12,3630988063
2005-09-13,3603527613
2005-09-14,3578314736
2005-09-15,3598342617
2005-09-16,3490792896
2005-09-19,3512289489
2005-09-20,3496712248
2005-09-21,3393613167
2005-09-22,3325362599
2005-09-23,3366909326
2005-09-26,3331304204
2005-09-27,3263810245
2005-09-28,3472233727
2005-09-29,3619104854
2005-09-30,3673743385
2005-10-03,3771568003
2005-10-04,3679724418
2005-10-05,3651342510
2005-10-06,3569198504
2005-10-07,3516937265
2005-10-10,3527398473
2005-10-11,3502757511
2005-10-12,3524396756
2005-10-13,3528876931
2005-10-14,3606540762
2005-10-17,3583400659
2005-10-18,3451235500
2005-10-19,3413893243
2005-10-20,3392231597
2005-10-21,3425093680
2005-10-24,3569960134
2005-10-25,3480356637
2005-10-26,3509477773
2005-10-27,3422114364
2005-10-28,3503496740
2005-10-31,3647601564
2005-11-01,3703603750
2005-11-02,4205383334
2005-11-03,4182243231
2005-11-04,4035898320
2005-11-07,4136702254
2005-11-08,4058299194
2005-11-09,3942553876
2005-11-10,4027677199
2005-11-11,3994815116
2005-11-14,3978395275
2005-11-15,3871610307
2005-11-16,3938812930
2005-11-17,3972414242
2005-11-18,3982136221
2005-11-21,4121760871
2005-11-22,4181504002
2005-11-23,4190464352
2005-11-25,4230024296
2005-11-28,4162821673
2005-11-29,4144161745
2005-11-30,4144161745
2005-12-01,4132961308
2005-12-02,4143422516
2005-12-05,4008255641
2005-12-06,4017215990
2005-12-07,3931353439
2005-12-08,3976894417
2005-12-09,3958234488
2005-12-12,4080700068
2005-12-13,4058299194
2005-12-14,4110560434
2005-12-15,4218823859
2005-12-16,4327109685
2005-12-19,4233765242
2005-12-20,4265126466
2005-12-21,4268105783
2005-12-22,4339788580
2005-12-23,4359949367
2005-12-27,4436873969
2005-12-28,4439114057
2005-12-29,4419692499
2005-12-30,4394312308
2006-01-03,4533002025
2006-01-04,4582625120
2006-01-05,4654037264
2006-01-06,4676593216
2006-01-09,4717960832
2006-01-10,4774350713
2006-01-11,4802162202
2006-01-12,4794651070
2006-01-13,4612692204
2006-01-17,4586369408
2006-01-18,4634503810
2006-01-19,4680360060
2006-01-20,4658548455
2006-01-23,4749539165
2006-01-24,4757050297
2006-01-25,4693149285
2006-01-26,4773583810
2006-01-27,4736005594
2006-01-30,4830740593
2006-01-31,4745772321
2006-02-01,4788628630
2006-02-02,5192380173
2006-02-03,5132223449
2006-02-06,5084111603
2006-02-07,4993143448
2006-02-08,4941264758
2006-02-09,4992376546
2006-02-10,4896152854
2006-02-13,4902152737
2006-02-14,5016443747
2006-02-15,5111178745
2006-02-16,5227725350
2006-02-17,5259303683
2006-02-21,5105923209
2006-02-22,5199146959
2006-02-23,5186357734
2006-02-24,5250281302
2006-02-27,5347271896
2006-02-28,5163801782
2006-03-01,5386361361
2006-03-02,5438240051
2006-03-03,5539741835
2006-03-06,5443495588
2006-03-07,5281859635
2006-03-08,5252536897
2006-03-09,5223958506
2006-03-10,5323204695
2006-03-13,5300648743
2006-03-14,5505907907
2006-03-15,5702889037
2006-03-16,5612665228
2006-03-17,5617176419
2006-03-20,5612665228
2006-03-21,5556275348
2006-03-22,5590109276
2006-03-23,5665310821
2006-03-24,5822435583
2006-03-27,5910403796
2006-03-28,6047995104
2006-03-29,6180330875
2006-03-30,6184842065
2006-03-31,6078451156
2006-04-03,5976767029
2006-04-04,6010661738
2006-04-05,6078451156
2006-04-06,6182394930
2006-04-07,6154533479
2006-04-10,6092009039
2006-04-11,6136456301
2006-04-12,6161312421
2006-04-13,6157538810
2006-04-17,6059628294
2006-04-18,6369199970
2006-04-19,6441508683
2006-04-20,6461845508
2006-04-21,6417398246
2006-04-24,6281073727
2006-04-25,6136456301
2006-04-26,6462591192
2006-04-27,6552977083
2006-04-28,6620020817
2006-05-01,6513817395
2006-05-02,6360907065
2006-05-03,6550717435
2006-05-04,6476149075
2006-05-05,6556750693
2006-05-08,6583098181
2006-05-09,6595910381
2006-05-10,6555982413
2006-05-11,6500259512
2006-05-12,6284824741
2006-05-15,5996358170
2006-05-16,6238886112
2006-05-17,5869817923
2006-05-18,5936093378
2006-05-19,5830635640
2006-05-22,5766619833
2006-05-23,5735730454
2006-05-24,5390772702
2006-05-25,5704095393
2006-05-26,5762846222
2006-05-30,5617483113
2006-05-31,5827630309
2006-06-01,5897679374
2006-06-02,6055854683
2006-06-05,5838928545
2006-06-06,5527097222
2006-06-07,5224304488
2006-06-08,5355364029
2006-06-09,5481904277
2006-06-12,5307911437
2006-06-13,5142957186
2006-06-14,5197188721
2006-06-15,5355364029
2006-06-16,5301132495
2006-06-19,5246900960
2006-06-20,5052571295
2006-06-21,5133918597
2006-06-22,5115841419
2006-06-23,5149736128
2006-06-26,5425413095
2006-06-27,5371181560
2006-06-28,5341806146
2006-06-29,5626521702
2006-06-30,5646067629
2006-07-03,5693685067
2006-07-05,5773047463
2006-07-06,5750372493
2006-07-07,5682347582
2006-07-10,5657405114
2006-07-11,5600717688
2006-07-12,5448795387
2006-07-13,5351293014
2006-07-14,5210708197
2006-07-17,5199370712
2006-07-18,5188033227
2006-07-19,5407980440
2006-07-20,5176695742
2006-07-21,4988493488
2006-07-24,5246988150
2006-07-25,5444260393
2006-07-26,5700487558
2006-07-27,5199370712
2006-07-28,5283268103
2006-07-31,5335420535
2006-08-01,5188033227
2006-08-02,5192568221
2006-08-03,5373967984
2006-08-04,5421585422
2006-08-07,5451062884
2006-08-08,5188033227
2006-08-09,4918201079
2006-08-10,4743603807
2006-08-11,4671043902
2006-08-14,4612088979
2006-08-15,4841106180
2006-08-16,4800291233
2006-08-17,4816163712
2006-08-18,4802558730
2006-08-21,4727731328
2006-08-22,4804826227
2006-08-23,4761743784
2006-08-24,4773081269
2006-08-25,4877386133
2006-08-28,5004365967
2006-08-29,5045180914
2006-08-30,5129078304
2006-08-31,5215243192
2006-09-01,5178963239
2006-09-05,5428387913
2006-09-06,5319548055
2006-09-07,5373967984
2006-09-08,5326350546
2006-09-11,5278733109
2006-09-12,5573507724
2006-09-13,5641532635
2006-09-14,5555367748
2006-09-15,5646067629
2006-09-18,5557635245
2006-09-19,5705022552
2006-09-20,5598450191
2006-09-21,5723162528
2006-09-22,5600717688
2006-09-25,5707290049
2006-09-26,5668742600
2006-09-27,5636997641
2006-09-28,5646067629
2006-09-29,5578042718
2006-10-02,5485167286
2006-10-03,5450899269
2006-10-04,5546849717
2006-10-05,5528573441
2006-10-06,5414346717
2006-10-09,5530857976
2006-10-10,5464606476
2006-10-11,5535427045
2006-10-12,5937505113
2006-10-13,5830131992
2006-10-16,5996903010
2006-10-17,6051731837
2006-10-18,6051731837
2006-10-19,5974057665
2006-10-20,5825562924
2006-10-23,5786725837
2006-10-24,5798148510
2006-10-25,5711336200
2006-10-26,6499500595
2006-10-27,6561183026
2006-10-30,6446956302
2006-10-31,6860457043
2006-11-01,6604589181
2006-11-02,6536053147
2006-11-03,6485793388
2006-11-06,6684547888
2006-11-07,6778213802
2006-11-08,6894725060
2006-11-09,7191714543
2006-11-10,7143739318
2006-11-13,7219128956
2006-11-14,7292234060
2006-11-15,7280811387
2006-11-16,7305941267
2006-11-17,7241974301
2006-11-20,7173438267
2006-11-21,7589223542
2006-11-22,7495557628
2006-11-24,7449866939
2006-11-27,7292234060
2006-11-28,7358485560
2006-11-29,7461289611
2006-11-30,7522972042
2006-12-01,7495557628
2006-12-04,7655475042
2006-12-05,7671466783
2006-12-06,7676035852
2006-12-07,7557240059
2006-12-08,7538963784
2006-12-11,7470427749
2006-12-12,7529825646
2006-12-13,7424737060
2006-12-14,7559524594
2006-12-15,7525256577
2006-12-18,7486419490
2006-12-19,7452151473
2006-12-20,7461289611
2006-12-21,7424737060
2006-12-22,7417883456
2006-12-26,7484134956
2006-12-27,7630345163
2006-12-28,7728580145
2006-12-29,7584654473
2007-01-03,7728175227
2007-01-04,7656979556
2007-01-05,7601860327
2007-01-08,7629419941
2007-01-09,7801667532
2007-01-10,7865973299
2007-01-11,8024441082
2007-01-12,7845303588
2007-01-16,8247214633
2007-01-17,8198985307
2007-01-18,8102526657
2007-01-19,8045110793
2007-01-22,8130086271
2007-01-23,8277070882
2007-01-24,8522810777
2007-01-25,8125493002
2007-01-26,8182908866
2007-01-29,8499844432
2007-01-30,8440131934
2007-01-31,8637642504
2007-02-01,8665202119
2007-02-02,8885679035
2007-02-05,8823669902
2007-02-06,8837449709
2007-02-07,8812186729
2007-02-08,8825966537
2007-02-09,8419462223
2007-02-12,8155349251
2007-02-13,8267884344
2007-02-14,8575633372
2007-02-15,8554963661
2007-02-16,8497547798
2007-02-20,8502141067
2007-02-21,8513624239
2007-02-22,8339080014
2007-02-23,8306927131
2007-02-26,8109416560
2007-02-27,7686835805
2007-02-28,7650089652
2007-03-01,7735065130
2007-03-02,7477842062
2007-03-05,7225212262
2007-03-06,7461765620
2007-03-07,7413536295
2007-03-08,7718988688
2007-03-09,7792480994
2007-03-12,7728175227
2007-03-13,7342340624
2007-03-14,7397459853
2007-03-15,7551334367
2007-03-16,7698318978
2007-03-19,7932575701
2007-03-20,8008364640
2007-03-21,8281664151
2007-03-22,8192095404
2007-03-23,8279367516
2007-03-26,8169129058
2007-03-27,7976211757
2007-03-28,7898126183
2007-03-29,7838413685
2007-03-30,7849896857
2007-04-02,7845381522
2007-04-03,8011372551
2007-04-04,7976791087
2007-04-05,7949125915
2007-04-09,7859214108
2007-04-10,7783134887
2007-04-11,7734720837
2007-04-12,7817716351
2007-04-13,7704750234
2007-04-16,7771607732
2007-04-17,8225777629
2007-04-18,8417128398
2007-04-19,8211945043
2007-04-20,8343354608
2007-04-23,8133560391
2007-04-24,8179669010
2007-04-25,8225777629
2007-04-26,8188890734
2007-04-27,8147392977
2007-04-30,7803883765
2007-05-01,7757775146
2007-05-02,8850549417
2007-05-03,8721445283
2007-05-04,8629228045
2007-05-07,8601562874
2007-05-08,8663809510
2007-05-09,8666114941
2007-05-10,8539316238
2007-05-11,8636144338
2007-05-14,8569286841
2007-05-15,8324911160
2007-05-16,8311078574
2007-05-17,8486291326
2007-05-18,8606173736
2007-05-21,8691474681
2007-05-22,8693780112
2007-05-23,8615395460
2007-05-24,8384852365
2007-05-25,8311078574
2007-05-29,8317994867
2007-05-30,8610784598
2007-05-31,8580813995
2007-06-01,8479375034
2007-06-04,8555454255
2007-06-05,8465542448
2007-06-06,8454015293
2007-06-07,8336438315
2007-06-08,8442488138
2007-06-11,8437877277
2007-06-12,8377936072
2007-06-13,8647671493
2007-06-14,8707612698
2007-06-15,9083397943
2007-06-18,9058038202
2007-06-19,8910490621
2007-06-20,8776775626
2007-06-21,8935850362
2007-06-22,8705307267
2007-06-25,8479375034
2007-06-26,8354881762
2007-06-27,8474764172
2007-06-28,8530094515
2007-06-29,8414822967
2007-07-02,8646248290
2007-07-03,8530749381
2007-07-05,8824116609
2007-07-06,9135963662
2007-07-09,8900345889
2007-07-10,8613908595
2007-07-11,8974265190
2007-07-12,9209882963
2007-07-13,9500940213
2007-07-16,9461670584
2007-07-17,9440880780
2007-07-18,9339241741
2007-07-19,9572549536
2007-07-20,9182163225
2007-07-23,9066664317
2007-07-24,8630078443
2007-07-25,8727097526
2007-07-26,8135743114
2007-07-27,7969424686
2007-07-30,8177322721
2007-07-31,8066443769
2007-08-01,7916295188
2007-08-02,7946324904
2007-08-03,7220991759
2007-08-06,7415029925
2007-08-07,7338800646
2007-08-08,7107802829
2007-08-09,6816745579
2007-08-10,6897594815
2007-08-13,7160932327
2007-08-14,6467938876
2007-08-15,6239251037
2007-08-16,6722036474
2007-08-17,6537238221
2007-08-20,6571887893
2007-08-21,6953034291
2007-08-22,7163242305
2007-08-23,7241781562
2007-08-24,7105492850
2007-08-27,6950724313
2007-08-28,6634257304
2007-08-29,6678146889
2007-08-30,6495658614
2007-08-31,6819055557
2007-09-04,6927624531
2007-09-05,6280830644
2007-09-06,6387089640
2007-09-07,5890444333
2007-09-10,5562427433
2007-09-11,5682546298
2007-09-12,5687166254
2007-09-13,5895064289
2007-09-14,5835004857
2007-09-17,5816525032
2007-09-18,6273900709
2007-09-19,6507208504
2007-09-20,6504898526
2007-09-21,6701246671
2007-09-24,6601917609
2007-09-25,6437909159
2007-09-26,6454079006
2007-09-27,6601917609
2007-09-28,6430979225
2007-10-01,5701316647
2007-10-02,5681005579
2007-10-03,5733814355
2007-10-04,5626165697
2007-10-05,5813027518
2007-10-08,5587574669
2007-10-09,5514454826
2007-10-10,5473832691
2007-10-11,5293064190
2007-10-12,5370246247
2007-10-15,5203695493
2007-10-16,5059486914
2007-10-17,5106202369
2007-10-18,4943713829
2007-10-19,4834034065
2007-10-22,4943713829
2007-10-23,5177291105
2007-10-24,5118389010
2007-10-25,5031051419
2007-10-26,5252442055
2007-10-29,5431179449
2007-10-30,4980273751
2007-10-31,4951838256
2007-11-01,4699981019
2007-11-02,4553741333
2007-11-05,4283604135
2007-11-06,4431874928
2007-11-07,4163768837
2007-11-08,4218608719
2007-11-09,4088617887
2007-11-12,4094711208
2007-11-13,4056120179
2007-11-14,3936284881
2007-11-15,3915973814
2007-11-16,3978938123
2007-11-19,3808325156
2007-11-20,3747391953
2007-11-21,3733174206
2007-11-23,4021591365
2007-11-26,4072369033
2007-11-27,4289697456
2007-11-28,4933558295
2007-11-29,4724354300
2007-11-30,4823878531
2007-12-03,4793411930
2007-12-04,4509056985
2007-12-05,4665452204
2007-12-06,4825909638
2007-12-07,4852314025
2007-12-10,4949807149
2007-12-11,4714198766
2007-12-12,4712167660
2007-12-13,4671545525
2007-12-14,4399377220
2007-12-17,4395315007
2007-12-18,4377035046
2007-12-19,4529368052
2007-12-20,4383128366
2007-12-21,4511088091
2007-12-24,4598425682
2007-12-26,4417657181
2007-12-27,4344537338
2007-12-28,4338444018
2007-12-31,4377035046
2008-01-02,4342506231
2008-01-03,4242982000
2008-01-04,3940347094
2008-01-07,3812387369
2008-01-08,3737236419
2008-01-09,3601152267
2008-01-10,3556467919
2008-01-11,3637712189
2008-01-14,3629587762
2008-01-15,3495534716
2008-01-16,3511783570
2008-01-17,3276175187
2008-01-18,3339139497
2008-01-22,3426477087
2008-01-23,3716925352
2008-01-24,3729111993
2008-01-25,3668178790
2008-01-28,3759578594
2008-01-29,3720987566
2008-01-30,3747391953
2008-01-31,3934253774
2008-02-01,4054089073
2008-02-04,3879413892
2008-02-05,3605214481
2008-02-06,3684427644
2008-02-07,3824574010
2008-02-08,3649898829
2008-02-11,3785982982
2008-02-12,3911911600
2008-02-13,4001280297
2008-02-14,3980969230
2008-02-15,3944409308
2008-02-19,4129240022
2008-02-20,4192204332
2008-02-21,4133302236
2008-02-22,4267355281
2008-02-25,4454217102
2008-02-26,4419688288
2008-02-27,4460310423
2008-02-28,4372972832
2008-02-29,4074400140
2008-03-03,4070337927
2008-03-04,3950502628
2008-03-05,3857071718
2008-03-06,3737236419
2008-03-07,3753485274
2008-03-10,3593027840
2008-03-11,3899724960
2008-03-12,3798169622
2008-03-13,3934253774
2008-03-14,3731143099
2008-03-17,3680365431
2008-03-18,4062213500
2008-03-19,3779889661
2008-03-20,3942378201
2008-03-24,4476559277
2008-03-25,4429843821
2008-03-26,4328288484
2008-03-27,4277510815
2008-03-28,4257199748
2008-03-31,4402344111
2008-04-01,4565092507
2008-04-02,4556955088
2008-04-03,4473546535
2008-04-04,4410481531
2008-04-07,4445065565
2008-04-08,4345382173
2008-04-09,4241630070
2008-04-10,4115500063
2008-04-11,4139912323
2008-04-14,4015816671
2008-04-15,4028022801
2008-04-16,4294523299
2008-04-17,4304695074
2008-04-18,4325038623
2008-04-21,4648501060
2008-04-22,4481683954
2008-04-23,4495924439
2008-04-24,4764459292
2008-04-25,4835661716
2008-04-28,4797008972
2008-04-29,4587470412
2008-04-30,4703428644
2008-05-01,4731909613
2008-05-02,4807180746
2008-05-05,4683085094
2008-05-06,4703428644
2008-05-07,4565092507
2008-05-08,4534577183
2008-05-09,4506096214
2008-05-12,4577298637
2008-05-13,4504061859
2008-05-14,4544748958
2008-05-15,4780734132
2008-05-16,4738012678
2008-05-19,4884486234
2008-05-20,4721737838
2008-05-21,4469477825
2008-05-22,4424722016
2008-05-23,4369794432
2008-05-27,4408447176
2008-05-28,4563058152
2008-05-29,4597642187
2008-05-30,4569161217
2008-06-02,4475580890
2008-06-03,4473546535
2008-06-04,4424722016
2008-06-05,4520336698
2008-06-06,4335210398
2008-06-09,4188736842
2008-06-10,4284351524
2008-06-11,4178565067
2008-06-12,4286385879
2008-06-13,4341313463
2008-06-16,4361657012
2008-06-17,4257904910
2008-06-18,4115500063
2008-06-19,4288420234
2008-06-20,4194839906
2008-06-23,4123637483
2008-06-24,4209080391
2008-06-25,4331141688
2008-06-26,4113465708
2008-06-27,4025988446
2008-06-30,3910665120
2008-07-01,3912701924
2008-07-02,3733463106
2008-07-03,3761978373
2008-07-07,3770125592
2008-07-08,4008431748
2008-07-09,3658101331
2008-07-10,3739573521
2008-07-11,3658101331
2008-07-14,3539966655
2008-07-15,3607181212
2008-07-16,3768088787
2008-07-17,3971769262
2008-07-18,3931033167
2008-07-21,3861781806
2008-07-22,4089903937
2008-07-23,4067499085
2008-07-24,3715131863
2008-07-25,3719205473
2008-07-28,3548113874
2008-07-29,3798640858
2008-07-30,2857637064
2008-07-31,2861710673
2008-08-01,2739502388
2008-08-04,2739502388
2008-08-05,2918741206
2008-08-06,2928925230
2008-08-07,3079648782
2008-08-08,3258887600
2008-08-11,3177415410
2008-08-12,3075575172
2008-08-13,3018544639
2008-08-14,3049096710
2008-08-15,3067427953
2008-08-18,2959477301
2008-08-19,2794496117
2008-08-20,2743575998
2008-08-21,2684508660
2008-08-22,2772091264
2008-08-25,2598962861
2008-08-26,2655993394
2008-08-27,2643772565
2008-08-28,2680435051
2008-08-29,2662103808
2008-09-02,2706913512
2008-09-03,2715060731
2008-09-04,2586742032
2008-09-05,2708950317
2008-09-08,2820974578
2008-09-09,2633588541
2008-09-10,2751723217
2008-09-11,2908557183
2008-09-12,2981882154
2008-09-15,2749686412
2008-09-16,2841342626
2008-09-17,2668214222
2008-09-18,2788385702
2008-09-19,3004287006
2008-09-22,2649882979
2008-09-23,2631551737
2008-09-24,2647846175
2008-09-25,2751723217
2008-09-26,2827084993
2008-09-29,2344362267
2008-09-30,3502928648
2008-10-01,3398128988
2008-10-02,2803390915
2008-10-03,2475891976
2008-10-06,2156253012
2008-10-07,2040973386
2008-10-08,2271532639
2008-10-09,1899493844
2008-10-10,2423492146
2008-10-13,2357992359
2008-10-14,2088133233
2008-10-15,1729194396
2008-10-16,1739674362
2008-10-17,1655834634
2008-10-20,1831374065
2008-10-21,1655834634
2008-10-22,1412175423
2008-10-23,1189476145
2008-10-24,1160656238
2008-10-27,1215676060
2008-10-28,1535315024
2008-10-29,1608674787
2008-10-30,1705614473
2008-10-31,1836614048
2008-11-03,1967613624
2008-11-04,1878533912
2008-11-05,1647974659
2008-11-06,1485535186
2008-11-07,1860193972
2008-11-10,1595574829
2008-11-11,1226156026
2008-11-12,987736799
2008-11-13,1412175423
2008-11-14,1268075890
2008-11-17,1192096137
2008-11-18,1160656238
2008-11-19,1055856578
2008-11-20,906517062
2008-11-21,914377036
2008-11-24,1325715704
2008-11-25,1176376187
2008-11-26,1323095712
2008-11-28,1194716128
2008-12-01,843637266
2008-12-02,890797113
2008-12-03,1013936714
2008-12-04,956296901
2008-12-05,1076816510
2008-12-08,1234016001
2008-12-09,1087296476
2008-12-10,1066336544
2008-12-11,882937138
2008-12-12,1068956536
2008-12-15,943196943
2008-12-16,1076816510
2008-12-17,1152796264
2008-12-18,1034896646
2008-12-19,1037516637
2008-12-22,1037516637
2008-12-23,1037516637
2008-12-24,1037516637
2008-12-26,1058476570
2008-12-29,1006076739
2008-12-30,995596773
2008-12-31,1131836332
2009-01-02,1173756196
2009-01-05,1139696306
2009-01-06,1309995755
2009-01-07,1294275805
2009-01-08,1349295627
2009-01-09,1249735950
2009-01-12,1103016425
2009-01-13,1184236162
2009-01-14,1066336544
2009-01-15,1050616595
2009-01-16,1116116383
2009-01-20,916997028
2009-01-21,990356790
2009-01-22,972016850
2009-01-23,1000836756
2009-01-26,1013936714
2009-01-27,1029656663
