,KSS
2000-11-16,18362137907
2000-11-17,18210952640
2000-11-20,17781449040
2000-11-21,17286660892
2000-11-22,16967110214
2000-11-24,16664739680
2000-11-27,17867349760
2000-11-28,17716164492
2000-11-29,17953250480
2000-11-30,18403370252
2000-12-01,18705740787
2000-12-04,20100768480
2000-12-05,20722689692
2000-12-06,20423755187
2000-12-07,20530272080
2000-12-08,21066292572
2000-12-11,20702073520
2000-12-12,20509655907
2000-12-13,20035483932
2000-12-14,19413562720
2000-12-15,19605980332
2000-12-18,19973635414
2000-12-19,19564747987
2000-12-20,18791641507
2000-12-21,18448038627
2000-12-22,19757165600
2000-12-26,19221145107
2000-12-27,20832642614
2000-12-28,20787974240
2000-12-29,20959775680
2001-01-02,20358470640
2001-01-03,21925299772
2001-01-04,24052201600
2001-01-05,22248286480
2001-01-08,22076485040
2001-01-09,21969968147
2001-01-10,22763690800
2001-01-11,23409664214
2001-01-12,23557413452
2001-01-16,23495564934
2001-01-17,23299711292
2001-01-18,22894259894
2001-01-19,22657173907
2001-01-22,23536797280
2001-01-23,23385612012
2001-01-24,23773883267
2001-01-25,24182770694
2001-01-26,24052201600
2001-01-29,24306467731
2001-01-30,24193078780
2001-01-31,24395804480
2001-02-01,24220567011
2001-02-02,23533361251
2001-02-05,22792376160
2001-02-06,22838965920
2001-02-07,22715835840
2001-02-08,22293200160
2001-02-09,21880548000
2001-02-12,23128488000
2001-02-13,23331486240
2001-02-14,23158438560
2001-02-15,22925489760
2001-02-16,23165094240
2001-02-20,23900546879
2001-02-21,23045292000
2001-02-22,22589377920
2001-02-23,22795704000
2001-02-26,23195044800
2001-02-27,22632639840
2001-02-28,21933793440
2001-03-01,20632608000
2001-03-02,20732443200
2001-03-05,21131784000
2001-03-06,21953760480
2001-03-07,22146775200
2001-03-08,21997022400
2001-03-09,21544436160
2001-03-12,20719131840
2001-03-13,20502822240
2001-03-14,21061899360
2001-03-15,21291520320
2001-03-16,20632608000
2001-03-19,20632608000
2001-03-20,20672542080
2001-03-21,20429609760
2001-03-22,19035244800
2001-03-23,19734091200
2001-03-26,20116792800
2001-03-27,20549412000
2001-03-28,20632608000
2001-03-29,20316463200
2001-03-30,20529444960
2001-04-02,20532772800
2001-04-03,18469512000
2001-04-04,18506118240
2001-04-05,19557715680
2001-04-06,19264865760
2001-04-09,18366348960
2001-04-10,18273169440
2001-04-11,17570995200
2001-04-12,17903779200
2001-04-16,17953696800
2001-04-17,18419594400
2001-04-18,20219955840
2001-04-19,19977023520
2001-04-20,19957056480
2001-04-23,19534420800
2001-04-24,18755706240
2001-04-25,19517781600
2001-04-26,19850565600
2001-04-27,20649247200
2001-04-30,20319791040
2001-05-01,21264897600
2001-05-02,20749082400
2001-05-03,20033596800
2001-05-04,19784008800
2001-05-07,19347806100
2001-05-08,19397929950
2001-05-09,19140627520
2001-05-10,20604243940
2001-05-11,20574169630
2001-05-14,21168972650
2001-05-15,20754615490
2001-05-16,21088774490
2001-05-17,21536547550
2001-05-18,21453007800
2001-05-21,22385311410
2001-05-22,22442118440
2001-05-23,21710310230
2001-05-24,21656844790
2001-05-25,21553255500
2001-05-29,21115507210
2001-05-30,21001893150
2001-05-31,20567486450
2001-06-01,20370332640
2001-06-04,20106347030
2001-06-05,20113030210
2001-06-06,20246693810
2001-06-07,20661050970
2001-06-08,20570828040
2001-06-11,20393723770
2001-06-12,20366991050
2001-06-13,20300159250
2001-06-14,20363649460
2001-06-15,20403748540
2001-06-18,20975160430
2001-06-19,21299294660
2001-06-20,21493106879
2001-06-21,22188157600
2001-06-22,21820582700
2001-06-25,21743726129
2001-06-26,20935061350
2001-06-27,20557461680
2001-06-28,21088774490
2001-06-29,20961794070
2001-07-02,21082091310
2001-07-03,20951769300
2001-07-05,20129738160
2001-07-06,19481469700
2001-07-09,18666121740
2001-07-10,18646072200
2001-07-11,19494836060
2001-07-12,19865752550
2001-07-13,19815628700
2001-07-16,19110553210
2001-07-17,19224167270
2001-07-18,19264266350
2001-07-19,19591742170
2001-07-20,19514885600
2001-07-23,19321073380
2001-07-24,18759686260
2001-07-25,18612656300
2001-07-26,19023671870
2001-07-27,18712904000
2001-07-30,19050404590
2001-07-31,19140627520
2001-08-01,19067112540
2001-08-02,19421321080
2001-08-03,19133944340
2001-08-06,18972727200
2001-08-07,19287266240
2001-08-08,19541574400
2001-08-09,19106573600
2001-08-10,18781996080
2001-08-13,19136689040
2001-08-14,18838880800
2001-08-15,18420610800
2001-08-16,18400533840
2001-08-17,18952650240
2001-08-20,19357535600
2001-08-21,19243766160
2001-08-22,18902457840
2001-08-23,18367072240
2001-08-24,19042996560
2001-08-27,18875688560
2001-08-28,18684957440
2001-08-29,18403880000
2001-08-30,18373764560
2001-08-31,18571188000
2001-09-04,18688303600
2001-09-05,17935417600
2001-09-06,17630917040
2001-09-07,16864646400
2001-09-10,16396184000
2001-09-17,15057720000
2001-09-18,15542913200
2001-09-19,15258489600
2001-09-20,14488872800
2001-09-21,15017566080
2001-09-24,16031452559
2001-09-25,16335953120
2001-09-26,16061568000
2001-09-27,16001337120
2001-09-28,16061568000
2001-10-01,16285760720
2001-10-02,16878031040
2001-10-03,17885225200
2001-10-04,17587416960
2001-10-05,17774801920
2001-10-08,17256147120
2001-10-09,17068762160
2001-10-10,17316378000
2001-10-11,18557803360
2001-10-12,18464110880
2001-10-15,18654842000
2001-10-16,18905804000
2001-10-17,18634765040
2001-10-18,18420610800
2001-10-19,18905804000
2001-10-22,18879034720
2001-10-23,19136689040
2001-10-24,19129996720
2001-10-25,19641959200
2001-10-26,19738997840
2001-10-29,19180189120
2001-10-30,18270033600
2001-10-31,18607995760
2001-11-01,19260496960
2001-11-02,19380958720
2001-11-05,20112572638
2001-11-06,20509196774
2001-11-07,20658354568
2001-11-08,20783782714
2001-11-09,21271935497
2001-11-12,21438043041
2001-11-13,22458417955
2001-11-14,22607575749
2001-11-15,22780463193
2001-11-16,22288920461
2001-11-19,22621135549
2001-11-20,22580456150
2001-11-21,22346549608
2001-11-23,22960130537
2001-11-26,23343194873
2001-11-27,23288955675
2001-11-28,23004199885
2001-11-29,22895721489
2001-11-30,23000809935
2001-12-03,22509267203
2001-12-04,23390654172
2001-12-05,24204242143
2001-12-06,23797448157
2001-12-07,23716089360
2001-12-10,23339804923
2001-12-11,23119458181
2001-12-12,23305905425
2001-12-13,23058439083
2001-12-14,23475402919
2001-12-17,23729649160
2001-12-18,23278785825
2001-12-19,23383874272
2001-12-20,23255056176
2001-12-21,23221156678
2001-12-24,23465233069
2001-12-26,23329635074
2001-12-27,23539811966
2001-12-28,24065254198
2001-12-31,23878806954
2002-01-02,23807618007
2002-01-03,23611000914
2002-01-04,23800838107
2002-01-07,23787278307
2002-01-08,23695749661
2002-01-09,23394044121
2002-01-10,23373704422
2002-01-11,22946570737
2002-01-14,22821142592
2002-01-15,22719444095
2002-01-16,22719444095
2002-01-17,23272005926
2002-01-18,23109288331
2002-01-22,23227936577
2002-01-23,23546591866
2002-01-24,23200816978
2002-01-25,22488927503
2002-01-28,22627915449
2002-01-29,21810937527
2002-01-30,22475367704
2002-01-31,22471977754
2002-02-01,22204171714
2002-02-04,21854280059
2002-02-05,22116249299
2002-02-06,22529354640
2002-02-07,22569657600
2002-02-08,22401728600
2002-02-11,22969328620
2002-02-12,22942459980
2002-02-13,23207787799
2002-02-14,23342131000
2002-02-15,23006273000
2002-02-19,22737586600
2002-02-20,22613319140
2002-02-21,22106173559
2002-02-22,22109532140
2002-02-25,22505844580
2002-02-26,22912232760
2002-02-27,22351349900
2002-02-28,22727510860
2002-03-01,22871929799
2002-03-04,23321979520
2002-03-05,22220365280
2002-03-06,22065870600
2002-03-07,23029783059
2002-03-08,22814833940
2002-03-11,22986121520
2002-03-12,23238015020
2002-03-13,23154050520
2002-03-14,23499984260
2002-03-15,23963468299
2002-03-18,24097811500
2002-03-19,23664554679
2002-03-20,23815690780
2002-03-21,23553721540
2002-03-22,23520135740
2002-03-25,22992838679
2002-03-26,23258166500
2002-03-27,24181776000
2002-03-28,23896296700
2002-04-01,23651120360
2002-04-02,23207787799
2002-04-03,22593167660
2002-04-04,23382433960
2002-04-05,23647761780
2002-04-08,24349705000
2002-04-09,24843416260
2002-04-10,25189350000
2002-04-11,24416876600
2002-04-12,25216218640
2002-04-15,25004628100
2002-04-16,25222935799
2002-04-17,24850133420
2002-04-18,25474829299
2002-04-19,25394223380
2002-04-22,24977759460
2002-04-23,24903870700
2002-04-24,24705714480
2002-04-25,24638542880
2002-04-26,24433669500
2002-04-29,24568012700
2002-04-30,24752734600
2002-05-01,24645260040
2002-05-02,24349705000
2002-05-03,24114604400
2002-05-06,23660605360
2002-05-07,23953501300
2002-05-08,24125198920
2002-05-09,23616839300
2002-05-10,23337409839
2002-05-13,23482174500
2002-05-14,24576326000
2002-05-15,24609992199
2002-05-16,24761490100
2002-05-17,26175470500
2002-05-20,26131704440
2002-05-21,25552645800
2002-05-22,25582945380
2002-05-23,25667110880
2002-05-24,25290049440
2002-05-28,24889421660
2002-05-29,24572959380
2002-05-30,24519093460
2002-05-31,25249650000
2002-06-03,24764856720
2002-06-04,24475327400
2002-06-05,25239550140
2002-06-06,24542659800
2002-06-07,24855755460
2002-06-10,25249650000
2002-06-11,24997153500
2002-06-12,25074585760
2002-06-13,24330562740
2002-06-14,24222830900
2002-06-17,24822089260
2002-06-18,24785056440
2002-06-19,24815356019
2002-06-20,24246397240
2002-06-21,23825569740
2002-06-24,23465341400
2002-06-25,23061347000
2002-06-26,23505740839
2002-06-27,24091532720
2002-06-28,23593272960
2002-07-01,23600006199
2002-07-02,22994014600
2002-07-03,23653872120
2002-07-05,24387795280
2002-07-08,24407995000
2002-07-09,23943401440
2002-07-10,23583173100
2002-07-11,23297010400
2002-07-12,22552987380
2002-07-15,22707851900
2002-07-16,21963828880
2002-07-17,21280405020
2002-07-18,21209706000
2002-07-19,20051588720
2002-07-22,19098835260
2002-07-23,19425397400
2002-07-24,21546368000
2002-07-25,21718065620
2002-07-26,22101860300
2002-07-29,22909849100
2002-07-30,22630419640
2002-07-31,22219692000
2002-08-01,21893129860
2002-08-02,21744998580
2002-08-05,21175610550
2002-08-06,22007810359
2002-08-07,22321148750
2002-08-08,22930979380
2002-08-09,22920871690
2002-08-12,22321148750
2002-08-13,22024656510
2002-08-14,23163456250
2002-08-15,24143902180
2002-08-16,24039456049
2002-08-19,24831225100
2002-08-20,24544840549
2002-08-21,24615594380
2002-08-22,24443763650
2002-08-23,24096732960
2002-08-26,24052932970
2002-08-27,23338656210
2002-08-28,23112917799
2002-08-29,23210625470
2002-08-30,23490271560
2002-09-03,22577210230
2002-09-04,23112917799
2002-09-05,22877071700
2002-09-06,23227471620
2002-09-09,23810348410
2002-09-10,24224763700
2002-09-11,24477455950
2002-09-12,23763179190
2002-09-13,24255086770
2002-09-16,24191071400
2002-09-17,23672209980
2002-09-18,23594717690
2002-09-19,23119656260
2002-09-20,23432994650
2002-09-23,22725456350
2002-09-24,22236918000
2002-09-25,22425594880
2002-09-26,22671548670
2002-09-27,21593395070
2002-09-30,20488287630
2002-10-01,21226149000
2002-10-02,20070503110
2002-10-03,18901380300
2002-10-04,18547611150
2002-10-07,17934411290
2002-10-08,18887903380
2002-10-09,18345457350
2002-10-10,16660842350
2002-10-11,17654765200
2002-10-14,18598149600
2002-10-15,19743687800
2002-10-16,19295580210
2002-10-17,18567826530
2002-10-18,18581303450
2002-10-21,18581303450
2002-10-22,18311765050
2002-10-23,18692488040
2002-10-24,19373072500
2002-10-25,19608918600
2002-10-28,19285472520
2002-10-29,19625764750
2002-10-30,19207980230
2002-10-31,19693149350
2002-11-01,20552303000
2002-11-04,19552894230
2002-11-05,19765315740
2002-11-06,20210389380
2002-11-07,20904974000
2002-11-08,20247478850
2002-11-11,20335144870
2002-11-12,20588027620
2002-11-13,20534079300
2002-11-14,21481546670
2002-11-15,22557141300
2002-11-18,21771518889
2002-11-19,20989268250
2002-11-20,22051375800
2002-11-21,22422270500
2002-11-22,22068234650
2002-11-25,22638063780
2002-11-26,22466103510
2002-11-27,23551813449
2002-11-29,23096624500
2002-12-02,22402039880
2002-12-03,21815351900
2002-12-04,20837538600
2002-12-05,20975781170
2002-12-06,20864512760
2002-12-09,20230620000
2002-12-10,20699296030
2002-12-11,20736385500
2002-12-12,21107280200
2002-12-13,20166556370
2002-12-16,20601514700
2002-12-17,19974365480
2002-12-18,19812520520
2002-12-19,19037013420
2002-12-20,19134794750
2002-12-23,18487414910
2002-12-24,18382890040
2002-12-26,18500901990
2002-12-27,18453697210
2002-12-30,19043756960
2002-12-31,18865053150
2003-01-02,19755200430
2003-01-03,18999923950
2003-01-06,18767271820
2003-01-07,18055828350
2003-01-08,17836663300
2003-01-09,19337100950
2003-01-10,19616957860
2003-01-13,19421395200
2003-01-14,19337100950
2003-01-15,19640560250
2003-01-16,19374190420
2003-01-17,19084218200
2003-01-21,18308711100
2003-01-22,18042341270
2003-01-23,18629029250
2003-01-24,18123263750
2003-01-27,17701792500
2003-01-28,17833291530
2003-01-29,17593895860
2003-01-30,17539947540
2003-01-31,17657959490
2003-02-03,17914689000
2003-02-04,17674699770
2003-02-05,17492172750
2003-02-06,17877507570
2003-02-07,17360347680
2003-02-10,16927691040
2003-02-11,17113598190
2003-02-12,17069656500
2003-02-13,17032475070
2003-02-14,17793004320
2003-02-18,18053274330
2003-02-19,17458371450
2003-02-20,17221762350
2003-02-21,17387388720
2003-02-24,16190822700
2003-02-25,16677561420
2003-02-26,16714742850
2003-02-27,16508554920
2003-02-28,16528835700
2003-03-03,16072518149
2003-03-04,15636481380
2003-03-05,16748544149
2003-03-06,16893889739
2003-03-07,17326546380
2003-03-10,17400909240
2003-03-11,17137259100
2003-03-12,17258943780
2003-03-13,18489311100
2003-03-14,18844224750
2003-03-17,19973188170
2003-03-18,19564192440
2003-03-19,19706157900
2003-03-20,19733198940
2003-03-21,20010369600
2003-03-24,19385045550
2003-03-25,19760239980
2003-03-26,19418846850
2003-03-27,19263360870
2003-03-28,19131535800
2003-03-31,19124775540
2003-04-01,19033512030
2003-04-02,19584473220
2003-04-03,19503350100
2003-04-04,19743339330
2003-04-07,19739959200
2003-04-08,19145056320
2003-04-09,18830704230
2003-04-10,19692637380
2003-04-11,19472928930
2003-04-14,19736579070
2003-04-15,19794041280
2003-04-16,19773760500
2003-04-17,20253738960
2003-04-21,19993468950
2003-04-22,19797421410
2003-04-23,19472928930
2003-04-24,19118015280
2003-04-25,18597475260
2003-04-28,19161956970
2003-04-29,19361384640
2003-04-30,19199138400
2003-05-01,18756341370
2003-05-02,18742820850
2003-05-05,18408591740
2003-05-06,18981424000
2003-05-07,19150901000
2003-05-08,18049300500
2003-05-09,17835759480
2003-05-12,18574679200
2003-05-13,18384864960
2003-05-14,18195050720
2003-05-15,17971341080
2003-05-16,18100143600
2003-05-19,17388340200
2003-05-20,17557817200
2003-05-21,17300212160
2003-05-22,17727294200
2003-05-23,17361223880
2003-05-27,17727294200
2003-05-28,17842538560
2003-05-29,17557817200
2003-05-30,17744241900
2003-06-02,18089974980
2003-06-03,17781526840
2003-06-04,18320463700
2003-06-05,18615353680
2003-06-06,18096754060
2003-06-09,17720515120
2003-06-10,17761189600
2003-06-11,17473078700
2003-06-12,17110397919
2003-06-13,16761275300
2003-06-16,17083281600
2003-06-17,16737548520
2003-06-18,16557902900
2003-06-19,16947700000
2003-06-20,16757885760
2003-06-23,16903635980
2003-06-24,17015490800
2003-06-25,16839234720
2003-06-26,17090060680
2003-06-27,17256148140
2003-06-30,17415456520
2003-07-01,17442572840
2003-07-02,17303601700
2003-07-03,17574764900
2003-07-07,17720515120
2003-07-08,18605185060
2003-07-09,18303516000
2003-07-10,18628911840
2003-07-11,19394947880
2003-07-14,19899989340
2003-07-15,19686448320
2003-07-16,19510192240
2003-07-17,19252587200
2003-07-18,19337325700
2003-07-21,18988203080
2003-07-22,19432232820
2003-07-23,19472907300
2003-07-24,19215302260
2003-07-25,19622047060
2003-07-28,19635605220
2003-07-29,19371221100
2003-07-30,19794913600
2003-07-31,20116919900
2003-08-01,20116919900
2003-08-04,20442817670
2003-08-05,19977358800
2003-08-06,20602500640
2003-08-07,20368072450
2003-08-08,20571923050
2003-08-11,20469997750
2003-08-12,20891288990
2003-08-13,20894686500
2003-08-14,20738401040
2003-08-15,21587778540
2003-08-18,21217449950
2003-08-19,21302387700
2003-08-20,21353350350
2003-08-21,21387325450
2003-08-22,20758786100
2003-08-25,20656860800
2003-08-26,21047574450
2003-08-27,20979624250
2003-08-28,21608163600
2003-08-29,21492648260
2003-09-02,21910541990
2003-09-03,21404313000
2003-09-04,21064562000
2003-09-05,20813146260
2003-09-08,20911674050
2003-09-09,20181209400
2003-09-10,20079284100
2003-09-11,20147234300
2003-09-12,19851650930
2003-09-15,19889023540
2003-09-16,20354482410
2003-09-17,20225377030
2003-09-18,19895818560
2003-09-19,19528887480
2003-09-22,18696497530
2003-09-23,18815410380
2003-09-24,18074753200
2003-09-25,18346554000
2003-09-26,18414504200
2003-09-29,18098535770
2003-09-30,18176678500
2003-10-01,18346554000
2003-10-02,18118920830
2003-10-03,18353349020
2003-10-06,18533417050
2003-10-07,18856180500
2003-10-08,18645534880
2003-10-09,18006803000
2003-10-10,17887890150
2003-10-13,17534549110
2003-10-14,18081548220
2003-10-15,17870902600
2003-10-16,18020393040
2003-10-17,17612691840
2003-10-20,17524356580
2003-10-21,17843722520
2003-10-22,17442816340
2003-10-23,17755387260
2003-10-24,17792759870
2003-10-27,18397516650
2003-10-28,18754255200
2003-10-29,19189136480
2003-10-30,19056633590
2003-10-31,19049838570
2003-11-03,19076316000
2003-11-04,18738804000
2003-11-05,18666480000
2003-11-06,18012120000
2003-11-07,17877804000
2003-11-10,17443860000
2003-11-11,17264772000
2003-11-12,17464524000
2003-11-13,17419752000
2003-11-14,17839920000
2003-11-17,17523072000
2003-11-18,16934148000
2003-11-19,16848048000
2003-11-20,17189004000
2003-11-21,16834272000
2003-11-24,17133900000
2003-11-25,16789500000
2003-11-26,16565640000
2003-11-28,16641408000
2003-12-01,16717176000
2003-12-02,16073148000
2003-12-03,15597876000
2003-12-04,16173024000
2003-12-05,16307340000
2003-12-08,15914724000
2003-12-09,15652980000
2003-12-10,15832068000
2003-12-11,15739080000
2003-12-12,15501444000
2003-12-15,14912519999
2003-12-16,15153600000
2003-12-17,15670200000
2003-12-18,15859619999
2003-12-19,15518664000
2003-12-22,15532440000
2003-12-23,15212148000
2003-12-24,15177708000
2003-12-26,15157044000
2003-12-29,15153600000
2003-12-30,15398124000
2003-12-31,15477336000
2004-01-02,15105384000
2004-01-05,15005508000
2004-01-06,15584100000
2004-01-07,15670200000
2004-01-08,14395919999
2004-01-09,14189280000
2004-01-12,14309819999
2004-01-13,14430360000
2004-01-14,14716211999
2004-01-15,14933184000
2004-01-16,14953848000
2004-01-20,14723100000
2004-01-21,14946960000
2004-01-22,15043392000
2004-01-23,15198372000
2004-01-26,15208703999
2004-01-27,15170819999
2004-01-28,14695548000
2004-01-29,14946960000
2004-01-30,15256919999
2004-02-02,15125482620
2004-02-03,15319530000
2004-02-04,15350169060
2004-02-05,15986780640
2004-02-06,16558709760
2004-02-09,16398705780
2004-02-10,16187636699
2004-02-11,16473601260
2004-02-12,16619987880
2004-02-13,16562114100
2004-02-17,16844674319
2004-02-18,16997869620
2004-02-19,17168086620
2004-02-20,16987656600
2004-02-23,17042126040
2004-02-24,16817439600
2004-02-25,16871909040
2004-02-26,17191917000
2004-02-27,17532351000
2004-03-01,17450646840
2004-03-02,17277025500
2004-03-03,17334899280
2004-03-04,17770654800
2004-03-05,17995341240
2004-03-08,17865976320
2004-03-09,17212343040
2004-03-10,17065956420
2004-03-11,17328090600
2004-03-12,17702568000
2004-03-15,17185108320
2004-03-16,16946804520
2004-03-17,17151064920
2004-03-18,17031913020
2004-03-19,16558709760
2004-03-22,16242106140
2004-03-23,16473601260
2004-03-24,16640413920
2004-03-25,16810630920
2004-03-26,16494027300
2004-03-29,16739139780
2004-03-30,16579135800
2004-03-31,16453175220
2004-04-01,16099123860
2004-04-02,15990184980
2004-04-05,15966354600
2004-04-06,16037845740
2004-04-07,15949332900
2004-04-08,15091439220
2004-04-12,14972287319
2004-04-13,14836113720
2004-04-14,14938243920
2004-04-15,14968882980
2004-04-16,14638662000
2004-04-19,14461636319
2004-04-20,14162054400
2004-04-21,14049711180
2004-04-22,14059924199
2004-04-23,14648875020
2004-04-26,14196097800
2004-04-27,14185884780
2004-04-28,14621640300
2004-04-29,14499084060
2004-04-30,14226736860
2004-05-03,14009512400
2004-05-04,14009512400
2004-05-05,13968588800
2004-05-06,14166386200
2004-05-07,14214130400
2004-05-10,14384645400
2004-05-11,14500595600
2004-05-12,14493775000
2004-05-13,14538108900
2004-05-14,14858677100
2004-05-17,15005320000
2004-05-18,15261092500
2004-05-19,15059884799
2004-05-20,15039423000
2004-05-21,15274733700
2004-05-24,15670328500
2004-05-25,16038640900
2004-05-26,15878356800
2004-05-27,16291003100
2004-05-28,16219386800
2004-06-01,16222797100
2004-06-02,16246669200
2004-06-03,16280772200
2004-06-04,16181873500
2004-06-07,16481979900
2004-06-08,16574058000
2004-06-09,16376260600
2004-06-10,16212566200
2004-06-14,15960203999
2004-06-15,15878356800
2004-06-16,15704431499
2004-06-17,15527095900
2004-06-18,15499813500
2004-06-21,15342939700
2004-06-22,15244041000
2004-06-23,15377042700
2004-06-24,14868908000
2004-06-25,14732496000
2004-06-28,14920062500
2004-06-29,14422158700
2004-06-30,14418748400
2004-07-01,14398286600
2004-07-02,14258464300
2004-07-06,14084538999
2004-07-07,14139103800
2004-07-08,14885959500
2004-07-09,14920062500
2004-07-12,14995089100
2004-07-13,15036012700
2004-07-14,14551750100
2004-07-15,14261874600
2004-07-16,14169796499
2004-07-19,14418748400
2004-07-20,14790471100
2004-07-21,14729085700
2004-07-22,14810932900
2004-07-23,14749547500
2004-07-26,14623366400
2004-07-27,15053064200
2004-07-28,15100808400
2004-07-29,15380453000
2004-07-30,15605532800
2004-08-02,15585465360
2004-08-03,15513579840
2004-08-04,15582042240
2004-08-05,15592311599
2004-08-06,15448540560
2004-08-09,15551234160
2004-08-10,15718967040
2004-08-11,15431424960
2004-08-12,14959034400
2004-08-13,15780583200
2004-08-16,16146857040
2004-08-17,16140010800
2004-08-18,16331705520
2004-08-19,16489169040
2004-08-20,16465207200
2004-08-23,16276935599
