,ADT
2018-07-12,6737070840
2018-07-13,6767281920
2018-07-16,6933442860
2018-07-17,7092051030
2018-07-18,7137367649
2018-07-19,7069392720
2018-07-20,7061839950
2018-07-23,7069392720
2018-07-24,6986312250
2018-07-25,6971206710
2018-07-26,6873020700
2018-07-27,6805045770
2018-07-30,6631332059
2018-07-31,6805045770
2018-08-01,6759729149
2018-08-02,6510487739
2018-08-03,6729518070
2018-08-06,6782387460
2018-08-07,6910784550
2018-08-08,7160025960
2018-08-09,6397196190
2018-08-10,6721965300
2018-08-13,6910784550
2018-08-14,6721965300
2018-08-15,6593568210
2018-08-16,6586015440
2018-08-17,6578462670
2018-08-20,6563357130
2018-08-21,6903231780
2018-08-22,6857915160
2018-08-23,6789940230
2018-08-24,6805045770
2018-08-27,6827704079
2018-08-28,6956101170
2018-08-29,6986312250
2018-08-30,6744623610
2018-08-31,6759729149
2018-09-04,6940995630
2018-09-05,6623779290
2018-09-06,6767281920
2018-09-07,6646437600
2018-09-10,6525593280
2018-09-11,6434960040
2018-09-12,6502934970
2018-09-13,6487829430
2018-09-14,6465171120
2018-09-17,6344326800
2018-09-18,6487829430
2018-09-19,6321668489
2018-09-20,6737070840
2018-09-21,7076945489
2018-09-24,6993865020
2018-09-25,6971206710
2018-09-26,7084498260
2018-09-27,7092051030
2018-09-28,7092051030
2018-10-01,6964399999
2018-10-02,6616180000
2018-10-03,6669170000
2018-10-04,6654029999
2018-10-05,6578330000
2018-10-08,6540480000
2018-10-09,6532910000
2018-10-10,6161980000
2018-10-11,5881890000
2018-10-12,5692640000
2018-10-15,5844040000
2018-10-16,6063570000
2018-10-17,5881890000
2018-10-18,5866750000
2018-10-19,5881890000
2018-10-22,5586660000
2018-10-23,5677500000
2018-10-24,5579090000
2018-10-25,5669930000
2018-10-26,5616940000
2018-10-29,5526100000
2018-10-30,5526100000
2018-10-31,5859180000
2018-11-01,5844040000
2018-11-02,5881890000
2018-11-05,5828900000
2018-11-06,5541240000
2018-11-07,5616940000
2018-11-08,6131700000
2018-11-09,5942450000
2018-11-12,5639650000
2018-11-13,5942450000
2018-11-14,5859180000
2018-11-15,5987870000
2018-11-16,6101420000
2018-11-19,5813760000
2018-11-20,5616940000
2018-11-21,5760770000
2018-11-23,5798620000
2018-11-26,5753200000
2018-11-27,5662360000
2018-11-28,5950020000
2018-11-29,5942450000
2018-11-30,5912170000
2018-12-03,5859180000
2018-12-04,5616940000
2018-12-06,5806190000
2018-12-07,5639650000
2018-12-10,5495820000
2018-12-11,5495820000
2018-12-12,5601800000
2018-12-13,5442830000
2018-12-14,5162740000
2018-12-17,5079470000
2018-12-18,4973490000
2018-12-19,4935640000
2018-12-20,4837230000
2018-12-21,4700970000
2018-12-24,4549570000
2018-12-26,4761530000
2018-12-27,4663120000
2018-12-28,4625270000
2018-12-31,4545074520
2019-01-02,4847575320
2019-01-03,4779512640
2019-01-04,5044200840
2019-01-07,5134951080
2019-01-08,5255951400
2019-01-09,5286201480
2019-01-10,5233263840
2019-01-11,5369389200
2019-01-14,5271076440
2019-01-15,5218138800
2019-01-16,5399639280
2019-01-17,5490389520
2019-01-18,5543327160
2019-01-22,5399639280
2019-01-23,5293764000
2019-01-24,5339139120
2019-01-25,5437451880
2019-01-28,5316451560
2019-01-29,5384514240
2019-01-30,5392076760
2019-01-31,5460139440
2019-02-01,5528202120
2019-02-04,5732390160
2019-02-05,5724827640
2019-02-06,5777765280
2019-02-07,5739952680
2019-02-08,5785327800
2019-02-11,5921453160
2019-02-12,6057578520
2019-02-13,6004640880
2019-02-14,6012203400
2019-02-15,6087828600
2019-02-19,6080266079
2019-02-20,6163453800
2019-02-21,6087828600
2019-02-22,6163453800
2019-02-25,6193703880
2019-02-26,6087828600
2019-02-27,6125641200
2019-02-28,6050016000
2019-03-01,6019765920
2019-03-04,6042453480
2019-03-05,6034890960
2019-03-06,5838265440
2019-03-07,5732390160
2019-03-08,5581139760
2019-03-11,5739952680
2019-03-12,4968575640
2019-03-13,4824887760
2019-03-14,4673637360
2019-03-15,4892950440
2019-03-18,5104701000
2019-03-19,5082013440
2019-03-20,5013950760
2019-03-21,4968575640
2019-03-22,4696324920
2019-03-25,4658512320
2019-03-26,4726575000
2019-03-27,4719012480
2019-03-28,4726575000
2019-03-29,4832450280
2019-04-01,4887229000
2019-04-02,4947195000
2019-04-03,4999665250
2019-04-04,5044639750
2019-04-05,5007161000
2019-04-08,4954690750
2019-04-09,4864741750
2019-04-10,4999665250
2019-04-11,4992169500
2019-04-12,4962186500
2019-04-15,4947195000
2019-04-16,5022152500
2019-04-17,4999665250
2019-04-18,4984673750
2019-04-22,4992169500
2019-04-23,4992169500
2019-04-24,4902220500
2019-04-25,4714826750
2019-04-26,4827263000
2019-04-29,5007161000
2019-04-30,4939699250
2019-05-01,4969682250
2019-05-02,5052135500
2019-05-03,5149580250
2019-05-06,5239529250
2019-05-07,5209546250
2019-05-08,4632373500
2019-05-09,4759801250
2019-05-10,4774792750
2019-05-13,4482458500
2019-05-14,4572407500
2019-05-15,4594894750
2019-05-16,4699835250
2019-05-17,4549920250
2019-05-20,4549920250
2019-05-21,4744809750
2019-05-22,4744809750
2019-05-23,4662356500
2019-05-24,4639869250
2019-05-28,4647365000
2019-05-29,4579903250
2019-05-30,4587399000
2019-05-31,4385013750
2019-06-03,4549920250
2019-06-04,4617382000
2019-06-05,4579903250
2019-06-06,4549920250
2019-06-07,4624877750
2019-06-10,4594894750
2019-06-11,4602390500
2019-06-12,4684843750
2019-06-13,4857246000
2019-06-14,4842254500
2019-06-17,4759801250
2019-06-18,4692339500
2019-06-19,4647365000
2019-06-20,4692339500
2019-06-21,4647365000
2019-06-24,4579903250
2019-06-25,4400005250
2019-06-26,4489954250
2019-06-27,4497450000
2019-06-28,4587399000
2019-07-01,4489893600
2019-07-02,4424506800
2019-07-03,4548015200
2019-07-05,4518954400
2019-07-08,4577076000
2019-07-09,4511689200
2019-07-10,4511689200
2019-07-11,4489893600
2019-07-12,4620667200
2019-07-15,4460832800
2019-07-16,4686054000
2019-07-17,4511689200
2019-07-18,4460832800
2019-07-19,4526219600
2019-07-22,4380915600
2019-07-23,4366385200
2019-07-24,4468098000
2019-07-25,4540750000
2019-07-26,4577076000
2019-07-29,4620667200
2019-07-30,4656993200
2019-07-31,4613402000
2019-08-01,4417241600
2019-08-02,4344589600
2019-08-05,4075777200
2019-08-06,4032186000
2019-08-07,3785169200
2019-08-08,3806964800
2019-08-09,3589008800
2019-08-12,3378318000
2019-08-13,3291135600
2019-08-14,3160361999
2019-08-15,3182157600
2019-08-16,3291135600
2019-08-19,3480030800
2019-08-20,3400113600
2019-08-21,3400113600
2019-08-22,3465500399
2019-08-23,3341991999
2019-08-26,3378318000
2019-08-27,3320196400
2019-08-28,3429174400
2019-08-29,3414644000
2019-08-30,3458235200
2019-09-03,3465500399
2019-09-04,3589008800
2019-09-05,3857821199
2019-09-06,3879616800
2019-09-09,4133898800
2019-09-10,4395446000
2019-09-11,4330059200
2019-09-12,4337324400
2019-09-13,4315528800
2019-09-16,4395446000
2019-09-17,4373650400
2019-09-18,4460832800
2019-09-19,4460832800
2019-09-20,4431772000
2019-09-23,4526219600
2019-09-24,4511689200
2019-09-25,4765971200
2019-09-26,4424506800
2019-09-27,4475363200
2019-09-30,4524276447
2019-10-01,4625296974
2019-10-02,4610865470
2019-10-03,4495413439
2019-10-04,4509844943
2019-10-07,4567570959
2019-10-08,4466550432
2019-10-09,4517060695
2019-10-10,4625296974
2019-10-11,4747964756
2019-10-14,4755180508
2019-10-15,4863416787
2019-10-16,5123183856
2019-10-17,5058242088
2019-10-18,5325224909
2019-10-21,5209772879
2019-10-22,5505618707
2019-10-23,5520050211
2019-10-24,5476755699
2019-10-25,5556128970
2019-10-28,5606639234
2019-10-29,5722091264
2019-10-30,5743738520
2019-10-31,5584991978
2019-11-01,5714875512
2019-11-04,5772601528
2019-11-05,5801464535
2019-11-06,5678796753
2019-11-07,5621070737
2019-11-08,5736522768
2019-11-11,5577776226
2019-11-12,5570560474
2019-11-13,6025152844
2019-11-14,5974642581
2019-11-15,6054015852
2019-11-18,5981858333
2019-11-19,6111741867
2019-11-20,6097310363
2019-11-21,6162252131
2019-11-22,6270488409
2019-11-25,6602412997
2019-11-26,6905474577
2019-11-27,6840532810
2019-11-29,6667354764
2019-12-02,6407587696
2019-12-03,6299351417
2019-12-04,6537471230
2019-12-05,6660139012
2019-12-06,6458097959
2019-12-09,6580765741
2019-12-10,6681786268
2019-12-11,6624060253
2019-12-12,6082878860
2019-12-13,6118957619
2019-12-16,5801464535
2019-12-17,5974642581
2019-12-18,5952995325
2019-12-19,5808680287
2019-12-20,5649933745
2019-12-23,5599423482
2019-12-24,5606639234
2019-12-26,5613854985
2019-12-27,5613854985
2019-12-30,5606639234
2019-12-31,6019599560
2020-01-02,5746326440
2020-01-03,5655235400
2020-01-06,5738735520
2020-01-07,5647644480
2020-01-08,5169416520
2020-01-09,4972052600
2020-01-10,4782279600
2020-01-13,4782279600
2020-01-14,4858188800
2020-01-15,4858188800
2020-01-16,4926507080
2020-01-17,4934098000
2020-01-21,4880961560
2020-01-22,4949279840
2020-01-23,5010007200
2020-01-24,4934098000
2020-01-27,4896143400
2020-01-28,4903734320
2020-01-29,4941688920
2020-01-30,4827825120
2020-01-31,4706370400
2020-02-03,4744325000
2020-02-04,4835416040
2020-02-05,4987234440
2020-02-06,4972052600
2020-02-07,5002416280
2020-02-10,5017598120
2020-02-11,5184598360
2020-02-12,5321234920
2020-02-13,5275689400
2020-02-14,5344007680
2020-02-18,5328825840
2020-02-19,5480644240
2020-02-20,5427507800
2020-02-21,5298462160
2020-02-24,5268098480
2020-02-25,5237734800
2020-02-26,4774688680
2020-02-27,4888552480
2020-02-28,4850597880
2020-03-02,5010007200
2020-03-03,4797461440
2020-03-04,5139052840
2020-03-05,4759506840
2020-03-06,4493824640
2020-03-09,4000414839
2020-03-10,3977642080
2020-03-11,3605687000
2020-03-12,3666414360
2020-03-13,3567732400
2020-03-16,3059140760
2020-03-17,3264095600
2020-03-18,2914913280
2020-03-19,3013595240
2020-03-20,2937686040
2020-03-23,2823822240
2020-03-24,3279277440
2020-03-25,3355186640
2020-03-26,3537368720
2020-03-27,3575323320
2020-03-30,3294459280
2020-03-31,3285779040
2020-04-01,3110841730
2020-04-02,3126053670
2020-04-03,3171689490
2020-04-06,3331414860
2020-04-07,3194507400
2020-04-08,3574805900
2020-04-09,4069193949
2020-04-13,3917074550
2020-04-14,4343008870
2020-04-15,4046376040
2020-04-16,4015952160
2020-04-17,4084405890
2020-04-20,3993134250
2020-04-21,3841014850
2020-04-22,3879044699
2020-04-23,3985528280
2020-04-24,4023558130
2020-04-27,4206101410
2020-04-28,4304979020
2020-04-29,4419068570
2020-04-30,4358220810
2020-05-01,4175677530
2020-05-04,4183283500
2020-05-05,4244131260
2020-05-06,4206101410
2020-05-07,4282161110
2020-05-08,4297373050
2020-05-11,4601611850
2020-05-12,4411462600
2020-05-13,4297373050
2020-05-14,4449492450
2020-05-15,4578793940
2020-05-18,4791761100
2020-05-19,4875426770
2020-05-20,4715701400
2020-05-21,4883032740
2020-05-22,4959092440
2020-05-26,5263331240
2020-05-27,5217695420
2020-05-28,5301361090
2020-05-29,5385026760
2020-06-01,6046746150
2020-06-02,6183653610
2020-06-03,6039140180
2020-06-04,6176047639
2020-06-05,6366196889
2020-06-08,6487892409
2020-06-09,6457468530
2020-06-10,6358590920
2020-06-11,6016322270
2020-06-12,6099987940
2020-06-15,6267319280
2020-06-16,6427044649
2020-06-17,6465074500
2020-06-18,6335773010
2020-06-19,6077170030
2020-06-22,6092381970
2020-06-23,6229289430
2020-06-24,5917444660
2020-06-25,5902232720
2020-06-26,5795749140
2020-06-29,5947868540
2020-06-30,6072085740
2020-07-01,6018821830
2020-07-02,5866639230
2020-07-06,5919903140
2020-07-07,5782938800
2020-07-08,5828593580
2020-07-09,5630756200
2020-07-10,5782938800
2020-07-13,5790547930
2020-07-14,5935121400
2020-07-15,6338405290
2020-07-16,6300359639
2020-07-17,6224268340
2020-07-20,6125349650
2020-07-21,6102522260
2020-07-22,6148177040
2020-07-23,6079694870
2020-07-24,6056867480
2020-07-27,6087304000
2020-07-28,6018821830
2020-07-29,6422105720
2020-07-30,6581897450
2020-07-31,6551460930
2020-08-03,10257107240
2020-08-04,9716859010
2020-08-05,9724468140
2020-08-06,9146174260
2020-08-07,9283138600
2020-08-10,9077692090
2020-08-11,8841809060
2020-08-12,9085301220
2020-08-13,9039646440
2020-08-14,8971164270
2020-08-17,8765717760
2020-08-18,8659189940
2020-08-19,8750499500
2020-08-20,8811372540
2020-08-21,8720062980
2020-08-24,8651580810
2020-08-25,8567880380
2020-08-26,8423306910
2020-08-27,8377652130
2020-08-28,8331997349
2020-08-31,8103723450
2020-09-01,8446134300
2020-09-02,8263515180
2020-09-03,7837403900
2020-09-04,7829794769
2020-09-08,7852622160
2020-09-09,8156987360
2020-09-10,8324388220
2020-09-11,8331997349
2020-09-14,8217860400
2020-09-15,8217860400
2020-09-16,7122145680
2020-09-17,6977572210
2020-09-18,6635161360
2020-09-21,6635161360
2020-09-22,6574288320
2020-09-23,6224268340
2020-09-24,6277532250
2020-09-25,6216659210
2020-09-28,6406887460
2020-09-29,6361232680
2020-09-30,6217370000
2020-10-01,6209760000
2020-10-02,6232590000
2020-10-05,6240199999
2020-10-06,6361960000
2020-10-07,6407620000
2020-10-08,6400010000
2020-10-09,6346740000
2020-10-12,6369569999
2020-10-13,6293470000
2020-10-14,6148880000
2020-10-15,6179319999
2020-10-16,6042340000
2020-10-19,5798820000
2020-10-20,5806430000
2020-10-21,5684670000
2020-10-22,5623790000
2020-10-23,5684670000
2020-10-26,5616180000
2020-10-27,5448760000
2020-10-28,5342220000
2020-10-29,5167190000
2020-10-30,5014990000
2020-11-02,5106310000
2020-11-03,5121530000
2020-11-04,5258510000
2020-11-05,5486810000
2020-11-06,5486810000
2020-11-09,5570520000
2020-11-10,5570520000
2020-11-11,5753160000
2020-11-12,5562910000
2020-11-13,5737940000
2020-11-16,5760770000
2020-11-17,5806430000
2020-11-18,5844480000
2020-11-19,6110829999
2020-11-20,5905360000
2020-11-23,6103220000
2020-11-24,6209760000
2020-11-25,6095610000
2020-11-27,6148880000
2020-11-30,5912970000
2020-12-01,5905360000
2020-12-02,6049950000
2020-12-03,5905360000
2020-12-04,6430449999
2020-12-07,6179319999
2020-12-08,6453280000
2020-12-09,6567430000
2020-12-10,6613090000
2020-12-11,6438060000
2020-12-14,6361960000
2020-12-15,6559819999
2020-12-16,6460890000
2020-12-17,6400010000
2020-12-18,6415230000
2020-12-21,6232590000
2020-12-22,6186930000
2020-12-23,6217370000
2020-12-24,6164100000
2020-12-28,6088000000
2020-12-29,5943410000
2020-12-30,6034730000
2020-12-31,5987226400
2021-01-04,5979599360
2021-01-05,6139767200
2021-01-06,6284680960
2021-01-07,6406713600
2021-01-08,6734676320
2021-01-11,6559254400
2021-01-12,6826200799
2021-01-13,6666032960
2021-01-14,6871963040
2021-01-15,6696541119
2021-01-19,6765184479
2021-01-20,7024503840
2021-01-21,6963487520
2021-01-22,6864336000
2021-01-25,6788065600
2021-01-26,7604158880
2021-01-27,7787207840
2021-01-28,7344839520
2021-01-29,6887217119
2021-02-01,6742303360
2021-02-02,6780438560
2021-02-03,7055012000
2021-02-04,7146536479
2021-02-05,7093147200
2021-02-08,7154163520
2021-02-09,7207552799
2021-02-10,7123655360
2021-02-11,7062639040
2021-02-12,7116028320
2021-02-16,7116028320
2021-02-17,7177044640
2021-02-18,7161790560
2021-02-19,7382974720
2021-02-22,7413482880
2021-02-23,7558396640
2021-02-24,7817716000
2021-02-25,7230433920
2021-02-26,5804177440
2021-03-01,5903328960
2021-03-02,5476214720
2021-03-03,5392317280
2021-03-04,5239776480
2021-03-05,5521976960
2021-03-08,5804177440
2021-03-09,5804177440
2021-03-10,6048242720
2021-03-11,6536373280
2021-03-12,6345697280
2021-03-15,6292308000
2021-03-16,6353324320
2021-03-17,6269426880
2021-03-18,6071123840
2021-03-19,6063496800
2021-03-22,6094004960
2021-03-23,5933837120
2021-03-24,5910956000
2021-03-25,6109259040
2021-03-26,6261799840
2021-03-29,6345697280
2021-03-30,6322816159
2021-03-31,6464381680
2021-04-01,6479700120
2021-04-05,6809046580
2021-04-06,6908616440
2021-04-07,6847342680
2021-04-08,7054141620
2021-04-09,7276259000
2021-04-12,7291577440
2021-04-13,7084778500
2021-04-14,7138393040
2021-04-15,7237962899
2021-04-16,7368169639
2021-04-19,7046482399
2021-04-20,6709476720
2021-04-21,6824365020
2021-04-22,6809046580
2021-04-23,7092437720
2021-04-26,7421784180
2021-04-27,7291577440
2021-04-28,7345191980
2021-04-29,7245622120
2021-04-30,7046482399
2021-05-03,7214985240
2021-05-04,7069460060
2021-05-05,7054141620
2021-05-06,7291577440
2021-05-07,7421784180
2021-05-10,7260940560
2021-05-11,7245622120
2021-05-12,7276259000
2021-05-13,7107756159
2021-05-14,7123074600
2021-05-17,7031163960
2021-05-18,7276259000
2021-05-19,7383488080
2021-05-20,7751130639
2021-05-21,7812404399
2021-05-24,8034521780
2021-05-25,7789426740
2021-05-26,7843041280
2021-05-27,7942611139
2021-05-28,7919633480
2021-06-01,8003884899
2021-06-02,7934951920
2021-06-03,8042181000
2021-06-04,8455778879
2021-06-07,8517052639
2021-06-08,8846399100
2021-06-09,8815762220
2021-06-10,8823421440
2021-06-11,8907672860
2021-06-14,8877035980
2021-06-15,8785125340
2021-06-16,8800443780
2021-06-17,8884695200
2021-06-18,8348549800
2021-06-21,8639600160
2021-06-22,8670237040
2021-06-23,8233661500
2021-06-24,8386845899
2021-06-25,8478756540
2021-06-28,8448119659
2021-06-29,8386845899
2021-06-30,8864621610
2021-07-01,8946777510
2021-07-02,8831759250
2021-07-06,8790681300
2021-07-07,8609938320
2021-07-08,8503135650
2021-07-09,8741387760
2021-07-12,8766034530
2021-07-13,8659231860
2021-07-14,8577075960
2021-07-15,8503135650
2021-07-16,8363470620
2021-07-19,8264883540
2021-07-20,8494920060
2021-07-21,8634585090
2021-07-22,8503135650
2021-07-23,8577075960
2021-07-26,8749603350
2021-07-27,8552429190
2021-07-28,8577075960
2021-07-29,8700309810
2021-07-30,8618153910
2021-08-02,8724956580
2021-08-03,8733172170
2021-08-04,8634585090
2021-08-05,7558342799
2021-08-06,7624067519
2021-08-09,7509049260
2021-08-10,7541911620
2021-08-11,7459755720
2021-08-12,7328306280
2021-08-13,7213288019
2021-08-16,7155778890
2021-08-17,6966820320
2021-08-18,6728568210
2021-08-19,6679274670
2021-08-20,6744999390
2021-08-23,6827155290
2021-08-24,6884664420
2021-08-25,6950389140
2021-08-26,6827155290
2021-08-27,6925742370
2021-08-30,6851802060
2021-08-31,7032545040
2021-09-01,7147563299
2021-09-02,7139347710
2021-09-03,7172210070
2021-09-07,7081838579
2021-09-08,7024329450
2021-09-09,6901095600
2021-09-10,6662843490
2021-09-13,6917526780
2021-09-14,6580687590
2021-09-15,6498531690
2021-09-16,6514962870
2021-09-17,6818939700
2021-09-20,6671059079
2021-09-21,6514962870
2021-09-22,6588903180
2021-09-23,6736783799
2021-09-24,6712137030
2021-09-27,6835370880
2021-09-28,6712137030
2021-09-29,6736783799
2021-09-30,6366830000
2021-10-01,6429790000
2021-10-04,6390439999
2021-10-05,6563580000
2021-10-06,6437660000
2021-10-07,6421920000
2021-10-08,6579320000
2021-10-11,6516359999
2021-10-12,6516359999
2021-10-13,6587189999
2021-10-14,6720979999
2021-10-15,6673760000
2021-10-18,6673760000
2021-10-19,6673760000
2021-10-20,6760330000
2021-10-21,6720979999
2021-10-22,6618670000
2021-10-25,6610800000
2021-10-26,6461270000
2021-10-27,6461270000
2021-10-28,6626540000
2021-10-29,6571450000
2021-11-01,6870510000
2021-11-02,6823290000
2021-11-03,7043649999
2021-11-04,6823290000
2021-11-05,7114479999
2021-11-08,7083000000
2021-11-09,7940830000
2021-11-10,7043649999
2021-11-11,6996430000
2021-11-12,7161700000
2021-11-15,7043649999
2021-11-16,7216790000
2021-11-17,7240399999
2021-11-18,7059390000
2021-11-19,7075130000
2021-11-22,6972820000
2021-11-23,6972820000
2021-11-24,6972820000
2021-11-26,6697370000
2021-11-29,6681630000
2021-11-30,6539970000
2021-12-01,6351090000
2021-12-02,6563580000
2021-12-03,6382570000
2021-12-06,6563580000
2021-12-07,6728850000
2021-12-08,6815420000
2021-12-09,6720979999
2021-12-10,6689500000
2021-12-13,6421920000
2021-12-14,6327479999
2021-12-15,6327479999
2021-12-16,6264520000
2021-12-17,6351090000
2021-12-20,6303870000
2021-12-21,6469140000
2021-12-22,6571450000
2021-12-23,6736720000
2021-12-27,6815420000
2021-12-28,6736720000
2021-12-29,6642280000
2021-12-30,6571450000
2021-12-31,7834032857
2022-01-03,7843347997
2022-01-04,8048281080
2022-01-05,8048281080
2022-01-06,7340330430
2022-01-07,7349645570
2022-01-10,7154027627
2022-01-11,7386906131
2022-01-12,7321700150
2022-01-13,7396221271
2022-01-14,7377590990
2022-01-18,7284439589
2022-01-19,7135397347
2022-01-20,6874573423
2022-01-21,6688270620
2022-01-24,6800052302
2022-01-25,6837312862
2022-01-26,6762791741
2022-01-27,6716216040
2022-01-28,6865258283
2022-01-31,7070191366
2022-02-01,7219233608
2022-02-02,7098136786
2022-02-03,6902518843
2022-02-04,6800052302
2022-02-07,7079506506
2022-02-08,7219233608
2022-02-09,7303069869
2022-02-10,7219233608
2022-02-11,7004985385
2022-02-14,7023615665
2022-02-15,7303069869
2022-02-16,7368275850
2022-02-17,7098136786
2022-02-18,6855943143
2022-02-22,6706900900
2022-02-23,6492652677
2022-02-24,6697585760
2022-02-25,6818682582
2022-02-28,6809367442
2022-03-01,6958409684
2022-03-02,7340330430
2022-03-03,7275124449
2022-03-04,7070191366
2022-03-07,6818682582
2022-03-08,6660325200
2022-03-09,7088821646
2022-03-10,7004985385
2022-03-11,7116767066
2022-03-14,6827997722
2022-03-15,6949094544
2022-03-16,7321700150
2022-03-17,7284439589
2022-03-18,7051561085
2022-03-21,7051561085
2022-03-22,7098136786
2022-03-23,6902518843
2022-03-24,6958409684
2022-03-25,6855943143
2022-03-28,6939779404
2022-03-29,7312385009
2022-03-30,7070191366
2022-03-31,7328554860
2022-04-01,7473387960
2022-04-04,7463732420
2022-04-05,7270621620
2022-04-06,7000266500
2022-04-07,6903711100
2022-04-08,6855433400
2022-04-11,6874744480
2022-04-12,6855433400
2022-04-13,6913366640
2022-04-14,6749222460
2022-04-18,6643011520
2022-04-19,7058199740
2022-04-20,7125788520
2022-04-21,7135444060
2022-04-22,6836122320
2022-04-25,6865088940
2022-04-26,6527145040
2022-04-27,6633355980
2022-04-28,6768533540
2022-04-29,6614044900
2022-05-02,6623700440
2022-05-03,6758878000
2022-05-04,7000266500
2022-05-05,6797500160
2022-05-06,6758878000
2022-05-09,6372656400
2022-05-10,6507833960
2022-05-11,6314723160
2022-05-12,6449900720
2022-05-13,6749222460
2022-05-16,6623700440
2022-05-17,6951988800
2022-05-18,6652667060
2022-05-19,6758878000
2022-05-20,6729911380
2022-05-23,6758878000
2022-05-24,6691289220
2022-05-25,6942333260
2022-05-26,7096821900
2022-05-27,7299588240
2022-05-31,7222343920
2022-06-01,7058199740
2022-06-02,7280277160
2022-06-03,7203032840
2022-06-06,7347865940
2022-06-07,7425110260
2022-06-08,7116132980
2022-06-09,6980955420
2022-06-10,6633355980
2022-06-13,6372656400
2022-06-14,6179545600
2022-06-15,6247134380
2022-06-16,5938157100
2022-06-17,6082990200
2022-06-21,6131267900
2022-06-22,5967123720
2022-06-23,5938157100
2022-06-24,6227823300
2022-06-27,6363000860
2022-06-28,6150578980
2022-06-29,5976779260
2022-06-30,5565596250
2022-07-01,5692292750
2022-07-05,5755641000
2022-07-06,5764690750
2022-07-07,5981884750
2022-07-08,6018083750
2022-07-11,5990934500
2022-07-12,6054282750
2022-07-13,6027133500
2022-07-14,5963785250
2022-07-15,6162879750
2022-07-18,6199078750
2022-07-19,6434372250
2022-07-20,6533919500
2022-07-21,6533919500
2022-07-22,6398173250
2022-07-25,6380073750
2022-07-26,6244327500
2022-07-27,6488670750
2022-07-28,6606317500
2022-07-29,6606317500
2022-08-01,6561068750
2022-08-02,6515820000
2022-08-03,6615367250
2022-08-04,6968307500
2022-08-05,7257899500
2022-08-08,7239800000
2022-08-09,7104053750
2022-08-10,7185501500
2022-08-11,7266949249
2022-08-12,7466043750
2022-08-15,7475093500
2022-08-16,7429844750
2022-08-17,7257899500
2022-08-18,7203601000
2022-08-19,7122153250
2022-08-22,6904959250
2022-08-23,6959257750
2022-08-24,6932108500
2022-08-25,7076904500
2022-08-26,6841611000
2022-08-29,6751113500
2022-08-30,6696815000
2022-08-31,6597267750
2022-09-01,6552019000
2022-09-02,6524869750
