,K
2003-03-13,11089440000
2003-03-14,11158749000
2003-03-17,11541987000
2003-03-18,11431908000
2003-03-19,11778453000
2003-03-20,11599065000
2003-03-21,11815146000
2003-03-24,11448216000
2003-03-25,11676528000
2003-03-26,11484909000
2003-03-27,11615373000
2003-03-28,11423754000
2003-03-31,11702444000
2003-04-01,11629202000
2003-04-02,11877411000
2003-04-03,11755341000
2003-04-04,11930308000
2003-04-07,11914032000
2003-04-08,11999481000
2003-04-09,11889618000
2003-04-10,11979136000
2003-04-11,12060516000
2003-04-14,12166310000
2003-04-15,11958791000
2003-04-16,11787893000
2003-04-17,11979136000
2003-04-21,11857066000
2003-04-22,12255828000
2003-04-23,12117482000
2003-04-24,12227345000
2003-04-25,12190724000
2003-04-28,12475554000
2003-04-29,12617969000
2003-04-30,12499968000
2003-05-01,12556934000
2003-05-02,12613900000
2003-05-05,12613900000
2003-05-06,12589486000
2003-05-07,12715625000
2003-05-08,12548796000
2003-05-09,12748177000
2003-05-12,12813281000
2003-05-13,12833626000
2003-05-14,12776660000
2003-05-15,12919075000
2003-05-16,12703418000
2003-05-19,12809212000
2003-05-20,12813281000
2003-05-21,12845833000
2003-05-22,12910937000
2003-05-23,12809212000
2003-05-27,12980110000
2003-05-28,12943489000
2003-05-29,13094042000
2003-05-30,13439907000
2003-06-02,13325975000
2003-06-03,13468390000
2003-06-04,13403286000
2003-06-05,13492803999
2003-06-06,13500942000
2003-06-09,13362596000
2003-06-10,13175422000
2003-06-11,13325975000
2003-06-12,13362596000
2003-06-13,13305630000
2003-06-16,13464321000
2003-06-17,13395148000
2003-06-18,13395148000
2003-06-19,13171352999
2003-06-20,13277147000
2003-06-23,13122525000
2003-06-24,13269009000
2003-06-25,13000455000
2003-06-26,13126594000
2003-06-27,13106249000
2003-06-30,13167675000
2003-07-01,13241169000
2003-07-02,13388157000
2003-07-03,13261583999
2003-07-07,13424904000
2003-07-08,13404489000
2003-07-09,13249335000
2003-07-10,13286082000
2003-07-11,13326912000
2003-07-14,13114595999
2003-07-15,13200339000
2003-07-16,13122762000
2003-07-17,13024770000
2003-07-18,13200339000
2003-07-21,12881865000
2003-07-22,13008438000
2003-07-23,12869616000
2003-07-24,12857367000
2003-07-25,13024770000
2003-07-28,13322829000
2003-07-29,13163592000
2003-07-30,13216670999
2003-07-31,13151343000
2003-08-01,13122762000
2003-08-04,13102347000
2003-08-05,12890031000
2003-08-06,12922695000
2003-08-07,12808371000
2003-08-08,12951276000
2003-08-11,12943110000
2003-08-12,12890031000
2003-08-13,12902280000
2003-08-14,12979857000
2003-08-15,13016604000
2003-08-18,12922695000
2003-08-19,12873699000
2003-08-20,12902280000
2003-08-21,12755292000
2003-08-22,12722628000
2003-08-25,12873699000
2003-08-26,12930861000
2003-08-27,12824703000
2003-08-28,12812454000
2003-08-29,12845118000
2003-09-02,12914529000
2003-09-03,12767541000
2003-09-04,12755292000
2003-09-05,12714462000
2003-09-08,12714462000
2003-09-09,12738960000
2003-09-10,12812454000
2003-09-11,12816537000
2003-09-12,12771624000
2003-09-15,12890031000
2003-09-16,12967608000
2003-09-17,12775707000
2003-09-18,12992106000
2003-09-19,12767541000
2003-09-22,12849201000
2003-09-23,12796122000
2003-09-24,12665466000
2003-09-25,12714462000
2003-09-26,12669549000
2003-09-29,12627832000
2003-09-30,12791352000
2003-10-01,12979400000
2003-10-02,12930344000
2003-10-03,13044808000
2003-10-06,13024368000
2003-10-07,13040720000
2003-10-08,13020280000
2003-10-09,12950784000
2003-10-10,12926256000
2003-10-13,13069336000
2003-10-14,12995752000
2003-10-15,13048896000
2003-10-16,13040720000
2003-10-17,12942608000
2003-10-20,13040720000
2003-10-21,13159272000
2003-10-22,12938520000
2003-10-23,12926256000
2003-10-24,12905816000
2003-10-27,12869024000
2003-10-28,12869024000
2003-10-29,12819968000
2003-10-30,12807704000
2003-10-31,12709592000
2003-11-03,13388200000
2003-11-04,13273736000
2003-11-05,13273736000
2003-11-06,13228768000
2003-11-07,13494488000
2003-11-10,13424992000
2003-11-11,13445432000
2003-11-12,13498576000
2003-11-13,13551720000
2003-11-14,13576248000
2003-11-17,13559896000
2003-11-18,13474048000
2003-11-19,13535368000
2003-11-20,13482223999
2003-11-21,13588512000
2003-11-24,13772472000
2003-11-25,13711152000
2003-11-26,13621216000
2003-11-28,13719328000
2003-12-01,13735680000
2003-12-02,13707064000
2003-12-03,13760207999
2003-12-04,13829704000
2003-12-05,13854232000
2003-12-08,13911464000
2003-12-09,13948255999
2003-12-10,13690712000
2003-12-11,13768384000
2003-12-12,13739768000
2003-12-15,14001400000
2003-12-16,14042280000
2003-12-17,13747944000
2003-12-18,14124039999
2003-12-19,14095423999
2003-12-22,14144480000
2003-12-23,14344792000
2003-12-24,14442904000
2003-12-26,14500136000
2003-12-29,14620372000
2003-12-30,14760044000
2003-12-31,14677883999
2004-01-02,14571076000
2004-01-05,14743612000
2004-01-06,14599832000
2004-01-07,14497132000
2004-01-08,14579292000
2004-01-09,14435512000
2004-01-12,14558752000
2004-01-13,14402648000
2004-01-14,14677883999
2004-01-15,14378000000
2004-01-16,14603939999
2004-01-20,14431404000
2004-01-21,14595724000
2004-01-22,14513564000
2004-01-23,14595724000
2004-01-26,14690208000
2004-01-27,14653236000
2004-01-28,14649127999
2004-01-29,14817556000
2004-01-30,14575183999
2004-02-02,14476592000
2004-02-03,14341027999
2004-02-04,14550536000
2004-02-05,14538212000
2004-02-06,14665560000
2004-02-09,14706639999
2004-02-10,14821664000
2004-02-11,14916148000
2004-02-12,14858636000
2004-02-13,14838095999
2004-02-17,14883283999
2004-02-18,14903824000
2004-02-19,14936688000
2004-02-20,15014739999
2004-02-23,14973660000
2004-02-24,14985983999
2004-02-25,15076360000
2004-02-26,15072252000
2004-02-27,15220139999
2004-03-01,15351595999
2004-03-02,15207816000
2004-03-03,15248895999
2004-03-04,15158520000
2004-03-05,15150304000
2004-03-08,15158520000
2004-03-09,15199600000
2004-03-10,15281760000
2004-03-11,15072252000
2004-03-12,15244788000
2004-03-15,14903824000
2004-03-16,15010632000
2004-03-17,15101008000
2004-03-18,15105116000
2004-03-19,14981876000
2004-03-22,14657344000
2004-03-23,14784692000
2004-03-24,14657344000
2004-03-25,14957227999
2004-03-26,14809339999
2004-03-29,15207774000
2004-03-30,15133650000
2004-03-31,15162476000
2004-04-01,15137768000
2004-04-02,15141886000
2004-04-05,15261308000
2004-04-06,15586630000
2004-04-07,15714287999
2004-04-08,15809002000
2004-04-12,15747232000
2004-04-13,15516624000
2004-04-14,15594865999
2004-04-15,15734878000
2004-04-16,15973722000
2004-04-19,15932542000
2004-04-20,15936660000
2004-04-21,15899598000
2004-04-22,16385522000
2004-04-23,16546124000
2004-04-26,16587304000
2004-04-27,16570832000
2004-04-28,16373168000
2004-04-29,16612012000
2004-04-30,16574950000
2004-05-03,16739670000
2004-05-04,16710844000
2004-05-05,16640837999
2004-05-06,16612012000
2004-05-07,16360813999
2004-05-10,16196094000
2004-05-11,16220802000
2004-05-12,16146678000
2004-05-13,16146678000
2004-05-14,16237274000
2004-05-17,16121970000
2004-05-18,16282572000
2004-05-19,16212565999
2004-05-20,16307280000
2004-05-21,16348460000
2004-05-24,16294926000
2004-05-25,16319634000
2004-05-26,16472000000
2004-05-27,16406112000
2004-05-28,16385522000
2004-06-01,16352578000
2004-06-02,16476118000
2004-06-03,16385522000
2004-06-04,16406112000
2004-06-07,16500826000
2004-06-08,16525534000
2004-06-09,16447292000
2004-06-10,16340224000
2004-06-14,16187858000
2004-06-15,16191976000
2004-06-16,16068436000
2004-06-17,15920187999
2004-06-18,15870772000
2004-06-21,15957250000
2004-06-22,16117852000
2004-06-23,16068436000
2004-06-24,16006665999
2004-06-25,15907834000
2004-06-28,15964004000
2004-06-29,16091848000
2004-06-30,16194948000
2004-07-01,16009368000
2004-07-02,15984624000
2004-07-06,15939260000
2004-07-07,16058856000
2004-07-08,16182576000
2004-07-09,16194948000
2004-07-12,16199072000
2004-07-13,16054732000
2004-07-14,15988748000
2004-07-15,15964004000
2004-07-16,15947508000
2004-07-19,15926887999
2004-07-20,15807292000
2004-07-21,15712440000
2004-07-22,15535108000
2004-07-23,15568100000
2004-07-26,15770176000
2004-07-27,16157832000
2004-07-28,16108344000
2004-07-29,16095972000
2004-07-30,16120716000
2004-08-02,16038236000
2004-08-03,15972251999
2004-08-04,15980500000
2004-08-05,15865028000
2004-08-06,15774300000
2004-08-09,15675324000
2004-08-10,15906268000
2004-08-11,15968128000
2004-08-12,15786672000
2004-08-13,15823787999
2004-08-16,15906268000
2004-08-17,15906268000
2004-08-18,16120716000
2004-08-19,16067104000
2004-08-20,16091848000
2004-08-23,16166080000
2004-08-24,16219692000
