,SHW
2000-10-24,1083639127
2000-10-25,1053136692
2000-10-26,1074006779
2000-10-27,1086849910
2000-10-30,1133406257
2000-10-31,1160697909
2000-11-01,1114141562
2000-11-02,1176751822
2000-11-03,1187989562
2000-11-06,1194411127
2000-11-07,1210465040
2000-11-08,1234545909
2000-11-09,1213675822
2000-11-10,1210465040
2000-11-13,1224913561
2000-11-14,1207254257
2000-11-15,1170330257
2000-11-16,1173541040
2000-11-17,1170330257
2000-11-20,1167119475
2000-11-21,1160697909
2000-11-22,1154276344
2000-11-24,1173541040
2000-11-27,1163908692
2000-11-28,1173541040
2000-11-29,1173541040
2000-11-30,1167119475
2000-12-01,1187989562
2000-12-04,1197621909
2000-12-05,1191200344
2000-12-06,1197621909
2000-12-07,1210465040
2000-12-08,1244178257
2000-12-11,1213675822
2000-12-12,1234545909
2000-12-13,1237756692
2000-12-14,1231335127
2000-12-15,1234545909
2000-12-18,1297156170
2000-12-19,1314815474
2000-12-20,1284313040
2000-12-21,1274680692
2000-12-22,1274680692
2000-12-26,1324447822
2000-12-27,1361371822
2000-12-28,1398295822
2000-12-29,1407928170
2001-01-02,4002240519
2001-01-03,4223784519
2001-01-04,4324924171
2001-01-05,4243049214
2001-01-08,4223784519
2001-01-09,4122644866
2001-01-10,4165990432
2001-01-11,4132277214
2001-01-12,4243049214
2001-01-16,4315291823
2001-01-17,4344188866
2001-01-18,4113012519
2001-01-19,3901100867
2001-01-22,3934814084
2001-01-23,4002240519
2001-01-24,3944446432
2001-01-25,4132277214
2001-01-26,4035953736
2001-01-29,4117828693
2001-01-30,4175622779
2001-01-31,4310475649
2001-02-01,4271946258
2001-02-02,4238233040
2001-02-05,4296027127
2001-02-06,4180438953
2001-02-07,4180438953
2001-02-08,4141909562
2001-02-09,4262313910
2001-02-12,4257497736
2001-02-13,4296027127
2001-02-14,4252681562
2001-02-15,4199703649
2001-02-16,4190071301
2001-02-20,4137093388
2001-02-21,4011872867
2001-02-22,3929997910
2001-02-23,3877019997
2001-02-26,4026321388
2001-02-27,4098563997
2001-02-28,4031137562
2001-03-01,4045586084
2001-03-02,4108196345
2001-03-05,4156358084
2001-03-06,4204519823
2001-03-07,4281578605
2001-03-08,4262313910
2001-03-09,4257497736
2001-03-12,4161174258
2001-03-13,4161174258
2001-03-14,4026321388
2001-03-15,3997424345
2001-03-16,3944446432
2001-03-19,3997424345
2001-03-20,3949262606
2001-03-21,3954078780
2001-03-22,3891468519
2001-03-23,3978159649
2001-03-26,3992608171
2001-03-27,3987791997
2001-03-28,4011872867
2001-03-29,4060034606
2001-03-30,4088931649
2001-04-02,4001400000
2001-04-03,3168360000
2001-04-04,3430440000
2001-04-05,3341520000
2001-04-06,3201120000
2001-04-09,3247920000
2001-04-10,3205800000
2001-04-11,3261960000
2001-04-12,3224520000
2001-04-16,3261960000
2001-04-17,3229200000
2001-04-18,3416400000
2001-04-19,3369600000
2001-04-20,3322800000
2001-04-23,3266640000
2001-04-24,3261960000
2001-04-25,3261960000
2001-04-26,3336840000
2001-04-27,3341520000
2001-04-30,3271320000
2001-05-01,3360240000
2001-05-02,3313440000
2001-05-03,3294720000
2001-05-04,3336840000
2001-05-07,3369600000
2001-05-08,3327480000
2001-05-09,3350880000
2001-05-10,3336840000
2001-05-11,3364920000
2001-05-14,3355560000
2001-05-15,3383640000
2001-05-16,3416400000
2001-05-17,3477240000
2001-05-18,3510000000
2001-05-21,3421080000
2001-05-22,3393000000
2001-05-23,3346200000
2001-05-24,3332160000
2001-05-25,3308760000
2001-05-29,3313440000
2001-05-30,3313440000
2001-05-31,3327480000
2001-06-01,3355560000
2001-06-04,3383640000
2001-06-05,3430440000
2001-06-06,3458520000
2001-06-07,3467880000
2001-06-08,3467880000
2001-06-11,3449160000
2001-06-12,3430440000
2001-06-13,3477240000
2001-06-14,3425760000
2001-06-15,3510000000
2001-06-18,3477240000
2001-06-19,3463200000
2001-06-20,3575520000
2001-06-21,3369600000
2001-06-22,3346200000
2001-06-25,3355560000
2001-06-26,3294720000
2001-06-27,3355560000
2001-06-28,3416400000
2001-06-29,3463200000
2001-07-02,3499160119
2001-07-03,3494488343
2001-07-05,3466457688
2001-07-06,3433755257
2001-07-09,3485144791
2001-07-10,3517847222
2001-07-11,3545877877
2001-07-12,3592595636
2001-07-13,3573908532
2001-07-16,3555221429
2001-07-17,3573908532
2001-07-18,3541206101
2001-07-19,3555221429
2001-07-20,3559893205
2001-07-23,3508503670
2001-07-24,3443098808
2001-07-25,3489816567
2001-07-26,3475801239
2001-07-27,3480473015
2001-07-30,3503831895
2001-07-31,3564564981
2001-08-01,3606610963
2001-08-02,3597267412
2001-08-03,3583252084
2001-08-06,3475801239
2001-08-07,3471129463
2001-08-08,3447770584
2001-08-09,3438427032
2001-08-10,3475801239
2001-08-13,3517847222
2001-08-14,3545877877
2001-08-15,3508503670
2001-08-16,3508503670
2001-08-17,3522518998
2001-08-20,3564564981
2001-08-21,3564564981
2001-08-22,3541206101
2001-08-23,3499160119
2001-08-24,3522518998
2001-08-27,3536534326
2001-08-28,3527190774
2001-08-29,3531862550
2001-08-30,3513175446
2001-08-31,3527190774
2001-09-04,3597267412
2001-09-05,3615954515
2001-09-06,3714061808
2001-09-07,3555221429
2001-09-10,3569236757
2001-09-17,3340319739
2001-09-18,3466457688
2001-09-19,3485144791
2001-09-20,3326304412
2001-09-21,3186151136
2001-09-24,3176807584
2001-09-25,3330976188
2001-09-26,3298273757
2001-09-27,3349663291
2001-09-28,3461785912
2001-10-01,1124742782
2001-10-02,1126256568
2001-10-03,1170156353
2001-10-04,1133825496
2001-10-05,1147449568
2001-10-08,1135339282
2001-10-09,1147449568
2001-10-10,1191349353
2001-10-11,1214056139
2001-10-12,1229193996
2001-10-15,1211028568
2001-10-16,1226166425
2001-10-17,1226166425
2001-10-18,1221625067
2001-10-19,1226166425
2001-10-22,1248873210
2001-10-23,1253414567
2001-10-24,1260983496
2001-10-25,1291259210
2001-10-26,1295800567
2001-10-29,1238276710
2001-10-30,1220111282
2001-10-31,1229193996
2001-11-01,1289745424
2001-11-02,1274607567
2001-11-05,1273093782
2001-11-06,1312452210
2001-11-07,1333645210
2001-11-08,1298828139
2001-11-09,1282176496
2001-11-12,1279148924
2001-11-13,1286717853
2001-11-14,1336672781
2001-11-15,1341214139
2001-11-16,1344241710
2001-11-19,1413875853
2001-11-20,1388141496
2001-11-21,1394196638
2001-11-23,1410848281
2001-11-26,1413875853
2001-11-27,1382086353
2001-11-28,1369976067
2001-11-29,1377544996
2001-11-30,1412362067
2001-12-03,1412362067
2001-12-04,1404793138
2001-12-05,1410848281
2001-12-06,1407820710
2001-12-07,1362407139
2001-12-10,1329103853
2001-12-11,1345755496
2001-12-12,1341214139
2001-12-13,1339700353
2001-12-14,1356351996
2001-12-17,1377544996
2001-12-18,1385113924
2001-12-19,1394196638
2001-12-20,1385113924
2001-12-21,1373003638
2001-12-24,1382086353
2001-12-26,1397224210
2001-12-27,1377544996
2001-12-28,1410848281
2001-12-31,4164424497
2002-01-02,4100845497
2002-01-03,4237086211
2002-01-04,4223462140
2002-01-07,4105386854
2002-01-08,4146259068
2002-01-09,4132634997
2002-01-10,4100845497
2002-01-11,4028183783
2002-01-14,3960063426
2002-01-15,3932815283
2002-01-16,3887401711
2002-01-17,3914649854
2002-01-18,3869236283
2002-01-22,3864694926
2002-01-23,3941897997
2002-01-24,3955522068
2002-01-25,4064514640
2002-01-28,4069055997
2002-01-29,4010018354
2002-01-30,4109928211
2002-01-31,4196213997
2002-02-01,4032725140
2002-02-04,3991852926
2002-02-05,3737536926
2002-02-06,3773867783
2002-02-07,3778409140
2002-02-08,3751160997
2002-02-11,3923732568
2002-02-12,3919191211
2002-02-13,4041807854
2002-02-14,4078138711
2002-02-15,4123552283
2002-02-19,3946439354
2002-02-20,4000935640
2002-02-21,3914649854
2002-02-22,3905567140
2002-02-25,3950980711
2002-02-26,3960063426
2002-02-27,3982770211
2002-02-28,4000935640
2002-03-01,3973687497
2002-03-04,4255251640
2002-03-05,4223462140
2002-03-06,4309747925
2002-03-07,4441447282
2002-03-08,4309747925
2002-03-11,4282499783
2002-03-12,4332454711
2002-03-13,4305206568
2002-03-14,4323371997
2002-03-15,4386950997
2002-03-18,4382409640
2002-03-19,4409657782
2002-03-20,4441447282
2002-03-21,4386950997
2002-03-22,4223462140
2002-03-25,4155341783
2002-03-26,4296123854
2002-03-27,4327913354
2002-03-28,4309747925
2002-04-01,4393421490
2002-04-02,4370704729
2002-04-03,4284381039
2002-04-04,4248034222
2002-04-05,4352531321
2002-04-08,4388878138
2002-04-09,4443398363
2002-04-10,4484288532
2002-04-11,4661479264
2002-04-12,4688739377
2002-04-15,4616045743
2002-04-16,4643305856
2002-04-17,4620589095
2002-04-18,4643305856
2002-04-19,4620589095
2002-04-22,4588785631
2002-04-23,4575155574
2002-04-24,4625132447
2002-04-25,4634219152
2002-04-26,4606959039
2002-04-29,4556982166
2002-04-30,4652392560
2002-05-01,4643305856
2002-05-02,4675109321
2002-05-03,4693282729
2002-05-06,4611502391
2002-05-07,4829583292
2002-05-08,4788693123
2002-05-09,4770519715
2002-05-10,4775063067
2002-05-13,4770519715
2002-05-14,4888646870
2002-05-15,4875016814
2002-05-16,4906820278
2002-05-17,4979513912
2002-05-20,4997687321
2002-05-21,4924993687
2002-05-22,4934080391
2002-05-23,4938623743
2002-05-24,4838669997
2002-05-28,4756889659
2002-05-29,4752346307
2002-05-30,4734172898
2002-05-31,4784149771
2002-06-03,4688739377
2002-06-04,4547895462
2002-06-05,4684196025
2002-06-06,4611502391
2002-06-07,4711456138
2002-06-10,4770519715
2002-06-11,4643305856
2002-06-12,4602415687
2002-06-13,4647849208
2002-06-14,4620589095
2002-06-17,4602415687
2002-06-18,4570612222
2002-06-19,4602415687
2002-06-20,4588785631
2002-06-21,4488831884
2002-06-24,4507005293
2002-06-25,4420681603
2002-06-26,4461571772
2002-06-27,4552438814
2002-06-28,4534265405
2002-07-01,4414203000
2002-07-02,4287825000
2002-07-03,4287825000
2002-07-05,4450311000
2002-07-08,4387122000
2002-07-09,4319419500
2002-07-10,4283311500
2002-07-11,4238176500
2002-07-12,4278798000
2002-07-15,4269771000
2002-07-16,4129852500
2002-07-17,4062150000
2002-07-18,4048609500
2002-07-19,3976393500
2002-07-22,3881610000
2002-07-23,3836475000
2002-07-24,4084717500
2002-07-25,4143393000
2002-07-26,4120825500
2002-07-29,4319419500
2002-07-30,4224635999
2002-07-31,4323933000
2002-08-01,4269771000
2002-08-02,4066663500
2002-08-05,4012501500
2002-08-06,4211095500
2002-08-07,4260744000
2002-08-08,4328446500
2002-08-09,4360041000
2002-08-12,4305879000
2002-08-13,4332960000
2002-08-14,4414203000
2002-08-15,4468365000
2002-08-16,4486419000
2002-08-19,4522527000
2002-08-20,4454824500
2002-08-21,4414203000
2002-08-22,4396149000
2002-08-23,4269771000
2002-08-26,4229149499
2002-08-27,4102771500
2002-08-28,4007988000
2002-08-29,4012501500
2002-08-30,4062150000
2002-09-03,3971880000
2002-09-04,4102771500
2002-09-05,4026042000
2002-09-06,3944799000
2002-09-09,3953826000
2002-09-10,4003474499
2002-09-11,4017015000
2002-09-12,3917718000
2002-09-13,3881610000
2002-09-16,3881610000
2002-09-17,3859042500
2002-09-18,3768772500
2002-09-19,3642394500
2002-09-20,3628853999
2002-09-23,3543097500
2002-09-24,3466368000
2002-09-25,3538584000
2002-09-26,3516016500
2002-09-27,3543097500
2002-09-30,1187050500
2002-10-01,1215636000
2002-10-02,1175014500
2002-10-03,1185546000
2002-10-04,1167492000
2002-10-07,1126870500
2002-10-08,1156960500
2002-10-09,1105807500
2002-10-10,1117843500
2002-10-11,1165987500
2002-10-14,1165987500
2002-10-15,1218645000
2002-10-16,1211122500
2002-10-17,1292365500
2002-10-18,1289356500
2002-10-21,1298383500
2002-10-22,1281834000
2002-10-23,1259266500
2002-10-24,1232185500
2002-10-25,1254753000
2002-10-28,1232185500
2002-10-29,1388653500
2002-10-30,1372104000
2002-10-31,1372104000
2002-11-01,1375113000
2002-11-04,1369095000
2002-11-05,1384140000
2002-11-06,1454851500
2002-11-07,1417239000
2002-11-08,1414230000
2002-11-11,1391662500
2002-11-12,1412725500
2002-11-13,1406707500
2002-11-14,1402194000
2002-11-15,1420248000
2002-11-18,1408212000
2002-11-19,1394671500
2002-11-20,1415734500
2002-11-21,1444320000
2002-11-22,1418743500
2002-11-25,1444320000
2002-11-26,1400689500
2002-11-27,1435292999
2002-11-29,1445824500
2002-12-02,1424761500
2002-12-03,1391662500
2002-12-04,1397680499
2002-12-05,1391662500
2002-12-06,1405203000
2002-12-09,1393167000
2002-12-10,1441311000
2002-12-11,1436797500
2002-12-12,1439806500
2002-12-13,1426266000
2002-12-16,1465383000
2002-12-17,1435292999
2002-12-18,1402194000
2002-12-19,1396176000
2002-12-20,1417239000
2002-12-23,1420248000
2002-12-24,1403698500
2002-12-26,1447329000
2002-12-27,1400689500
2002-12-30,1418743500
2002-12-31,4145069138
2003-01-02,4255076281
2003-01-03,4149469424
2003-01-06,4259476567
2003-01-07,4241875424
2003-01-08,4145069138
2003-01-09,4237475138
2003-01-10,4211073424
2003-01-13,4228674567
2003-01-14,4237475138
2003-01-15,4175871138
2003-01-16,4211073424
2003-01-17,4149469424
2003-01-21,4048262853
2003-01-22,4057063424
2003-01-23,4105466567
2003-01-24,3991059138
2003-01-27,3929455139
2003-01-28,3964657424
2003-01-29,3947056281
2003-01-30,3863450853
2003-01-31,3907453710
2003-02-03,3991059138
2003-02-04,3991059138
2003-02-05,3986658853
2003-02-06,3867851139
2003-02-07,3832648853
2003-02-10,3903053424
2003-02-11,3881051996
2003-02-12,3806247139
2003-02-13,3815047710
2003-02-14,3951456567
2003-02-18,4021861138
2003-02-19,3960257139
2003-02-20,3911853996
2003-02-21,3982258567
2003-02-24,3911853996
2003-02-25,3933855424
2003-02-26,3867851139
2003-02-27,3872251424
2003-02-28,3916254281
2003-03-03,3898653139
2003-03-04,3810647424
2003-03-05,3854650281
2003-03-06,3749043424
2003-03-07,3845849710
2003-03-10,3753443710
2003-03-11,3639036282
2003-03-12,3643436567
2003-03-13,3819447996
2003-03-14,3850249996
2003-03-17,3885452281
2003-03-18,3942655996
2003-03-19,3977858281
2003-03-20,3955856853
2003-03-21,4109866853
2003-03-24,3920654567
2003-03-25,3925054853
2003-03-26,3885452281
2003-03-27,3942655996
2003-03-28,3933855424
2003-03-31,3829915656
2003-04-01,3886429734
2003-04-02,4003805129
2003-04-03,3977721708
2003-04-04,3999457892
2003-04-07,3999457892
2003-04-08,3960332761
2003-04-09,3873388024
2003-04-10,3947291050
2003-04-11,3912513156
2003-04-14,4003805129
2003-04-15,4012499603
2003-04-16,3990763419
2003-04-17,4008152366
2003-04-21,4064666445
2003-04-22,4108138813
2003-04-23,4073360919
2003-04-24,4047277498
2003-04-25,3947291050
2003-04-28,4038583024
2003-04-29,4029888550
2003-04-30,4038583024
2003-05-01,3995110655
2003-05-02,4016846840
2003-05-05,3955985524
2003-05-06,4025541313
2003-05-07,3990763419
2003-05-08,3951638287
2003-05-09,4003805129
2003-05-12,4077708155
2003-05-13,4038583024
2003-05-14,4051624734
2003-05-15,4077708155
2003-05-16,4086402629
2003-05-19,3947291050
2003-05-20,3960332761
2003-05-21,3929902103
2003-05-22,3895124208
2003-05-23,3855999077
2003-05-27,3964679998
2003-05-28,3995110655
2003-05-29,3960332761
2003-05-30,3969027234
2003-06-02,3977721708
2003-06-03,4008152366
2003-06-04,3995110655
2003-06-05,3969027234
2003-06-06,3964679998
2003-06-09,3947291050
2003-06-10,3986416182
2003-06-11,3990763419
2003-06-12,3999457892
2003-06-13,3960332761
2003-06-16,4069013682
2003-06-17,4103791576
2003-06-18,4038583024
2003-06-19,4064666445
2003-06-20,4051624734
2003-06-23,3969027234
2003-06-24,3951638287
2003-06-25,3947291050
2003-06-26,3947291050
2003-06-27,3899471445
2003-06-30,3895883568
2003-07-01,3926320159
2003-07-02,3935016327
2003-07-03,3948060580
2003-07-07,3961104833
2003-07-08,4017629930
2003-07-09,4004585677
2003-07-10,3930668243
2003-07-11,3961104833
2003-07-14,4004585677
2003-07-15,3965452918
2003-07-16,3956756749
2003-07-17,3930668243
2003-07-18,3982845255
2003-07-21,3917623990
2003-07-22,4078503110
2003-07-23,4226337978
2003-07-24,4235034147
2003-07-25,4321995833
2003-07-28,4326343918
2003-07-29,4265470737
2003-07-30,4282863074
2003-07-31,4348084340
2003-08-01,4317647749
2003-08-04,4235034147
2003-08-05,4239382231
2003-08-06,4221989894
2003-08-07,4195901388
2003-08-08,4269818821
2003-08-11,4248078400
2003-08-12,4300255412
2003-08-13,4282863074
2003-08-14,4287211159
2003-08-15,4287211159
2003-08-18,4335040086
2003-08-19,4335040086
2003-08-20,4317647749
2003-08-21,4348084340
2003-08-22,4339388171
2003-08-25,4361128593
2003-08-26,4387217099
2003-08-27,4352432424
2003-08-28,4352432424
2003-08-29,4361128593
2003-09-02,4422001773
2003-09-03,4452438364
2003-09-04,4413305605
2003-09-05,4417653689
2003-09-08,4395913267
2003-09-09,4391565183
2003-09-10,4291559243
2003-09-11,4313299665
2003-09-12,4300255412
2003-09-15,4308951580
2003-09-16,4378520930
2003-09-17,4348084340
2003-09-18,4391565183
2003-09-19,4417653689
2003-09-22,4326343918
2003-09-23,4313299665
2003-09-24,4265470737
2003-09-25,4235034147
2003-09-26,4256774568
2003-09-29,4287211159
2003-09-30,4252287825
2003-10-01,4317373863
2003-10-02,4347747348
2003-10-03,4425850594
2003-10-06,4430189663
2003-10-07,4569039878
2003-10-08,4564700808
2003-10-09,4582057085
2003-10-10,4586396154
2003-10-13,4638464985
2003-10-14,4660160331
2003-10-15,4612430570
2003-10-16,4664499400
2003-10-17,4590735224
2003-10-20,4608091501
2003-10-21,4582057085
2003-10-22,4508292909
2003-10-23,4521310116
2003-10-24,4551683601
2003-10-27,4668838469
2003-10-28,4794671477
2003-10-29,4820705892
2003-10-30,4838062169
2003-10-31,4851079376
2003-11-03,4838062169
2003-11-04,4859757515
2003-11-05,4833723099
2003-11-06,4838062169
2003-11-07,4829384030
2003-11-10,4816366823
2003-11-11,4807688684
2003-11-12,4781654269
2003-11-13,4764297992
2003-11-14,4720907300
2003-11-17,4694872885
2003-11-18,4608091501
2003-11-19,4625447777
2003-11-20,4569039878
2003-11-21,4625447777
2003-11-24,4673177539
2003-11-25,4690533816
2003-11-26,4699211954
2003-11-28,4690533816
2003-12-01,4755619854
2003-12-02,4751280784
2003-12-03,4864096584
2003-12-04,4916165414
2003-12-05,4894470068
2003-12-08,4933521691
2003-12-09,4955217037
2003-12-10,4885791930
2003-12-11,4903148207
2003-12-12,4924843553
2003-12-15,4903148207
2003-12-16,4924843553
2003-12-17,4924843553
2003-12-18,4946538899
2003-12-19,4916165414
2003-12-22,4950877968
2003-12-23,4950877968
2003-12-24,4937860760
2003-12-26,4933521691
2003-12-29,4950877968
2003-12-30,4946538899
2003-12-31,4966662000
2004-01-02,4953795000
2004-01-05,5035286000
2004-01-06,5112488000
2004-01-07,5091043000
2004-01-08,5125355000
2004-01-09,5043864000
2004-01-12,5026708000
2004-01-13,5022419000
2004-01-14,4988107000
2004-01-15,4940928000
2004-01-16,4919483000
2004-01-20,4893749000
2004-01-21,4902327000
2004-01-22,4885171000
2004-01-23,4855148000
2004-01-26,4872304000
2004-01-27,4833703000
2004-01-28,4760790000
2004-01-29,4816547000
2004-01-30,4825125000
2004-02-02,4752212000
2004-02-03,4726478000
2004-02-04,4743634000
2004-02-05,4846570000
2004-02-06,4979529000
2004-02-09,5000974000
2004-02-10,5061020000
2004-02-11,5133933000
2004-02-12,5086754000
2004-02-13,5052442000
2004-02-17,5112488000
2004-02-18,5138222000
2004-02-19,5056731000
2004-02-20,5018130000
2004-02-23,4992396000
2004-02-24,4970951000
2004-02-25,4953795000
2004-02-26,5000974000
2004-02-27,5005263000
2004-03-01,5009552000
2004-03-02,4970951000
2004-03-03,4962373000
2004-03-04,4988107000
2004-03-05,5103910000
2004-03-08,5069598000
2004-03-09,4975240000
2004-03-10,4880882000
2004-03-11,4906616000
2004-03-12,4958084000
2004-03-15,4885171000
2004-03-16,4953795000
2004-03-17,4945217000
2004-03-18,4928061000
2004-03-19,4923772000
2004-03-22,4898038000
2004-03-23,4953795000
2004-03-24,4992396000
2004-03-25,5151089000
2004-03-26,5224002000
2004-03-29,5309782000
2004-03-30,5361250000
2004-03-31,5459564431
2004-04-01,5425468791
2004-04-02,5391373150
2004-04-05,5429730746
2004-04-06,5425468791
2004-04-07,5344491645
2004-04-08,5297610139
2004-04-12,5323181869
2004-04-13,5353015555
2004-04-14,5387111195
2004-04-15,5493660072
2004-04-16,5570375263
2004-04-19,5510707892
2004-04-20,5395635105
2004-04-21,5408420971
2004-04-22,5527755712
2004-04-23,5493660072
2004-04-26,5519231802
2004-04-27,5549065488
2004-04-28,5455302476
2004-04-29,5335967735
2004-04-30,5404159016
2004-05-03,5353015555
2004-05-04,5335967735
2004-05-05,5412682926
2004-05-06,5365801420
2004-05-07,5199585173
2004-05-10,5122869982
2004-05-11,5174013442
2004-05-12,5156965622
2004-05-13,5208109083
2004-05-14,5272038409
2004-05-17,5161227577
2004-05-18,5254990588
2004-05-19,5306134049
2004-05-20,5327443825
2004-05-21,5370063375
2004-05-24,5391373150
2004-05-25,5510707892
2004-05-26,5476612252
2004-05-27,5549065488
2004-05-28,5583161128
2004-06-01,5574637218
2004-06-02,5578899173
2004-06-03,5510707892
2004-06-04,5519231802
2004-06-07,5574637218
2004-06-08,5625780679
2004-06-09,5612994814
2004-06-10,5625780679
2004-06-14,5506445937
2004-06-15,5574637218
2004-06-16,5587423083
2004-06-17,5600208948
2004-06-18,5676924139
2004-06-21,5668400229
2004-06-22,5749377375
2004-06-23,5834616477
2004-06-24,5877236027
2004-06-25,5851664297
2004-06-28,5847402342
2004-06-29,5851664297
2004-06-30,5811008046
2004-07-01,5760659962
2004-07-02,5718703225
2004-07-06,5685137836
2004-07-07,5689333510
2004-07-08,5592833015
2004-07-09,5685137836
2004-07-12,5647376773
2004-07-13,5680942162
2004-07-14,5668355141
2004-07-15,5613811383
2004-07-16,5693529183
2004-07-19,5764855636
2004-07-20,5823595067
2004-07-21,5756464288
2004-07-22,5664159468
2004-07-23,5630594078
2004-07-26,5634789752
2004-07-27,5601224362
2004-07-28,5576050320
2004-07-29,5643181099
2004-07-30,5647376773
2004-08-02,5634789752
2004-08-03,5592833015
2004-08-04,5601224362
2004-08-05,5450180110
2004-08-06,5345288268
2004-08-09,5345288268
2004-08-10,5412419047
2004-08-11,5437593089
2004-08-12,5341092594
2004-08-13,5345288268
2004-08-16,5479549826
2004-08-17,5563463299
2004-08-18,5584441668
2004-08-19,5550876278
2004-08-20,5571854647
2004-08-23,5508919541
