,ATI
2000-06-08,1741816033
2000-06-09,1741816033
2000-06-12,1752122637
2000-06-13,1762429241
2000-06-14,1762429241
2000-06-15,1710896222
2000-06-16,1669669807
2000-06-19,1623290090
2000-06-20,1576910373
2000-06-21,1633596694
2000-06-22,1602676883
2000-06-23,1638749996
2000-06-26,1674823109
2000-06-27,1669669807
2000-06-28,1598811906
2000-06-29,1607830185
2000-06-30,1457307684
2000-07-03,1593930279
2000-07-05,1583810087
2000-07-06,1583810087
2000-07-07,1578749991
2000-07-10,1614170663
2000-07-11,1639471144
2000-07-12,1624290856
2000-07-13,1649591336
2000-07-14,1614170663
2000-07-17,1609110567
2000-07-18,1624290856
2000-07-19,1609110567
2000-07-20,1609110567
2000-07-21,1619230760
2000-07-24,1649591336
2000-07-25,1624290856
2000-07-26,1619230760
2000-07-27,1710312490
2000-07-28,1639471144
2000-07-31,1674891817
2000-08-01,1710312490
2000-08-02,1745733163
2000-08-03,1715372586
2000-08-04,1700192298
2000-08-07,1700192298
2000-08-08,1735612970
2000-08-09,1715372586
2000-08-10,1730552874
2000-08-11,1765973547
2000-08-14,1771033643
2000-08-15,1760913451
2000-08-16,1765973547
2000-08-17,1760913451
2000-08-18,1760913451
2000-08-21,1755853355
2000-08-22,1801394220
2000-08-23,1771033643
2000-08-24,1781153836
2000-08-25,1786213932
2000-08-28,1781153836
2000-08-29,1745733163
2000-08-30,1745733163
2000-08-31,1762178475
2000-09-01,1755853355
2000-09-05,1826694701
2000-09-06,1816574508
2000-09-07,1730552874
2000-09-08,1710312490
2000-09-11,1659711529
2000-09-12,1624290856
2000-09-13,1679951913
2000-09-14,1654651432
2000-09-15,1598990375
2000-09-18,1558509606
2000-09-19,1523088933
2000-09-20,1507908645
2000-09-21,1482608164
2000-09-22,1477548068
2000-09-25,1452247587
2000-09-26,1416826915
2000-09-27,1421887011
2000-09-28,1432007203
2000-09-29,1467427876
2000-10-02,1455000000
2000-10-03,1445000000
2000-10-04,1440000000
2000-10-05,1425000000
2000-10-06,1420000000
2000-10-09,1460000000
2000-10-10,1480000000
2000-10-11,1480000000
2000-10-12,1475000000
2000-10-13,1490000000
2000-10-16,1495000000
2000-10-17,1500000000
2000-10-18,1495000000
2000-10-19,1540000000
2000-10-20,1515000000
2000-10-23,1515000000
2000-10-24,1550000000
2000-10-25,1520000000
2000-10-26,1550000000
2000-10-27,1530000000
2000-10-30,1600000000
2000-10-31,1620000000
2000-11-01,1605000000
2000-11-02,1610000000
2000-11-03,1610000000
2000-11-06,1590000000
2000-11-07,1570000000
2000-11-08,1560000000
2000-11-09,1600000000
2000-11-10,1550000000
2000-11-13,1555000000
2000-11-14,1560000000
2000-11-15,1545000000
2000-11-16,1490000000
2000-11-17,1465000000
2000-11-20,1525000000
2000-11-21,1615000000
2000-11-22,1585000000
2000-11-24,1585000000
2000-11-27,1630000000
2000-11-28,1640000000
2000-11-29,1595000000
2000-11-30,1590000000
2000-12-01,1605000000
2000-12-04,1665000000
2000-12-05,1640000000
2000-12-06,1595000000
2000-12-07,1505000000
2000-12-08,1500000000
2000-12-11,1485000000
2000-12-12,1475000000
2000-12-13,1480000000
2000-12-14,1410000000
2000-12-15,1305000000
2000-12-18,1270000000
2000-12-19,1245000000
2000-12-20,1040000000
2000-12-21,1110000000
2000-12-22,1175000000
2000-12-26,1195000000
2000-12-27,1180000000
2000-12-28,1220000000
2000-12-29,1270000000
2001-01-02,1219556250
2001-01-03,1204500000
2001-01-04,1194462500
2001-01-05,1159331250
2001-01-08,1119181250
2001-01-09,1109143750
2001-01-10,1104125000
2001-01-11,1094087500
2001-01-12,1058956250
2001-01-16,1159331250
2001-01-17,1174387500
2001-01-18,1164350000
2001-01-19,1179406250
2001-01-22,1179406250
2001-01-23,1249668750
2001-01-24,1274762500
2001-01-25,1269743750
2001-01-26,1279781250
2001-01-29,1304875000
2001-01-30,1314511080
2001-01-31,1353055000
2001-02-01,1351448999
2001-02-02,1364296999
2001-02-05,1380357080
2001-02-06,1356266919
2001-02-07,1366706000
2001-02-08,1373933080
2001-02-09,1381160080
2001-02-12,1407659080
2001-02-13,1410871000
2001-02-14,1407659080
2001-02-15,1451021000
2001-02-16,1422112919
2001-02-20,1436566919
2001-02-21,1394008080
2001-02-22,1393205000
2001-02-23,1401235080
2001-02-26,1431748999
2001-02-27,1438173000
2001-02-28,1422915919
2001-03-01,1397220000
2001-03-02,1419704000
2001-03-05,1399649922
2001-03-06,1398100077
2001-03-07,1390350077
2001-03-08,1422900077
2001-03-09,1442275077
2001-03-12,1395000000
2001-03-13,1398874922
2001-03-14,1358575077
2001-03-15,1362449999
2001-03-16,1335325000
2001-03-19,1468625077
2001-03-20,1395775000
2001-03-21,1343074999
2001-03-22,1308199922
2001-03-23,1316724999
2001-03-26,1334549922
2001-03-27,1337650000
2001-03-28,1360124922
2001-03-29,1343850000
2001-03-30,1349275000
2001-04-02,1363225000
2001-04-03,1304324999
2001-04-04,1319825077
2001-04-05,1395000000
2001-04-06,1345400077
2001-04-09,1391899922
2001-04-10,1430649922
2001-04-11,1417475077
2001-04-12,1424449922
2001-04-16,1411274922
2001-04-17,1423675077
2001-04-18,1497300000
2001-04-19,1376400000
2001-04-20,1369425000
2001-04-23,1357800000
2001-04-24,1391125077
2001-04-25,1394224999
2001-04-26,1401199999
2001-04-27,1404300077
2001-04-30,1413599999
2001-05-01,1398874922
2001-05-02,1399649922
2001-05-03,1387250000
2001-05-04,1381824999
2001-05-07,1405074922
2001-05-08,1384150077
2001-05-09,1356250000
2001-05-10,1409725077
2001-05-11,1412825000
2001-05-14,1456999922
2001-05-15,1468625077
2001-05-16,1519000000
2001-05-17,1539150077
2001-05-18,1576350000
2001-05-21,1596500000
2001-05-22,1561625000
2001-05-23,1576350000
2001-05-24,1554649922
2001-05-25,1540699922
2001-05-29,1588750000
2001-05-30,1536824999
2001-05-31,1599599922
2001-06-01,1608125000
2001-06-04,1572475077
2001-06-05,1619750000
2001-06-06,1632925000
2001-06-07,1611999922
2001-06-08,1593399922
2001-06-11,1563175000
2001-06-12,1547674922
2001-06-13,1556199999
2001-06-14,1520550077
2001-06-15,1468625077
2001-06-18,1468625077
2001-06-19,1478699999
2001-06-20,1436850077
2001-06-21,1441500000
2001-06-22,1391899922
2001-06-25,1377950077
2001-06-26,1381824999
2001-06-27,1387250000
2001-06-28,1388800000
2001-06-29,1401975000
2001-07-02,1434400000
2001-07-03,1422400080
2001-07-05,1406399999
2001-07-06,1382400080
2001-07-09,1368000000
2001-07-10,1380000000
2001-07-11,1361600000
2001-07-12,1391199920
2001-07-13,1413600000
2001-07-16,1403999920
2001-07-17,1478400000
2001-07-18,1520000000
2001-07-19,1526399999
2001-07-20,1527200000
2001-07-23,1452000000
2001-07-24,1433600000
2001-07-25,1443999920
2001-07-26,1452800000
2001-07-27,1500800000
2001-07-30,1510399920
2001-07-31,1524799920
2001-08-01,1532000000
2001-08-02,1561600000
2001-08-03,1549600079
2001-08-06,1531199920
2001-08-07,1540800000
2001-08-08,1531199920
2001-08-09,1516000080
2001-08-10,1530399920
2001-08-13,1519199999
2001-08-14,1520000000
2001-08-15,1545600000
2001-08-16,1583999920
2001-08-17,1556000080
2001-08-20,1556000080
2001-08-21,1534400000
2001-08-22,1540800000
2001-08-23,1502400080
2001-08-24,1519199999
2001-08-27,1500800000
2001-08-28,1488000000
2001-08-29,1480000000
2001-08-30,1466399999
2001-08-31,1480000000
2001-09-04,1449600079
2001-09-05,1482400080
2001-09-06,1445600000
2001-09-07,1436000080
2001-09-10,1423999920
2001-09-17,1319199999
2001-09-18,1285600000
2001-09-19,1236800000
2001-09-20,1160000000
2001-09-21,1056000000
2001-09-24,1103200000
2001-09-25,1104000000
2001-09-26,1064800000
2001-09-27,1032000000
2001-09-28,1066400000
2001-10-01,1021199996
2001-10-02,1009307139
2001-10-03,1017235710
2001-10-04,1029128567
2001-10-05,1040228567
2001-10-08,1024371424
2001-10-09,1032299996
2001-10-10,1098107138
2001-10-11,1105242853
2001-10-12,1138542853
2001-10-15,1130614281
2001-10-16,1198799995
2001-10-17,1166292852
2001-10-18,1159949995
2001-10-19,1138542853
2001-10-22,1224171424
2001-10-23,1228135709
2001-10-24,1235271424
2001-10-25,1243992852
2001-10-26,1255092852
2001-10-29,1217035709
2001-10-30,1176599995
2001-10-31,1173428567
2001-11-01,1190078567
2001-11-02,1220999995
2001-11-05,1259849995
2001-11-06,1254299995
2001-11-07,1235271424
2001-11-08,1220999995
2001-11-09,1228135709
2001-11-12,1206728567
2001-11-13,1251921424
2001-11-14,1279671344
2001-11-15,1274914281
2001-11-16,1283635788
2001-11-19,1278085788
2001-11-20,1286014201
2001-11-21,1274121423
2001-11-23,1306628566
2001-11-26,1268571424
2001-11-27,1291564360
2001-11-28,1259849995
2001-11-29,1214657138
2001-11-30,1224171424
2001-12-03,1206728567
2001-12-04,1214657138
2001-12-05,1222585709
2001-12-06,1229721424
2001-12-07,1209107138
2001-12-10,1214657138
2001-12-11,1201178567
2001-12-12,1197214281
2001-12-13,1157571424
2001-12-14,1164707138
2001-12-17,1157571424
2001-12-18,1222585709
2001-12-19,1238442852
2001-12-20,1270950074
2001-12-21,1249542852
2001-12-24,1287599995
2001-12-26,1306628566
2001-12-27,1298699916
2001-12-28,1295528566
2001-12-31,1328035709
2002-01-02,1296321423
2002-01-03,1292357058
2002-01-04,1324071503
2002-01-07,1316935788
2002-01-08,1295528566
2002-01-09,1269364281
2002-01-10,1255885709
2002-01-11,1245578566
2002-01-14,1186114281
2002-01-15,1208314281
2002-01-16,1176599995
2002-01-17,1200385709
2002-01-18,1167085710
2002-01-22,1189285710
2002-01-23,1230514281
2002-01-24,1233685709
2002-01-25,1261435709
2002-01-28,1294735709
2002-01-29,1252714281
2002-01-30,1254299995
2002-01-31,1279671344
2002-02-01,1267778566
2002-02-04,1213071424
2002-02-05,1212278567
2002-02-06,1217035709
2002-02-07,1186907138
2002-02-08,1213071424
2002-02-11,1235271424
2002-02-12,1240028566
2002-02-13,1259849995
2002-02-14,1228928567
2002-02-15,1252714281
2002-02-19,1232099995
2002-02-20,1258264281
2002-02-21,1244785709
2002-02-22,1252714281
2002-02-25,1248749995
2002-02-26,1237649995
2002-02-27,1236857138
2002-02-28,1237649995
2002-03-01,1248749995
2002-03-04,1284428646
2002-03-05,1273328487
2002-03-06,1306628566
2002-03-07,1320899995
2002-03-08,1315349995
2002-03-11,1328035709
2002-03-12,1343892931
2002-03-13,1325657058
2002-03-14,1316142852
2002-03-15,1300285709
2002-03-18,1295528566
2002-03-19,1305835630
2002-03-20,1299492773
2002-03-21,1289978566
2002-03-22,1286014201
2002-03-25,1270157138
2002-03-26,1293942852
2002-03-27,1301871423
2002-03-28,1311385788
2002-04-01,1360833327
2002-04-02,1323333328
2002-04-03,1303333328
2002-04-04,1329166661
2002-04-05,1344999911
2002-04-08,1348333327
2002-04-09,1356666744
2002-04-10,1404166661
2002-04-11,1431666660
2002-04-12,1446666744
2002-04-15,1420833244
2002-04-16,1428333244
2002-04-17,1399999911
2002-04-18,1417499994
2002-04-19,1420000077
2002-04-22,1400833244
2002-04-23,1414999994
2002-04-24,1389166661
2002-04-25,1364999911
2002-04-26,1358333244
2002-04-29,1374999994
2002-04-30,1406666577
2002-05-01,1379166577
2002-05-02,1419166744
2002-05-03,1416666661
2002-05-06,1377500077
2002-05-07,1394999994
2002-05-08,1415833327
2002-05-09,1406666577
2002-05-10,1407499911
2002-05-13,1416666661
2002-05-14,1429999994
2002-05-15,1451666660
2002-05-16,1469999910
2002-05-17,1482500077
2002-05-20,1465833327
2002-05-21,1479166660
2002-05-22,1501666660
2002-05-23,1509166743
2002-05-24,1491666660
2002-05-28,1432500077
2002-05-29,1420833244
2002-05-30,1439166660
2002-05-31,1463333244
2002-06-03,1401666661
2002-06-04,1414999994
2002-06-05,1423333327
2002-06-06,1364999911
2002-06-07,1395833327
2002-06-10,1411666744
2002-06-11,1403333327
2002-06-12,1399999911
2002-06-13,1379999911
2002-06-14,1392499911
2002-06-17,1375833327
2002-06-18,1350833244
2002-06-19,1363333411
2002-06-20,1350833244
2002-06-21,1339999994
2002-06-24,1364166744
2002-06-25,1323333328
2002-06-26,1294999994
2002-06-27,1299166661
2002-06-28,1316666661
2002-07-01,1279166661
2002-07-02,1245833328
2002-07-03,1214166661
2002-07-05,1266666661
2002-07-08,1240833328
2002-07-09,1226666661
2002-07-10,1178333328
2002-07-11,1165833328
2002-07-12,1135833328
2002-07-15,1131666662
2002-07-16,1106666662
2002-07-17,1055833329
2002-07-18,1019999995
2002-07-19,914999996
2002-07-22,875833329
2002-07-23,804999996
2002-07-24,789999996
2002-07-25,774166663
2002-07-26,819166663
2002-07-29,853333329
2002-07-30,809166663
2002-07-31,797499996
2002-08-01,796666663
2002-08-02,792499996
2002-08-05,728333330
2002-08-06,754166663
2002-08-07,755833330
2002-08-08,770833330
2002-08-09,787499996
2002-08-12,793333330
2002-08-13,759999996
2002-08-14,736666663
2002-08-15,767499996
2002-08-16,762499996
2002-08-19,793333330
2002-08-20,787499996
2002-08-21,815833330
2002-08-22,794166663
2002-08-23,741666663
2002-08-26,749999997
2002-08-27,749166663
2002-08-28,741666663
2002-08-29,699999997
2002-08-30,724166663
2002-09-03,705833330
2002-09-04,682499997
2002-09-05,646666664
2002-09-06,649999997
2002-09-09,645833330
2002-09-10,655833330
2002-09-11,691666663
2002-09-12,666666664
2002-09-13,658333330
2002-09-16,632499997
2002-09-17,633333330
2002-09-18,591666664
2002-09-19,583333331
2002-09-20,583333331
2002-09-23,549166664
2002-09-24,516666664
2002-09-25,555833331
2002-09-26,591666664
2002-09-27,580833331
2002-09-30,527913721
2002-10-01,573686587
2002-10-02,507315931
2002-10-03,527150840
2002-10-04,521810672
2002-10-07,515707623
2002-10-08,508841693
2002-10-09,470697638
2002-10-10,480615093
2002-10-11,493584071
2002-10-14,473749163
2002-10-15,534016770
2002-10-16,514944742
2002-10-17,507315931
2002-10-18,564532014
2002-10-21,564532014
2002-10-22,569109300
2002-10-23,568346419
2002-10-24,570635062
2002-10-25,556140321
2002-10-28,539356937
2002-10-29,529439483
2002-10-30,541645581
2002-10-31,522573553
2002-11-01,514944742
2002-11-04,499687120
2002-11-05,495872715
2002-11-06,513418980
2002-11-07,502738644
2002-11-08,480615093
2002-11-11,479089330
2002-11-12,476800687
2002-11-13,473749163
2002-11-14,476037806
2002-11-15,488243904
2002-11-18,492058309
2002-11-19,485192379
2002-11-20,485192379
2002-11-21,511130337
2002-11-22,504264407
2002-11-25,512656099
2002-11-26,500450001
2002-11-27,511130337
2002-11-29,545459986
2002-12-02,534016770
2002-12-03,511893218
2002-12-04,523336434
2002-12-05,506553050
2002-12-06,482903736
2002-12-09,431027821
2002-12-10,442471038
2002-12-11,415770199
2002-12-12,404326983
2002-12-13,406615626
2002-12-16,442471038
2002-12-17,439419513
2002-12-18,443996800
2002-12-19,461543065
2002-12-20,437893751
2002-12-23,431790702
2002-12-24,434079345
2002-12-26,449336967
2002-12-27,444759681
2002-12-30,470697638
2002-12-31,496567644
2003-01-02,497364703
2003-01-03,502944115
2003-01-06,495770586
2003-01-07,484611762
2003-01-08,463888233
2003-01-09,471061762
2003-01-10,482220586
2003-01-13,486205880
2003-01-14,522073527
2003-01-15,535623527
2003-01-16,531638232
2003-01-17,508523527
2003-01-21,483017644
2003-01-22,486205880
2003-01-23,466279409
2003-01-24,446352939
2003-01-27,420847056
2003-01-28,444758821
2003-01-29,439976468
2003-01-30,411282351
2003-01-31,364255880
2003-02-03,332373527
2003-02-04,331576469
2003-02-05,329982351
2003-02-06,331576469
2003-02-07,329982351
2003-02-10,315635292
2003-02-11,309258822
2003-02-12,266217645
2003-02-13,262232351
2003-02-14,249479410
2003-02-18,253464704
2003-02-19,243102940
2003-02-20,223176469
2003-02-21,239117646
2003-02-24,227161763
2003-02-25,231147057
2003-02-26,228755881
2003-02-27,230349998
2003-02-28,238320587
2003-03-03,220785293
2003-03-04,219988234
2003-03-05,223973528
2003-03-06,219191175
2003-03-07,213611763
2003-03-10,201655881
2003-03-11,195279410
2003-03-12,200061763
2003-03-13,208032352
2003-03-14,217597057
2003-03-17,231944116
2003-03-18,251073528
2003-03-19,251870587
2003-03-20,251073528
2003-03-21,265420587
2003-03-24,237523528
2003-03-25,247885293
2003-03-26,239117646
2003-03-27,239117646
2003-03-28,244697057
2003-03-31,235625000
2003-04-01,246187499
2003-04-02,261625000
2003-04-03,258375000
2003-04-04,253500000
2003-04-07,253500000
2003-04-08,255937500
2003-04-09,243750000
2003-04-10,257562500
2003-04-11,256750000
2003-04-14,266499999
2003-04-15,280312500
2003-04-16,265687500
2003-04-17,279500000
2003-04-21,300625000
2003-04-22,294937500
2003-04-23,322562500
2003-04-24,312812500
2003-04-25,306312500
2003-04-28,337187500
2003-04-29,325000000
2003-04-30,337187500
2003-05-01,349375000
2003-05-02,364000000
2003-05-05,388375000
2003-05-06,381875000
2003-05-07,373750000
2003-05-08,373750000
2003-05-09,393250000
2003-05-12,390000000
2003-05-13,383500000
2003-05-14,385937500
2003-05-15,434687500
2003-05-16,477750000
2003-05-19,475312500
2003-05-20,475312500
2003-05-21,472062499
2003-05-22,447687500
2003-05-23,495625000
2003-05-27,483437500
2003-05-28,499687500
2003-05-29,510250000
2003-05-30,534625000
2003-06-02,568750000
2003-06-03,541125000
2003-06-04,561437500
2003-06-05,585000000
2003-06-06,576062500
2003-06-09,553312500
2003-06-10,573625000
2003-06-11,591500000
2003-06-12,589875000
2003-06-13,578500000
2003-06-16,563062500
2003-06-17,565500000
2003-06-18,560625000
2003-06-19,542750000
2003-06-20,537062500
2003-06-23,511875000
2003-06-24,516750000
2003-06-25,518375000
2003-06-26,537875000
2003-06-27,522437500
2003-06-30,528000000
2003-07-01,529600000
2003-07-02,548000000
2003-07-03,524000000
2003-07-07,539200000
2003-07-08,533600000
2003-07-09,540000000
2003-07-10,504000000
2003-07-11,532800000
2003-07-14,548000000
2003-07-15,564800000
2003-07-16,568800000
2003-07-17,561600000
2003-07-18,601600000
2003-07-21,584000000
2003-07-22,616000000
2003-07-23,596800000
2003-07-24,619200000
2003-07-25,616000000
2003-07-28,651200000
2003-07-29,621600000
2003-07-30,604000000
2003-07-31,604000000
2003-08-01,600800000
2003-08-04,608000000
2003-08-05,577600000
2003-08-06,541600000
2003-08-07,565600000
2003-08-08,572000000
2003-08-11,586400000
2003-08-12,588000000
2003-08-13,589600000
2003-08-14,603200000
2003-08-15,585600000
2003-08-18,604800000
2003-08-19,629600000
2003-08-20,628800000
2003-08-21,644800000
2003-08-22,609600000
2003-08-25,609600000
2003-08-26,608000000
2003-08-27,600000000
2003-08-28,593600000
2003-08-29,596000000
2003-09-02,590400000
2003-09-03,584000000
2003-09-04,599200000
2003-09-05,576000000
2003-09-08,584000000
2003-09-09,560000000
2003-09-10,535200000
2003-09-11,544000000
2003-09-12,528000000
2003-09-15,532800000
2003-09-16,548000000
2003-09-17,556800000
2003-09-18,560800000
2003-09-19,568800000
2003-09-22,560000000
2003-09-23,570400000
2003-09-24,544000000
2003-09-25,521599999
2003-09-26,508000000
2003-09-29,547200000
2003-09-30,524000000
2003-10-01,552000000
2003-10-02,552000000
2003-10-03,568000000
2003-10-06,568000000
2003-10-07,587200000
2003-10-08,579200000
2003-10-09,598400000
2003-10-10,586400000
2003-10-13,604000000
2003-10-14,618400000
2003-10-15,608000000
2003-10-16,622400000
2003-10-17,599200000
2003-10-20,608000000
2003-10-21,605600000
2003-10-22,573600000
2003-10-23,563200000
2003-10-24,544000000
2003-10-27,584000000
2003-10-28,593600000
2003-10-29,638400000
2003-10-30,618400000
2003-10-31,612000000
2003-11-03,614400000
2003-11-04,617600000
2003-11-05,606400000
2003-11-06,627200000
2003-11-07,636000000
2003-11-10,622400000
2003-11-11,621600000
2003-11-12,635200000
2003-11-13,643199999
2003-11-14,638400000
2003-11-17,630400000
2003-11-18,616000000
2003-11-19,608800000
2003-11-20,607200000
2003-11-21,610400000
2003-11-24,637600000
2003-11-25,646400000
2003-11-26,660000000
2003-11-28,656000000
2003-12-01,753600000
2003-12-02,744000000
2003-12-03,708800000
2003-12-04,712000000
2003-12-05,700000000
2003-12-08,747200000
2003-12-09,720000000
2003-12-10,720000000
2003-12-11,856800000
2003-12-12,864000000
2003-12-15,852000000
2003-12-16,835200000
2003-12-17,860000000
2003-12-18,932000000
2003-12-19,1004800000
2003-12-22,1060800000
2003-12-23,1036000000
2003-12-24,1040800000
2003-12-26,1045600000
2003-12-29,1112000000
2003-12-30,1073600000
2003-12-31,1057600000
2004-01-02,1084000000
2004-01-05,1110400000
2004-01-06,1082400000
2004-01-07,1021600000
2004-01-08,1042400000
2004-01-09,999200000
2004-01-12,996800000
2004-01-13,969599999
2004-01-14,952000000
2004-01-15,936000000
2004-01-16,941600000
2004-01-20,972800000
2004-01-21,900800000
2004-01-22,804800000
2004-01-23,800000000
2004-01-26,795200000
2004-01-27,806400000
2004-01-28,756800000
2004-01-29,744800000
2004-01-30,752000000
2004-02-02,732000000
2004-02-03,728000000
2004-02-04,697600000
2004-02-05,700800000
2004-02-06,760000000
2004-02-09,775200000
2004-02-10,813600000
2004-02-11,876000000
2004-02-12,852800000
2004-02-13,844000000
2004-02-17,1007200000
2004-02-18,1001600000
2004-02-19,1008800000
2004-02-20,979200000
2004-02-23,958400000
2004-02-24,962400000
2004-02-25,969599999
2004-02-26,988800000
2004-02-27,1016000000
2004-03-01,1057600000
2004-03-02,1044000000
2004-03-03,1024800000
2004-03-04,1037600000
2004-03-05,1020800000
2004-03-08,990400000
2004-03-09,955200000
2004-03-10,904800000
2004-03-11,888000000
2004-03-12,917600000
2004-03-15,824000000
2004-03-16,804000000
2004-03-17,919200000
2004-03-18,920800000
2004-03-19,930400000
2004-03-22,867200000
2004-03-23,880800000
2004-03-24,836800000
2004-03-25,880000000
2004-03-26,891200000
2004-03-29,945600000
2004-03-30,971200000
2004-03-31,975333338
2004-04-01,980975762
2004-04-02,1018860611
2004-04-05,1036593944
2004-04-06,1011606065
2004-04-07,995484853
2004-04-08,972109095
2004-04-12,1019666671
2004-04-13,923745459
2004-04-14,912460610
2004-04-15,901175761
2004-04-16,925357580
2004-04-19,933418186
2004-04-20,876993943
2004-04-21,860066670
2004-04-22,952763641
2004-04-23,914878792
2004-04-26,931000004
2004-04-27,931000004
2004-04-28,891503034
2004-04-29,852006064
2004-04-30,823793943
2004-05-03,862484852
2004-05-04,900369701
2004-05-05,894727277
2004-05-06,847975761
2004-05-07,773012124
2004-05-10,781878791
2004-05-11,814121216
2004-05-12,806866670
2004-05-13,806060610
2004-05-14,789939397
2004-05-17,773818185
2004-05-18,834272731
2004-05-19,817345458
2004-05-20,846363640
2004-05-21,862484852
2004-05-24,890696974
2004-05-25,940672731
2004-05-26,938254550
2004-05-27,962436368
2004-05-28,968078792
2004-06-01,966466671
2004-06-02,1018054550
2004-06-03,1003545459
2004-06-04,1039818186
2004-06-07,1117200005
2004-06-08,1127678793
2004-06-09,1098660611
2004-06-10,1117200005
2004-06-14,1088987884
2004-06-15,1188133339
2004-06-16,1190551520
2004-06-17,1166369702
2004-06-18,1217151521
2004-06-21,1190551520
2004-06-22,1209896975
2004-06-23,1269545460
2004-06-24,1260678794
2004-06-25,1259066672
2004-06-28,1405769703
2004-06-29,1467030310
2004-06-30,1552300000
2004-07-01,1530800000
2004-07-02,1504139999
2004-07-06,1501560000
2004-07-07,1524780000
2004-07-08,1517899999
2004-07-09,1530800000
2004-07-12,1499840000
2004-07-13,1572940000
2004-07-14,1559180000
2004-07-15,1552300000
2004-07-16,1526500000
2004-07-19,1580680000
2004-07-20,1646899999
2004-07-21,1541980000
2004-07-22,1542840000
2004-07-23,1567780000
2004-07-26,1530800000
2004-07-27,1581540000
2004-07-28,1616800000
2004-07-29,1693340000
2004-07-30,1724300000
2004-08-02,1688180000
2004-08-03,1627980000
2004-08-04,1612500000
2004-08-05,1548860000
2004-08-06,1429320000
2004-08-09,1466300000
2004-08-10,1541980000
2004-08-11,1523920000
2004-08-12,1449960000
2004-08-13,1455980000
2004-08-16,1500700000
2004-08-17,1510160000
2004-08-18,1548000000
2004-08-19,1583260000
2004-08-20,1597020000
2004-08-23,1543700000
2004-08-24,1548000000
2004-08-25,1566920000
2004-08-26,1544560000
2004-08-27,1612500000
2004-08-30,1589280000
2004-08-31,1617660000
2004-09-01,1595300000
2004-09-02,1637440000
2004-09-03,1649480000
2004-09-07,1668399999
2004-09-08,1677000000
2004-09-09,1746660000
2004-09-10,1709680000
2004-09-13,1676139999
2004-09-14,1652920000
2004-09-15,1681300000
2004-09-16,1681300000
2004-09-17,1689040000
2004-09-20,1653780000
2004-09-21,1701940000
2004-09-22,1690760000
2004-09-23,1656360000
2004-09-24,1640879999
2004-09-27,1517040000
2004-09-28,1526500000
2004-09-29,1517040000
2004-09-30,1739453125
2004-10-01,1663203125
2004-10-04,1700375000
2004-10-05,1689890625
2004-10-06,1735640625
2004-10-07,1693703125
2004-10-08,1708953125
2004-10-11,1620312500
2004-10-12,1619359374
2004-10-13,1476390625
2004-10-14,1473531250
