,CTLT
2017-02-16,3612360238
2017-02-17,3631103027
2017-02-21,3608611680
2017-02-22,3548634755
2017-02-23,3527392927
2017-02-24,3542387158
2017-02-27,3637350624
2017-02-28,3586120333
2017-03-01,3686081876
2017-03-02,3629853508
2017-03-03,3614859277
2017-03-06,3622356392
2017-03-07,3627354469
2017-03-08,3591118410
2017-03-09,3561129948
2017-03-10,3546135716
2017-03-13,3614859277
2017-03-14,3579872737
2017-03-15,3618607834
2017-03-16,3567377544
2017-03-17,3589868891
2017-03-20,3554882351
2017-03-21,3494905426
2017-03-22,3518646292
2017-03-23,3494905426
2017-03-24,3502402541
2017-03-27,3554882351
2017-03-28,3562379467
2017-03-29,3574874660
2017-03-30,3562379467
2017-03-31,3542832000
2017-04-03,3539079000
2017-04-04,3485286000
2017-04-05,3472776000
2017-04-06,3526569000
2017-04-07,3552840000
2017-04-10,3541581000
2017-04-11,3562848000
2017-04-12,3499047000
2017-04-13,3460266000
2017-04-17,3514059000
2017-04-18,3476529000
2017-04-19,3490290000
2017-04-20,3539079000
2017-04-21,3512808000
2017-04-24,3560346000
2017-04-25,3627900000
2017-04-26,3662928000
2017-04-27,3691701000
2017-04-28,3662928000
2017-05-01,3690450000
2017-05-02,3666681000
2017-05-03,3627900000
2017-05-04,3619143000
2017-05-05,3971925000
2017-05-08,3928140000
2017-05-09,3941901000
2017-05-10,3979431000
2017-05-11,4003200000
2017-05-12,4031972999
2017-05-15,4209615000
2017-05-16,4285925999
2017-05-17,4193352000
2017-05-18,4173336000
2017-05-19,4230882000
2017-05-22,4274667000
2017-05-23,4338468000
2017-05-24,4457313000
2017-05-25,4427289000
2017-05-26,4502349000
2017-05-30,4442301000
2017-05-31,4444803000
2017-06-01,4551138000
2017-06-02,4643712000
2017-06-05,4659975000
2017-06-06,4622445000
2017-06-07,4609935000
2017-06-08,4619943000
2017-06-09,4666230000
2017-06-12,4629951000
2017-06-13,4607433000
2017-06-14,4596174000
2017-06-15,4624947000
2017-06-16,4616190000
2017-06-19,4686246000
2017-06-20,4676238000
2017-06-21,4756302000
2017-06-22,4728780000
2017-06-23,4656222000
2017-06-26,4593672000
2017-06-27,4474827000
2017-06-28,4477329000
2017-06-29,4421034000
2017-06-30,4412534934
2017-07-03,4481677219
2017-07-05,4435163318
2017-07-06,4427620524
2017-07-07,4479162954
2017-07-10,4501791339
2017-07-11,4491734279
2017-07-12,4558362299
2017-07-13,4450248908
2017-07-14,4503048471
2017-07-17,4511848398
2017-07-18,4495505676
2017-07-19,4534476783
2017-07-20,4506819869
2017-07-21,4499277074
2017-07-24,4528191120
2017-07-25,4485448617
2017-07-26,4448991775
2017-07-27,4402477874
2017-07-28,4396192212
2017-07-31,4362249636
2017-08-01,4374820960
2017-08-02,4334592722
2017-08-03,4309450072
2017-08-04,4305678675
2017-08-07,4348421179
2017-08-08,4353449708
2017-08-09,4334592722
2017-08-10,4242822052
2017-08-11,4293107350
2017-08-14,4368535298
2017-08-15,4438934716
2017-08-16,4437677583
2017-08-17,4298135880
2017-08-18,4343392649
2017-08-21,4371049563
2017-08-22,4485448617
2017-08-23,4388649417
2017-08-24,4426363391
2017-08-25,4425106259
2017-08-28,4445220378
2017-08-29,5062472416
2017-08-30,4949330495
2017-08-31,5190699927
2017-09-01,5111500582
2017-09-05,5200756987
2017-09-06,5238470960
2017-09-07,5198242722
2017-09-08,5072529476
2017-09-11,5127843304
2017-09-12,5127843304
2017-09-13,5102700655
2017-09-14,5058701019
2017-09-15,4964416084
2017-09-18,5015958515
2017-09-19,4867616885
2017-09-20,4926702110
2017-09-21,5058701019
2017-09-22,5124071906
2017-09-25,5127843304
2017-09-26,4929216375
2017-09-27,5062472416
2017-09-28,4965673217
2017-09-29,5018472780
2017-10-02,5490878887
2017-10-03,5560030184
2017-10-04,5615883154
2017-10-05,5577318008
2017-10-06,5623862149
2017-10-09,5516145707
