,ONE
2021-05-14,343806320.0
2021-05-17,357029640.0
2021-05-18,366947130.0
2021-05-19,383476280.0
2021-05-20,365294215.0
2021-05-21,338847575.0
2021-05-24,297524700.0
2021-05-25,271078060.0
2021-05-26,261160570.0
2021-05-27,249590165.0
2021-05-28,239672675.0
2021-06-01,261160570.0
2021-06-02,274383890.0
2021-06-03,264466400.0
2021-06-04,272730975.0
2021-06-07,256201825.0
2021-06-08,247937250.0
2021-06-09,241325590.0
2021-06-10,244631420.0
2021-06-11,238019760.0
2021-06-14,211573120.0
2021-06-15,214878950.0
2021-06-16,213226035.0
2021-06-17,206614375.0
2021-06-18,206614375.0
2021-06-21,203308545.0
2021-06-22,200002715.0
2021-06-23,208267290.0
2021-06-24,216531865.0
2021-06-25,206614375.0
2021-06-28,200002715.0
2021-06-29,206614375.0
2021-06-30,203308545.0
2021-07-01,200002715.0
2021-07-02,201655630.0
2021-07-06,188432310.0
2021-07-07,180167735.0
2021-07-08,166944415.0
2021-07-09,168597330.0
2021-07-12,166944415.0
2021-07-13,165241912.0
2021-07-14,165076621.0
2021-07-15,152068180.0
2021-07-16,155374010.0
2021-07-19,145473049.0
2021-07-20,153836799.0
2021-07-21,161985670.0
2021-07-22,173556075.0
2021-07-23,108927098.0
2021-07-26,96695527.0
2021-07-27,88430952.0
2021-07-28,90910325.0
2021-07-29,83687086.0
2021-07-30,85439176.0
2021-08-02,87604495.0
2021-08-03,85009418.0
2021-08-04,147076376.0
2021-08-05,116530507.0
2021-08-06,130563755.0
2021-08-09,126712463.0
2021-08-10,115869341.0
2021-08-11,112034578.0
2021-08-12,108530398.0
2021-08-13,100513761.0
2021-08-16,95274020.0
2021-08-17,93984746.0
2021-08-18,86992916.0
2021-08-19,89604522.0
2021-08-20,83736673.0
2021-08-23,84364781.0
2021-08-24,93571518.0
2021-08-25,89769813.0
2021-08-26,87273912.0
2021-08-27,84860656.0
2021-08-30,84695364.0
2021-08-31,88015593.0
2021-09-01,91734562.0
2021-09-02,87404030.0
2021-09-03,82974325.0
2021-09-07,77073561.0
2021-09-08,74842180.0
2021-09-09,72395925.0
2021-09-10,73238891.0
2021-09-13,70247187.0
2021-09-14,67767875.0
2021-09-15,67685231.0
2021-09-16,67701760.0
2021-09-17,62809250.0
2021-09-20,66098471.0
2021-09-21,61949754.0
2021-09-22,62544790.0
2021-09-23,63255526.0
2021-09-24,61255547.0
2021-09-27,63916676.0
2021-09-28,66429046.0
2021-09-29,70495118.0
2021-09-30,80990875.0
2021-10-01,73552937.0
2021-10-04,71552958.0
2021-10-05,67767875.0
2021-10-06,66115000.0
2021-10-07,62809250.0
2021-10-08,63305112.0
2021-10-11,66148057.0
2021-10-12,66148057.0
2021-10-13,66148057.0
2021-10-14,66148057.0
2021-10-15,66148057.0
2021-10-18,66148057.0
2021-10-19,66148057.0
2021-10-20,66148057.0
2021-10-21,66148057.0
2021-10-22,66148057.0
2021-10-25,66148057.0
2021-10-26,66148057.0
2021-10-27,66148057.0
2021-10-28,66148057.0
2021-10-29,66148057.0
2021-11-01,66148057.0
2021-11-02,66148057.0
2021-11-03,66148057.0
2021-11-04,66148057.0
2021-11-05,66148057.0
2021-11-08,66148057.0
2021-11-09,66148057.0
2021-11-10,66148057.0
2021-11-11,66148057.0
2021-11-12,66148057.0
2021-11-15,66148057.0
2021-11-16,66148057.0
2021-11-17,66115000.0
2021-11-18,66148057.0
2021-11-19,66115000.0
2021-11-22,66115000.0
2021-11-23,66115000.0
2021-11-24,66115000.0
2021-11-26,66115000.0
2021-11-29,66115000.0
2021-11-30,66115000.0
2021-12-01,66115000.0
2021-12-02,66115000.0
2021-12-03,66148057.0
2021-12-06,66148057.0
2021-12-07,66148057.0
2021-12-08,66148057.0
2021-12-09,66148057.0
2021-12-10,66148057.0
2021-12-13,66115000.0
2021-12-14,66115000.0
2021-12-15,66115000.0
2021-12-16,66148057.0
2021-12-17,66148057.0
2021-12-20,66148057.0
2021-12-21,66148057.0
2021-12-22,66148057.0
2021-12-23,66148057.0
2021-12-27,66148057.0
2021-12-28,66148057.0
2021-12-29,66148057.0
2021-12-30,66148057.0
2021-12-31,66148057.0
2022-01-03,66148057.0
2022-01-04,66148057.0
2022-01-05,66148057.0
2022-01-06,45437533.0
2022-01-07,47949903.0
2022-01-10,32082303.0
2022-01-11,32644281.0
2022-01-12,33553362.0
2022-01-13,32826097.0
2022-01-14,30941819.0
2022-01-18,25545183.0
2022-01-19,26429471.0
2022-01-20,26280712.0
2022-01-21,25784850.0
2022-01-24,24925355.0
2022-01-25,25057585.0
2022-01-26,24859240.0
2022-01-27,25123700.0
2022-01-28,24793125.0
2022-01-31,25123700.0
2022-02-01,28826140.0
2022-02-02,28363335.0
2022-02-03,30016210.0
2022-02-04,30743475.0
2022-02-07,30677359.0
2022-02-08,31338510.0
2022-02-09,28958370.0
2022-02-10,26379885.0
2022-02-11,26379885.0
2022-02-14,24859240.0
2022-02-15,24925355.0
2022-02-16,24330320.0
2022-02-17,23536940.0
2022-02-18,24131975.0
2022-02-22,23470825.0
2022-02-23,19835161.0
2022-02-24,17388245.0
2022-02-25,18247740.0
2022-02-28,17520475.0
2022-03-01,49351262.0
2022-03-02,49627998.0
2022-03-03,47414109.0
2022-03-04,43355314.0
2022-03-07,38189574.0
2022-03-08,39481009.0
2022-03-09,43724295.0
2022-03-10,35606705.0
2022-03-11,27489114.0
2022-03-14,25644207.0
2022-03-15,27489114.0
2022-03-16,32839344.0
2022-03-17,29518512.0
2022-03-18,29334021.0
2022-03-21,28227077.0
2022-03-22,36529158.0
2022-03-23,32654853.0
2022-03-24,31145719.0
2022-03-25,29518512.0
2022-03-28,31916891.0
2022-03-29,31177083.0
2022-03-30,31178928.0
2022-03-31,29887493.0
2022-04-01,30625456.0
2022-04-04,31916891.0
2022-04-05,28965039.0
2022-04-06,28411567.0
2022-04-07,28042586.0
2022-04-08,28596058.0
2022-04-11,29518512.0
2022-04-12,28596058.0
2022-04-13,28175419.0
2022-04-14,29149530.0
2022-04-18,28703063.0
2022-04-19,28227077.0
2022-04-20,29703002.0
2022-04-21,27236362.0
2022-04-22,27673605.0
2022-04-25,28042586.0
2022-04-26,26566660.0
2022-04-27,26013188.0
2022-04-28,26013188.0
2022-04-29,24721753.0
2022-05-02,27304623.0
2022-05-03,24352772.0
2022-05-04,28411567.0
2022-05-05,26935642.0
2022-05-06,26195834.0
2022-05-09,26382170.0
2022-05-10,26011343.0
2022-05-11,21585411.0
2022-05-12,25275225.0
