,ENPH
2012-11-15,81638000
2012-11-16,81229810
2012-11-19,90618180
2012-11-20,105721210
2012-11-21,111435870
2012-11-23,105313020
2012-11-26,114701390
2012-11-27,110619490
2012-11-28,105313020
2012-11-29,106129400
2012-11-30,113885010
2012-12-03,121640620
2012-12-04,117558720
2012-12-05,114293200
2012-12-06,111027680
2012-12-07,108986730
2012-12-10,103680260
2012-12-11,118783290
2012-12-12,123681569
2012-12-13,120416050
2012-12-14,131437180
2012-12-17,136743650
2012-12-18,137968220
2012-12-19,129804420
2012-12-20,128579850
2012-12-21,123681569
2012-12-24,126130710
2012-12-26,123681569
2012-12-27,143274690
2012-12-28,146948400
2012-12-31,150193850
2013-01-02,155954710
2013-01-03,153485770
2013-01-04,160481100
2013-01-07,154308750
2013-01-08,152662790
2013-01-09,154308750
2013-01-10,153074280
2013-01-11,155543220
2013-01-14,155543220
2013-01-15,158012160
2013-01-16,158423650
2013-01-17,160892590
2013-01-18,155543220
2013-01-22,155543220
2013-01-23,153074280
2013-01-24,152662790
2013-01-25,151428320
2013-01-28,151016830
2013-01-29,155131730
2013-01-30,155954710
2013-01-31,155131730
2013-02-01,167887920
2013-02-04,160892590
2013-02-05,178175170
2013-02-06,169122390
2013-02-07,174471760
2013-02-08,174060270
2013-02-11,175706229
2013-02-12,184347520
2013-02-13,178175170
2013-02-14,209859900
2013-02-15,206979470
2013-02-19,214386290
2013-02-20,205333510
2013-02-21,215620760
2013-02-22,215620760
2013-02-25,199161160
2013-02-26,207802450
2013-02-27,190519870
2013-02-28,202864570
2013-03-01,195457750
2013-03-04,192165830
2013-03-05,200807120
2013-03-06,202453080
2013-03-07,195869240
2013-03-08,215620760
2013-03-11,213974800
2013-03-12,241956120
2013-03-13,226319500
2013-03-14,243602080
2013-03-15,241544630
2013-03-18,230434400
2013-03-19,238664200
2013-03-20,247716979
2013-03-21,248539960
2013-03-22,245248040
2013-03-25,265822540
2013-03-26,268291479
2013-03-27,264176580
2013-03-28,255123800
2013-04-01,243875620
2013-04-02,245540300
2013-04-03,236384560
2013-04-04,255944550
2013-04-05,253863700
2013-04-08,240546260
2013-04-09,255944550
2013-04-10,253863700
2013-04-11,248453490
2013-04-12,244707960
2013-04-15,218073080
2013-04-16,247204980
2013-04-17,231806690
2013-04-18,227644990
2013-04-19,230974350
2013-04-22,241794769
2013-04-23,248453490
2013-04-24,258025400
2013-04-25,278833900
2013-04-26,301723250
2013-04-29,295896870
2013-04-30,292983680
2013-05-01,289238150
2013-05-02,312127500
2013-05-03,322115580
2013-05-06,326693450
2013-05-07,317537710
2013-05-08,309630480
2013-05-09,328358130
2013-05-10,329606640
2013-05-13,370807470
2013-05-14,402020220
2013-05-15,391199800
2013-05-16,372055980
2013-05-17,376633850
2013-05-20,378714700
2013-05-21,374136830
2013-05-22,350831310
2013-05-23,342091740
2013-05-24,339178550
2013-05-28,348750460
2013-05-29,328774300
2013-05-30,324196430
2013-05-31,321283240
2013-06-03,308798140
2013-06-04,292983680
2013-06-05,288821980
2013-06-06,289654320
2013-06-07,290486660
2013-06-10,291319000
2013-06-11,282995600
2013-06-12,256776890
2013-06-13,277169220
2013-06-14,274672200
2013-06-17,278833900
2013-06-18,287573470
2013-06-19,276336880
2013-06-20,271759010
2013-06-21,299226230
2013-06-24,276753050
2013-06-25,283827940
2013-06-26,288821980
2013-06-27,315040690
2013-06-28,321699410
2013-07-01,320847360
2013-07-02,305807640
2013-07-03,310403110
2013-07-05,313327500
2013-07-08,334633770
2013-07-09,340482550
2013-07-10,333380460
2013-07-11,330456070
2013-07-12,318340740
2013-07-15,337558160
2013-07-16,342571400
2013-07-17,332127150
2013-07-18,327113910
2013-07-19,309149800
2013-07-22,295363390
2013-07-23,302465480
2013-07-24,267372800
2013-07-25,280323670
2013-07-26,275728200
2013-07-29,263195100
2013-07-30,263612869
2013-07-31,265283950
2013-08-01,261106250
2013-08-02,262359560
2013-08-05,275728200
2013-08-06,253168619
2013-08-07,250662000
2013-08-08,252750850
2013-08-09,253586390
2013-08-12,270297190
2013-08-13,271550500
2013-08-14,297034470
2013-08-15,286172450
2013-08-16,271550500
2013-08-19,271132730
2013-08-20,267790570
2013-08-21,265701720
2013-08-22,276145970
2013-08-23,291603460
2013-08-26,302047710
2013-08-27,274892660
2013-08-28,271968270
2013-08-29,269043880
2013-08-30,262777330
2013-09-03,276145970
2013-09-04,291603460
2013-09-05,297034470
2013-09-06,289932380
2013-09-09,310820880
2013-09-10,325442830
2013-09-11,334216000
2013-09-12,329202760
2013-09-13,336722620
2013-09-16,340064780
2013-09-17,337558160
2013-09-18,344660250
2013-09-19,346749100
2013-09-20,364713210
2013-09-23,355940040
2013-09-24,336304850
2013-09-25,333798230
2013-09-26,336304850
2013-09-27,331709380
2013-09-30,341299839
2013-10-01,349706240
2013-10-02,351387520
2013-10-03,350546880
2013-10-04,375345760
2013-10-07,363997120
2013-10-08,338777920
2013-10-09,320283840
2013-10-10,344242080
2013-10-11,365258080
2013-10-14,367780000
2013-10-15,360634560
2013-10-16,361054880
2013-10-17,363997120
2013-10-18,371562880
2013-10-21,381650560
2013-10-22,378288000
2013-10-23,367359680
2013-10-24,366729200
2013-10-25,332052800
2013-10-28,330371520
2013-10-29,331212160
2013-10-30,322385440
2013-10-31,317341600
2013-11-01,319863520
2013-11-04,333313760
2013-11-05,346764000
2013-11-06,336256000
2013-11-07,322805760
2013-11-08,329530880
2013-11-11,342981120
2013-11-12,345503040
2013-11-13,334154400
2013-11-14,329530880
2013-11-15,326588640
2013-11-18,322805760
2013-11-19,298847520
2013-11-20,285817600
2013-11-21,297166240
2013-11-22,298847520
2013-11-25,296325600
2013-11-26,300108480
2013-11-27,304311680
2013-11-29,304732000
2013-12-02,290441120
2013-12-03,277411200
2013-12-04,269425120
2013-12-05,263540639
2013-12-06,252192000
2013-12-09,240423040
2013-12-10,237480800
2013-12-11,217305440
2013-12-12,205536480
2013-12-13,239582400
2013-12-16,233697919
2013-12-17,242524639
2013-12-18,243785600
2013-12-19,251351360
2013-12-20,239582400
2013-12-23,235799520
2013-12-24,245046560
2013-12-26,242944960
2013-12-27,246727840
2013-12-30,268584480
2013-12-31,267579700
2014-01-02,286149900
2014-01-03,292058600
2014-01-06,297123200
2014-01-07,318225700
2014-01-08,305986250
2014-01-09,320335950
2014-01-10,328776950
2014-01-13,339750250
2014-01-14,332153350
2014-01-15,348613300
2014-01-16,349457400
2014-01-17,343126650
2014-01-21,346925100
2014-01-22,341016400
2014-01-23,330465150
2014-01-24,321180050
2014-01-27,309362650
2014-01-28,312739050
2014-01-29,308940600
2014-01-30,318225700
2014-01-31,312317000
2014-02-03,280663250
2014-02-04,284461700
2014-02-05,278553000
2014-02-06,278553000
2014-02-07,282351450
2014-02-10,296701150
2014-02-11,295435000
2014-02-12,289526300
2014-02-13,308096500
2014-02-14,308096500
2014-02-18,319913900
2014-02-19,340594350
2014-02-20,333841550
2014-02-21,311050850
2014-02-24,322024150
2014-02-25,332997450
2014-02-26,346503050
2014-02-27,348191250
2014-02-28,340594350
2014-03-03,338484100
2014-03-04,357687375
2014-03-05,364651200
2014-03-06,356210200
2014-03-07,359586600
2014-03-10,354522000
2014-03-11,353677900
2014-03-12,359164550
2014-03-13,353255849
2014-03-14,348613300
2014-03-17,348613300
2014-03-18,360008650
2014-03-19,359164550
2014-03-20,351989700
2014-03-21,349035350
2014-03-24,347347150
2014-03-25,349879449
2014-03-26,328354900
2014-03-27,303453950
2014-03-28,304720100
2014-03-31,313889280
2014-04-01,336919200
2014-04-02,358243200
2014-04-03,340757520
2014-04-04,327536640
2014-04-07,330095520
2014-04-08,328389600
2014-04-09,340331040
2014-04-10,314315760
2014-04-11,314315760
2014-04-14,307492080
2014-04-15,305359680
2014-04-16,308345040
2014-04-17,322845360
2014-04-21,326896920
2014-04-22,347581200
2014-04-23,338625120
2014-04-24,345875280
2014-04-25,326257200
2014-04-28,314315760
2014-04-29,312183360
2014-04-30,321992400
2014-05-01,317301120
2014-05-02,311330400
2014-05-05,310050960
2014-05-06,296403600
2014-05-07,332654400
2014-05-08,336919200
2014-05-09,342036960
2014-05-12,359949120
2014-05-13,356537280
2014-05-14,350140080
2014-05-15,345022320
2014-05-16,357816720
2014-05-19,351632759
2014-05-20,344595840
2014-05-21,364213919
2014-05-22,369758160
2014-05-23,373170000
2014-05-27,363360960
2014-05-28,359096160
2014-05-29,359522640
2014-05-30,360375599
2014-06-02,359522640
2014-06-03,357390240
2014-06-04,366346320
2014-06-05,378287759
2014-06-06,374449440
2014-06-09,374449440
2014-06-10,367199280
2014-06-11,359949120
2014-06-12,357816720
2014-06-13,359522640
2014-06-16,365493360
2014-06-17,369331680
2014-06-18,375302400
2014-06-19,369331680
2014-06-20,361228560
2014-06-23,361655040
2014-06-24,357390240
2014-06-25,362934480
2014-06-26,362508000
2014-06-27,362081520
2014-06-30,368744400
2014-07-01,388152000
2014-07-02,391170960
2014-07-03,403678080
2014-07-07,398934000
2014-07-08,395052480
2014-07-09,399365280
2014-07-10,395483760
2014-07-11,402815520
2014-07-14,417910320
2014-07-15,411441119
2014-07-16,405834480
2014-07-17,397640160
2014-07-18,418341599
2014-07-21,489934080
2014-07-22,499853520
2014-07-23,489071520
2014-07-24,500716080
2014-07-25,492953040
2014-07-28,455431680
2014-07-29,444218400
2014-07-30,452412720
2014-07-31,444218400
2014-08-01,423516960
2014-08-04,419204160
2014-08-05,418341599
2014-08-06,476995680
2014-08-07,495972000
2014-08-08,499853520
2014-08-11,505460160
2014-08-12,483896160
2014-08-13,498128400
2014-08-14,534355920
2014-08-15,545137920
2014-08-18,568858320
2014-08-19,579209040
2014-08-20,580934160
2014-08-21,582228000
2014-08-22,598185360
2014-08-25,593010000
2014-08-26,626218560
2014-08-27,624062160
2014-08-28,602929440
2014-08-29,607242240
2014-09-02,621474480
2014-09-03,629237520
2014-09-04,658995840
2014-09-05,648213840
2014-09-08,660289680
2014-09-09,666758880
2014-09-10,702555120
2014-09-11,725412960
2014-09-12,724119120
2014-09-15,690479280
2014-09-16,732313440
2014-09-17,749995920
2014-09-18,748270800
2014-09-19,726706800
2014-09-22,692635680
2014-09-23,671934240
2014-09-24,635706720
2014-09-25,602929440
2014-09-26,625787280
2014-09-29,656408160
2014-09-30,653743880
2014-10-01,629757280
2014-10-02,545586120
2014-10-03,545586120
2014-10-06,494996200
2014-10-07,508515920
2014-10-08,520291160
2014-10-09,489762760
2014-10-10,460106600
2014-10-13,442225680
2014-10-14,456181520
2014-10-15,494123960
2014-10-16,558669720
2014-10-17,524216240
2014-10-20,533374760
2014-10-21,601845600
2014-10-22,567828240
2014-10-23,593123200
2014-10-24,584400800
2014-10-27,573061680
2014-10-28,604026200
2014-10-29,607951280
2014-10-30,616237560
2014-10-31,655052240
2014-11-03,647202080
2014-11-04,680347200
2014-11-05,525524600
2014-11-06,497612920
2014-11-07,514621600
2014-11-10,489762760
2014-11-11,457489880
2014-11-12,463595560
2014-11-13,464031680
2014-11-14,482348720
2014-11-17,462287200
2014-11-18,483657080
2014-11-19,466648399
2014-11-20,483220960
2014-11-21,500447700
2014-11-24,504154720
2014-11-25,499139340
2014-11-26,498921280
2014-11-28,458362120
2014-12-01,457926000
2014-12-02,508079800
2014-12-03,532066399
2014-12-04,516802200
2014-12-05,560850320
2014-12-08,536427600
2014-12-09,558233600
2014-12-10,556053000
2014-12-11,547330600
2014-12-12,542969400
2014-12-15,539916560
2014-12-16,543405520
2014-12-17,586145280
2014-12-18,610349940
2014-12-19,614056960
2014-12-22,636735200
2014-12-23,628012800
2014-12-24,627140560
2014-12-26,646329840
2014-12-29,623651600
2014-12-30,614493080
2014-12-31,628045500
2015-01-02,624529500
2015-01-05,610026000
2015-01-06,568713000
2015-01-07,501030000
2015-01-08,515533500
2015-01-09,506743500
2015-01-12,479494500
2015-01-13,484768500
2015-01-14,475099500
2015-01-15,451366500
2015-01-16,473781000
2015-01-20,465870000
2015-01-21,458398500
2015-01-22,483889500
2015-01-23,520368000
2015-01-26,532234500
2015-01-27,533113500
2015-01-28,531355500
2015-01-29,570471000
2015-01-30,544540500
2015-02-02,578821500
2015-02-03,600357000
2015-02-04,584535000
2015-02-05,596841000
2015-02-06,609147000
2015-02-09,635956500
2015-02-10,635517000
2015-02-11,650020500
2015-02-12,649581000
2015-02-13,665842500
2015-02-17,611784000
2015-02-18,618156750
2015-02-19,596841000
2015-02-20,584535000
2015-02-23,593764500
2015-02-24,605191500
2015-02-25,609586500
2015-02-26,598159500
2015-02-27,605631000
2015-03-02,606949500
2015-03-03,587611500
2015-03-04,598159500
2015-03-05,629803500
2015-03-06,663645000
2015-03-09,623211000
2015-03-10,575745000
2015-03-11,549814500
2015-03-12,583216500
2015-03-13,582337500
2015-03-16,575305500
2015-03-17,582337500
2015-03-18,556846500
2015-03-19,565636500
2015-03-20,548496000
2015-03-23,553770000
2015-03-24,538387500
2015-03-25,521686499
2015-03-26,537508500
2015-03-27,575305500
2015-03-30,581019000
2015-03-31,584567610
2015-04-01,579249330
2015-04-02,592101840
2015-04-06,573931050
2015-04-07,588113130
2015-04-08,572158290
2015-04-09,585897180
2015-04-10,586340370
2015-04-13,591658650
2015-04-14,577033380
2015-04-15,604954350
2015-04-16,620022810
2015-04-17,604954350
2015-04-20,589885890
2015-04-21,591658650
2015-04-22,592988220
2015-04-23,616034100
2015-04-24,596976930
2015-04-27,576147000
2015-04-28,585453990
2015-04-29,569499150
2015-04-30,557089830
2015-05-01,565067250
2015-05-04,539805420
2015-05-05,536703090
2015-05-06,470667779
2015-05-07,483963480
2015-05-08,454712940
2015-05-11,468895020
2015-05-12,452053799
2015-05-13,435212580
2015-05-14,447178710
2015-05-15,467122259
2015-05-18,474656490
2015-05-19,459588029
2015-05-20,447178710
2015-05-21,443633190
2015-05-22,440974049
2015-05-26,433883009
2015-05-27,438758100
2015-05-28,435212580
2015-05-29,419700930
2015-06-01,411723509
2015-06-02,432996630
2015-06-03,438314910
2015-06-04,410393940
2015-06-05,404632470
2015-06-08,398427810
2015-06-09,392666340
2015-06-10,389564009
2015-06-11,400200570
2015-06-12,405518850
2015-06-15,397541430
2015-06-16,401973330
2015-06-17,401086950
2015-06-18,398871000
2015-06-19,402859710
2015-06-22,393995910
2015-06-23,393109529
2015-06-24,384688920
2015-06-25,376711500
2015-06-26,357211140
2015-06-29,347460960
2015-06-30,340425740
2015-07-01,340425740
2015-07-02,340873080
2015-07-06,333268300
2015-07-07,338636380
2015-07-08,277350800
2015-07-09,262588580
2015-07-10,267956660
2015-07-13,283166220
2015-07-14,298823120
2015-07-15,281824200
2015-07-16,283166220
2015-07-17,288534300
2015-07-20,275561440
2015-07-21,277798140
2015-07-22,263035920
2015-07-23,255878480
2015-07-24,257667840
2015-07-27,252299760
2015-07-28,251852420
2015-07-29,267061980
2015-07-30,267956660
2015-07-31,264377940
2015-08-03,244694980
2015-08-04,252299760
2015-08-05,312243320
2015-08-06,305980560
2015-08-07,279140160
2015-08-10,274666760
2015-08-11,253641780
2015-08-12,249168380
2015-08-13,243352960
2015-08-14,246037000
2015-08-17,250510399
2015-08-18,224117340
2015-08-19,222327980
2015-08-20,201750340
2015-08-21,197724280
2015-08-24,217407240
2015-08-25,194145560
2015-08-26,200408320
2015-08-27,207118420
2015-08-28,204881720
2015-08-31,205776399
2015-09-01,197724280
2015-09-02,197724280
2015-09-03,199513640
2015-09-04,200855660
2015-09-08,205776399
2015-09-09,198618960
2015-09-10,196829600
2015-09-11,200855660
2015-09-14,197724280
2015-09-15,200408320
2015-09-16,207118420
2015-09-17,207118420
2015-09-18,208460440
2015-09-21,196382260
2015-09-22,186540780
2015-09-23,180278020
2015-09-24,177593980
2015-09-25,174462600
2015-09-28,161937080
2015-09-29,158805700
2015-09-30,167394082
2015-10-01,165132000
2015-10-02,184133491
2015-10-05,209921228
2015-10-06,215802641
2015-10-07,228470302
2015-10-08,236161381
2015-10-09,233446883
2015-10-12,229827551
2015-10-13,220779222
2015-10-14,225755803
2015-10-15,235708965
2015-10-16,224398554
2015-10-19,225303387
2015-10-20,169656165
2015-10-21,180061743
2015-10-22,173275496
2015-10-23,175085162
2015-10-26,182323825
2015-10-27,158345754
2015-10-28,167394082
2015-10-29,167394082
2015-10-30,162869918
2015-11-02,157893337
2015-11-03,168298915
2015-11-04,105413030
2015-11-05,104055781
2015-11-06,99079200
2015-11-09,95007452
2015-11-10,86863956
2015-11-11,84601874
2015-11-12,83923249
2015-11-13,85054290
2015-11-16,95912285
2015-11-17,85506707
2015-11-18,85959123
2015-11-19,78041835
2015-11-20,77363211
2015-11-23,76458378
2015-11-24,78268044
2015-11-25,79172877
2015-11-27,80077709
2015-11-30,75553545
2015-12-01,85506707
2015-12-02,91388120
2015-12-03,96364701
2015-12-04,94102619
2015-12-07,102246115
2015-12-08,95233660
2015-12-09,100436449
2015-12-10,97269534
2015-12-11,95007452
2015-12-14,100888866
2015-12-15,109032362
2015-12-16,151107090
2015-12-17,142963595
2015-12-18,136177348
2015-12-21,162417501
2015-12-22,160155419
2015-12-23,166489249
2015-12-24,163774751
2015-12-28,162417501
2015-12-29,156536088
2015-12-30,158345754
2015-12-31,162193590
2016-01-04,161269410
2016-01-05,154800150
2016-01-06,146020440
2016-01-07,138627000
2016-01-08,138164910
2016-01-11,129385199
2016-01-12,125226390
2016-01-13,115522500
2016-01-14,108591150
2016-01-15,101197710
2016-01-19,101197710
2016-01-20,94266360
2016-01-21,113674140
2016-01-22,109053240
2016-01-25,106742790
2016-01-26,108129060
2016-01-27,104432339
2016-01-28,106742790
2016-01-29,112287870
2016-02-01,110439510
2016-02-02,102121890
2016-02-03,106742790
2016-02-04,106742790
2016-02-05,98425170
2016-02-08,96576810
2016-02-09,89645460
2016-02-10,87797100
2016-02-11,84562470
2016-02-12,90107550
2016-02-16,98425170
2016-02-17,103508160
2016-02-18,97038900
2016-02-19,98887260
2016-02-22,102121890
2016-02-23,108591150
2016-02-24,91493820
2016-02-25,90569640
2016-02-26,88721280
2016-02-29,107666970
2016-03-01,112749960
2016-03-02,120605490
2016-03-03,153875970
2016-03-04,140937450
2016-03-07,152489700
2016-03-08,134930280
2016-03-09,143709990
2016-03-10,135854460
2016-03-11,135854460
2016-03-14,130309380
2016-03-15,123378030
2016-03-16,118295040
2016-03-17,124764300
2016-03-18,121529670
2016-03-21,117370860
2016-03-22,113674140
2016-03-23,104432339
2016-03-24,102121890
2016-03-28,98425170
2016-03-29,98887260
2016-03-30,105818610
2016-03-31,108624600
2016-04-01,111421800
2016-04-04,119813399
2016-04-05,120745800
2016-04-06,120046500
2016-04-07,114219000
2016-04-08,107692200
2016-04-11,108158399
2016-04-12,111421800
2016-04-13,119347200
2016-04-14,126340200
2016-04-15,119813399
2016-04-18,122610600
2016-04-19,117948599
2016-04-20,118414800
2016-04-21,116083800
2016-04-22,119813399
2016-04-25,116550000
2016-04-26,123076800
2016-04-27,124941600
2016-04-28,120279600
2016-04-29,117016199
2016-05-02,119347200
2016-05-03,114685200
2016-05-04,97902000
2016-05-05,96969600
2016-05-06,89510400
2016-05-09,89976600
2016-05-10,90442800
2016-05-11,88578000
2016-05-12,83916000
2016-05-13,82517400
2016-05-16,84382200
2016-05-17,83449800
2016-05-18,86247000
2016-05-19,85780800
2016-05-20,86247000
2016-05-23,92307600
2016-05-24,90442800
2016-05-25,95570999
2016-05-26,93706199
2016-05-27,98368200
2016-05-31,97435800
2016-06-01,97435800
2016-06-02,97435800
2016-06-03,93706199
2016-06-06,106759800
2016-06-07,103962600
2016-06-08,103962600
2016-06-09,97902000
2016-06-10,94638599
2016-06-13,90442800
2016-06-14,93240000
2016-06-15,96503399
2016-06-16,93706199
2016-06-17,98834400
2016-06-20,99766800
2016-06-21,100233000
2016-06-22,99300600
2016-06-23,106293599
2016-06-24,96969600
2016-06-27,89044200
2016-06-28,90909000
2016-06-29,88111800
2016-06-30,94083220
2016-07-01,92664880
2016-07-05,89828200
2016-07-06,89355420
2016-07-07,89355420
2016-07-08,92664880
2016-07-11,97392680
2016-07-12,96919899
2016-07-13,92664880
2016-07-14,89828200
2016-07-15,88882640
2016-07-18,89355420
2016-07-19,86045960
2016-07-20,86991520
2016-07-21,87464300
2016-07-22,87464300
2016-07-25,83209280
2016-07-26,84154840
2016-07-27,85573180
2016-07-28,85100400
2016-07-29,85100400
2016-08-01,85573180
2016-08-02,84627620
2016-08-03,84627620
2016-08-04,85100400
2016-08-05,89355420
2016-08-08,91010150
2016-08-09,93610440
2016-08-10,86518740
2016-08-11,84154840
2016-08-12,84154840
2016-08-15,89355420
2016-08-16,86045960
2016-08-17,86518740
2016-08-18,89355420
2016-08-19,92192100
2016-08-22,89828200
2016-08-23,90773760
2016-08-24,88409860
2016-08-25,86991520
2016-08-26,85573180
2016-08-29,86991520
2016-08-30,86991520
2016-08-31,86045960
2016-09-01,86045960
2016-09-02,86045960
2016-09-06,87464300
2016-09-07,86045960
2016-09-08,85100400
2016-09-09,85100400
2016-09-12,85100400
2016-09-13,82736500
2016-09-14,80372600
2016-09-15,78954260
2016-09-16,68080320
2016-09-19,69971440
2016-09-20,66189199
2016-09-21,69971440
2016-09-22,78954260
2016-09-23,56733600
2016-09-26,56733600
2016-09-27,56733600
2016-09-28,56260820
2016-09-29,56733600
2016-09-30,73019580
2016-10-03,73638390
2016-10-04,74257200
2016-10-05,73638390
2016-10-06,74876010
2016-10-07,71781960
2016-10-10,65593860
2016-10-11,66212670
2016-10-12,67450290
2016-10-13,68069100
2016-10-14,70544340
2016-10-17,71163150
2016-10-18,69925530
2016-10-19,69306720
2016-10-20,71163150
2016-10-21,71781960
2016-10-24,70544340
2016-10-25,68687910
2016-10-26,65593860
2016-10-27,67450290
2016-10-28,66212670
2016-10-31,61881000
2016-11-01,62499810
2016-11-02,72400770
2016-11-03,74257200
2016-11-04,72400770
2016-11-07,71781960
2016-11-08,74257200
2016-11-09,68687910
2016-11-10,69306720
2016-11-11,70544340
2016-11-14,70544340
2016-11-15,64975050
2016-11-16,68687910
2016-11-17,69925530
2016-11-18,68069100
2016-11-21,66831480
2016-11-22,67450290
2016-11-23,70544340
2016-11-25,70544340
2016-11-28,69925530
2016-11-29,69306720
2016-11-30,69306720
2016-12-01,68687910
2016-12-02,70544340
2016-12-05,71163150
2016-12-06,84776970
2016-12-07,81682920
2016-12-08,82920540
2016-12-09,81682920
2016-12-12,77351250
2016-12-13,79207680
2016-12-14,74257200
2016-12-15,73019580
2016-12-16,76732440
2016-12-19,80445300
2016-12-20,78588870
2016-12-21,74876010
2016-12-22,76113630
2016-12-23,69925530
2016-12-27,65593860
2016-12-28,60649568
2016-12-29,60024570
2016-12-30,62499810
2017-01-03,80483550
2017-01-04,88148650
2017-01-05,85849120
2017-01-06,85082610
2017-01-09,85082610
2017-01-10,86615629
2017-01-11,110377440
2017-01-12,104245360
2017-01-13,118042540
2017-01-17,126474150
2017-01-18,144870390
2017-01-19,136438780
2017-01-20,141804350
2017-01-23,130306700
2017-01-24,127240660
2017-01-25,131073210
2017-01-26,125707639
2017-01-27,122641600
2017-01-30,114209990
2017-01-31,114209990
2017-02-01,115743010
2017-02-02,112676970
2017-02-03,109610930
2017-02-06,108844420
2017-02-07,111143950
2017-02-08,118042540
2017-02-09,119575560
2017-02-10,119575560
2017-02-13,115743010
2017-02-14,114976500
2017-02-15,122641600
2017-02-16,123408110
2017-02-17,125707639
2017-02-21,129540190
2017-02-22,123408110
2017-02-23,129540190
2017-02-24,142570860
2017-02-27,145636900
2017-02-28,137205290
2017-03-01,123408110
2017-03-02,117276030
2017-03-03,112676970
2017-03-06,103862105
2017-03-07,98113280
2017-03-08,93514220
2017-03-09,87382139
2017-03-10,101945830
2017-03-13,94280730
2017-03-14,98113280
2017-03-15,105011870
2017-03-16,105011870
2017-03-17,107311400
2017-03-20,102712340
2017-03-21,95813750
2017-03-22,95047240
2017-03-23,95047240
2017-03-24,95047240
2017-03-27,95047240
2017-03-28,95813750
2017-03-29,99646300
2017-03-30,103478850
2017-03-31,115674580
2017-04-03,115674580
2017-04-04,118207599
2017-04-05,108919860
2017-04-06,113985900
2017-04-07,114830240
2017-04-10,113985900
2017-04-11,113141560
2017-04-12,113141560
2017-04-13,110608540
2017-04-17,110608540
2017-04-18,106386840
2017-04-19,100476460
