,CMCSA
2001-01-02,37726965508
2001-01-03,39342620681
2001-01-04,38747379301
2001-01-05,38435586198
2001-01-08,38435586198
2001-01-09,39852827577
2001-01-10,39342620681
2001-01-11,40221310336
2001-01-12,41014965508
2001-01-16,42177103439
2001-01-17,41099999991
2001-01-18,41525172404
2001-01-19,41865310335
2001-01-22,41213379301
2001-01-23,40164620680
2001-01-24,39796137922
2001-01-25,39030827577
2001-01-26,39200896543
2001-01-29,40391379301
2001-01-30,39569379301
2001-01-31,39966206887
2001-02-01,39909517232
2001-02-02,38917448267
2001-02-05,40674827577
2001-02-06,40816551715
2001-02-07,41213379301
2001-02-08,41525172404
2001-02-09,40986620680
2001-02-12,41099999991
2001-02-13,40986620680
2001-02-14,39966206887
2001-02-15,39909517232
2001-02-16,39739448267
2001-02-20,40164620680
2001-02-21,39852827577
2001-02-22,39030827577
2001-02-23,39257586198
2001-02-26,40929931025
2001-02-27,40986620680
2001-02-28,40221310336
2001-03-01,40249655163
2001-03-02,40448068956
2001-03-05,41978689645
2001-03-06,42687310335
2001-03-07,42743999990
2001-03-08,42347172404
2001-03-09,42177103439
2001-03-12,40277999991
2001-03-13,39626068956
2001-03-14,38548965508
2001-03-15,39512689646
2001-03-16,39739448267
2001-03-19,40448068956
2001-03-20,39399310336
2001-03-21,38860758612
2001-03-22,37556896543
2001-03-23,35969586199
2001-03-26,37726965508
2001-03-27,38804068957
2001-03-28,38747379301
2001-03-29,38917448267
2001-03-30,38917448267
2001-04-02,38728449761
2001-04-03,37245475249
2001-04-04,36960287843
2001-04-05,38072518727
2001-04-06,38215112430
2001-04-09,37587700137
2001-04-10,37559181396
2001-04-11,38215112430
2001-04-12,38642893540
2001-04-16,38728449761
2001-04-17,39669568202
2001-04-18,39954755608
2001-04-19,40582167902
2001-04-20,40154386792
2001-04-23,39641049461
2001-04-24,39441418277
2001-04-25,39783643164
2001-04-26,41095505233
2001-04-27,40924392789
2001-04-30,41009949011
2001-05-01,41637361305
2001-05-02,41865511230
2001-05-03,41494767602
2001-05-04,42207736117
2001-05-07,42549961005
2001-05-08,41494767602
2001-05-09,40781799086
2001-05-10,39698086943
2001-05-11,39584011980
2001-05-14,40268461755
2001-05-15,40468092939
2001-05-16,41009949011
2001-05-17,40981430270
2001-05-18,41637361305
2001-05-21,41152542714
2001-05-22,40268461755
2001-05-23,39384380796
2001-05-24,38928080946
2001-05-25,38699931021
2001-05-29,38985118427
2001-05-30,39241787093
2001-05-31,38471781096
2001-06-01,38101037468
2001-06-04,38386224874
2001-06-05,39270305833
2001-06-06,38072518727
2001-06-07,37958443765
2001-06-08,38015481246
2001-06-11,38272149912
2001-06-12,38215112430
2001-06-13,38386224874
2001-06-14,38300668652
2001-06-15,38785487243
2001-06-18,37929925024
2001-06-19,38414743615
2001-06-20,39270305833
2001-06-21,40154386792
2001-06-22,39726605683
2001-06-25,39526974499
2001-06-26,39698086943
2001-06-27,39897718127
2001-06-28,39983274349
2001-06-29,40838836567
2001-07-02,40313928046
2001-07-03,40599235392
2001-07-05,39943028496
2001-07-06,39800374822
2001-07-09,37032893562
2001-07-10,36576401808
2001-07-11,36148440788
2001-07-12,35463703157
2001-07-13,35378110953
2001-07-16,35977256381
2001-07-17,35178395811
2001-07-18,35121334341
2001-07-19,34522188914
2001-07-20,34750434791
2001-07-23,33751859079
2001-07-24,32952998509
2001-07-25,33837451283
2001-07-26,34522188914
2001-07-27,34893088464
2001-07-30,34978680668
2001-07-31,35463703157
2001-08-01,35720479769
2001-08-02,35977256381
2001-08-03,35634887565
2001-08-06,36034317850
2001-08-07,36091379319
2001-08-08,35834602707
2001-08-09,35777541238
2001-08-10,35806071973
2001-08-13,35891664177
2001-08-14,35378110953
2001-08-15,35321049484
2001-08-16,34836026995
2001-08-17,34664842587
2001-08-20,35235457280
2001-08-21,35292518749
2001-08-22,35549295361
2001-08-23,35121334341
2001-08-24,36119910054
2001-08-27,35863133442
2001-08-28,34721904056
2001-08-29,35121334341
2001-08-30,34436596710
2001-08-31,34693373322
2001-09-04,34893088464
2001-09-05,34950149934
2001-09-06,34151289364
2001-09-07,33523613202
2001-09-10,32981529243
2001-09-17,32553568224
2001-09-18,32867406305
2001-09-19,32239730143
2001-09-20,32068545735
2001-09-21,31184092961
2001-09-24,31355277369
2001-09-25,33181244386
2001-09-26,32525037489
2001-09-27,33323898059
2001-09-28,33808920548
2001-10-01,33012043991
2001-10-02,33772560362
2001-10-03,34927418557
2001-10-04,35209091287
2001-10-05,35209091287
2001-10-08,34561244007
2001-10-09,34589411280
2001-10-10,34138734912
2001-10-11,34223236731
2001-10-12,34138734912
2001-10-15,34138734912
2001-10-16,34448574915
2001-10-17,33969731274
2001-10-18,33603556724
2001-10-19,33152880356
2001-10-22,34195069458
2001-10-23,34561244007
2001-10-24,33828894909
2001-10-25,33688058543
2001-10-26,34533076734
2001-10-29,33716225816
2001-10-30,33096545810
2001-10-31,33490887632
2001-11-01,33012043991
2001-11-02,34138734912
2001-11-05,33800727636
2001-11-06,34842916738
2001-11-07,35124589468
2001-11-08,34448574915
2001-11-09,34138734912
2001-11-12,34251404004
2001-11-13,34814749465
2001-11-14,35406262198
2001-11-15,35997774932
2001-11-16,35744269475
2001-11-19,36335782208
2001-11-20,36420284027
2001-11-21,36420284027
2001-11-23,36251280389
2001-11-26,36561120392
2001-11-27,36645622212
2001-11-28,36110444024
2001-11-29,36279447662
2001-11-30,35547098563
2001-12-03,35913273113
2001-12-04,36476618573
2001-12-05,37490640402
2001-12-06,37603309495
2001-12-07,37518807675
2001-12-10,37603309495
2001-12-11,37434305856
2001-12-12,37434305856
2001-12-13,37180800399
2001-12-14,36363949481
2001-12-17,36673789485
2001-12-18,36645622212
2001-12-19,35772436748
2001-12-20,33462720359
2001-12-21,32814873079
2001-12-24,33068378537
2001-12-26,33434553086
2001-12-27,33659891270
2001-12-28,34082400366
2001-12-31,33800727636
2002-01-02,35511000003
2002-01-03,35214333337
2002-01-04,34502333337
2002-01-07,34977000003
2002-01-08,36341666670
2002-01-09,36163666670
2002-01-10,36579000004
2002-01-11,36727333337
2002-01-14,36252666670
2002-01-15,36252666670
2002-01-16,35985666670
2002-01-17,35807666670
2002-01-18,36045000004
2002-01-22,35214333337
2002-01-23,35214333337
2002-01-24,35600000004
2002-01-25,35451666670
2002-01-28,35837333337
2002-01-29,35481333337
2002-01-30,35303333337
2002-01-31,35392333337
2002-02-01,34858333337
2002-02-04,33612333337
2002-02-05,34472666670
2002-02-06,31980666670
2002-02-07,32959666670
2002-02-08,33464000003
2002-02-11,33167333337
2002-02-12,32692666670
2002-02-13,33731000003
2002-02-14,32514666670
2002-02-15,31417000003
2002-02-19,29755666670
2002-02-20,30200666670
2002-02-21,30764333336
2002-02-22,32188333336
2002-02-25,34087000003
2002-02-26,32900333337
2002-02-27,33612333337
2002-02-28,34354000003
2002-03-01,35006666670
2002-03-04,34710000003
2002-03-05,35689000004
2002-03-06,35926333337
2002-03-07,34769333337
2002-03-08,35392333337
2002-03-11,34383666670
2002-03-12,34472666670
2002-03-13,34116666670
2002-03-14,33760666670
2002-03-15,33938666670
2002-03-18,34502333337
2002-03-19,34087000003
2002-03-20,33019000003
2002-03-21,33731000003
2002-03-22,33434333337
2002-03-25,32930000003
2002-03-26,32425666670
2002-03-27,32841000003
2002-03-28,33078333337
2002-04-01,32038398802
2002-04-02,30896209896
2002-04-03,30467889056
2002-04-04,30210896553
2002-04-05,30467889056
2002-04-08,30553553224
2002-04-09,30496443779
2002-04-10,29439919041
2002-04-11,27555307347
2002-04-12,28497613194
2002-04-15,28354839581
2002-04-16,29811130436
2002-04-17,29354254873
2002-04-18,29725466268
2002-04-19,29439919041
2002-04-22,28554722640
2002-04-23,28154956523
2002-04-24,28212065968
2002-04-25,27212650675
2002-04-26,27041322340
2002-04-29,26070461770
2002-04-30,26841439281
2002-05-01,29639802100
2002-05-02,28840269866
2002-05-03,29297145428
2002-05-06,28783160421
2002-05-07,28640386807
2002-05-08,29839685158
2002-05-09,29325700151
2002-05-10,28754605698
2002-05-13,29525583209
2002-05-14,29839685158
2002-05-15,30496443779
2002-05-16,29411364319
2002-05-17,29982458772
2002-05-20,30724881560
2002-05-21,30467889056
2002-05-22,29982458772
2002-05-23,30496443779
2002-05-24,30039568217
2002-05-28,29211481260
2002-05-29,28354839581
2002-05-30,28440503749
2002-05-31,28240620690
2002-06-03,27469643179
2002-06-04,26641556223
2002-06-05,25784914543
2002-06-06,25727805098
2002-06-07,25356593704
2002-06-10,24128740630
2002-06-11,23614755623
2002-06-12,23985967017
2002-06-13,24985382310
2002-06-14,25585031485
2002-06-17,26384563719
2002-06-18,26698665668
2002-06-19,25927688157
2002-06-20,24242959521
2002-06-21,23700419791
2002-06-24,24528506747
2002-06-25,23871748127
2002-06-26,22643895053
2002-06-27,22215574213
2002-06-28,23043661170
2002-07-01,34030101945
2002-07-02,32787188901
2002-07-03,32358598197
2002-07-05,34458692649
2002-07-08,33901524733
2002-07-09,33130061465
2002-07-10,32058584704
2002-07-11,33258638676
2002-07-12,34630128931
2002-07-15,35273014988
2002-07-16,33344356817
2002-07-17,34415833579
2002-07-18,33730088452
2002-07-19,32144302845
2002-07-22,31329980506
2002-07-23,27301227883
2002-07-24,27815536728
2002-07-25,26958355319
2002-07-26,27386946023
2002-07-29,30129926533
2002-07-30,31201403294
2002-07-31,31029967013
2002-08-01,28372704644
2002-08-02,28801295349
2002-08-05,25115415289
2002-08-06,27301227883
2002-08-07,27344086953
2002-08-08,28844154419
2002-08-09,28501281855
2002-08-12,28544140926
2002-08-13,27558382305
2002-08-14,28115550221
2002-08-15,30001349322
2002-08-16,29701335828
2002-08-19,30729953519
2002-08-20,31072826083
2002-08-21,35830182904
2002-08-22,36858800595
2002-08-23,35487310340
2002-08-26,36944518736
2002-08-27,34715847072
2002-08-28,34544410790
2002-08-29,36087337327
2002-08-30,35101578706
2002-09-03,31715712140
2002-09-04,33387215888
2002-09-05,32572893549
2002-09-06,34930142424
2002-09-09,35230155918
2002-09-10,36044478256
2002-09-11,35658746622
2002-09-12,34844424283
2002-09-13,34930142424
2002-09-16,34030101945
2002-09-17,34715847072
2002-09-18,34630128931
2002-09-19,32444316338
2002-09-20,33601511240
2002-09-23,32187161915
2002-09-24,30429940026
2002-09-25,30901389801
2002-09-26,33215779606
2002-09-27,32872907042
2002-09-30,30472799097
2002-10-01,21686689652
2002-10-02,20200908543
2002-10-03,18515118438
2002-10-04,19000854570
2002-10-07,17657937029
2002-10-08,17000764615
2002-10-09,16572173911
2002-10-10,18057955020
2002-10-11,19543736129
2002-10-14,19343727134
2002-10-15,20915226384
2002-10-16,20000899548
2002-10-17,20715217389
2002-10-18,20772362816
2002-10-21,21000944525
2002-10-22,22486725634
2002-10-23,23343907043
2002-10-24,22572443775
2002-10-25,23201043475
2002-10-28,23515343325
2002-10-29,22943889052
2002-10-30,22715307343
2002-10-31,22315289352
2002-11-01,23058179907
2002-11-04,24429670162
2002-11-05,25515433280
2002-11-06,24972551721
2002-11-07,23515343325
2002-11-08,23401052471
2002-11-11,22601016489
2002-11-12,23258188902
2002-11-13,22486725634
2002-11-14,23572488753
2002-11-15,24401097448
2002-11-18,24972551721
2002-11-19,23801070462
2002-11-20,22801025484
2002-11-21,23315334330
2002-11-22,24772542725
2002-11-25,24601106444
2002-11-26,22943889052
2002-11-27,23258188902
2002-11-29,22315289352
2002-12-02,23058179907
2002-12-03,22401007493
2002-12-04,22172425784
2002-12-05,22629589202
2002-12-06,23486770612
2002-12-09,22200998498
2002-12-10,22143853071
2002-12-11,22286716639
2002-12-12,22486725634
2002-12-13,21743835080
2002-12-16,23229616189
2002-12-17,23058179907
2002-12-18,22515298348
2002-12-19,22658161916
2002-12-20,22143853071
2002-12-23,23058179907
2002-12-24,22829598198
2002-12-26,22943889052
2002-12-27,22200998498
2002-12-30,22601016489
2002-12-31,79719490250
2003-01-02,83877886051
2003-01-03,82863643173
2003-01-06,87833433278
2003-01-07,87529160414
2003-01-08,85804947521
2003-01-09,90267616186
2003-01-10,92904647670
2003-01-13,93107496246
2003-01-14,95947376306
2003-01-15,95947376306
2003-01-16,94426011988
2003-01-17,91079010489
2003-01-21,88036281853
2003-01-22,88137706141
2003-01-23,92194677655
2003-01-24,88239130429
2003-01-27,87326311838
2003-01-28,89456221883
2003-01-29,93006071958
2003-01-30,88441979005
2003-01-31,90064767610
2003-02-03,88036281853
2003-02-04,84486431779
2003-02-05,85906371808
2003-02-06,89253373308
2003-02-07,85602098945
2003-02-10,86007796096
2003-02-11,85500674657
2003-02-12,82762218885
2003-02-13,83979310339
2003-02-14,88137706141
2003-02-18,91281859065
2003-02-19,88644827580
2003-02-20,87833433278
2003-02-21,90571889050
2003-02-24,86109220384
2003-02-25,91687556216
2003-02-26,89557646171
2003-02-27,95947376306
2003-02-28,98787256365
2003-03-03,96150224881
2003-03-04,94831709139
2003-03-05,96657346321
2003-03-06,93310344822
2003-03-07,95135982003
2003-03-10,92397526231
2003-03-11,90876161913
2003-03-12,90369040474
2003-03-13,95541679154
2003-03-14,96353073457
2003-03-17,99294377805
2003-03-18,98787256365
2003-03-19,101120014986
2003-03-20,100917166410
2003-03-21,104162743621
2003-03-24,96758770608
2003-03-25,99091529229
2003-03-26,98381559214
2003-03-27,100004347820
2003-03-28,98990104941
2003-03-31,96657346321
2003-04-01,98888680653
2003-04-02,100207196395
2003-04-03,98888680653
2003-04-04,101018590698
2003-04-07,99902923532
2003-04-08,100207196395
2003-04-09,98280134926
2003-04-10,100511469259
2003-04-11,96860194896
2003-04-14,100004347820
2003-04-15,101728560713
2003-04-16,100612893547
2003-04-17,103047076455
2003-04-21,103148500743
2003-04-22,107306896545
2003-04-23,108625412287
2003-04-24,108118290848
2003-04-25,107306896545
2003-04-28,107104047969
2003-04-29,106292653666
2003-04-30,107814017984
2003-05-01,107712593696
2003-05-02,103047076455
2003-05-05,99801499244
2003-05-06,101424287850
2003-05-07,102844227879
2003-05-08,102134257864
2003-05-09,105176986500
2003-05-12,104365592197
2003-05-13,102438530728
2003-05-14,101018590698
2003-05-15,104264167909
2003-05-16,105684107939
2003-05-19,102337106440
2003-05-20,102337106440
2003-05-21,104162743621
2003-05-22,104568440773
2003-05-23,101525712137
2003-05-27,101931409289
2003-05-28,100815742122
2003-05-29,102742803592
2003-05-30,101424287850
2003-06-02,103351349319
2003-06-03,102945652167
2003-06-04,106292653666
2003-06-05,108321139423
2003-06-06,104974137924
2003-06-09,105176986500
2003-06-10,106698350818
2003-06-11,111059595195
2003-06-12,114609445270
2003-06-13,113696626679
2003-06-16,116739355315
2003-06-17,113595202392
2003-06-18,110958170907
2003-06-19,105886956515
2003-06-20,106394077954
2003-06-23,104568440773
2003-06-24,103047076455
2003-06-25,102844227879
2003-06-26,104872713636
2003-06-27,103047076455
2003-06-30,102123328337
2003-07-01,103138470766
2003-07-02,103443013494
2003-07-03,104965727137
2003-07-07,111462638682
2003-07-08,111462638682
2003-07-09,109635382310
2003-07-10,107300554724
2003-07-11,108214182910
2003-07-14,110650524739
2003-07-15,109533868067
2003-07-16,107300554724
2003-07-17,104153613194
2003-07-18,105371784109
2003-07-21,102630899551
2003-07-22,103036956523
2003-07-23,102630899551
2003-07-24,99686986508
2003-07-25,102935442280
2003-07-28,102224842580
2003-07-29,104661184409
2003-07-30,104255127437
2003-07-31,103138470766
2003-08-01,102833928037
2003-08-04,102224842580
2003-08-05,98773358322
2003-08-06,98164272864
2003-08-07,99077901050
2003-08-08,99077901050
2003-08-11,100296071965
2003-08-12,101920299851
2003-08-13,100600614694
2003-08-14,100702128936
2003-08-15,99788500751
2003-08-18,99483958022
2003-08-19,99179415293
2003-08-20,98671844079
2003-08-21,99179415293
2003-08-22,96540044978
2003-08-25,97758215893
2003-08-26,98570329836
2003-08-27,99179415293
2003-08-28,99280929536
2003-08-29,100702128936
2003-09-02,99991529236
2003-09-03,100397586208
2003-09-04,103747556223
2003-09-05,101615757122
2003-09-08,103544527737
2003-09-09,104661184409
2003-09-10,102732413794
2003-09-11,103341499251
2003-09-12,103036956523
2003-09-15,101412728637
2003-09-16,105574812595
2003-09-17,106386926538
2003-09-18,106488440781
2003-09-19,105574812595
2003-09-22,103443013494
2003-09-23,106894497752
2003-09-24,103443013494
2003-09-25,102732413794
2003-09-26,101006671665
2003-09-29,104458155923
2003-09-30,69365879432
2003-10-01,71594773318
2003-10-02,71864942274
2003-10-03,73013160337
2003-10-06,73013160337
2003-10-07,72540364664
2003-10-08,70446555256
2003-10-09,70784266451
2003-10-10,72202653469
2003-10-13,72135111230
2003-10-14,73013160337
2003-10-15,73080702576
2003-10-16,74634174072
2003-10-17,72540364664
2003-10-20,72540364664
2003-10-21,73350871532
2003-10-22,71797400035
2003-10-23,72135111230
2003-10-24,72405280186
2003-10-27,72945618098
2003-10-28,75714849896
2003-10-29,75714849896
2003-10-30,75174511984
2003-10-31,76255187808
2003-11-03,75242054223
2003-11-04,73756124966
2003-11-05,73688582727
2003-11-06,73958751683
2003-11-07,75039427506
2003-11-10,73621040488
2003-11-11,71662315557
2003-11-12,71797400035
2003-11-13,71662315557
2003-11-14,71392146601
2003-11-17,71392146601
2003-11-18,69230794954
2003-11-19,70446555256
2003-11-20,69433421671
2003-11-21,71121977645
2003-11-24,72472822425
2003-11-25,71594773318
2003-11-26,71459688840
2003-11-28,71121977645
2003-12-01,71189519884
2003-12-02,71054435406
2003-12-03,71189519884
2003-12-04,71797400035
2003-12-05,71054435406
2003-12-08,71324604362
2003-12-09,70851808690
2003-12-10,70446555256
2003-12-11,71121977645
2003-12-12,71459688840
2003-12-15,71392146601
2003-12-16,72000026752
2003-12-17,71054435406
2003-12-18,71864942274
2003-12-19,71864942274
2003-12-22,72540364664
2003-12-23,71932484513
2003-12-24,71729857796
2003-12-26,72135111230
2003-12-29,73080702576
2003-12-30,72607906903
2003-12-31,111004227875
2004-01-02,111613583197
2004-01-05,112629175401
2004-01-06,112730734621
2004-01-07,115777511233
2004-01-08,118418050963
2004-01-09,119027406285
2004-01-12,119738320828
2004-01-13,120246116929
2004-01-14,121363268354
2004-01-15,120957031472
2004-01-16,121464827574
2004-01-20,120652353811
2004-01-21,122277301337
2004-01-22,121566386794
2004-01-23,120042998489
2004-01-26,122074182896
2004-01-27,119230524726
2004-01-28,114965037470
2004-01-29,117097781098
2004-01-30,115472833572
2004-02-02,115371274351
2004-02-03,114355682147
2004-02-04,113441649164
2004-02-05,112730734621
2004-02-06,113035412282
2004-02-09,112527616181
2004-02-10,114863478249
2004-02-11,105723148415
2004-02-12,101762338820
2004-02-13,101254542718
2004-02-17,104098200889
2004-02-18,104301319330
2004-02-19,102371694143
2004-02-20,102168575702
2004-02-23,99934272853
2004-02-24,100949865057
2004-02-25,101356101939
2004-02-26,101356101939
2004-02-27,101356101939
2004-03-01,102574812583
2004-03-02,101356101939
2004-03-03,102879490244
2004-03-04,103996641669
2004-03-05,103082608685
2004-03-08,101559220380
2004-03-09,101152983498
2004-03-10,100848305837
2004-03-11,98309325327
2004-03-12,99832713633
2004-03-15,98106206887
2004-03-16,98207766107
2004-03-17,98309325327
2004-03-18,97903088446
2004-03-19,96989055462
2004-03-22,96684377801
2004-03-23,95364107936
2004-03-24,94754752614
2004-03-25,96379700140
2004-03-26,99020239870
2004-03-29,98106206887
2004-03-30,98004647666
2004-03-31,97352158921
2004-04-01,98671844079
2004-04-02,98468815593
2004-04-05,100702128936
2004-04-06,100905157422
2004-04-07,99179415293
2004-04-08,98976386808
2004-04-12,102630899551
2004-04-13,101514242880
2004-04-14,103747556223
2004-04-15,102224842580
2004-04-16,102326356823
2004-04-19,103747556223
2004-04-20,101412728637
2004-04-21,99585472265
2004-04-22,98468815593
2004-04-23,97859730136
2004-04-26,101006671665
2004-04-27,101412728637
2004-04-28,102224842580
2004-04-29,103443013494
2004-04-30,102021814094
2004-05-03,101311214394
2004-05-04,100397586208
2004-05-05,98976386808
2004-05-06,96438530736
2004-05-07,97352158921
2004-05-10,94915817092
2004-05-11,96337016493
2004-05-12,95626416792
2004-05-13,94509760121
2004-05-14,95930959521
2004-05-17,93494617692
2004-05-18,95220359821
2004-05-19,95118845578
2004-05-20,96337016493
2004-05-21,96743073464
2004-05-24,97352158921
2004-05-25,100093043479
2004-05-26,100499100451
2004-05-27,99382443779
2004-05-28,97961244379
2004-06-01,97859730136
2004-06-02,97352158921
2004-06-03,96133988007
2004-06-04,97453673164
2004-06-07,99382443779
2004-06-08,100600614694
2004-06-09,99788500751
2004-06-10,100194557722
2004-06-14,97555187407
2004-06-15,99686986508
2004-06-16,100194557722
2004-06-17,99483958022
2004-06-18,100397586208
2004-06-21,97149130436
2004-06-22,95727931035
2004-06-23,95524902550
2004-06-24,94408245878
2004-06-25,94814302849
2004-06-28,93596131935
2004-06-29,94205217392
2004-06-30,94149535223
2004-07-01,93245217382
2004-07-02,93647136422
2004-07-06,91336101939
2004-07-07,91436581700
2004-07-08,92541859061
2004-07-09,92441379301
2004-07-12,93345697142
2004-07-13,93144737621
2004-07-14,93747616182
2004-07-15,94450974503
2004-07-16,93446176902
2004-07-19,93848095942
2004-07-20,94953373303
2004-07-21,93446176902
2004-07-22,94551454263
2004-07-23,93747616182
2004-07-26,94149535223
2004-07-27,96259610185
2004-07-28,92340899541
2004-07-29,92240419780
2004-07-30,91738020980
2004-08-02,96259610185
2004-08-03,95656731624
2004-08-04,93948575702
2004-08-05,92340899541
2004-08-06,90833703139
2004-08-09,90532263859
2004-08-10,91034662659
2004-08-11,90733223379
2004-08-12,88824107937
2004-08-13,88723628177
2004-08-16,89929385298
2004-08-17,91838500740
2004-08-18,93345697142
2004-08-19,92742818581
2004-08-20,93245217382
2004-08-23,93144737621
