,MAA
2002-08-08,433322350
2002-08-09,431564450
2002-08-12,435080250
2002-08-13,422774950
2002-08-14,428048650
2002-08-15,427521280
2002-08-16,432970770
2002-08-19,431564450
2002-08-20,431212870
2002-08-21,440002370
2002-08-22,434201300
2002-08-23,434025510
2002-08-26,442111850
2002-08-27,438947630
2002-08-28,441232900
2002-08-29,446506600
2002-08-30,442990800
2002-09-03,438596050
2002-09-04,447385550
2002-09-05,448264500
2002-09-06,448967660
2002-09-09,446506600
2002-09-10,443869750
2002-09-11,445451860
2002-09-12,445100280
2002-09-13,450022400
2002-09-16,442287640
2002-09-17,437717100
2002-09-18,436662360
2002-09-19,431388660
2002-09-20,436662360
2002-09-23,439475000
2002-09-24,437189730
2002-09-25,439826580
2002-09-26,441232900
2002-09-27,435959200
2002-09-30,441181010
2002-10-01,445785870
2002-10-02,443306330
2002-10-03,442597890
2002-10-04,441003900
2002-10-07,427720650
2002-10-08,419750700
2002-10-09,402216810
2002-10-10,398143280
2002-10-11,411426530
2002-10-14,408061440
2002-10-15,417625379
2002-10-16,415322950
2002-10-17,422407350
2002-10-18,422053129
2002-10-21,424001340
2002-10-22,406644560
2002-10-23,412843410
2002-10-24,415854280
2002-10-25,418865150
2002-10-28,416385610
2002-10-29,416916940
2002-10-30,414791620
2002-10-31,417979600
2002-11-01,424178450
2002-11-04,426303770
2002-11-05,437107480
2002-11-06,446317200
2002-11-07,441358120
2002-11-08,435513490
2002-11-11,435690600
2002-11-12,440118350
2002-11-13,441181010
2002-11-14,446848530
2002-11-15,440118350
2002-11-18,437461700
2002-11-19,435867710
2002-11-20,441003900
2002-11-21,442420780
2002-11-22,442775000
2002-11-25,441889450
2002-11-26,442066560
2002-11-27,442775000
2002-11-29,441003900
2002-12-02,442597890
2002-12-03,440295460
2002-12-04,441712340
2002-12-05,439232800
2002-12-06,439232800
2002-12-09,438347250
2002-12-10,434627940
2002-12-11,433919500
2002-12-12,433742390
2002-12-13,433565280
2002-12-16,433919500
2002-12-17,431971290
2002-12-18,428606200
2002-12-19,424709780
2002-12-20,422407350
2002-12-23,423292900
2002-12-24,426835100
2002-12-26,428251980
2002-12-27,428960420
2002-12-30,433919500
2002-12-31,434036400
2003-01-02,438474400
2003-01-03,440249600
2003-01-06,440959680
2003-01-07,434391440
2003-01-08,430486000
2003-01-09,432793760
2003-01-10,432083680
2003-01-13,434568960
2003-01-14,435101520
2003-01-15,434568960
2003-01-16,431018560
2003-01-17,428710800
2003-01-21,429065840
2003-01-22,421254960
2003-01-23,421077440
2003-01-24,417349520
2003-01-27,415574320
2003-01-28,416461920
2003-01-29,420722400
2003-01-30,418947200
2003-01-31,422497600
2003-02-03,421965040
2003-02-04,421077440
2003-02-05,423385200
2003-02-06,421254960
2003-02-07,415574320
2003-02-10,418059600
2003-02-11,413621600
2003-02-12,412023920
2003-02-13,417172000
2003-02-14,416461920
2003-02-18,418769680
2003-02-19,417172000
2003-02-20,416639440
2003-02-21,416284400
2003-02-24,416284400
2003-02-25,416461920
2003-02-26,415041760
2003-02-27,418059600
2003-02-28,413799120
2003-03-03,417527040
2003-03-04,416284400
2003-03-05,417172000
2003-03-06,417704560
2003-03-07,416994480
2003-03-10,414686720
2003-03-11,413621600
2003-03-12,415751840
2003-03-13,418769680
2003-03-14,419479760
2003-03-17,424095280
2003-03-18,424272800
2003-03-19,423385200
2003-03-20,424627840
2003-03-21,427645680
2003-03-24,424272800
2003-03-25,426935600
2003-03-26,424272800
2003-03-27,425160400
2003-03-28,423385200
2003-03-31,422428800
2003-04-01,427776000
2003-04-02,428488960
2003-04-03,427419520
2003-04-04,427419520
2003-04-07,431875520
2003-04-08,430449600
2003-04-09,429558400
2003-04-10,429201919
2003-04-11,428310720
2003-04-14,436509760
2003-04-15,436866240
2003-04-16,445600000
2003-04-17,450056000
2003-04-21,452551360
2003-04-22,452194880
2003-04-23,456294400
2003-04-24,456294400
2003-04-25,457185600
2003-04-28,463245760
2003-04-29,457898560
2003-04-30,458076800
2003-05-01,461463360
2003-05-02,464315200
2003-05-05,470553600
2003-05-06,473048960
2003-05-07,471444800
2003-05-08,473227200
2003-05-09,477683200
2003-05-12,481248000
2003-05-13,480891520
2003-05-14,479465600
2003-05-15,480891520
2003-05-16,480713280
2003-05-19,479643840
2003-05-20,483030400
2003-05-21,481248000
2003-05-22,481069760
2003-05-23,481604480
2003-05-27,482495680
2003-05-28,478752640
2003-05-29,466097600
2003-05-30,467880000
2003-06-02,472336000
2003-06-03,468771200
2003-06-04,478752640
2003-06-05,479465600
2003-06-06,477683200
2003-06-09,472336000
2003-06-10,482673919
2003-06-11,482139200
2003-06-12,486416960
2003-06-13,483030400
2003-06-16,485704000
2003-06-17,484099840
2003-06-18,483565120
2003-06-19,481248000
2003-06-20,480713280
2003-06-23,473227200
2003-06-24,473227200
2003-06-25,475009600
2003-06-26,486595200
2003-06-27,482673919
2003-06-30,494337020
2003-07-01,500193659
2003-07-02,508612580
2003-07-03,508429560
2003-07-07,527097600
2003-07-08,523437200
2003-07-09,521240960
2003-07-10,521790020
2003-07-11,521973040
2003-07-14,528012700
2003-07-15,531673100
2003-07-16,528927800
2003-07-17,524901360
2003-07-18,531490080
2003-07-21,535333500
2003-07-22,517946600
2003-07-23,512456000
2003-07-24,518129620
2003-07-25,523254180
2003-07-28,525450420
2003-07-29,527097600
2003-07-30,530391960
2003-07-31,523437200
2003-08-01,532222159
2003-08-04,533320280
2003-08-05,522156060
2003-08-06,520691900
2003-08-07,522522100
2003-08-08,526731560
2003-08-11,532405180
2003-08-12,534601420
2003-08-13,533503300
2003-08-14,535699540
2003-08-15,529842900
2003-08-18,544484500
2003-08-19,547229800
2003-08-20,547229800
2003-08-21,548144900
2003-08-22,545399600
2003-08-25,547412820
2003-08-26,546314700
2003-08-27,542654300
2003-08-28,547229800
2003-08-29,537895780
2003-09-02,549060000
2003-09-03,558394020
2003-09-04,559675160
2003-09-05,566995960
2003-09-08,571022400
2003-09-09,569192200
2003-09-10,564433680
2003-09-11,564250660
2003-09-12,559126100
2003-09-15,560590260
2003-09-16,562603480
2003-09-17,554550600
2003-09-18,556380800
2003-09-19,556746840
2003-09-22,558211000
2003-09-23,559126100
2003-09-24,554733620
2003-09-25,546680740
2003-09-26,550158120
2003-09-29,554367580
2003-09-30,591920340
2003-10-01,601922970
2003-10-02,600157800
2003-10-03,610944950
2003-10-06,626046960
2003-10-07,625262440
2003-10-08,622712750
2003-10-09,626243090
2003-10-10,637814760
2003-10-13,642325750
2003-10-14,645267700
2003-10-15,642129620
2003-10-16,646248350
2003-10-17,647229000
2003-10-20,629381170
2003-10-21,629185040
2003-10-22,606826220
2003-10-23,597804240
2003-10-24,597804240
2003-10-27,602119100
2003-10-28,600157800
2003-10-29,609375910
2003-10-30,610944950
2003-10-31,615848200
2003-11-03,624477920
2003-11-04,630361820
2003-11-05,627223740
2003-11-06,629185040
2003-11-07,633499900
2003-11-10,629577300
2003-11-11,625850830
2003-11-12,637422500
2003-11-13,642325750
2003-11-14,633892160
2003-11-17,635853460
2003-11-18,631538600
2003-11-19,632715380
2003-11-20,628792780
2003-11-21,634284420
2003-11-24,638599280
2003-11-25,646444480
2003-11-26,644875440
2003-11-28,644483180
2003-12-01,656054850
2003-12-02,650170950
2003-12-03,639383800
2003-12-04,644090920
2003-12-05,646640610
2003-12-08,649190300
2003-12-09,649778690
2003-12-10,648994170
2003-12-11,653112900
2003-12-12,657035500
2003-12-15,651739989
2003-12-16,658408410
2003-12-17,653112900
2003-12-18,656054850
2003-12-19,657035500
2003-12-22,656839370
2003-12-23,661742620
2003-12-24,662331010
2003-12-26,666253610
2003-12-29,669783950
2003-12-30,671352989
2003-12-31,672876040
2004-01-02,677284400
2004-01-05,683295800
2004-01-06,679889340
2004-01-07,673076420
2004-01-08,675080220
2004-01-09,679889340
2004-01-12,679688960
2004-01-13,680290100
2004-01-14,680290100
2004-01-15,683295800
2004-01-16,682293900
2004-01-20,686301500
2004-01-21,675280600
2004-01-22,678286300
2004-01-23,680290100
2004-01-26,691311000
2004-01-27,689507579
2004-01-28,687103020
2004-01-29,692713660
2004-01-30,691511380
2004-02-02,693314800
2004-02-03,699526579
2004-02-04,686702260
2004-02-05,696520880
2004-02-06,710347100
2004-02-09,707341400
2004-02-10,714354700
2004-02-11,716158120
2004-02-12,711148620
2004-02-13,702532280
2004-02-17,693314800
2004-02-18,689908340
2004-02-19,688305300
2004-02-20,691912140
2004-02-23,691511380
2004-02-24,695919739
2004-02-25,708944440
2004-02-26,723371800
2004-02-27,718562680
2004-03-01,729984340
2004-03-02,735394600
2004-03-03,735394600
2004-03-04,740804860
2004-03-05,740203720
2004-03-08,734392700
2004-03-09,734793460
2004-03-10,730785860
2004-03-11,721568380
2004-03-12,730986239
2004-03-15,729984340
2004-03-16,725575980
2004-03-17,731587380
2004-03-18,734593079
2004-03-19,737598780
2004-03-22,731988140
2004-03-23,740003340
2004-03-24,734593079
2004-03-25,747417400
2004-03-26,737198020
2004-03-29,741406000
2004-03-30,746415500
2004-03-31,752810750
2004-04-01,753418999
2004-04-02,752202500
2004-04-05,731319250
2004-04-06,696446250
2004-04-07,723209250
2004-04-08,700298500
2004-04-12,667047500
2004-04-13,646772500
2004-04-14,640690000
2004-04-15,663803500
2004-04-16,675157500
2004-04-19,683875749
2004-04-20,658329250
2004-04-21,653463249
2004-04-22,670899750
2004-04-23,665222750
2004-04-26,660965000
2004-04-27,670697000
2004-04-28,666033750
2004-04-29,659951250
2004-04-30,653868750
2004-05-03,672927250
2004-05-04,679212500
2004-05-05,669075000
2004-05-06,669886000
2004-05-07,649813750
2004-05-10,641298250
2004-05-11,651030250
2004-05-12,656707250
2004-05-13,655896250
2004-05-14,662992500
2004-05-17,661573250
2004-05-18,680226250
2004-05-19,670291500
2004-05-20,678604250
2004-05-21,678604250
2004-05-24,683064750
2004-05-25,697865500
2004-05-26,706583750
2004-05-27,708814000
2004-05-28,715302000
2004-06-01,715707500
2004-06-02,727669750
2004-06-03,719559750
2004-06-04,728075249
2004-06-07,739631999
2004-06-08,738212749
2004-06-09,732738500
2004-06-10,732130250
2004-06-14,725845000
2004-06-15,740037500
2004-06-16,749364000
2004-06-17,758285000
2004-06-18,765381250
2004-06-21,770450000
2004-06-22,762745500
2004-06-23,770247250
2004-06-24,766192250
2004-06-25,781398500
2004-06-28,776938000
2004-06-29,767206000
2004-06-30,768219750
2004-07-01,766335840
2004-07-02,778945400
2004-07-06,775691320
2004-07-07,786063700
2004-07-08,768776400
2004-07-09,777521739
2004-07-12,780979200
2004-07-13,772844000
2004-07-14,769793300
2004-07-15,770810200
2004-07-16,770403440
2004-07-19,774877800
2004-07-20,788097500
2004-07-21,777114980
2004-07-22,754946560
2004-07-23,735625460
2004-07-26,726473360
2004-07-27,724439560
2004-07-28,728303780
2004-07-29,729117300
2004-07-30,729117300
2004-08-02,752302620
2004-08-03,751489100
2004-08-04,756573600
2004-08-05,735218700
2004-08-06,733184900
2004-08-09,736235600
2004-08-10,742743760
2004-08-11,741726860
2004-08-12,741320100
2004-08-13,742540380
2004-08-16,760641200
2004-08-17,769589920
2004-08-18,774471040
2004-08-19,760641200
2004-08-20,785046800
2004-08-23,782809620
2004-08-24,787690739
2004-08-25,799486780
2004-08-26,800300300
2004-08-27,801317200
2004-08-30,801317200
2004-08-31,806401700
2004-09-01,806401700
2004-09-02,814943660
2004-09-03,819621400
2004-09-07,831010680
2004-09-08,824909280
2004-09-09,821858579
2004-09-10,815960560
2004-09-13,807825360
2004-09-14,790741440
2004-09-15,797656360
2004-09-16,817587600
2004-09-17,813520000
2004-09-20,803554380
2004-09-21,811486200
2004-09-22,787487360
2004-09-23,785046800
2004-09-24,780572440
2004-09-27,774877800
2004-09-28,781996100
2004-09-29,789114400
2004-09-30,802915300
2004-10-01,818375800
2004-10-04,818788080
2004-10-05,822086320
2004-10-06,825384560
2004-10-07,810130200
2004-10-08,807038100
2004-10-11,808068800
2004-10-12,817963520
2004-10-13,808481080
2004-10-14,810542480
2004-10-15,816314400
2004-10-18,820437200
2004-10-19,809924060
2004-10-20,796112680
2004-10-21,800853900
2004-10-22,798998640
2004-10-25,794463560
2004-10-26,804152140
2004-10-27,816108260
2004-10-28,817963520
2004-10-29,810748620
2004-11-01,822704739
2004-11-02,807244239
2004-11-03,819406500
2004-11-04,824766140
2004-11-05,809099500
2004-11-08,808068800
2004-11-09,808481080
2004-11-10,816520540
2004-11-11,825590700
2004-11-12,840638920
2004-11-15,837959100
2004-11-16,829507360
2004-11-17,815077560
2004-11-18,813840719
2004-11-19,808068800
2004-11-22,817345100
2004-11-23,816314400
2004-11-24,818169660
2004-11-26,823529300
2004-11-29,814253000
2004-11-30,813428440
2004-12-01,825178420
2004-12-02,822498600
2004-12-03,828476660
2004-12-06,824147719
2004-12-07,821674040
2004-12-08,828682800
2004-12-09,827239820
2004-12-10,834867000
2004-12-13,842081900
2004-12-14,840432780
2004-12-15,843731020
2004-12-16,833836300
2004-12-17,849915219
2004-12-20,845174000
2004-12-21,855481000
2004-12-22,859603800
2004-12-23,848059960
2004-12-27,845380140
2004-12-28,847235400
2004-12-29,848884520
2004-12-30,847441540
2004-12-31,862652160
2005-01-03,855118080
2005-01-04,851978880
2005-01-05,820377600
2005-01-06,837120000
2005-01-07,836282880
2005-01-10,826865280
2005-01-11,832097280
2005-01-12,833143680
2005-01-13,833562240
2005-01-14,833352960
2005-01-18,840259200
2005-01-19,844444800
2005-01-20,822679680
2005-01-21,824563200
2005-01-24,819540479
