,MDLZ
2002-03-04,41320125000
2002-03-05,42567525000
2002-03-06,42896700000
2002-03-07,43104600000
2002-03-08,43087275000
2002-03-11,42515550000
2002-03-12,42290325000
2002-03-13,42567525000
2002-03-14,42117075000
2002-03-15,42671475000
2002-03-18,42567525000
2002-03-19,42844725000
2002-03-20,43918875000
2002-03-21,44490600000
2002-03-22,44473275000
2002-03-25,44092125000
2002-03-26,44889075000
2002-03-27,44611875000
2002-03-28,43814925000
2002-04-01,44166326930
2002-04-02,44963365392
2002-04-03,45171288469
2002-04-04,45743076931
2002-04-05,46592096162
2002-04-08,45344557700
2002-04-09,44270288469
2002-04-10,44807423084
2002-04-11,45344557700
2002-04-12,44894057700
2002-04-15,45864365392
2002-04-16,45240596161
2002-04-17,43923750007
2002-04-18,44045038469
2002-04-19,45396538469
2002-04-22,44252961546
2002-04-23,45465846161
2002-04-24,45361884623
2002-04-25,45691096161
2002-04-26,45795057700
2002-04-29,45743076931
2002-04-30,46522788469
2002-05-01,46765365392
2002-05-02,47562403854
2002-05-03,45743076931
2002-05-06,46054961546
2002-05-07,45240596161
2002-05-08,44478211546
2002-05-09,45101980777
2002-05-10,45032673084
2002-05-13,46020307700
2002-05-14,46574769239
2002-05-15,46713384623
2002-05-16,46609423085
2002-05-17,46574769239
2002-05-20,46384173085
2002-05-21,45985653854
2002-05-22,47042596162
2002-05-23,47129230777
2002-05-24,47267846162
2002-05-28,47285173085
2002-05-29,47891615393
2002-05-30,48220826931
2002-05-31,48757961547
2002-06-03,47111903854
2002-06-04,47129230777
2002-06-05,47267846162
2002-06-06,47250519239
2002-06-07,47406461546
2002-06-10,47735673085
2002-06-11,49399057701
2002-06-12,49658961547
2002-06-13,49260442316
2002-06-14,48688653854
2002-06-17,49260442316
2002-06-18,49693615393
2002-06-19,48047557700
2002-06-20,47926269239
2002-06-21,47527750008
2002-06-24,46834673085
2002-06-25,46054961546
2002-06-26,44772769238
2002-06-27,44755442315
2002-06-28,46418826931
2002-07-01,46769580000
2002-07-02,46213420000
2002-07-03,44979440000
2002-07-05,45778920000
2002-07-08,45413940000
2002-07-09,43988780000
2002-07-10,42998120000
2002-07-11,42059600000
2002-07-12,40929900000
2002-07-15,41121080000
2002-07-16,40929900000
2002-07-17,43137160000
2002-07-18,39939240000
2002-07-19,39591640000
2002-07-22,40338980000
2002-07-23,39921860000
2002-07-24,42302920000
2002-07-25,42024840000
2002-07-26,42111740000
2002-07-29,42285540000
2002-07-30,42024840000
2002-07-31,42076980000
2002-08-01,42754800000
2002-08-02,42302920000
2002-08-05,43032880000
2002-08-06,42702660000
2002-08-07,43241440000
2002-08-08,43762840000
2002-08-09,44249480000
2002-08-12,43901880000
2002-08-13,43589040000
2002-08-14,44006160000
2002-08-15,44909920000
2002-08-16,44944680000
2002-08-19,45622500000
2002-08-20,45674640000
2002-08-21,44649220000
2002-08-22,45135860000
2002-08-23,44683980000
2002-08-26,44040920000
2002-08-27,44127820000
2002-08-28,44353760000
2002-08-29,45101100000
2002-08-30,45222760000
2002-09-03,43901880000
2002-09-04,43867120000
2002-09-05,44649220000
2002-09-06,43658560000
2002-09-09,44214720000
2002-09-10,44510180000
2002-09-11,44909920000
2002-09-12,44683980000
2002-09-13,44909920000
2002-09-16,45500840000
2002-09-17,44058300000
2002-09-18,44892540000
2002-09-19,44353760000
2002-09-20,44127820000
2002-09-23,44614460000
2002-09-24,42581000000
2002-09-25,42216020000
2002-09-26,42841700000
2002-09-27,41503440000
2002-09-30,41111006312
2002-10-01,41490068398
2002-10-02,41627909157
2002-10-03,41438378114
2002-10-04,41662369347
2002-10-07,41403917924
2002-10-08,41903590675
2002-10-09,41834670295
2002-10-10,41162696596
2002-10-11,42282652761
2002-10-14,43574909875
2002-10-15,44160733100
2002-10-16,42730635228
2002-10-17,43540449685
2002-10-18,44591485471
2002-10-21,45539140688
2002-10-22,46280034767
2002-10-23,44177963195
2002-10-24,44195193290
2002-10-25,43385378832
2002-10-28,42730635228
2002-10-29,42799555607
2002-10-30,43764440919
2002-10-31,44522565092
2002-11-01,44625945661
2002-11-04,43936741867
2002-11-05,44177963195
2002-11-06,44143503005
2002-11-07,44815476704
2002-11-08,44643175756
2002-11-11,44798246610
2002-11-12,42282652761
2002-11-13,43161387599
2002-11-14,43230307978
2002-11-15,43316458452
2002-11-18,43006316745
2002-11-19,42834015797
2002-11-20,42162042097
2002-11-21,42110351813
2002-11-22,41817440200
2002-11-25,42661714848
2002-11-26,42799555607
2002-11-27,42782325512
2002-11-29,42334343046
2002-12-02,42644484753
2002-12-03,42523874089
2002-12-04,43419839022
2002-12-05,42851245891
2002-12-06,43540449685
2002-12-09,44195193290
2002-12-10,44074582626
2002-12-11,43919511772
2002-12-12,44436414618
2002-12-13,44660405851
2002-12-16,44522565092
2002-12-17,44557025282
2002-12-18,44367494238
2002-12-19,43902281677
2002-12-20,43971202057
2002-12-23,44040122436
2002-12-24,44264113669
2002-12-26,44177963195
2002-12-27,43971202057
2002-12-30,43902281677
2002-12-31,44078693880
2003-01-02,44390204084
2003-01-03,44009469390
2003-01-06,43611428574
2003-01-07,43767183676
2003-01-08,43715265308
2003-01-09,44147918369
2003-01-10,43801795920
2003-01-13,44044081635
2003-01-14,43472979594
2003-01-15,42434612247
2003-01-16,43178775512
2003-01-17,43023020410
2003-01-21,42798040818
2003-01-22,43144163267
2003-01-23,41915428573
2003-01-24,41153959186
2003-01-27,41673142859
2003-01-28,40894367349
2003-01-29,35321795920
2003-01-30,33954612246
2003-01-31,36065959185
2003-02-03,36014040818
2003-02-04,35840979593
2003-02-05,35979428573
2003-02-06,35391020410
2003-02-07,35719836736
2003-02-10,35754448981
2003-02-11,35287183675
2003-02-12,35581387757
2003-02-13,35494857144
2003-02-14,35494857144
2003-02-18,35702530614
2003-02-19,35650612247
2003-02-20,33971918369
2003-02-21,34093061226
2003-02-24,33885387757
2003-02-25,34144979593
2003-02-26,33660408165
2003-02-27,33660408165
2003-02-28,33521959185
2003-03-03,33175836736
2003-03-04,32275918369
2003-03-05,31549061226
2003-03-06,31099102042
2003-03-07,30908734695
2003-03-10,30562612246
2003-03-11,31358693879
2003-03-12,31479836736
2003-03-13,32275918369
2003-03-14,32500897961
2003-03-17,33625795920
2003-03-18,32760489797
2003-03-19,33954612246
2003-03-20,33400816328
2003-03-21,34871836736
2003-03-24,34023836736
2003-03-25,33695020410
2003-03-26,33296979593
2003-03-27,33002775512
2003-03-28,32379755103
2003-03-31,31834636355
2003-04-01,31817381809
2003-04-02,32473054536
2003-04-03,33266763627
2003-04-04,32179727264
2003-04-07,32455799991
2003-04-08,33025199991
2003-04-09,33076963627
2003-04-10,31765618173
2003-04-11,32024436355
2003-04-14,32800890900
2003-04-15,32576581809
2003-04-16,32852654536
2003-04-17,33577345445
2003-04-21,33905181809
2003-04-22,34595363627
2003-04-23,34664381809
2003-04-24,34836927263
2003-04-25,34043218172
2003-04-28,34215763627
2003-04-29,34940454536
2003-04-30,34888690899
2003-05-01,35061236354
2003-05-02,35112999990
2003-05-05,35320054536
2003-05-06,35251036354
2003-05-07,35268290899
2003-05-08,35130254536
2003-05-09,35337309081
2003-05-12,35199272718
2003-05-13,35285545445
2003-05-14,35095745445
2003-05-15,34767909081
2003-05-16,34888690899
2003-05-19,34664381809
2003-05-20,35320054536
2003-05-21,36217290899
2003-05-22,37149036353
2003-05-23,37200799990
2003-05-27,36648654535
2003-05-28,36562381808
2003-05-29,36648654535
2003-05-30,36579636354
2003-06-02,36683163626
2003-06-03,37080018172
2003-06-04,37356090899
2003-06-05,37476872717
2003-06-06,37735690899
2003-06-09,37287072717
2003-06-10,37614909081
2003-06-11,37873727262
2003-06-12,38098036353
2003-06-13,37804709080
2003-06-16,37942745444
2003-06-17,37787454535
2003-06-18,38184309080
2003-06-19,37321581808
2003-06-20,37149036353
2003-06-23,36803945444
2003-06-24,37235309081
2003-06-25,36786690899
2003-06-26,36769436353
2003-06-27,36786690899
2003-06-30,36708510631
2003-07-01,36415531908
2003-07-02,36674042546
2003-07-03,36174255312
2003-07-07,36622340418
2003-07-08,36622340418
2003-07-09,35312553184
2003-07-10,35243617014
2003-07-11,35226382972
2003-07-14,35243617014
2003-07-15,34709361695
2003-07-16,34726595738
2003-07-17,32486170206
2003-07-18,32468936164
2003-07-21,32365531908
2003-07-22,32675744674
2003-07-23,32348297866
2003-07-24,32158723398
2003-07-25,32193191483
2003-07-28,32193191483
2003-07-29,31831276589
2003-07-30,31297021270
2003-07-31,31365957441
2003-08-01,31521063823
2003-08-04,31814042547
2003-08-05,31417659568
2003-08-06,31727872334
2003-08-07,31727872334
2003-08-08,31658936164
2003-08-11,32072553185
2003-08-12,32399999994
2003-08-13,32158723398
2003-08-14,32434468079
2003-08-15,32503404249
2003-08-18,32107021270
2003-08-19,32141489355
2003-08-20,31951914887
2003-08-21,32158723398
2003-08-22,32365531908
2003-08-25,33054893610
2003-08-26,32779148930
2003-08-27,32899787227
2003-08-28,33244468078
2003-08-29,33485744674
2003-09-02,34002765951
2003-09-03,33658085100
2003-09-04,33123829781
2003-09-05,32985957440
2003-09-08,33347872334
2003-09-09,33244468078
2003-09-10,33416808504
2003-09-11,33468510632
2003-09-12,33571914887
2003-09-15,33416808504
2003-09-16,33244468078
2003-09-17,33744255312
2003-09-18,33451276589
2003-09-19,33089361696
2003-09-22,32917021270
2003-09-23,33158297866
2003-09-24,33382340419
2003-09-25,33123829781
2003-09-26,32710212759
2003-09-29,33468510632
2003-09-30,32810000000
2003-10-01,33320000000
2003-10-02,33285999999
2003-10-03,33285999999
2003-10-06,33371000000
2003-10-07,33371000000
2003-10-08,32997000000
2003-10-09,32979999999
2003-10-10,32776000000
2003-10-13,32826999999
2003-10-14,32640000000
2003-10-15,32793000000
2003-10-16,32673999999
2003-10-17,32419000000
2003-10-20,32470000000
2003-10-21,32198000000
2003-10-22,32248999999
2003-10-23,32470000000
2003-10-24,32317000000
2003-10-27,32198000000
2003-10-28,32589000000
2003-10-29,32606000000
2003-10-30,32470000000
2003-10-31,32368000000
2003-11-03,32504000000
2003-11-04,32419000000
2003-11-05,32248999999
2003-11-06,32640000000
2003-11-07,33150000000
2003-11-10,33065000000
2003-11-11,32657000000
2003-11-12,33728000000
2003-11-13,33676999999
2003-11-14,33948999999
2003-11-17,34697000000
2003-11-18,34476000000
2003-11-19,34119000000
2003-11-20,34170000000
2003-11-21,34425000000
2003-11-24,34867000000
2003-11-25,35156000000
2003-11-26,35360000000
2003-11-28,35224000000
2003-12-01,35377000000
2003-12-02,35836000000
2003-12-03,35921000000
2003-12-04,35088000000
2003-12-05,35054000000
2003-12-08,35275000000
2003-12-09,34918000000
2003-12-10,34884000000
2003-12-11,34884000000
2003-12-12,35258000000
2003-12-15,35411000000
2003-12-16,35139000000
2003-12-17,35020000000
2003-12-18,35020000000
2003-12-19,34884000000
2003-12-22,35309000000
2003-12-23,35139000000
2003-12-24,34969000000
2003-12-26,35020000000
2003-12-29,35275000000
2003-12-30,35870000000
2003-12-31,35836000000
2004-01-02,35683000000
2004-01-05,35768000000
2004-01-06,36142000000
2004-01-07,35904000000
2004-01-08,35921000000
2004-01-09,35700000000
2004-01-12,35632000000
2004-01-13,34816000000
2004-01-14,35122000000
2004-01-15,34867000000
2004-01-16,35173000000
2004-01-20,35411000000
2004-01-21,35377000000
2004-01-22,35547000000
2004-01-23,34680000000
2004-01-26,36125000000
2004-01-27,35734000000
2004-01-28,35666000000
2004-01-29,35751000000
2004-01-30,35819000000
2004-02-02,36210000000
2004-02-03,36873000000
2004-02-04,37247000000
2004-02-05,37485000000
2004-02-06,36924000000
2004-02-09,36822000000
2004-02-10,36720000000
2004-02-11,36907000000
2004-02-12,36822000000
2004-02-13,36635000000
2004-02-17,37468000000
2004-02-18,37400000000
2004-02-19,36975000000
2004-02-20,36924000000
2004-02-23,36941000000
2004-02-24,36975000000
2004-02-25,36856000000
2004-02-26,36992000000
2004-02-27,37587000000
2004-03-01,38063000000
2004-03-02,37825000000
2004-03-03,37417000000
2004-03-04,37281000000
2004-03-05,37944000000
2004-03-08,38046000000
2004-03-09,38369000000
2004-03-10,37978000000
2004-03-11,36686000000
2004-03-12,36482000000
2004-03-15,36176000000
2004-03-16,36040000000
2004-03-17,36567000000
2004-03-18,36397000000
2004-03-19,36108000000
2004-03-22,35717000000
2004-03-23,35768000000
2004-03-24,35173000000
2004-03-25,35037000000
2004-03-26,34952000000
2004-03-29,35445000000
2004-03-30,35275000000
2004-03-31,35649073162
2004-04-01,35580975601
2004-04-02,35495853650
2004-04-05,35870390235
2004-04-06,35427756089
2004-04-07,35087268284
2004-04-08,35036195113
2004-04-12,34627609748
2004-04-13,34355219504
2004-04-14,34525463406
2004-04-15,34848926821
2004-04-16,34934048772
2004-04-19,34968097552
2004-04-20,34831902431
2004-04-21,35751219504
2004-04-22,36704585357
2004-04-23,36857804869
2004-04-26,36517317064
2004-04-27,36823756089
2004-04-28,36653512186
2004-04-29,36653512186
2004-04-30,36653512186
2004-05-03,36840780479
2004-05-04,36602439016
2004-05-05,36347073162
2004-05-06,36261951211
2004-05-07,35734195113
2004-05-10,35206439016
2004-05-11,35189414626
2004-05-12,34712731699
2004-05-13,34082829260
2004-05-14,34508439016
2004-05-17,34423317065
2004-05-18,34099853650
2004-05-19,33946634138
2004-05-20,33367804870
2004-05-21,33333756089
2004-05-24,33367804870
2004-05-25,33282682919
2004-05-26,33418878041
2004-05-27,33452926821
2004-05-28,33265658528
2004-06-01,33299707309
2004-06-02,33469951211
2004-06-03,34184975601
2004-06-04,33725317065
2004-06-07,34133902431
2004-06-08,34031756089
2004-06-09,33980682919
2004-06-10,34508439016
2004-06-14,34219024382
2004-06-15,34236048772
2004-06-16,34287121943
2004-06-17,34372243894
2004-06-18,34746780479
2004-06-21,34355219504
2004-06-22,34457365845
2004-06-23,34287121943
2004-06-24,34253073162
2004-06-25,34150926821
2004-06-28,34525463406
2004-06-29,34746780479
2004-06-30,35105804350
2004-07-01,34546956524
2004-07-02,34377608698
2004-07-06,34953391307
2004-07-07,34699369567
2004-07-08,34987260872
2004-07-09,34750173915
2004-07-12,34750173915
2004-07-13,34445347828
2004-07-14,34631630437
2004-07-15,33920369567
2004-07-16,33564739133
2004-07-19,34496152176
2004-07-20,35241282611
2004-07-21,34885652176
2004-07-22,34496152176
2004-07-23,33801826089
2004-07-26,33818760872
2004-07-27,33903434785
2004-07-28,33615543480
2004-07-29,33818760872
2004-07-30,33852630437
2004-08-02,33513934785
2004-08-03,33412326089
2004-08-04,33293782611
2004-08-05,33056695654
2004-08-06,32887347828
2004-08-09,32853478263
2004-08-10,32751869567
2004-08-11,32938152176
2004-08-12,32972021741
2004-08-13,33090565219
2004-08-16,33717152176
2004-08-17,33767956524
2004-08-18,33988108698
2004-08-19,34157456524
2004-08-20,34784043480
2004-08-23,34631630437
2004-08-24,34665500002
2004-08-25,34750173915
2004-08-26,34953391307
2004-08-27,34851782611
2004-08-30,34563891307
2004-08-31,34665500002
2004-09-01,34682434785
2004-09-02,34919521741
2004-09-03,34902586959
2004-09-07,35241282611
2004-09-08,34851782611
2004-09-09,34987260872
2004-09-10,34784043480
2004-09-13,35241282611
2004-09-14,35258217394
2004-09-15,35376760872
2004-09-16,35563043481
2004-09-17,36037217394
2004-09-20,35901739133
2004-09-21,35461434785
2004-09-22,34784043480
2004-09-23,34784043480
2004-09-24,34851782611
2004-09-27,35021130437
2004-09-28,35393695654
2004-09-29,35342891307
2004-09-30,35225595246
2004-10-01,35191642865
2004-10-04,35208619055
2004-10-05,34869095245
2004-10-06,35514190484
2004-10-07,35072809531
2004-10-08,34784214293
2004-10-11,34665380960
2004-10-12,34614452388
2004-10-13,34784214293
2004-10-14,35072809531
2004-10-15,35700928579
2004-10-18,35904642865
2004-10-19,36023476198
2004-10-20,36549738103
2004-10-21,36363000008
2004-10-22,36159285722
2004-10-25,35938595246
2004-10-26,36447880960
2004-10-27,36923214294
2004-10-28,37042047627
2004-10-29,36991119055
2004-11-01,37415523817
2004-11-02,37160880960
2004-11-03,37126928579
2004-11-04,38349214294
2004-11-05,38586880961
2004-11-08,38298285722
2004-11-09,38179452389
2004-11-10,38705714294
2004-11-11,38875476199
2004-11-12,38739666675
2004-11-15,38518976199
2004-11-16,38417119056
2004-11-17,38603857151
2004-11-18,38502000008
2004-11-19,37805976198
2004-11-22,38417119056
2004-11-23,38637809532
2004-11-24,38366190484
2004-11-26,38671761913
2004-11-29,38603857151
2004-11-30,37992714294
2004-12-01,38417119056
2004-12-02,38637809532
2004-12-03,38060619056
2004-12-06,38552928580
2004-12-07,38332238103
2004-12-08,38094571437
2004-12-09,38383166675
2004-12-10,38909428580
2004-12-13,39011285723
2004-12-14,39401738104
2004-12-15,39911023818
2004-12-16,39894047628
2004-12-17,39894047628
2004-12-20,39537547627
2004-12-21,39215000008
2004-12-22,38926404770
2004-12-23,39147095246
2004-12-27,38824547627
2004-12-28,39690333342
2004-12-29,39486619056
2004-12-30,39452666675
2004-12-31,39554523818
2005-01-03,38739666675
2005-01-04,38586880961
2005-01-05,38281309532
2005-01-06,38298285722
2005-01-07,38281309532
2005-01-10,38247357151
2005-01-11,38026666675
2005-01-12,38026666675
2005-01-13,37924809532
2005-01-14,38026666675
2005-01-18,38247357151
2005-01-19,38128523818
2005-01-20,37890857151
2005-01-21,37738071437
2005-01-24,37092976198
2005-01-25,36685547627
2005-01-26,36906238103
2005-01-27,37160880960
2005-01-28,36940190484
2005-01-31,37738071437
2005-02-01,37432500008
2005-02-02,37772023818
2005-02-03,37772023818
2005-02-04,37738071437
2005-02-07,37160880960
2005-02-08,37449476198
2005-02-09,37160880960
2005-02-10,37228785722
2005-02-11,37194833341
2005-02-14,37398547627
2005-02-15,37330642865
2005-02-16,37500404770
2005-02-17,37347619056
2005-02-18,37160880960
2005-02-22,36685547627
2005-02-23,36804380960
2005-02-24,37228785722
2005-02-25,37602261913
2005-02-28,37160880960
2005-03-01,37194833341
2005-03-02,37262738103
2005-03-03,37466452389
2005-03-04,37432500008
2005-03-07,37126928579
2005-03-08,36991119055
2005-03-09,36617642865
2005-03-10,36991119055
2005-03-11,36991119055
2005-03-14,36872285722
2005-03-15,36583690484
2005-03-16,36413928579
2005-03-17,36159285722
2005-03-18,36074404770
2005-03-21,35700928579
2005-03-22,35768833341
2005-03-23,35599071436
2005-03-24,35174666674
2005-03-28,35650000008
2005-03-29,35802785722
2005-03-30,36379976198
2005-03-31,36445142863
2005-04-01,36158571434
2005-04-04,36226000006
2005-04-05,36411428577
2005-04-06,36226000006
2005-04-07,36124857148
2005-04-08,36040571434
2005-04-11,36276571434
2005-04-12,36259714291
2005-04-13,35770857148
2005-04-14,35804571434
2005-04-15,35231428577
2005-04-18,34692000005
2005-04-19,34759428577
2005-04-20,34472857148
2005-04-21,34472857148
2005-04-22,33394000005
2005-04-25,34422285720
2005-04-26,34321142862
2005-04-27,34961714291
2005-04-28,35534857148
2005-04-29,35754000006
2005-05-02,35636000006
2005-05-03,36175428577
2005-05-04,36411428577
2005-05-05,36006857148
2005-05-06,36040571434
2005-05-09,35956285720
2005-05-10,35888857148
2005-05-11,36259714291
2005-05-12,36108000006
2005-05-13,35821428577
2005-05-16,36175428577
2005-05-17,36040571434
2005-05-18,36124857148
2005-05-19,36158571434
2005-05-20,36040571434
2005-05-23,36242857149
2005-05-24,36124857148
2005-05-25,36040571434
2005-05-26,36124857148
2005-05-27,36124857148
2005-05-31,35770857148
2005-06-01,36158571434
2005-06-02,36108000006
2005-06-03,35703428577
2005-06-06,35568571434
2005-06-07,35383142863
2005-06-08,35113428577
2005-06-09,35147142863
2005-06-10,35079714291
2005-06-13,34692000005
2005-06-14,35079714291
2005-06-15,34742571434
2005-06-16,34590857148
2005-06-17,34658285720
2005-06-20,35332571434
2005-06-21,35164000005
2005-06-22,35265142863
2005-06-23,35164000005
2005-06-24,34624571434
2005-06-27,34725714291
2005-06-28,35197714291
2005-06-29,34978571434
2005-06-30,35064850000
2005-07-01,35233350000
2005-07-05,35064850000
2005-07-06,34997450000
2005-07-07,34491950000
2005-07-08,34694150000
2005-07-11,34660450000
2005-07-12,34727850000
2005-07-13,34744700000
2005-07-14,34879500000
2005-07-15,35165950000
2005-07-18,35165950000
2005-07-19,35014300000
2005-07-20,33784250000
2005-07-21,33733700000
2005-07-22,34003300000
2005-07-25,33750550000
2005-07-26,33868500000
2005-07-27,33969600000
2005-07-28,33935900000
2005-07-29,33683149999
2005-08-01,33733700000
2005-08-02,33851650000
2005-08-03,34323450000
2005-08-04,33733700000
2005-08-05,33952749999
2005-08-08,33952749999
2005-08-09,34272900000
2005-08-10,34272900000
2005-08-11,34239200000
2005-08-12,34289750000
2005-08-15,34374000000
2005-08-16,34390850000
2005-08-17,34171800000
2005-08-18,34340300000
2005-08-19,34205500000
2005-08-22,34289750000
2005-08-23,34138100000
2005-08-24,34323450000
2005-08-25,34222349999
2005-08-26,34289750000
2005-08-29,34576200000
2005-08-30,34424550000
2005-08-31,34171800000
2005-09-01,34138100000
2005-09-02,33952749999
2005-09-06,33801099999
2005-09-07,33649449999
2005-09-08,33801099999
2005-09-09,33784250000
2005-09-12,34104399999
2005-09-13,33885350000
2005-09-14,33817950000
2005-09-15,34289750000
2005-09-16,33969600000
2005-09-19,33919050000
2005-09-20,33632600000
2005-09-21,33059700000
2005-09-22,32486800000
2005-09-23,32554200000
2005-09-26,32672150000
2005-09-27,33295600000
2005-09-28,33396700000
2005-09-29,33632600000
2005-09-30,33000098363
2005-10-03,32670262297
2005-10-04,32505344264
2005-10-05,32455868855
2005-10-06,32323934428
2005-10-07,32142524592
2005-10-10,32043573773
2005-10-11,32010590166
2005-10-12,31812688527
2005-10-13,31895147543
2005-10-14,32142524592
2005-10-17,31944622953
2005-10-18,31713737707
2005-10-19,30641770494
2005-10-20,30691245904
2005-10-21,30427377051
2005-10-24,30641770494
2005-10-25,30691245904
2005-10-26,30394393445
2005-10-27,30295442625
2005-10-28,30559311477
2005-10-31,30542819674
2005-11-01,30641770494
2005-11-02,30410885248
2005-11-03,30427377051
2005-11-04,30493344264
2005-11-07,30575803281
2005-11-08,30988098363
2005-11-09,31153016395
2005-11-10,31482852461
2005-11-11,31614786887
2005-11-14,31598295084
2005-11-15,31301442625
2005-11-16,31350918035
2005-11-17,31317934428
2005-11-18,31598295084
2005-11-21,31697245904
2005-11-22,31812688527
2005-11-23,32439377051
2005-11-25,32488852461
2005-11-28,32126032789
2005-11-29,32126032789
2005-11-30,31218983609
2005-12-01,31977606559
2005-12-02,32076557379
2005-12-05,31895147543
2005-12-06,31763213117
2005-12-07,31317934428
2005-12-08,31664262297
2005-12-09,31532327871
2005-12-12,31862163936
2005-12-13,31697245904
2005-12-14,31218983609
2005-12-15,30938622953
2005-12-16,30707737707
2005-12-19,30575803281
2005-12-20,30311934428
2005-12-21,30394393445
2005-12-22,30658262297
2005-12-23,30295442625
2005-12-27,30097540986
2005-12-28,30443868854
2005-12-29,30559311477
2005-12-30,30394393445
2006-01-03,30262459018
2006-01-04,30163508199
2006-01-05,30048065576
2006-01-06,29850163936
2006-01-09,29701737707
2006-01-10,29652262297
2006-01-11,30015081969
2006-01-12,31186000002
2006-01-13,30971606559
2006-01-17,31070557379
2006-01-18,31350918035
2006-01-19,31367409838
2006-01-20,31037573772
2006-01-23,30938622953
2006-01-24,30905639346
2006-01-25,31037573772
2006-01-26,31383901641
2006-01-27,31598295084
2006-01-30,32373409838
2006-01-31,31763213117
2006-02-01,31565311477
