,PCAR
2002-01-30,5010371437
2002-01-31,5092125750
2002-02-01,4870221187
2002-02-04,4876060781
2002-02-05,5103804937
2002-02-06,5045409000
2002-02-07,5004531843
2002-02-08,5004531843
2002-02-11,5185559250
2002-02-12,5144682093
2002-02-13,5249794781
2002-02-14,5179719656
2002-02-15,5045409000
2002-02-19,5068767375
2002-02-20,5232276000
2002-02-21,5168040468
2002-02-22,5255634375
2002-02-25,5448340968
2002-02-26,5512576500
2002-02-27,5553453656
2002-02-28,5530095281
2002-03-01,5676085125
2002-03-04,6090696281
2002-03-05,5693603906
2002-03-06,5874631312
2002-03-07,5763679031
2002-03-08,5804556187
2002-03-11,5874631312
2002-03-12,5769518625
2002-03-13,5623528781
2002-03-14,5641047562
2002-03-15,5617689187
2002-03-18,5629368375
2002-03-19,5827914562
2002-03-20,5641047562
2002-03-21,5553453656
2002-03-22,5547614062
2002-03-25,5372426250
2002-03-26,5477538937
2002-03-27,5611849593
2002-03-28,5629368375
2002-04-01,5729352749
2002-04-02,5635716750
2002-04-03,5506967250
2002-04-04,5682534750
2002-04-05,5758614000
2002-04-08,5694239250
2002-04-09,5805432000
2002-04-10,5957590500
2002-04-11,5764466250
2002-04-12,5770318500
2002-04-15,5635716750
2002-04-16,5758614000
2002-04-17,5618160000
2002-04-18,5536228500
2002-04-19,5565489750
2002-04-22,5471853750
2002-04-23,5559637500
2002-04-24,5501115000
2002-04-25,5629864500
2002-04-26,5571342000
2002-04-29,5518671750
2002-04-30,5506967250
2002-05-01,5261172750
2002-05-02,5243616000
2002-05-03,5231911500
2002-05-06,5179241250
2002-05-07,5296286250
2002-05-08,5430888000
2002-05-09,5354808750
2002-05-10,5290433999
2002-05-13,5226059250
2002-05-14,5372365500
2002-05-15,5536228500
2002-05-16,5477706000
2002-05-17,5448444750
2002-05-20,5425035750
2002-05-21,5313843000
2002-05-22,5448444750
2002-05-23,5471853750
2002-05-24,5460149250
2002-05-28,5407479000
2002-05-29,5313843000
2002-05-30,5109014250
2002-05-31,5114866500
2002-06-03,5032935000
2002-06-04,4863219750
2002-06-05,4974412500
2002-06-06,4798845000
2002-06-07,4945151250
2002-06-10,4933446750
2002-06-11,4880776500
2002-06-12,4880776500
2002-06-13,4675947750
2002-06-14,4599868500
2002-06-17,4792992750
2002-06-18,4845663000
2002-06-19,4851515249
2002-06-20,4886628750
2002-06-21,4951003500
2002-06-24,5044639500
2002-06-25,4921742250
2002-06-26,4951003500
2002-06-27,5114866500
2002-06-28,5132423250
2002-07-01,4967001000
2002-07-02,4855712062
2002-07-03,4767852375
2002-07-05,5078289937
2002-07-08,4890855937
2002-07-09,4820568187
2002-07-10,4709279249
2002-07-11,4761995062
2002-07-12,4674135375
2002-07-15,4568703750
2002-07-16,4363697812
2002-07-17,4305124687
2002-07-18,4228979625
2002-07-19,4105976062
2002-07-22,3988829812
2002-07-23,3941971312
2002-07-24,4269980812
2002-07-25,4234836937
2002-07-26,4316839312
2002-07-29,4592133000
2002-07-30,4533559875
2002-07-31,4439842875
2002-08-01,4281695437
2002-08-02,4129405312
2002-08-05,3982972500
2002-08-06,4264123500
2002-08-07,4316839312
2002-08-08,4451557500
2002-08-09,4433985562
2002-08-12,4439842875
2002-08-13,4422270937
2002-08-14,4545274500
2002-08-15,4527702562
2002-08-16,4299267375
2002-08-19,4480844062
2002-08-20,4416413625
2002-08-21,4480844062
2002-08-22,4551131812
2002-08-23,4439842875
2002-08-26,4510130625
2002-08-27,4363697812
2002-08-28,4141119937
2002-08-29,4023973687
2002-08-30,4082546812
2002-09-03,3795538500
2002-09-04,3994687125
2002-09-05,3836539687
2002-09-06,3959543250
2002-09-09,4064974875
2002-09-10,4076689500
2002-09-11,4047402937
2002-09-12,3982972500
2002-09-13,3971257875
2002-09-16,3971257875
2002-09-17,3930256687
2002-09-18,3918542062
2002-09-19,3871683562
2002-09-20,3859968937
2002-09-23,3766251937
2002-09-24,3625676437
2002-09-25,3748680000
2002-09-26,3941971312
2002-09-27,4059117562
2002-09-30,3903450750
2002-10-01,4184358750
2002-10-02,4043904750
2002-10-03,4049757000
2002-10-04,3956121000
2002-10-07,3850780500
2002-10-08,3792258000
2002-10-09,3575724750
2002-10-10,3844928250
2002-10-11,4038052500
2002-10-14,4043904750
2002-10-15,4354074000
2002-10-16,4248733500
2002-10-17,4488675750
2002-10-18,4798845000
2002-10-21,5126571000
2002-10-22,4670095500
2002-10-23,4898333250
2002-10-24,4880776500
2002-10-25,5038787250
2002-10-28,5027082750
2002-10-29,4951003500
2002-10-30,5003673750
2002-10-31,5103162000
2002-11-01,5208502500
2002-11-04,5231911500
2002-11-05,5161684500
2002-11-06,5226059250
2002-11-07,4980264750
2002-11-08,5015378250
2002-11-11,4763731500
2002-11-12,4886628750
2002-11-13,4956855750
2002-11-14,5138275500
2002-11-15,5296286250
2002-11-18,5226059250
2002-11-19,5220207000
2002-11-20,5325547500
2002-11-21,5664978000
2002-11-22,5547933000
2002-11-25,5518671750
2002-11-26,5577194250
2002-11-27,5723500500
2002-11-29,5664978000
2002-12-02,5647421250
2002-12-03,5407479000
2002-12-04,5518671750
2002-12-05,5466001500
2002-12-06,5483558250
2002-12-09,5348956500
2002-12-10,5430888000
2002-12-11,5425035750
2002-12-12,5430888000
2002-12-13,5267025000
2002-12-16,5477706000
2002-12-17,5389922250
2002-12-18,5331399750
2002-12-19,5278729500
2002-12-20,5372365500
2002-12-23,5425035750
2002-12-24,5419183500
2002-12-26,5419183500
2002-12-27,5290433999
2002-12-30,5348956500
2002-12-31,5355996750
2003-01-02,5573529000
2003-01-03,5532374250
2003-01-06,5585287500
2003-01-07,5573529000
2003-01-08,5432427000
2003-01-09,5561770500
2003-01-10,5502978000
2003-01-13,5508857250
2003-01-14,5567649750
2003-01-15,5467702500
2003-01-16,5473581750
2003-01-17,5332479750
2003-01-21,5226653250
2003-01-22,5015000250
2003-01-23,5226653250
2003-01-24,4997362500
2003-01-27,4973845500
2003-01-28,4991483250
2003-01-29,5062034250
2003-01-30,4944449250
2003-01-31,5032638000
2003-02-03,5144343750
2003-02-04,5491219500
2003-02-05,5502978000
2003-02-06,5455944000
2003-02-07,5403030750
2003-02-10,5485340250
2003-02-11,5455944000
2003-02-12,5444185500
2003-02-13,5420668500
2003-02-14,5591166750
2003-02-18,5644080000
2003-02-19,5620563000
2003-02-20,5591166750
2003-02-21,5638200750
2003-02-24,5532374250
2003-02-25,5585287500
2003-02-26,5408910000
2003-02-27,5532374250
2003-02-28,5579408250
2003-03-03,5526495000
2003-03-04,5403030750
2003-03-05,5450064750
2003-03-06,5467702500
2003-03-07,5538253500
2003-03-10,5350117500
2003-03-11,5238411750
2003-03-12,5320721250
2003-03-13,5626442250
2003-03-14,5626442250
2003-03-17,5943921750
2003-03-18,5973318000
2003-03-19,5967438750
2003-03-20,5902766999
2003-03-21,6090903000
2003-03-24,5932163250
2003-03-25,6090903000
2003-03-26,5979197250
2003-03-27,5985076500
2003-03-28,5996835000
2003-03-31,5858203500
2003-04-01,5899500000
2003-04-02,6312465000
2003-04-03,6359661000
2003-04-04,6395058000
2003-04-07,6277068000
2003-04-08,6306565500
2003-04-09,6306565500
2003-04-10,6253470000
2003-04-11,6277068000
2003-04-14,6430455000
2003-04-15,6566143500
2003-04-16,6566143500
2003-04-17,6690033000
2003-04-21,6666435000
2003-04-22,6867018000
2003-04-23,6884716500
2003-04-24,6872917500
2003-04-25,6719530500
2003-04-28,6831621000
2003-04-29,6837520500
2003-04-30,6796224000
2003-05-01,6772626000
2003-05-02,6908314500
2003-05-05,6908314500
2003-05-06,7091199000
2003-05-07,7102997999
2003-05-08,7049902500
2003-05-09,7097098500
2003-05-12,7268184000
2003-05-13,7226887500
2003-05-14,7215088500
2003-05-15,7274083500
2003-05-16,7167892500
2003-05-19,6973209000
2003-05-20,6955510499
2003-05-21,7032204000
2003-05-22,7220988000
2003-05-23,7197390000
2003-05-27,7421571000
2003-05-28,7421571000
2003-05-29,7433370000
2003-05-30,7687048500
2003-06-02,7651651500
2003-06-03,7687048500
2003-06-04,7852234500
2003-06-05,8041018500
2003-06-06,8017420500
2003-06-09,7993822500
2003-06-10,8064616500
2003-06-11,8312395500
2003-06-12,8442184500
2003-06-13,8164908000
2003-06-16,8235702000
2003-06-17,8306496000
2003-06-18,8170807500
2003-06-19,7964325000
2003-06-20,8017420500
2003-06-23,7970224500
2003-06-24,7958425500
2003-06-25,7911229500
2003-06-26,8076415500
2003-06-27,7881732000
2003-06-30,7907078250
2003-07-01,7889349375
2003-07-02,8267565375
2003-07-03,8243926875
2003-07-07,8480311875
2003-07-08,8580775500
2003-07-09,8409396375
2003-07-10,8326661625
2003-07-11,8456673375
2003-07-14,8462583000
2003-07-15,8492131125
2003-07-16,8492131125
2003-07-17,8415306000
2003-07-18,8574865875
2003-07-21,8450763750
2003-07-22,8580775500
2003-07-23,8592594750
2003-07-24,8320752000
2003-07-25,8645781375
2003-07-28,8539408125
2003-07-29,8698968000
2003-07-30,8675329500
2003-07-31,9018087750
2003-08-01,8976720375
2003-08-04,9148099500
2003-08-05,9012178125
2003-08-06,8953081875
2003-08-07,9059455125
2003-08-08,9065364750
2003-08-11,9165828375
2003-08-12,9266292000
2003-08-13,9307659375
2003-08-14,9437671125
2003-08-15,9532225125
2003-08-18,9821796750
2003-08-19,9969537375
2003-08-20,9969537375
2003-08-21,10158645375
2003-08-22,10004995125
2003-08-25,9904531500
2003-08-26,9857254500
2003-08-27,9821796750
2003-08-28,9833616000
2003-08-29,9963627750
2003-09-02,10046362500
2003-09-03,10016814375
2003-09-04,10099549125
2003-09-05,9804067875
2003-09-08,9845435250
2003-09-09,9573592500
2003-09-10,9319478625
2003-09-11,9295840125
2003-09-12,9372665250
2003-09-15,9372665250
2003-09-16,9502676999
2003-09-17,9443580750
2003-09-18,9502676999
2003-09-19,9402213375
2003-09-22,9284020875
2003-09-23,9390394125
2003-09-24,9006268500
2003-09-25,8899895250
2003-09-26,8722606500
2003-09-29,8799431625
2003-09-30,8666365500
2003-10-01,8973139500
2003-10-02,8967240000
2003-10-03,9132426000
2003-10-06,9215019000
2003-10-07,9238617000
2003-10-08,9191421000
2003-10-09,9344808000
2003-10-10,9256315500
2003-10-13,9427401000
2003-10-14,9415602000
2003-10-15,9315310500
2003-10-16,9173722500
2003-10-17,9032134500
2003-10-20,9126526500
2003-10-21,8920044000
2003-10-22,8802054000
2003-10-23,8866948500
2003-10-24,8819752500
2003-10-27,8878747500
2003-10-28,9061632000
2003-10-29,9114727500
2003-10-30,9185521500
2003-10-31,9215019000
2003-11-03,9250416000
2003-11-04,9232717500
2003-11-05,9179622000
2003-11-06,9144225000
2003-11-07,8896446000
2003-11-10,8707662000
2003-11-11,8613270000
2003-11-12,8778456000
2003-11-13,9126526500
2003-11-14,9091129500
2003-11-17,8967240000
2003-11-18,8813853000
2003-11-19,8937742500
2003-11-20,8890546500
2003-11-21,8866948500
2003-11-24,9179622000
2003-11-25,9315310500
2003-11-26,9368406000
2003-11-28,9350707500
2003-12-01,9539491500
2003-12-02,9539491500
2003-12-03,9403803000
2003-12-04,9386104500
2003-12-05,9232717500
2003-12-08,9433300500
2003-12-09,9374305500
2003-12-10,9397903500
2003-12-11,9580788000
2003-12-12,9539491500
2003-12-15,9456898500
2003-12-16,9498195000
2003-12-17,9521793000
2003-12-18,9686979000
2003-12-19,9722376000
2003-12-22,9852165000
2003-12-23,9911160000
2003-12-24,9799069500
2003-12-26,9810868500
2003-12-29,10005552000
2003-12-30,9976054500
2003-12-31,9956773125
2004-01-02,9820541249
2004-01-05,10122620625
2004-01-06,10235160000
2004-01-07,10395084375
2004-01-08,10341776250
2004-01-09,10158159375
2004-01-12,10098928125
2004-01-13,10081158750
2004-01-14,10004158125
2004-01-15,9998235000
2004-01-16,9909388125
2004-01-20,9696155625
2004-01-21,9767233125
2004-01-22,9719848125
2004-01-23,9601385625
2004-01-26,9554000625
2004-01-27,9518461875
2004-01-28,9245998125
2004-01-29,9240075000
2004-01-30,9204536250
2004-02-02,9536231250
2004-02-03,9654693750
2004-02-04,9642847500
2004-02-05,9761310000
2004-02-06,9944926875
2004-02-09,9814618125
2004-02-10,9731694375
2004-02-11,9796848750
2004-02-12,9790925625
2004-02-13,9631001250
2004-02-17,9779079375
2004-02-18,9625078125
2004-02-19,9530308125
2004-02-20,9536231250
2004-02-23,9429615000
2004-02-24,9453307500
2004-02-25,9441461250
2004-02-26,9648770625
2004-02-27,9725771250
2004-03-01,9767233125
2004-03-02,9702078750
2004-03-03,9500692500
2004-03-04,9358537500
2004-03-05,9459230625
2004-03-08,9358537500
2004-03-09,9322998750
2004-03-10,8902456875
2004-03-11,8772148125
2004-03-12,9240075000
2004-03-15,9009073125
2004-03-16,9293383125
2004-03-17,9583616250
2004-03-18,9619155000
2004-03-19,9518461875
2004-03-22,9441461250
2004-03-23,9334845000
2004-03-24,9364460625
2004-03-25,9607308750
2004-03-26,9577693125
2004-03-29,9808695000
2004-03-30,9950850000
2004-03-31,9799069500
2004-04-01,9840366000
2004-04-02,9964255500
2004-04-05,10241532000
2004-04-06,10282828500
2004-04-07,10212034500
2004-04-08,10076345999
2004-04-12,10182537000
2004-04-13,9946557000
2004-04-14,9964255500
2004-04-15,9946557000
2004-04-16,9958356000
2004-04-19,10153039500
2004-04-20,9917059500
2004-04-21,9999652500
2004-04-22,10453914000
2004-04-23,10442115000
2004-04-26,10265130000
2004-04-27,10265130000
2004-04-28,9928858499
2004-04-29,9645682500
2004-04-30,9875763000
2004-05-03,9934758000
2004-05-04,9922959000
2004-05-05,9887562000
2004-05-06,9716476500
2004-05-07,9545391000
2004-05-10,9262215000
2004-05-11,9480496500
2004-05-12,9574888500
2004-05-13,9509994000
2004-05-14,9450999000
2004-05-17,9238617000
2004-05-18,9380205000
2004-05-19,9291712500
2004-05-20,9032134500
2004-05-21,9185521500
2004-05-24,9397903500
2004-05-25,9592587000
2004-05-26,9692878500
2004-05-27,9793170000
2004-05-28,9751873500
2004-06-01,9946557000
2004-06-02,9952456500
2004-06-03,9893461500
2004-06-04,9799069500
2004-06-07,9934758000
2004-06-08,9840366000
2004-06-09,9604386000
2004-06-10,9734175000
2004-06-14,9527692500
2004-06-15,9616185000
2004-06-16,9551290500
2004-06-17,9568989000
2004-06-18,9563089500
2004-06-21,9539491500
2004-06-22,9722376000
2004-06-23,9922959000
2004-06-24,9928858499
2004-06-25,10011451500
2004-06-28,10011451500
2004-06-29,10058647500
2004-06-30,10083156750
2004-07-01,9883606500
2004-07-02,9631234125
2004-07-06,9584281124
2004-07-07,9660579750
2004-07-08,9642972375
2004-07-09,9813177000
2004-07-12,9748616625
2004-07-13,9631234125
2004-07-14,9631234125
2004-07-15,9807307875
2004-07-16,9748616625
2004-07-19,9912952125
2004-07-20,9907083000
2004-07-21,9666448875
2004-07-22,9466898625
2004-07-23,9789700500
2004-07-26,10212277500
2004-07-27,10241623125
2004-07-28,10212277500
2004-07-29,10447042500
2004-07-30,10429435125
2004-08-02,10734629625
2004-08-03,10435304250
2004-08-04,10511602875
2004-08-05,10235754000
2004-08-06,10089025875
2004-08-09,10071418500
2004-08-10,10382482125
2004-08-11,10341398250
2004-08-12,10100764125
2004-08-13,9965774250
2004-08-16,10276837875
2004-08-17,10171193624
2004-08-18,10229884875
2004-08-19,10106633250
2004-08-20,10182931875
2004-08-23,10194670125
