,ALK
2001-09-04,862765560
2001-09-05,857197620
2001-09-06,837312120
2001-09-07,811328400
2001-09-10,804699900
2001-09-17,574823520
2001-09-18,562096800
2001-09-19,547779240
2001-09-20,506417400
2001-09-21,479373119
2001-09-24,499788900
2001-09-25,480963960
2001-09-26,471949200
2001-09-27,469297800
2001-09-28,529484579
2001-10-01,525274200
2001-10-02,561353640
2001-10-03,610167000
2001-10-04,596106630
2001-10-05,577005750
2001-10-08,561618930
2001-10-09,554456100
2001-10-10,581250390
2001-10-11,608575260
2001-10-12,557109000
2001-10-15,569047050
2001-10-16,573291690
2001-10-17,532702319
2001-10-18,522886590
2001-10-19,543048630
2001-10-22,580189230
2001-10-23,623431500
2001-10-24,612819900
2001-10-25,614146350
2001-10-26,634043100
2001-10-29,636696000
2001-10-30,640940640
2001-10-31,647307600
2001-11-01,655001010
2001-11-02,656592750
2001-11-05,667204350
2001-11-06,672510150
2001-11-07,701692050
2001-11-08,708589590
2001-11-09,677285370
2001-11-12,668530800
2001-11-13,710977200
2001-11-14,732200400
2001-11-15,713895390
2001-11-16,702222630
2001-11-19,750770700
2001-11-20,740159100
2001-11-21,749444250
2001-11-23,785523690
2001-11-26,771728610
2001-11-27,748648380
2001-11-28,731669820
2001-11-29,771993900
2001-11-30,760055850
2001-12-03,761647590
2001-12-04,761382300
2001-12-05,781544340
2001-12-06,778626150
2001-12-07,808869210
2001-12-10,783401370
2001-12-11,781279050
2001-12-12,798522900
2001-12-13,789503040
2001-12-14,782605500
2001-12-17,758464110
2001-12-18,782340210
2001-12-19,777299700
2001-12-20,760055850
2001-12-21,801441090
2001-12-24,767749260
2001-12-26,749178960
2001-12-27,762974040
2001-12-28,777830280
2001-12-31,772081200
2002-01-02,768632040
2002-01-03,795960000
2002-01-04,846105480
2002-01-07,831778200
2002-01-08,837084600
2002-01-09,843717600
2002-01-10,833104800
2002-01-11,806838120
2002-01-14,777387600
2002-01-15,816920280
2002-01-16,807368760
2002-01-17,785347200
2002-01-18,780040800
2002-01-22,760141800
2002-01-23,814001760
2002-01-24,807368760
2002-01-25,819042840
2002-01-28,818512200
2002-01-29,803919600
2002-01-30,819573480
2002-01-31,813471120
2002-02-01,818246880
2002-02-04,785081880
2002-02-05,794898720
2002-02-06,763590960
2002-02-07,752712840
2002-02-08,775265040
2002-02-11,771285240
2002-02-12,780040800
2002-02-13,761999040
2002-02-14,742100040
2002-02-15,764917560
2002-02-19,763856280
2002-02-20,794368080
2002-02-21,821961360
2002-02-22,803919600
2002-02-25,815063040
2002-02-26,828063720
2002-02-27,848228040
2002-02-28,823818600
2002-03-01,851942520
2002-03-04,887495400
2002-03-05,835758000
2002-03-06,882189000
2002-03-07,859636800
2002-03-08,881127720
2002-03-11,891475200
2002-03-12,886168800
2002-03-13,876351960
2002-03-14,878209200
2002-03-15,886168800
2002-03-18,894924359
2002-03-19,871576200
2002-03-20,859636800
2002-03-21,843717600
2002-03-22,863616599
2002-03-25,832574160
2002-03-26,875556000
2002-03-27,874229400
2002-03-28,883250280
2002-04-01,865464800
2002-04-02,819005800
2002-04-03,812368800
2002-04-04,821660600
2002-04-05,825642800
2002-04-08,820864160
2002-04-09,825377320
2002-04-10,849536000
2002-04-11,828297600
2002-04-12,858296840
2002-04-15,833341720
2002-04-16,850863399
2002-04-17,837589400
2002-04-18,820333200
2002-04-19,829890480
2002-04-22,822988000
2002-04-23,819005800
2002-04-24,824049920
2002-04-25,816351000
2002-04-26,817678400
2002-04-29,800953160
2002-04-30,813165240
2002-05-01,817147440
2002-05-02,812103320
2002-05-03,795643560
2002-05-06,783696960
2002-05-07,769892000
2002-05-08,771750360
2002-05-09,756352520
2002-05-10,721840120
2002-05-13,736972480
2002-05-14,765909800
2002-05-15,768299120
2002-05-16,755290600
2002-05-17,768033640
2002-05-20,757148960
2002-05-21,750511960
2002-05-22,749450040
2002-05-23,753166760
2002-05-24,751308400
2002-05-28,751308400
2002-05-29,747857160
2002-05-30,735379600
2002-05-31,739361800
2002-06-03,717326960
2002-06-04,695823080
2002-06-05,696885000
2002-06-06,699805280
2002-06-07,692902800
2002-06-10,719981760
2002-06-11,709097080
2002-06-12,715999560
2002-06-13,692371840
2002-06-14,676974000
2002-06-17,703522000
2002-06-18,708566120
2002-06-19,684938400
2002-06-20,693964720
2002-06-21,696354040
2002-06-24,691575400
2002-06-25,677770440
2002-06-26,664761920
2002-06-27,678301400
2002-06-28,692902800
2002-07-01,650891400
2002-07-02,619405190
2002-07-03,623638630
2002-07-05,643747470
2002-07-08,633163870
2002-07-09,621521910
2002-07-10,597973400
2002-07-11,584743900
2002-07-12,581039640
2002-07-15,580775050
2002-07-16,572837350
2002-07-17,572043580
2002-07-18,559607850
2002-07-19,539763600
2002-07-22,519919349
2002-07-23,545319990
2002-07-24,561989160
2002-07-25,566222600
2002-07-26,582098000
2002-07-29,633957640
2002-07-30,624961580
2002-07-31,621786500
2002-08-01,616494700
2002-08-02,587389800
2002-08-05,569133090
2002-08-06,583420950
2002-08-07,596915040
2002-08-08,631047150
2002-08-09,626813710
2002-08-12,597973400
2002-08-13,602206840
2002-08-14,628665840
2002-08-15,624167810
2002-08-16,641366160
2002-08-19,643747470
2002-08-20,648245500
2002-08-21,688463180
2002-08-22,713599230
2002-08-23,688463180
2002-08-26,672058600
2002-08-27,659887460
2002-08-28,647187140
2002-08-29,653537300
2002-08-30,646393370
2002-09-03,624432400
2002-09-04,644012060
2002-09-05,602206840
2002-09-06,643218290
2002-09-09,647716320
2002-09-10,601148480
2002-09-11,603794380
2002-09-12,597973400
2002-09-13,591358650
2002-09-16,596385860
2002-09-17,593210780
2002-09-18,577599970
2002-09-19,560666210
2002-09-20,563576700
2002-09-23,548230480
2002-09-24,514892140
2002-09-25,506425260
2002-09-26,525475740
2002-09-27,457740700
2002-09-30,470023500
2002-10-01,484894300
2002-10-02,456746000
2002-10-03,441344100
2002-10-04,424880000
2002-10-07,418506800
2002-10-08,425676650
2002-10-09,374691050
2002-10-10,383719750
2002-10-11,418772350
2002-10-14,424348900
2002-10-15,466040250
2002-10-16,435236450
2002-10-17,465774700
2002-10-18,452497200
2002-10-21,487018700
2002-10-22,468430200
2002-10-23,564824850
2002-10-24,572260250
2002-10-25,585537750
2002-10-28,580226750
2002-10-29,577305700
2002-10-30,582882250
2002-10-31,574650200
2002-11-01,595097550
2002-11-04,600143000
2002-11-05,593769800
2002-11-06,629884600
2002-11-07,621387000
2002-11-08,608906150
2002-11-11,581554500
2002-11-12,587927700
2002-11-13,588458800
2002-11-14,594832000
2002-11-15,593504250
2002-11-18,597487500
2002-11-19,570932500
2002-11-20,541722000
2002-11-21,581288950
2002-11-22,582882250
2002-11-25,570401400
2002-11-26,549688500
2002-11-27,569073650
2002-11-29,562169350
2002-12-02,570932500
2002-12-03,537473200
2002-12-04,535083249
2002-12-05,576509050
2002-12-06,609437250
2002-12-09,585006650
2002-12-10,596159750
2002-12-11,600674100
2002-12-12,611561650
2002-12-13,596690850
2002-12-16,604391800
2002-12-17,594832000
2002-12-18,576243500
2002-12-19,564824850
2002-12-20,571463600
2002-12-23,561638250
2002-12-24,570932500
2002-12-26,568277000
2002-12-27,557920550
2002-12-30,557123900
2002-12-31,575500300
2003-01-02,586930560
2003-01-03,598095000
2003-01-06,615373300
2003-01-07,628664300
2003-01-08,626271920
2003-01-09,632119960
2003-01-10,625208640
2003-01-13,635309800
2003-01-14,637702180
2003-01-15,635841440
2003-01-16,622550440
2003-01-17,610588540
2003-01-21,579753420
2003-01-22,556627080
2003-01-23,560082740
2003-01-24,542006980
2003-01-27,521804660
2003-01-28,534032380
2003-01-29,530310900
2003-01-30,524994500
2003-01-31,525526140
2003-02-03,511437679
2003-02-04,510906039
2003-02-05,516754080
2003-02-06,516754080
2003-02-07,499209960
2003-02-10,511171860
2003-02-11,498678320
2003-02-12,490703720
2003-02-13,468640660
2003-02-14,482463299
2003-02-18,490703720
2003-02-19,476349440
2003-02-20,483792400
2003-02-21,491235360
2003-02-24,460931880
2003-02-25,480602559
2003-02-26,478741820
2003-02-27,469172299
2003-02-28,482463299
2003-03-03,509576940
2003-03-04,482197480
2003-03-05,494159380
2003-03-06,488577160
2003-03-07,507716200
2003-03-10,489108799
2003-03-11,458539500
2003-03-12,463855900
2003-03-13,490437900
2003-03-14,503728900
2003-03-17,510374400
2003-03-18,455881299
2003-03-19,436476440
