,AJG
2001-08-06,2254433150
2001-08-07,2297673500
2001-08-08,2332435350
2001-08-09,2348544500
2001-08-10,2375675700
2001-08-13,2382458500
2001-08-14,2372284300
2001-08-15,2338370300
2001-08-16,2331587500
2001-08-17,2290890700
2001-08-20,2335826750
2001-08-21,2295977800
2001-08-22,2331587500
2001-08-23,2307847700
2001-08-24,2326500400
2001-08-27,2326500400
2001-08-28,2314630500
2001-08-29,2275629400
2001-08-30,2295977800
2001-08-31,2247650350
2001-09-04,2344305250
2001-09-05,2365501500
2001-09-06,2290042850
2001-09-07,2277325100
2001-09-10,2226454100
2001-09-17,2573224750
2001-09-18,2543550000
2001-09-19,2669031800
2001-09-20,2738555499
2001-09-21,2635965650
2001-09-24,2585942500
2001-09-25,2626639300
2001-09-26,2800448550
2001-09-27,2857254500
2001-09-28,2869972250
2001-10-01,2935769236
2001-10-02,2957355774
2001-10-03,3092919236
2001-10-04,3039384620
2001-10-05,3101553851
2001-10-08,3216394236
2001-10-09,3155951928
2001-10-10,3149907697
2001-10-11,3143863467
2001-10-12,3199125005
2001-10-15,3203442313
2001-10-16,3213803851
2001-10-17,3227619236
2001-10-18,3229346159
2001-10-19,3244025005
2001-10-22,3281153852
2001-10-23,3269928851
2001-10-24,3307057698
2001-10-25,3294969236
2001-10-26,3274246159
2001-10-29,3250932698
2001-10-30,3180128851
2001-10-31,3155088467
2001-11-01,3189626928
2001-11-02,3141273082
2001-11-05,3124867313
2001-11-06,3202578851
2001-11-07,3149044236
2001-11-08,3107598082
2001-11-09,2986713466
2001-11-12,2908138466
2001-11-13,2963400005
2001-11-14,2947857697
2001-11-15,2921953851
2001-11-16,2909865389
2001-11-19,2960809620
2001-11-20,3001392313
2001-11-21,3053200005
2001-11-23,3042838466
2001-11-26,3070469236
2001-11-27,3073923082
2001-11-28,3101553851
2001-11-29,3162859621
2001-11-30,3151634621
2001-12-03,3154225005
2001-12-04,3174084621
2001-12-05,3128321159
2001-12-06,3128321159
2001-12-07,3145590390
2001-12-10,3111915390
2001-12-11,3101553851
2001-12-12,3025569236
2001-12-13,2937496159
2001-12-14,2961673082
2001-12-17,2982396159
2001-12-18,2997075005
2001-12-19,2989303851
2001-12-20,2974625005
2001-12-21,2983259620
2001-12-24,2977215389
2001-12-26,2987576928
2001-12-27,3020388466
2001-12-28,3009163466
2001-12-31,2945618450
2002-01-02,2898645700
2002-01-03,2843986499
2002-01-04,2802992100
2002-01-07,2721003300
2002-01-08,2665490050
2002-01-09,2679154850
2002-01-10,2778224650
2002-01-11,2854235100
2002-01-14,2814948800
2002-01-15,2852527000
2002-01-16,2839716250
2002-01-17,2799575900
2002-01-18,2869608000
2002-01-22,2903770000
2002-01-23,2826905500
2002-01-24,2867899900
2002-01-25,2895229500
2002-01-28,2839716250
2002-01-29,2790181350
2002-01-30,2808970450
2002-01-31,2818365000
2002-02-01,2874732299
2002-02-04,2855089150
2002-02-05,2916580750
2002-02-06,2928537450
2002-02-07,2958429200
2002-02-08,3001985750
2002-02-11,2998569550
2002-02-12,2996007400
2002-02-13,3091661000
2002-02-14,3144612100
2002-02-15,3057498999
2002-02-19,3029315350
2002-02-20,3038709900
2002-02-21,2942202250
2002-02-22,2922559100
2002-02-25,2972093999
2002-02-26,2934515800
2002-02-27,2967823750
2002-02-28,2977218300
2002-03-01,2972093999
2002-03-04,2996861450
2002-03-05,2982342600
2002-03-06,2964407550
2002-03-07,2895229500
2002-03-08,2861067500
2002-03-11,2815802850
2002-03-12,2815802850
2002-03-13,2848256750
2002-03-14,2853381049
2002-03-15,2896083549
2002-03-18,2830321700
2002-03-19,2848256750
2002-03-20,2818365000
2002-03-21,2822635249
2002-03-22,2806408300
2002-03-25,2758581499
2002-03-26,2760289600
2002-03-27,2805554250
2002-03-28,2798721850
2002-04-01,2897374831
2002-04-02,2923883292
2002-04-03,2919465215
2002-04-04,2971598522
2002-04-05,3090002983
2002-04-08,3116511445
2002-04-09,3138601829
2002-04-10,3172179214
2002-04-11,3114744214
2002-04-12,3134183752
2002-04-15,3074097907
2002-04-16,3055541984
2002-04-17,3074981522
2002-04-18,3122696752
2002-04-19,3113860599
2002-04-22,3113860599
2002-04-23,3160692214
2002-04-24,3079399599
2002-04-25,3100606368
2002-04-26,3093537445
2002-04-29,3071447060
2002-04-30,3189851521
2002-05-01,3143019906
2002-05-02,3200454906
2002-05-03,3195153214
2002-05-06,3158041368
2002-05-07,3092653830
2002-05-08,3121813137
2002-05-09,3098839137
2002-05-10,3066145368
2002-05-13,3092653830
2002-05-14,3168644752
2002-05-15,3118278676
2002-05-16,3163343060
2002-05-17,3257006290
2002-05-20,3211941906
2002-05-21,3170411983
2002-05-22,3124463983
2002-05-23,3152739675
2002-05-24,3106791676
2002-05-28,3088235753
2002-05-29,3158924983
2002-05-30,3120045906
2002-05-31,3114744214
2002-06-03,3102373599
2002-06-04,3030800753
2002-06-05,3079399599
2002-06-06,3030800753
2002-06-07,3041404137
2002-06-10,3056425599
2002-06-11,2999874215
2002-06-12,3004292292
2002-06-13,2930068600
2002-06-14,3020197368
2002-06-17,3023731830
2002-06-18,3083817676
2002-06-19,3048473061
2002-06-20,3044938599
2002-06-21,3021964599
2002-06-24,3066145368
2002-06-25,3018430138
2002-06-26,3012244830
2002-06-27,3017546522
2002-06-28,3061727291
2002-07-01,3020949000
2002-07-02,2912586000
2002-07-03,2841225000
2002-07-05,2912586000
2002-07-08,2865893000
2002-07-09,2843868000
2002-07-10,2768102000
2002-07-11,2760173000
2002-07-12,2707313000
2002-07-15,2651810000
2002-07-16,2687050000
2002-07-17,2709075000
2002-07-18,2592783000
2002-07-19,2290600000
2002-07-22,1999870000
2002-07-23,2109114000
2002-07-24,2241264000
2002-07-25,2276504000
2002-07-26,2357556000
2002-07-29,2466800000
2002-07-30,2569877000
2002-07-31,2591021000
2002-08-01,2537280000
2002-08-02,2467681000
2002-08-05,2422750000
2002-08-06,2432441000
2002-08-07,2465919000
2002-08-08,2570758000
2002-08-09,2577806000
2002-08-12,2562829000
2002-08-13,2502921000
2002-08-14,2572520000
2002-08-15,2643000000
2002-08-16,2625380000
2002-08-19,2625380000
2002-08-20,2618332000
2002-08-21,2648286000
2002-08-22,2641238000
2002-08-23,2577806000
2002-08-26,2601593000
2002-08-27,2559305000
2002-08-28,2519660000
2002-08-29,2559305000
2002-08-30,2551376000
2002-09-03,2497635000
2002-09-04,2456228000
2002-09-05,2220120000
2002-09-06,2308220000
2002-09-09,2334650000
2002-09-10,2365485000
2002-09-11,2308220000
2002-09-12,2278266000
2002-09-13,2308220000
2002-09-16,2302934000
2002-09-17,2281790000
2002-09-18,2289719000
2002-09-19,2228930000
2002-09-20,2220120000
2002-09-23,2178713000
2002-09-24,2126734000
2002-09-25,2165498000
2002-09-26,2199857000
2002-09-27,2181356000
2002-09-30,2275384607
2002-10-01,2376923069
2002-10-02,2325230761
2002-10-03,2238461531
2002-10-04,2141538454
2002-10-07,2082461531
2002-10-08,2137846146
2002-10-09,2039999993
2002-10-10,2153538454
2002-10-11,2342769222
2002-10-14,2321538453
2002-10-15,2409230761
2002-10-16,2343692299
2002-10-17,2366769222
2002-10-18,2363076915
2002-10-21,2411999991
2002-10-22,2388923068
2002-10-23,2332615376
2002-10-24,2450769222
2002-10-25,2515384607
2002-10-28,2497846145
2002-10-29,2409230761
2002-10-30,2433230761
2002-10-31,2475692299
2002-11-01,2480307684
2002-11-04,2473846145
2002-11-05,2499692299
2002-11-06,2493230760
2002-11-07,2451692299
2002-11-08,2458153837
2002-11-11,2487692299
2002-11-12,2459999991
2002-11-13,2428615376
2002-11-14,2450769222
2002-11-15,2523692299
2002-11-18,2459999991
2002-11-19,2442461530
2002-11-20,2503384607
2002-11-21,2519999991
2002-11-22,2531999991
2002-11-25,2576307683
2002-11-26,2555076914
2002-11-27,2607692299
2002-11-29,2600307683
2002-12-02,2690769221
2002-12-03,2655692298
2002-12-04,2696307683
2002-12-05,2682461529
2002-12-06,2684307683
2002-12-09,2641846145
2002-12-10,2697230760
2002-12-11,2750769221
2002-12-12,2691692298
2002-12-13,2670461529
2002-12-16,2733230760
2002-12-17,2699999991
2002-12-18,2654769221
2002-12-19,2639999991
2002-12-20,2675076914
2002-12-23,2678769221
2002-12-24,2657538452
2002-12-26,2681538452
2002-12-27,2651999991
2002-12-30,2649230760
2002-12-31,2711999990
2003-01-02,2735076913
2003-01-03,2713846144
2003-01-06,2732307683
2003-01-07,2679692298
2003-01-08,2664923068
2003-01-09,2692615375
2003-01-10,2661230760
2003-01-13,2655692298
2003-01-14,2662153837
2003-01-15,2636307683
2003-01-16,2588307683
2003-01-17,2616923068
2003-01-21,2538461530
2003-01-22,2455384607
2003-01-23,2499692299
2003-01-24,2449846145
2003-01-27,2408307684
2003-01-28,2471999991
2003-01-29,2469230761
2003-01-30,2314153838
2003-01-31,2330769223
2003-02-03,2306769223
2003-02-04,2256923069
2003-02-05,2263384607
2003-02-06,2252307684
2003-02-07,2226461531
2003-02-10,2261538454
2003-02-11,2239384607
2003-02-12,2164615377
2003-02-13,2187692300
2003-02-14,2217230761
2003-02-18,2233846146
2003-02-19,2210769223
2003-02-20,2199692300
2003-02-21,2238461531
2003-02-24,2219999992
2003-02-25,2248615377
2003-02-26,2218153838
2003-02-27,2257846146
2003-02-28,2258769223
2003-03-03,2268923069
2003-03-04,2243999992
2003-03-05,2259692300
2003-03-06,2247692300
2003-03-07,2245846146
2003-03-10,2233846146
2003-03-11,2229230761
2003-03-12,2189538454
2003-03-13,2241230761
2003-03-14,2252307684
2003-03-17,2303999992
2003-03-18,2309538453
2003-03-19,2355692299
2003-03-20,2399999992
2003-03-21,2448923068
2003-03-24,2306769223
2003-03-25,2330769223
2003-03-26,2307692300
2003-03-27,2291999992
2003-03-28,2295692300
2003-03-31,2221775000
2003-04-01,2230825000
2003-04-02,2312275000
2003-04-03,2301415000
2003-04-04,2340330000
2003-04-07,2319515000
2003-04-08,2323135000
2003-04-09,2307750000
2003-04-10,2307750000
2003-04-11,2337615000
2003-04-14,2376530000
2003-04-15,2366575000
2003-04-16,2381055000
2003-04-17,2394630000
2003-04-21,2358430000
2003-04-22,2391010000
2003-04-23,2425400000
2003-04-24,2179240000
2003-04-25,2263405000
2003-04-28,2271550000
2003-04-29,2272455000
2003-04-30,2261595000
2003-05-01,2219965000
2003-05-02,2262500000
2003-05-05,2235350000
2003-05-06,2256165000
2003-05-07,2271550000
2003-05-08,2262500000
2003-05-09,2276980000
2003-05-12,2312275000
2003-05-13,2286935000
2003-05-14,2303225000
2003-05-15,2342140000
2003-05-16,2355715000
2003-05-19,2345760000
2003-05-20,2343950000
2003-05-21,2333995000
2003-05-22,2403680000
2003-05-23,2403680000
2003-05-27,2445310000
2003-05-28,2434450000
2003-05-29,2416350000
2003-05-30,2466125000
2003-06-02,2493275000
2003-06-03,2452550000
2003-06-04,2461600000
2003-06-05,2541240000
2003-06-06,2497800000
2003-06-09,2425400000
2003-06-10,2497800000
2003-06-11,2529475000
2003-06-12,2526760000
2003-06-13,2526760000
2003-06-16,2624500000
2003-06-17,2590110000
2003-06-18,2599160000
2003-06-19,2579250000
2003-06-20,2581965000
2003-06-23,2563865000
2003-06-24,2559340000
2003-06-25,2557530000
2003-06-26,2557530000
2003-06-27,2521330000
2003-06-30,2463111123
2003-07-01,2438661123
2003-07-02,2443188900
2003-07-03,2441377789
2003-07-07,2458583345
2003-07-08,2458583345
2003-07-09,2445000012
2003-07-10,2327277789
2003-07-11,2351727789
2003-07-14,2340861122
2003-07-15,2291055566
2003-07-16,2270227788
2003-07-17,2254833344
2003-07-18,2268416677
2003-07-21,2243966677
2003-07-22,2264794455
2003-07-23,2409683345
2003-07-24,2431416678
2003-07-25,2426888900
2003-07-28,2449527789
2003-07-29,2443188900
2003-07-30,2448622234
2003-07-31,2402438900
2003-08-01,2369838900
2003-08-04,2358972233
2003-08-05,2347200011
2003-08-06,2349011122
2003-08-07,2358972233
2003-08-08,2404250011
2003-08-11,2431416678
2003-08-12,2440472234
2003-08-13,2433227789
2003-08-14,2417833345
2003-08-15,2443188900
2003-08-18,2456772234
2003-08-19,2470355567
2003-08-20,2457677789
2003-08-21,2438661123
2003-08-22,2399722234
2003-08-25,2422361123
2003-08-26,2426888900
2003-08-27,2426888900
2003-08-28,2431416678
2003-08-29,2445000012
2003-09-02,2473977789
2003-09-03,2540083345
2003-09-04,2546422234
2003-09-05,2524688901
2003-09-08,2548233345
2003-09-09,2544611123
2003-09-10,2512916679
2003-09-11,2540083345
2003-09-12,2544611123
2003-09-15,2512011123
2003-09-16,2539177790
2003-09-17,2535555568
2003-09-18,2610716679
2003-09-19,2600755568
2003-09-22,2584455568
2003-09-23,2611622235
2003-09-24,2538272234
2003-09-25,2579927790
2003-09-26,2543705568
2003-09-29,2538272234
2003-09-30,2558353480
2003-10-01,2629820922
2003-10-02,2583683712
2003-10-03,2560162782
2003-10-06,2576446503
2003-10-07,2577351154
2003-10-08,2544783713
2003-10-09,2537546503
2003-10-10,2477839527
2003-10-13,2514025573
2003-10-14,2505883713
2003-10-15,2499551155
2003-10-16,2567399992
2003-10-17,2515834875
2003-10-20,2474220922
2003-10-21,2495027899
2003-10-22,2433511620
2003-10-23,2494123248
2003-10-24,2500455806
2003-10-27,2519453480
2003-10-28,2570113945
2003-10-29,2604490689
2003-10-30,2600872085
2003-10-31,2640676736
2003-11-03,2682290689
2003-11-04,2687718596
2003-11-05,2682290689
2003-11-06,2713953480
2003-11-07,2713953480
2003-11-10,2727523247
2003-11-11,2751044177
2003-11-12,2782706968
2003-11-13,2790848828
2003-11-14,2775469758
2003-11-17,2869553479
2003-11-18,2797181386
2003-11-19,2876790688
2003-11-20,2853269758
2003-11-21,2821606968
2003-11-24,2804418596
2003-11-25,2794467433
2003-11-26,2813465107
2003-11-28,2831558130
2003-12-01,2875886037
2003-12-02,2894883712
2003-12-03,2865030223
2003-12-04,2878599991
2003-12-05,2865934874
2003-12-08,2893979060
2003-12-09,2904834874
2003-12-10,2911167432
2003-12-11,2953686037
2003-12-12,2931069758
2003-12-15,2883123246
2003-12-16,2881313944
2003-12-17,2864125572
2003-12-18,2854174409
2003-12-19,2858697665
2003-12-22,2855983712
2003-12-23,2869553479
2003-12-24,2889455805
2003-12-26,2890360456
2003-12-29,2917499991
2003-12-30,2925641851
2003-12-31,2939211618
2004-01-02,2890360456
2004-01-05,2922927897
2004-01-06,2860506967
2004-01-07,2868648828
2004-01-08,2902120921
2004-01-09,2878599991
2004-01-12,2865030223
2004-01-13,2881313944
2004-01-14,2918404642
2004-01-15,2890360456
2004-01-16,2901216270
2004-01-20,2922927897
2004-01-21,2902120921
2004-01-22,2889455805
2004-01-23,2893979060
2004-01-26,2903930223
2004-01-27,2950067432
2004-01-28,2892169758
2004-01-29,2847841851
2004-01-30,2829748828
2004-02-02,2900311618
2004-02-03,2840604642
2004-02-04,2865934874
2004-02-05,2901216270
2004-02-06,2922927897
2004-02-09,2926546502
2004-02-10,2918404642
2004-02-11,2935593014
2004-02-12,2996204641
2004-02-13,2971779060
2004-02-17,3063148827
2004-02-18,3039627897
2004-02-19,2994395339
2004-02-20,3009774409
2004-02-23,2962732549
2004-02-24,2972683711
2004-02-25,2987158130
2004-02-26,2980825572
2004-02-27,3044151153
2004-03-01,3040532548
2004-03-02,3044151153
2004-03-03,3044151153
2004-03-04,3017916269
2004-03-05,3017916269
2004-03-08,3023344176
2004-03-09,2986253479
2004-03-10,2961827897
2004-03-11,2922927897
2004-03-12,2940116270
2004-03-15,2917499991
2004-03-16,2922023246
2004-03-17,2926546502
2004-03-18,2922023246
2004-03-19,2910262781
2004-03-22,2926546502
2004-03-23,2899406967
2004-03-24,2867744177
2004-03-25,2908453479
2004-03-26,2849651154
2004-03-29,2894883712
2004-03-30,2938306967
2004-03-31,2944072553
2004-04-01,3008250984
2004-04-02,2980229416
2004-04-05,3017290200
2004-04-06,2983845102
2004-04-07,2967574514
2004-04-08,2971190200
2004-04-12,3022713730
2004-04-13,3008250984
2004-04-14,3007347063
2004-04-15,2962150984
2004-04-16,3000115690
2004-04-19,2962150984
2004-04-20,2928705886
2004-04-21,2940456867
2004-04-22,2982941181
2004-04-23,2928705886
2004-04-26,2901588239
2004-04-27,2966670592
2004-04-28,2939552945
2004-04-29,2924186278
2004-04-30,2913339220
2004-05-03,2914243141
2004-05-04,2897068631
2004-05-05,2888029416
2004-05-06,2869950984
2004-05-07,2804868631
2004-05-10,2817523533
2004-05-11,2813003925
2004-05-12,2844641180
2004-05-13,2807580396
2004-05-14,2793117651
2004-05-17,2763288239
2004-05-18,2764192161
2004-05-19,2774135298
2004-05-20,2797637259
2004-05-21,2775039219
2004-05-24,2757864710
2004-05-25,2840121572
2004-05-26,2838313729
2004-05-27,2865431376
2004-05-28,2878990200
2004-06-01,2890741180
2004-06-02,2866335298
2004-06-03,2857296082
2004-06-04,2876278435
2004-06-07,2883509808
2004-06-08,2907915690
2004-06-09,2832890200
2004-06-10,2836505886
2004-06-14,2829274514
2004-06-15,2842833337
2004-06-16,2826562749
2004-06-17,2851872553
2004-06-18,2838313729
2004-06-21,2847352945
2004-06-22,2852776474
2004-06-23,2837409808
2004-06-24,2830178435
2004-06-25,2829274514
2004-06-28,2827466670
2004-06-29,2758768631
2004-06-30,2807593225
2004-07-01,2803905089
2004-07-02,2796528818
2004-07-06,2841708479
2004-07-07,2866603395
2004-07-08,2843552547
2004-07-09,2827877971
2004-07-12,2813125428
2004-07-13,2832488140
2004-07-14,2806671191
2004-07-15,2784542378
2004-07-16,2770711869
2004-07-19,2742128818
2004-07-20,2757803394
2004-07-21,2779932208
2004-07-22,2712623733
2004-07-23,2673898310
2004-07-26,2747661022
2004-07-27,2793762717
2004-07-28,2857383056
2004-07-29,2844474581
2004-07-30,2855538988
2004-08-02,2880433903
2004-08-03,2861071191
2004-08-04,2859227123
2004-08-05,2853694920
2004-08-06,2833410174
2004-08-09,2858305090
2004-08-10,2886888140
2004-08-11,2897030513
2004-08-12,2892420344
2004-08-13,2885044073
2004-08-16,2903484751
2004-08-17,2905328818
2004-08-18,2911783056
2004-08-19,2911783056
2004-08-20,2919159327
2004-08-23,2898874581
2004-08-24,2905328818
2004-08-25,2918237293
