,DISH
2001-03-15,12685123782
2001-03-16,12625569211
2001-03-19,13459333215
2001-03-20,13131783070
2001-03-21,13310446786
2001-03-22,13191337642
2001-03-23,13042451213
2001-03-26,13370001357
2001-03-27,14054878933
2001-03-28,13310446786
2001-03-29,13310446786
2001-03-30,13191337642
2001-04-02,13642773357
2001-04-03,12627774902
2001-04-04,12329245944
2001-04-05,13553214670
2001-04-06,12747186485
2001-04-09,13493508879
2001-04-10,14458354469
2001-04-11,14716283011
2001-04-12,13880401930
2001-04-16,14090566794
2001-04-17,14544331287
2001-04-18,15189152879
2001-04-19,15189152879
2001-04-20,14893012631
2001-04-23,14305508121
2001-04-24,13818308384
2001-04-25,14830918130
2001-04-26,14797483365
2001-04-27,14577766052
2001-04-30,14310283629
2001-05-01,14807036292
2001-05-02,15427976045
2001-05-03,17639479040
2001-05-04,18394159290
2001-05-07,18164889528
2001-05-08,17577384539
2001-05-09,17687243196
2001-05-10,17682467210
2001-05-11,16574328198
2001-05-14,16612538949
2001-05-15,16383268709
2001-05-16,17128397943
2001-05-17,17620372709
2001-05-18,16980326624
2001-05-21,17472303779
2001-05-22,16851362115
2001-05-23,16254304200
2001-05-24,15905622377
2001-05-25,16249528214
2001-05-29,15437529450
2001-05-30,15093624091
2001-05-31,14611201295
2001-06-01,15117506407
2001-06-04,14854800925
2001-06-05,14615977759
2001-06-06,14081013867
2001-06-07,14568213126
2001-06-08,14902566036
2001-06-11,14171766670
2001-06-12,13474402548
2001-06-13,13273792043
2001-06-14,12729274747
2001-06-15,13111392291
2001-06-18,12337604755
2001-06-19,12877344633
2001-06-20,13746661912
2001-06-21,13870849958
2001-06-22,13560378887
2001-06-25,13593814131
2001-06-26,13803978994
2001-06-27,13856520091
2001-06-28,14377154593
2001-06-29,15485293128
2001-07-02,14179435442
2001-07-03,14092887034
2001-07-05,14347723078
2001-07-06,13799586686
2001-07-09,13559175776
2001-07-10,13366846087
2001-07-11,13828435514
2001-07-12,14472736751
2001-07-13,14126544561
2001-07-16,14270791587
2001-07-17,14429462788
2001-07-18,14410229434
2001-07-19,13934216314
2001-07-20,13996723631
2001-07-23,13573599950
2001-07-24,12736969985
2001-07-25,12919682757
2001-07-26,12708120676
2001-07-27,13636107267
2001-07-30,13414928750
2001-07-31,14304449115
2001-08-01,14467928533
2001-08-02,14597750905
2001-08-03,14636216651
2001-08-06,13842860649
2001-08-07,13963066104
2001-08-08,14107312169
2001-08-09,13987106714
2001-08-10,13818819078
2001-08-13,14001531850
2001-08-14,13679381231
2001-08-15,13246640632
2001-08-16,13140860313
2001-08-17,13025463076
2001-08-20,13458202713
2001-08-21,13039888212
2001-08-22,13434162103
2001-08-23,13328380341
2001-08-24,13910175223
2001-08-27,14155394832
2001-08-28,13804393942
2001-08-29,13703421841
2001-08-30,13362038830
2001-08-31,13539942423
2001-09-04,13261065768
2001-09-05,12309038566
2001-09-06,11515683045
2001-09-07,11429134637
2001-09-10,11890723583
2001-09-17,10645394591
2001-09-18,10020326707
2001-09-19,9842422154
2001-09-20,10001093354
2001-09-21,10539614272
2001-09-24,11106984018
2001-09-25,10328052672
2001-09-26,10255929399
2001-09-27,10544422490
2001-09-28,11188723728
2001-10-01,10658360259
2001-10-02,11087006970
2001-10-03,11558999448
2001-10-04,11457858684
2001-10-05,11506020218
2001-10-08,11149618217
2001-10-09,11294106192
2001-10-10,11766098188
2001-10-11,12064705192
2001-10-12,12064705192
2001-10-15,12295886144
2001-10-16,12796775638
2001-10-17,12103235190
2001-10-18,12093603654
2001-10-19,12281436913
2001-10-22,12589676417
2001-10-23,12555963150
2001-10-24,12112868171
2001-10-25,12714899392
2001-10-26,12165846919
2001-10-29,11597529446
2001-10-30,11144801486
2001-10-31,11168883698
2001-11-01,11038844472
2001-11-02,10971417457
2001-11-05,11294106192
2001-11-06,11742016457
2001-11-07,11814261167
2001-11-08,11847974434
2001-11-09,12165846919
2001-11-12,12189927686
2001-11-13,12387393926
2001-11-14,12363313159
2001-11-15,12392210658
2001-11-16,12440373155
2001-11-19,12397026907
2001-11-20,11982828946
2001-11-21,12030991925
2001-11-23,12045440674
2001-11-26,12469270172
2001-11-27,12488535653
2001-11-28,12377762390
2001-11-29,12536698632
2001-11-30,12748612659
2001-12-03,12464453923
2001-12-04,12743796409
2001-12-05,12873835635
2001-12-06,12878651884
2001-12-07,12652288145
2001-12-10,12445189405
2001-12-11,12502983921
2001-12-12,12811224388
2001-12-13,12474086904
2001-12-14,12483719403
2001-12-17,12522249402
2001-12-18,12787142657
2001-12-19,12700451125
2001-12-20,12748612659
2001-12-21,12854571117
2001-12-24,12888284384
2001-12-26,12965344380
2001-12-27,13013506878
2001-12-28,13148361390
2001-12-31,13230237636
2002-01-02,13846718088
2002-01-03,13721495594
2002-01-04,13769658092
2002-01-07,13928594334
2002-01-08,14145326056
2002-01-09,13991205100
2002-01-10,14130876825
2002-01-11,14183856054
2002-01-14,13697414827
2002-01-15,13697414827
2002-01-16,13292849365
2002-01-17,13235054367
2002-01-18,12902733615
2002-01-22,12801591888
2002-01-23,13162810621
2002-01-24,13244686867
2002-01-25,13485499356
2002-01-28,13567375602
2002-01-29,13114648123
2002-01-30,12999058129
2002-01-31,13148361390
2002-02-01,12999058129
2002-02-04,12372946140
2002-02-05,12040624425
2002-02-06,12045440674
2002-02-07,12083970672
2002-02-08,12344047678
2002-02-11,12474086904
2002-02-12,12223641434
2002-02-13,12112868171
2002-02-14,11650508675
2002-02-15,11111088219
2002-02-19,10759501986
2002-02-20,10932887459
2002-02-21,11091823701
2002-02-22,11029211973
2002-02-25,10932887459
2002-02-26,11703486459
2002-02-27,11366349457
2002-02-28,12580044880
2002-03-01,13003874379
2002-03-04,13384358592
2002-03-05,12912365151
2002-03-06,13201340619
2002-03-07,12589676417
2002-03-08,12893100634
2002-03-11,13292849365
2002-03-12,13129096873
2002-03-13,13220606100
2002-03-14,13268767634
2002-03-15,13442153108
2002-03-18,13702231077
2002-03-19,13548110121
2002-03-20,13369909361
2002-03-21,13769658092
2002-03-22,13784107323
2002-03-25,13654068097
2002-03-26,13750392611
2002-03-27,13697414827
2002-03-28,13639619348
2002-04-01,13658782388
2002-04-02,12930506432
2002-04-03,13128250104
2002-04-04,13374224421
2002-04-05,13364577906
2002-04-08,13354932838
2002-04-09,13282587592
2002-04-10,13359755854
2002-04-11,13190949799
2002-04-12,13557499526
2002-04-15,13277764576
2002-04-16,14155553075
2002-04-17,14121792442
2002-04-18,13707012551
2002-04-19,13682897952
2002-04-22,13364577906
2002-04-23,13658782388
2002-04-24,13528560463
2002-04-25,13224710913
2002-04-26,13094489471
2002-04-29,12790639439
2002-04-30,13118605035
2002-05-01,13316348707
2002-05-02,12665241013
2002-05-03,11980372687
2002-05-06,11854974262
2002-05-07,12298691769
2002-05-08,12472320840
2002-05-09,11835682678
2002-05-10,11613823443
2002-05-13,11763336468
2002-05-14,11859797278
2002-05-15,11753691400
2002-05-16,11883911878
2002-05-17,11826036163
2002-05-20,11879088861
2002-05-21,11840504730
2002-05-22,11936965540
2002-05-23,12231170021
2002-05-24,11975549671
2002-05-28,12009310786
2002-05-29,12105771113
2002-05-30,12308337801
2002-05-31,12149178743
2002-06-03,11821213147
2002-06-04,11792275531
2002-06-05,11618646459
2002-06-06,11440194371
2002-06-07,11575239312
2002-06-10,11121875289
2002-06-11,10851786855
2002-06-12,10596166504
2002-06-13,10774618592
2002-06-14,10938601149
2002-06-17,10736034461
2002-06-18,10673334766
2002-06-19,10393599816
2002-06-20,9443466072
2002-06-21,9134793506
2002-06-24,9101032391
2002-06-25,9043155712
2002-06-26,8194304829
2002-06-27,8324526271
2002-06-28,8951517918
2002-07-01,7982516857
2002-07-02,7968037807
2002-07-03,7741207414
2002-07-05,8764358969
2002-07-08,8383090532
2002-07-09,8252782950
2002-07-10,8117649662
2002-07-11,8474787155
2002-07-12,8445830505
2002-07-15,8204521062
2002-07-16,8103171578
2002-07-17,8479613827
2002-07-18,8161085362
2002-07-19,7852209275
2002-07-22,7721902176
2002-07-23,7041409546
2002-07-24,7577116510
2002-07-25,7181369023
2002-07-26,7282718989
2002-07-29,7799121197
2002-07-30,7813600246
2002-07-31,7871513548
2002-08-01,7171716645
2002-08-02,7330980878
2002-08-05,6833883425
2002-08-06,7552985565
2002-08-07,7577116510
2002-08-08,7461287977
2002-08-09,7688118853
2002-08-12,7649509343
2002-08-13,7615726021
2002-08-14,7413026088
2002-08-15,8204521062
2002-08-16,8885013691
2002-08-19,9242151666
2002-08-20,8976711279
2002-08-21,9131149323
2002-08-22,9343502115
2002-08-23,8938101768
2002-08-26,9097366001
2002-08-27,8831925131
2002-08-28,8465135743
2002-08-29,8614747115
2002-08-30,8590615688
2002-09-03,8310696734
2002-09-04,8614747115
2002-09-05,8286566272
2002-09-06,8445830505
2002-09-09,8566485226
2002-09-10,8711270409
2002-09-11,8807794669
2002-09-12,8576137604
2002-09-13,8368611483
2002-09-16,8276913894
2002-09-17,8339654832
2002-09-18,8397568616
2002-09-19,8339654832
2002-09-20,8450656693
2002-09-23,8397568616
2002-09-24,7741207414
2002-09-25,8368611483
2002-09-26,8431351455
2002-09-27,8547179988
2002-09-30,8355854087
2002-10-01,8326874727
2002-10-02,8215785331
2002-10-03,8210955358
2002-10-04,8186805972
2002-10-07,8220615305
2002-10-08,8312384323
2002-10-09,8215785331
2002-10-10,8196464953
2002-10-11,8346195105
2002-10-14,8157825163
2002-10-15,8307555315
2002-10-16,8191634980
2002-10-17,8268915525
2002-10-18,8181975998
2002-10-21,8210955358
2002-10-22,8273744533
2002-10-23,9152800720
2002-10-24,9210759922
2002-10-25,9780696823
2002-10-28,9563347522
2002-10-29,9655117506
2002-10-30,9573007952
2002-10-31,9848315972
2002-11-01,9534368162
2002-11-04,9877296781
2002-11-05,10017365536
2002-11-06,10167094239
2002-11-07,9853146429
2002-11-08,9659947480
2002-11-11,9413618819
2002-11-12,9659947480
2002-11-13,9708247217
2002-11-14,9181780079
2002-11-15,9273550063
2002-11-18,9123819911
2002-11-19,8974091208
2002-11-20,9104500499
2002-11-21,9408788845
2002-11-22,9568177495
2002-11-25,9616477716
2002-11-26,9442598178
2002-11-27,9737227059
2002-11-29,9857976403
2002-12-02,9983555720
2002-12-03,9611647742
2002-12-04,9539198136
2002-12-05,9490898399
2002-12-06,9471578987
2002-12-09,9201099491
2002-12-10,10186414617
2002-12-11,10490702480
2002-12-12,10345803751
2002-12-13,9780696823
2002-12-16,10210564003
2002-12-17,10529342270
2002-12-18,11007510636
2002-12-19,10973699854
2002-12-20,10722542185
2002-12-23,11152409365
2002-12-24,10891590300
2002-12-26,10877100862
2002-12-27,10611451823
2002-12-30,10485872506
2002-12-31,10751521545
2003-01-02,11244179349
2003-01-03,11543637238
2003-01-06,12321263010
2003-01-07,12060443945
2003-01-08,11591936976
2003-01-09,12099083735
2003-01-10,12664190663
2003-01-13,12649701708
2003-01-14,12997459334
2003-01-15,12698001445
2003-01-16,12804260384
2003-01-17,12446842327
2003-01-21,11954185006
2003-01-22,11905885269
2003-01-23,11915545216
2003-01-24,11384248105
2003-01-27,11442208273
2003-01-28,11973505384
2003-01-29,12205343640
2003-01-30,12171534307
2003-01-31,12533782338
2003-02-03,12553101750
2003-02-04,12287453677
2003-02-05,12108744166
2003-02-06,12239153457
2003-02-07,11930035620
2003-02-10,12369563231
2003-02-11,12142553499
2003-02-12,12021804155
2003-02-13,11838265636
2003-02-14,12123234087
2003-02-18,12717320857
2003-02-19,12789770463
2003-02-20,12760790621
2003-02-21,12847730148
2003-02-24,12591741540
2003-02-25,12799430411
2003-02-26,12707660426
2003-02-27,12630381330
2003-02-28,12717320857
2003-03-03,12533782338
2003-03-04,13354877391
2003-03-05,13891004476
2003-03-06,14031073231
2003-03-07,13886174502
2003-03-10,13900664906
2003-03-11,13765425159
2003-03-12,13775085106
2003-03-13,14209782743
2003-03-14,14103523803
2003-03-17,14354681472
2003-03-18,14518900579
2003-03-19,14282232349
2003-03-20,14330532086
2003-03-21,14683120169
2003-03-24,14171142953
2003-03-25,13886174502
2003-03-26,13944134670
2003-03-27,14407811666
2003-03-28,14238762585
2003-03-31,14014896080
2003-04-01,14053718508
2003-04-02,14335182083
2003-04-03,14121658243
2003-04-04,14116805439
2003-04-07,14257536256
2003-04-08,14456502171
2003-04-09,14073130208
2003-04-10,13718875551
2003-04-11,13408295640
2003-04-14,13815931136
2003-04-15,13922693784
2003-04-16,13684906411
2003-04-17,13942104512
2003-04-21,13815931136
2003-04-22,14267242348
2003-04-23,14451649367
2003-04-24,13966369015
2003-04-25,13879018067
2003-04-28,14340033916
2003-04-29,14485618507
2003-04-30,14534147027
2003-05-01,14553557756
2003-05-02,15587204420
2003-05-05,14864136696
2003-05-06,15611467953
2003-05-07,16305418856
2003-05-08,16150129629
2003-05-09,16150129629
2003-05-12,15815286671
2003-05-13,15509559564
2003-05-14,15587204420
2003-05-15,15344565215
2003-05-16,15184422699
2003-05-19,14699142347
2003-05-20,14776787203
2003-05-21,15092218947
2003-05-22,15645439519
2003-05-23,15281478284
2003-05-27,15892931528
2003-05-28,15800728746
2003-05-29,15635733426
2003-05-30,16062778680
2003-06-02,15951164684
2003-06-03,16038515148
2003-06-04,16494680135
2003-06-05,16693645079
2003-06-06,16407329186
2003-06-09,16028809541
2003-06-10,16159835236
2003-06-11,17149807639
2003-06-12,17474944504
2003-06-13,17266275894
2003-06-16,17605970685
2003-06-17,17329360884
2003-06-18,17256569802
2003-06-19,16994517927
2003-06-20,17266275894
2003-06-23,17275979560
2003-06-24,16683938987
2003-06-25,16703348745
2003-06-26,17198335189
2003-06-27,16873197839
2003-06-30,16837004075
2003-07-01,16851595659
2003-07-02,17046129204
2003-07-03,17021812815
2003-07-07,17751319078
2003-07-08,17848587066
2003-07-09,17712411105
2003-07-10,17571374686
2003-07-11,17785362704
2003-07-14,17994487833
2003-07-15,18120934612
2003-07-16,18111209807
2003-07-17,16997496425
2003-07-18,17182305165
2003-07-21,17508150324
2003-07-22,17420609572
2003-07-23,17430336322
2003-07-24,17712411105
2003-07-25,18067439432
2003-07-28,17950717457
2003-07-29,17654051090
2003-07-30,17522739962
2003-07-31,17639461451
2003-08-01,17396292696
2003-08-04,17469242350
2003-08-05,17128807553
2003-08-06,17381703544
2003-08-07,17192029970
2003-08-08,17522739962
2003-08-11,17848587066
2003-08-12,17566510338
2003-08-13,16666786433
2003-08-14,17308751945
2003-08-15,17396292696
2003-08-18,17576237088
2003-08-19,17483833934
2003-08-20,17410882335
2003-08-21,17620007951
2003-08-22,17673505077
2003-08-25,17654051090
2003-08-26,17493560685
2003-08-27,17692959063
2003-08-28,17785362704
2003-08-29,18018804222
2003-09-02,18894211251
2003-09-03,18631590456
2003-09-04,18845578473
2003-09-05,18626726108
2003-09-08,18855305223
2003-09-09,18281426963
2003-09-10,17761045828
2003-09-11,17936127331
2003-09-12,18179296086
2003-09-15,18077165209
2003-09-16,18748310971
2003-09-17,18368967714
2003-09-18,19477817235
2003-09-19,19224921730
2003-09-22,19482680610
2003-09-23,19648035363
2003-09-24,19098473978
2003-09-25,18874758724
2003-09-26,18743447596
2003-09-29,19044976852
2003-09-30,18419822365
2003-10-01,18530408612
2003-10-02,18814086378
2003-10-03,19242007075
2003-10-06,19472795766
2003-10-07,19487220059
2003-10-08,19328552834
2003-10-09,19169885609
2003-10-10,19155461316
2003-10-13,19482411961
2003-10-14,19184309902
2003-10-15,19145845121
2003-10-16,19193926098
2003-10-17,19068915557
2003-10-20,19016026482
2003-10-21,18919864528
2003-10-22,18751581108
2003-10-23,18727540619
2003-10-24,18665035349
2003-10-27,18655419153
2003-10-28,18756389205
2003-10-29,18741964912
2003-10-30,18578489590
2003-10-31,18390973779
2003-11-03,18357317094
2003-11-04,17977477375
2003-11-05,17943820691
2003-11-06,17573597166
2003-11-07,17621678143
2003-11-10,17693799609
2003-11-11,15409953192
2003-11-12,15934035844
2003-11-13,16054238287
2003-11-14,16054238287
2003-11-17,16073470677
2003-11-18,16227329805
2003-11-19,16318683661
2003-11-20,16501391375
2003-11-21,16260986489
2003-11-24,16549472352
2003-11-25,16520623765
2003-11-26,16559088547
2003-11-28,16563896645
2003-12-01,16135975948
2003-12-02,16116743557
2003-12-03,15799409107
2003-12-04,16092703068
2003-12-05,15818641498
2003-12-08,15712863348
2003-12-09,15453226072
2003-12-10,15145507818
2003-12-11,15097426840
2003-12-12,15587852808
2003-12-15,14635849459
2003-12-16,14972416300
2003-12-17,15241669772
2003-12-18,15799889917
2003-12-19,15914803453
2003-12-22,16328299857
2003-12-23,16352340345
2003-12-24,16318683661
2003-12-26,16376380834
2003-12-29,16462926593
2003-12-30,16357148443
2003-12-31,16342724150
2004-01-02,16390805127
2004-01-05,16280218879
2004-01-06,16462926593
2004-01-07,17212989837
2004-01-08,17044706417
2004-01-09,17198565544
2004-01-12,17160100762
2004-01-13,17073555003
2004-01-14,17102403590
2004-01-15,17193757446
2004-01-16,17333192280
2004-01-20,17203373642
2004-01-21,17246646521
2004-01-22,17280303205
2004-01-23,17943820691
2004-01-26,18068831231
2004-01-27,18039982645
2004-01-28,17636102436
2004-01-29,17607253850
2004-01-30,17549556678
2004-02-02,17429354235
2004-02-03,17366848964
2004-02-04,17578405264
2004-02-05,18044790743
2004-02-06,18280387531
2004-02-09,18145760795
2004-02-10,18126528404
2004-02-11,18886207844
2004-02-12,18607338176
2004-02-13,18717924423
2004-02-17,18862648165
2004-02-18,18592913883
2004-02-19,17636102436
2004-02-20,17679375316
2004-02-23,17458202821
2004-02-24,17515899993
2004-02-25,17636102436
2004-02-26,17789961564
2004-02-27,17366848964
2004-03-01,17943820691
2004-03-02,17448586625
2004-03-03,17068746906
2004-03-04,17299535596
2004-03-05,16611977622
2004-03-08,16434078006
2004-03-09,16482158984
2004-03-10,16405229420
2004-03-11,16996625440
2004-03-12,17059130710
2004-03-15,16607169524
2004-03-16,16616785720
2004-03-17,16759441979
2004-03-18,16227329805
2004-03-19,15914803453
2004-03-22,16179248827
2004-03-23,15876338671
2004-03-24,16102319264
2004-03-25,16655250502
2004-03-26,16203289316
2004-03-29,15669590469
2004-03-30,15578236612
2004-03-31,15314841007
2004-04-01,15615500462
2004-04-02,15498055363
2004-04-05,15375912459
2004-04-06,15488659755
2004-04-07,15483961951
2004-04-08,15540335598
2004-04-12,15869181878
2004-04-13,15667176306
2004-04-14,15794017014
2004-04-15,15601407050
2004-04-16,15507450970
2004-04-19,15601407050
2004-04-20,15455775127
2004-04-21,16010115997
2004-04-22,16277890825
2004-04-23,16198028157
2004-04-26,16193330353
2004-04-27,15986626977
2004-04-28,15657780698
2004-04-29,15521544382
2004-04-30,15592011442
2004-05-03,15916159918
2004-05-04,15920857722
2004-05-05,16108769881
2004-05-06,15150417867
2004-05-07,14854456216
2004-05-10,13877312986
2004-05-11,14088714166
2004-05-12,14177972441
2004-05-13,14356488993
2004-05-14,14220252677
2004-05-17,13994758086
2004-05-18,14271928521
2004-05-19,14361186797
2004-05-20,14647752840
2004-05-21,14953110100
2004-05-24,14948412296
2004-05-25,15159813475
2004-05-26,15375912459
2004-05-27,15380610263
2004-05-28,15108137631
2004-06-01,14896736452
2004-06-02,14760500136
2004-06-03,14591379192
2004-06-04,14722917704
2004-06-07,14934318884
2004-06-08,14793384764
2004-06-09,14774593548
2004-06-10,14882643040
2004-06-14,14614680300
2004-06-15,14704126488
2004-06-16,14539703349
2004-06-17,14497423113
2004-06-18,14539703349
2004-06-21,14149785617
2004-06-22,14140390009
2004-06-23,14135692205
2004-06-24,13985362478
2004-06-25,13966571262
2004-06-28,14022944910
2004-06-29,14276626325
2004-06-30,14032780550
2004-07-01,13877621350
2004-07-02,13822859280
2004-07-06,13517104386
2004-07-07,13512540881
2004-07-08,13348254669
2004-07-09,13366508693
2004-07-12,13261548058
2004-07-13,13197658976
2004-07-14,13512540881
2004-07-15,13380199210
2004-07-16,13110952364
2004-07-19,12672855800
2004-07-20,12444680507
2004-07-21,12481188554
2004-07-22,13311746622
2004-07-23,13188531964
2004-07-26,13028809258
2004-07-27,12974047188
2004-07-28,12732181377
2004-07-29,12554204648
2004-07-30,12650038271
2004-08-02,13069880811
2004-08-03,13005991729
2004-08-04,12759562412
2004-08-05,12700236836
2004-08-06,12727617871
2004-08-09,12440117001
2004-08-10,13485159845
2004-08-11,13654009563
2004-08-12,13882184856
2004-08-13,14082979114
2004-08-16,14215320785
2004-08-17,14092106126
2004-08-18,14082979114
2004-08-19,14306590902
2004-08-20,14429805560
2004-08-23,14311154408
