,FDX
2000-10-30,13392426395
2000-10-31,13355375630
2000-11-01,13110270572
2000-11-02,13395276454
2000-11-03,13324024983
2000-11-06,13309774689
2000-11-07,13118820748
2000-11-08,13198622395
2000-11-09,13167271748
2000-11-10,12873715689
2000-11-13,12902216278
2000-11-14,13039019101
2000-11-15,13540629453
2000-11-16,13609030865
2000-11-17,13389576336
2000-11-20,13252773513
2000-11-21,14079290570
2000-11-22,14176192570
2000-11-24,14207543217
2000-11-27,13993788806
2000-11-28,13953887982
2000-11-29,13928237453
2000-11-30,13803020560
2000-12-01,13676281640
2000-12-04,13365195200
2000-12-05,13725248950
2000-12-06,13618673040
2000-12-07,13520738420
2000-12-08,13535140570
2000-12-11,13690683790
2000-12-12,13575466590
2000-12-13,13330630040
2000-12-14,12089164710
2000-12-15,11291285600
2000-12-18,10807373360
2000-12-19,10873623250
2000-12-20,10729601750
2000-12-21,10841938520
2000-12-22,11098296790
2000-12-26,10988840450
2000-12-27,11173187970
2000-12-28,11181829260
2000-12-29,11510198280
2001-01-02,11003242600
2001-01-03,11827045580
2001-01-04,12748783180
2001-01-05,12619163830
2001-01-08,12423294590
2001-01-09,12175577610
2001-01-10,12071882129
2001-01-11,11867371600
2001-01-12,11953784500
2001-01-16,12198621050
2001-01-17,12601881250
2001-01-18,11953784500
2001-01-19,11495796129
2001-01-22,11876012890
2001-01-23,12339762120
2001-01-24,12109327720
2001-01-25,12501066200
2001-01-26,12590359530
2001-01-29,12682533290
2001-01-30,12800630920
2001-01-31,13071391340
2001-02-01,13039706610
2001-02-02,12757424470
2001-02-05,12725739740
2001-02-06,12616283400
2001-02-07,12411772870
2001-02-08,12921608980
2001-02-09,12480903190
2001-02-12,12581718240
2001-02-13,12875522100
2001-02-14,12573076950
2001-02-15,12996500160
2001-02-16,12843837370
2001-02-20,12466501040
2001-02-21,12100686430
2001-02-22,12097806000
2001-02-23,12005632240
2001-02-26,11939382350
2001-02-27,12011393100
2001-02-28,12011618103
2001-03-01,12038030163
2001-03-02,12310954787
2001-03-05,12466492475
2001-03-06,12654311571
2001-03-07,12677788958
2001-03-08,12868542727
2001-03-09,12889085441
2001-03-12,12296281420
2001-03-13,12325628154
2001-03-14,12084984937
2001-03-15,12126070364
2001-03-16,11973467349
2001-03-19,12305085440
2001-03-20,11812060314
2001-03-21,12501708556
2001-03-22,12040964837
2001-03-23,11788582927
2001-03-26,11820864334
2001-03-27,12319758807
2001-03-28,12319758807
2001-03-29,12096723631
2001-03-30,12231718606
2001-04-02,12008683430
2001-04-03,11445226143
2001-04-04,11621306545
2001-04-05,11436422122
2001-04-06,11002090464
2001-04-09,11260341720
2001-04-10,11415879409
2001-04-11,11706412072
2001-04-12,11680000012
2001-04-16,11603698504
2001-04-17,11741628153
2001-04-18,12175959812
2001-04-19,12721809058
2001-04-20,12765829159
2001-04-23,12434211068
2001-04-24,12269869359
2001-04-25,12043899510
2001-04-26,12120201018
2001-04-27,12466492475
2001-04-30,12346170867
2001-05-01,12275738706
2001-05-02,12545728656
2001-05-03,12134874384
2001-05-04,12114331671
2001-05-07,11820864334
2001-05-08,11283819107
2001-05-09,11471638203
2001-05-10,11503919610
2001-05-11,11272080414
2001-05-14,11210452273
2001-05-15,11225125640
2001-05-16,11521527650
2001-05-17,11812060314
2001-05-18,11888361821
2001-05-21,11917708555
2001-05-22,11891296495
2001-05-23,11741628153
2001-05-24,11844341721
2001-05-25,11656522625
2001-05-29,11633045238
2001-05-30,11680000012
2001-05-31,11920000000
2001-06-01,12173300000
2001-06-04,11940860000
2001-06-05,11887220000
2001-06-06,11785900000
2001-06-07,11830600000
2001-06-08,11800800000
2001-06-11,11562400000
2001-06-12,11356780000
2001-06-13,11180960000
2001-06-14,11157120000
2001-06-15,11312080000
2001-06-18,11189900000
2001-06-19,11037920000
2001-06-20,11026000000
2001-06-21,11517700000
2001-06-22,11169040000
2001-06-25,10915740000
2001-06-26,10832300000
2001-06-27,10966400000
2001-06-28,11535580000
2001-06-29,11979600000
2001-07-02,12063040000
2001-07-03,12283560000
2001-07-05,12098800000
2001-07-06,11917020000
2001-07-09,11961720000
2001-07-10,11866360000
2001-07-11,11905100000
2001-07-12,12259720000
2001-07-13,12539840000
2001-07-16,12471300000
2001-07-17,12554740000
2001-07-18,12337200000
2001-07-19,12328260000
2001-07-20,12292500000
2001-07-23,12069000000
2001-07-24,11958740000
2001-07-25,12104760000
2001-07-26,12182240000
2001-07-27,12185220000
2001-07-30,12220980000
2001-07-31,12328260000
2001-08-01,12426600000
2001-08-02,12438520000
2001-08-03,12218000000
2001-08-06,12218000000
2001-08-07,12232900000
2001-08-08,12146480000
2001-08-09,11920000000
2001-08-10,11911060000
2001-08-13,11964700000
2001-08-14,11979600000
2001-08-15,11905100000
2001-08-16,12045160000
2001-08-17,11961720000
2001-08-20,11970660000
2001-08-21,11937880000
2001-08-22,12018340000
2001-08-23,12069000000
2001-08-24,12322300000
2001-08-27,12310380000
2001-08-28,12620300000
2001-08-29,12811020000
2001-08-30,12530900000
2001-08-31,12545800000
2001-09-04,12673940000
2001-09-05,12569640000
2001-09-06,12292500000
2001-09-07,11982580000
2001-09-10,11914040000
2001-09-17,11413400000
2001-09-18,10698200000
2001-09-19,10379340000
2001-09-20,10415100000
2001-09-21,10266100000
2001-09-24,10647540000
2001-09-25,10653500000
2001-09-26,10400200000
2001-09-27,10355500000
2001-09-28,10951500000
2001-10-01,10620720000
2001-10-02,10877000000
2001-10-03,11294200000
2001-10-04,11315060000
2001-10-05,11532600000
2001-10-08,11362740000
2001-10-09,11106460000
2001-10-10,11535580000
2001-10-11,11830600000
2001-10-12,11350820000
2001-10-15,11398500000
2001-10-16,11473000000
2001-10-17,11624980000
2001-10-18,11410420000
2001-10-19,11365720000
2001-10-22,11446179999
2001-10-23,11771000000
2001-10-24,11556440000
2001-10-25,11675640000
2001-10-26,11765040000
2001-10-29,12176280000
2001-10-30,11949800000
2001-10-31,12241840000
2001-11-01,12548780000
2001-11-02,12590500000
2001-11-05,12933200000
2001-11-06,13216300000
2001-11-07,13141800000
2001-11-08,13311660000
2001-11-09,13398080000
2001-11-12,13380200000
2001-11-13,13919580000
2001-11-14,13889780000
2001-11-15,13886800000
2001-11-16,13588800000
2001-11-19,13785480000
2001-11-20,13520260000
2001-11-21,13523240000
2001-11-23,13827200000
2001-11-26,13693100000
2001-11-27,13490460000
2001-11-28,13293780000
2001-11-29,13484500000
2001-11-30,13666280000
2001-12-03,13544100000
2001-12-04,14393400000
2001-12-05,14736100000
2001-12-06,14733120000
2001-12-07,14399360000
2001-12-10,14184800000
2001-12-11,14274200000
2001-12-12,14044740000
2001-12-13,13955340000
2001-12-14,14318900000
2001-12-17,14590080000
2001-12-18,15138400000
2001-12-19,14897020000
2001-12-20,15525800000
2001-12-21,15445340000
2001-12-24,15460240000
2001-12-26,15853600000
2001-12-27,15841679999
2001-12-28,15552620000
2001-12-31,15460240000
2002-01-02,15168200000
2002-01-03,15579440000
2002-01-04,16115840000
2002-01-07,16470460000
2002-01-08,16387020000
2002-01-09,16017500000
2002-01-10,15794000000
2002-01-11,15022179999
2002-01-14,15111580000
2002-01-15,14897020000
2002-01-16,14512600000
2002-01-17,14959600000
2002-01-18,15144360000
2002-01-22,15195020000
2002-01-23,15570500000
2002-01-24,15645000000
2002-01-25,15835720000
2002-01-28,15987700000
2002-01-29,15639040000
2002-01-30,15841679999
2002-01-31,15957900000
2002-02-01,15957900000
2002-02-04,15832740000
2002-02-05,16241000000
2002-02-06,15871480000
2002-02-07,15430440000
2002-02-08,15913200000
2002-02-11,16428740000
2002-02-12,16488340000
2002-02-13,16390000000
2002-02-14,16300600000
2002-02-15,16378080000
2002-02-19,16092000000
2002-02-20,16455560000
2002-02-21,16300600000
2002-02-22,16431720000
2002-02-25,16807200000
2002-02-26,17042620000
2002-02-27,17319760000
2002-02-28,17316185214
2002-03-01,17492758827
2002-03-04,18321756979
2002-03-05,18222995466
2002-03-06,17956638660
2002-03-07,17836927735
2002-03-08,18046421853
2002-03-11,17660354122
2002-03-12,17385018995
2002-03-13,17292243029
2002-03-14,17343120172
2002-03-15,17193481516
2002-03-18,17268300844
2002-03-19,17277279164
2002-03-20,16998951264
2002-03-21,17058806727
2002-03-22,17226402021
2002-03-25,16921139163
2002-03-26,17208445382
2002-03-27,17376040676
2002-03-28,17388011769
2002-04-01,17184503197
2002-04-02,16735587231
2002-04-03,16460252105
2002-04-04,16573977483
2002-04-05,16280685718
2002-04-08,15897610760
2002-04-09,16014328911
2002-04-10,16373461684
2002-04-11,16146010928
2002-04-12,16460252105
2002-04-15,16205866390
2002-04-16,16669746222
2002-04-17,16286671264
2002-04-18,15969437314
2002-04-19,16190902525
2002-04-22,16113090424
2002-04-23,16137032609
2002-04-24,15858704709
2002-04-25,16074184373
2002-04-26,16262729079
2002-04-29,16104112104
2002-04-30,15463658659
2002-05-01,15355918827
2002-05-02,15454680340
2002-05-03,15409788743
2002-05-06,15155403029
2002-05-07,14936930592
2002-05-08,15789870928
2002-05-09,15652203365
2002-05-10,15436723701
2002-05-13,15843740844
2002-05-14,16071191600
2002-05-15,16286671264
2002-05-16,16304627903
2002-05-17,16259736306
2002-05-20,16199880844
2002-05-21,15921552945
2002-05-22,15984401180
2002-05-23,16160974794
2002-05-24,15849726390
2002-05-28,15592347903
2002-05-29,15906589079
2002-05-30,16098126558
2002-05-31,16077100000
2002-06-03,15913200000
2002-06-04,15689700000
2002-06-05,15853600000
2002-06-06,16083060000
2002-06-07,16193320000
2002-06-10,16524100000
2002-06-11,16688000000
2002-06-12,16658200000
2002-06-13,16908520000
2002-06-14,16708860000
2002-06-17,16872760000
2002-06-18,16676080000
2002-06-19,16509200000
2002-06-20,16476420000
2002-06-21,16804220000
2002-06-24,16693960000
2002-06-25,14304000000
2002-06-26,14974500000
2002-06-27,15370840000
2002-06-28,15913200000
2002-07-01,15615200000
2002-07-02,15442360000
2002-07-03,15737380000
2002-07-05,15838700000
2002-07-08,15710560000
2002-07-09,15820820000
2002-07-10,15570500000
2002-07-11,15031120000
2002-07-12,14870200000
2002-07-15,15132440000
2002-07-16,15242700000
2002-07-17,15099660000
2002-07-18,15051980000
2002-07-19,14664580000
2002-07-22,13708000000
2002-07-23,13705020000
2002-07-24,13693100000
2002-07-25,13928520000
2002-07-26,14014940000
2002-07-29,14786760000
2002-07-30,14622860000
2002-07-31,15183100000
2002-08-01,14512600000
2002-08-02,13922560000
2002-08-05,13380200000
2002-08-06,14011960000
2002-08-07,14086460000
2002-08-08,14390420000
2002-08-09,14557300000
2002-08-12,14166920000
2002-08-13,13982160000
2002-08-14,14420220000
2002-08-15,14304000000
2002-08-16,14587100000
2002-08-19,14783780000
2002-08-20,14551340000
2002-08-21,14646700000
2002-08-22,14894040000
2002-08-23,14488760000
2002-08-26,14318900000
2002-08-27,14366580000
2002-08-28,14131160000
2002-08-29,14041760000
2002-08-30,14110300000
2002-09-03,13716940000
2002-09-04,14155000000
2002-09-05,13657340000
2002-09-06,13859980000
2002-09-09,13827200000
2002-09-10,13708000000
2002-09-11,13708000000
2002-09-12,13454700000
2002-09-13,13261000000
2002-09-16,13103060000
2002-09-17,13231200000
2002-09-18,12754400000
2002-09-19,14232480000
2002-09-20,14229500000
2002-09-23,14542400000
2002-09-24,14184800000
2002-09-25,14721200000
2002-09-26,15481100000
2002-09-27,15034100000
2002-09-30,14920860000
2002-10-01,15624140000
2002-10-02,15242700000
2002-10-03,15501960000
2002-10-04,15215880000
2002-10-07,14616900000
2002-10-08,14619880000
2002-10-09,14235460000
2002-10-10,14876160000
2002-10-11,15335080000
2002-10-14,15311240000
2002-10-15,16008560000
2002-10-16,15630100000
2002-10-17,16017500000
2002-10-18,15895320000
2002-10-21,15943000000
2002-10-22,15868500000
2002-10-23,15898300000
2002-10-24,15728440000
2002-10-25,16106900000
2002-10-28,16011540000
2002-10-29,15674800000
2002-10-30,16026440000
2002-10-31,15850620000
2002-11-01,16038360000
2002-11-04,15871480000
2002-11-05,16160540000
2002-11-06,16270800000
2002-11-07,16083060000
2002-11-08,16270800000
2002-11-11,16112860000
2002-11-12,15972800000
2002-11-13,16300600000
2002-11-14,16723760000
2002-11-15,15928100000
2002-11-18,15862540000
2002-11-19,15606260000
2002-11-20,15734400000
2002-11-21,15841679999
2002-11-22,15716520000
2002-11-25,15588380000
2002-11-26,15129460000
2002-11-27,15671820000
2002-11-29,15665860000
2002-12-02,15864000000
2002-12-03,15759000000
2002-12-04,15981000000
2002-12-05,15867000000
2002-12-06,16092000000
2002-12-09,15825000000
2002-12-10,16014000000
2002-12-11,15588000000
2002-12-12,15612000000
2002-12-13,15630000000
2002-12-16,16044000000
2002-12-17,16080000000
2002-12-18,15872999999
2002-12-19,16185000000
2002-12-20,16305000000
2002-12-23,16299000000
2002-12-24,16230000000
2002-12-26,16284000000
2002-12-27,16185000000
2002-12-30,16251000000
2002-12-31,16266000000
2003-01-02,16668000000
2003-01-03,16650000000
2003-01-06,17454000000
2003-01-07,17385000000
2003-01-08,17265000000
2003-01-09,17298000000
2003-01-10,17205000000
2003-01-13,17271000000
2003-01-14,17178000000
2003-01-15,16989000000
2003-01-16,16833000000
2003-01-17,16665000000
2003-01-21,16344000000
2003-01-22,15765000000
2003-01-23,15756000000
2003-01-24,15240000000
2003-01-27,15495000000
2003-01-28,15795000000
2003-01-29,15690000000
2003-01-30,15567000000
2003-01-31,15780000000
2003-02-03,15891000000
2003-02-04,15609000000
2003-02-05,15705000000
2003-02-06,15804000000
2003-02-07,15636000000
2003-02-10,15579000000
2003-02-11,15462000000
2003-02-12,15261000000
2003-02-13,15135000000
2003-02-14,15510000000
2003-02-18,15647999999
2003-02-19,15510000000
2003-02-20,15285000000
2003-02-21,15390000000
2003-02-24,14832000000
2003-02-25,14955000000
2003-02-26,15060000000
2003-02-27,15102000000
2003-02-28,15320914472
2003-03-03,15604083125
2003-03-04,15428220488
2003-03-05,15332837363
2003-03-06,15210627733
2003-03-07,15153994003
2003-03-10,14787365116
2003-03-11,14805249452
2003-03-12,14605541034
2003-03-13,14909574745
2003-03-14,14843998846
2003-03-17,15323895195
2003-03-18,15404374706
2003-03-19,16447627637
2003-03-20,16930504708
2003-03-21,17067617951
2003-03-24,16531087872
2003-03-25,16656278224
2003-03-26,16751661349
2003-03-27,16885793868
2003-03-28,16841083029
2003-03-31,16414839688
2003-04-01,16468492696
2003-04-02,16969254103
2003-04-03,16715892677
2003-04-04,16647336056
2003-04-07,16727815567
2003-04-08,16575798712
2003-04-09,16686085450
2003-04-10,16754642071
2003-04-11,17127232404
2003-04-14,17371651662
2003-04-15,17720396213
2003-04-16,17341844435
2003-04-17,17556456467
2003-04-21,17148097462
2003-04-22,17452131174
2003-04-23,17478957678
2003-04-24,17669723928
2003-04-25,17523668518
2003-04-28,17863470901
2003-04-29,17768087776
2003-04-30,17848567288
2003-05-01,17660781760
2003-05-02,18104909436
2003-05-05,18400000980
2003-05-06,18379135921
2003-05-07,18239041956
2003-05-08,18116832327
2003-05-09,18495384105
2003-05-12,18879897328
2003-05-13,18721919027
2003-05-14,18411923870
2003-05-15,18501345550
2003-05-16,18629516625
2003-05-19,18116832327
2003-05-20,18182408226
2003-05-21,17854528733
2003-05-22,17935008245
2003-05-23,18224138343
2003-05-27,18507306995
2003-05-28,18546056390
2003-05-29,18668266019
2003-05-30,19070663578
2003-06-02,19232744211
2003-06-03,18750511652
2003-06-04,19119627932
2003-06-05,19200000025
2003-06-06,18816000024
2003-06-09,18693953513
2003-06-10,18952930257
2003-06-11,19197023281
2003-06-12,19339907002
2003-06-13,19009488397
2003-06-16,19390511653
2003-06-17,19200000025
2003-06-18,19200000025
2003-06-19,18908279094
2003-06-20,18756465141
2003-06-23,18452837233
2003-06-24,18000372116
2003-06-25,17771162814
2003-06-26,18580837233
2003-06-27,18616558164
2003-06-30,18464744210
2003-07-01,18333767466
2003-07-02,18506418629
2003-07-03,18312930256
2003-07-07,18744558164
2003-07-08,19149395374
2003-07-09,19158325606
2003-07-10,19003534908
2003-07-11,18973767467
2003-07-14,19140465141
2003-07-15,19146418630
2003-07-16,19080930257
2003-07-17,19086883746
2003-07-18,19444093049
2003-07-21,19646511654
2003-07-22,19345860490
2003-07-23,19336930258
2003-07-24,19214883746
2003-07-25,19423255839
2003-07-28,19396465142
2003-07-29,19298232583
2003-07-30,19000558164
2003-07-31,19167255839
2003-08-01,19247627932
2003-08-04,19259534909
2003-08-05,19054139560
2003-08-06,19125581420
2003-08-07,19161302351
2003-08-08,19408372118
2003-08-11,19649488398
2003-08-12,19908465142
2003-08-13,19905488398
2003-08-14,19944186073
2003-08-15,20051348863
2003-08-18,20113860491
2003-08-19,20286511654
2003-08-20,20113860491
2003-08-21,20340093050
2003-08-22,19970976770
2003-08-25,19756651189
2003-08-26,19670325607
2003-08-27,19616744212
2003-08-28,19953116305
2003-08-29,19973953514
2003-09-02,20046419348
2003-09-03,19946612896
2003-09-04,19741129025
2003-09-05,19573806445
2003-09-08,19538580638
2003-09-09,19303741929
2003-09-10,19115870961
2003-09-11,19156967735
2003-09-12,19151096767
2003-09-15,19074774187
2003-09-16,19397677412
2003-09-17,19523903219
2003-09-18,20137419348
2003-09-19,19447580638
2003-09-22,19371258058
2003-09-23,19579677412
2003-09-24,19136419348
2003-09-25,18875161284
2003-09-26,18725451606
2003-09-29,19027806445
2003-09-30,18913322574
2003-10-01,19303741929
2003-10-02,19209806445
2003-10-03,19641322574
2003-10-06,19902580638
2003-10-07,19776354832
2003-10-08,19840935477
2003-10-09,20196129025
2003-10-10,20125677412
2003-10-13,20944677412
2003-10-14,21619838702
2003-10-15,21508290315
2003-10-16,21696161283
2003-10-17,21414354831
2003-10-20,21308677412
2003-10-21,21311612896
2003-10-22,21191258057
2003-10-23,21179516122
2003-10-24,21299870960
2003-10-27,21135483864
2003-10-28,21478935476
2003-10-29,21440774186
2003-10-30,21699096767
2003-10-31,22239225799
2003-11-03,22385999992
2003-11-04,22312612895
2003-11-05,22300870960
2003-11-06,22650193540
2003-11-07,22573870960
2003-11-10,22509290315
2003-11-11,22327290315
2003-11-12,22421225799
2003-11-13,22626709669
2003-11-14,22573870960
2003-11-17,22312612895
2003-11-18,22027870960
2003-11-19,21986774186
2003-11-20,21842935476
2003-11-21,20689290315
2003-11-24,20912387089
2003-11-25,21100258057
2003-11-26,21059161283
2003-11-28,21340967734
2003-12-01,22050000000
2003-12-02,22074000000
2003-12-03,21957000000
2003-12-04,21873000000
2003-12-05,21759000000
2003-12-08,21672000000
2003-12-09,21528000000
2003-12-10,21612000000
2003-12-11,21957000000
2003-12-12,22125000000
2003-12-15,22248000000
2003-12-16,22293000000
2003-12-17,21303000000
2003-12-18,20910000000
2003-12-19,20829000000
2003-12-22,20790000000
2003-12-23,20697000000
2003-12-24,20645999999
2003-12-26,20658000000
2003-12-29,20982000000
2003-12-30,20700000000
2003-12-31,20250000000
2004-01-02,20367000000
2004-01-05,20385000000
2004-01-06,20280000000
2004-01-07,20079000000
2004-01-08,19914000000
2004-01-09,19512000000
2004-01-12,20457000000
2004-01-13,20700000000
2004-01-14,20712000000
2004-01-15,20795999999
2004-01-16,20982000000
2004-01-20,20760000000
2004-01-21,21000000000
2004-01-22,20862000000
2004-01-23,20889000000
2004-01-26,20865000000
2004-01-27,20775000000
2004-01-28,20502000000
2004-01-29,20490000000
2004-01-30,20184000000
2004-02-02,20151000000
2004-02-03,20031000000
2004-02-04,19569000000
2004-02-05,19476000000
2004-02-06,19839000000
2004-02-09,20295000000
2004-02-10,20580000000
2004-02-11,20943000000
2004-02-12,20811000000
2004-02-13,20673000000
2004-02-17,20784000000
2004-02-18,20610000000
2004-02-19,20631000000
2004-02-20,20703000000
2004-02-23,20592000000
2004-02-24,20631000000
2004-02-25,20568000000
2004-02-26,20634000000
2004-02-27,20604000000
2004-03-01,20991741428
2004-03-02,21070634934
2004-03-03,21009947622
2004-03-04,20861263706
2004-03-05,21088841128
2004-03-08,20943191578
2004-03-09,20800576393
2004-03-10,20087500470
2004-03-11,20108741030
2004-03-12,20585136433
2004-03-15,20360593377
2004-03-16,20764164006
2004-03-17,21723023545
2004-03-18,21841363804
2004-03-19,21628958210
2004-03-22,21565236532
2004-03-23,21723023545
2004-03-24,21559167801
2004-03-25,22153903464
2004-03-26,22087147420
2004-03-29,22451271296
2004-03-30,22642436331
2004-03-31,22806292075
2004-04-01,22697054912
2004-04-02,23082419347
2004-04-05,22921597969
2004-04-06,22982285281
2004-04-07,22775948418
2004-04-08,22399687080
2004-04-12,22700089278
2004-04-13,22551405362
2004-04-14,22684917449
2004-04-15,22742570396
2004-04-16,22606023943
2004-04-19,22417893274
2004-04-20,22159972195
2004-04-21,22402721446
2004-04-22,22873048118
2004-04-23,22499821146
2004-04-26,22144800367
2004-04-27,22514992974
2004-04-28,22172109658
2004-04-29,21950600967
2004-04-30,21820123245
2004-05-03,22099284883
2004-05-04,22169075292
2004-05-05,22178178389
2004-05-06,21947566601
2004-05-07,21732126642
2004-05-10,21446896272
2004-05-11,21598614554
2004-05-12,21635026941
2004-05-13,21431724444
2004-05-14,21543995973
2004-05-17,21407449519
2004-05-18,21765504663
2004-05-19,21616820748
2004-05-20,21547030338
2004-05-21,21434758810
2004-05-24,21817088879
2004-05-25,22384515252
2004-05-26,22423962005
2004-05-27,22223693874
2004-05-28,22326862305
2004-06-01,21845999999
2004-06-02,22131000000
2004-06-03,22248000000
2004-06-04,22266000000
2004-06-07,22710000000
2004-06-08,22941000000
2004-06-09,22803000000
2004-06-10,23082000000
2004-06-14,23007000000
2004-06-15,23220000000
2004-06-16,23451000000
2004-06-17,23379000000
2004-06-18,23469000000
2004-06-21,23394000000
2004-06-22,23529000000
2004-06-23,24015000000
2004-06-24,23925000000
2004-06-25,23949000000
2004-06-28,24234000000
2004-06-29,24320999999
2004-06-30,24507000000
2004-07-01,24270000000
2004-07-02,24150000000
2004-07-06,24018000000
2004-07-07,24294000000
2004-07-08,23799000000
2004-07-09,23982000000
2004-07-12,23979000000
2004-07-13,23850000000
2004-07-14,24000000000
2004-07-15,24390000000
2004-07-16,24240000000
2004-07-19,24245999999
2004-07-20,24843000000
2004-07-21,24470999999
2004-07-22,24351000000
2004-07-23,24170999999
2004-07-26,24108000000
2004-07-27,24138000000
2004-07-28,24360000000
2004-07-29,24576000000
2004-07-30,24564000000
2004-08-02,24735000000
2004-08-03,24543000000
2004-08-04,24444000000
2004-08-05,23775000000
2004-08-06,23442000000
2004-08-09,23195999999
2004-08-10,23703000000
2004-08-11,23607000000
2004-08-12,23205000000
2004-08-13,22929000000
2004-08-16,23570999999
2004-08-17,23589000000
2004-08-18,23790000000
2004-08-19,23580000000
2004-08-20,23790000000
2004-08-23,24285000000
