,BMY
2000-07-21,93340650000
2000-07-24,93340650000
2000-07-25,90886900000
2000-07-26,89257610000
2000-07-27,93929550000
2000-07-28,93929550000
2000-07-31,92751750000
2000-08-01,97541470000
2000-08-02,99524100000
2000-08-03,101290800000
2000-08-04,97777030000
2000-08-07,97423690000
2000-08-08,96029960000
2000-08-09,97188130000
2000-08-10,95794400000
2000-08-11,95205500000
2000-08-14,94616600000
2000-08-15,98130370000
2000-08-16,97541470000
2000-08-17,98365930000
2000-08-18,96029960000
2000-08-21,100348560000
2000-08-22,103273430000
2000-08-23,104902720000
2000-08-24,104313820000
2000-08-25,105491620000
2000-08-28,103626770000
2000-08-29,99877440000
2000-08-30,99288540000
2000-08-31,99052980000
2000-09-01,99641880000
2000-09-05,99406320000
2000-09-06,94852160000
2000-09-07,94852160000
2000-09-08,96501080000
2000-09-11,96834790000
2000-09-12,97777030000
2000-09-13,97659250000
2000-09-14,99641880000
2000-09-15,99524100000
2000-09-18,100230780000
2000-09-19,102566750000
2000-09-20,104313820000
2000-09-21,106532010000
2000-09-22,108514640000
2000-09-25,107356470000
2000-09-26,107238690000
2000-09-27,105609400000
2000-09-28,108416490000
2000-09-29,106767570000
2000-10-02,105989310000
2000-10-03,105305760000
2000-10-04,103216050000
2000-10-05,105188580000
2000-10-06,104602680000
2000-10-09,104954220000
2000-10-10,107864190000
2000-10-11,108547740000
2000-10-12,108547740000
2000-10-13,108782100000
2000-10-16,111574890000
2000-10-17,110754630000
2000-10-18,109485180000
2000-10-19,109602360000
2000-10-20,113078700000
2000-10-23,115285590000
2000-10-24,114953580000
2000-10-25,116457390000
2000-10-26,116457390000
2000-10-27,113430240000
2000-10-30,113078700000
2000-10-31,113313060000
2000-11-01,117844020000
2000-11-02,118078380000
2000-11-03,115168410000
2000-11-06,115754310000
2000-11-07,113547420000
2000-11-08,115871490000
2000-11-09,119133000000
2000-11-10,119484540000
2000-11-13,113313060000
2000-11-14,116808930000
2000-11-15,117160470000
2000-11-16,117726840000
2000-11-17,120871170000
2000-11-20,121105530000
2000-11-21,124367040000
2000-11-22,126339570000
2000-11-24,125519309999
2000-11-27,131456430000
2000-11-28,130870530000
2000-11-29,134229690000
2000-11-30,128898000000
2000-12-01,125988030000
2000-12-04,129464370000
2000-12-05,128780820000
2000-12-06,122843700000
2000-12-07,125050590000
2000-12-08,126808290000
2000-12-11,124484220000
2000-12-12,125988030000
2000-12-13,131456430000
2000-12-14,127609020000
2000-12-15,126808290000
2000-12-18,127491840000
2000-12-19,130284629999
2000-12-20,133077420000
2000-12-21,129249540000
2000-12-22,127140299999
2000-12-26,130167450000
2000-12-27,133780500000
2000-12-28,136221750000
2000-12-29,137491200000
2001-01-02,132619840000
2001-01-03,123931760000
2001-01-04,116977400000
2001-01-05,119295520000
2001-01-08,120678600000
2001-01-09,123464240000
2001-01-10,122295440000
2001-01-11,119626680000
2001-01-12,124613560000
2001-01-16,126016120000
2001-01-17,122412320000
2001-01-18,125081079999
2001-01-19,122529200000
2001-01-22,124165520000
2001-01-23,122879840000
2001-01-24,120327960000
2001-01-25,119412400000
2001-01-26,118828000000
2001-01-29,115282640000
2001-01-30,115613800000
2001-01-31,114795640000
2001-02-01,117074800000
2001-02-02,119802000000
2001-02-05,119256560000
2001-02-06,117873480000
2001-02-07,120522760000
2001-02-08,119996800000
2001-02-09,119198120000
2001-02-12,120853920000
2001-02-13,116918960000
2001-02-14,115457960000
2001-02-15,117405960000
2001-02-16,116841040000
2001-02-20,116412480000
2001-02-21,115925480000
2001-02-22,114542400000
2001-02-23,114893040000
2001-02-26,117970880000
2001-02-27,115107320000
2001-02-28,117620240000
2001-03-01,117367000000
2001-03-02,119081240000
2001-03-05,117600760000
2001-03-06,114990440000
2001-03-07,112399600000
2001-03-08,114834600000
2001-03-09,117230640000
2001-03-12,114990440000
2001-03-13,113139840000
2001-03-14,109224360000
2001-03-15,108756840000
2001-03-16,104140080000
2001-03-19,108523080000
2001-03-20,105172520000
2001-03-21,101549240000
2001-03-22,102016760000
2001-03-23,104880320000
2001-03-26,106380280000
2001-03-27,108055560000
2001-03-28,108815280000
2001-03-29,110490560000
2001-03-30,110178880000
2001-04-02,107592400000
2001-04-03,102529000000
2001-04-04,104546600000
2001-04-05,107437200000
2001-04-06,106215000000
2001-04-09,108058000000
2001-04-10,107883400000
2001-04-11,104100400000
2001-04-12,107088000000
2001-04-16,106777600000
2001-04-17,110560600000
2001-04-18,105943400000
2001-04-19,104546600000
2001-04-20,104003400000
2001-04-23,105206200000
2001-04-24,101403800000
2001-04-25,105031600000
2001-04-26,105361400000
2001-04-27,106680600000
2001-04-30,103440800000
2001-05-01,102354400000
2001-05-02,101132200000
2001-05-03,101694800000
2001-05-04,103111000000
2001-05-07,105516600000
2001-05-08,103440800000
2001-05-09,103440800000
2001-05-10,102529000000
2001-05-11,103382600000
2001-05-14,103305000000
2001-05-15,103906400000
2001-05-16,105109200000
2001-05-17,104546600000
2001-05-18,103440800000
2001-05-21,102141000000
2001-05-22,101481400000
2001-05-23,100220400000
2001-05-24,98823600000
2001-05-25,100123400000
2001-05-29,100045800000
2001-05-30,101384400000
2001-05-31,100201000000
2001-06-01,103906400000
2001-06-04,105283800000
2001-06-05,106971600000
2001-06-06,104546600000
2001-06-07,104701800000
2001-06-08,104294400000
2001-06-11,103596000000
2001-06-12,102141000000
2001-06-13,103440800000
2001-06-14,103634800000
2001-06-15,102529000000
2001-06-18,101714200000
2001-06-19,101500800000
2001-06-20,101888800000
2001-06-21,102257400000
2001-06-22,100589000000
2001-06-25,99386200000
2001-06-26,98396800000
2001-06-27,96243400000
2001-06-28,97349200000
2001-06-29,96612000000
2001-07-02,98561760000
2001-07-03,98890880000
2001-07-05,98058400000
2001-07-06,97884160000
2001-07-09,99491040000
2001-07-10,100459040000
2001-07-11,98387520000
2001-07-12,96548320000
2001-07-13,97264640000
2001-07-16,96296640000
2001-07-17,97729280000
2001-07-18,101233440000
2001-07-19,102395040000
2001-07-20,103304960000
2001-07-23,102898400000
2001-07-24,100807520000
2001-07-25,104640800000
2001-07-26,103730880000
2001-07-27,104021280000
2001-07-30,105086080000
2001-07-31,109016160000
2001-08-01,106905920000
2001-08-02,107893280000
2001-08-03,106557440000
2001-08-06,106964000000
2001-08-07,109209760000
2001-08-08,108319200000
2001-08-09,109345280000
2001-08-10,109771200000
2001-08-13,108706400000
2001-08-14,108687040000
2001-08-15,108725760000
2001-08-16,109596960000
2001-08-17,106480000000
2001-08-20,110584320000
2001-08-21,111087680000
2001-08-22,112055680000
2001-08-23,113352800000
2001-08-24,114320800000
2001-08-27,113933600000
2001-08-28,113643200000
2001-08-29,112016960000
2001-08-30,111436160000
2001-08-31,108687040000
2001-09-04,110971520000
2001-09-05,115637280000
2001-09-06,111165120000
2001-09-07,108764480000
2001-09-10,112520320000
2001-09-17,112868800000
2001-09-18,109364640000
2001-09-19,108416000000
2001-09-20,105299040000
2001-09-21,98736000000
2001-09-24,97768000000
2001-09-25,100904320000
2001-09-26,103092000000
2001-09-27,108028800000
2001-09-28,107564160000
2001-10-01,110622070000
2001-10-02,112346000000
2001-10-03,109924750000
2001-10-04,108665700000
2001-10-05,111377500000
2001-10-08,111319390000
2001-10-09,111377500000
2001-10-10,114399220000
2001-10-11,112791510000
2001-10-12,113701900000
2001-10-15,113818120000
2001-10-16,113314500000
2001-10-17,114496070000
2001-10-18,113818120000
2001-10-19,112791510000
2001-10-22,115638900000
2001-10-23,112384740000
2001-10-24,110292780000
2001-10-25,109479240000
2001-10-26,108394520000
2001-10-29,106341300000
2001-10-30,103939420000
2001-10-31,103532650000
2001-11-01,105101620000
2001-11-02,102738480000
2001-11-05,103183990000
2001-11-06,108007120000
2001-11-07,105101620000
2001-11-08,105469650000
2001-11-09,106438150000
2001-11-12,105740830000
2001-11-13,105508390000
2001-11-14,105915160000
2001-11-15,106341300000
2001-11-16,107813420000
2001-11-19,109208060000
2001-11-20,108375150000
2001-11-21,108084600000
2001-11-23,107987750000
2001-11-26,107212950000
2001-11-27,104598000000
2001-11-28,104598000000
2001-11-29,104598000000
2001-11-30,104133120000
2001-12-03,104539890000
2001-12-04,104016900000
2001-12-05,102118640000
2001-12-06,104210600000
2001-12-07,104249340000
2001-12-10,104985400000
2001-12-11,104113750000
2001-12-12,97721650000
2001-12-13,94913000000
2001-12-14,96850000000
2001-12-17,97140550000
2001-12-18,99155030000
2001-12-19,100162270000
2001-12-20,101421320000
2001-12-21,102467300000
2001-12-24,100878960000
2001-12-26,102312340000
2001-12-27,102370450000
2001-12-28,100336600000
2001-12-31,98685000000
2002-01-02,98394750000
2002-01-03,98685000000
2002-01-04,99265500000
2002-01-07,96885450000
2002-01-08,95589000000
2002-01-09,96111450000
2002-01-10,95763150000
2002-01-11,95879250000
2002-01-14,95395500000
2002-01-15,94931100000
2002-01-16,94311900000
2002-01-17,94215150000
2002-01-18,92763900000
2002-01-22,94524750000
2002-01-23,95550300000
2002-01-24,90654750000
2002-01-25,89493750000
2002-01-28,88642350000
2002-01-29,87307200000
2002-01-30,86939550000
2002-01-31,87790950000
2002-02-01,86107500000
2002-02-04,84153150000
2002-02-05,84559500000
2002-02-06,82818000000
2002-02-07,83398500000
2002-02-08,85720500000
2002-02-11,87403950000
2002-02-12,87810300000
2002-02-13,89338950000
2002-02-14,88100550000
2002-02-15,87752250000
2002-02-19,87210450000
2002-02-20,88661700000
2002-02-21,87674850000
2002-02-22,89010000000
2002-02-25,88100550000
2002-02-26,88061850000
2002-02-27,91893150000
2002-02-28,90945000000
2002-03-01,92880000000
2002-03-04,92493000000
2002-03-05,93712050000
2002-03-06,97175700000
2002-03-07,96614550000
2002-03-08,92880000000
2002-03-11,94041000000
2002-03-12,95492250000
2002-03-13,95105250000
2002-03-14,96363000000
2002-03-15,98510850000
2002-03-18,94969800000
2002-03-19,94137750000
2002-03-20,79489800000
2002-03-21,78561000000
2002-03-22,77593500000
2002-03-25,77225850000
2002-03-26,76432500000
2002-03-27,76761450000
2002-03-28,78348150000
2002-04-01,78254800000
2002-04-02,74070880000
2002-04-03,73024900000
2002-04-04,62274550000
2002-04-05,63088090000
2002-04-08,62197070000
2002-04-09,61131720000
2002-04-10,60763690000
2002-04-11,59194720000
2002-04-12,60337550000
2002-04-15,61480380000
2002-04-16,61945260000
2002-04-17,61945260000
2002-04-18,63378640000
2002-04-19,62894390000
2002-04-22,61461010000
2002-04-23,60027630000
2002-04-24,60047000000
2002-04-25,57896930000
2002-04-26,56792840000
2002-04-29,56056780000
2002-04-30,55785600000
2002-05-01,57490160000
2002-05-02,56947800000
2002-05-03,57025280000
2002-05-06,55863080000
2002-05-07,54255370000
2002-05-08,55204500000
2002-05-09,54817100000
2002-05-10,54429700000
2002-05-13,54952690000
2002-05-14,58497400000
2002-05-15,58168110000
2002-05-16,58187480000
2002-05-17,59020390000
2002-05-20,59388420000
2002-05-21,58284330000
2002-05-22,59814560000
2002-05-23,59892040000
2002-05-24,58884800000
2002-05-28,58632990000
2002-05-29,58168110000
2002-05-30,57819450000
2002-05-31,60279440000
2002-06-03,57780710000
2002-06-04,55495050000
2002-06-05,54390960000
2002-06-06,50749400000
2002-06-07,52453960000
2002-06-10,52105300000
2002-06-11,50362000000
2002-06-12,49277280000
2002-06-13,52066560000
2002-06-14,51911600000
2002-06-17,50652550000
2002-06-18,51427350000
2002-06-19,50884990000
2002-06-20,50168300000
2002-06-21,48715550000
2002-06-24,48696180000
2002-06-25,48812400000
2002-06-26,50032710000
2002-06-27,50768770000
2002-06-28,49780900000
2002-07-01,49929440000
2002-07-02,47238400000
2002-07-03,47761120000
2002-07-05,49368000000
2002-07-08,47954720000
2002-07-09,46231680000
2002-07-10,44818400000
2002-07-11,42804960000
2002-07-12,43947200000
2002-07-15,46270400000
2002-07-16,46425280000
2002-07-17,46715680000
2002-07-18,43560000000
2002-07-19,42979200000
2002-07-22,42204800000
2002-07-23,40849600000
2002-07-24,39784800000
2002-07-25,40559200000
2002-07-26,40172000000
2002-07-29,43618080000
2002-07-30,44082720000
2002-07-31,45360480000
2002-08-01,43772960000
2002-08-02,44353760000
2002-08-05,42533920000
2002-08-06,43424480000
2002-08-07,45012000000
2002-08-08,45592800000
2002-08-09,46386560000
2002-08-12,46522080000
2002-08-13,44102080000
2002-08-14,45708960000
2002-08-15,43869760000
2002-08-16,44489280000
2002-08-19,46115520000
2002-08-20,46038080000
2002-08-21,47625600000
2002-08-22,49774560000
2002-08-23,49232480000
2002-08-26,50355360000
2002-08-27,48961440000
2002-08-28,48516160000
2002-08-29,47025440000
2002-08-30,48303200000
2002-09-03,46464000000
2002-09-04,48187040000
2002-09-05,48612960000
2002-09-06,48884000000
2002-09-09,49000160000
2002-09-10,50200480000
2002-09-11,50006880000
2002-09-12,48612960000
2002-09-13,50548960000
2002-09-16,50239200000
2002-09-17,48767840000
2002-09-18,48128960000
2002-09-19,46464000000
2002-09-20,46986720000
2002-09-23,46928640000
2002-09-24,47528800000
2002-09-25,49464800000
2002-09-26,50665120000
2002-09-27,47412640000
2002-09-30,51902684118
2002-10-01,53320194399
2002-10-02,50441558137
2002-10-03,50485173838
2002-10-04,47453882622
2002-10-07,47759192529
2002-10-08,48696930099
2002-10-09,47170380566
2002-10-10,45905525239
2002-10-11,47192188417
2002-10-14,49133087108
2002-10-15,49830938323
2002-10-16,49678283370
2002-10-17,51640989912
2002-10-18,52098954772
2002-10-21,51139409352
2002-10-22,51466527109
2002-10-23,51880876268
2002-10-24,52709574585
2002-10-25,52665958885
2002-10-28,52338841128
2002-10-29,51248448604
2002-10-30,53429233651
2002-10-31,53669120006
2002-11-01,54977591034
2002-11-04,55304708791
2002-11-05,56416909165
2002-11-06,58859388418
2002-11-07,58117921502
2002-11-08,58663117764
2002-11-11,56940297577
2002-11-12,58096113652
2002-11-13,54148892717
2002-11-14,52993076642
2002-11-15,52447880380
2002-11-18,53516465053
2002-11-19,52774998137
2002-11-20,54650473277
2002-11-21,56525948418
2002-11-22,57790803745
2002-11-25,58314192156
2002-11-26,57180183932
2002-11-27,57812611595
2002-11-29,57790803745
2002-12-02,57638148792
2002-12-03,57747188044
2002-12-04,57201991782
2002-12-05,58924811969
2002-12-06,60713055708
2002-12-09,59927973091
2002-12-10,59099274773
2002-12-11,59208314026
2002-12-12,55282900941
2002-12-13,54650473277
2002-12-16,54301547670
2002-12-17,52622343184
2002-12-18,52011723370
2002-12-19,51248448604
2002-12-20,51422911408
2002-12-23,51292064305
2002-12-24,51444719258
2002-12-26,50986754398
2002-12-27,50921330847
2002-12-30,50703252342
2002-12-31,44818400000
2003-01-02,46522080000
2003-01-03,47916000000
2003-01-06,48922720000
2003-01-07,48593600000
2003-01-08,46754400000
2003-01-09,48980800000
2003-01-10,48690400000
2003-01-13,48787200000
2003-01-14,48787200000
2003-01-15,48767840000
2003-01-16,48148320000
2003-01-17,49193760000
2003-01-21,48980800000
2003-01-22,48593600000
2003-01-23,48167680000
2003-01-24,46212320000
2003-01-27,45089440000
2003-01-28,45515360000
2003-01-29,46154240000
2003-01-30,44740960000
2003-01-31,45670240000
2003-02-03,46076800000
2003-02-04,45147520000
2003-02-05,45205600000
2003-02-06,45263680000
2003-02-07,44799040000
2003-02-10,45689600000
2003-02-11,45166880000
2003-02-12,44837760000
2003-02-13,43366400000
2003-02-14,42572640000
2003-02-18,43753600000
2003-02-19,43308320000
2003-02-20,43656800000
2003-02-21,44799040000
2003-02-24,44721600000
2003-02-25,45863840000
2003-02-26,44779680000
2003-02-27,45786400000
2003-02-28,45108800000
2003-03-03,45166880000
2003-03-04,44218240000
2003-03-05,44818400000
2003-03-06,43618080000
2003-03-07,44140800000
2003-03-10,43579360000
2003-03-11,41624000000
2003-03-12,41507840000
2003-03-13,41914400000
2003-03-14,41933760000
2003-03-17,43405120000
2003-03-18,43443840000
2003-03-19,43772960000
2003-03-20,42824320000
2003-03-21,43230880000
2003-03-24,41546560000
2003-03-25,42495200000
2003-03-26,41314240000
2003-03-27,41624000000
2003-03-28,41740160000
2003-03-31,40928810000
2003-04-01,42323450000
2003-04-02,42555890000
2003-04-03,43156360000
2003-04-04,43582500000
2003-04-07,43505020000
2003-04-08,43718090000
2003-04-09,42885180000
2003-04-10,43098250000
2003-04-11,43001400000
2003-04-14,43679350000
2003-04-15,43659980000
2003-04-16,42904550000
2003-04-17,43640610000
2003-04-21,44163600000
2003-04-22,46081230000
2003-04-23,48037600000
2003-04-24,47824530000
2003-04-25,46391150000
2003-04-28,47185320000
2003-04-29,48831770000
2003-04-30,49470980000
2003-05-01,49470980000
2003-05-02,50071450000
2003-05-05,49935860000
2003-05-06,49916490000
2003-05-07,50071450000
2003-05-08,49587200000
2003-05-09,50226410000
2003-05-12,50981840000
2003-05-13,50710660000
2003-05-14,50884990000
2003-05-15,51078690000
2003-05-16,50013340000
2003-05-19,47359650000
2003-05-20,45228950000
2003-05-21,46468630000
2003-05-22,46991620000
2003-05-23,47708310000
2003-05-27,48231300000
2003-05-28,48231300000
2003-05-29,48095710000
2003-05-30,49587200000
2003-06-02,50362000000
2003-06-03,50207040000
2003-06-04,50284520000
2003-06-05,52105300000
2003-06-06,52163410000
2003-06-09,51407980000
2003-06-10,51853490000
2003-06-11,52395850000
2003-06-12,52395850000
2003-06-13,52492700000
2003-06-16,54390960000
2003-06-17,55901820000
2003-06-18,55824340000
2003-06-19,54720250000
2003-06-20,55572530000
2003-06-23,53945450000
2003-06-24,53558050000
2003-06-25,53306240000
2003-06-26,54332850000
2003-06-27,53325610000
2003-06-30,52589550000
2003-07-01,52647660000
2003-07-02,53228760000
2003-07-03,52802620000
2003-07-07,53325610000
2003-07-08,53461200000
2003-07-09,52899470000
2003-07-10,52492700000
2003-07-11,52608920000
2003-07-14,52512070000
2003-07-15,51679160000
2003-07-16,51814750000
2003-07-17,51485460000
2003-07-18,51659790000
2003-07-21,50362000000
2003-07-22,50865620000
2003-07-23,50110190000
2003-07-24,51214280000
2003-07-25,51039950000
2003-07-28,50497590000
2003-07-29,50691290000
2003-07-30,51291760000
2003-07-31,50749400000
2003-08-01,50110190000
2003-08-04,50846250000
2003-08-05,49877750000
2003-08-06,49354760000
2003-08-07,50536330000
2003-08-08,50400740000
2003-08-11,50923730000
2003-08-12,50981840000
2003-08-13,50342630000
2003-08-14,50168300000
2003-08-15,50148930000
2003-08-18,50187670000
2003-08-19,49935860000
2003-08-20,50362000000
2003-08-21,50439480000
2003-08-22,49122320000
2003-08-25,49993970000
2003-08-26,49412870000
2003-08-27,49141690000
2003-08-28,48754290000
2003-08-29,49141690000
2003-09-02,50284520000
2003-09-03,49761530000
2003-09-04,49935860000
2003-09-05,50187670000
2003-09-08,51582310000
2003-09-09,51621050000
2003-09-10,51214280000
2003-09-11,50943100000
2003-09-12,51136800000
2003-09-15,50826880000
2003-09-16,51388610000
2003-09-17,51311130000
2003-09-18,52434590000
2003-09-19,52783250000
2003-09-22,51989080000
2003-09-23,52763880000
2003-09-24,52299000000
2003-09-25,49974600000
2003-09-26,49161060000
2003-09-29,49509720000
2003-09-30,49780400000
2003-10-01,50498200000
2003-10-02,50653400000
2003-10-03,50168400000
2003-10-06,50556400000
2003-10-07,50246000000
2003-10-08,49896800000
2003-10-09,49586400000
2003-10-10,49470000000
2003-10-13,49159600000
2003-10-14,48868600000
2003-10-15,49043200000
2003-10-16,48558200000
2003-10-17,48441800000
2003-10-20,48403000000
2003-10-21,48694000000
2003-10-22,47045000000
2003-10-23,48694000000
2003-10-24,48461200000
2003-10-27,48713400000
2003-10-28,49314800000
2003-10-29,48480600000
2003-10-30,48500000000
2003-10-31,49217800000
2003-11-03,49198400000
2003-11-04,48286600000
2003-11-05,48500000000
2003-11-06,49004400000
2003-11-07,48635800000
2003-11-10,48519400000
2003-11-11,48461200000
2003-11-12,49470000000
2003-11-13,50362400000
2003-11-14,51895000000
2003-11-17,51507000000
2003-11-18,51623400000
2003-11-19,51720400000
2003-11-20,50440000000
2003-11-21,50537000000
2003-11-24,51798000000
2003-11-25,51119000000
2003-11-26,50925000000
2003-11-28,51119000000
2003-12-01,52011400000
2003-12-02,51933800000
2003-12-03,52089000000
2003-12-04,50808600000
2003-12-05,50925000000
2003-12-08,50750400000
2003-12-09,50246000000
2003-12-10,50284800000
2003-12-11,50847400000
2003-12-12,51429400000
2003-12-15,51235400000
2003-12-16,51933800000
2003-12-17,52302400000
2003-12-18,52787400000
2003-12-19,52748600000
2003-12-22,52923200000
2003-12-23,53194800000
2003-12-24,53408200000
2003-12-26,53524600000
2003-12-29,54300600000
2003-12-30,55134800000
2003-12-31,55455400000
2004-01-02,56909650000
2004-01-05,56735140000
2004-01-06,57006600000
2004-01-07,57394400000
2004-01-08,56967820000
2004-01-09,56250390000
2004-01-12,57258670000
2004-01-13,57239280000
2004-01-14,57336230000
2004-01-15,58111830000
2004-01-16,58557800000
2004-01-20,59003770000
2004-01-21,59410960000
2004-01-22,58131220000
2004-01-23,57297450000
2004-01-26,58053660000
2004-01-27,57995490000
2004-01-28,57336230000
2004-01-29,55881980000
2004-01-30,54388950000
2004-02-02,55397230000
2004-02-03,55552350000
2004-02-04,55164550000
2004-02-05,55183940000
2004-02-06,55940150000
2004-02-09,55649300000
2004-02-10,57336230000
2004-02-11,58228170000
2004-02-12,57956710000
2004-02-13,56037100000
2004-02-17,55843200000
2004-02-18,55397230000
2004-02-19,55300280000
2004-02-20,54815530000
2004-02-23,55145160000
2004-02-24,55048210000
2004-02-25,55416620000
2004-02-26,54737970000
2004-02-27,53942980000
2004-03-01,54757360000
2004-03-02,54524680000
2004-03-03,54544070000
2004-03-04,54660410000
2004-03-05,54737970000
2004-03-08,54098100000
2004-03-09,52740800000
2004-03-10,50549730000
2004-03-11,49599620000
2004-03-12,50084370000
2004-03-15,48843410000
2004-03-16,48959750000
2004-03-17,49502670000
2004-03-18,49444500000
2004-03-19,48862800000
2004-03-22,47408550000
2004-03-23,47098310000
2004-03-24,46536000000
2004-03-25,46594170000
2004-03-26,46788070000
2004-03-29,47175870000
2004-03-30,46943190000
2004-03-31,47054660000
2004-04-01,47210020000
2004-04-02,47307120000
2004-04-05,47850880000
2004-04-06,47268280000
2004-04-07,47268280000
2004-04-08,46646840000
2004-04-12,47326540000
2004-04-13,46763360000
2004-04-14,47579000000
2004-04-15,48491740000
2004-04-16,48316960000
2004-04-19,47637260000
2004-04-20,46918720000
2004-04-21,47345960000
2004-04-22,47967400000
2004-04-23,48355800000
2004-04-26,48083920000
2004-04-27,48006240000
2004-04-28,49482160000
2004-04-29,49132600000
2004-04-30,48744200000
2004-05-03,49734620000
2004-05-04,50064760000
2004-05-05,50589100000
2004-05-06,50841560000
2004-05-07,50492000000
2004-05-10,49287960000
2004-05-11,49423900000
2004-05-12,49656940000
2004-05-13,49482160000
2004-05-14,49831720000
2004-05-17,49385060000
2004-05-18,49618100000
2004-05-19,49501580000
2004-05-20,48763620000
2004-05-21,48685940000
2004-05-24,48414060000
2004-05-25,48763620000
2004-05-26,48647100000
2004-05-27,49035500000
2004-05-28,49074340000
2004-06-01,49054920000
2004-06-02,49113180000
2004-06-03,48880140000
2004-06-04,49462740000
2004-06-07,50297800000
2004-06-08,50297800000
2004-06-09,49773460000
2004-06-10,50200700000
2004-06-14,50064760000
2004-06-15,50181280000
2004-06-16,49909400000
2004-06-17,49909400000
2004-06-18,49132600000
2004-06-21,49132600000
2004-06-22,48860720000
2004-06-23,48569420000
2004-06-24,48064500000
2004-06-25,47676100000
2004-06-28,48045080000
2004-06-29,47870300000
2004-06-30,47579000000
2004-07-01,47229440000
2004-07-02,46899300000
2004-07-06,46472060000
2004-07-07,46394380000
2004-07-08,46258440000
2004-07-09,46763360000
2004-07-12,46763360000
2004-07-13,47015820000
2004-07-14,46413800000
2004-07-15,45850620000
2004-07-16,45753520000
2004-07-19,45928300000
2004-07-20,45695260000
2004-07-21,45248600000
2004-07-22,45578740000
2004-07-23,45656420000
2004-07-26,45442800000
2004-07-27,45986560000
2004-07-28,45772940000
2004-07-29,43830940000
2004-07-30,44471800000
2004-08-02,44976720000
2004-08-03,44937880000
2004-08-04,45248600000
2004-08-05,44666000000
2004-08-06,44025140000
2004-08-09,43695000000
2004-08-10,44102820000
2004-08-11,45093240000
2004-08-12,44646580000
2004-08-13,44083400000
2004-08-16,44588320000
2004-08-17,44763100000
2004-08-18,45151500000
2004-08-19,44976720000
2004-08-20,45559320000
2004-08-23,45248600000
