,IDXX
2000-07-20,768125465
2000-07-21,720922224
2000-07-24,811037502
2000-07-25,780999076
2000-07-26,826056715
2000-07-27,806746299
2000-07-28,806746299
2000-07-31,832493521
2000-08-01,864677549
2000-08-02,843221530
2000-08-03,866823151
2000-08-04,875405558
2000-08-07,892570373
2000-08-08,875405558
2000-08-09,879696762
2000-08-10,875405558
2000-08-11,918317595
2000-08-14,916171993
2000-08-15,926900003
2000-08-16,929045605
2000-08-17,933336808
2000-08-18,937628012
2000-08-21,948356021
2000-08-22,944064818
2000-08-23,954792827
2000-08-24,941919216
2000-08-25,931191206
2000-08-28,899007179
2000-08-29,924754401
2000-08-30,935482410
2000-08-31,896861577
2000-09-01,926900003
2000-09-05,873259956
2000-09-06,873259956
2000-09-07,890424771
2000-09-08,888279169
2000-09-11,907589586
2000-09-12,905443984
2000-09-13,918317595
2000-09-14,916171993
2000-09-15,888279169
2000-09-18,903298382
2000-09-19,883987966
2000-09-20,879696762
2000-09-21,879696762
2000-09-22,883987966
2000-09-25,841075928
2000-09-26,860386345
2000-09-27,862531947
2000-09-28,944064818
2000-09-29,918317595
2000-10-02,808456251
2000-10-03,800185599
2000-10-04,783644294
2000-10-05,806388588
2000-10-06,775373642
2000-10-09,715411414
2000-10-10,721614403
2000-10-11,719546740
2000-10-12,736088044
2000-10-13,731952718
2000-10-16,814659240
2000-10-17,773305979
2000-10-18,789847283
2000-10-19,864283153
2000-10-20,891162773
2000-10-23,882892121
2000-10-24,820862229
2000-10-25,829132881
2000-10-26,835335870
2000-10-27,824997555
2000-10-30,808456251
2000-10-31,793982610
2000-11-01,787779620
2000-11-02,808973134
2000-11-03,808456251
2000-11-06,827065218
2000-11-07,856012501
2000-11-08,845674186
2000-11-09,831200544
2000-11-10,827065218
2000-11-13,847741849
2000-11-14,767102990
2000-11-15,800185599
2000-11-16,738155707
2000-11-17,808456251
2000-11-20,758832338
2000-11-21,760900001
2000-11-22,742291033
2000-11-24,756764675
2000-11-27,765035327
2000-11-28,725749729
2000-11-29,696802446
2000-11-30,752629349
2000-12-01,765035327
2000-12-04,736088044
2000-12-05,719546740
2000-12-06,700937772
2000-12-07,731952718
2000-12-08,713343751
2000-12-11,682328805
2000-12-12,682328805
2000-12-13,713343751
2000-12-14,744358696
2000-12-15,690599457
2000-12-18,698870109
2000-12-19,698870109
2000-12-20,680261142
2000-12-21,698870109
2000-12-22,713343751
2000-12-26,734020381
2000-12-27,791914946
2000-12-28,802253262
2000-12-29,727817392
2001-01-02,736088044
2001-01-03,814659240
2001-01-04,736088044
2001-01-05,700937772
2001-01-08,703005435
2001-01-09,717479077
2001-01-10,752629349
2001-01-11,749010905
2001-01-12,760900001
2001-01-16,787779620
2001-01-17,762967664
2001-01-18,783644294
2001-01-19,822929892
2001-01-22,796050273
2001-01-23,810523914
2001-01-24,742291033
2001-01-25,752629349
2001-01-26,700937772
2001-01-29,719546740
2001-01-30,740223370
2001-01-31,734020381
2001-02-01,754697012
2001-02-02,744358696
2001-02-05,734020381
2001-02-06,729885055
2001-02-07,750561686
2001-02-08,754697012
2001-02-09,754697012
2001-02-12,752629349
2001-02-13,789847283
2001-02-14,779508968
2001-02-15,793982610
2001-02-16,783644294
2001-02-20,810523914
2001-02-21,787779620
2001-02-22,760900001
2001-02-23,769170653
2001-02-26,796050273
2001-02-27,787779620
2001-02-28,779508968
2001-03-01,791398064
2001-03-02,793982610
2001-03-05,787779620
2001-03-06,796050273
2001-03-07,796050273
2001-03-08,760900001
2001-03-09,748494022
2001-03-12,736088044
2001-03-13,736088044
2001-03-14,727817392
2001-03-15,719546740
2001-03-16,723682066
2001-03-19,705073098
2001-03-20,711276088
2001-03-21,678193479
2001-03-22,663719838
2001-03-23,703005435
2001-03-26,729885055
2001-03-27,705073098
2001-03-28,661652175
2001-03-29,692667120
2001-03-30,725749729
2001-04-02,645713750
2001-04-03,635332500
2001-04-04,670628750
2001-04-05,716306250
2001-04-06,697620000
2001-04-09,704264000
2001-04-10,718548600
2001-04-11,684664200
2001-04-12,732833200
2001-04-16,767714200
2001-04-17,803924000
2001-04-18,848438800
2001-04-19,831164400
2001-04-20,830500000
2001-04-23,826845800
2001-04-24,817212000
2001-04-25,857076000
2001-04-26,881991000
2001-04-27,892289200
2001-04-30,900594200
2001-05-01,896940000
2001-05-02,904580600
2001-05-03,888302800
2001-05-04,896940000
2001-05-07,881991000
2001-05-08,901923000
2001-05-09,895279000
2001-05-10,879001200
2001-05-11,874018200
2001-05-14,862723400
2001-05-15,911556800
2001-05-16,923848200
2001-05-17,935475200
2001-05-18,978329000
2001-05-21,988959400
2001-05-22,1029820000
2001-05-23,978661200
2001-05-24,995271200
2001-05-25,988627200
2001-05-29,970356200
2001-05-30,986634000
2001-05-31,988295000
2001-06-01,951753000
2001-06-04,970024000
2001-06-05,1002247400
2001-06-06,999922000
2001-06-07,982979800
2001-06-08,981318800
2001-06-11,963380000
2001-06-12,984973000
2001-06-13,975007000
2001-06-14,944444600
2001-06-15,940790400
2001-06-18,928831200
2001-06-19,939793800
2001-06-20,962383400
2001-06-21,946437800
2001-06-22,926173600
2001-06-25,939461600
2001-06-26,968695200
2001-06-27,973346000
2001-06-28,1013210000
2001-06-29,1038125000
2001-07-02,991708160
2001-07-03,967648773
2001-07-05,956113451
2001-07-06,919200418
2001-07-09,941611902
2001-07-10,932713225
2001-07-11,869433741
2001-07-12,893163547
2001-07-13,896788935
2001-07-16,837134838
2001-07-17,809120483
2001-07-18,779458225
2001-07-19,798903483
2001-07-20,848999741
2001-07-23,821644547
2001-07-24,819007902
2001-07-25,792971031
2001-07-26,790993548
2001-07-27,792641451
2001-07-30,772866612
2001-07-31,804506354
2001-08-01,807472580
2001-08-02,791323128
2001-08-03,819667064
2001-08-06,788686483
2001-08-07,787697741
2001-08-08,762649612
2001-08-09,766274999
2001-08-10,768582064
2001-08-13,771218709
2001-08-14,762320031
2001-08-15,765615838
2001-08-16,761990451
2001-08-17,757376322
2001-08-20,765945418
2001-08-21,775173677
2001-08-22,787038580
2001-08-23,802528870
2001-08-24,819667064
2001-08-27,820655806
2001-08-28,795937257
2001-08-29,800221806
2001-08-30,794289354
2001-08-31,797255580
2001-09-04,777151160
2001-09-05,786049838
2001-09-06,765945418
2001-09-07,738919806
2001-09-10,743863515
2001-09-17,718815386
2001-09-18,731009870
2001-09-19,729361967
2001-09-20,717497064
2001-09-21,693767257
2001-09-24,718485806
2001-09-25,747818483
2001-09-26,756057999
2001-09-27,784072354
2001-09-28,770229967
2001-10-01,805398910
2001-10-02,831149990
2001-10-03,824712220
2001-10-04,808109550
2001-10-05,821323920
2001-10-08,793539860
2001-10-09,805060080
2001-10-10,836571270
2001-10-11,818274450
2001-10-12,806415400
2001-10-15,782697300
2001-10-16,793201030
2001-10-17,808109550
2001-10-18,796589330
2001-10-19,804721250
2001-10-22,818274450
2001-10-23,817935620
2001-10-24,821662750
2001-10-25,855545750
2001-10-26,900948970
2001-10-29,887734600
2001-10-30,853173940
2001-10-31,853851600
2001-11-01,898577160
2001-11-02,889767580
2001-11-05,888412260
2001-11-06,897899500
2001-11-07,914841000
2001-11-08,872826080
2001-11-09,901965460
2001-11-12,917551640
2001-11-13,918568130
2001-11-14,930088350
2001-11-15,949401660
2001-11-16,914841000
2001-11-19,914841000
2001-11-20,918568130
2001-11-21,923311750
2001-11-23,922295260
2001-11-26,947707510
2001-11-27,938559100
2001-11-28,947029850
2001-11-29,987689450
2001-11-30,982607000
2001-12-03,964987840
2001-12-04,999887330
2001-12-05,985995300
2001-12-06,989383600
2001-12-07,1011407550
2001-12-10,982945830
2001-12-11,973458590
2001-12-12,972442100
2001-12-13,963632520
2001-12-14,985995300
2001-12-17,1011746380
2001-12-18,1001581480
2001-12-19,999548500
2001-12-20,969053800
2001-12-21,975830400
2001-12-24,963971350
2001-12-26,988028280
2001-12-27,1009374570
2001-12-28,972780930
2001-12-31,966004330
2002-01-02,946013360
2002-01-03,967698480
2002-01-04,907386740
2002-01-07,886379280
2002-01-08,893833540
2002-01-09,872826080
2002-01-10,905353760
2002-01-11,888073430
2002-01-14,885701620
2002-01-15,870454270
2002-01-16,861305860
2002-01-17,864016500
2002-01-18,845719680
2002-01-22,851818620
2002-01-23,855206920
2002-01-24,822679240
2002-01-25,832505310
2002-01-28,853851600
2002-01-29,862661180
2002-01-30,853851600
2002-01-31,861305860
2002-02-01,857239900
2002-02-04,855206920
2002-02-05,879941510
2002-02-06,863000010
2002-02-07,862322350
2002-02-08,880958000
2002-02-11,886040450
2002-02-12,902304290
2002-02-13,908064400
2002-02-14,908064400
2002-02-15,898915990
2002-02-19,893833540
2002-02-20,899254820
2002-02-21,903659610
2002-02-22,886040450
2002-02-25,879941510
2002-02-26,882652150
2002-02-27,886718110
2002-02-28,883668640
2002-03-01,884346300
2002-03-04,883329810
2002-03-05,913146850
2002-03-06,927377710
2002-03-07,922634090
2002-03-08,931782500
2002-03-11,943641550
2002-03-12,941947400
2002-03-13,951434640
2002-03-14,942286230
2002-03-15,950756980
2002-03-18,952112300
2002-03-19,949062830
2002-03-20,929071860
2002-03-21,954145280
2002-03-22,945674530
2002-03-25,923989410
2002-03-26,904337270
2002-03-27,916196320
2002-03-28,909419720
2002-04-01,934812440
2002-04-02,928386450
2002-04-03,936841700
2002-04-04,908770270
2002-04-05,920269410
2002-04-08,916210890
2002-04-09,927371820
2002-04-10,939885590
2002-04-11,931768550
2002-04-12,972353750
2002-04-15,977426900
2002-04-16,1006174750
2002-04-17,989602460
2002-04-18,1006174750
2002-04-19,996704870
2002-04-22,975059430
2002-04-23,975735850
2002-04-24,951046520
2002-04-25,952737570
2002-04-26,956119670
2002-04-29,953413990
2002-04-30,963222080
2002-05-01,960516400
2002-05-02,966265970
2002-05-03,969648070
2002-05-06,929062870
2002-05-07,908770270
2002-05-08,961531030
2002-05-09,924666140
2002-05-10,905049960
2002-05-13,943605900
2002-05-14,982500050
2002-05-15,982838260
2002-05-16,987911410
2002-05-17,1011924320
2002-05-20,985882150
2002-05-21,1001101600
2002-05-22,1034584390
2002-05-23,1100197130
2002-05-24,1051833100
2002-05-28,1073478540
2002-05-29,1065699710
2002-05-30,1058597300
2002-05-31,1068743600
2002-06-03,1046421740
2002-06-04,1034922600
2002-06-05,1036275440
2002-06-06,1003469070
2002-06-07,984191100
2002-06-10,974044800
2002-06-11,951046520
2002-06-12,920269410
2002-06-13,949017260
2002-06-14,954766830
2002-06-17,1001101600
2002-06-18,994675610
2002-06-19,960516400
2002-06-20,907417430
2002-06-21,909108480
2002-06-24,878331370
2002-06-25,869876120
2002-06-26,879346000
2002-06-27,880360630
2002-06-28,872243590
2002-07-01,839185200
2002-07-02,831525970
2002-07-03,835522090
2002-07-05,867491050
2002-07-08,836521120
2002-07-09,837187140
2002-07-10,825864800
2002-07-11,798557980
2002-07-12,812544400
2002-07-15,893132820
2002-07-16,964396960
2002-07-17,959068800
2002-07-18,957403750
2002-07-19,919107600
2002-07-22,922437700
2002-07-23,944416360
2002-07-24,970724150
2002-07-25,977051340
2002-07-26,967061040
2002-07-29,965729000
2002-07-30,965729000
2002-07-31,974054250
2002-08-01,984044550
2002-08-02,946081410
2002-08-05,909783320
2002-08-06,922437700
2002-08-07,905454190
2002-08-08,913113420
2002-08-09,945748400
2002-08-12,946081410
2002-08-13,933094020
2002-08-14,984377560
2002-08-15,1012350400
2002-08-16,1013349430
2002-08-19,1000695050
2002-08-20,999696020
2002-08-21,1004358160
2002-08-22,1018677590
2002-08-23,971057160
2002-08-26,1008021270
2002-08-27,963064920
2002-08-28,950410540
2002-08-29,974387260
2002-08-30,968726090
2002-09-03,947413450
2002-09-04,971723180
2002-09-05,972389200
2002-09-06,998696990
2002-09-09,1015680500
2002-09-10,1035661100
2002-09-11,1028667890
2002-09-12,992369800
2002-09-13,1009353310
2002-09-16,1039990230
2002-09-17,1042321300
2002-09-18,1050979560
2002-09-19,1047316450
2002-09-20,1022673710
2002-09-23,1013016420
2002-09-24,1031664980
2002-09-25,1031664980
2002-09-26,1032331000
2002-09-27,1015680500
2002-09-30,1036180600
2002-10-01,1054600100
2002-10-02,1049576600
2002-10-03,1061298100
2002-10-04,1054265200
2002-10-07,1047232300
2002-10-08,1034171200
2002-10-09,999676500
2002-10-10,985945600
2002-10-11,1004700000
2002-10-14,1033166500
2002-10-15,1036850400
2002-10-16,1018765800
2002-10-17,1041539000
2002-10-18,1038190000
2002-10-21,1054935000
2002-10-22,1073354499
2002-10-23,1109858600
2002-10-24,1090099500
2002-10-25,1164782200
2002-10-28,1169805700
2002-10-29,1168801000
2002-10-30,1186550700
2002-10-31,1155405000
2002-11-01,1154400300
2002-11-04,1175499000
2002-11-05,1188560100
2002-11-06,1207649400
2002-11-07,1198272200
2002-11-08,1181192300
2002-11-11,1186885600
2002-11-12,1214012500
2002-11-13,1209993700
2002-11-14,1224059500
2002-11-15,1221715200
2002-11-18,1202291000
2002-11-19,1162103000
2002-11-20,1178848000
2002-11-21,1206979600
2002-11-22,1213342700
2002-11-25,1214012500
2002-11-26,1071345100
2002-11-27,1071680000
2002-11-29,1048571900
2002-12-02,1068331000
2002-12-03,1069000800
2002-12-04,1080052500
2002-12-05,1062972600
2002-12-06,1078043100
2002-12-09,1046897400
2002-12-10,1076703500
2002-12-11,1101486100
2002-12-12,1101486100
2002-12-13,1096797500
2002-12-16,1091439100
2002-12-17,1076703500
2002-12-18,1063642400
2002-12-19,1066656500
2002-12-20,1109523700
2002-12-23,1112202900
2002-12-24,1104835100
2002-12-26,1107849200
2002-12-27,1095792800
2002-12-30,1096797500
2002-12-31,1110724200
2003-01-02,1130673280
2003-01-03,1115119760
2003-01-06,1108357360
2003-01-07,1084012720
2003-01-08,1087393920
2003-01-09,1120867800
2003-01-10,1118839080
2003-01-13,1113429160
2003-01-14,1152989200
2003-01-15,1119515320
2003-01-16,1139802520
2003-01-17,1158399120
2003-01-21,1140478760
2003-01-22,1150960480
2003-01-23,1147241160
2003-01-24,1114781640
2003-01-27,1102271200
2003-01-28,1139464400
2003-01-29,1163470920
2003-01-30,1126615840
2003-01-31,1170571440
2003-02-03,1178010080
2003-02-04,1148931760
2003-02-05,1142845600
2003-02-06,1158737240
2003-02-07,1175305120
2003-02-10,1193225480
2003-02-11,1205397800
2003-02-12,1191873000
2003-02-13,1203707200
2003-02-14,1217570120
2003-02-18,1250705880
2003-02-19,1274712400
2003-02-20,1234138000
2003-02-21,1246986560
2003-02-24,1216555760
2003-02-25,1216555760
2003-02-26,1228389960
2003-02-27,1228728080
2003-02-28,1232785520
2003-03-03,1244281600
2003-03-04,1243605360
2003-03-05,1226699360
2003-03-06,1215879520
2003-03-07,1217570120
2003-03-10,1218922600
2003-03-11,1212160200
2003-03-12,1199649760
2003-03-13,1217232000
2003-03-14,1211145840
2003-03-17,1225685000
2003-03-18,1218246360
2003-03-19,1239886040
2003-03-20,1205397800
2003-03-21,1206750280
2003-03-24,1212160200
2003-03-25,1233123640
2003-03-26,1209793360
2003-03-27,1217232000
2003-03-28,1209455240
2003-03-31,1192477000
2003-04-01,1178155000
2003-04-02,1139622000
2003-04-03,1143714000
2003-04-04,1149511000
2003-04-07,1173381000
2003-04-08,1178155000
2003-04-09,1171335000
2003-04-10,1151898000
2003-04-11,1137576000
2003-04-14,1140304000
2003-04-15,1138940000
2003-04-16,1130756000
2003-04-17,1168607000
2003-04-21,1202025000
2003-04-22,1237148000
2003-04-23,1232033000
2003-04-24,1238853000
2003-04-25,1234079000
2003-04-28,1233738000
2003-04-29,1276363000
2003-04-30,1329900000
2003-05-01,1278409000
2003-05-02,1305007000
2003-05-05,1304666000
2003-05-06,1323421000
2003-05-07,1254880000
2003-05-08,1258290000
2003-05-09,1238512000
2003-05-12,1210550000
2003-05-13,1222826000
2003-05-14,1239535000
2003-05-15,1240217000
2003-05-16,1222485000
2003-05-19,1193159000
2003-05-20,1193500000
2003-05-21,1192818000
2003-05-22,1190090000
2003-05-23,1186680000
2003-05-27,1167584000
2003-05-28,1219757000
2003-05-29,1219757000
2003-05-30,1215324000
2003-06-02,1210891000
2003-06-03,1219075000
2003-06-04,1219757000
2003-06-05,1250447000
2003-06-06,1232374000
2003-06-09,1203730000
2003-06-10,1224531000
2003-06-11,1234761000
2003-06-12,1228623000
2003-06-13,1227600000
2003-06-16,1261700000
2003-06-17,1254880000
2003-06-18,1210209000
2003-06-19,1191454000
2003-06-20,1196569000
2003-06-23,1184634000
2003-06-24,1170653000
2003-06-25,1171676000
2003-06-26,1188385000
2003-06-27,1164856000
2003-06-30,1146818640
2003-07-01,1200495120
2003-07-02,1217699120
2003-07-03,1204280000
2003-07-07,1225957040
2003-07-08,1269311120
2003-07-09,1263805840
2003-07-10,1227333360
2003-07-11,1243849200
2003-07-14,1224236640
2003-07-15,1185699680
2003-07-16,1177785840
2003-07-17,1181914800
2003-07-18,1183979280
2003-07-21,1388018720
2003-07-22,1362212720
2003-07-23,1364277200
2003-07-24,1361868640
2003-07-25,1359116000
2003-07-28,1381481200
2003-07-29,1399373360
2003-07-30,1384577920
2003-07-31,1392491760
2003-08-01,1376320000
2003-08-04,1359460080
2003-08-05,1341912000
2003-08-06,1334686320
2003-08-07,1328148800
2003-08-08,1339159360
2003-08-11,1343288320
2003-08-12,1342256080
2003-08-13,1362556800
2003-08-14,1355675200
2003-08-15,1353266640
2003-08-18,1354298880
2003-08-19,1425179360
2003-08-20,1408319440
2003-08-21,1476103200
2003-08-22,1421050400
2003-08-25,1436189920
2003-08-26,1431028720
2003-08-27,1433781360
2003-08-28,1432060960
2003-08-29,1428276080
2003-09-02,1431372800
2003-09-03,1427932000
2003-09-04,1436189920
2003-09-05,1431372800
2003-09-08,1465780800
2003-09-09,1457178800
2003-09-10,1475759120
2003-09-11,1496059840
2003-09-12,1512919760
2003-09-15,1536702569
2003-09-16,1539758000
2003-09-17,1542854720
2003-09-18,1554897520
2003-09-19,1556617920
2003-09-22,1544575120
2003-09-23,1569692960
2003-09-24,1547327760
2003-09-25,1507414480
2003-09-26,1480920320
2003-09-29,1473006480
2003-09-30,1478910350
2003-10-01,1498374270
2003-10-02,1498721840
2003-10-03,1506020810
2003-10-06,1553985470
2003-10-07,1550162200
2003-10-08,1538692390
2003-10-09,1557808740
2003-10-10,1509844080
2003-10-13,1518533330
2003-10-14,1527917720
2003-10-15,1526875010
2003-10-16,1541472950
2003-10-17,1517143050
2003-10-20,1600212280
2003-10-21,1601254990
2003-10-22,1600212280
2003-10-23,1609249100
2003-10-24,1637402270
2003-10-27,1652695350
2003-10-28,1649567220
2003-10-29,1657213760
2003-10-30,1657213760
2003-10-31,1644006100
2003-11-03,1667293290
2003-11-04,1647481800
2003-11-05,1667293290
2003-11-06,1679778004
2003-11-07,1687452350
2003-11-10,1668336000
2003-11-11,1644006100
2003-11-12,1667988430
2003-11-13,1661384600
2003-11-14,1659646750
2003-11-17,1659646750
2003-11-18,1634621710
2003-11-19,1629755730
2003-11-20,1657908900
2003-11-21,1683629080
2003-11-24,1650609930
2003-11-25,1648176940
2003-11-26,1643310960
2003-11-28,1645743950
2003-12-01,1647481800
2003-12-02,1633579000
2003-12-03,1612724800
2003-12-04,1620760618
2003-12-05,1624889750
2003-12-08,1605773400
2003-12-09,1598822000
2003-12-10,1585266770
2003-12-11,1580400790
2003-12-12,1600212280
2003-12-15,1619676200
2003-12-16,1560241730
2003-12-17,1590827890
2003-12-18,1572754250
2003-12-19,1571016400
2003-12-22,1599517140
2003-12-23,1606816110
2003-12-24,1626627600
2003-12-26,1616895640
2003-12-29,1682238800
2003-12-30,1644353670
2003-12-31,1609387000
2004-01-02,1633729500
2004-01-05,1625731250
2004-01-06,1627122250
2004-01-07,1630947500
2004-01-08,1634425000
2004-01-09,1628165500
2004-01-12,1591304000
2004-01-13,1630947500
2004-01-14,1625731250
2004-01-15,1625731250
2004-01-16,1616689750
2004-01-20,1625731250
2004-01-21,1629208750
2004-01-22,1627817750
2004-01-23,1662245000
2004-01-26,1738750000
2004-01-27,1721710250
2004-01-28,1704322750
2004-01-29,1705713750
2004-01-30,1703279500
2004-02-02,1724840000
2004-02-03,1742227500
2004-02-04,1751269000
2004-02-05,1770047500
2004-02-06,1805865750
2004-02-09,1777002500
2004-02-10,1813864000
2004-02-11,1843075000
2004-02-12,1821514500
2004-02-13,1761701500
2004-02-17,1767613250
2004-02-18,1805170250
2004-02-19,1757528500
2004-02-20,1747791500
2004-02-23,1740141000
2004-02-24,1719276000
2004-02-25,1747443750
2004-02-26,1777350250
2004-02-27,1775959250
2004-03-01,1812473000
2004-03-02,1771438500
2004-03-03,1774568250
2004-03-04,1777002500
2004-03-05,1748139250
2004-03-08,1731795000
2004-03-09,1773872750
2004-03-10,1728317500
2004-03-11,1713364250
2004-03-12,1895585250
2004-03-15,1948095500
2004-03-16,1950877500
2004-03-17,1939401750
2004-03-18,1912277250
2004-03-19,1904279000
2004-03-22,1885500500
2004-03-23,1885500500
2004-03-24,1896976250
2004-03-25,1946704500
2004-03-26,1911929500
2004-03-29,1924796250
2004-03-30,1946704500
2004-03-31,1966792080
2004-04-01,1996534320
2004-04-02,2059477200
2004-04-05,2052560400
2004-04-06,2048064480
2004-04-07,2039418480
2004-04-08,2069506560
2004-04-12,2083340160
2004-04-13,2009676240
2004-04-14,2018668080
2004-04-15,2048756160
2004-04-16,2134178640
2004-04-19,2182250400
2004-04-20,2158041600
2004-04-21,2146283040
2004-04-22,2144208000
2004-04-23,2119999200
2004-04-26,2121382560
2004-04-27,2135216160
2004-04-28,2096136240
2004-04-29,2123457600
2004-04-30,2118615840
2004-05-03,2152162320
2004-05-04,2164266720
2004-05-05,2183633760
2004-05-06,2149395600
2004-05-07,2100286320
2004-05-10,2061552240
2004-05-11,2083686000
2004-05-12,2111353200
2004-05-13,2140749600
2004-05-14,2140057920
2004-05-17,2128991040
2004-05-18,2133486960
2004-05-19,2109278160
2004-05-20,2104782240
2004-05-21,2133486960
2004-05-24,2061898080
2004-05-25,2150087280
2004-05-26,2272860480
2004-05-27,2300873520
2004-05-28,2273552160
2004-06-01,2321623920
2004-06-02,2338570080
2004-06-03,2319548880
2004-06-04,2299490160
2004-06-07,2308827840
2004-06-08,2299144320
2004-06-09,2266289520
2004-06-10,2259372720
2004-06-14,2246230800
2004-06-15,2235163920
2004-06-16,2262485280
2004-06-17,2201617440
2004-06-18,2184325440
2004-06-21,2185708800
2004-06-22,2166687600
2004-06-23,2170491840
2004-06-24,2131066080
2004-06-25,2149395600
2004-06-28,2132795280
2004-06-29,2171875200
2004-06-30,2143107000
2004-07-01,2164899000
2004-07-02,2137999500
2004-07-06,2094756000
2004-07-07,2031763500
2004-07-08,2002140000
2004-07-09,1977283500
2004-07-12,1985455500
2004-07-13,1978986000
2004-07-14,1980688500
2004-07-15,1975240500
2004-07-16,1915653000
2004-07-19,1903054500
2004-07-20,1942212000
2004-07-21,1878198000
2004-07-22,1865940000
2004-07-23,1779112500
2004-07-26,1702500000
2004-07-27,1741317000
2004-07-28,1697392500
2004-07-29,1705905000
2004-07-30,1715779500
2004-08-02,1690242000
2004-08-03,1655851500
2004-08-04,1641550500
2004-08-05,1597285500
2004-08-06,1571067000
2004-08-09,1580260500
2004-08-10,1621461000
2004-08-11,1675600500
2004-08-12,1651425000
2004-08-13,1644955500
2004-08-16,1678324500
2004-08-17,1679346000
2004-08-18,1681389000
2004-08-19,1696371000
2004-08-20,1702500000
2004-08-23,1697392500
2004-08-24,1671174000
2004-08-25,1704202500
2004-08-26,1663342500
2004-08-27,1667769000
2004-08-30,1640188500
2004-08-31,1658575500
2004-09-01,1670833500
2004-09-02,1668450000
2004-09-03,1668450000
2004-09-07,1668109500
2004-09-08,1661980500
2004-09-09,1663342500
2004-09-10,1674238500
2004-09-13,1716120000
2004-09-14,1706586000
2004-09-15,1693647000
2004-09-16,1697052000
2004-09-17,1698414000
2004-09-20,1678665000
2004-09-21,1720546500
2004-09-22,1668109500
2004-09-23,1686156000
2004-09-24,1707267000
2004-09-27,1677984000
2004-09-28,1655851500
2004-09-29,1719021060
2004-09-30,1672136700
2004-10-01,1688284650
2004-10-04,1730467050
2004-10-05,1711023600
2004-10-06,1705421250
2004-10-07,1693887000
2004-10-08,1653352350
2004-10-11,1617101850
2004-10-12,1608204000
2004-10-13,1590078750
2004-10-14,1583817300
2004-10-15,1577885400
2004-10-18,1584476400
2004-10-19,1564703400
2004-10-20,1582828650
2004-10-21,1587442350
2004-10-22,1604908500
2004-10-25,1579533150
2004-10-26,1556135100
2004-10-27,1603260750
2004-10-28,1635886200
2004-10-29,1642477200
2004-11-01,1652363700
2004-11-02,1658295600
2004-11-03,1691580150
2004-11-04,1709046300
2004-11-05,1725523800
2004-11-08,1708387200
