,VIAV
2000-07-26,73195928774
2000-07-27,69258488213
2000-07-28,62595138304
2000-07-31,63604735717
2000-08-01,62931668330
2000-08-02,60643245199
2000-08-03,62830712257
2000-08-04,62426873291
2000-08-07,65253745930
2000-08-08,64547031409
2000-08-09,65220091460
2000-08-10,63402816235
2000-08-11,63402816235
2000-08-14,64748950891
2000-08-15,63638390069
2000-08-16,64311457456
2000-08-17,64748950891
2000-08-18,66162387152
2000-08-21,66970065082
2000-08-22,67037373904
2000-08-23,66229696091
2000-08-24,67373904048
2000-08-25,67474867339
2000-08-28,66532571647
2000-08-29,65422010943
2000-08-30,63537426778
2000-08-31,67028960404
2000-09-01,66667182190
2000-09-05,64277802987
2000-09-06,62864359390
2000-09-07,64547031409
2000-09-08,61551886421
2000-09-11,59095194728
2000-09-12,55561596682
2000-09-13,56436583434
2000-09-14,57580795058
2000-09-15,55797170635
2000-09-18,52667411554
2000-09-19,58119248235
2000-09-20,57681754800
2000-09-21,55729861695
2000-09-22,57614449528
2000-09-25,57513489787
2000-09-26,55494291411
2000-09-27,52633760634
2000-09-28,52431841270
2000-09-29,50984746872
2000-10-02,49281454103
2000-10-03,48014311703
2000-10-04,51541756997
2000-10-05,52089709612
2000-10-06,50069132954
2000-10-09,51267778944
2000-10-10,49658169426
2000-10-11,47055395561
2000-10-12,47295125530
2000-10-13,51712990677
2000-10-16,51747238761
2000-10-17,50377355479
2000-10-18,47671844465
2000-10-19,49281454103
2000-10-20,56096607498
2000-10-23,55445914122
2000-10-24,52089709612
2000-10-25,38904606968
2000-10-26,40788194660
2000-10-27,42329307889
2000-10-30,39075844260
2000-10-31,44623858987
2000-11-01,43048497674
2000-11-02,44178647375
2000-11-03,44521118106
2000-11-06,42432048770
2000-11-07,40616957489
2000-11-08,37534727419
2000-11-09,40411475725
2000-11-10,37568975624
2000-11-13,37260749245
2000-11-14,41438888156
2000-11-15,41130661778
2000-11-16,37397738332
2000-11-17,38425150764
2000-11-20,35377165286
2000-11-21,36370329633
2000-11-22,33973037532
2000-11-24,36164847869
2000-11-27,34007285737
2000-11-28,32928504610
2000-11-29,31507252754
2000-11-30,27431858457
2000-12-01,30788064774
2000-12-04,32089453573
2000-12-05,37329245655
2000-12-06,35959366106
2000-12-07,36712800364
2000-12-08,40856687337
2000-12-11,39315570496
2000-12-12,36370329633
2000-12-13,35445657963
2000-12-14,33699063091
2000-12-15,31875409758
2000-12-18,32431920691
2000-12-19,28356528201
2000-12-20,25205801842
2000-12-21,23596192324
2000-12-22,22431794538
2000-12-26,22945498827
2000-12-27,25959236220
2000-12-28,24178391216
2000-12-29,22842757945
2001-01-02,25508034961
2001-01-03,34850148495
2001-01-04,31113303481
2001-01-05,27376458468
2001-01-08,29407352615
2001-01-09,28391905613
2001-01-10,30341563297
2001-01-11,32088133466
2001-01-12,32616164405
2001-01-16,31275774122
2001-01-17,34931384815
2001-01-18,39196265195
2001-01-19,39521206333
2001-01-22,38830700470
2001-01-23,41511481321
2001-01-24,40983452381
2001-01-25,35865595640
2001-01-26,38749466292
2001-01-29,37246605225
2001-01-30,38668232114
2001-01-31,35621888680
2001-02-01,36271775241
2001-02-02,32494311067
2001-02-05,32494311067
2001-02-06,33672230852
2001-02-07,31357010442
2001-02-08,29204262815
2001-02-09,27701401748
2001-02-12,26401628483
2001-02-13,25020621040
2001-02-14,26807808226
2001-02-15,29326116295
2001-02-16,23274050871
2001-02-20,22299220886
2001-02-21,20593270019
2001-02-22,19862146995
2001-02-23,21040066923
2001-02-26,21202537421
2001-02-27,18074960951
2001-02-28,17384457087
2001-03-01,19009172633
2001-03-02,17150903952
2001-03-05,18399903090
2001-03-06,18196814432
2001-03-07,17506310567
2001-03-08,18278050752
2001-03-09,16897042166
2001-03-12,14866148019
2001-03-13,15881595021
2001-03-14,15962830341
2001-03-15,15719123381
2001-03-16,14581822898
2001-03-19,16003448501
2001-03-20,13972554354
2001-03-21,14581822898
2001-03-22,16531480583
2001-03-23,15069236820
2001-03-26,14663058076
2001-03-27,15150473140
2001-03-28,12946952526
2001-03-29,11373008823
2001-03-30,11982277367
2001-04-02,12489046739
2001-04-03,10524477707
2001-04-04,10278906250
2001-04-05,12114842910
2001-04-06,10805130497
2001-04-09,11428178752
2001-04-10,13411458189
2001-04-11,14578973529
2001-04-12,16307794612
2001-04-16,14893304456
2001-04-17,15207635547
2001-04-18,17445374324
2001-04-19,19383748591
2001-04-20,21352058816
2001-04-23,18096487447
2001-04-24,15581839376
2001-04-25,15185184278
2001-04-26,13628497212
2001-04-27,14414324035
2001-04-30,16008431582
2001-05-01,16539800381
2001-05-02,17849513946
2001-05-03,16150628491
2001-05-04,16599673283
2001-05-07,16704451026
2001-05-08,17205882716
2001-05-09,16509864588
2001-05-10,15911138363
2001-05-11,15484546156
2001-05-14,15072923162
2001-05-15,14848400766
2001-05-16,15739005497
2001-05-17,16098240278
2001-05-18,15858749985
2001-05-21,17587571233
2001-05-22,17363048837
2001-05-23,16824195515
2001-05-24,16876583893
2001-05-25,15911138363
2001-05-29,14346967925
2001-05-30,12678019579
2001-05-31,12505885561
2001-06-01,12939962292
2001-06-04,12692987476
2001-06-05,12947445500
2001-06-06,12371171861
2001-06-07,12767828274
2001-06-08,12011937080
2001-06-11,11375790538
2001-06-12,11308434263
2001-06-13,10612414819
2001-06-14,10335504210
2001-06-15,9310186436
2001-06-18,7933117254
2001-06-19,8112734645
2001-06-20,7484072627
2001-06-21,8165123516
2001-06-22,8801269565
2001-06-25,8965919058
2001-06-26,9003339376
2001-06-27,9078180174
2001-06-28,9347606918
2001-06-29,9355090784
2001-07-02,9750962421
2001-07-03,9532769829
2001-07-05,8735237117
2001-07-06,8509520842
2001-07-09,8833047972
2001-07-10,8118277921
2001-07-11,8246184499
2001-07-12,9051240398
2001-07-13,8945906357
2001-07-16,7982848156
2001-07-17,7621701455
2001-07-18,7681892241
2001-07-19,7599129580
2001-07-20,7471223663
2001-07-23,7222935347
2001-07-24,6899407722
2001-07-25,6613500000
2001-07-26,7125124493
2001-07-27,6432926318
2001-07-30,6598451807
2001-07-31,6952075321
2001-08-01,7253030575
2001-08-02,7147696534
2001-08-03,6869312660
2001-08-06,7110076962
2001-08-07,7170267748
2001-08-08,6876836343
2001-08-09,6748930426
2001-08-10,6598451807
2001-08-13,6816644895
2001-08-14,6726358385
2001-08-15,6259877147
2001-08-16,6154542444
2001-08-17,5831015315
2001-08-20,5650441799
2001-08-21,5319390821
2001-08-22,5642917951
2001-08-23,5281771415
2001-08-24,5763300184
2001-08-27,5770823867
2001-08-28,5349486545
2001-08-29,5372057925
2001-08-30,4852909583
2001-08-31,5304342629
2001-09-04,5010911223
2001-09-05,4875481128
2001-09-06,4702431625
2001-09-07,4837861721
2001-09-10,4672336232
2001-09-17,4401476206
2001-09-18,4025281643
2001-09-19,4288617656
2001-09-20,4303665517
2001-09-21,4032805491
2001-09-24,4807766328
2001-09-25,4958243955
2001-09-26,4732527349
2001-09-27,4536906137
2001-09-28,4755098894
2001-10-01,4910323852
2001-10-02,4736306037
2001-10-03,5394546590
2001-10-04,5311320903
2001-10-05,5235660991
2001-10-08,5167567187
2001-10-09,5016247529
2001-10-10,5666922141
2001-10-11,6771555726
2001-10-12,6839649696
2001-10-15,6718593970
2001-10-16,6658065941
2001-10-17,6143578938
2001-10-18,6234370566
2001-10-19,6143578938
2001-10-22,6317596919
2001-10-23,6665632381
2001-10-24,6862347354
2001-10-25,7535719790
2001-10-26,6635367618
2001-10-29,6302464703
2001-10-30,5893901710
2001-10-31,6045221535
2001-11-01,6370558674
2001-11-02,6362992733
2001-11-05,6771555726
2001-11-06,6794253882
2001-11-07,6847215638
2001-11-08,6665632381
2001-11-09,6938007266
2001-11-12,7286042562
2001-11-13,7997245037
2001-11-14,8239356490
2001-11-15,8019943194
2001-11-16,8776541483
2001-11-19,9275896603
2001-11-20,8466336060
2001-11-21,8587391786
2001-11-23,8859767336
2001-11-26,8867333111
2001-11-27,8504166099
2001-11-28,7649209575
2001-11-29,7883755252
2001-11-30,7626512083
2001-12-03,7308740719
2001-12-04,8012377419
2001-12-05,8647919981
2001-12-06,8420940245
2001-12-07,7966981604
2001-12-10,7528154015
2001-12-11,7611380367
2001-12-12,7452494103
2001-12-13,6589971804
2001-12-14,6453784361
2001-12-17,6612670127
2001-12-18,6703461589
2001-12-19,6355426958
2001-12-20,6204107134
2001-12-21,6393256166
2001-12-24,6393256166
2001-12-26,6423520263
2001-12-27,6431086870
2001-12-28,6400822772
2001-12-31,6709966011
2002-01-02,7057833148
2002-01-03,7359317445
2002-01-04,7745836411
2002-01-07,7506194767
2002-01-08,7444351434
2002-01-09,7405699605
2002-01-10,7297474791
2002-01-11,6972798309
2002-01-14,6709966011
2002-01-15,6880033989
2002-01-16,6269334553
2002-01-17,6709966011
2002-01-18,6323446875
2002-01-22,5960119244
2002-01-23,6076075070
2002-01-24,6099266405
2002-01-25,5534948959
2002-01-28,5697286945
2002-01-29,5380341475
2002-01-30,5395801969
2002-01-31,5411262802
2002-02-01,5403532470
2002-02-04,5125238998
2002-02-05,4777372201
2002-02-06,4839215025
2002-02-07,4870136352
2002-02-08,5102047833
2002-02-11,5349419808
2002-02-12,5063396005
2002-02-13,5001553011
2002-02-14,4700068374
2002-02-15,4692337702
2002-02-19,4553191051
2002-02-20,4491348058
2002-02-21,4066177433
2002-02-22,3849726785
2002-02-25,4158942094
2002-02-26,3981143274
2002-02-27,3834266291
2002-02-28,3749232303
2002-03-01,3849726785
2002-03-04,4460426731
2002-03-05,4823754361
2002-03-06,5086587000
2002-03-07,4955170851
2002-03-08,4924249184
2002-03-11,5132969160
2002-03-12,4622764547
2002-03-13,4599573382
2002-03-14,4645955542
2002-03-15,4715529207
2002-03-18,4638225380
2002-03-19,4390853065
2002-03-20,4329010072
2002-03-21,4514539053
2002-03-22,4522269724
2002-03-25,4298088745
2002-03-26,4189863421
2002-03-27,4305819076
2002-03-28,4553191051
2002-04-01,4767406166
2002-04-02,4542235595
2002-04-03,4495648657
2002-04-04,4596587165
2002-04-05,4332593606
2002-04-08,4386945346
2002-04-09,4177303869
2002-04-10,4107423035
2002-04-11,3882252465
2002-04-12,3928839744
2002-04-15,4068600900
2002-04-16,4433532626
2002-04-17,4565528979
2002-04-18,4410238730
2002-04-19,4254948823
2002-04-22,4037542713
2002-04-23,4022013620
2002-04-24,3897781558
2002-04-25,3905546019
2002-04-26,3517320738
2002-04-29,3276621416
2002-04-30,3369795292
2002-05-01,3284385706
2002-05-02,3206740753
2002-05-03,2981570011
2002-05-06,2911689348
2002-05-07,3004863566
2002-05-08,3369795292
2002-05-09,3222269846
2002-05-10,2934982903
2002-05-13,2888395965
2002-05-14,3004863566
2002-05-15,3144624721
2002-05-16,3385324385
2002-05-17,3486262552
2002-05-20,3330972645
2002-05-21,3144624721
2002-05-22,3136859919
2002-05-23,3160153815
2002-05-24,3035921752
2002-05-28,3098037783
2002-05-29,2927218441
2002-05-30,2872866871
2002-05-31,2725341255
2002-06-03,2453583575
2002-06-04,2593344731
2002-06-05,2422525560
2002-06-06,2220648543
2002-06-07,2375938621
2002-06-10,2189590528
2002-06-11,2143003419
2002-06-12,2104180942
2002-06-13,1964419786
2002-06-14,2135238958
2002-06-17,2290529036
2002-06-18,2344880606
2002-06-19,2150767880
2002-06-20,2306057958
2002-06-21,2205119450
2002-06-24,2306057958
2002-06-25,1987713341
2002-06-26,1770307231
2002-06-27,2166296973
2002-06-28,2073122926
2002-07-01,2056591613
2002-07-02,1960188897
2002-07-03,2072658644
2002-07-05,2329732728
2002-07-08,2289564797
2002-07-09,2498437435
2002-07-10,2594840151
2002-07-11,3084887419
2002-07-12,2851913882
2002-07-15,3068820212
2002-07-16,2876014958
2002-07-17,2972417496
2002-07-18,2908149019
2002-07-19,2635007904
2002-07-22,2683209350
2002-07-23,2281531282
2002-07-24,2418101751
2002-07-25,2032490890
2002-07-26,1719182021
2002-07-29,1703114990
2002-07-30,2008390167
2002-07-31,2032490890
2002-08-01,1839685459
2002-08-02,1911987451
2002-08-05,1911987451
2002-08-06,1903953936
2002-08-07,1984289620
2002-08-08,1992323136
2002-08-09,1879853213
2002-08-12,1823618252
2002-08-13,1767383467
2002-08-14,2072658644
2002-08-15,1903953936
2002-08-16,1855752490
2002-08-19,1887886728
2002-08-20,1887886728
2002-08-21,1928054659
2002-08-22,2088725851
2002-08-23,2442202474
2002-08-26,2651075112
2002-08-27,2329732728
2002-08-28,2169061359
2002-08-29,2257430559
2002-08-30,2161027843
2002-09-03,1984289620
2002-09-04,2273497766
2002-09-05,2241363528
2002-09-06,2241363528
2002-09-09,2177095051
2002-09-10,2161027843
2002-09-11,2193162082
2002-09-12,2064625128
2002-09-13,2056591613
2002-09-16,1928054659
2002-09-17,1831651944
2002-09-18,1751316259
2002-09-19,1646880028
2002-09-20,1719182021
2002-09-23,1502275867
2002-09-24,1598678582
2002-09-25,1711148505
2002-09-26,1614745790
2002-09-27,1622779305
2002-09-30,1561159293
2002-10-01,1561159293
2002-10-02,1432403909
2002-10-03,1335837371
2002-10-04,1351931706
2002-10-07,1303648525
2002-10-08,1359978873
2002-10-09,1408262230
2002-10-10,1480687089
2002-10-11,1480687089
2002-10-14,1488734434
2002-10-15,1641631319
2002-10-16,1537017614
2002-10-17,1633584152
2002-10-18,1601395306
2002-10-21,1826717228
2002-10-22,1834764572
2002-10-23,1866953418
2002-10-24,1947425444
2002-10-25,1770386880
2002-10-28,1834764572
2002-10-29,1657725831
2002-10-30,1810622893
2002-10-31,1810622893
2002-11-01,1995708801
2002-11-04,2253219569
2002-11-05,2172747366
2002-11-06,2229077890
2002-11-07,2148605864
2002-11-08,2011803136
2002-11-11,1858906073
2002-11-12,2035944815
2002-11-13,2043991982
2002-11-14,2221030723
2002-11-15,2156653031
2002-11-18,2293455582
2002-11-19,2212983556
2002-11-20,2462447156
2002-11-21,2583155372
2002-11-22,2494636002
2002-11-25,2663627399
2002-11-26,2518777504
2002-11-27,2728005091
2002-11-29,2744099602
2002-12-02,2703863412
2002-12-03,2655580231
2002-12-04,2502683169
2002-12-05,2390022120
2002-12-06,2406116631
2002-12-09,2132511352
2002-12-10,2293455582
2002-12-11,2269314080
2002-12-12,2333691772
2002-12-13,2188841877
2002-12-16,2245172402
2002-12-17,2349786107
2002-12-18,2148605864
2002-12-19,2068133660
2002-12-20,1883047752
2002-12-23,2060086493
2002-12-24,1987661634
2002-12-26,2043991982
2002-12-27,2019850480
2002-12-30,1971567123
2002-12-31,1998761179
2003-01-02,2225341349
2003-01-03,2241525558
2003-01-06,2468105727
2003-01-07,2524750814
2003-01-08,2395276431
2003-01-09,2565211692
2003-01-10,2751330983
2003-01-13,2605672392
2003-01-14,2654225196
2003-01-15,2508566605
2003-01-16,2387184327
2003-01-17,2225341349
2003-01-21,2249617662
2003-01-22,2201064858
2003-01-23,2290078540
2003-01-24,2168696262
2003-01-27,2047313984
2003-01-28,2152511875
2003-01-29,2273894153
2003-01-30,2184880471
2003-01-31,2184880471
2003-02-03,2217249067
2003-02-04,2112051175
2003-02-05,2152511875
2003-02-06,2249617662
2003-02-07,2168696262
2003-02-10,2298170645
2003-02-11,2346723627
2003-02-12,2209156962
2003-02-13,2209156962
2003-02-14,2273894153
2003-02-18,2427645027
2003-02-19,2354815731
2003-02-20,2265802049
2003-02-21,2322447136
2003-02-24,2290078540
2003-02-25,2306262749
2003-02-26,2209156962
2003-02-27,2298170645
2003-02-28,2322447136
2003-03-03,2265802049
2003-03-04,2306262749
2003-03-05,2322447136
2003-03-06,2338631345
2003-03-07,2306262749
2003-03-10,2241525558
2003-03-11,2233433453
2003-03-12,2160604158
2003-03-13,2354815731
2003-03-14,2362907836
2003-03-17,2557119410
2003-03-18,2516658709
2003-03-19,2484290114
2003-03-20,2476198009
2003-03-21,2500474323
2003-03-24,2290078540
2003-03-25,2362907836
2003-03-26,2427645027
2003-03-27,2427645027
2003-03-28,2403368536
2003-03-31,2315179131
2003-04-01,2323302699
2003-04-02,2558882254
2003-04-03,2502018168
2003-04-04,2534511906
2003-04-07,2518265126
2003-04-08,2591375992
2003-04-09,2534511906
2003-04-10,2550758864
2003-04-11,2518265126
2003-04-14,2558882254
2003-04-15,2567005644
2003-04-16,2502018168
2003-04-17,2575129212
2003-04-21,2575129212
2003-04-22,2631993119
2003-04-23,2640116688
2003-04-24,2640116688
2003-04-25,2542635296
2003-04-28,2567005644
2003-04-29,2696980595
2003-04-30,2623869730
2003-05-01,2567005644
2003-05-02,2599499382
2003-05-05,2583252602
2003-05-06,2867572852
2003-05-07,2696980595
2003-05-08,2575129212
2003-05-09,2656363467
2003-05-12,2737597901
2003-05-13,2770091639
2003-05-14,2680733815
2003-05-15,2705104163
2003-05-16,2826955546
2003-05-19,2615746340
2003-05-20,2640116688
2003-05-21,2640116688
2003-05-22,2615746340
2003-05-23,2575129212
2003-05-27,2664486857
2003-05-28,2753844681
2003-05-29,3038165110
2003-05-30,3070658669
2003-06-02,3168139883
2003-06-03,3054411889
2003-06-04,3151892924
2003-06-05,3476830659
2003-06-06,3452459954
2003-06-09,3176263629
2003-06-10,3281867876
2003-06-11,3257497706
2003-06-12,3249374316
2003-06-13,3111275797
2003-06-16,3143769713
2003-06-17,3184386841
2003-06-18,3184386841
2003-06-19,3103152407
2003-06-20,3021918152
2003-06-23,2843202504
2003-06-24,2802585377
2003-06-25,2778215029
2003-06-26,2818832156
2003-06-27,2810708767
2003-06-30,2853754268
2003-07-01,2861907805
2003-07-02,2976057869
2003-07-03,2918983106
2003-07-07,3090208290
2003-07-08,3106515544
2003-07-09,3236972862
2003-07-10,3130976157
2003-07-11,3147283053
2003-07-14,3098361648
2003-07-15,3008672377
2003-07-16,2967904510
2003-07-17,2690682621
2003-07-18,2682529083
2003-07-21,2576532378
2003-07-22,2592839633
2003-07-23,2625453962
2003-07-24,2568378841
2003-07-25,2323771281
2003-07-28,2372692865
2003-07-29,2446075061
2003-07-30,2405307194
2003-07-31,2454228599
2003-08-01,2527610974
2003-08-04,2560225303
2003-08-05,2446075061
2003-08-06,2397153657
2003-08-07,2356385610
2003-08-08,2356385610
2003-08-11,2380846402
2003-08-12,2372692865
2003-08-13,2437921523
2003-08-14,2486842928
2003-08-15,2478689390
2003-08-18,2519457257
2003-08-19,2649914754
2003-08-20,2600993170
2003-08-21,2853754268
2003-08-22,2764064817
2003-08-25,2739604025
2003-08-26,2772218355
2003-08-27,2861907805
2003-08-28,2853754268
2003-08-29,2812986401
2003-09-02,2845600730
2003-09-03,2927136464
2003-09-04,3008672377
2003-09-05,3106515544
2003-09-08,3269587012
2003-09-09,3424505301
2003-09-10,3220665608
2003-09-11,3318508775
2003-09-12,3269587012
2003-09-15,3236972862
2003-09-16,3391890792
2003-09-17,3294047625
2003-09-18,3342969029
2003-09-19,3351122925
2003-09-22,3261433475
2003-09-23,3310354879
2003-09-24,3139129695
2003-09-25,3073901036
2003-09-26,2967904510
2003-09-29,3082054573
2003-09-30,2938566811
2003-10-01,2995705282
2003-10-02,2971217366
2003-10-03,3093657665
2003-10-06,3109983121
2003-10-07,3126308220
2003-10-08,3134471038
2003-10-09,3158959133
2003-10-10,3199772506
2003-10-13,3199772506
2003-10-14,3273236614
2003-10-15,3207935145
2003-10-16,3281399073
2003-10-17,3175284590
2003-10-20,3109983121
2003-10-21,3061006751
2003-10-22,3052844291
2003-10-23,3085494846
2003-10-24,2938566811
2003-10-27,2922241354
2003-10-28,2832451610
2003-10-29,2856939706
2003-10-30,2865102345
2003-10-31,2881427801
2003-11-03,2938566811
2003-11-04,2889590440
2003-11-05,2889590440
2003-11-06,2873265342
2003-11-07,2848777067
2003-11-10,2856939706
2003-11-11,2816126333
2003-11-12,2856939706
2003-11-13,2807963515
2003-11-14,2742662046
2003-11-17,2620221926
2003-11-18,2554920278
2003-11-19,2726336768
2003-11-20,2677360577
2003-11-21,2693686034
2003-11-24,2816126333
2003-11-25,2799800876
2003-11-26,2824288971
2003-11-28,2807963515
2003-12-01,2799800876
2003-12-02,2742662046
2003-12-03,2742662046
2003-12-04,2767150141
2003-12-05,2734499407
2003-12-08,2742662046
2003-12-09,2652872661
2003-12-10,2636547204
2003-12-11,2758987503
2003-12-12,2816126333
2003-12-15,2767150141
2003-12-16,2775312780
2003-12-17,2742662046
2003-12-18,2758987503
2003-12-19,2734499407
2003-12-22,2726336768
2003-12-23,2758987503
2003-12-24,2742662046
2003-12-26,2750824864
2003-12-29,2783475598
2003-12-30,2914078356
2003-12-31,2978050130
2004-01-02,3100771999
2004-01-05,3190767869
2004-01-06,3174404869
2004-01-07,3272582508
2004-01-08,3452574786
2004-01-09,3534389065
2004-01-12,3640747934
2004-01-13,3591659295
2004-01-14,3681655344
2004-01-15,3657110934
2004-01-16,4229812868
2004-01-20,4687974344
2004-01-21,4401623557
2004-01-22,4049820770
2004-01-23,3951643491
2004-01-26,4270720278
2004-01-27,4115272410
2004-01-28,4123453999
2004-01-29,4041639360
2004-01-30,4172542639
2004-02-02,4172542639
2004-02-03,4131635229
2004-02-04,3894373082
2004-02-05,3878010082
2004-02-06,4000732131
2004-02-09,4025276360
2004-02-10,4090728000
2004-02-11,4123453999
2004-02-12,4041639360
2004-02-13,3935280491
2004-02-17,4172542639
2004-02-18,4156179999
2004-02-19,4017095130
2004-02-20,4074365000
2004-02-23,4090728000
2004-02-24,3927098722
2004-02-25,3886191851
2004-02-26,3992550361
2004-02-27,3951643491
2004-03-01,4033458130
2004-03-02,3943461721
2004-03-03,3984369131
2004-03-04,3984369131
2004-03-05,3918917491
2004-03-08,3788014213
2004-03-09,3689836574
2004-03-10,3616203704
2004-03-11,3419848427
2004-03-12,3558933295
2004-03-15,3338034147
2004-03-16,3354396787
2004-03-17,3395304556
2004-03-18,3321671147
2004-03-19,3272582508
2004-03-22,3288945148
2004-03-23,3239856508
2004-03-24,3248038278
2004-03-25,3419848427
2004-03-26,3395304556
2004-03-29,3460756016
2004-03-30,3387122787
2004-03-31,3339344954
2004-04-01,3429597004
2004-04-02,3610102365
2004-04-05,3675740580
2004-04-06,3552668702
2004-04-07,3560873794
2004-04-08,3544464150
2004-04-12,3569078346
2004-04-13,3511645223
2004-04-14,3487030487
2004-04-15,3355754237
2004-04-16,3265501647
2004-04-19,3380368433
2004-04-20,3265501647
2004-04-21,3290116022
2004-04-22,3339344954
2004-04-23,3487030487
2004-04-26,3429597004
2004-04-27,3306525666
2004-04-28,3167044144
2004-04-29,2666552980
2004-04-30,2486047798
2004-05-03,2535276369
2004-05-04,2600914765
2004-05-05,2666552980
2004-05-06,2551686013
2004-05-07,2559890745
2004-05-10,2551686013
2004-05-11,2592709853
2004-05-12,2568095477
2004-05-13,2592709853
2004-05-14,2559890745
2004-05-17,2445023959
2004-05-18,2486047798
2004-05-19,2502457262
2004-05-20,2494252530
2004-05-21,2535276369
2004-05-24,2543481282
2004-05-25,2592709853
2004-05-26,2732191195
2004-05-27,2748600658
2004-05-28,2765010302
2004-06-01,2748600658
2004-06-02,2715781551
2004-06-03,2658348068
2004-06-04,2682962443
2004-06-07,2765010302
2004-06-08,2789624498
2004-06-09,2666552980
2004-06-10,2748600658
2004-06-14,2650143336
2004-06-15,2748600658
2004-06-16,2781419766
2004-06-17,2674757712
2004-06-18,2650143336
2004-06-21,2625528960
2004-06-22,2937310752
2004-06-23,3117815573
2004-06-24,3027563162
2004-06-25,3134225216
2004-06-28,3126020665
2004-06-29,3142429948
2004-06-30,3109611021
2004-07-01,2961924947
2004-07-02,2912696016
2004-07-06,2756805390
2004-07-07,2806034142
2004-07-08,2699372087
2004-07-09,2756805390
2004-07-12,2682962443
2004-07-13,2666552980
2004-07-14,2699372087
2004-07-15,2650143336
2004-07-16,2592709853
2004-07-19,2559890745
2004-07-20,2699372087
2004-07-21,2551686013
2004-07-22,2551686013
2004-07-23,2486047798
2004-07-26,2469638154
2004-07-27,2486047798
2004-07-28,2461433423
2004-07-29,2822443605
2004-07-30,2830648517
2004-08-02,2847057981
2004-08-03,2723986283
2004-08-04,2748600658
2004-08-05,2674757712
2004-08-06,2518866906
2004-08-09,2518866906
2004-08-10,2625528960
2004-08-11,2535276369
2004-08-12,2510662174
2004-08-13,2436819047
2004-08-16,2518866906
2004-08-17,2551686013
2004-08-18,2658348068
2004-08-19,2592709853
2004-08-20,2625528960
2004-08-23,2600914765
