,HIG
2000-05-22,12719375000
2000-05-23,13018145000
2000-05-24,13856000000
2000-05-25,12786490000
2000-05-26,12801645000
2000-05-30,13219490000
2000-05-31,12801645000
2000-06-01,13098250000
2000-06-02,12990000000
2000-06-05,12531020000
2000-06-06,11894510000
2000-06-07,12069875000
2000-06-08,12002760000
2000-06-09,11623885000
2000-06-12,11786260000
2000-06-13,11799250000
2000-06-14,12056885000
2000-06-15,12002760000
2000-06-16,11595740000
2000-06-19,11948635000
2000-06-20,11312125000
2000-06-21,11123770000
2000-06-22,10987375000
2000-06-23,11541615000
2000-06-26,11678010000
2000-06-27,12111010000
2000-06-28,12082865000
2000-06-29,12124000000
2000-06-30,12552936000
2000-07-03,12707772000
2000-07-05,12972564000
2000-07-06,12876072000
2000-07-07,13295700000
2000-07-10,13295700000
2000-07-11,13295700000
2000-07-12,13421364000
2000-07-13,13127400000
2000-07-14,13464000000
2000-07-17,13239600000
2000-07-18,12889536000
2000-07-19,12651672000
2000-07-20,13127400000
2000-07-21,12988272000
2000-07-24,13084764000
2000-07-25,13787136000
2000-07-26,14473800000
2000-07-27,14586000000
2000-07-28,14292036000
2000-07-31,14417700000
2000-08-01,14586000000
2000-08-02,14206764000
2000-08-03,14698200000
2000-08-04,15077436000
2000-08-07,15470136000
2000-08-08,15301836000
2000-08-09,14754300000
2000-08-10,14361600000
2000-08-11,14727371999
2000-08-14,14572536000
2000-08-15,14502971999
2000-08-16,14446871999
2000-08-17,14655564000
2000-08-18,14698200000
2000-08-21,14823864000
2000-08-22,14586000000
2000-08-23,14206764000
2000-08-24,14081100000
2000-08-25,14193300000
2000-08-28,14502971999
2000-08-29,14025000000
2000-08-30,14796936000
2000-08-31,14951771999
2000-09-01,14823864000
2000-09-05,14936064000
2000-09-06,15147000000
2000-09-07,14951771999
2000-09-08,15483600000
2000-09-11,15905471999
2000-09-12,15512771999
2000-09-13,15595800000
2000-09-14,15737171999
2000-09-15,15414036000
2000-09-18,15048264000
2000-09-19,15384864000
2000-09-20,15147000000
2000-09-21,14909136000
2000-09-22,15470136000
2000-09-25,15681071999
2000-09-26,15988500000
2000-09-27,16381200000
2000-09-28,16549500000
2000-09-29,16367736000
2000-10-02,17266050000
2000-10-03,17096775000
2000-10-04,17026808000
2000-10-05,16588950000
2000-10-06,16250400000
2000-10-09,16081125000
2000-10-10,15941190999
2000-10-11,16024700000
2000-10-12,14812690999
2000-10-13,15715490999
2000-10-16,15347600000
2000-10-17,15178325000
2000-10-18,15347600000
2000-10-19,16011158000
2000-10-20,16180433000
2000-10-23,15855425000
2000-10-24,16067583000
2000-10-25,16505440999
2000-10-26,16433217000
2000-10-27,16787565999
2000-10-30,17548175000
2000-10-31,16801108000
2000-11-01,16787565999
2000-11-02,16688258000
2000-11-03,16250400000
2000-11-06,16433217000
2000-11-07,16913958000
2000-11-08,16575408000
2000-11-09,16701800000
2000-11-10,17096775000
2000-11-13,16489642000
2000-11-14,17026808000
2000-11-15,16983925000
2000-11-16,17069690999
2000-11-17,17040350000
2000-11-20,17279592000
2000-11-21,17153200000
2000-11-22,15586842000
2000-11-24,15898308000
2000-11-27,15756117000
2000-11-28,15841883000
2000-11-29,16575408000
2000-11-30,15968275000
2000-12-01,16532525000
2000-12-04,16618290999
2000-12-05,17209625000
2000-12-06,17577516000
2000-12-07,17322475000
2000-12-08,17900267000
2000-12-11,17238966000
2000-12-12,16814650000
2000-12-13,16263942000
2000-12-14,16124008000
2000-12-15,16067583000
2000-12-18,16618290999
2000-12-19,15191867000
2000-12-20,14769808000
2000-12-21,15376940999
2000-12-22,15715490999
2000-12-26,15629725000
2000-12-27,16137550000
2000-12-28,16207517000
2000-12-29,15941190999
2001-01-02,15554485000
2001-01-03,15496610000
2001-01-04,14714140000
2001-01-05,14598390000
2001-01-08,14325220000
2001-01-09,14281235000
2001-01-10,14383095000
2001-01-11,14584500000
2001-01-12,13991860000
2001-01-16,13818235000
2001-01-17,13457095000
2001-01-18,13556640000
2001-01-19,13658500000
2001-01-22,14353000000
2001-01-23,14512735000
2001-01-24,14873875000
2001-01-25,14730345000
2001-01-26,14383095000
2001-01-29,14496530000
2001-01-30,14121500000
2001-01-31,14237250000
2001-02-01,14151595000
2001-02-02,14758125000
2001-02-05,15047500000
2001-02-06,14443285000
2001-02-07,15174825000
2001-02-08,15223440000
2001-02-09,15100745000
2001-02-12,15133155000
2001-02-13,14816000000
2001-02-14,14642375000
2001-02-15,14677100000
2001-02-16,14758125000
2001-02-20,14612280000
2001-02-21,14369205000
2001-02-22,14607650000
2001-02-23,14758125000
2001-02-26,14873875000
2001-02-27,15186399999
2001-02-28,14781275000
2001-03-01,15047500000
2001-03-02,15140100000
2001-03-05,15119265000
2001-03-06,14954899999
2001-03-07,15274370000
2001-03-08,15684125000
2001-03-09,15325300000
2001-03-12,14897024999
2001-03-13,14778960000
2001-03-14,14450230000
2001-03-15,14353000000
2001-03-16,14160855000
2001-03-19,13959450000
2001-03-20,13751100000
2001-03-21,13311250000
2001-03-22,12767225000
2001-03-23,13195500000
2001-03-26,13612200000
2001-03-27,13633035000
2001-03-28,13433945000
2001-03-29,13670075000
2001-03-30,13658500000
2001-04-02,14223762000
2001-04-03,13552203000
2001-04-04,13692210000
2001-04-05,14238000000
2001-04-06,13832217000
2001-04-09,13934256000
2001-04-10,13580679000
2001-04-11,13855947000
2001-04-12,13872558000
2001-04-16,13979343000
2001-04-17,13941375000
2001-04-18,14119350000
2001-04-19,14593950000
2001-04-20,14050533000
2001-04-23,14109858000
2001-04-24,13497624000
2001-04-25,13929510000
2001-04-26,14368515000
2001-04-27,14570220000
2001-04-30,14736330000
2001-05-01,14954646000
2001-05-02,14942781000
2001-05-03,14805147000
2001-05-04,14940408000
2001-05-07,15006852000
2001-05-08,15068550000
2001-05-09,15246525000
2001-05-10,15184827000
2001-05-11,15187200000
2001-05-14,15227541000
2001-05-15,15412635000
2001-05-16,15685529999
2001-05-17,15590610000
2001-05-18,15661800000
2001-05-21,15994020000
2001-05-22,15792315000
2001-05-23,15899100000
2001-05-24,16050972000
2001-05-25,15891981000
2001-05-29,16397429999
2001-05-30,16345223999
2001-05-31,16065210000
2001-06-01,15787569000
2001-06-04,15994020000
2001-06-05,16250304000
2001-06-06,16041479999
2001-06-07,16072329000
2001-06-08,16086567000
2001-06-11,16077075000
2001-06-12,16048598999
2001-06-13,16050972000
2001-06-14,15861132000
2001-06-15,15934695000
2001-06-18,15894354000
2001-06-19,15958425000
2001-06-20,15896726999
2001-06-21,16409295000
2001-06-22,16274034000
2001-06-25,16373700000
2001-06-26,16492350000
2001-06-27,16568285999
2001-06-28,16720157999
2001-06-29,16231320000
2001-07-02,16352979999
2001-07-03,16488640000
2001-07-05,16231600000
2001-07-06,15941240000
2001-07-09,16069760000
2001-07-10,15560439999
2001-07-11,15303400000
2001-07-12,15677060000
2001-07-13,15803200000
2001-07-16,16086420000
2001-07-17,15824619999
2001-07-18,15926960000
2001-07-19,15255799999
2001-07-20,14910700000
2001-07-23,14884520000
2001-07-24,14896420000
2001-07-25,14989240000
2001-07-26,15217720000
2001-07-27,15089200000
2001-07-30,15372420000
2001-07-31,15757979999
2001-08-01,15779400000
2001-08-02,15410500000
2001-08-03,15351000000
2001-08-06,15253420000
2001-08-07,15439060000
2001-08-08,15346240000
2001-08-09,15420020000
2001-08-10,15336720000
2001-08-13,15498560000
2001-08-14,15586619999
2001-08-15,15472380000
2001-08-16,15417640000
2001-08-17,15351000000
2001-08-20,15472380000
2001-08-21,15524740000
2001-08-22,15481900000
2001-08-23,15660400000
2001-08-24,15781780000
2001-08-27,15600900000
2001-08-28,15467619999
2001-08-29,15427159999
2001-08-30,15358140000
2001-08-31,15422400000
2001-09-04,15424780000
2001-09-05,15232000000
2001-09-06,14955920000
2001-09-07,14510860000
2001-09-10,14734580000
2001-09-17,13970600000
2001-09-18,13375600000
2001-09-19,12899600000
2001-09-20,12280800000
2001-09-21,11923800000
2001-09-24,12842480000
2001-09-25,13042400000
2001-09-26,13197100000
2001-09-27,13737360000
2001-09-28,13980120000
2001-10-01,14080947602
2001-10-02,14264932109
2001-10-03,14522510419
2001-10-04,14583838588
2001-10-05,13737509856
2001-10-08,13477478419
2001-10-09,13654103546
2001-10-10,14105478870
2001-10-11,14377775940
2001-10-12,14191338306
2001-10-15,14358150926
2001-10-16,14718760560
2001-10-17,14313994644
2001-10-18,13617306644
2001-10-19,13298400165
2001-10-22,13833181799
2001-10-23,13703166081
2001-10-24,13632025405
2001-10-25,13521634701
2001-10-26,13739962982
2001-10-29,13224806363
2001-10-30,13457853405
2001-10-31,13246884504
2001-11-01,13533900334
2001-11-02,13681087940
2001-11-05,13968103771
2001-11-06,14107931996
2001-11-07,13995088165
2001-11-08,14049056954
2001-11-09,13668822306
2001-11-12,13639384785
2001-11-13,13985275658
2001-11-14,14024525686
2001-11-15,14100572616
2001-11-16,14210963320
2001-11-19,14309088391
2001-11-20,14311541517
2001-11-21,14456275996
2001-11-23,14576479207
2001-11-26,14613276109
2001-11-27,14632901123
2001-11-28,14505338531
2001-11-29,14534776053
2001-11-30,14522510419
2001-12-03,14333619658
2001-12-04,14350791546
2001-12-05,14350791546
2001-12-06,14542135433
2001-12-07,14620635489
2001-12-10,14461182250
2001-12-11,14755557461
2001-12-12,14704041799
2001-12-13,14431744729
2001-12-14,14515151038
2001-12-17,14750651207
2001-12-18,14787448109
2001-12-19,15076917066
2001-12-20,15226557799
2001-12-21,14841416898
2001-12-24,14976338869
2001-12-26,15076917066
2001-12-27,15280526588
2001-12-28,15405636052
2001-12-31,15462463000
2002-01-02,15381250000
2002-01-03,15130228000
2002-01-04,15007178000
2002-01-07,14933348000
2002-01-08,14768461000
2002-01-09,14748773000
2002-01-10,15085930000
2002-01-11,15135150000
2002-01-14,15053937000
2002-01-15,15344335000
2002-01-16,15319725000
2002-01-17,15383711000
2002-01-18,15477229000
2002-01-22,15605201000
2002-01-23,15555981000
2002-01-24,15504300000
2002-01-25,15996500000
2002-01-28,15728251000
2002-01-29,15491995000
2002-01-30,15723329000
2002-01-31,16289359000
2002-02-01,16156465000
2002-02-04,15959584999
2002-02-05,15595357000
2002-02-06,15516605000
2002-02-07,15698719000
2002-02-08,15895599000
2002-02-11,16348423000
2002-02-12,16217990000
2002-02-13,16488700000
2002-02-14,16653587000
2002-02-15,16390259999
2002-02-19,16117088999
2002-02-20,16304125000
2002-02-21,16205684999
2002-02-22,16217990000
2002-02-25,16488700000
2002-02-26,16537920000
2002-02-27,16646204000
2002-02-28,16488700000
2002-03-01,16564991000
2002-03-04,16867694000
2002-03-05,16801246999
2002-03-06,16872616000
2002-03-07,16628976999
2002-03-08,16173692000
2002-03-11,16168770000
2002-03-12,16099862000
2002-03-13,16178613999
2002-03-14,16456707000
2002-03-15,16636359999
2002-03-18,16651126000
2002-03-19,16552686000
2002-03-20,16449324000
2002-03-21,16402565000
2002-03-22,16417330999
2002-03-25,16279515000
2002-03-26,16353345000
2002-03-27,16577296000
2002-03-28,16764332000
2002-04-01,16835570000
2002-04-02,16912264000
2002-04-03,16855361999
2002-04-04,16946900000
2002-04-05,17100288000
2002-04-08,17105236000
2002-04-09,17256150000
2002-04-10,17147294000
2002-04-11,16934530000
2002-04-12,16976588000
2002-04-15,16706922000
2002-04-16,16984010000
2002-04-17,17275942000
2002-04-18,17142346000
2002-04-19,17238832000
2002-04-22,17310578000
2002-04-23,17035964000
2002-04-24,17120080000
2002-04-25,16840517999
2002-04-26,16870206000
2002-04-29,16600539999
2002-04-30,17144820000
2002-05-01,17070600000
2002-05-02,16969166000
2002-05-03,16857836000
2002-05-06,16786089999
2002-05-07,16264075999
2002-05-08,16620332000
2002-05-09,16429834000
2002-05-10,16278920000
2002-05-13,16622806000
2002-05-14,16528794000
2002-05-15,16303660000
2002-05-16,16461996000
2002-05-17,16575800000
2002-05-20,16424886000
2002-05-21,16140375999
2002-05-22,16078525999
2002-05-23,16249232000
2002-05-24,16167589999
2002-05-28,16155220000
2002-05-29,16204700000
2002-05-30,16098317999
2002-05-31,16328400000
2002-06-03,16014202000
2002-06-04,15737114000
2002-06-05,15747010000
2002-06-06,15615888000
2002-06-07,15586200000
2002-06-10,15586200000
2002-06-11,15041920000
2002-06-12,15165620000
2002-06-13,14745040000
2002-06-14,14826682000
2002-06-17,15380858000
2002-06-18,15323956000
2002-06-19,15291794000
2002-06-20,15049342000
2002-06-21,15071608000
2002-06-24,14930590000
2002-06-25,14626288000
2002-06-26,14591652000
2002-06-27,14359096000
2002-06-28,14712878000
2002-07-01,14593007000
2002-07-02,14224635000
2002-07-03,13925955000
2002-07-05,14510870000
2002-07-08,14485980000
2002-07-09,14097696000
2002-07-10,13527715000
2002-07-11,13622297000
2002-07-12,13565050000
2002-07-15,13602385000
2002-07-16,13251436000
2002-07-17,12907954000
2002-07-18,12482335000
2002-07-19,12328017000
2002-07-22,11947200000
2002-07-23,11324950000
2002-07-24,11511625000
2002-07-25,11499180000
2002-07-26,12121430000
2002-07-29,12781015000
2002-07-30,12626697000
2002-07-31,12594340000
2002-08-01,12666521000
2002-08-02,12153787000
2002-08-05,11790393000
2002-08-06,11887464000
2002-08-07,11934755000
2002-08-08,12295660000
2002-08-09,12569450000
2002-08-12,12492291000
2002-08-13,12290682000
2002-08-14,12507225000
2002-08-15,12576917000
2002-08-16,12467401000
2002-08-19,13029915000
2002-08-20,12815861000
2002-08-21,12828306000
2002-08-22,13408243000
2002-08-23,13012492000
2002-08-26,13266370000
2002-08-27,12838262000
2002-08-28,12566961000
2002-08-29,12561983000
2002-08-30,12449978000
2002-09-03,11989513000
2002-09-04,12121430000
2002-09-05,11481757000
2002-09-06,11568872000
2002-09-09,11820261000
2002-09-10,12173699000
2002-09-11,12116452000
2002-09-12,11904887000
2002-09-13,11996980000
2002-09-16,12071650000
2002-09-17,11810305000
2002-09-18,11822750000
2002-09-19,11387175000
2002-09-20,11198011000
2002-09-23,11076050000
2002-09-24,10598162000
2002-09-25,10677810000
2002-09-26,10986446000
2002-09-27,10535937000
2002-09-30,10471400000
2002-10-01,11017956000
2002-10-02,10563344000
2002-10-03,10205784000
2002-10-04,9868656000
2002-10-07,9585162000
2002-10-08,10093408000
2002-10-09,9546852000
2002-10-10,10284958000
2002-10-11,11051158000
2002-10-14,11176304000
2002-10-15,11991030000
2002-10-16,11480230000
2002-10-17,12259200000
2002-10-18,12259200000
2002-10-21,12591220000
2002-10-22,12284740000
2002-10-23,12300064000
2002-10-24,12085528000
2002-10-25,12228552000
2002-10-28,12105960000
2002-10-29,11339760000
2002-10-30,10259418000
2002-10-31,10088300000
2002-11-01,10496940000
2002-11-04,10979646000
2002-11-05,10854500000
2002-11-06,11332098000
2002-11-07,10900472000
2002-11-08,10887702000
2002-11-11,10639964000
2002-11-12,11079252000
2002-11-13,11046050000
2002-11-14,11344868000
2002-11-15,11712644000
2002-11-18,11467460000
2002-11-19,11659010000
2002-11-20,11799480000
2002-11-21,12011462000
2002-11-22,12277078000
2002-11-25,12139162000
2002-11-26,11822466000
2002-11-27,12103406000
2002-11-29,12529924000
2002-12-02,12795540000
2002-12-03,12642300000
2002-12-04,12458412000
2002-12-05,12200458000
2002-12-06,12054880000
2002-12-09,11881208000
2002-12-10,11932288000
2002-12-11,12088082000
2002-12-12,11922072000
2002-12-13,11745846000
2002-12-16,12187688000
2002-12-17,12016570000
2002-12-18,11681996000
2002-12-19,11659010000
2002-12-20,11876100000
2002-12-23,11950166000
2002-12-24,11901640000
2002-12-26,11896532000
2002-12-27,11541526000
2002-12-30,11630916000
2002-12-31,11602822000
2003-01-02,11985922000
2003-01-03,11962936000
2003-01-06,12407332000
2003-01-07,12287294000
2003-01-08,12011462000
2003-01-09,12353698000
2003-01-10,12348590000
2003-01-13,12343482000
2003-01-14,12440534000
2003-01-15,12123838000
2003-01-16,11983368000
2003-01-17,11840344000
2003-01-21,11544080000
2003-01-22,11301450000
2003-01-23,11515986000
2003-01-24,11015402000
2003-01-27,10869824000
2003-01-28,11099684000
2003-01-29,11155872000
2003-01-30,10662950000
2003-01-31,10645072000
2003-02-03,10563344000
2003-02-04,10213446000
2003-02-05,10287512000
2003-02-06,9904412000
2003-02-07,9876318000
2003-02-10,9960600000
2003-02-11,9728186000
2003-02-12,9600486000
2003-02-13,9403828000
2003-02-14,9449800000
2003-02-18,9551960000
2003-02-19,9477894000
2003-02-20,9544298000
2003-02-21,9539190000
2003-02-24,9345086000
2003-02-25,9460016000
2003-02-26,9263358000
2003-02-27,9411490000
2003-02-28,9227602000
2003-03-03,9245480000
2003-03-04,9145874000
2003-03-05,9156090000
2003-03-06,8887920000
2003-03-07,8944108000
2003-03-10,8517590000
2003-03-11,8428200000
2003-03-12,8249419999
2003-03-13,8760220000
2003-03-14,8923676000
2003-03-17,9442138000
2003-03-18,9465124000
2003-03-19,9567284000
2003-03-20,9577500000
2003-03-21,9838008000
2003-03-24,9345086000
2003-03-25,9460016000
2003-03-26,9245480000
2003-03-27,9212278000
2003-03-28,9117780000
2003-03-31,9485952000
2003-04-01,9725184000
2003-04-02,10020864000
2003-04-03,10058496000
2003-04-04,10139136000
2003-04-07,10356864000
2003-04-08,10316544000
2003-04-09,10233216000
2003-04-10,10203648000
2003-04-11,10289664000
2003-04-14,10631040000
2003-04-15,10800384000
2003-04-16,10644480000
2003-04-17,10781568000
2003-04-21,10805760000
2003-04-22,11397120000
2003-04-23,11211648000
2003-04-24,10848768000
2003-04-25,10714368000
2003-04-28,11036928000
2003-04-29,10924032000
2003-04-30,10956288000
2003-05-01,11528832000
2003-05-02,11760000000
2003-05-05,12042240000
2003-05-06,12122880000
2003-05-07,12058368000
2003-05-08,11813760000
2003-05-09,11725056000
2003-05-12,12499200000
2003-05-13,12319104000
2003-05-14,12321792000
2003-05-15,12351360000
2003-05-16,12768000000
2003-05-19,12297600000
2003-05-20,12179328000
2003-05-21,12015360000
2003-05-22,11867520000
2003-05-23,11840640000
2003-05-27,12192768000
2003-05-28,12270720000
2003-05-29,12233088000
2003-05-30,12536832000
2003-06-02,12523392000
2003-06-03,12380928000
2003-06-04,12544896000
2003-06-05,12751872000
2003-06-06,12945408000
2003-06-09,12730368000
2003-06-10,12907776000
2003-06-11,13184640000
2003-06-12,13515264000
2003-06-13,13418496000
2003-06-16,13770624000
2003-06-17,13827072000
2003-06-18,13934592000
2003-06-19,13606656000
2003-06-20,13759872000
2003-06-23,13437312000
2003-06-24,13813632000
2003-06-25,13542144000
2003-06-26,13883520000
2003-06-27,13862016000
2003-06-30,14226700000
2003-07-01,14353825000
2003-07-02,14588300000
2003-07-03,14605250000
2003-07-07,14800175000
2003-07-08,15079850000
2003-07-09,14910350000
2003-07-10,14447050000
2003-07-11,14610900000
2003-07-14,14828425000
2003-07-15,14718250000
2003-07-16,14622200000
2003-07-17,14297325000
2003-07-18,14424450000
2003-07-21,14246475000
2003-07-22,14353825000
2003-07-23,14144775000
2003-07-24,14125000000
2003-07-25,14396200000
2003-07-28,14562875000
2003-07-29,14458350000
2003-07-30,14319925000
2003-07-31,14743675000
2003-08-01,14413150000
2003-08-04,14158900000
2003-08-05,14091100000
2003-08-06,14334050000
2003-08-07,15085500000
2003-08-08,14899050000
2003-08-11,14975325000
2003-08-12,15040300000
2003-08-13,14989450000
2003-08-14,15294550000
2003-08-15,15175900000
2003-08-18,15334100000
2003-08-19,15283250000
2003-08-20,15218275000
2003-08-21,15116575000
2003-08-22,15003575000
2003-08-25,14992275000
2003-08-26,15043125000
2003-08-27,15014875000
2003-08-28,14986625000
2003-08-29,15034650000
2003-09-02,15232400000
2003-09-03,15520550000
2003-09-04,15359525000
2003-09-05,15184375000
2003-09-08,15517725000
2003-09-09,15472525000
2003-09-10,15212625000
2003-09-11,15170250000
2003-09-12,15040300000
2003-09-15,14992275000
2003-09-16,15235225000
2003-09-17,15257825000
2003-09-18,15749375000
2003-09-19,15608125000
2003-09-22,15373650000
2003-09-23,15478175000
2003-09-24,15029000000
2003-09-25,14783225000
2003-09-26,14681525000
2003-09-29,14924475000
2003-09-30,14889027000
2003-10-01,15106860000
2003-10-02,15112518000
2003-10-03,15347325000
2003-10-06,15432195000
2003-10-07,15423708000
2003-10-08,15324693000
2003-10-09,15381273000
2003-10-10,15253968000
2003-10-13,15517065000
2003-10-14,15616080000
2003-10-15,15610422000
2003-10-16,15734898000
2003-10-17,15483117000
2003-10-20,15485946000
2003-10-21,15375615000
2003-10-22,15072912000
2003-10-23,15239823000
2003-10-24,15248310000
2003-10-27,15078570000
2003-10-28,15177585000
2003-10-29,15488775000
2003-10-30,15361470000
2003-10-31,15531210000
2003-11-03,15717924000
2003-11-04,15573645000
2003-11-05,15562329000
2003-11-06,16252605000
2003-11-07,15882006000
2003-11-10,15896151000
2003-11-11,15802794000
2003-11-12,15856545000
2003-11-13,15816938999
2003-11-14,15551013000
2003-11-17,15418050000
2003-11-18,15021990000
2003-11-19,15214362000
2003-11-20,15078570000
2003-11-21,15197388000
2003-11-24,15395418000
2003-11-25,15534038999
2003-11-26,15590619000
2003-11-28,15559500000
2003-12-01,15924441000
2003-12-02,15814110000
2003-12-03,16020627000
2003-12-04,16227144000
2003-12-05,16139445000
2003-12-08,16368594000
2003-12-09,16323330000
2003-12-10,16337475000
2003-12-11,16467609000
2003-12-12,16399713000
2003-12-15,16145103000
2003-12-16,16292211000
2003-12-17,16122471000
2003-12-18,16351620000
2003-12-19,16399713000
2003-12-22,16246947000
2003-12-23,16266750000
2003-12-24,16317672000
2003-12-26,16365765000
2003-12-29,16623204000
2003-12-30,16651494000
2003-12-31,17112797000
2004-01-02,17098302000
2004-01-05,17315727000
2004-01-06,17263545000
2004-01-07,17669405000
2004-01-08,17999891000
2004-01-09,18017285000
2004-01-12,18173831000
2004-01-13,18092659000
2004-01-14,18463731000
2004-01-15,18492721000
2004-01-16,18437640000
2004-01-20,18324579000
2004-01-21,18478226000
2004-01-22,18321680000
2004-01-23,18307185000
2004-01-26,18634772000
2004-01-27,18486923000
2004-01-28,18341973000
2004-01-29,18391256000
2004-01-30,18652166000
2004-02-02,18811611000
2004-02-03,18834803000
2004-02-04,18585489000
2004-02-05,18765227000
2004-02-06,18886985000
2004-02-09,18817409000
2004-02-10,19023238000
2004-02-11,19075420000
2004-02-12,18973955000
2004-02-13,18988450000
2004-02-17,19185582000
2004-02-18,19130501000
2004-02-19,19037733000
2004-02-20,18965258000
2004-02-23,19023238000
2004-02-24,18913076000
2004-02-25,18953662000
2004-02-26,19078319000
2004-02-27,18988450000
2004-03-01,18930470000
2004-03-02,18921773000
2004-03-03,19142097000
2004-03-04,19281249000
2004-03-05,19101511000
2004-03-08,19188481000
2004-03-09,19078319000
2004-03-10,18672459000
2004-03-11,18168033000
2004-03-12,18559398000
2004-03-15,17939012000
2004-03-16,18191225000
2004-03-17,18469529000
2004-03-18,18695651000
2004-03-19,18533307000
2004-03-22,18031780000
2004-03-23,17962204000
2004-03-24,17846244000
2004-03-25,18060770000
2004-03-26,18176730000
2004-03-29,18484024000
2004-03-30,18411549000
2004-03-31,18619510000
2004-04-01,18926425000
2004-04-02,19207033000
2004-04-05,19467180000
2004-04-06,19394105000
2004-04-07,19247955000
2004-04-08,19496410000
2004-04-12,19715635000
2004-04-13,19285954000
2004-04-14,18941040000
2004-04-15,18599049000
2004-04-16,18841658000
2004-04-19,18859196000
2004-04-20,18274596000
2004-04-21,18604895000
2004-04-22,18727660999
2004-04-23,18631202000
2004-04-26,18473360000
2004-04-27,18411977000
2004-04-28,18055371000
2004-04-29,17973527000
2004-04-30,17853684000
2004-05-03,18131369000
2004-05-04,18008603000
2004-05-05,18809505000
2004-05-06,18897195000
2004-05-07,18561050000
2004-05-10,18239520000
2004-05-11,18569819000
2004-05-12,18736430000
2004-05-13,18540589000
2004-05-14,18414900000
2004-05-17,18473360000
2004-05-18,18748122000
2004-05-19,18829966000
2004-05-20,18941040000
2004-05-21,18984885000
2004-05-24,19057960000
2004-05-25,19610407000
2004-05-26,19417489000
2004-05-27,19335645000
2004-05-28,19326876000
2004-06-01,19218725000
2004-06-02,19391182000
2004-06-03,19218725000
2004-06-04,19192418000
2004-06-07,19598715000
2004-06-08,19484718000
2004-06-09,19171957000
2004-06-10,19376567000
2004-06-14,19087190000
2004-06-15,19280108000
2004-06-16,19344414000
2004-06-17,19601638000
2004-06-18,19759480000
2004-06-21,19701020000
2004-06-22,19709789000
2004-06-23,19727327000
2004-06-24,19648406000
2004-06-25,19853016000
2004-06-28,19858862000
2004-06-29,19774095000
2004-06-30,20154568000
2004-07-01,20040220000
2004-07-02,19984512000
2004-07-06,19881892000
2004-07-07,19632672000
2004-07-08,19591623999
2004-07-09,19503664000
2004-07-12,19562304000
2004-07-13,19527120000
2004-07-14,19351200000
2004-07-15,19210464000
2004-07-16,18990564000
2004-07-19,19230988000
2004-07-20,18764800000
2004-07-21,18591812000
2004-07-22,18354320000
2004-07-23,18295680000
2004-07-26,18401232000
2004-07-27,18539036000
2004-07-28,18706160000
2004-07-29,18896740000
2004-07-30,19087320000
2004-08-02,18931923999
2004-08-03,18864488000
2004-08-04,19008156000
2004-08-05,18524376000
2004-08-06,17981956000
2004-08-09,17885200000
2004-08-10,17958500000
2004-08-11,17788444000
2004-08-12,17348644000
2004-08-13,17163928000
2004-08-16,17442468000
2004-08-17,17489380000
2004-08-18,17618388000
2004-08-19,17542156000
2004-08-20,17767920000
2004-08-23,17471788000
