,DVN
2000-09-06,7758362760
2000-09-07,7679091420
2000-09-08,7487305920
2000-09-11,7679091420
2000-09-12,7576805820
2000-09-13,7438720260
2000-09-14,7431048840
2000-09-15,7927134000
2000-09-18,7799277000
2000-09-19,7535891580
2000-09-20,7607491500
2000-09-21,7351777500
2000-09-22,7216249080
2000-09-25,7385020320
2000-09-26,7543563000
2000-09-27,7684205700
2000-09-28,7658634300
2000-09-29,7689319980
2000-10-02,7697063500
2000-10-03,7719888400
2000-10-04,7481495000
2000-10-05,7164482500
2000-10-06,7164482500
2000-10-09,7324256800
2000-10-10,7666630300
2000-10-11,7976034500
2000-10-12,8115520000
2000-10-13,7872054400
2000-10-16,7671702500
2000-10-17,7747785500
2000-10-18,7735105000
2000-10-19,7539825300
2000-10-20,7620980500
2000-10-23,7466278400
2000-10-24,7227885000
2000-10-25,6664870800
2000-10-26,6753634300
2000-10-27,6390972000
2000-10-30,6289528000
2000-10-31,6390972000
2000-11-01,6733345500
2000-11-02,6467055000
2000-11-03,6479735500
2000-11-06,6403652500
2000-11-07,6563426800
2000-11-08,6657262500
2000-11-09,6626829300
2000-11-10,6555818500
2000-11-13,6517777000
2000-11-14,6626829300
2000-11-15,6898192000
2000-11-16,6855078300
2000-11-17,6657262500
2000-11-20,6611612700
2000-11-21,6799284100
2000-11-22,6943841800
2000-11-24,6880439300
2000-11-27,6847470000
2000-11-28,6837325600
2000-11-29,6555818500
2000-11-30,6246414300
2000-12-01,6373219300
2000-12-04,6636973700
2000-12-05,6525385300
2000-12-06,6583715600
2000-12-07,6565962900
2000-12-08,6403652500
2000-12-11,6753634300
2000-12-12,6933697400
2000-12-13,6872831000
2000-12-14,6669943000
2000-12-15,6837325600
2000-12-18,7075719000
2000-12-19,7199987900
2000-12-20,7101080000
2000-12-21,7108688300
2000-12-22,7205060100
2000-12-26,7719888400
2000-12-27,7780754800
2000-12-28,7788363100
2000-12-29,7732568900
2001-01-02,7612770000
2001-01-03,7259227800
2001-01-04,6944394600
2001-01-05,7470837000
2001-01-08,7571480400
2001-01-09,7341807000
2001-01-10,7506965400
2001-01-11,7620511800
2001-01-12,7372774200
2001-01-16,7669543200
2001-01-17,7470837000
2001-01-18,7099230600
2001-01-19,7078585800
2001-01-22,7197293400
2001-01-23,7331484600
2001-01-24,7450192200
2001-01-25,7641156600
2001-01-26,7540513200
2001-01-29,7290195000
2001-01-30,7205035200
2001-01-31,7070844000
2001-02-01,6939233400
2001-02-02,7189551600
2001-02-05,7483740000
2001-02-06,7496643000
2001-02-07,7612770000
2001-02-08,7568899800
2001-02-09,7705671600
2001-02-12,7620511800
2001-02-13,7612770000
2001-02-14,7483740000
2001-02-15,7447611600
2001-02-16,7432128000
2001-02-20,7561158000
2001-02-21,7380516000
2001-02-22,7460514600
2001-02-23,7266969600
2001-02-26,7445031000
2001-02-27,7558577400
2001-02-28,7354710000
2001-03-01,7579222200
2001-03-02,7612770000
2001-03-05,7803734400
2001-03-06,7891474800
2001-03-07,8203727400
2001-03-08,8425659000
2001-03-09,8554689000
2001-03-12,8252758800
2001-03-13,8128890000
2001-03-14,7994698800
2001-03-15,7961151000
2001-03-16,7958570400
2001-03-19,8177921400
2001-03-20,8263081200
2001-03-21,8115987000
2001-03-22,7690188000
2001-03-23,7741800000
2001-03-26,7739219400
2001-03-27,7483740000
2001-03-28,7553416200
2001-03-29,7285033800
2001-03-30,7509546000
2001-04-02,7220250880
2001-04-03,6798120000
2001-04-04,7134788800
2001-04-05,7297943680
2001-04-06,7406713600
2001-04-09,7704536000
2001-04-10,7839203520
2001-04-11,7639792000
2001-04-12,7639792000
2001-04-16,7810716160
2001-04-17,7777049280
2001-04-18,7562099200
2001-04-19,7186584000
2001-04-20,7152917120
2001-04-23,7499944960
2001-04-24,7499944960
2001-04-25,7613894400
2001-04-26,7678638400
2001-04-27,7644971520
2001-04-30,7639792000
2001-05-01,7468867840
2001-05-02,7103711680
2001-05-03,6873223040
2001-05-04,7251328000
2001-05-07,7282405120
2001-05-08,7393764800
2001-05-09,7445560000
2001-05-10,7385995520
2001-05-11,7341969600
2001-05-14,7562099200
2001-05-15,7795177600
2001-05-16,7898768000
2001-05-17,7834024000
2001-05-18,8028256000
2001-05-21,8082640960
2001-05-22,7999768640
2001-05-23,7893588480
2001-05-24,7735613120
2001-05-25,7603535360
2001-05-29,7492175680
2001-05-30,7435200960
2001-05-31,7538791360
2001-06-01,7619073920
2001-06-04,7717484800
2001-06-05,7593176320
2001-06-06,7380816000
2001-06-07,7238379200
2001-06-08,7238379200
2001-06-11,7160686400
2001-06-12,7479226880
2001-06-13,7251328000
2001-06-14,7038967680
2001-06-15,7158096640
2001-06-18,7018249600
2001-06-19,6896530880
2001-06-20,6694529600
2001-06-21,6363040320
2001-06-22,6668632000
2001-06-25,6593528960
2001-06-26,6715247680
2001-06-27,6640144640
2001-06-28,6557272320
2001-06-29,6798120000
2001-07-02,6432978200
2001-07-03,6443085000
2001-07-05,6523939400
2001-07-06,6587106900
2001-07-09,6392551000
2001-07-10,6417818000
2001-07-11,6357177200
2001-07-12,6425398100
2001-07-13,6506252500
2001-07-16,6273796100
2001-07-17,6167674700
2001-07-18,6053973200
2001-07-19,6079240200
2001-07-20,6331910200
2001-07-23,6458245200
2001-07-24,6258635900
2001-07-25,6518886000
2001-07-26,6602267100
2001-07-27,6885257500
2001-07-30,6758922500
2001-07-31,6849883700
2001-08-01,6746289000
2001-08-02,6784189500
2001-08-03,6556786500
2001-08-06,6556786500
2001-08-07,6478458800
2001-08-08,6208101900
2001-08-09,6306643200
2001-08-10,6288956300
2001-08-13,6349597100
2001-08-14,6412764600
2001-08-15,6652801100
2001-08-16,6607320500
2001-08-17,6569420000
2001-08-20,6316750000
2001-08-21,6316750000
2001-08-22,6190415000
2001-08-23,6203048500
2001-08-24,6185361600
2001-08-27,6197995100
2001-08-28,6038813000
2001-08-29,5937745000
2001-08-30,5937745000
2001-08-31,5846783800
2001-09-04,5541053100
2001-09-05,5432405000
2001-09-06,5422298200
2001-09-07,5402084600
2001-09-10,5480412300
2001-09-17,5419771500
2001-09-18,5058453400
2001-09-19,4775463000
2001-09-20,4628914400
2001-09-21,4717348900
2001-09-24,4181688500
2001-09-25,4123574400
2001-09-26,3934071900
2001-09-27,4181688500
2001-09-28,4345924000
2001-10-01,4889920000
2001-10-02,4922480000
2001-10-03,4937280000
2001-10-04,5307280000
2001-10-05,5461200000
2001-10-08,5419760000
2001-10-09,5517440000
2001-10-10,5570720000
2001-10-11,5440480000
2001-10-12,5357600000
2001-10-15,5251040000
2001-10-16,5476000000
2001-10-17,5366480000
2001-10-18,5259920000
2001-10-19,5372400000
2001-10-22,5431600000
2001-10-23,5416800000
2001-10-24,5496720000
2001-10-25,5662480000
2001-10-26,5905200000
2001-10-29,6026560000
2001-10-30,5677280000
2001-10-31,5668400000
2001-11-01,5718720000
2001-11-02,5588480000
2001-11-05,5407920000
2001-11-06,5523360000
2001-11-07,5624000000
2001-11-08,5606240000
2001-11-09,5733520000
2001-11-12,5624000000
2001-11-13,5712800000
2001-11-14,5520400000
2001-11-15,4910640000
2001-11-16,4972800000
2001-11-19,5088240000
2001-11-20,5298400000
2001-11-21,5209600000
2001-11-23,5322080000
2001-11-26,5049760000
2001-11-27,5180000000
2001-11-28,4928400000
2001-11-29,5091200000
2001-11-30,5091200000
2001-12-03,5174080000
2001-12-04,5159280000
2001-12-05,5419760000
2001-12-06,5292480000
2001-12-07,5295440000
2001-12-10,5254000000
2001-12-11,5224400000
2001-12-12,5061600000
2001-12-13,4884000000
2001-12-14,5020160000
2001-12-17,4884000000
2001-12-18,5194800000
2001-12-19,5301360000
2001-12-20,5328000000
2001-12-21,5360560000
2001-12-24,5470080000
2001-12-26,5665440000
2001-12-27,5683200000
2001-12-28,5801600000
2001-12-31,5718720000
2002-01-02,5653600000
2002-01-03,5535200000
2002-01-04,5641760000
2002-01-07,5789760000
2002-01-08,5736480000
2002-01-09,5766080000
2002-01-10,5615120000
2002-01-11,5464160000
2002-01-14,5407920000
2002-01-15,5579600000
2002-01-16,5455280000
2002-01-17,5440480000
2002-01-18,5396080000
2002-01-22,5322080000
2002-01-23,5579600000
2002-01-24,5757200000
2002-01-25,5709840000
2002-01-28,5535200000
2002-01-29,5283600000
2002-01-30,5402000000
2002-01-31,5508560000
2002-02-01,5579600000
2002-02-04,5372400000
2002-02-05,5422720000
2002-02-06,5402000000
2002-02-07,5402000000
2002-02-08,5481920000
2002-02-11,5662480000
2002-02-12,5644720000
2002-02-13,5798640000
2002-02-14,5946640000
2002-02-15,5964400000
2002-02-19,5896320000
2002-02-20,5881520000
2002-02-21,6097600000
2002-02-22,6275200000
2002-02-25,6500160000
2002-02-26,6586000000
2002-02-27,6568240000
2002-02-28,6464640000
2002-03-01,6550480000
2002-03-04,6586000000
2002-03-05,6600800000
2002-03-06,6911600000
2002-03-07,6944160000
2002-03-08,6808000000
2002-03-11,6867200000
2002-03-12,6882000000
2002-03-13,6923440000
2002-03-14,6890880000
2002-03-15,6941200000
2002-03-18,7136560000
2002-03-19,7104000000
2002-03-20,7059600000
2002-03-21,7163200000
2002-03-22,7018160000
2002-03-25,7053679999
2002-03-26,7032960000
2002-03-27,7219440000
2002-03-28,7145440000
2002-04-01,7736960000
2002-04-02,7931640000
2002-04-03,7671020000
2002-04-04,7366440000
2002-04-05,7347600000
2002-04-08,7498320000
2002-04-09,7379000000
2002-04-10,7457500000
2002-04-11,7448080000
2002-04-12,7143500000
2002-04-15,7379000000
2002-04-16,7309920000
2002-04-17,7451220000
2002-04-18,7693000000
2002-04-19,7784060000
2002-04-22,7661600000
2002-04-23,7893960000
2002-04-24,7714980000
2002-04-25,7787200000
2002-04-26,7642760000
2002-04-29,7636480000
2002-04-30,7743240000
2002-05-01,7859420000
2002-05-02,7850000000
2002-05-03,7846859999
2002-05-06,7601940000
2002-05-07,7614500000
2002-05-08,7802900000
2002-05-09,7693000000
2002-05-10,7576820000
2002-05-13,7740100000
2002-05-14,7890820000
2002-05-15,7708700000
2002-05-16,7837440000
2002-05-17,7802900000
2002-05-20,7831160000
2002-05-21,7677300000
2002-05-22,7787200000
2002-05-23,7912800000
2002-05-24,7915940000
2002-05-28,7937920000
2002-05-29,7881400000
2002-05-30,7950480000
2002-05-31,8204820000
2002-06-03,7991300000
2002-06-04,8085500000
2002-06-05,7850000000
2002-06-06,7796619999
2002-06-07,7818600000
2002-06-10,7536000000
2002-06-11,7400980000
2002-06-12,7394700000
2002-06-13,7432380000
2002-06-14,7466920000
2002-06-17,7664740000
2002-06-18,7627060000
2002-06-19,7655320000
2002-06-20,7536000000
2002-06-21,7598800000
2002-06-24,7645900000
2002-06-25,7705560000
2002-06-26,7708700000
2002-06-27,7724400000
2002-06-28,7736960000
2002-07-01,7687680000
2002-07-02,7444320000
2002-07-03,7310160000
2002-07-05,7622160000
2002-07-08,7441200000
2002-07-09,7372560000
2002-07-10,7197840000
2002-07-11,7020000000
2002-07-12,6938879999
2002-07-15,6708000000
2002-07-16,6552000000
2002-07-17,6467760000
2002-07-18,6508320000
2002-07-19,6261840000
2002-07-22,5825040000
2002-07-23,5544240000
2002-07-24,5971680000
2002-07-25,5999760000
2002-07-26,6233760000
2002-07-29,6617520000
2002-07-30,6380400000
2002-07-31,6502080000
2002-08-01,6336720000
2002-08-02,6264959999
2002-08-05,5903040000
2002-08-06,6202560000
2002-08-07,6339840000
2002-08-08,6455280000
2002-08-09,6598800000
2002-08-12,6801600000
2002-08-13,6754800000
2002-08-14,7060560000
2002-08-15,7406879999
2002-08-16,7356959999
2002-08-19,7254000000
2002-08-20,7204080000
2002-08-21,7207200000
2002-08-22,7410000000
2002-08-23,7332000000
2002-08-26,7378800000
2002-08-27,7575360000
2002-08-28,7338240000
2002-08-29,7185360000
2002-08-30,7332000000
2002-09-03,7119840000
2002-09-04,7179120000
2002-09-05,7213440000
2002-09-06,7332000000
2002-09-09,7328879999
2002-09-10,7519200000
2002-09-11,7597200000
2002-09-12,7466160000
2002-09-13,7553520000
2002-09-16,7622160000
2002-09-17,7438080000
2002-09-18,7503600000
2002-09-19,7410000000
2002-09-20,7332000000
2002-09-23,7238400000
2002-09-24,6929520000
2002-09-25,7004400000
2002-09-26,7263360000
2002-09-27,7413120000
2002-09-30,7576820000
2002-10-01,7645900000
2002-10-02,7708700000
2002-10-03,7724400000
2002-10-04,7652180000
2002-10-07,7476340000
2002-10-08,7457500000
2002-10-09,7105820000
2002-10-10,7190600000
2002-10-11,7316200000
2002-10-14,7708700000
2002-10-15,7865700000
2002-10-16,7680440000
2002-10-17,7981880000
2002-10-18,8066660000
2002-10-21,8283320000
2002-10-22,8054100000
2002-10-23,8242500000
2002-10-24,8022700000
2002-10-25,7765220000
2002-10-28,7846859999
2002-10-29,7689859999
2002-10-30,7843720000
2002-10-31,7928500000
2002-11-01,8022700000
2002-11-04,7850000000
2002-11-05,7780920000
2002-11-06,7818600000
2002-11-07,7331900000
2002-11-08,7184320000
2002-11-11,7058720000
2002-11-12,6955100000
2002-11-13,6653660000
2002-11-14,6829500000
2002-11-15,6995920000
2002-11-18,7209440000
2002-11-19,7124660000
2002-11-20,7309920000
2002-11-21,7278520000
2002-11-22,7099540000
2002-11-25,7086980000
2002-11-26,6929980000
2002-11-27,7093260000
2002-11-29,7187460000
2002-12-02,7237700000
2002-12-03,7400980000
2002-12-04,7281660000
2002-12-05,7457500000
2002-12-06,7589380000
2002-12-09,7649040000
2002-12-10,7689859999
2002-12-11,7633340000
2002-12-12,7536000000
2002-12-13,7382140000
2002-12-16,7507740000
2002-12-17,7557980000
2002-12-18,7344460000
2002-12-19,7319340000
2002-12-20,7457500000
2002-12-23,7520300000
2002-12-24,7479480000
2002-12-26,7338180000
2002-12-27,7259680000
2002-12-30,7196880000
2002-12-31,7206300000
2003-01-02,7457500000
2003-01-03,7504600000
2003-01-06,7595660000
2003-01-07,7121520000
2003-01-08,7086980000
2003-01-09,7200020000
2003-01-10,7086980000
2003-01-13,7008480000
2003-01-14,7134080000
2003-01-15,7294220000
2003-01-16,7350740000
2003-01-17,7256540000
2003-01-21,7002200000
2003-01-22,7080700000
2003-01-23,7043020000
2003-01-24,6929980000
2003-01-27,6729020000
2003-01-28,6816940000
2003-01-29,6986500000
2003-01-30,6986500000
2003-01-31,7112100000
2003-02-03,7231420000
2003-02-04,7379000000
2003-02-05,7331900000
2003-02-06,7357020000
2003-02-07,7300500000
2003-02-10,7316200000
2003-02-11,7209440000
2003-02-12,7112100000
2003-02-13,7137220000
2003-02-14,7228280000
2003-02-18,7309920000
2003-02-19,7331900000
2003-02-20,7297359999
2003-02-21,7573680000
2003-02-24,7583100000
2003-02-25,7724400000
2003-02-26,7890820000
2003-02-27,7536000000
2003-02-28,7567400000
2003-03-03,7696140000
2003-03-04,7677300000
2003-03-05,7771500000
2003-03-06,7818600000
2003-03-07,7834300000
2003-03-10,7777780000
2003-03-11,7714980000
2003-03-12,7658460000
2003-03-13,7501460000
2003-03-14,7466920000
2003-03-17,7388420000
2003-03-18,7608220000
2003-03-19,7514020000
2003-03-20,7677300000
2003-03-21,7457500000
2003-03-24,7407260000
2003-03-25,7441800000
2003-03-26,7488900000
2003-03-27,7595660000
2003-03-28,7630200000
2003-03-31,10222640000
2003-04-01,10260800000
2003-04-02,10133600000
2003-04-03,9997920000
2003-04-04,9917360000
2003-04-07,9853760000
2003-04-08,9612080000
2003-04-09,9667200000
2003-04-10,9938560000
2003-04-11,9985200000
2003-04-14,10061520000
2003-04-15,10176000000
2003-04-16,10061520000
2003-04-17,10176000000
2003-04-21,10354080000
2003-04-22,10523680000
2003-04-23,10494000000
2003-04-24,10388000000
2003-04-25,10311680000
2003-04-28,10265040000
2003-04-29,9980960000
2003-04-30,10019120000
2003-05-01,9870720000
2003-05-02,9985200000
2003-05-05,9908880000
2003-05-06,9684160000
2003-05-07,9858000000
2003-05-08,9807120000
2003-05-09,10036080000
2003-05-12,10137840000
2003-05-13,10231120000
2003-05-14,10400720000
2003-05-15,10400720000
2003-05-16,10366800000
2003-05-19,10243840000
2003-05-20,10260800000
2003-05-21,10833200000
2003-05-22,11024000000
2003-05-23,11019760000
2003-05-27,11142720000
2003-05-28,10896800000
2003-05-29,10710240000
2003-05-30,11024000000
2003-06-02,11214800000
2003-06-03,11452240000
2003-06-04,11401360000
2003-06-05,11342000000
2003-06-06,11236000000
2003-06-09,11113040000
2003-06-10,11261440000
2003-06-11,11863520000
2003-06-12,11570960000
2003-06-13,11443760000
2003-06-16,11316560000
2003-06-17,11146960000
2003-06-18,11316560000
2003-06-19,11549760000
2003-06-20,11490400000
2003-06-23,11626080000
2003-06-24,11503120000
2003-06-25,11532800000
2003-06-26,11448000000
2003-06-27,11397120000
2003-06-30,12388800000
2003-07-01,12360960000
2003-07-02,12180000000
2003-07-03,12207840000
2003-07-07,11929440000
2003-07-08,11878400000
2003-07-09,11915520000
2003-07-10,11748480000
2003-07-11,11961920000
2003-07-14,11716000000
2003-07-15,11600000000
2003-07-16,11386560000
2003-07-17,11535040000
2003-07-18,11739200000
2003-07-21,11544320000
2003-07-22,11368000000
2003-07-23,11312320000
2003-07-24,11020000000
2003-07-25,11136000000
2003-07-28,11136000000
2003-07-29,10964320000
2003-07-30,10936480000
2003-07-31,10992160000
2003-08-01,11080320000
2003-08-04,10885440000
2003-08-05,10871520000
2003-08-06,11511840000
2003-08-07,11841280000
2003-08-08,11915520000
2003-08-11,12203200000
2003-08-12,12263520000
2003-08-13,12319200000
2003-08-14,12115040000
2003-08-15,12017600000
2003-08-18,12240320000
2003-08-19,12128960000
2003-08-20,12161440000
2003-08-21,12203200000
2003-08-22,12203200000
2003-08-25,11948000000
2003-08-26,11901600000
2003-08-27,11906240000
2003-08-28,12008320000
2003-08-29,12008320000
2003-09-02,11989760000
2003-09-03,11948000000
2003-09-04,11929440000
2003-09-05,12008320000
2003-09-08,12296000000
2003-09-09,12212480000
2003-09-10,11836640000
2003-09-11,11664960000
2003-09-12,11530400000
2003-09-15,11316960000
2003-09-16,11316960000
2003-09-17,11126720000
2003-09-18,11196320000
2003-09-19,11335520000
2003-09-22,11307680000
2003-09-23,11307680000
2003-09-24,11400480000
2003-09-25,11233440000
2003-09-26,11047840000
2003-09-29,11001440000
2003-09-30,11278800000
2003-10-01,11292840000
2003-10-02,11264760000
2003-10-03,11199240000
2003-10-06,11213280000
2003-10-07,11395800000
2003-10-08,11409840000
2003-10-09,11297520000
2003-10-10,11297520000
2003-10-13,11349000000
2003-10-14,11185200000
2003-10-15,10871640000
2003-10-16,10913760000
2003-10-17,10862280000
2003-10-20,10998000000
2003-10-21,11115000000
2003-10-22,11157120000
2003-10-23,11082240000
2003-10-24,10998000000
2003-10-27,10974600000
2003-10-28,10998000000
2003-10-29,11208600000
2003-10-30,11077560000
2003-10-31,11349000000
2003-11-03,11222640000
2003-11-04,11129040000
2003-11-05,11292840000
2003-11-06,11484720000
2003-11-07,11400480000
2003-11-10,11461320000
2003-11-11,11466000000
2003-11-12,11639160000
2003-11-13,11732760000
2003-11-14,11760840000
2003-11-17,11611080000
2003-11-18,11372400000
2003-11-19,11367720000
2003-11-20,11363040000
2003-11-21,11269440000
2003-11-24,11297520000
2003-11-25,11489400000
2003-11-26,11545560000
2003-11-28,11550240000
2003-12-01,11835720000
2003-12-02,11948040000
2003-12-03,11812320000
2003-12-04,12369240000
2003-12-05,12420720000
2003-12-08,12636000000
2003-12-09,12626640000
2003-12-10,12528360000
2003-12-11,12519000000
2003-12-12,12659400000
2003-12-15,12753000000
2003-12-16,12860640000
2003-12-17,12963600000
2003-12-18,13347360000
2003-12-19,13455000000
2003-12-22,13164840000
2003-12-23,13080600000
2003-12-24,13314600000
2003-12-26,13375440000
2003-12-29,13501800000
2003-12-30,13548600000
2003-12-31,13685140000
2004-01-02,13689920000
2004-01-05,13957600000
2004-01-06,13909800000
2004-01-07,13924140000
2004-01-08,13948040000
2004-01-09,14172700000
2004-01-12,14129680000
2004-01-13,14101000000
2004-01-14,14091440000
2004-01-15,13599100000
2004-01-16,13981500000
2004-01-20,14363900000
2004-01-21,14387800000
2004-01-22,14081880000
2004-01-23,14220500000
2004-01-26,14187040000
2004-01-27,14129680000
2004-01-28,14010180000
2004-01-29,13618220000
2004-01-30,13493940000
2004-02-02,13455700000
2004-02-03,13570420000
2004-02-04,13474820000
2004-02-05,12786500000
2004-02-06,12733920000
2004-02-09,12834300000
2004-02-10,12934680000
2004-02-11,12929900000
2004-02-12,13078080000
2004-02-13,12853420000
2004-02-17,13145000000
2004-02-18,13049400000
2004-02-19,12925120000
2004-02-20,13121100000
2004-02-23,13116320000
2004-02-24,13173680000
2004-02-25,13192800000
2004-02-26,13384000000
2004-02-27,13570420000
2004-03-01,13823760000
2004-03-02,13689920000
2004-03-03,13646900000
2004-03-04,13608660000
2004-03-05,13790300000
2004-03-08,13838100000
2004-03-09,13661240000
2004-03-10,13393560000
2004-03-11,13240600000
2004-03-12,13427020000
2004-03-15,13536960000
2004-03-16,13603880000
2004-03-17,13924140000
2004-03-18,13933700000
2004-03-19,13666020000
2004-03-22,13651680000
2004-03-23,13651680000
2004-03-24,13278840000
2004-03-25,13216700000
2004-03-26,13221480000
2004-03-29,13350540000
2004-03-30,13670800000
2004-03-31,14011740000
2004-04-01,13920160000
2004-04-02,14194900000
2004-04-05,14435900000
2004-04-06,14460000000
2004-04-07,14460000000
2004-04-08,14720280000
2004-04-12,14884160000
2004-04-13,14893800000
2004-04-14,14884160000
2004-04-15,14956460000
2004-04-16,15173360000
2004-04-19,15149260000
2004-04-20,14739560000
2004-04-21,14585320000
2004-04-22,14879340000
2004-04-23,14840780000
2004-04-26,14999840000
2004-04-27,15250480000
2004-04-28,15168540000
2004-04-29,14633520000
2004-04-30,14749200000
2004-05-03,15317960000
2004-05-04,15240840000
2004-05-05,14942000000
2004-05-06,15390260000
2004-05-07,15043220000
2004-05-10,14165980000
2004-05-11,14406980000
2004-05-12,14614240000
2004-05-13,14426260000
2004-05-14,14662440000
2004-05-17,14720280000
2004-05-18,14387700000
2004-05-19,14300940000
2004-05-20,14484100000
2004-05-21,14339500000
2004-05-24,14855240000
2004-05-25,14990200000
2004-05-26,14672080000
2004-05-27,14267200000
2004-05-28,14305760000
2004-06-01,14667260000
2004-06-02,14662440000
2004-06-03,14493740000
2004-06-04,14484100000
2004-06-07,14643160000
2004-06-08,14580500000
2004-06-09,14315400000
2004-06-10,14599780000
2004-06-14,14517840000
2004-06-15,14927540000
2004-06-16,15260120000
2004-06-17,15534859999
2004-06-18,15313140000
2004-06-21,15544500000
2004-06-22,15660180000
2004-06-23,16209660000
2004-06-24,15939740000
2004-06-25,16050599999
2004-06-28,15568599999
2004-06-29,15751760000
2004-06-30,16005000000
2004-07-01,16077750000
2004-07-02,16533650000
2004-07-06,16688849999
2004-07-07,16693700000
2004-07-08,16684000000
2004-07-09,16829500000
2004-07-12,16737349999
2004-07-13,16664600000
2004-07-14,16960450000
2004-07-15,16936200000
2004-07-16,17072000000
2004-07-19,16892550000
2004-07-20,16887700000
2004-07-21,16514249999
2004-07-22,16645200000
2004-07-23,16708250000
2004-07-26,16344500000
2004-07-27,16698550000
2004-07-28,16916800000
2004-07-29,16727650000
2004-07-30,16853750000
2004-08-02,16902250000
2004-08-03,17096250000
2004-08-04,16640350000
2004-08-05,16150499999
2004-08-06,15849800000
2004-08-09,16271749999
2004-08-10,16281450000
2004-08-11,16126250000
2004-08-12,15825550000
2004-08-13,16029249999
2004-08-16,16218399999
2004-08-17,15714000000
2004-08-18,15806150000
2004-08-19,15898300000
2004-08-20,16034100000
2004-08-23,15825550000
