,WEN
2000-12-04,183851080
2000-12-05,185186560
2000-12-06,184741400
2000-12-07,185186560
2000-12-08,185186560
2000-12-11,184741400
2000-12-12,185186560
2000-12-13,185631720
2000-12-14,184741400
2000-12-15,182960760
2000-12-18,182960760
2000-12-19,182070440
2000-12-20,179844640
2000-12-21,179844640
2000-12-22,179844640
2000-12-26,179844640
2000-12-27,177841420
2000-12-28,180289800
2000-12-29,176060780
2001-01-02,176505940
2001-01-03,178286580
2001-01-04,178286580
2001-01-05,172944660
2001-01-08,172944660
2001-01-09,172499500
2001-01-10,176060780
2001-01-11,183405920
2001-01-12,183851080
2001-01-16,183851080
2001-01-17,182960760
2001-01-18,183405920
2001-01-19,181625280
2001-01-22,182070440
2001-01-23,183405920
2001-01-24,183405920
2001-01-25,182070440
2001-01-26,182960760
2001-01-29,182070440
2001-01-30,181625280
2001-01-31,182070440
2001-02-01,182070440
2001-02-02,180734959
2001-02-05,181625280
2001-02-06,182738180
2001-02-07,182738180
2001-02-08,181625280
2001-02-09,180734959
2001-02-12,182738180
2001-02-13,185631720
2001-02-14,185854300
2001-02-15,186299459
2001-02-16,187189780
2001-02-20,185854300
2001-02-21,189860740
2001-02-22,188525260
2001-02-23,188747840
2001-02-26,188970420
2001-02-27,189193000
2001-02-28,192531700
2001-03-01,192086540
2001-03-02,192531700
2001-03-05,191863959
2001-03-06,192086540
2001-03-07,192754280
2001-03-08,192531700
2001-03-09,192754280
2001-03-12,192531700
2001-03-13,192309120
2001-03-14,191863959
2001-03-15,188747840
2001-03-16,175838200
2001-03-19,177173680
2001-03-20,178731740
2001-03-21,177173680
2001-03-22,175838200
2001-03-23,177173680
2001-03-26,175393040
2001-03-27,177841420
2001-03-28,176951100
2001-03-29,170718860
2001-03-30,178731740
2001-04-02,179060970
2001-04-03,178169010
2001-04-04,174601170
2001-04-05,177277050
2001-04-06,177277050
2001-04-09,176831070
2001-04-10,181290870
2001-04-11,180398910
2001-04-12,185527680
2001-04-16,183743760
2001-04-17,183743760
2001-04-18,183297780
2001-04-19,183074790
2001-04-20,182851799
2001-04-23,182182830
2001-04-24,185527680
2001-04-25,188426549
2001-04-26,188649540
2001-04-27,189541500
2001-04-30,186196650
2001-05-01,186642629
2001-05-02,186196650
2001-05-03,185527680
2001-05-04,184189740
2001-05-07,183743760
2001-05-08,183520770
2001-05-09,186196650
2001-05-10,186196650
2001-05-11,188872530
2001-05-14,188872530
2001-05-15,187757580
2001-05-16,187757580
2001-05-17,184189740
2001-05-18,184412730
2001-05-21,183966750
2001-05-22,183074790
2001-05-23,183520770
2001-05-24,185527680
2001-05-25,186196650
2001-05-29,185527680
2001-05-30,186196650
2001-05-31,183743760
2001-06-01,183966750
2001-06-04,183743760
2001-06-05,183074790
2001-06-06,181959840
2001-06-07,182405820
2001-06-08,181959840
2001-06-11,182182830
2001-06-12,183297780
2001-06-13,183520770
2001-06-14,183520770
2001-06-15,183743760
2001-06-18,182628810
2001-06-19,183743760
2001-06-20,182628810
2001-06-21,189095520
2001-06-22,185527680
2001-06-25,184412730
2001-06-26,184858709
2001-06-27,184858709
2001-06-28,185081700
2001-06-29,190656450
2001-07-02,197752800
2001-07-03,197988220
2001-07-05,195163179
2001-07-06,196575700
2001-07-09,193986080
2001-07-10,193986080
2001-07-11,194221500
2001-07-12,197517380
2001-07-13,200107000
2001-07-16,203638300
2001-07-17,201519520
2001-07-18,200813259
2001-07-19,197046539
2001-07-20,199636160
2001-07-23,199400740
2001-07-24,199165320
2001-07-25,199636160
2001-07-26,201048679
2001-07-27,201048679
2001-07-30,201284100
2001-07-31,201284100
2001-08-01,199636160
2001-08-02,200813259
2001-08-03,200107000
2001-08-06,199636160
2001-08-07,200107000
2001-08-08,199871580
2001-08-09,200577840
2001-08-10,199636160
2001-08-13,200577840
2001-08-14,200342420
2001-08-15,201284100
2001-08-16,195869440
2001-08-17,195869440
2001-08-20,196575700
2001-08-21,197046539
2001-08-22,195869440
2001-08-23,194692340
2001-08-24,192808980
2001-08-27,192808980
2001-08-28,188571420
2001-08-29,190454780
2001-08-30,192102720
2001-08-31,190454780
2001-09-04,190690200
2001-09-05,191867300
2001-09-06,186688060
2001-09-07,184333860
2001-09-10,179625460
2001-09-17,181979660
2001-09-18,175858740
2001-09-19,177035840
2001-09-20,172562860
2001-09-21,169031560
2001-09-24,173504540
2001-09-25,176565000
2001-09-26,174446220
2001-09-27,173739960
2001-09-28,177506680
2001-10-01,153369220
2001-10-02,153165000
2001-10-03,153981880
2001-10-04,153777660
2001-10-05,154186100
2001-10-08,153981880
2001-10-09,152756560
2001-10-10,153981880
2001-10-11,155819860
2001-10-12,153777660
2001-10-15,153573440
2001-10-16,154594540
2001-10-17,151327020
2001-10-18,152348120
2001-10-19,154594540
2001-10-22,154594540
2001-10-23,155819860
2001-10-24,155411420
2001-10-25,155207200
2001-10-26,155819860
2001-10-29,153981880
2001-10-30,151327020
2001-10-31,153981880
2001-11-01,153165000
2001-11-02,151327020
2001-11-05,151531240
2001-11-06,151327020
2001-11-07,152756560
2001-11-08,152960780
2001-11-09,154594540
2001-11-12,154186100
2001-11-13,152960780
2001-11-14,151531240
2001-11-15,151939680
2001-11-16,153369220
2001-11-19,153981880
2001-11-20,153369220
2001-11-21,152348120
2001-11-23,153777660
2001-11-26,152348120
2001-11-27,151531240
2001-11-28,152348120
2001-11-29,152960780
2001-11-30,155819860
2001-12-03,155819860
2001-12-04,158678940
2001-12-05,162967560
2001-12-06,163988660
2001-12-07,165213980
2001-12-10,160925360
2001-12-11,162559120
2001-12-12,161538020
2001-12-13,160721140
2001-12-14,163171780
2001-12-17,165622420
2001-12-18,164601320
2001-12-19,166643520
2001-12-20,163171780
2001-12-21,161129580
2001-12-24,163988660
2001-12-26,165826639
2001-12-27,165213980
2001-12-28,165009760
2001-12-31,161946460
2002-01-02,163580220
2002-01-03,164805540
2002-01-04,167664620
2002-01-07,169502600
2002-01-08,169911040
2002-01-09,167664620
2002-01-10,169502600
2002-01-11,168889940
2002-01-14,170319480
2002-01-15,173178560
2002-01-16,171544800
2002-01-17,175220760
2002-01-18,177058740
2002-01-22,176037639
2002-01-23,182981120
2002-01-24,178284060
2002-01-25,175629200
2002-01-28,177262960
2002-01-29,176650300
2002-01-30,179713600
2002-01-31,179509379
2002-02-01,177467180
2002-02-04,175220760
2002-02-05,174812320
2002-02-06,174403879
2002-02-07,172565900
2002-02-08,173178560
2002-02-11,173178560
2002-02-12,172565900
2002-02-13,173178560
2002-02-14,173382780
2002-02-15,173178560
2002-02-19,173382780
2002-02-20,175629200
2002-02-21,179100940
2002-02-22,179509379
2002-02-25,181347360
2002-02-26,179509379
2002-02-27,178488280
2002-02-28,178896720
2002-03-01,179100940
2002-03-04,180530480
2002-03-05,182572680
2002-03-06,185840200
2002-03-07,184819100
2002-03-08,184819100
2002-03-11,180938920
2002-03-12,179100940
2002-03-13,179713600
2002-03-14,179917820
2002-03-15,181960020
2002-03-18,183593780
2002-03-19,185635980
2002-03-20,186044420
2002-03-21,186657080
2002-03-22,187882400
2002-03-25,186248639
2002-03-26,186452860
2002-03-27,186657080
2002-03-28,185227540
2002-04-01,199610880
2002-04-02,201170340
2002-04-03,201615900
2002-04-04,203620920
2002-04-05,202729800
2002-04-08,202729800
2002-04-09,200502000
2002-04-10,201393119
2002-04-11,202729800
2002-04-12,203398140
2002-04-15,200279220
2002-04-16,203175359
2002-04-17,199610880
2002-04-18,200056440
2002-04-19,199833660
2002-04-22,199833660
2002-04-23,200056440
2002-04-24,200724780
2002-04-25,199388099
2002-04-26,199388099
2002-04-29,200724780
2002-04-30,203620920
2002-05-01,204734820
2002-05-02,206962619
2002-05-03,208076520
2002-05-06,204957599
2002-05-07,204289260
2002-05-08,200947560
2002-05-09,201615900
2002-05-10,202952580
2002-05-13,202061460
2002-05-14,207185400
2002-05-15,207630960
2002-05-16,205848720
2002-05-17,204289260
2002-05-20,202507020
2002-05-21,201393119
2002-05-22,202284240
2002-05-23,202507020
2002-05-24,201393119
2002-05-28,199388099
2002-05-29,199165320
2002-05-30,200947560
2002-05-31,199610880
2002-06-03,197383080
2002-06-04,197383080
2002-06-05,196937520
2002-06-06,196269180
2002-06-07,201615900
2002-06-10,201615900
2002-06-11,199833660
2002-06-12,198496980
2002-06-13,196269180
2002-06-14,196714740
2002-06-17,197828640
2002-06-18,197160300
2002-06-19,197605859
2002-06-20,197605859
2002-06-21,199833660
2002-06-24,198942540
2002-06-25,194932500
2002-06-26,196269180
2002-06-27,195823619
2002-06-28,200724780
2002-07-01,183856020
2002-07-02,178130400
2002-07-03,174949500
2002-07-05,178554520
2002-07-08,177918340
2002-07-09,177282160
2002-07-10,175797739
2002-07-11,173040960
2002-07-12,173889199
2002-07-15,169223880
2002-07-16,168163580
2002-07-17,168799760
2002-07-18,165618860
2002-07-19,164134440
2002-07-22,160105300
2002-07-23,156712340
2002-07-24,170920360
2002-07-25,166679160
2002-07-26,173040960
2002-07-29,179826880
2002-07-30,172404780
2002-07-31,171768600
2002-08-01,170920360
2002-08-02,163286200
2002-08-05,163286200
2002-08-06,168163580
2002-08-07,169860060
2002-08-08,171344480
2002-08-09,176858040
2002-08-12,178554520
2002-08-13,174949500
2002-08-14,178130400
2002-08-15,179614820
2002-08-16,179826880
2002-08-19,176858040
2002-08-20,175585680
2002-08-21,176858040
2002-08-22,175797739
2002-08-23,173040960
2002-08-26,172192719
2002-08-27,172192719
2002-08-28,170920360
2002-08-29,174737440
2002-08-30,170920360
2002-09-03,168799760
2002-09-04,172616840
2002-09-05,168799760
2002-09-06,171768600
2002-09-09,169648000
2002-09-10,171980660
2002-09-11,171344480
2002-09-12,170072120
2002-09-13,168163580
2002-09-16,167527400
2002-09-17,164770620
2002-09-18,163922380
2002-09-19,160105300
2002-09-20,162650020
2002-09-23,156924400
2002-09-24,160317360
2002-09-25,159469120
2002-09-26,160953540
2002-09-27,154379680
2002-09-30,151056200
2002-10-01,150239680
2002-10-02,151872720
2002-10-03,148606640
2002-10-04,151260330
2002-10-07,149423160
2002-10-08,150852070
2002-10-09,149831420
2002-10-10,146769470
2002-10-11,150852070
2002-10-14,150647940
2002-10-15,155751190
2002-10-16,160446180
2002-10-17,160446180
2002-10-18,159833790
2002-10-21,159833790
2002-10-22,157180100
2002-10-23,160242050
2002-10-24,155342930
2002-10-25,156771840
2002-10-28,159221400
2002-10-29,157588360
2002-10-30,160854440
2002-10-31,159833790
2002-11-01,161875090
2002-11-04,165141170
2002-11-05,167794860
2002-11-06,165549430
2002-11-07,165753559
2002-11-08,165753559
2002-11-11,165141170
2002-11-12,165345300
2002-11-13,167998990
2002-11-14,167794860
2002-11-15,169019640
2002-11-18,168407250
2002-11-19,166774210
2002-11-20,173510500
2002-11-21,176368320
2002-11-22,175143540
2002-11-25,174735280
2002-11-26,177184840
2002-11-27,181471570
2002-11-29,180859180
2002-12-02,183717000
2002-12-03,180246790
2002-12-04,179838530
2002-12-05,180246790
2002-12-06,180450920
2002-12-09,178817880
2002-12-10,181063309
2002-12-11,181063309
2002-12-12,184737650
2002-12-13,182492220
2002-12-16,183921130
2002-12-17,182900480
2002-12-18,179430269
2002-12-19,177797230
2002-12-20,177797230
2002-12-23,177593100
2002-12-24,179430269
2002-12-26,177388970
2002-12-27,175551800
2002-12-30,174122890
2002-12-31,174735280
2003-01-02,178409620
2003-01-03,176980710
2003-01-06,176776580
2003-01-07,177184840
2003-01-08,174122890
2003-01-09,175347670
2003-01-10,175755930
2003-01-13,176368320
2003-01-14,179430269
2003-01-15,177184840
2003-01-16,176572450
2003-01-17,173918760
2003-01-21,172489850
2003-01-22,172489850
2003-01-23,173306370
2003-01-24,171060940
2003-01-27,167590730
2003-01-28,169019640
2003-01-29,169632030
2003-01-30,167386600
2003-01-31,170040290
2003-02-03,172489850
2003-02-04,173510500
2003-02-05,170040290
2003-02-06,170856809
2003-02-07,171469200
2003-02-10,174122890
2003-02-11,176572450
2003-02-12,173102240
2003-02-13,171469200
2003-02-14,173510500
2003-02-18,175143540
2003-02-19,176776580
2003-02-20,176572450
2003-02-21,177797230
2003-02-24,176572450
2003-02-25,178205490
2003-02-26,175551800
2003-02-27,176776580
2003-02-28,177593100
2003-03-03,179022010
2003-03-04,176776580
2003-03-05,176776580
2003-03-06,176368320
2003-03-07,175755930
2003-03-10,176572450
2003-03-11,173102240
2003-03-12,173510500
2003-03-13,179022010
2003-03-14,179226140
2003-03-17,181471570
2003-03-18,180246790
2003-03-19,181471570
2003-03-20,181471570
2003-03-21,185962430
2003-03-24,187187210
2003-03-25,185962430
2003-03-26,183921130
2003-03-27,184329390
2003-03-28,186574820
2003-03-31,183390750
2003-04-01,180969750
2003-04-02,181373250
2003-04-03,181978500
2003-04-04,178750500
2003-04-07,178952249
2003-04-08,180566250
2003-04-09,178952249
2003-04-10,178750500
2003-04-11,180364500
2003-04-14,181776750
2003-04-15,186417000
2003-04-16,180566250
2003-04-17,179557500
2003-04-21,182785500
2003-04-22,185004750
2003-04-23,185408250
2003-04-24,182987250
2003-04-25,181978500
2003-04-28,184399500
2003-04-29,183592500
2003-04-30,182381999
2003-05-01,183794250
2003-05-02,188636250
2003-05-05,187425749
2003-05-06,189241500
2003-05-07,185610000
2003-05-08,184399500
2003-05-09,183995999
2003-05-12,183995999
2003-05-13,182987250
2003-05-14,178750500
2003-05-15,178952249
2003-05-16,174513750
2003-05-19,178347000
2003-05-20,178347000
2003-05-21,178952249
2003-05-22,178145250
2003-05-23,177741750
2003-05-27,179355750
2003-05-28,182583750
2003-05-29,180162750
2003-05-30,180566250
2003-06-02,182785500
2003-06-03,182987250
2003-06-04,185408250
2003-06-05,185206500
2003-06-06,184803000
2003-06-09,183995999
2003-06-10,186618750
2003-06-11,187627500
2003-06-12,185610000
2003-06-13,185004750
2003-06-16,188232750
2003-06-17,194285250
2003-06-18,196302750
2003-06-19,196101000
2003-06-20,197109750
2003-06-23,195495750
2003-06-24,192671250
2003-06-25,192469499
2003-06-26,194890500
2003-06-27,196101000
2003-06-30,197513249
2003-07-01,197109750
2003-07-02,200539500
2003-07-03,200741250
2003-07-07,201548250
2003-07-08,204372750
2003-07-09,203162250
2003-07-10,199127249
2003-07-11,199732500
2003-07-14,198925500
2003-07-15,198723750
2003-07-16,195697500
2003-07-17,192267750
2003-07-18,194890500
2003-07-21,194890500
2003-07-22,191662500
2003-07-23,192671250
2003-07-24,189241500
2003-07-25,190855500
2003-07-28,191662500
2003-07-29,190855500
2003-07-30,193074750
2003-07-31,191569280
2003-08-01,189213920
2003-08-04,186662280
2003-08-05,184306920
2003-08-06,182932960
2003-08-07,182540400
2003-08-08,183914359
2003-08-11,187054840
2003-08-12,202364680
2003-08-13,200205600
2003-08-14,201187000
2003-08-15,199420480
2003-08-18,200794440
2003-08-19,199616760
2003-08-20,203346080
2003-08-21,200598160
2003-08-22,197261400
2003-08-25,197653960
2003-08-26,198439080
2003-08-27,199027920
2003-08-28,198439080
2003-08-29,200205600
2003-09-02,200009320
2003-09-03,199813040
2003-09-04,200401880
2003-09-05,189802760
2003-09-08,186466000
2003-09-09,187643680
2003-09-10,193728359
2003-09-11,192550680
2003-09-12,192354400
2003-09-15,191569280
2003-09-16,193335800
2003-09-17,193532080
2003-09-18,191569280
2003-09-19,194906040
2003-09-22,194709760
2003-09-23,195691160
2003-09-24,199027920
2003-09-25,190784160
2003-09-26,188821359
2003-09-29,191229360
2003-09-30,195386519
2003-10-01,198553880
2003-10-02,201721240
2003-10-03,200533480
2003-10-06,197762040
2003-10-07,201325320
2003-10-08,196772240
2003-10-09,199345720
2003-10-10,197564080
2003-10-13,198157960
2003-10-14,203304920
2003-10-15,199147760
2003-10-16,200929400
2003-10-17,199543680
2003-10-20,196970200
2003-10-21,196178360
2003-10-22,193011000
2003-10-23,194000800
2003-10-24,195980400
2003-10-27,196772240
2003-10-28,200929400
2003-10-29,199939600
2003-10-30,202117160
2003-10-31,202117160
2003-11-03,204690640
2003-11-04,212411080
2003-11-05,215182519
2003-11-06,219933560
2003-11-07,222111120
2003-11-10,216766200
2003-11-11,214588640
2003-11-12,218151920
2003-11-13,232800960
2003-11-14,219735600
2003-11-17,215182519
2003-11-18,213994760
2003-11-19,216964160
2003-11-20,214192720
2003-11-21,213400880
2003-11-24,220329480
2003-11-25,216964160
2003-11-26,217558040
2003-11-28,216964160
2003-12-01,220725400
2003-12-02,220527440
2003-12-03,219141720
2003-12-04,216964160
2003-12-05,217162120
2003-12-08,213004960
2003-12-09,213994760
2003-12-10,214786600
2003-12-11,219933560
2003-12-12,220527440
2003-12-15,216172320
2003-12-16,216172320
2003-12-17,212411080
2003-12-18,216568240
2003-12-19,213004960
2003-12-22,213400880
2003-12-23,215974360
2003-12-24,214390680
2003-12-26,214588640
2003-12-29,226909200
2003-12-30,224310240
2003-12-31,231507360
2004-01-02,231907200
2004-01-05,239304240
2004-01-06,237305039
2004-01-07,233106720
2004-01-08,225509760
2004-01-09,223710480
2004-01-12,228108720
2004-01-13,224310240
2004-01-14,224510160
2004-01-15,231107520
2004-01-16,227109120
2004-01-20,229708080
2004-01-21,227309039
2004-01-22,229108320
2004-01-23,231907200
2004-01-26,229708080
2004-01-27,231507360
2004-01-28,226909200
2004-01-29,229108320
2004-01-30,228108720
2004-02-02,223710480
2004-02-03,228108720
2004-02-04,223710480
2004-02-05,224310240
2004-02-06,225309840
2004-02-09,225309840
2004-02-10,225309840
2004-02-11,225509760
2004-02-12,223510560
2004-02-13,223310640
2004-02-17,225909600
2004-02-18,222710880
2004-02-19,220311840
2004-02-20,218112720
2004-02-23,216713280
2004-02-24,216513360
2004-02-25,214514160
2004-02-26,214314240
2004-02-27,215313840
2004-03-01,218312640
2004-03-02,217912800
2004-03-03,218312640
2004-03-04,219712080
2004-03-05,218512560
2004-03-08,219512160
2004-03-09,218712480
2004-03-10,219112320
2004-03-11,218512560
2004-03-12,223310640
2004-03-15,220311840
2004-03-16,213514560
2004-03-17,213714480
2004-03-18,212914800
2004-03-19,211515360
2004-03-22,206117520
2004-03-23,203718480
2004-03-24,204918000
2004-03-25,208116720
2004-03-26,206317440
2004-03-29,236135020
2004-03-30,236581400
2004-03-31,239259680
2004-04-01,237474160
2004-04-02,233903120
2004-04-05,239482870
2004-04-06,238366920
2004-04-07,237027779
2004-04-08,237474160
2004-04-12,236358210
2004-04-13,231001650
2004-04-14,231224840
2004-04-15,230778460
2004-04-16,231894410
2004-04-19,233233549
2004-04-20,238366920
2004-04-21,238813299
2004-04-22,239482870
2004-04-23,240822009
2004-04-26,241045200
2004-04-27,242384340
2004-04-28,242830720
2004-04-29,240822009
2004-04-30,240598820
2004-05-03,243946670
2004-05-04,242830720
2004-05-05,244839430
2004-05-06,247071330
2004-05-07,242830720
2004-05-10,237250970
2004-05-11,236135020
2004-05-12,240822009
2004-05-13,239036490
2004-05-14,241714770
2004-05-17,233010360
2004-05-18,230332080
2004-05-19,234572690
2004-05-20,231671220
2004-05-21,231894410
2004-05-24,237697350
2004-05-25,241045200
2004-05-26,237027779
2004-05-27,237027779
2004-05-28,237250970
2004-06-01,231224840
2004-06-02,234126310
2004-06-03,232563980
2004-06-04,232787170
2004-06-07,234572690
2004-06-08,233903120
2004-06-09,228769750
2004-06-10,226537850
2004-06-14,226537850
2004-06-15,224082759
2004-06-16,226091470
2004-06-17,222520430
2004-06-18,222966810
2004-06-21,226091470
2004-06-22,224082759
2004-06-23,223190000
2004-06-24,223413190
2004-06-25,219842150
2004-06-28,230977120
2004-06-29,232828640
2004-06-30,234217279
2004-07-01,233060080
2004-07-02,233060080
2004-07-06,233522960
2004-07-07,232365759
2004-07-08,229588480
2004-07-09,230282799
2004-07-12,227968400
2004-07-13,227274080
2004-07-14,231208560
2004-07-15,231902880
2004-07-16,228894160
2004-07-19,229125600
2004-07-20,230514240
2004-07-21,228662720
2004-07-22,227274080
2004-07-23,225191120
2004-07-26,224959680
2004-07-27,229819920
2004-07-28,228894160
2004-07-29,227736960
2004-07-30,221488080
2004-08-02,224496799
2004-08-03,223108160
2004-08-04,226811200
2004-08-05,221025200
2004-08-06,219405120
2004-08-09,221256640
2004-08-10,221488080
2004-08-11,222182400
2004-08-12,218710799
2004-08-13,218016480
2004-08-16,217090720
2004-08-17,218016480
2004-08-18,218479360
2004-08-19,223108160
2004-08-20,222645279
2004-08-23,228894160
2004-08-24,229357040
2004-08-25,228894160
2004-08-26,233060080
2004-08-27,234217279
2004-08-30,240003279
2004-08-31,245789279
2004-09-01,246715040
2004-09-02,248798000
2004-09-03,249955200
2004-09-07,249723759
2004-09-08,248566560
2004-09-09,254121120
2004-09-10,256666960
2004-09-13,252501040
2004-09-14,254584000
2004-09-15,254121120
2004-09-16,263147279
2004-09-17,260138560
2004-09-20,257824160
2004-09-21,261295759
2004-09-22,255278320
2004-09-23,254815440
2004-09-24,258055600
2004-09-27,720427470
2004-09-28,723049590
2004-09-29,735504660
2004-09-30,734193600
2004-10-01,748615260
2004-10-04,738126780
2004-10-05,738782310
2004-10-06,737471250
2004-10-07,736160190
2004-10-08,733538070
2004-10-11,719771940
2004-10-12,725016180
2004-10-13,717805350
2004-10-14,711905580
2004-10-15,715838760
2004-10-18,717805350
2004-10-19,713216640
2004-10-20,706005810
2004-10-21,707972400
2004-10-22,700106040
2004-10-25,704039220
2004-10-26,699450510
2004-10-27,712561110
2004-10-28,715838760
2004-10-29,729604890
2004-11-01,734849130
2004-11-02,722394060
2004-11-03,734849130
2004-11-04,782047290
2004-11-05,806957430
2004-11-08,814168260
2004-11-09,801713190
2004-11-10,819412500
2004-11-11,809579550
2004-11-12,820723560
2004-11-15,825312270
2004-11-16,828589920
2004-11-17,831212040
2004-11-18,831212040
2004-11-19,828589920
2004-11-22,819412500
2004-11-23,822690150
2004-11-24,826623330
2004-11-26,838422870
2004-11-29,830556510
2004-11-30,831867570
2004-12-01,831867570
2004-12-02,846289230
2004-12-03,835145220
2004-12-06,839078400
2004-12-07,833834160
2004-12-08,837111810
2004-12-09,800402130
2004-12-10,795157890
2004-12-13,804335310
2004-12-14,806957430
2004-12-15,806957430
2004-12-16,810235080
2004-12-17,811546140
2004-12-20,807612960
2004-12-21,804335310
2004-12-22,806957430
2004-12-23,808268490
2004-12-27,814823790
2004-12-28,815479320
2004-12-29,823345680
2004-12-30,821379090
2004-12-31,835145220
2005-01-03,819412500
2005-01-04,822690150
2005-01-05,811546140
2005-01-06,818756970
2005-01-07,822690150
2005-01-10,816790380
2005-01-11,818756970
2005-01-12,812857200
2005-01-13,810235080
2005-01-14,811546140
2005-01-18,818101440
2005-01-19,932819190
2005-01-20,964284630
2005-01-21,977395230
2005-01-24,999027720
