,LRCX
2000-07-19,3889906250
2000-07-20,3602364380
2000-07-21,3267521250
2000-07-24,3492824620
2000-07-25,3703190750
2000-07-26,3578713750
2000-07-27,3377061010
2000-07-28,3485356000
2000-07-31,3640952250
2000-08-01,3436809970
2000-08-02,3439299510
2000-08-03,2862971000
2000-08-04,2956328750
2000-08-07,2876663470
2000-08-08,2831851750
2000-08-09,2886621630
2000-08-10,2692437510
2000-08-11,2731025380
2000-08-14,2979979380
2000-08-15,3236402000
2000-08-16,3314822510
2000-08-17,3470418760
2000-08-18,3648420870
2000-08-21,3555063120
2000-08-22,3454236750
2000-08-23,3765429250
2000-08-24,3688253510
2000-08-25,3710659370
2000-08-28,3765429250
2000-08-29,3937207510
2000-08-30,3657134260
2000-08-31,3750492010
2000-09-01,3874969010
2000-09-05,3617301620
2000-09-06,3377061010
2000-09-07,3563776510
2000-09-08,3345941760
2000-09-11,3236402000
2000-09-12,3096987760
2000-09-13,3143044250
2000-09-14,3111925000
2000-09-15,2979979380
2000-09-18,2932678120
2000-09-19,3190345510
2000-09-20,3190345510
2000-09-21,2979979380
2000-09-22,2901558870
2000-09-25,2669574600
2000-09-26,2746095000
2000-09-27,2753500200
2000-09-28,2707834800
2000-09-29,2584414800
2000-10-02,2807805000
2000-10-03,2722645200
2000-10-04,2923819800
2000-10-05,2707834800
2000-10-06,2584414800
2000-10-09,2669574600
2000-10-10,2368429800
2000-10-11,2299314600
2000-10-12,2221560000
2000-10-13,2399284800
2000-10-16,2314125000
2000-10-17,1959909600
2000-10-18,1920415200
2000-10-19,2206749600
2000-10-20,2375835000
2000-10-23,2406690000
2000-10-24,2221560000
2000-10-25,2083329599
2000-10-26,2183299800
2000-10-27,2128995000
2000-10-30,2198110200
2000-10-31,2391879600
2000-11-01,2299314600
2000-11-02,2361024600
2000-11-03,2375835000
2000-11-06,2306719800
2000-11-07,2228965200
2000-11-08,2145039599
2000-11-09,2128995000
2000-11-10,1998169800
2000-11-13,2083329599
2000-11-14,2152444800
2000-11-15,2290675200
2000-11-16,2206749600
2000-11-17,2183299800
2000-11-20,2159850000
2000-11-21,2052474599
2000-11-22,2005575000
2000-11-24,2190705000
2000-11-27,2221560000
2000-11-28,1941396600
2000-11-29,1913010000
2000-11-30,1851300000
2000-12-01,1827850200
2000-12-04,1827850200
2000-12-05,2036430000
2000-12-06,2052474599
2000-12-07,1998169800
2000-12-08,2361024600
2000-12-11,2468400000
2000-12-12,2228965200
2000-12-13,2043835199
2000-12-14,1936459800
2000-12-15,1817976600
2000-12-18,1789590000
2000-12-19,1836489600
2000-12-20,1720474800
2000-12-21,1689619800
2000-12-22,1882155000
2000-12-26,1786139000
2000-12-27,1786139000
2000-12-28,1871134580
2000-12-29,1786139000
2001-01-02,1771357160
2001-01-03,2124889500
2001-01-04,2240680580
2001-01-05,2255462420
2001-01-08,2373717140
2001-01-09,2333067080
2001-01-10,2456249080
2001-01-11,2702613080
2001-01-12,2548635580
2001-01-16,2487044580
2001-01-17,2778985920
2001-01-18,2840576920
2001-01-19,2802390500
2001-01-22,2679208500
2001-01-23,2726017660
2001-01-24,3056145420
2001-01-25,2918181580
2001-01-26,2863981500
2001-01-29,3033972660
2001-01-30,3148531920
2001-01-31,3256932080
2001-02-01,3271713920
2001-02-02,3064768160
2001-02-05,2871372420
2001-02-06,2840576920
2001-02-07,2748190420
2001-02-08,2733408580
2001-02-09,2702613080
2001-02-12,2802390500
2001-02-13,2679208500
2001-02-14,3003177160
2001-02-15,3218745660
2001-02-16,3117736420
2001-02-20,2994554420
2001-02-21,2910790660
2001-02-22,3017959000
2001-02-23,3033972660
2001-02-26,2956368000
2001-02-27,2833186000
2001-02-28,2648413000
2001-03-01,2771595000
2001-03-02,2802390500
2001-03-05,3041363580
2001-03-06,3264323000
2001-03-07,3302509420
2001-03-08,3318523080
2001-03-09,3041363580
2001-03-12,2987163500
2001-03-13,3154691020
2001-03-14,3179327420
2001-03-15,3010568080
2001-03-16,2825795080
2001-03-19,2987163500
2001-03-20,2925572500
2001-03-21,3017959000
2001-03-22,3439241440
2001-03-23,3626478080
2001-03-26,3729990000
2001-03-27,3755355000
2001-03-28,3555105000
2001-03-29,3437625000
2001-03-30,3170625000
2001-04-02,2895615000
2001-04-03,2820855000
2001-04-04,2620605000
2001-04-05,3121230000
2001-04-06,2945010000
2001-04-09,2811510000
2001-04-10,3070500000
2001-04-11,3280095000
2001-04-12,3738000000
2001-04-16,3663240000
2001-04-17,3664575000
2001-04-18,3974295000
2001-04-19,4191900000
2001-04-20,3964950000
2001-04-23,3671250000
2001-04-24,3768705000
2001-04-25,3804750000
2001-04-26,3738000000
2001-04-27,3875505000
2001-04-30,3951600000
2001-05-01,3959610000
2001-05-02,3936915000
2001-05-03,3637875000
2001-05-04,3668580000
2001-05-07,3589815000
2001-05-08,3828780000
2001-05-09,3735330000
2001-05-10,3996990000
2001-05-11,3996990000
2001-05-14,3863490000
2001-05-15,3924900000
2001-05-16,4225275000
2001-05-17,4170540000
2001-05-18,4151850000
2001-05-21,4472250000
2001-05-22,4365450000
2001-05-23,4091775000
2001-05-24,4098450000
2001-05-25,4058400000
2001-05-29,3806085000
2001-05-30,3531075000
2001-05-31,3687270000
2001-06-01,3798075000
2001-06-04,3732660000
2001-06-05,3943590000
2001-06-06,4013010000
2001-06-07,4272000000
2001-06-08,4281345000
2001-06-11,4058400000
2001-06-12,4057065000
2001-06-13,3938250000
2001-06-14,3775380000
2001-06-15,3796740000
2001-06-18,3884850000
2001-06-19,3922230000
2001-06-20,3617850000
2001-06-21,3778050000
2001-06-22,3804750000
2001-06-25,3574696800
2001-06-26,3508266600
2001-06-27,3490719000
2001-06-28,3607285200
2001-06-29,3716331000
2001-07-02,3677475600
2001-07-03,3701290200
2001-07-05,3596004600
2001-07-06,3257586600
2001-07-09,3265107000
2001-07-10,3070830000
2001-07-11,3143527200
2001-07-12,3431809200
2001-07-13,3390447000
2001-07-16,3104671800
2001-07-17,3223744800
2001-07-18,3159821400
2001-07-19,3332790600
2001-07-20,3277641000
2001-07-23,3262600200
2001-07-24,3053282400
2001-07-25,3226251600
2001-07-26,3414261600
2001-07-27,3519547200
2001-07-30,3542108400
2001-07-31,3508266600
2001-08-01,3752679600
2001-08-02,3817856400
2001-08-03,3835404000
2001-08-06,3693769800
2001-08-07,3548375400
2001-08-08,3385433400
2001-08-09,3415515000
2001-08-10,3460637400
2001-08-13,3542108400
2001-08-14,3543361800
2001-08-15,3453117000
2001-08-16,3558402600
2001-08-17,3384180000
2001-08-20,3431809200
2001-08-21,3265107000
2001-08-22,3419275200
2001-08-23,3446850000
2001-08-24,3578457000
2001-08-27,3632353200
2001-08-28,3562162800
2001-08-29,3533334600
2001-08-30,3484452000
2001-08-31,3548375400
2001-09-04,3379166400
2001-09-05,3143527200
2001-09-06,3030721200
2001-09-07,2983092000
2001-09-10,2864019000
2001-09-17,2553175800
2001-09-18,2350125000
2001-09-19,2137047000
2001-09-20,2142060600
2001-09-21,2085657600
2001-09-24,2255848300
2001-09-25,2324969000
2001-09-26,2142741700
2001-09-27,2063567080
2001-09-28,2130174300
2001-10-01,2028378360
2001-10-02,2010784000
2001-10-03,2210605660
2001-10-04,2363927940
2001-10-05,2195524780
2001-10-08,2350103800
2001-10-09,2091215360
2001-10-10,2243280900
2001-10-11,2512223260
2001-10-12,2504682820
2001-10-15,2307374640
2001-10-16,2348847060
2001-10-17,2231970240
2001-10-18,2208092180
2001-10-19,2191754560
2001-10-22,2362671200
2001-10-23,2317428560
2001-10-24,2450643000
2001-10-25,2644180960
2001-10-26,2581343960
2001-10-29,2419224500
2001-10-30,2303604420
2001-10-31,2382779040
2001-11-01,2597681580
2001-11-02,2681883160
2001-11-05,2733409500
2001-11-06,2777395400
2001-11-07,2801273460
2001-11-08,2689423600
2001-11-09,2673085980
2001-11-12,2752260600
2001-11-13,2882961560
2001-11-14,2894272220
2001-11-15,2836462180
2001-11-16,2835205440
2001-11-19,2789962800
2001-11-20,2620302900
2001-11-21,2639154000
2001-11-23,2659261840
2001-11-26,2828921740
2001-11-27,2884218300
2001-11-28,2789962800
2001-11-29,2887988520
2001-11-30,2754774080
2001-12-03,2761057780
2001-12-04,2942028340
2001-12-05,3166984800
2001-12-06,3192119600
2001-12-07,3087810180
2001-12-10,3003608600
2001-12-11,3085296700
2001-12-12,3122998900
2001-12-13,2916893540
2001-12-14,2964649660
2001-12-17,3102891060
2001-12-18,3101634320
2001-12-19,3001095120
2001-12-20,2967163140
2001-12-21,2895528960
2001-12-24,2864110460
2001-12-26,2919407020
2001-12-27,2979730540
2001-12-28,3032513620
2001-12-31,2943065340
2002-01-02,3066009930
2002-01-03,3305561760
2002-01-04,3351190680
2002-01-07,3313166580
2002-01-08,3316968990
2002-01-09,3319503930
2002-01-10,3299224410
2002-01-11,3267537660
2002-01-14,3248525610
2002-01-15,3210501510
2002-01-16,2941797870
2002-01-17,2901238830
2002-01-18,2839132800
2002-01-22,2707315920
2002-01-23,2823923160
2002-01-24,2826458100
2002-01-25,2954472570
2002-01-28,2967147270
2002-01-29,2853074970
2002-01-30,2921518350
2002-01-31,2948135220
2002-02-01,2893634010
2002-02-04,2844202680
2002-02-05,2839132800
2002-02-06,2888564130
2002-02-07,2713653270
2002-02-08,2816318340
2002-02-11,2924053290
2002-02-12,2882226780
2002-02-13,3048265350
2002-02-14,3017846070
2002-02-15,2982356910
2002-02-19,2845470150
2002-02-20,2867017140
2002-02-21,2694641220
2002-02-22,2636337600
2002-02-25,2782096650
2002-02-26,2799841230
2002-02-27,2794771350
2002-02-28,2742805080
2002-03-01,3078684630
2002-03-04,3276409950
2002-03-05,3305561760
2002-03-06,3349923210
2002-03-07,3462728040
2002-03-08,3660453360
2002-03-11,3602149740
2002-03-12,3491879850
2002-03-13,3414564180
2002-03-14,3371470200
2002-03-15,3476670210
2002-03-18,3586940100
2002-03-19,3708617220
2002-03-20,3598347330
2002-03-21,3688337700
2002-03-22,3611022030
2002-03-25,3503287080
2002-03-26,3553985880
2002-03-27,3572997930
2002-03-28,3716222040
2002-04-01,3790503000
2002-04-02,3676293000
2002-04-03,3553200000
2002-04-04,3562083000
2002-04-05,3471984000
2002-04-08,3458025000
2002-04-09,3318435000
2002-04-10,3353967000
2002-04-11,3294324000
2002-04-12,3324780000
2002-04-15,3473253000
2002-04-16,3642030000
2002-04-17,3747357000
2002-04-18,3610305000
2002-04-19,3563352000
2002-04-22,3531627000
2002-04-23,3459294000
2002-04-24,3347622000
2002-04-25,3350160000
2002-04-26,3194073000
2002-04-29,3176307000
2002-04-30,3256254000
2002-05-01,3246102000
2002-05-02,3119202000
2002-05-03,3026565000
2002-05-06,2975805000
2002-05-07,2955501000
2002-05-08,3239757000
2002-05-09,3175038000
2002-05-10,3084939000
2002-05-13,3313359000
2002-05-14,3451680000
2002-05-15,3411072000
2002-05-16,3466908000
2002-05-17,3431376000
2002-05-20,3371733000
2002-05-21,3331125000
2002-05-22,3280365000
2002-05-23,3225798000
2002-05-24,3046869000
2002-05-28,3093822000
2002-05-29,2963115000
2002-05-30,2918700000
2002-05-31,2885706000
2002-06-03,2791800000
2002-06-04,2827332000
2002-06-05,2822256000
2002-06-06,2711853000
2002-06-07,2682666000
2002-06-10,2662362000
2002-06-11,2511351000
2002-06-12,2535462000
2002-06-13,2464398000
2002-06-14,2447901000
2002-06-17,2623023000
2002-06-18,2546883000
2002-06-19,2374299000
2002-06-20,2282931000
2002-06-21,2190294000
2002-06-24,2327346000
2002-06-25,2195370000
2002-06-26,2220750000
2002-06-27,2327346000
2002-06-28,2281662000
2002-07-01,2140056660
2002-07-02,2011856350
2002-07-03,2137518040
2002-07-05,2321567990
2002-07-08,2235254910
2002-07-09,2080399090
2002-07-10,1980123600
2002-07-11,2134979420
2002-07-12,2159096310
2002-07-15,2199714230
2002-07-16,2095630810
2002-07-17,2089284260
2002-07-18,1995355320
2002-07-19,2027088070
2002-07-22,1954737400
2002-07-23,1770687450
2002-07-24,1755455730
2002-07-25,1505401660
2002-07-26,1473668910
2002-07-29,1617100940
2002-07-30,1708491260
2002-07-31,1561251300
2002-08-01,1540942340
2002-08-02,1480015460
2002-08-05,1406395480
2002-08-06,1519364070
2002-08-07,1488900630
2002-08-08,1637409900
2002-08-09,1625986110
2002-08-12,1573944400
2002-08-13,1544750270
2002-08-14,1622178180
2002-08-15,1638679210
2002-08-16,1807497440
2002-08-19,1923004650
2002-08-20,1788457790
2002-08-21,1853192600
2002-08-22,1850653980
2002-08-23,1726261600
2002-08-26,1755455730
2002-08-27,1618370250
2002-08-28,1513017520
2002-08-29,1516825450
2002-08-30,1476207530
2002-09-03,1391163760
2002-09-04,1401318240
2002-09-05,1298504130
2002-09-06,1394971690
2002-09-09,1365777560
2002-09-10,1467322360
2002-09-11,1485092700
2002-09-12,1408934100
2002-09-13,1364508250
2002-09-16,1301042750
2002-09-17,1276925860
2002-09-18,1268040690
2002-09-19,1136032450
2002-09-20,1177919680
2002-09-23,1153802790
2002-09-24,1172842440
2002-09-25,1237577250
2002-09-26,1186804850
2002-09-27,1163957270
2002-09-30,1116157900
2002-10-01,1122428450
2002-10-02,1138731880
2002-10-03,1048435959
2002-10-04,951869490
2002-10-07,881639330
2002-10-08,881639330
2002-10-09,842761920
2002-10-10,939328390
2002-10-11,1054706510
2002-10-14,1047181850
2002-10-15,1168830520
2002-10-16,1089821590
2002-10-17,1212724370
2002-10-18,1395824430
2002-10-21,1488628570
2002-10-22,1316815500
2002-10-23,1377012780
2002-10-24,1355692910
2002-10-25,1387045660
2002-10-28,1419652520
2002-10-29,1415890190
2002-10-30,1636613550
2002-10-31,1578924490
2002-11-01,1688032060
2002-11-04,1770803320
2002-11-05,1686777950
2002-11-06,1779582090
2002-11-07,1571399830
2002-11-08,1533776530
2002-11-11,1418398410
2002-11-12,1503677890
2002-11-13,1501169670
2002-11-14,1642884100
2002-11-15,1645392320
2002-11-18,1626580670
2002-11-19,1620310120
2002-11-20,1769549210
2002-11-21,1923804740
2002-11-22,1917534190
2002-11-25,2037928750
2002-11-26,1970206810
2002-11-27,2153306870
2002-11-29,2036674639
2002-12-02,2037928750
2002-12-03,1856082800
2002-12-04,1667966300
2002-12-05,1632851220
2002-12-06,1595227920
2002-12-09,1422160740
2002-12-10,1575162160
2002-12-11,1601498470
2002-12-12,1581432710
2002-12-13,1471071030
2002-12-16,1565129280
2002-12-17,1538792970
2002-12-18,1365725790
2002-12-19,1380775110
2002-12-20,1407111420
2002-12-23,1438464170
2002-12-24,1427177180
2002-12-26,1408365530
2002-12-27,1392062100
2002-12-30,1373269200
2002-12-31,1360670400
2003-01-02,1467760200
2003-01-03,1450121880
2003-01-06,1583669160
2003-01-07,1601307480
2003-01-08,1560991320
2003-01-09,1666821240
2003-01-10,1737374520
2003-01-13,1695798480
2003-01-14,1707137400
2003-01-15,1620205680
2003-01-16,1649182920
2003-01-17,1553432040
2003-01-21,1573590120
2003-01-22,1529494320
2003-01-23,1635324240
2003-01-24,1549652400
2003-01-27,1530754200
2003-01-28,1560991320
2003-01-29,1635324240
2003-01-30,1521935040
2003-01-31,1472799720
2003-02-03,1492957800
2003-02-04,1572330240
2003-02-05,1558471560
2003-02-06,1571070360
2003-02-07,1547132640
2003-02-10,1583669160
2003-02-11,1559731440
2003-02-12,1555951800
2003-02-13,1505556600
2003-02-14,1582409280
2003-02-18,1678160160
2003-02-19,1650442800
2003-02-20,1712176920
2003-02-21,1655482320
2003-02-24,1658002080
2003-02-25,1678160160
2003-02-26,1608866760
2003-02-27,1660521840
2003-02-28,1679420040
2003-03-03,1608866760
2003-03-04,1566030840
2003-03-05,1579889520
2003-03-06,1554691920
2003-03-07,1521935040
2003-03-10,1476579360
2003-03-11,1477839240
2003-03-12,1491697920
2003-03-13,1615166160
2003-03-14,1571070360
2003-03-17,1663041600
2003-03-18,1676900280
2003-03-19,1658002080
2003-03-20,1674380520
2003-03-21,1708397280
2003-03-24,1616426040
2003-03-25,1618945800
2003-03-26,1607606880
2003-03-27,1588708680
2003-03-28,1523194920
2003-03-31,1445049300
2003-04-01,1461542400
2003-04-02,1521171300
2003-04-03,1554157500
2003-04-04,1540201800
2003-04-07,1593487200
2003-04-08,1507215600
2003-04-09,1450124100
2003-04-10,1446318000
2003-04-11,1408257000
2003-04-14,1408257000
2003-04-15,1450124100
2003-04-16,1484379000
2003-04-17,1701326700
2003-04-21,1744462500
2003-04-22,1819315800
2003-04-23,1826928000
2003-04-24,1796479200
2003-04-25,1714013700
2003-04-28,1769836500
2003-04-29,1878944700
2003-04-30,1862451600
2003-05-01,1914468300
2003-05-02,1977903300
2003-05-05,1984246800
2003-05-06,2010889500
2003-05-07,1995665100
2003-05-08,1961410200
2003-05-09,2056562700
2003-05-12,2113654200
2003-05-13,2090817600
2003-05-14,2108579400
2003-05-15,2064174900
2003-05-16,2003277300
2003-05-19,1903050000
2003-05-20,1914468300
2003-05-21,1934767500
2003-05-22,1990590300
2003-05-23,1972828500
2003-05-27,2100967199
2003-05-28,2095892400
2003-05-29,2156790000
2003-05-30,2264629500
2003-06-02,2276047800
2003-06-03,2315377500
2003-06-04,2391499500
2003-06-05,2447322300
2003-06-06,2424485700
2003-06-09,2314108800
2003-06-10,2277316500
2003-06-11,2297615700
2003-06-12,2367394200
2003-06-13,2253211200
2003-06-16,2315377500
2003-06-17,2353438500
2003-06-18,2401649100
2003-06-19,2347095000
2003-06-20,2249405100
2003-06-23,2230374600
2003-06-24,2213881500
2003-06-25,2258286000
2003-06-26,2354707200
2003-06-27,2344557600
2003-06-30,2343689260
2003-07-01,2377060520
2003-07-02,2428400920
2003-07-03,2395029660
2003-07-07,2574721060
2003-07-08,2638896560
2003-07-09,2739010340
2003-07-10,2619643910
2003-07-11,2559318940
2003-07-14,2685102920
2003-07-15,2863510810
2003-07-16,2809603390
2003-07-17,2673551330
2003-07-18,2690236960
2003-07-21,2604241790
2003-07-22,2739010340
2003-07-23,2796768290
2003-07-24,2768531070
2003-07-25,2777515640
2003-07-28,2905866640
2003-07-29,2837840610
2003-07-30,2781366170
2003-07-31,2796768290
2003-08-01,2785216700
2003-08-04,2821154980
2003-08-05,2721041200
2003-08-06,2660716230
2003-08-07,2631195500
2003-08-08,2448937080
2003-08-11,2572154040
2003-08-12,2672267820
2003-08-13,2776232130
2003-08-14,2796768290
2003-08-15,2790350740
2003-08-18,3002129890
2003-08-19,3025233070
2003-08-20,3080424000
2003-08-21,3181821290
2003-08-22,3154867580
2003-08-25,3131764400
2003-08-26,3109944730
2003-08-27,3283218580
2003-08-28,3311455800
2003-08-29,3287069110
2003-09-02,3253697850
2003-09-03,3217759570
2003-09-04,3271666990
2003-09-05,3337126000
2003-09-08,3407719050
2003-09-09,3380765340
2003-09-10,3118929300
2003-09-11,3172836720
2003-09-12,3231878180
2003-09-15,3203640960
2003-09-16,3285785600
2003-09-17,3249847320
2003-09-18,3195939900
2003-09-19,3206207980
2003-09-22,3079140490
2003-09-23,3125346850
2003-09-24,2943088430
2003-09-25,2909717170
2003-09-26,2927686310
2003-09-29,3065868000
2003-09-30,2912574600
2003-10-01,3006909000
2003-10-02,3000358000
2003-10-03,3194267600
2003-10-06,3238814400
2003-10-07,3371144600
2003-10-08,3377695600
2003-10-09,3398658800
2003-10-10,3437964800
2003-10-13,3548021600
2003-10-14,3605670400
2003-10-15,3621392800
2003-10-16,3608290800
2003-10-17,3426173000
2003-10-20,3452377000
2003-10-21,3545401200
2003-10-22,3428793400
2003-10-23,3314806000
2003-10-24,3296463200
2003-10-27,3316116200
2003-10-28,3798269800
2003-10-29,3800890200
2003-10-30,3807441200
2003-10-31,3766825000
2003-11-03,3903085800
2003-11-04,3905706200
2003-11-05,3998730400
2003-11-06,4035416000
2003-11-07,4030175200
2003-11-10,3945012200
2003-11-11,3921428600
2003-11-12,4108787200
2003-11-13,4049828200
2003-11-14,3897845000
2003-11-17,3916187800
2003-11-18,3816612600
2003-11-19,3821853400
2003-11-20,3782547400
2003-11-21,3863779800
2003-11-24,4031485400
2003-11-25,4044587400
2003-11-26,4074722000
2003-11-28,4187399200
2003-12-01,4218844000
2003-12-02,4317109000
2003-12-03,4296145800
2003-12-04,4304007000
2003-12-05,4121889200
2003-12-08,4114028000
2003-12-09,3960734600
2003-12-10,3922738800
2003-12-11,4104856600
2003-12-12,4239807200
2003-12-15,4028865000
2003-12-16,4041967000
2003-12-17,4030175200
2003-12-18,4197880800
2003-12-19,4154644200
2003-12-22,4117958600
2003-12-23,4192640000
2003-12-24,4155954400
2003-12-26,4142852400
2003-12-29,4355975190
2003-12-30,4381292880
2003-12-31,4304007300
2004-01-02,4225389210
2004-01-05,4511878860
2004-01-06,4487893680
2004-01-07,4450583400
2004-01-08,4513211370
2004-01-09,4607819580
2004-01-12,4717085400
2004-01-13,4570509300
2004-01-14,4459910970
2004-01-15,4503883800
2004-01-16,4562514240
2004-01-20,4621144680
2004-01-21,4483896150
2004-01-22,4266697020
2004-01-23,3872274060
2004-01-26,3790990950
2004-01-27,3632422260
2004-01-28,3672397560
2004-01-29,3532484010
2004-01-30,3544476600
2004-02-02,3513828870
2004-02-03,3540479070
2004-02-04,3441873330
2004-02-05,3480516120
2004-02-06,3653742420
2004-02-09,3635087280
2004-02-10,3611102100
2004-02-11,3685722660
2004-02-12,3672397560
2004-02-13,3655074930
2004-02-17,3731028000
2004-02-18,3749683140
2004-02-19,3619097160
2004-02-20,3497838750
2004-02-23,3329942490
2004-02-24,3267314520
2004-02-25,3320614920
2004-02-26,3381910380
2004-02-27,3407228070
2004-03-01,3513828870
2004-03-02,3507166320
2004-03-03,3401898030
2004-03-04,3496506240
2004-03-05,3339270060
2004-03-08,3175371330
2004-03-09,3115408380
2004-03-10,3168708780
2004-03-11,3212681610
2004-03-12,3315284880
2004-03-15,3166043760
2004-03-16,3206019060
2004-03-17,3275309580
2004-03-18,3210016590
2004-03-19,3123403440
2004-03-22,3052780410
2004-03-23,3080763120
2004-03-24,3216679140
2004-03-25,3324612450
2004-03-26,3341935080
2004-03-29,3524358000
2004-03-30,3539736000
2004-03-31,3511776000
2004-04-01,3595656000
2004-04-02,3773202000
2004-04-05,3794172000
2004-04-06,3678138000
2004-04-07,3696312000
2004-04-08,3727068000
2004-04-12,3788580000
2004-04-13,3752232000
2004-04-14,3749436000
2004-04-15,3541134000
2004-04-16,3454458000
2004-04-19,3560706000
2004-04-20,3425100000
2004-04-21,3447468000
2004-04-22,3427896000
2004-04-23,3504786000
2004-04-26,3429294000
2004-04-27,3335628000
2004-04-28,3297882000
2004-04-29,3086784000
2004-04-30,3085386000
2004-05-03,3037854000
2004-05-04,3088182000
2004-05-05,3109152000
2004-05-06,3089580000
2004-05-07,3088182000
2004-05-10,3089580000
2004-05-11,3220992000
2004-05-12,3138510000
2004-05-13,3096570000
2004-05-14,3057426000
2004-05-17,2987526000
2004-05-18,3096570000
2004-05-19,3141306000
2004-05-20,3103560000
2004-05-21,3152490000
2004-05-24,3183246000
2004-05-25,3290892000
2004-05-26,3341220000
2004-05-27,3430692000
2004-05-28,3513174000
2004-06-01,3486612000
2004-06-02,3392946000
2004-06-03,3288096000
2004-06-04,3392946000
2004-06-07,3518766000
2004-06-08,3479622000
2004-06-09,3369180000
2004-06-10,3404130000
2004-06-14,3344016000
2004-06-15,3464244000
2004-06-16,3411120000
2004-06-17,3279708000
2004-06-18,3279708000
2004-06-21,3265728000
2004-06-22,3444672000
2004-06-23,3501990000
2004-06-24,3522960000
2004-06-25,3629208000
2004-06-28,3456043780
2004-06-29,3567135740
2004-06-30,3630810400
2004-07-01,3423529060
2004-07-02,3316501440
2004-07-06,3201345140
2004-07-07,3260955460
2004-07-08,3311082320
2004-07-09,3389659560
2004-07-12,3286696280
2004-07-13,3240633760
2004-07-14,2899229200
2004-07-15,2906003100
2004-07-16,2805749380
2004-07-19,2822006740
2004-07-20,2895164860
2004-07-21,2682464400
2004-07-22,3213538160
2004-07-23,3067221920
2004-07-26,3037416760
2004-07-27,3120058340
2004-07-28,3078060160
2004-07-29,3181023440
2004-07-30,3231150300
2004-08-02,3223021620
2004-08-03,3046900220
2004-08-04,3091607960
2004-08-05,2995418580
2004-08-06,2899229200
2004-08-09,2924970020
2004-08-10,2987289900
2004-08-11,2813878060
2004-08-12,2723107800
2004-08-13,2702786100
2004-08-16,2766460760
2004-08-17,2846392780
2004-08-18,3007611600
2004-08-19,2953420400
2004-08-20,2992709020
2004-08-23,3023868960
2004-08-24,2910067440
