,BBWI
2000-06-05,8400873600
2000-06-06,7967971440
2000-06-07,7925109839
2000-06-08,7925109839
2000-06-09,7775094240
2000-06-12,7667940240
2000-06-13,7620792480
2000-06-14,7667940240
2000-06-15,7839386640
2000-06-16,7689371040
2000-06-19,7556500080
2000-06-20,7599361680
2000-06-21,7492207680
2000-06-22,7363622880
2000-06-23,7363622880
2000-06-26,7406484480
2000-06-27,7599361680
2000-06-28,7432201440
2000-06-29,7406484480
2000-06-30,7492207680
2000-07-03,7470776880
2000-07-05,7535069279
2000-07-06,7577930880
2000-07-07,8010833040
2000-07-10,8207996399
2000-07-11,8250858000
2000-07-12,8186565600
2000-07-13,8229427200
2000-07-14,8057980800
2000-07-17,8143704000
2000-07-18,8079411600
2000-07-19,7925109839
2000-07-20,8032263839
2000-07-21,7925109839
2000-07-24,7796525040
2000-07-25,7689371040
2000-07-26,7775094240
2000-07-27,7732232640
2000-07-28,7470776880
2000-07-31,7030548560
2000-08-01,6945432960
2000-08-02,6749667080
2000-08-03,6685830380
2000-08-04,6749667080
2000-08-07,6796480660
2000-08-08,7226314440
2000-08-09,7183756640
2000-08-10,7094385260
2000-08-11,7009269659
2000-08-14,7136943060
2000-08-15,6902875159
2000-08-16,6600714780
2000-08-17,6621993680
2000-08-18,6613482120
2000-08-21,6494320280
2000-08-22,6987990760
2000-08-23,6966711860
2000-08-24,6817759560
2000-08-25,7268872239
2000-08-28,6966711860
2000-08-29,7051827460
2000-08-30,6860317360
2000-08-31,6885852040
2000-09-01,7136943060
2000-09-05,7247593340
2000-09-06,7417824540
2000-09-07,7375266739
2000-09-08,7826379420
2000-09-11,7868937219
2000-09-12,8107260900
2000-09-13,8320049900
2000-09-14,8451979080
2000-09-15,8537094679
2000-09-18,8149818699
2000-09-19,8064703100
2000-09-20,8000866400
2000-09-21,8256213199
2000-09-22,8128539800
2000-09-25,8000866400
2000-09-26,7656148219
2000-09-27,7481661239
2000-09-28,7634869320
2000-09-29,7592311520
2000-10-02,7911495020
2000-10-03,8022145300
2000-10-04,8234934300
2000-10-05,8362607699
2000-10-06,7954052820
2000-10-09,7932773920
2000-10-10,7975331719
2000-10-11,7741263820
2000-10-12,7481661239
2000-10-13,7460382340
2000-10-16,7677427120
2000-10-17,7868937219
2000-10-18,8064703100
2000-10-19,8537094679
2000-10-20,8234934300
2000-10-23,8213655400
2000-10-24,8320049900
2000-10-25,8192376500
2000-10-26,7890216120
2000-10-27,7911495020
2000-10-30,10301976806
2000-10-31,10560690437
2000-11-01,10405462258
2000-11-02,11217823061
2000-11-03,11269565788
2000-11-06,11295437151
2000-11-07,11160906062
2000-11-08,11605893509
2000-11-09,11135034699
2000-11-10,10746964252
2000-11-13,11269565788
2000-11-14,10953935157
2000-11-15,10824578341
2000-11-16,10850449705
2000-11-17,10457204985
2000-11-20,9960474812
2000-11-21,9805246633
2000-11-22,9727632544
2000-11-24,9831117997
2000-11-27,9986346175
2000-11-28,9256773735
2000-11-29,8522027021
2000-11-30,8128782301
2000-12-01,7895940033
2000-12-04,8289184753
2000-12-05,8051168212
2000-12-06,7425081224
2000-12-07,7109450593
2000-12-08,7321595771
2000-12-11,7057707867
2000-12-12,7109450593
2000-12-13,6980093777
2000-12-14,7083579230
2000-12-15,6902479688
2000-12-18,6509234968
2000-12-19,6483363605
2000-12-20,6250521337
2000-12-21,6328135426
2000-12-22,6773122872
2000-12-26,6690334510
2000-12-27,7161193319
2000-12-28,7109450593
2000-12-29,7135321956
2001-01-02,6876608325
2001-01-03,7502695313
2001-01-04,6664463147
2001-01-05,6535106331
2001-01-08,6638591784
2001-01-09,6954222414
2001-01-10,6928351051
2001-01-11,7031836504
2001-01-12,7450952587
2001-01-16,7295724408
2001-01-17,7295724408
2001-01-18,7109450593
2001-01-19,6902479688
2001-01-22,7373338497
2001-01-23,7657923492
2001-01-24,8315056116
2001-01-25,8206396391
2001-01-26,8206396391
2001-01-29,8320230389
2001-01-30,8527201294
2001-01-31,8641035292
2001-02-01,8677255200
2001-02-02,8284010480
2001-02-05,6874783997
2001-02-06,6905474997
2001-02-07,7006316854
2001-02-08,6607333854
2001-02-09,6423187855
2001-02-12,6427572283
2001-02-13,6488954283
2001-02-14,6502107569
2001-02-15,6506491997
2001-02-16,6550336283
2001-02-20,6769557712
2001-02-21,6502107569
2001-02-22,6440725569
2001-02-23,6304808283
2001-02-26,6589796140
2001-02-27,6353036997
2001-02-28,6256579569
2001-03-01,6103124569
2001-03-02,5857596569
2001-03-05,5975976140
2001-03-06,5936516283
2001-03-07,5971591712
2001-03-08,6094355712
2001-03-09,6063664712
2001-03-12,5975976140
2001-03-13,5848827712
2001-03-14,5708525998
2001-03-15,5686603855
2001-03-16,5489304569
2001-03-19,5572608712
2001-03-20,5546302141
2001-03-21,5493688998
2001-03-22,5366540569
2001-03-23,5414769283
2001-03-26,5502457855
2001-03-27,5555070998
2001-03-28,5423538141
2001-03-29,5590146426
2001-03-30,5572608712
2001-04-02,5563839855
2001-04-03,5489304569
2001-04-04,5576993141
2001-04-05,5633990712
2001-04-06,5682219426
2001-04-09,5660297283
2001-04-10,5690988283
2001-04-11,5651528426
2001-04-12,5445460283
2001-04-16,5283236426
2001-04-17,5178010141
2001-04-18,5511226712
2001-04-19,5616452998
2001-04-20,5633990712
2001-04-23,5673450569
2001-04-24,5664681712
2001-04-25,5673450569
2001-04-26,5918978569
2001-04-27,6046126998
2001-04-30,5997898283
2001-05-01,6024204855
2001-05-02,6116277855
2001-05-03,6037358140
2001-05-04,6024204855
2001-05-07,5870769510
2001-05-08,5870769510
2001-05-09,5806631460
2001-05-10,5840838420
2001-05-11,5652700140
2001-05-14,5614217310
2001-05-15,5562906870
2001-05-16,5618493180
2001-05-17,5806631460
2001-05-18,5909252340
2001-05-21,5909252340
2001-05-22,5845114290
2001-05-23,5900700600
2001-05-24,5823734940
2001-05-25,5785252110
2001-05-29,5802355590
2001-05-30,5652700140
2001-05-31,5635596660
2001-06-01,5691182970
2001-06-04,5652700140
2001-06-05,5763872760
2001-06-06,5704010580
2001-06-07,5588562090
2001-06-08,5528699910
2001-06-11,5434630770
2001-06-12,5545803390
2001-06-13,5528699910
2001-06-14,5387596200
2001-06-15,5306354670
2001-06-18,5220837270
2001-06-19,5199457920
2001-06-20,5203733790
2001-06-21,5349113370
2001-06-22,5366216850
2001-06-25,5293527060
2001-06-26,5332009890
2001-06-27,5357665110
2001-06-28,5528699910
2001-06-29,5708286450
2001-07-02,5528699910
2001-07-03,5545803390
2001-07-05,5511596430
2001-07-06,5413251420
2001-07-09,5438906640
2001-07-10,5357665110
2001-07-11,5477389470
2001-07-12,5780976240
2001-07-13,5819459070
2001-07-16,5789527980
2001-07-17,5909252340
2001-07-18,5857941900
2001-07-19,5840838420
2001-07-20,5840838420
2001-07-23,5887872990
2001-07-24,5725389930
2001-07-25,5870769510
2001-07-26,5780976240
2001-07-27,5729665800
2001-07-30,5776700370
2001-07-31,5866493640
2001-08-01,5802355590
2001-08-02,5763872760
2001-08-03,5802355590
2001-08-06,5692830000
2001-08-07,5804370000
2001-08-08,5894460000
2001-08-09,5821530000
2001-08-10,5800080000
2001-08-13,5675670000
2001-08-14,5688540000
2001-08-15,5637060000
2001-08-16,5705700000
2001-08-17,5555550000
2001-08-20,5671380000
2001-08-21,5341050000
2001-08-22,5272410000
2001-08-23,4830540000
2001-08-24,4942080000
2001-08-27,4877730000
2001-08-28,4942080000
2001-08-29,4834830000
2001-08-30,4821960000
2001-08-31,4890600000
2001-09-04,4834830000
2001-09-05,4731870000
2001-09-06,4504500000
2001-09-07,4242810000
2001-09-10,4195619999
2001-09-17,3646500000
2001-09-18,3685110000
2001-09-19,3685110000
2001-09-20,3504930000
2001-09-21,3277560000
2001-09-24,3380520000
2001-09-25,3324750000
2001-09-26,3329040000
2001-09-27,3286140000
2001-09-28,3294720000
2001-10-01,3268980000
2001-10-02,3384810000
2001-10-03,3736590000
2001-10-04,3607890000
2001-10-05,3723720000
2001-10-08,3667950000
2001-10-09,3659369999
2001-10-10,4178460000
2001-10-11,4079790000
2001-10-12,3989700000
2001-10-15,4045470000
2001-10-16,4131270000
2001-10-17,4079790000
2001-10-18,3938220000
2001-10-19,3955380000
2001-10-22,3813810000
2001-10-23,3882450000
2001-10-24,3899610000
2001-10-25,4002570000
2001-10-26,4066920000
2001-10-29,3882450000
2001-10-30,3792360000
2001-10-31,3865290000
2001-11-01,3899610000
2001-11-02,4006860000
2001-11-05,4577351187
2001-11-06,4762726780
2001-11-07,4838778306
2001-11-08,4962362034
2001-11-09,5005141018
2001-11-12,5085945763
2001-11-13,5257061696
2001-11-14,5318853560
2001-11-15,5527995255
2001-11-16,5394905085
2001-11-19,5342619662
2001-11-20,5204776272
2001-11-21,5185763390
2001-11-23,5204776272
2001-11-26,5404411526
2001-11-27,5314100340
2001-11-28,5309347119
2001-11-29,5295087458
2001-11-30,5347372882
2001-12-03,5290334238
2001-12-04,5356879323
2001-12-05,5475709831
2001-12-06,5470956611
2001-12-07,5523242035
2001-12-10,5352126102
2001-12-11,5385398645
2001-12-12,5437684068
2001-12-13,5223789153
2001-12-14,5328360001
2001-12-17,5337866441
2001-12-18,5361632543
2001-12-19,5285581018
2001-12-20,5380645424
2001-12-21,5566021018
2001-12-24,5551761357
2001-12-26,5689604746
2001-12-27,5722877289
2001-12-28,5751396611
2001-12-31,5656332204
2002-01-02,5965291526
2002-01-03,5960538306
2002-01-04,6112641357
2002-01-07,6088875255
2002-01-08,6179186442
2002-01-09,6145913899
2002-01-10,6293263730
2002-01-11,6022330170
2002-01-14,6107888136
2002-01-15,6126901018
2002-01-16,5979551187
2002-01-17,5946278645
2002-01-18,5951031865
2002-01-22,5951031865
2002-01-23,6179186442
2002-01-24,6502405425
2002-01-25,6397834577
2002-01-28,6592716611
2002-01-29,6744819662
2002-01-30,6991987120
2002-01-31,7129830510
2002-02-01,7091804747
2002-02-04,6801900000
2002-02-05,6432180000
2002-02-06,6299460000
2002-02-07,6422700000
2002-02-08,6536460000
2002-02-11,6650220000
2002-02-12,6749760000
2002-02-13,7005720000
2002-02-14,6929880000
2002-02-15,6816120000
2002-02-19,6778200000
2002-02-20,6811380000
2002-02-21,6910920000
2002-02-22,6820860000
2002-02-25,6967800000
2002-02-26,7147920000
2002-02-27,7010460000
2002-02-28,6901440000
2002-03-01,7261680000
2002-03-04,7147920000
2002-03-05,6801900000
2002-03-06,6868260000
2002-03-07,6787680000
2002-03-08,6858780000
2002-03-11,6749760000
2002-03-12,6759240000
2002-03-13,6735540000
2002-03-14,6749760000
2002-03-15,6877740000
2002-03-18,6896700000
2002-03-19,7048380000
2002-03-20,7124220000
2002-03-21,6910920000
2002-03-22,6887220000
2002-03-25,6782940000
2002-03-26,6811380000
2002-03-27,6801900000
2002-03-28,6858780000
2002-04-01,6484320000
2002-04-02,6128820000
2002-04-03,6408480000
2002-04-04,6688140000
2002-04-05,6820860000
2002-04-08,7091040000
2002-04-09,7223760000
2002-04-10,7527120000
2002-04-11,7237980000
2002-04-12,7242720000
2002-04-15,7275900000
2002-04-16,7347000000
2002-04-17,7375440000
2002-04-18,7503420000
2002-04-19,7451280000
2002-04-22,7370700000
2002-04-23,7493940000
2002-04-24,7200060000
2002-04-25,7261680000
2002-04-26,7185840000
2002-04-29,7271160000
2002-04-30,7342260000
2002-05-01,7512900000
2002-05-02,7602960000
2002-05-03,7522380000
2002-05-06,8146017440
2002-05-07,8474570000
2002-05-08,8453709520
2002-05-09,8458924639
2002-05-10,8599732880
2002-05-13,8688389920
2002-05-14,8896994720
2002-05-15,8808337680
2002-05-16,9105599520
2002-05-17,9382000880
2002-05-20,9063878560
2002-05-21,8761401600
2002-05-22,8735326000
2002-05-23,8745756240
2002-05-24,8792692320
2002-05-28,8495430480
2002-05-29,8568442160
2002-05-30,8516290959
2002-05-31,8850058640
2002-06-03,8636238720
2002-06-04,8667529440
2002-06-05,9027372720
2002-06-06,8474570000
2002-06-07,8615378240
2002-06-10,8693605040
2002-06-11,8704035280
2002-06-12,8578872400
2002-06-13,8589302639
2002-06-14,8594517760
2002-06-17,8771831840
2002-06-18,8750971360
2002-06-19,8834413280
2002-06-20,8672744560
2002-06-21,8657099200
2002-06-24,8631023600
2002-06-25,8469354879
2002-06-26,8349407120
2002-06-27,8683174800
2002-06-28,8980436640
2002-07-01,8813552800
2002-07-02,8558011920
2002-07-03,8631023600
2002-07-05,8813552800
2002-07-08,8771831840
2002-07-09,8688389920
2002-07-10,8370267600
2002-07-11,8224244240
2002-07-12,8010424320
2002-07-15,7734022960
2002-07-16,7358534320
2002-07-17,6915249120
2002-07-18,7332458720
2002-07-19,6956970080
2002-07-22,6784871120
2002-07-23,6722289680
2002-07-24,7160359760
2002-07-25,7207295840
2002-07-26,7421115760
2002-07-29,7900906800
2002-07-30,7786174160
2002-07-31,7577569360
2002-08-01,7165574880
2002-08-02,6920464240
2002-08-05,6794003820
2002-08-06,6595256980
2002-08-07,6234374560
2002-08-08,6375589420
2002-08-09,6312827260
2002-08-12,5747967820
2002-08-13,6082699340
2002-08-14,6438351580
2002-08-15,6752162380
2002-08-16,6689400220
2002-08-19,6909067780
2002-08-20,6757392560
2002-08-21,7024131740
2002-08-22,7149656060
2002-08-23,6861996160
2002-08-26,7133965520
2002-08-27,6741702020
2002-08-28,6511574100
2002-08-29,6469732660
2002-08-30,6464502480
2002-09-03,6223914200
2002-09-04,6412200680
2002-09-05,6380819600
2002-09-06,6809694360
2002-09-09,6914297960
2002-09-10,7050282640
2002-09-11,7107814620
2002-09-12,6553415540
2002-09-13,6673709680
2002-09-16,6741702020
2002-09-17,6736471840
2002-09-18,6830615080
2002-09-19,6752162380
2002-09-20,6757392560
2002-09-23,6516804280
2002-09-24,6516804280
2002-09-25,6584796620
2002-09-26,6642328600
2002-09-27,6406970500
2002-09-30,6061778620
2002-10-01,5931024120
2002-10-02,5899643040
2002-10-03,5664284940
2002-10-04,5805499800
2002-10-07,5455077740
2002-10-08,5878722320
2002-10-09,5554451160
2002-10-10,5711356560
2002-10-11,6234374560
2002-10-14,6140231320
2002-10-15,6469732660
2002-10-16,6213453840
2002-10-17,6506343920
2002-10-18,6788773640
2002-10-21,7060743000
2002-10-22,6757392560
2002-10-23,6710320940
2002-10-24,6474962840
2002-10-25,6914297960
2002-10-28,6537725000
2002-10-29,6553415540
2002-10-30,6501113740
2002-10-31,6626638060
2002-11-01,6888147060
2002-11-04,6573378630
2002-11-05,6771466170
2002-11-06,6698486550
2002-11-07,6479547690
2002-11-08,6312737130
2002-11-11,5968690350
2002-11-12,6323162790
2002-11-13,6427419390
2002-11-14,6589017120
2002-11-15,6620294100
2002-11-18,6437845050
2002-11-19,6453483540
2002-11-20,6761040510
2002-11-21,6787104660
2002-11-22,7105087290
2002-11-25,7026894840
2002-11-26,6828807300
2002-11-27,7271897850
2002-11-29,7167641250
2002-12-02,7084235970
2002-12-03,6813168810
2002-12-04,6740189190
2002-12-05,6344014110
2002-12-06,6401355240
2002-12-09,6198054870
2002-12-10,6297098640
2002-12-11,6192842040
2002-12-12,6166777890
2002-12-13,6140713740
2002-12-16,6323162790
2002-12-17,5947839030
2002-12-18,5796666960
2002-12-19,5864433750
2002-12-20,5911349220
2002-12-23,5822731110
2002-12-24,5728900170
2002-12-26,5817518280
2002-12-27,5739325830
2002-12-30,5885285070
2002-12-31,5869646580
2003-01-02,5900923560
2003-01-03,5645494890
2003-01-06,5681984700
2003-01-07,5921774880
2003-01-08,5796666960
2003-01-09,5973903180
2003-01-10,5874859410
2003-01-13,5781028470
2003-01-14,5734113000
2003-01-15,5551663950
2003-01-16,5468258670
2003-01-17,5374427730
2003-01-21,5223255660
2003-01-22,5244106980
2003-01-23,5468258670
2003-01-24,5270171130
2003-01-27,5223255660
2003-01-28,5311873770
2003-01-29,5275383960
2003-01-30,5139850380
2003-01-31,5306660940
2003-02-03,5222684212
2003-02-04,5181842107
2003-02-05,5095052633
2003-02-06,4982736844
2003-02-07,4814263159
2003-02-10,4850000002
2003-02-11,4788736844
2003-02-12,4747894738
2003-02-13,4666210528
2003-02-14,4773421054
2003-02-18,4906157896
2003-02-19,4722368423
2003-02-20,4574315791
2003-02-21,4650894738
2003-02-24,4559000001
2003-02-25,4584526317
2003-02-26,4589631580
2003-02-27,4645789475
2003-02-28,4901052633
2003-03-03,4901052633
2003-03-04,4686631580
2003-03-05,4773421054
2003-03-06,4763210528
2003-03-07,4895947370
2003-03-10,4788736844
2003-03-11,4804052633
2003-03-12,4753000001
2003-03-13,5038894738
2003-03-14,5135894738
2003-03-17,5365631581
2003-03-18,5324789475
2003-03-19,5437105265
2003-03-20,5411578949
2003-03-21,5595368423
2003-03-24,5345210528
2003-03-25,5462631581
2003-03-26,5488157897
2003-03-27,5457526318
2003-03-28,5309473686
2003-03-31,5309473686
2003-04-01,5268631581
2003-04-02,5483052633
2003-04-03,5523894739
2003-04-04,5651526318
2003-04-07,5702578949
2003-04-08,5697473686
2003-04-09,5544315791
2003-04-10,5610684212
2003-04-11,5569842107
2003-04-14,5707684212
2003-04-15,5855736844
2003-04-16,5636210528
2003-04-17,5799578949
2003-04-21,5723000002
2003-04-22,5896578949
2003-04-23,5896578949
2003-04-24,5738315791
2003-04-25,5677052633
2003-04-28,5871052634
2003-04-29,6065052634
2003-04-30,5998684213
2003-05-01,5733210528
2003-05-02,5743421055
2003-05-05,5730095800
2003-05-06,5832054800
2003-05-07,5689312200
2003-05-08,5735193750
2003-05-09,5775977350
2003-05-12,5974797400
2003-05-13,5939111750
2003-05-14,5893230200
2003-05-15,5689312200
2003-05-16,5582255250
2003-05-19,5388533150
2003-05-20,5470100350
2003-05-21,5536373700
2003-05-22,5689312200
2003-05-23,5689312200
2003-05-27,5862642500
2003-05-28,6010483050
2003-05-29,6076756400
2003-05-30,6290870300
2003-06-02,6367339550
2003-06-03,6321458000
2003-06-04,6408123150
2003-06-05,6464200600
2003-06-06,6428514950
2003-06-09,6311262100
2003-06-10,6423417000
2003-06-11,6637530900
2003-06-12,6729294000
2003-06-13,6530473950
2003-06-16,6759881700
2003-06-17,6571257550
2003-06-18,6510082150
2003-06-19,6387731350
2003-06-20,6443808800
2003-06-23,6316360050
2003-06-24,6377535450
2003-06-25,6280674400
2003-06-26,6316360050
2003-06-27,6183813350
2003-06-30,6387731350
2003-07-01,6433612900
2003-07-02,6448906750
2003-07-03,6397927250
2003-07-07,6571257550
2003-07-08,6724196050
2003-07-09,6601845250
2003-07-10,6673216550
2003-07-11,6856742750
2003-07-14,6866938650
2003-07-15,6703804250
2003-07-16,6617139100
2003-07-17,6504984200
2003-07-18,6678314500
2003-07-21,6775175550
2003-07-22,6815959150
2003-07-23,6989289450
2003-07-24,6943407900
2003-07-25,6933212000
2003-07-28,7014779200
2003-07-29,6943407900
2003-07-30,6902624300
2003-07-31,6887330450
2003-08-01,6872036600
2003-08-04,7016816310
2003-08-05,6804812280
2003-08-06,6737591490
2003-08-07,6877203900
2003-08-08,7099549590
2003-08-11,7187453700
2003-08-12,7254674490
2003-08-13,7177112040
2003-08-14,7135745400
2003-08-15,7109891250
2003-08-18,7182282870
2003-08-19,7249503660
2003-08-20,7275357810
2003-08-21,6949595520
2003-08-22,6794470620
2003-08-25,6794470620
2003-08-26,6887545560
2003-08-27,6934083030
2003-08-28,7146087060
2003-08-29,7089207930
2003-09-02,7021987140
2003-09-03,7053012120
2003-09-04,6892716390
2003-09-05,6737591490
2003-09-08,6763445640
2003-09-09,6577295760
2003-09-10,6556612440
2003-09-11,6644516550
2003-09-12,6597979080
2003-09-15,6675541530
2003-09-16,6841008090
2003-09-17,6861691410
2003-09-18,6841008090
2003-09-19,6773787300
2003-09-22,6623833230
2003-09-23,6603149910
2003-09-24,6427341690
2003-09-25,6318754260
2003-09-26,6230850150
2003-09-29,6375633390
2003-09-30,6303241770
2003-10-01,6587637420
2003-10-02,6701395680
2003-10-03,6784128960
2003-10-06,6758274810
2003-10-07,6835837260
2003-10-08,6685883190
2003-10-09,7109891250
2003-10-10,7058182950
2003-10-13,7223649510
2003-10-14,7327066110
2003-10-15,7383945240
2003-10-16,7363261920
2003-10-17,7270186980
2003-10-20,7327066110
2003-10-21,7352920260
2003-10-22,7156428720
2003-10-23,7146087060
2003-10-24,7099549590
2003-10-27,7146087060
2003-10-28,7270186980
2003-10-29,7270186980
2003-10-30,7233991170
2003-10-31,7358091090
2003-11-03,7452979570
2003-11-04,7338956239
2003-11-05,7338956239
2003-11-06,7525539872
2003-11-07,7395967904
2003-11-10,7349321996
2003-11-11,7292310330
2003-11-12,7401150783
2003-11-13,7541088508
2003-11-14,7458162449
2003-11-17,7313041845
2003-11-18,7313041845
2003-11-19,7328590481
2003-11-20,7478893964
2003-11-21,7432248055
2003-11-24,7458162449
2003-11-25,7541088508
2003-11-26,7421882298
2003-11-28,7509991236
2003-12-01,7598100174
2003-12-02,7484076842
2003-12-03,7618831689
2003-12-04,7390785026
2003-12-05,7380419268
2003-12-08,7447796691
2003-12-09,7328590481
2003-12-10,7276761694
2003-12-11,7338956239
2003-12-12,7302676088
2003-12-15,7193835635
2003-12-16,7271578816
2003-12-17,7432248055
2003-12-18,7541088508
2003-12-19,7509991236
2003-12-22,7515174115
2003-12-23,7509991236
2003-12-24,7468528206
2003-12-26,7530722751
2003-12-29,7541088508
2003-12-30,7535905629
2003-12-31,7556637144
2004-01-02,7437430934
2004-01-05,7478893964
2004-01-06,7577368659
2004-01-07,7706940626
2004-01-08,7541088508
2004-01-09,7447796691
2004-01-12,7421882298
2004-01-13,7364870632
2004-01-14,7468528206
2004-01-15,7520356993
2004-01-16,7603283052
2004-01-20,7535905629
2004-01-21,7561820023
2004-01-22,7463345328
2004-01-23,7509991236
2004-01-26,7613648810
2004-01-27,7592917295
2004-01-28,7478893964
2004-01-29,7468528206
2004-01-30,7624014567
2004-02-02,7705529203
2004-02-03,7837769308
2004-02-04,7837769308
2004-02-05,7771649255
2004-02-06,7888630887
2004-02-09,7802166203
2004-02-10,7761476940
2004-02-11,7771649255
2004-02-12,7908975518
2004-02-13,7797080045
2004-02-17,7959837097
2004-02-18,7924233992
2004-02-19,7827596992
2004-02-20,8122594150
2004-02-23,8097163360
2004-02-24,8137852624
2004-02-25,8305695834
2004-02-26,8270092729
2004-02-27,8122594150
2004-03-01,8137852624
2004-03-02,8056474097
2004-03-03,8086991045
2004-03-04,8015784834
2004-03-05,7995440203
2004-03-08,7944578624
2004-03-09,7908975518
2004-03-10,7929320150
2004-03-11,7832683150
2004-03-12,7898803203
2004-03-15,7802166203
2004-03-16,7853027782
2004-03-17,7914061676
2004-03-18,7873372413
2004-03-19,7985267887
2004-03-22,7929320150
2004-03-23,8097163360
2004-03-24,8036129466
2004-03-25,8051387939
2004-03-26,8056474097
2004-03-29,8122594150
2004-03-30,8142938781
2004-03-31,8224317308
2004-04-01,8168369571
2004-04-02,8320954308
2004-04-05,8448108255
2004-04-06,8692243834
2004-04-07,8641382255
2004-04-08,8458280571
2004-04-12,8443022097
2004-04-13,8249748097
2004-04-14,8214144992
2004-04-15,8229403466
2004-04-16,8280265044
2004-04-19,8356557413
2004-04-20,8437935939
2004-04-21,8412505150
2004-04-22,8595606834
2004-04-23,8661726886
2004-04-26,8661726886
2004-04-27,8819397781
2004-04-28,8743105412
2004-04-29,8549831413
2004-04-30,8488797518
2004-05-03,8084860901
2004-05-04,8003725933
2004-05-05,8027589159
2004-05-06,7884409804
2004-05-07,7717367223
2004-05-10,7683958707
2004-05-11,7717367223
2004-05-12,7717367223
2004-05-13,7660095481
2004-05-14,7669640772
2004-05-17,7440553804
2004-05-18,7521688772
2004-05-19,7521688772
2004-05-20,7421463223
2004-05-21,7445326449
2004-05-24,7411917933
2004-05-25,7502598191
2004-05-26,7483507610
2004-05-27,7483507610
2004-05-28,7445326449
2004-06-01,7435781159
2004-06-02,7392827352
2004-06-03,7421463223
2004-06-04,7397599998
2004-06-07,7483507610
2004-06-08,7521688772
2004-06-09,7431008514
2004-06-10,7483507610
2004-06-14,7364191481
2004-06-15,7426235868
2004-06-16,7392827352
2004-06-17,7364191481
2004-06-18,7225784772
2004-06-21,7197148901
2004-06-22,7158967740
2004-06-23,7235330062
2004-06-24,7249647998
2004-06-25,7240102707
2004-06-28,7311692385
2004-06-29,7197148901
2004-06-30,7216239481
2004-07-01,7244875352
2004-07-02,7259193288
2004-07-06,7378509417
2004-07-07,7545551997
2004-07-08,7483507610
2004-07-09,7607596385
2004-07-12,7617141675
2004-07-13,7698276643
2004-07-14,7621914320
2004-07-15,7683958707
2004-07-16,7550324643
2004-07-19,7497825546
2004-07-20,7593278449
2004-07-21,7583733159
2004-07-22,7621914320
2004-07-23,7545551997
2004-07-26,7621914320
2004-07-27,7798502191
2004-07-28,7722139868
2004-07-29,7851001288
2004-07-30,7884409804
2004-08-02,7777186480
2004-08-03,7678323939
2004-08-04,7537091740
2004-08-05,7381736320
2004-08-06,7259335080
2004-08-09,7320535700
2004-08-10,7381736320
2004-08-11,7301704740
2004-08-12,7160472540
2004-08-13,7188718980
2004-08-16,7381736320
2004-08-17,7555922700
2004-08-18,7706570380
2004-08-19,7612415580
2004-08-20,7607707840
2004-08-23,7579461400
