,GLW
2000-08-11,241073766000
2000-08-14,246438557999
2000-08-15,241547130000
2000-08-16,242756838000
2000-08-17,253775700000
2000-08-18,259245684000
2000-08-21,261928080000
2000-08-22,263532257999
2000-08-23,259903134000
2000-08-24,263137788000
2000-08-25,264189707999
2000-08-28,272841750000
2000-08-29,271421657999
2000-08-30,284886234000
2000-08-31,287463438000
2000-09-01,297430380000
2000-09-05,287305650000
2000-09-06,273814776000
2000-09-07,280126296000
2000-09-08,268029216000
2000-09-11,257825592000
2000-09-12,249831000000
2000-09-13,249831000000
2000-09-14,263190384000
2000-09-15,261112842000
2000-09-18,254275362000
2000-09-19,269107434000
2000-09-20,273604392000
2000-09-21,272394684000
2000-09-22,276129000000
2000-09-25,281493792000
2000-09-26,283019076000
2000-09-27,269396712000
2000-09-28,268029216000
2000-09-29,260350200000
2000-10-02,91184561112
2000-10-03,89718183437
2000-10-04,90377125303
2000-10-05,89968766963
2000-10-06,83936200579
2000-10-09,86312103648
2000-10-10,78887406560
2000-10-11,77151883615
2000-10-12,79815493696
2000-10-13,86200733191
2000-10-16,91240246340
2000-10-17,90024452192
2000-10-18,82952428215
2000-10-19,88344614475
2000-10-20,98321551187
2000-10-23,94145159075
2000-10-24,86776147216
2000-10-25,71351339015
2000-10-26,64966099520
2000-10-27,70534622336
2000-10-30,65894186656
2000-10-31,70998665904
2000-11-01,68335055823
2000-11-02,66126208440
2000-11-03,67871012255
2000-11-06,65430143088
2000-11-07,63694620143
2000-11-08,57077358864
2000-11-09,59397576704
2000-11-10,55805879487
2000-11-13,54757141024
2000-11-14,61717794544
2000-11-15,62877903464
2000-11-16,59221240148
2000-11-17,57662053759
2000-11-20,55044848036
2000-11-21,59917305500
2000-11-22,58701511352
2000-11-24,62645881680
2000-11-27,59685283716
2000-11-28,56613315296
2000-11-29,57773424216
2000-11-30,54293097456
2000-12-01,56557630067
2000-12-04,57077358864
2000-12-05,64158663711
2000-12-06,64734077736
2000-12-07,66413915452
2000-12-08,70998665904
2000-12-11,74014949096
2000-12-12,69550849971
2000-12-13,67286317360
2000-12-14,64966099520
2000-12-15,64966099520
2000-12-18,59861620272
2000-12-19,57829109444
2000-12-20,51564521276
2000-12-21,50580748912
2000-12-22,52204901400
2000-12-26,51332499492
2000-12-27,50061020115
2000-12-28,50989107251
2000-12-29,49012281652
2001-01-02,44672571435
2001-01-03,52272000007
2001-01-04,52092857150
2001-01-05,47265428578
2001-01-08,49792285721
2001-01-09,49735714293
2001-01-10,53742857151
2001-01-11,55628571437
2001-01-12,57401142865
2001-01-16,56514857151
2001-01-17,60286285723
2001-01-18,64944000009
2001-01-19,65179714295
2001-01-22,63765428581
2001-01-23,66000000010
2001-01-24,66122571438
2001-01-25,53035714293
2001-01-26,51857142865
2001-01-29,54450000008
2001-01-30,54761142865
2001-01-31,53469428579
2001-02-01,51385714293
2001-02-02,48161142864
2001-02-05,48802285721
2001-02-06,46907142864
2001-02-07,43842857149
2001-02-08,40590000006
2001-02-09,38619428577
2001-02-12,39317142863
2001-02-13,37290000005
2001-02-14,36677142862
2001-02-15,39609428577
2001-02-16,31114285719
2001-02-20,28332857147
2001-02-21,28568571432
2001-02-22,29709428575
2001-02-23,31302857147
2001-02-26,30614571433
2001-02-27,27012857146
2001-02-28,25551428575
2001-03-01,28521428575
2001-03-02,26117142861
2001-03-05,27861428575
2001-03-06,29228571433
2001-03-07,28380000004
2001-03-08,26871428575
2001-03-09,25466571432
2001-03-12,22091142860
2001-03-13,23194285717
2001-03-14,22609714289
2001-03-15,22534285717
2001-03-16,21855428574
2001-03-19,23760000003
2001-03-20,22590857146
2001-03-21,22685142860
2001-03-22,23100000003
2001-03-23,22496571431
2001-03-26,22722857146
2001-03-27,23562000003
2001-03-28,20243142860
2001-03-29,18838285717
2001-03-30,19507714288
2001-04-02,18427400000
2001-04-03,17131000000
2001-04-04,17594000000
2001-04-05,19205240000
2001-04-06,17918100000
2001-04-09,18158860000
2001-04-10,20557200000
2001-04-11,20186800000
2001-04-12,22177700000
2001-04-16,20742400000
2001-04-17,21205400000
2001-04-18,23094440000
2001-04-19,24511220000
2001-04-20,24724200000
2001-04-23,21390600000
2001-04-24,21020200000
2001-04-25,20353480000
2001-04-26,19446000000
2001-04-27,19214500000
2001-04-30,20344220000
2001-05-01,20881300000
2001-05-02,23150000000
2001-05-03,21205400000
2001-05-04,21298000000
2001-05-07,21668400000
2001-05-08,21872120000
2001-05-09,21381340000
2001-05-10,21066500000
2001-05-11,20464600000
2001-05-14,19705280000
2001-05-15,19075600000
2001-05-16,19677500000
2001-05-17,19492300000
2001-05-18,19390440000
2001-05-21,20973900000
2001-05-22,21668400000
2001-05-23,20714620000
2001-05-24,20464600000
2001-05-25,19955300000
2001-05-29,19140420000
2001-05-30,17556960000
2001-05-31,17519920000
2001-06-01,17853280000
2001-06-04,17547700000
2001-06-05,18566300000
2001-06-06,18075520000
2001-06-07,17964400000
2001-06-08,17473620000
2001-06-11,17177300000
2001-06-12,16742079999
2001-06-13,16066100000
2001-06-14,14816000000
2001-06-15,13427000000
2001-06-18,12408400000
2001-06-19,12213940000
2001-06-20,12038000000
2001-06-21,13417740000
2001-06-22,13751100000
2001-06-25,13862220000
2001-06-26,13214020000
2001-06-27,13565900000
2001-06-28,14630800000
2001-06-29,15473460000
2001-07-02,15724800000
2001-07-03,15912000000
2001-07-05,14461200000
2001-07-06,14161680000
2001-07-09,14133600000
2001-07-10,13216320000
2001-07-11,13122720000
2001-07-12,13618800000
2001-07-13,13609440000
2001-07-16,13113360000
2001-07-17,13075920000
2001-07-18,12710880000
2001-07-19,12916800000
2001-07-20,12757680000
2001-07-23,12879360000
2001-07-24,12645360000
2001-07-25,12888720000
2001-07-26,14564160000
2001-07-27,14994720000
2001-07-30,14816880000
2001-07-31,14657760000
2001-08-01,14966640000
2001-08-02,15163200000
2001-08-03,15612480000
2001-08-06,15743520000
2001-08-07,15181919999
2001-08-08,14835600000
2001-08-09,14844960000
2001-08-10,15153840000
2001-08-13,15425280000
2001-08-14,14320800000
2001-08-15,13965120000
2001-08-16,14086800000
2001-08-17,14002560000
2001-08-20,13562640000
2001-08-21,13478400000
2001-08-22,13347360000
2001-08-23,13656240000
2001-08-24,14676480000
2001-08-27,14816880000
2001-08-28,14405040000
2001-08-29,13665600000
2001-08-30,11278800000
2001-08-31,11241360000
2001-09-04,10417680000
2001-09-05,9968400000
2001-09-06,10211760000
2001-09-07,10249200000
2001-09-10,9734400000
2001-09-17,9547200000
2001-09-18,9360000000
2001-09-19,9472320000
2001-09-20,8723520000
2001-09-21,8536319999
2001-09-24,9397440000
2001-09-25,9013680000
2001-09-26,8639280000
2001-09-27,7815600000
2001-09-28,8255520000
2001-10-01,8174250000
2001-10-02,8382149999
2001-10-03,8505000000
2001-10-04,7276500000
2001-10-05,7257600000
2001-10-08,6945750000
2001-10-09,6624450000
2001-10-10,7125300000
2001-10-11,8429400000
2001-10-12,8514450000
2001-10-15,8505000000
2001-10-16,8079750000
2001-10-17,7711200000
2001-10-18,7578900000
2001-10-19,7465500000
2001-10-22,7607250000
2001-10-23,7815150000
2001-10-24,7720650000
2001-10-25,8240400000
2001-10-26,8155350000
2001-10-29,8127000000
2001-10-30,7654500000
2001-10-31,7616700000
2001-11-01,7418250000
2001-11-02,7418250000
2001-11-05,7862400000
2001-11-06,8079750000
2001-11-07,8268750000
2001-11-08,7314300000
2001-11-09,7163100000
2001-11-12,7276500000
2001-11-13,7550550000
2001-11-14,8183700000
2001-11-15,8505000000
2001-11-16,9497250000
2001-11-19,9657900000
2001-11-20,9024750000
2001-11-21,9308250000
2001-11-23,9667350000
2001-11-26,9667350000
2001-11-27,9648450000
2001-11-28,8873550000
2001-11-29,8883000000
2001-11-30,8911350000
2001-12-03,8457749999
2001-12-04,8968050000
2001-12-05,9544500000
2001-12-06,9676800000
2001-12-07,9175950000
2001-12-10,9308250000
2001-12-11,9733500000
2001-12-12,9563400000
2001-12-13,8457749999
2001-12-14,8259300000
2001-12-17,8041950000
2001-12-18,8079750000
2001-12-19,8032500000
2001-12-20,7985249999
2001-12-21,8070299999
2001-12-24,7947450000
2001-12-26,7843500000
2001-12-27,8004150000
2001-12-28,8505000000
2001-12-31,8429400000
2002-01-02,8675100000
2002-01-03,9166500000
2002-01-04,10111500000
2002-01-07,9931950000
2002-01-08,9903600000
2002-01-09,9922500000
2002-01-10,9752400000
2002-01-11,9525600000
2002-01-14,9270450000
2002-01-15,9279900000
2002-01-16,8467200000
2002-01-17,8486100000
2002-01-18,8155350000
2002-01-22,7994700000
2002-01-23,7862400000
2002-01-24,8004150000
2002-01-25,7654500000
2002-01-28,7701750000
2002-01-29,7285950000
2002-01-30,7635600000
2002-01-31,7531650000
2002-02-01,7182000000
2002-02-04,6709500000
2002-02-05,5906250000
2002-02-06,6331500000
2002-02-07,6085800000
2002-02-08,7106400000
2002-02-11,7796250000
2002-02-12,7597799999
2002-02-13,6898500000
2002-02-14,6709500000
2002-02-15,6624450000
2002-02-19,6444900000
2002-02-20,6407100000
2002-02-21,6161400000
2002-02-22,6246450000
2002-02-25,6558300000
2002-02-26,6492150000
2002-02-27,6529950000
2002-02-28,6359850000
2002-03-01,6331500000
2002-03-04,6993000000
2002-03-05,6804000000
2002-03-06,7569450000
2002-03-07,7380450000
2002-03-08,7418250000
2002-03-11,8410500000
2002-03-12,7654500000
2002-03-13,7560000000
2002-03-14,7474950000
2002-03-15,7389900000
2002-03-18,7588349999
2002-03-19,7323750000
2002-03-20,7125300000
2002-03-21,7040250000
2002-03-22,6955200000
2002-03-25,6671700000
2002-03-26,6851250000
2002-03-27,6879600000
2002-03-28,7200900000
2002-04-01,7375440000
2002-04-02,6986760000
2002-04-03,6692880000
2002-04-04,6636000000
2002-04-05,6436920000
2002-04-08,6654960000
2002-04-09,6598080000
2002-04-10,6531720000
2002-04-11,6266280000
2002-04-12,6493800000
2002-04-15,6474840000
2002-04-16,7053120000
2002-04-17,7242720000
2002-04-18,7053120000
2002-04-19,7034160000
2002-04-22,6636000000
2002-04-23,6446400000
2002-04-24,6256800000
2002-04-25,6474840000
2002-04-26,6057720000
2002-04-29,6323160000
2002-04-30,6342120000
2002-05-01,6389520000
2002-05-02,6351600000
2002-05-03,6351600000
2002-05-06,6199920000
2002-05-07,5934480000
2002-05-08,6427440000
2002-05-09,6266280000
2002-05-10,6048240000
2002-05-13,5782800000
2002-05-14,6114600000
2002-05-15,5906040000
2002-05-16,5906040000
2002-05-17,5906040000
2002-05-20,5688000000
2002-05-21,5583720000
2002-05-22,5564760000
2002-05-23,5356200000
2002-05-24,5289840000
2002-05-28,5119200000
2002-05-29,5052840000
2002-05-30,4834800000
2002-05-31,4550400000
2002-06-03,4247040000
2002-06-04,4284959999
2002-06-05,4398720000
2002-06-06,4228080000
2002-06-07,4247040000
2002-06-10,3763560000
2002-06-11,3697200000
2002-06-12,3668760000
2002-06-13,3744600000
2002-06-14,3687720000
2002-06-17,3953160000
2002-06-18,3953160000
2002-06-19,3763560000
2002-06-20,3697200000
2002-06-21,3678240000
2002-06-24,3555000000
2002-06-25,3592920000
2002-06-26,3062040000
2002-06-27,2986200000
2002-06-28,3365400000
2002-07-01,3574200000
2002-07-02,3677800000
2002-07-03,3677800000
2002-07-05,3729600000
2002-07-08,3936800000
2002-07-09,3885000000
2002-07-10,3812480000
2002-07-11,3936800000
2002-07-12,3853920000
2002-07-15,4050760000
2002-07-16,4144000000
2002-07-17,4268320000
2002-07-18,4185440000
2002-07-19,3729600000
2002-07-22,3398080000
2002-07-23,3284120000
2002-07-24,3429160000
2002-07-25,3159800000
2002-07-26,3025120000
2002-07-29,3263400000
2002-07-30,2558920000
2002-07-31,1657600000
2002-08-01,1616160000
2002-08-02,1771560000
2002-08-05,1678320000
2002-08-06,1657600000
2002-08-07,1657600000
2002-08-08,1626520000
2002-08-09,1595440000
2002-08-12,1647240000
2002-08-13,1626520000
2002-08-14,1605800000
2002-08-15,1626520000
2002-08-16,1647240000
2002-08-19,1678320000
2002-08-20,1854440000
2002-08-21,1844080000
2002-08-22,2072000000
2002-08-23,2030560000
2002-08-26,2299920000
2002-08-27,2372440000
2002-08-28,2020200000
2002-08-29,2144519999
2002-08-30,2072000000
2002-09-03,2009840000
2002-09-04,2154880000
2002-09-05,2123799999
2002-09-06,2185960000
2002-09-09,2175600000
2002-09-10,2217040000
2002-09-11,2227400000
2002-09-12,2154880000
2002-09-13,2082359999
2002-09-16,2030560000
2002-09-17,1926960000
2002-09-18,1833720000
2002-09-19,1761200000
2002-09-20,1906240000
2002-09-23,1813000000
2002-09-24,1740480000
2002-09-25,1750840000
2002-09-26,1709400000
2002-09-27,1512560000
2002-09-30,1894572662
2002-10-01,1894572662
2002-10-02,1870890504
2002-10-03,1610386763
2002-10-04,1574863525
2002-10-07,1574863525
2002-10-08,1302518705
2002-10-09,1456452734
2002-10-10,1586704604
2002-10-11,1752479712
2002-10-14,1716956475
2002-10-15,1953778058
2002-10-16,1799844029
2002-10-17,1906413741
2002-10-18,1835367266
2002-10-21,1953778058
2002-10-22,1906413741
2002-10-23,2024824532
2002-10-24,2368215828
2002-10-25,2332692590
2002-10-28,2391897986
2002-10-29,2226122878
2002-10-30,2391897986
2002-10-31,2214281799
2002-11-01,2439262302
2002-11-04,2545832015
2002-11-05,2735289281
2002-11-06,3327343238
2002-11-07,3102362734
2002-11-08,2841858993
2002-11-11,2557673094
2002-11-12,3066839497
2002-11-13,3481277267
2002-11-14,3990443670
2002-11-15,4014125828
2002-11-18,4499610073
2002-11-19,4677226260
2002-11-20,4996935397
2002-11-21,5387691008
2002-11-22,4866683526
2002-11-25,4854842447
2002-11-26,4440404677
2002-11-27,4878524605
2002-11-29,5245598059
2002-12-02,5908698490
2002-12-03,5328485613
2002-12-04,5008776476
2002-12-05,4677226260
2002-12-06,4558815468
2002-12-09,3990443670
2002-12-10,4440404677
2002-12-11,4736431656
2002-12-12,4629861943
2002-12-13,4452245756
2002-12-16,4618020864
2002-12-17,4416722519
2002-12-18,4250947411
2002-12-19,3966761511
2002-12-20,3848350720
2002-12-23,3966761511
2002-12-24,3848350720
2002-12-26,3694416691
2002-12-27,3812827483
2002-12-30,3682575612
2002-12-31,3972000000
2003-01-02,4500000000
2003-01-03,4572000000
2003-01-06,4740000000
2003-01-07,4812000000
2003-01-08,4524000000
2003-01-09,5100000000
2003-01-10,5412000000
2003-01-13,5532000000
2003-01-14,5664000000
2003-01-15,5652000000
2003-01-16,4980000000
2003-01-17,5148000000
2003-01-21,4920000000
2003-01-22,4884000000
2003-01-23,5232000000
2003-01-24,4800000000
2003-01-27,4728000000
2003-01-28,4992000000
2003-01-29,5220000000
2003-01-30,4956000000
2003-01-31,4896000000
2003-02-03,4920000000
2003-02-04,4823999999
2003-02-05,4848000000
2003-02-06,5040000000
2003-02-07,5484000000
2003-02-10,6480000000
2003-02-11,6408000000
2003-02-12,5940000000
2003-02-13,6060000000
2003-02-14,6216000000
2003-02-18,6300000000
2003-02-19,6252000000
2003-02-20,6168000000
2003-02-21,5988000000
2003-02-24,5868000000
2003-02-25,5808000000
2003-02-26,5688000000
2003-02-27,5760000000
2003-02-28,5904000000
2003-03-03,6120000000
2003-03-04,6023999999
2003-03-05,6456000000
2003-03-06,6600000000
2003-03-07,6948000000
2003-03-10,6636000000
2003-03-11,6564000000
2003-03-12,6516000000
2003-03-13,6840000000
2003-03-14,7068000000
2003-03-17,6960000000
2003-03-18,7200000000
2003-03-19,7500000000
2003-03-20,7380000000
2003-03-21,7344000000
2003-03-24,7080000000
2003-03-25,7068000000
2003-03-26,7200000000
2003-03-27,7223999999
2003-03-28,7200000000
2003-03-31,7264960000
2003-04-01,7289840000
2003-04-02,7339600000
2003-04-03,7277400000
2003-04-04,7153000000
2003-04-07,7277400000
2003-04-08,7153000000
2003-04-09,6904200000
2003-04-10,7215200000
2003-04-11,7065920000
2003-04-14,7215200000
2003-04-15,7439120000
2003-04-16,7215200000
2003-04-17,7464000000
2003-04-21,7600840000
2003-04-22,7725240000
2003-04-23,7314720000
2003-04-24,7240080000
2003-04-25,7140560000
2003-04-28,7053480000
2003-04-29,6742480000
2003-04-30,6742480000
2003-05-01,6767360000
2003-05-02,6754920000
2003-05-05,6991280000
2003-05-06,7090800000
2003-05-07,7339600000
2003-05-08,7177879999
2003-05-09,7339600000
2003-05-12,7439120000
2003-05-13,7650600000
2003-05-14,7787440000
2003-05-15,7725240000
2003-05-16,7824760000
2003-05-19,7476440000
2003-05-20,7439120000
2003-05-21,7128120000
2003-05-22,7464000000
2003-05-23,7488879999
2003-05-27,7998920000
2003-05-28,7837200000
2003-05-29,8508960000
2003-05-30,9093640000
2003-06-02,9093640000
2003-06-03,8745320000
2003-06-04,9591240000
2003-06-05,9827600000
2003-06-06,9765400000
2003-06-09,9578800000
2003-06-10,9578800000
2003-06-11,9827600000
2003-06-12,9740520000
2003-06-13,9454400000
2003-06-16,9653440000
2003-06-17,9840040000
2003-06-18,9889800000
2003-06-19,9976880000
2003-06-20,9827600000
2003-06-23,9081200000
2003-06-24,8869720000
2003-06-25,9130960000
2003-06-26,9317560000
2003-06-27,9330000000
2003-06-30,9710460000
2003-07-01,9802440000
2003-07-02,10196640000
2003-07-03,10078380000
2003-07-07,10393740000
2003-07-08,10985040000
2003-07-09,11484360000
2003-07-10,10985040000
2003-07-11,11169000000
2003-07-14,11024460000
2003-07-15,11090160000
2003-07-16,10774800000
2003-07-17,9894420000
2003-07-18,10038960000
2003-07-21,9868140000
2003-07-22,10814220000
2003-07-23,11405520000
2003-07-24,10590840000
2003-07-25,10669679999
2003-07-28,10577700000
2003-07-29,10406880000
2003-07-30,10512000000
2003-07-31,10695960000
2003-08-01,10748520000
2003-08-04,10406880000
2003-08-05,9881280000
2003-08-06,9539640000
2003-08-07,9644760000
2003-08-08,9684180000
2003-08-11,9789300000
2003-08-12,10025820000
2003-08-13,10367460000
2003-08-14,10459440000
2003-08-15,10498860000
2003-08-18,10695960000
2003-08-19,10774800000
2003-08-20,11011320000
2003-08-21,10985040000
2003-08-22,10787940000
2003-08-25,10603980000
2003-08-26,10774800000
2003-08-27,10985040000
2003-08-28,10827360000
2003-08-29,10840500000
2003-09-02,10893059999
2003-09-03,11326679999
2003-09-04,11247840000
2003-09-05,11510640000
2003-09-08,11865420000
2003-09-09,11707740000
2003-09-10,11155860000
2003-09-11,11208420000
2003-09-12,11287260000
2003-09-15,11458080000
2003-09-16,12141360000
2003-09-17,12285900000
2003-09-18,12785220000
2003-09-19,13140000000
2003-09-22,12745800000
2003-09-23,12496140000
2003-09-24,12391020000
2003-09-25,11852280000
2003-09-26,11839140000
2003-09-29,12614400000
2003-09-30,12651060000
2003-10-01,12557050000
2003-10-02,12758500000
2003-10-03,13161400000
2003-10-06,13712030000
2003-10-07,14262659999
2003-10-08,14249230000
2003-10-09,14464110000
2003-10-10,14705849999
2003-10-13,14840150000
2003-10-14,14987880000
2003-10-15,14705849999
2003-10-16,14773000000
2003-10-17,14773000000
2003-10-20,14490969999
2003-10-21,14477540000
2003-10-22,13967200000
2003-10-23,14235800000
2003-10-24,13953770000
2003-10-27,14464110000
2003-10-28,15108750000
2003-10-29,15149040000
2003-10-30,14961020000
2003-10-31,14746140000
2003-11-03,15095320000
2003-11-04,15672810000
2003-11-05,15807110000
2003-11-06,16129430000
2003-11-07,16116000000
2003-11-10,15995130000
2003-11-11,15511650000
2003-11-12,15699670000
2003-11-13,15780250000
2003-11-14,15565370000
2003-11-17,14907300000
2003-11-18,14155219999
2003-11-19,14692420000
2003-11-20,14558120000
2003-11-21,14584980000
2003-11-24,15256480000
2003-11-25,15337060000
2003-11-26,15377349999
2003-11-28,15404210000
2003-12-01,15511650000
2003-12-02,15149040000
2003-12-03,14826719999
2003-12-04,14571550000
2003-12-05,14141790000
2003-12-08,14034349999
2003-12-09,13282270000
2003-12-10,13537440000
2003-12-11,14101500000
2003-12-12,14477540000
2003-12-15,14504400000
2003-12-16,13752320000
2003-12-17,13430000000
2003-12-18,14168650000
2003-12-19,14007490000
2003-12-22,13913480000
2003-12-23,13832900000
2003-12-24,13698599999
2003-12-26,13779180000
2003-12-29,13967200000
2003-12-30,13886620000
2003-12-31,14163940000
2004-01-02,13946660000
2004-01-05,14951580000
2004-01-06,15576260000
2004-01-07,15508360000
2004-01-08,16309580000
2004-01-09,16296000000
2004-01-12,16458959999
2004-01-13,16391060000
2004-01-14,16689819999
2004-01-15,16866360000
2004-01-16,18210780000
2004-01-20,18713240000
2004-01-21,18183620000
2004-01-22,17518200000
2004-01-23,17966340000
2004-01-26,18224360000
2004-01-27,18129300000
2004-01-28,17477460000
2004-01-29,16947840000
2004-01-30,17545360000
2004-02-02,17137959999
2004-02-03,16947840000
2004-02-04,16282420000
2004-02-05,16051560000
2004-02-06,17137959999
2004-02-09,17260180000
2004-02-10,17219440000
2004-02-11,17463880000
2004-02-12,17178700000
2004-02-13,16852780000
2004-02-17,17409560000
2004-02-18,17898440000
2004-02-19,17667580000
2004-02-20,17518200000
2004-02-23,16947840000
2004-02-24,16716980000
2004-02-25,17070060000
2004-02-26,17165120000
2004-02-27,17042900000
2004-03-01,17300920000
2004-03-02,17626840000
2004-03-03,17382400000
2004-03-04,17436720000
2004-03-05,17287340000
2004-03-08,17219440000
2004-03-09,16486120000
2004-03-10,15766380000
2004-03-11,14965160000
2004-03-12,15372560000
2004-03-15,14761459999
2004-03-16,14449120000
2004-03-17,14883680000
2004-03-18,14775040000
2004-03-19,14354060000
2004-03-22,14028140000
2004-03-23,14259000000
2004-03-24,14000980000
2004-03-25,14815780000
2004-03-26,15019480000
2004-03-29,15263920000
2004-03-30,15304660000
2004-03-31,15461940000
2004-04-01,15945990000
2004-04-02,16416209999
2004-04-05,16333230000
2004-04-06,15849180000
2004-04-07,15544920000
2004-04-08,15738540000
2004-04-12,15793860000
2004-04-13,15268319999
2004-04-14,15088530000
2004-04-15,14936400000
2004-04-16,14493840000
2004-04-19,14549160000
2004-04-20,14258730000
2004-04-21,14106599999
2004-04-22,14175750000
2004-04-23,16775790000
2004-04-26,16665150000
2004-04-27,16678980000
2004-04-28,16084290000
2004-04-29,15503430000
2004-04-30,15254490000
2004-05-03,15558750000
2004-05-04,15918330000
2004-05-05,16291740000
2004-05-06,15945990000
2004-05-07,16001310000
2004-05-10,15489599999
2004-05-11,15876840000
2004-05-12,15849180000
2004-05-13,16084290000
2004-05-14,15641730000
2004-05-17,15033209999
2004-05-18,15240660000
2004-05-19,15780030000
2004-05-20,16111950000
2004-05-21,16457700000
2004-05-24,16748130000
2004-05-25,17121540000
2004-05-26,17467290000
2004-05-27,16858770000
2004-05-28,17135370000
2004-06-01,16941750000
2004-06-02,17107709999
2004-06-03,16582170000
2004-06-04,17010900000
2004-06-07,17799210000
2004-06-08,17992830000
2004-06-09,17536440000
2004-06-10,17757720000
2004-06-14,16596000000
2004-06-15,17370480000
2004-06-16,16983240000
2004-06-17,16651319999
2004-06-18,17163030000
2004-06-21,16678980000
2004-06-22,16941750000
2004-06-23,17384310000
2004-06-24,17273670000
2004-06-25,17577930000
2004-06-28,17273670000
2004-06-29,17854530000
2004-06-30,18270940000
2004-07-01,17599420000
2004-07-02,17529470000
2004-07-06,16774010000
2004-07-07,17137750000
2004-07-08,16508200000
2004-07-09,16913910000
2004-07-12,16592140000
2004-07-13,16857950000
2004-07-14,16564160000
2004-07-15,16256379999
2004-07-16,16382290000
2004-07-19,15766730000
2004-07-20,17753310000
2004-07-21,16983860000
2004-07-22,17123760000
2004-07-23,16857950000
2004-07-26,16760020000
2004-07-27,16913910000
2004-07-28,16927900000
2004-07-29,17417550000
2004-07-30,17291640000
2004-08-02,17319620000
2004-08-03,16927900000
2004-08-04,16857950000
2004-08-05,16438250000
2004-08-06,15556879999
2004-08-09,15402990000
2004-08-10,15528900000
2004-08-11,14913340000
2004-08-12,13668230000
2004-08-13,13360450000
2004-08-16,14129900000
2004-08-17,14913340000
2004-08-18,14899350000
2004-08-19,14983290000
2004-08-20,15011270000
2004-08-23,14899350000
