,JAVA
2022-06-02,956039670
2022-06-03,948747224
2022-06-06,950570336
2022-06-07,962055938
2022-06-08,951846514
2022-06-09,931427665
2022-06-10,911738061
2022-06-13,878739743
2022-06-14,872723475
2022-06-15,878557431
2022-06-16,852851559
2022-06-17,850663825
2022-06-21,866342584
2022-06-22,864154851
2022-06-23,861602494
2022-06-24,886032189
2022-06-27,888219922
2022-06-28,882568277
2022-06-29,877281253
2022-06-30,869806496
2022-07-01,880745165
2022-07-05,870900363
2022-07-06,870535741
2022-07-07,880198232
2022-07-08,880745165
2022-07-11,874181964
2022-07-12,869988807
2022-07-13,864519473
2022-07-14,856315471
2022-07-15,873999653
2022-07-18,869988807
2022-07-19,892048456
2022-07-20,892413079
2022-07-21,895694679
2022-07-22,892777701
2022-07-25,898976280
2022-07-26,892595390
2022-07-27,905721793
2022-07-28,911191127
2022-07-29,919212818
2022-08-01,915201973
2022-08-02,909185705
2022-08-03,916478151
2022-08-04,910279571
2022-08-05,914290417
2022-08-08,917572017
2022-08-09,918665884
2022-08-10,933433088
2022-08-11,939449355
2022-08-12,952575758
2022-08-15,954034247
2022-08-16,957498159
2022-08-17,951846514
2022-08-18,954581181
2022-08-19,947288735
2022-08-22,931609976
2022-08-23,931063043
2022-08-24,934526954
2022-08-25,944371757
2022-08-26,921400552
2022-08-29,919212818
2022-08-30,907362593
2022-08-31,903716370
2022-09-01,904080992
2022-09-02,898064724
2022-09-06,894053879
2022-09-07,908638771
2022-09-08,918118951
2022-09-09,929786865
2022-09-12,937261622
2022-09-13,905904104
2022-09-14,906997971
2022-09-15,904810237
2022-09-16,898976280
2022-09-19,902440192
2022-09-20,890225345
2022-09-21,875640453
2022-09-22,868530318
2022-09-23,850299203
2022-09-26,841183646
2022-09-27,837355111
2022-09-28,856133160
2022-09-29,845376802
2022-09-30,834438133
2022-10-03,858138583
2022-10-04,881656721
2022-10-05,880745165
2022-10-06,872723475
2022-10-07,855768538
2022-10-10,851940003
2022-10-11,849387647
2022-10-12,846288358
2022-10-13,869441874
2022-10-14,853763115
2022-10-17,868894940
2022-10-18,877281253
2022-10-19,872905786
2022-10-20,865977962
2022-10-21,884938322
2022-10-24,894600813
2022-10-25,906268726
2022-10-26,911191127
2022-10-27,909732638
2022-10-28,927963753
2022-10-31,925229086
2022-11-01,926869886
2022-11-02,911920372
2022-11-03,909550327
2022-11-04,921765174
2022-11-07,932156909
2022-11-08,937990866
2022-11-09,919759751
2022-11-10,954581181
2022-11-11,958045093
2022-11-14,951299580
2022-11-15,957133537
2022-11-16,951664203
2022-11-17,950205713
2022-11-18,953851936
2022-11-21,955857359
2022-11-22,969166073
2022-11-23,970624562
2022-11-25,972812296
2022-11-28,959321271
2022-11-29,963514427
2022-11-30,981016298
2022-12-01,978463942
2022-12-02,978828564
2022-12-05,960962071
2022-12-06,948747224
2022-12-07,947835668
2022-12-08,952028825
2022-12-09,943642512
2022-12-12,956768915
2022-12-13,961691316
2022-12-14,954398870
2022-12-15,936714688
2022-12-16,928328375
2022-12-19,923405974
2022-12-20,922129796
2022-12-21,935073888
2022-12-22,926505264
2022-12-23,933433088
2022-12-27,935073888
2022-12-28,925046775
2022-12-29,936167755
2022-12-30,933980021
2023-01-03,931427665
2023-01-04,941454778
2023-01-05,935803132
2023-01-06,956768915
2023-01-09,951299580
2023-01-10,957133537
2023-01-11,964061361
2023-01-12,968983762
2023-01-13,971171496
2023-01-17,968436828
2023-01-18,952393447
2023-01-19,946377179
2023-01-20,959685893
2023-01-23,968436828
2023-01-24,968619139
2023-01-25,972083051
2023-01-26,980287053
2023-01-27,977370075
2023-01-30,969348384
2023-01-31,983568654
2023-02-01,987032566
2023-02-02,989037988
2023-02-03,984115587
2023-02-06,981745542
2023-02-07,989584922
2023-02-08,980104742
2023-02-09,972083051
2023-02-10,979922431
2023-02-13,988855677
2023-02-14,988491055
2023-02-15,987214877
2023-02-16,978463942
2023-02-17,977005452
2023-02-21,961144382
2023-02-22,958774337
2023-02-23,960415138
2023-02-24,953851936
2023-02-27,956404292
2023-02-28,952575758
2023-03-01,952393447
2023-03-02,957315848
2023-03-03,968983762
2023-03-06,968801451
2023-03-07,951664203
2023-03-08,949658780
2023-03-09,929604553
2023-03-10,915748906
2023-03-13,906268726
2023-03-14,917936640
2023-03-15,901710947
2023-03-16,913925794
2023-03-17,897882413
2023-03-20,909003393
2023-03-21,918483573
2023-03-22,901710947
2023-03-23,898793969
2023-03-24,904080992
2023-03-27,911008816
2023-03-28,913378861
2023-03-29,925776019
2023-03-30,928692998
2023-03-31,938537800
2023-04-03,946559490
2023-04-04,936896999
2023-04-05,939084733
2023-04-06,940907845
2023-04-10,944736379
2023-04-11,950205713
2023-04-12,948200291
2023-04-13,956039670
2023-04-14,953669625
2023-04-17,960050515
2023-04-18,961691316
2023-04-19,961509005
2023-04-20,954763492
2023-04-21,953122692
2023-04-24,955675048
2023-04-25,942548645
2023-04-26,931792287
2023-04-27,946194868
2023-04-28,956768915
2023-05-01,956768915
2023-05-02,941454778
2023-05-03,932339221
2023-05-04,921947485
2023-05-05,937626244
2023-05-08,937990866
2023-05-09,935620821
2023-05-10,932521532
2023-05-11,929422242
2023-05-12,928328375
2023-05-15,933433088
2023-05-16,920853618
2023-05-17,934344643
2023-05-18,937808555
2023-05-19,936714688
2023-05-22,936532377
2023-05-23,930333798
2023-05-24,920488996
2023-05-25,917389706
2023-05-26,923952908
2023-05-30,920306685
2023-05-31,914837350
2023-06-01,921218240
2023-06-02,940543222
2023-06-05,937808555
2023-06-06,942548645
2023-06-07,949294158
2023-06-08,951664203
2023-06-09,951117269
2023-06-12,952940381
2023-06-13,960050515
2023-06-14,954945803
2023-06-15,966249095
2023-06-16,965519850
2023-06-20,954581181
2023-06-21,954034247
2023-06-22,949658780
2023-06-23,943642512
2023-06-26,946924113
2023-06-27,955310426
2023-06-28,953305003
2023-06-29,960779760
2023-06-30,968983762
2023-07-03,974817719
2023-07-05,969530695
2023-07-06,960232827
2023-07-07,960050515
2023-07-10,965702161
2023-07-11,974817719
2023-07-12,979010875
2023-07-13,981927853
2023-07-14,975729274
2023-07-17,978281630
2023-07-18,987214877
2023-07-19,992501900
2023-07-20,998700479
2023-07-21,1000158968
2023-07-24,1004352125
2023-07-25,1001252835
2023-07-26,1002346702
2023-07-27,995418879
2023-07-28,999976657
2023-07-31,1003805191
2023-08-01,1000523591
2023-08-02,991590344
2023-08-03,988126433
2023-08-04,982474787
2023-08-07,990678789
2023-08-08,985756388
2023-08-09,982839409
2023-08-10,982474787
2023-08-11,984297898
2023-08-14,983568654
2023-08-15,970624562
2023-08-16,964608294
2023-08-17,960597449
2023-08-18,962967494
2023-08-21,962238249
2023-08-22,956586604
2023-08-23,962055938
2023-08-24,954581181
2023-08-25,959503582
2023-08-28,966066783
2023-08-29,975364652
2023-08-30,976823141
2023-08-31,972447674
2023-09-01,977370075
2023-09-05,967160650
2023-09-06,964243672
2023-09-07,962420560
2023-09-08,965519850
2023-09-11,966613717
2023-09-12,968254517
2023-09-13,966613717
2023-09-14,977187764
2023-09-15,969895318
2023-09-18,970259940
2023-09-19,963696738
2023-09-20,960232827
2023-09-21,947835668
2023-09-22,944371757
2023-09-25,948017980
2023-09-26,935985444
2023-09-27,935985444
2023-09-28,939449355
2023-09-29,934526954
2023-10-02,923952908
2023-10-03,913743483
2023-10-04,915019661
2023-10-05,913014239
2023-10-06,919395129
2023-10-09,926322953
2023-10-10,933433088
2023-10-11,933433088
2023-10-12,925958330
2023-10-13,927781442
2023-10-16,936532377
2023-10-17,941637089
2023-10-18,931427665
2023-10-19,922129796
2023-10-20,912102683
2023-10-23,904263304
2023-10-24,909003393
2023-10-25,903898681
2023-10-26,900617081
2023-10-27,886579122
2023-10-30,895694679
2023-10-31,902804814
2023-11-01,907180282
2023-11-02,926687575
2023-11-03,935438510
2023-11-06,932886154
2023-11-07,927963753
2023-11-08,925411397
2023-11-09,918301262
2023-11-10,926869886
2023-11-13,927234508
2023-11-14,945101001
2023-11-15,949476469
2023-11-16,946559490
2023-11-17,951117269
2023-11-20,954034247
2023-11-21,952211136
2023-11-22,955857359
2023-11-24,959138960
2023-11-27,956221981
2023-11-28,955857359
2023-11-29,957315848
2023-11-30,965702161
2023-12-01,976640830
2023-12-04,976823141
2023-12-05,969713006
2023-12-06,968801451
2023-12-07,973541541
2023-12-08,977552386
2023-12-11,984115587
2023-12-12,984480210
2023-12-13,1001435146
2023-12-14,1016931594
2023-12-15,1011279949
2023-12-18,1011462260
2023-12-19,1013285371
2023-12-20,997059679
2023-12-21,1006357548
2023-12-22,1010186082
2023-12-26,1015655416
2023-12-27,1016749283
2023-12-28,1017478528
2023-12-29,1014014616
2024-01-02,1017296217
2024-01-03,1006904481
2024-01-04,1006539859
2024-01-05,1010550704
2024-01-08,1016384661
2024-01-09,1010368393
2024-01-10,1011644571
2024-01-11,1007086792
2024-01-12,1005081369
2024-01-16,998153546
2024-01-17,991590344
2024-01-18,995054256
2024-01-19,1005263681
2024-01-22,1009092215
2024-01-23,1012920749
2024-01-24,1009639148
2024-01-25,1016931594
2024-01-26,1018390083
2024-01-29,1022583240
2024-01-30,1025500218
2024-01-31,1013103060
2024-02-01,1020942440
2024-02-02,1023494796
2024-02-05,1013467682
2024-02-06,1016202350
2024-02-07,1019848573
2024-02-08,1022218618
2024-02-09,1022218618
2024-02-12,1028234886
2024-02-13,1012373815
2024-02-14,1017660839
2024-02-15,1032428042
2024-02-16,1029875686
2024-02-20,1028234886
2024-02-21,1032974975
2024-02-22,1041178977
2024-02-23,1042272844
2024-02-26,1037350443
2024-02-27,1041908222
2024-02-28,1040267421
2024-02-29,1042272844
2024-03-01,1047924490
2024-03-04,1050476846
2024-03-05,1049929912
2024-03-06,1055763869
2024-03-07,1063785560
2024-03-08,1062509382
2024-03-11,1064697116
2024-03-12,1066884849
2024-03-13,1067978716
2024-03-14,1061597826
2024-03-15,1059592403
2024-03-18,1062509382
2024-03-19,1063603249
2024-03-20,1072354184
2024-03-21,1080011252
2024-03-22,1075088851
2024-03-25,1074177295
2024-03-26,1072536495
2024-03-27,1088762187
2024-03-28,1091861477
2024-04-01,1087850632
2024-04-02,1079828941
2024-04-03,1080922808
2024-04-04,1069072583
2024-04-05,1076000407
2024-04-08,1078552763
2024-04-09,1081105119
2024-04-10,1066337916
2024-04-11,1064150182
2024-04-12,1047924490
2024-04-15,1042819778
2024-04-16,1037532754
2024-04-17,1036985821
2024-04-18,1037532754
2024-04-19,1045007511
2024-04-22,1054487691
2024-04-23,1065061738
2024-04-24,1064879427
2024-04-25,1061962448
2024-04-26,1063056315
2024-04-29,1067796405
2024-04-30,1054852313
2024-05-01,1051388402
2024-05-02,1058680848
2024-05-03,1065426360
2024-05-06,1073915317
2024-05-07,1076647926
2024-05-08,1064773286
2024-05-09,1074493955
2024-05-10,1077194141
2024-05-13,1067783552
2024-05-14,1069071823
2024-05-15,1075666631
2024-05-16,1074240727
2024-05-17,1077983726
2024-05-20,1095813517
2024-05-21,1096540907
2024-05-22,1092722108
2024-05-23,1077628759
2024-05-24,1077332222
2024-05-28,1084684996
2024-05-29,1055654129
2024-05-30,1061420761
2024-05-31,1077819622
2024-06-03,1183128724
2024-06-04,1177153327
2024-06-05,1184522984
2024-06-06,1187171612
2024-06-07,1182008184
2024-06-10,1189059609
2024-06-11,1181466891
2024-06-12,1185063442
2024-06-13,1191826119
2024-06-14,1185580918
2024-06-17,1180538650
2024-06-18,1183332824
2024-06-20,1184718039
2024-06-21,1185515561
2024-06-24,1202429799
2024-06-25,1189392612
2024-06-26,1186183458
2024-06-27,1182750995
2024-06-28,1193299004
2024-07-01,1262350351
2024-07-02,1267711105
2024-07-03,1266424524
2024-07-05,1266433454
2024-07-08,1240975458
2024-07-09,1241395061
2024-07-10,1253773345
2024-07-11,1262328610
2024-07-12,1262082005
2024-07-15,1256866965
2024-07-16,1277322305
2024-07-17,1278768642
2024-07-18,1274665037
2024-07-19,1266963762
2024-07-22,1284465378
2024-07-23,1257190081
2024-07-24,1245832418
2024-07-25,1248516956
2024-07-26,1267340201
2024-07-29,1256953119
2024-07-30,1262487648
2024-07-31,1266792282
2024-08-01,1287996866
2024-08-02,1266537265
2024-08-05,1442858757
2024-08-06,1452436883
2024-08-07,1445314687
2024-08-08,1469496075
2024-08-09,1470722904
