,GNW
2005-04-11,13124160000
2005-04-12,13335840000
2005-04-13,13293504000
2005-04-14,13326432000
2005-04-15,13128864000
2005-04-18,13091232000
2005-04-19,13030080000
2005-04-20,12856032000
2005-04-21,12940704000
2005-04-22,12771360000
2005-04-25,13114752000
2005-04-26,13190016000
2005-04-27,13171200000
2005-04-28,13058304000
2005-04-29,13147680000
2005-05-02,12898368000
2005-05-03,12865440000
2005-05-04,13100640000
2005-05-05,13157088000
2005-05-06,13288800000
2005-05-09,13100640000
2005-05-10,13128864000
2005-05-11,13152384000
2005-05-12,12823104000
2005-05-13,12851328000
2005-05-16,13067712000
2005-05-17,13053600000
2005-05-18,13161792000
2005-05-19,13063008000
2005-05-20,13020672000
2005-05-23,13100640000
2005-05-24,13166496000
2005-05-25,13048896000
2005-05-26,13147680000
2005-05-27,13439328000
2005-05-31,13636896000
2005-06-01,13636896000
2005-06-02,13632192000
2005-06-03,13476960000
2005-06-06,13608672000
2005-06-07,13952064000
2005-06-08,13773312000
2005-06-09,13815648000
2005-06-10,13900320000
2005-06-13,13919136000
2005-06-14,13999104000
2005-06-15,14140224000
2005-06-16,14159040000
2005-06-17,14445984000
2005-06-20,14064960000
2005-06-21,14112000000
2005-06-22,14394240000
2005-06-23,14097888000
2005-06-24,14276640000
2005-06-27,14060256000
2005-06-28,14234304000
2005-06-29,14182560000
2005-06-30,14229261000
2005-07-01,14196312000
2005-07-05,14262210000
2005-07-06,14572872000
2005-07-07,14949432000
2005-07-08,15180075000
2005-07-11,15208317000
2005-07-12,15245973000
2005-07-13,15170660999
2005-07-14,15236558999
2005-07-15,15165954000
2005-07-18,15015330000
2005-07-19,15156540000
2005-07-20,15109470000
2005-07-21,15170660999
2005-07-22,15184782000
2005-07-25,15189489000
2005-07-26,15208317000
2005-07-27,15763743000
2005-07-28,15274215000
2005-07-29,14761152000
2005-08-01,14492853000
2005-08-02,14685840000
2005-08-03,14662305000
2005-08-04,14591700000
2005-08-05,14436369000
2005-08-08,14389299000
2005-08-09,14483439000
2005-08-10,14521095000
2005-08-11,14742324000
2005-08-12,14728203000
2005-08-15,14794101000
2005-08-16,14888241000
2005-08-17,14944725000
2005-08-18,14789394000
2005-08-19,14676426000
2005-08-22,14605821000
2005-08-23,14586993000
2005-08-24,14544630000
2005-08-25,14591700000
2005-08-26,14699961000
2005-08-29,14991795000
2005-08-30,15029451000
2005-08-31,15142419000
2005-09-01,15438959999
2005-09-02,15486030000
2005-09-06,15015330000
2005-09-07,15142419000
2005-09-08,15151832999
2005-09-09,15062400000
2005-09-12,15076521000
2005-09-13,14958846000
2005-09-14,14648184000
2005-09-15,14634063000
2005-09-16,14662305000
2005-09-19,14394006000
2005-09-20,14262210000
2005-09-21,13932720000
2005-09-22,13885650000
2005-09-23,14356350000
2005-09-26,14337522000
2005-09-27,14459904000
2005-09-28,14615235000
2005-09-29,14883534000
2005-09-30,15056080000
2005-10-03,14897300000
2005-10-04,14649790000
2005-10-05,14589080000
2005-10-06,14383600000
2005-10-07,14420960000
2005-10-10,14453650000
2005-10-11,14374260000
2005-10-12,14061370000
2005-10-13,14159440000
2005-10-14,14528370000
2005-10-17,14635780000
2005-10-18,14715170000
2005-10-19,14705830000
2005-10-20,14374260000
2005-10-21,14505020000
2005-10-24,14542380000
2005-10-25,14533040000
2005-10-26,14224820000
2005-10-27,14299540000
2005-10-28,14392940000
2005-10-31,14799230000
2005-11-01,14873950000
2005-11-02,14944000000
2005-11-03,15121460000
2005-11-04,15144810000
2005-11-07,15154150000
2005-11-08,14976690000
2005-11-09,14953340000
2005-11-10,15093440000
2005-11-11,15037400000
2005-11-14,14981360000
2005-11-15,15037400000
2005-11-16,15144810000
2005-11-17,15467039999
2005-11-18,15373640000
2005-11-21,15457700000
2005-11-22,15597800000
2005-11-23,15887340000
2005-11-25,15817289999
2005-11-28,15896680000
2005-11-29,15878000000
2005-11-30,16088150000
2005-12-01,16312310000
2005-12-02,16251599999
2005-12-05,16335659999
2005-12-06,16046120000
2005-12-07,15803280000
2005-12-08,15681860000
2005-12-09,15770590000
2005-12-12,15653840000
2005-12-13,15878000000
2005-12-14,16158200000
2005-12-15,16134849999
2005-12-16,16335659999
2005-12-19,15784599999
2005-12-20,15849979999
2005-12-21,16008760000
2005-12-22,16190890000
2005-12-23,16316979999
2005-12-27,16018099999
2005-12-28,16092820000
2005-12-29,16223580000
2005-12-30,16148860000
2006-01-03,16302969999
2006-01-04,16340330000
2006-01-05,16069469999
2006-01-06,16036780000
2006-01-09,16134849999
2006-01-10,16120840000
2006-01-11,16246930000
2006-01-12,16321650000
2006-01-13,16345000000
2006-01-17,16251599999
2006-01-18,16218909999
2006-01-19,15677190000
2006-01-20,15317599999
2006-01-23,15359630000
2006-01-24,15373640000
2006-01-25,15261560000
2006-01-26,15462370000
2006-01-27,15448360000
2006-01-30,15233539999
2006-01-31,15298920000
2006-02-01,15434349999
2006-02-02,15350289999
2006-02-03,15303590000
2006-02-06,15336280000
2006-02-07,15322270000
2006-02-08,15411000000
2006-02-09,15294250000
2006-02-10,15354960000
2006-02-13,15317599999
2006-02-14,15551099999
2006-02-15,15373640000
2006-02-16,15569780000
2006-02-17,15322270000
2006-02-21,15485719999
2006-02-22,15611810000
2006-02-23,15350289999
2006-02-24,15242880000
2006-02-27,15144810000
2006-02-28,14859940000
2006-03-01,15256890000
2006-03-02,15411000000
2006-03-03,15504400000
2006-03-06,15653840000
2006-03-07,15901349999
2006-03-08,15915360000
2006-03-09,15747240000
2006-03-10,15714550000
2006-03-13,15635159999
2006-03-14,15719219999
2006-03-15,15803280000
2006-03-16,15887340000
2006-03-17,16013430000
2006-03-20,15943380000
2006-03-21,15714550000
2006-03-22,15691200000
2006-03-23,15625820000
2006-03-24,15677190000
2006-03-27,15616479999
2006-03-28,15429680000
2006-03-29,15742570000
2006-03-30,15770590000
2006-03-31,15237394000
2006-04-03,15319438000
2006-04-04,15387808000
2006-04-05,15469851999
2006-04-06,15538222000
2006-04-07,15241951999
2006-04-10,15296648000
2006-04-11,15173582000
2006-04-12,15588360000
2006-04-13,15633939999
2006-04-17,15633939999
2006-04-18,15542780000
2006-04-19,15474410000
2006-04-20,15592918000
2006-04-21,15374133999
2006-04-24,15570127999
2006-04-25,15292089999
2006-04-26,15342227999
2006-04-27,15251068000
2006-04-28,15132560000
2006-05-01,14986704000
2006-05-02,15169024000
2006-05-03,15128001999
2006-05-04,15086980000
2006-05-05,15077864000
2006-05-08,15014051999
2006-05-09,14991262000
2006-05-10,15064189999
2006-05-11,14945682000
2006-05-12,14881870000
2006-05-15,14859080000
2006-05-16,14790710000
2006-05-17,14485324000
2006-05-18,14622064000
2006-05-19,14840848000
2006-05-22,14977588000
2006-05-23,15173582000
2006-05-24,15219162000
2006-05-25,15155350000
2006-05-26,15109770000
2006-05-30,15014051999
2006-05-31,15264742000
2006-06-01,15251068000
2006-06-02,15410598000
2006-06-05,15096095999
2006-06-06,15237394000
2006-06-07,14900101999
2006-06-08,15109770000
2006-06-09,15219162000
2006-06-12,15164466000
2006-06-13,14881870000
2006-06-14,14517230000
2006-06-15,14932008000
2006-06-16,14945682000
2006-06-19,15337670000
2006-06-20,15478968000
2006-06-21,15483526000
2006-06-22,15524548000
2006-06-23,15210045999
2006-06-26,15519989999
2006-06-27,15506316000
2006-06-28,15542780000
2006-06-29,15829933999
2006-06-30,15810392000
2006-07-03,15833082000
2006-07-05,15737784000
2006-07-06,15878462000
2006-07-07,15883000000
2006-07-10,15855771999
2006-07-11,15869386000
2006-07-12,15710555999
2006-07-13,15479118000
2006-07-14,15224989999
2006-07-17,15179610000
2006-07-18,15102464000
2006-07-19,15329364000
2006-07-20,15374744000
2006-07-21,15265832000
2006-07-24,15474580000
2006-07-25,15361130000
2006-07-26,15460966000
2006-07-27,15415586000
2006-07-28,15220452000
2006-07-31,15565339999
2006-08-01,15519960000
2006-08-02,15737784000
2006-08-03,15837620000
2006-08-04,15583492000
2006-08-07,15465504000
2006-08-08,15501807999
2006-08-09,15488194000
2006-08-10,15315750000
2006-08-11,15288521999
2006-08-14,15497270000
2006-08-15,15588030000
2006-08-16,15606182000
2006-08-17,15687866000
2006-08-18,15578954000
2006-08-21,15569878000
2006-08-22,15574416000
2006-08-23,15565339999
2006-08-24,15529036000
2006-08-25,15361130000
2006-08-28,15451889999
2006-08-29,15433738000
2006-08-30,15565339999
2006-08-31,15624334000
2006-09-01,15715094000
2006-09-05,15905689999
2006-09-06,15851234000
2006-09-07,15937455999
2006-09-08,16227888000
2006-09-11,16336800000
2006-09-12,16382180000
2006-09-13,16100823999
2006-09-14,16059982000
2006-09-15,16000988000
2006-09-18,15905689999
2006-09-19,15896614000
2006-09-20,16109900000
2006-09-21,15873923999
2006-09-22,15837620000
2006-09-25,15996450000
2006-09-26,15951070000
2006-09-27,15910228000
2006-09-28,15960146000
2006-09-29,15887538000
2006-10-02,15148350000
2006-10-03,15368850000
2006-10-04,15620220000
2006-10-05,15514380000
2006-10-06,15382080000
2006-10-09,15457049999
2006-10-10,15479100000
2006-10-11,15598169999
2006-10-12,15651090000
2006-10-13,15571710000
2006-10-16,15704010000
2006-10-17,15950970000
2006-10-18,15955380000
2006-10-19,15704010000
2006-10-20,15532020000
2006-10-23,15717240000
2006-10-24,15818669999
2006-10-25,15849539999
2006-10-26,15981840000
2006-10-27,14857289999
2006-10-30,14808780000
2006-10-31,14747039999
2006-11-01,14561820000
2006-11-02,14504490000
2006-11-03,14473620000
2006-11-06,14460390000
2006-11-07,14389830000
2006-11-08,14231070000
2006-11-09,14323679999
2006-11-10,14319270000
2006-11-13,14270760000
2006-11-14,14588280000
2006-11-15,14579460000
2006-11-16,14707350000
2006-11-17,14698530000
2006-11-20,14641200000
2006-11-21,14601510000
2006-11-22,14597100000
2006-11-24,14650020000
2006-11-27,14469210000
2006-11-28,14442750000
2006-11-29,14614740000
2006-11-30,14464799999
2006-12-01,14270760000
2006-12-04,14381010000
2006-12-05,14557410000
2006-12-06,14513309999
2006-12-07,14588280000
2006-12-08,14535360000
2006-12-11,14654429999
2006-12-12,14866110000
2006-12-13,14870520000
2006-12-14,14861700000
2006-12-15,14932260000
2006-12-18,15227730000
2006-12-19,15254190000
2006-12-20,15311520000
2006-12-21,15113070000
2006-12-22,15024870000
2006-12-26,15196860000
2006-12-27,15263010000
2006-12-28,15236549999
2006-12-29,15086610000
2007-01-03,15024870000
2007-01-04,15042510000
2007-01-05,14901390000
2007-01-08,15073380000
2007-01-09,15104250000
2007-01-10,15201270000
2007-01-11,15368850000
2007-01-12,15421770000
2007-01-16,15192450000
2007-01-17,15002820000
2007-01-18,15095429999
2007-01-19,15130710000
2007-01-22,15029280000
2007-01-23,14989590000
2007-01-24,15311520000
2007-01-25,15042510000
2007-01-26,14989590000
2007-01-29,15113070000
2007-01-30,15307110000
2007-01-31,15390900000
2007-02-01,15439410000
2007-02-02,15677549999
2007-02-05,15677549999
2007-02-06,15911280000
2007-02-07,16184700000
2007-02-08,16056809999
2007-02-09,15928919999
2007-02-12,15823080000
2007-02-13,16065630000
2007-02-14,16153830000
2007-02-15,15893640000
2007-02-16,16008299999
2007-02-20,16299360000
2007-02-21,16317000000
2007-02-22,16184700000
2007-02-23,15959789999
2007-02-26,15893640000
2007-02-27,15435000000
2007-02-28,15580530000
2007-03-01,15496740000
2007-03-02,15452640000
2007-03-05,14989590000
2007-03-06,15240960000
2007-03-07,15227730000
2007-03-08,15395309999
2007-03-09,15527610000
2007-03-12,15540840000
2007-03-13,15108660000
2007-03-14,15143940000
2007-03-15,15218910000
2007-03-16,15068970000
2007-03-19,15232140000
2007-03-20,15240960000
2007-03-21,15496740000
2007-03-22,15461460000
2007-03-23,15487919999
2007-03-26,15501150000
2007-03-27,15479100000
2007-03-28,15408539999
2007-03-29,15435000000
2007-03-30,15408539999
2007-04-02,15286726000
2007-04-03,15466880000
2007-04-04,15466880000
2007-04-05,15444910000
2007-04-09,15405364000
2007-04-10,15264756000
2007-04-11,15229603999
2007-04-12,15229603999
2007-04-13,15392182000
2007-04-16,15510819999
2007-04-17,15436122000
2007-04-18,15669003999
2007-04-19,15638246000
2007-04-20,15633852000
2007-04-23,15616276000
2007-04-24,15475668000
2007-04-25,15651427999
2007-04-26,15726126000
2007-04-27,15739308000
2007-04-30,16033706000
2007-05-01,15326272000
2007-05-02,15365818000
2007-05-03,15466880000
2007-05-04,15603094000
2007-05-07,15708550000
2007-05-08,15510819999
2007-05-09,15625064000
2007-05-10,15466880000
2007-05-11,15616276000
2007-05-14,15598700000
2007-05-15,15910674000
2007-05-16,16042494000
2007-05-17,15941432000
2007-05-18,15976584000
2007-05-21,15994160000
2007-05-22,15897492000
2007-05-23,15950219999
2007-05-24,15783248000
2007-05-25,15774460000
2007-05-29,15783248000
2007-05-30,15879916000
2007-05-31,15862340000
2007-06-01,15928250000
2007-06-04,15888703999
2007-06-05,15726126000
2007-06-06,15572335999
2007-06-07,15216422000
2007-06-08,15827188000
2007-06-11,15800824000
2007-06-12,15497638000
2007-06-13,15717338000
2007-06-14,15669003999
2007-06-15,15800824000
2007-06-18,15734914000
2007-06-19,15822794000
2007-06-20,15554760000
2007-06-21,15660216000
2007-06-22,15431727999
2007-06-25,15233998000
2007-06-26,15269150000
2007-06-27,15277938000
2007-06-28,15370211999
2007-06-29,15115360000
2007-07-02,15372335000
2007-07-03,15442911000
2007-07-05,15332636000
2007-07-06,15389979000
2007-07-09,15367924000
2007-07-10,14887125000
2007-07-11,15015044000
2007-07-12,15213539000
2007-07-13,15142963000
2007-07-16,15112086000
2007-07-17,15019454999
2007-07-18,14992989000
2007-07-19,14706274000
2007-07-20,14221064000
2007-07-23,14384271000
2007-07-24,14159310000
2007-07-25,14269585000
2007-07-26,13965226000
2007-07-27,13735854000
2007-07-30,13713799000
2007-07-31,13462372000
2007-08-01,13352097000
2007-08-02,13219767000
2007-08-03,12465486000
2007-08-06,12302279000
2007-08-07,12377266000
2007-08-08,12858065000
2007-08-09,11989098000
2007-08-10,12412554000
2007-08-13,12730146000
2007-08-14,12289046000
2007-08-15,12708091000
2007-08-16,12747790000
2007-08-17,13299165000
2007-08-20,13219767000
2007-08-21,12972751000
2007-08-22,13435906000
2007-08-23,13405029000
2007-08-24,13281521000
2007-08-27,13215356000
2007-08-28,12624282000
2007-08-29,12928641000
2007-08-30,12588994000
2007-08-31,12783078000
2007-09-04,12871298000
2007-09-05,12694858000
2007-09-06,12774256000
2007-09-07,12677214000
2007-09-10,12575761000
2007-09-11,12743379000
2007-09-12,12703680000
2007-09-13,13012450000
2007-09-14,13166835000
2007-09-17,12910997000
2007-09-18,13431495000
2007-09-19,13766731000
2007-09-20,13488838000
2007-09-21,13577058000
2007-09-24,13374152000
2007-09-25,13321220000
2007-09-26,13502071000
2007-09-27,13577058000
2007-09-28,13555003000
2007-10-01,13749456000
2007-10-02,13602032000
2007-10-03,13584688000
2007-10-04,13536992000
2007-10-05,13775472000
2007-10-08,13714768000
2007-10-09,13753792000
2007-10-10,13060032000
2007-10-11,13151088000
2007-10-12,13198784000
2007-10-15,13151088000
2007-10-16,12756512000
2007-10-17,12522368000
2007-10-18,12370608000
2007-10-19,12032400000
2007-10-22,12032400000
2007-10-23,11763568000
2007-10-24,11486064000
2007-10-25,11048128000
2007-10-26,12054080000
2007-10-29,12097440000
2007-10-30,11993376000
2007-10-31,11837280000
2007-11-01,11290944000
2007-11-02,11069808000
2007-11-05,10918048000
2007-11-06,11134848000
2007-11-07,10471440000
2007-11-08,10709920000
2007-11-09,11009104000
2007-11-12,11091488000
2007-11-13,11542432000
2007-11-14,11607472000
2007-11-15,11182544000
2007-11-16,11082816000
2007-11-19,10939728000
2007-11-20,10714256000
2007-11-21,10315344000
2007-11-23,10666560000
2007-11-26,10115888000
2007-11-27,10376048000
2007-11-28,10623200000
2007-11-29,10657888000
2007-11-30,11377664000
2007-12-03,11529424000
2007-12-04,11282272000
2007-12-05,11585792000
2007-12-06,12067088000
2007-12-07,11967360000
2007-12-10,12223184000
2007-12-11,11329968000
2007-12-12,11247584000
2007-12-13,11121840000
2007-12-14,10662224000
2007-12-17,10402064000
2007-12-18,10558160000
2007-12-19,10722928000
2007-12-20,10688240000
2007-12-21,10896368000
2007-12-24,11295280000
2007-12-26,11126176000
2007-12-27,10974416000
2007-12-28,10974416000
2007-12-31,11035120000
2008-01-02,10840000000
2008-01-03,10761952000
2008-01-04,10579840000
2008-01-07,10610192000
2008-01-08,10475776000
2008-01-09,10337024000
2008-01-10,10575504000
2008-01-11,10484448000
2008-01-14,10705584000
2008-01-15,10462768000
2008-01-16,10731600000
2008-01-17,9808032000
2008-01-18,9478496000
2008-01-22,9352752000
2008-01-23,9205328000
2008-01-24,9526192000
2008-01-25,9439472000
2008-01-28,9916432000
2008-01-29,10354368000
2008-01-30,10206944000
2008-01-31,10545152000
2008-02-01,10601520000
2008-02-04,10471440000
2008-02-05,9925104000
2008-02-06,10029168000
2008-02-07,9860064000
2008-02-08,9981472000
2008-02-11,9677952000
2008-02-12,9881744000
2008-02-13,9886080000
2008-02-14,9682288000
2008-02-15,9938112000
2008-02-19,9907760000
2008-02-20,10042176000
2008-02-21,9886080000
2008-02-22,10020496000
2008-02-25,10276320000
2008-02-26,10475776000
2008-02-27,10610192000
2008-02-28,10241632000
2008-02-29,10050848000
2008-03-03,9899088000
2008-03-04,9920768000
2008-03-05,9916432000
2008-03-06,9565216000
2008-03-07,9504512000
2008-03-10,9270368000
2008-03-11,9621584000
2008-03-12,9461152000
2008-03-13,9495840000
2008-03-14,9144624000
2008-03-17,8927824000
2008-03-18,9643264000
2008-03-19,9634592000
2008-03-20,10089872000
2008-03-24,10224288000
2008-03-25,10150576000
2008-03-26,9690960000
2008-03-27,9729984000
2008-03-28,9686624000
2008-03-31,9800856000
2008-04-01,10350639000
2008-04-02,10523799000
2008-04-03,10506483000
2008-04-04,10415574000
2008-04-07,10536786000
2008-04-08,10268388000
2008-04-09,10095228000
2008-04-10,10086570000
2008-04-11,9900423000
2008-04-14,9770553000
2008-04-15,9883107000
2008-04-16,10151505000
2008-04-17,10359297000
2008-04-18,10519470000
2008-04-21,10311678000
2008-04-22,10129860000
2008-04-23,9917739000
2008-04-24,10173150000
2008-04-25,9666657000
2008-04-28,10030293000
2008-04-29,10051938000
2008-04-30,9982674000
2008-05-01,10277046000
2008-05-02,10277046000
2008-05-05,10073583000
2008-05-06,10082241000
2008-05-07,9917739000
2008-05-08,9666657000
2008-05-09,9757566000
2008-05-12,10012977000
2008-05-13,9887436000
2008-05-14,9978345000
2008-05-15,10186137000
2008-05-16,10099557000
2008-05-19,10255401000
2008-05-20,10021635000
2008-05-21,9748908000
2008-05-22,9896094000
2008-05-23,9653670000
2008-05-27,9731592000
2008-05-28,9731592000
2008-05-29,9727263000
2008-05-30,9567090000
2008-06-02,9523800000
2008-06-03,9415575000
2008-06-04,9337653000
2008-06-05,9463194000
2008-06-06,9034623000
2008-06-09,8896095000
2008-06-10,9077913000
2008-06-11,8562762000
2008-06-12,8796528000
2008-06-13,8956701000
2008-06-16,9034623000
2008-06-17,8722935000
2008-06-18,8601723000
2008-06-19,8606052000
2008-06-20,8225100000
2008-06-23,7813845000
2008-06-24,7978347000
2008-06-25,8164494000
2008-06-26,7757568000
2008-06-27,7787870999
2008-06-30,7717072999
2008-07-01,7730072000
2008-07-02,7699741000
2008-07-03,7591416000
2008-07-07,7262108000
2008-07-08,7673743000
2008-07-09,7517755000
2008-07-10,7439761000
2008-07-11,7101787000
2008-07-14,6906802000
2008-07-15,6469169000
2008-07-16,6434505000
2008-07-17,6932800000
2008-07-18,7032459000
2008-07-21,7093121000
2008-07-22,7552419000
2008-07-23,7626080000
2008-07-24,7249109000
2008-07-25,7136450999
2008-07-28,6759480000
2008-07-29,7045458000
2008-07-30,7240443000
2008-07-31,6919801000
2008-08-01,7067122999
2008-08-04,7080122000
2008-08-05,7292438999
2008-08-06,7058457000
2008-08-07,6356511000
2008-08-08,6828808000
2008-08-11,6997794999
2008-08-12,6629490000
2008-08-13,6395508000
2008-08-14,6716150000
2008-08-15,6950132000
2008-08-18,6586160000
2008-08-19,6495167000
2008-08-20,6486501000
2008-08-21,6378176000
2008-08-22,6681486000
2008-08-25,6499500000
2008-08-26,6538497000
2008-08-27,6642489000
2008-08-28,6924134000
2008-08-29,6954465000
2008-09-02,7006461000
2008-09-03,7084455000
2008-09-04,6720483000
2008-09-05,6967463999
2008-09-08,7439761000
2008-09-09,6824475000
2008-09-10,6746481000
2008-09-11,6508166000
2008-09-12,6547163000
2008-09-15,6005538000
2008-09-16,5745558000
2008-09-17,4263672000
2008-09-18,3964695000
2008-09-19,6607825000
2008-09-22,5294926000
2008-09-23,5385919000
2008-09-24,4605979000
2008-09-25,4584314000
2008-09-26,3527062000
2008-09-29,2166500000
2008-09-30,3729851999
2008-10-01,3188352000
2008-10-02,3162360000
2008-10-03,3292320000
2008-10-06,2651184000
2008-10-07,2174664000
2008-10-08,2036040000
2008-10-09,1611504000
2008-10-10,1516200000
2008-10-13,2737824000
2008-10-14,2919768000
2008-10-15,2265636000
2008-10-16,2339280000
2008-10-17,2339280000
2008-10-20,2802804000
2008-10-21,2482236000
2008-10-22,2023044000
2008-10-23,2001384000
2008-10-24,2226648000
2008-10-27,1849763999
2008-10-28,2304624000
2008-10-29,2036040000
2008-10-30,1815108000
2008-10-31,2096688000
2008-11-03,2295960000
2008-11-04,2508228000
2008-11-05,2243976000
2008-11-06,2036040000
2008-11-07,1156644000
2008-11-10,1178304000
2008-11-11,537168000
2008-11-12,433200000
2008-11-13,662796000
2008-11-14,636804000
2008-11-17,580488000
2008-11-18,485184000
2008-11-19,441864000
2008-11-20,428868000
2008-11-21,389880000
2008-11-24,736440000
2008-11-25,563160000
2008-11-26,623808000
2008-11-28,628140000
2008-12-01,498179999
2008-12-02,580488000
2008-12-03,619476000
2008-12-04,558828000
2008-12-05,684456000
2008-12-08,970368000
2008-12-09,1044012000
2008-12-10,1117656000
2008-12-11,1104660000
2008-12-12,1083000000
2008-12-15,1212960000
2008-12-16,1511868000
2008-12-17,1355916000
2008-12-18,1446888000
2008-12-19,1468548000
2008-12-22,1312596000
2008-12-23,1238952000
2008-12-24,1199964000
2008-12-26,1230288000
2008-12-29,1178304000
2008-12-30,1230288000
2008-12-31,1225956000
2009-01-02,1238952000
2009-01-05,1225956000
2009-01-06,1373244000
2009-01-07,1316928000
2009-01-08,1342920000
2009-01-09,1282272000
2009-01-12,1121988000
