,SNA
2002-04-02,1926420000
2002-04-03,1928166000
2002-04-04,1949700000
2002-04-05,1969488000
2002-04-08,1972980000
2002-04-09,1978218000
2002-04-10,1978800000
2002-04-11,1973561999
2002-04-12,1985783999
2002-04-15,1972980000
2002-04-16,1983456000
2002-04-17,1971816000
2002-04-18,1935150000
2002-04-19,1921764000
2002-04-22,1879859999
2002-04-23,1835046000
2002-04-24,1852506000
2002-04-25,1867056000
2002-04-26,1861818000
2002-04-29,1832136000
2002-04-30,1843776000
2002-05-01,1878114000
2002-05-02,1892082000
2002-05-03,1908959999
2002-05-06,1881024000
2002-05-07,1892664000
2002-05-08,1922346000
2002-05-09,1903140000
2002-05-10,1855416000
2002-05-13,1835628000
2002-05-14,1871130000
2002-05-15,1855416000
2002-05-16,1843776000
2002-05-17,1858326000
2002-05-20,1828644000
2002-05-21,1779174000
2002-05-22,1806528000
2002-05-23,1823988000
2002-05-24,1817004000
2002-05-28,1817586000
2002-05-29,1812930000
2002-05-30,1820496000
2002-05-31,1839120000
2002-06-03,1800126000
2002-06-04,1769280000
2002-06-05,1778010000
2002-06-06,1749492000
2002-06-07,1764042000
2002-06-10,1768116000
2002-06-11,1750656000
2002-06-12,1758804000
2002-06-13,1701186000
2002-06-14,1687800000
2002-06-17,1745418000
2002-06-18,1741926000
2002-06-19,1752984000
2002-06-20,1746582000
2002-06-21,1741344000
2002-06-24,1747164000
2002-06-25,1734942000
2002-06-26,1729122000
2002-06-27,1749492000
2002-06-28,1727958000
2002-07-01,1709952000
2002-07-02,1692432000
2002-07-03,1674912000
2002-07-05,1746160000
2002-07-08,1722800000
2002-07-09,1701776000
2002-07-10,1655056000
2002-07-11,1653304000
2002-07-12,1682504000
2002-07-15,1697688000
2002-07-16,1613592000
2002-07-17,1609504000
2002-07-18,1579136000
2002-07-19,1512560000
2002-07-22,1464672000
2002-07-23,1457664000
2002-07-24,1558112000
2002-07-25,1557528000
2002-07-26,1538256000
2002-07-29,1622352000
2002-07-30,1623520000
2002-07-31,1586728000
2002-08-01,1575632000
2002-08-02,1504968000
2002-08-05,1478688000
2002-08-06,1515480000
2002-08-07,1525992000
2002-08-08,1545848000
2002-08-09,1553440000
2002-08-12,1542928000
2002-08-13,1531248000
2002-08-14,1573296000
2002-08-15,1596072000
2002-08-16,1583224000
2002-08-19,1622936000
2002-08-20,1617680000
2002-08-21,1639288000
2002-08-22,1658560000
2002-08-23,1623520000
2002-08-26,1625856000
2002-08-27,1641040000
2002-08-28,1635200000
2002-08-29,1632864000
2002-08-30,1650384000
2002-09-03,1606584000
2002-09-04,1625856000
2002-09-05,1594320000
2002-09-06,1632280000
2002-09-09,1427880000
2002-09-10,1443064000
2002-09-11,1455912000
2002-09-12,1412112000
2002-09-13,1405104000
2002-09-16,1387584000
2002-09-17,1368312000
2002-09-18,1374736000
2002-09-19,1353128000
2002-09-20,1358968000
2002-09-23,1342616000
2002-09-24,1314000000
2002-09-25,1349624000
2002-09-26,1389336000
2002-09-27,1367144000
2002-09-30,1337436000
2002-10-01,1378176000
2002-10-02,1366536000
2002-10-03,1339182000
2002-10-04,1309500000
2002-10-07,1265268000
2002-10-08,1297860000
2002-10-09,1251300000
2002-10-10,1276326000
2002-10-11,1326960000
2002-10-14,1320558000
2002-10-15,1409022000
2002-10-16,1372356000
2002-10-17,1456164000
2002-10-18,1472460000
2002-10-21,1521348000
2002-10-22,1467804000
2002-10-23,1516110000
2002-10-24,1527750000
2002-10-25,1527750000
2002-10-28,1500396000
2002-10-29,1492248000
2002-10-30,1505634000
2002-10-31,1516110000
2002-11-01,1559760000
2002-11-04,1569072000
2002-11-05,1571400000
2002-11-06,1584786000
2002-11-07,1538808000
2002-11-08,1535316000
2002-11-11,1507962000
2002-11-12,1563834000
2002-11-13,1590024000
2002-11-14,1619706000
2002-11-15,1628436000
2002-11-18,1618542000
2002-11-19,1588860000
2002-11-20,1623780000
2002-11-21,1679070000
2002-11-22,1679070000
2002-11-25,1711662000
2002-11-26,1704096000
2002-11-27,1758804000
2002-11-29,1742508000
2002-12-02,1741926000
2002-12-03,1694202000
2002-12-04,1671504000
2002-12-05,1651134000
2002-12-06,1668012000
2002-12-09,1644150000
2002-12-10,1666848000
2002-12-11,1661610000
2002-12-12,1662774000
2002-12-13,1642986000
2002-12-16,1676160000
2002-12-17,1658118000
2002-12-18,1641240000
2002-12-19,1632510000
2002-12-20,1643568000
2002-12-23,1642986000
2002-12-24,1622616000
2002-12-26,1629600000
2002-12-27,1613304000
2002-12-30,1624362000
2002-12-31,1636002000
2003-01-02,1677324000
2003-01-03,1635420000
2003-01-06,1663356000
2003-01-07,1639494000
2003-01-08,1605156000
2003-01-09,1641240000
2003-01-10,1629018000
2003-01-13,1629018000
2003-01-14,1622034000
2003-01-15,1603992000
2003-01-16,1617960000
2003-01-17,1570818000
2003-01-21,1532406000
2003-01-22,1516692000
2003-01-23,1501560000
2003-01-24,1461402000
2003-01-27,1439868000
2003-01-28,1447434000
2003-01-29,1463148000
2003-01-30,1441032000
2003-01-31,1484100000
2003-02-03,1485264000
2003-02-04,1463730000
2003-02-05,1476534000
2003-02-06,1460820000
2003-02-07,1443360000
2003-02-10,1456164000
2003-02-11,1447434000
2003-02-12,1441614000
2003-02-13,1432302000
2003-02-14,1456164000
2003-02-18,1491084000
2003-02-19,1472460000
2003-02-20,1466058000
2003-02-21,1474206000
2003-02-24,1449762000
2003-02-25,1469550000
2003-02-26,1452090000
2003-02-27,1458492000
2003-02-28,1454418000
2003-03-03,1440450000
2003-03-04,1385742000
2003-03-05,1367700000
2003-03-06,1357806000
2003-03-07,1367118000
2003-03-10,1350240000
2003-03-11,1332780000
2003-03-12,1353732000
2003-03-13,1421826000
2003-03-14,1425318000
2003-03-17,1487010000
2003-03-18,1512618000
2003-03-19,1507962000
2003-03-20,1519020000
2003-03-21,1573146000
2003-03-24,1504470000
2003-03-25,1499814000
2003-03-26,1487010000
2003-03-27,1488174000
2003-03-28,1461402000
2003-03-31,1441032000
2003-04-01,1470132000
2003-04-02,1522512000
2003-04-03,1518438000
2003-04-04,1541718000
2003-04-07,1564416000
2003-04-08,1560924000
2003-04-09,1554522000
2003-04-10,1563834000
2003-04-11,1574892000
2003-04-14,1608066000
2003-04-15,1619706000
2003-04-16,1599336000
2003-04-17,1637748000
2003-04-21,1642986000
2003-04-22,1656954000
2003-04-23,1648224000
2003-04-24,1654626000
2003-04-25,1628436000
2003-04-28,1687800000
2003-04-29,1688964000
2003-04-30,1708170000
2003-05-01,1705260000
2003-05-02,1720392000
2003-05-05,1722138000
2003-05-06,1734942000
2003-05-07,1741926000
2003-05-08,1741926000
2003-05-09,1754730000
2003-05-12,1813512000
2003-05-13,1803618000
2003-05-14,1797216000
2003-05-15,1791978000
2003-05-16,1782084000
2003-05-19,1727958000
2003-05-20,1731450000
2003-05-21,1721556000
2003-05-22,1727958000
2003-05-23,1716900000
2003-05-27,1746000000
2003-05-28,1743090000
2003-05-29,1730286000
2003-05-30,1769862000
2003-06-02,1791396000
2003-06-03,1798962000
2003-06-04,1818750000
2003-06-05,1832718000
2003-06-06,1825152000
2003-06-09,1784994000
2003-06-10,1805946000
2003-06-11,1842030000
2003-06-12,1840284000
2003-06-13,1818750000
2003-06-16,1862400000
2003-06-17,1869383999
2003-06-18,1833300000
2003-06-19,1828062000
2003-06-20,1819332000
2003-06-23,1783830000
2003-06-24,1797798000
2003-06-25,1793142000
2003-06-26,1711080000
2003-06-27,1693038000
2003-06-30,1692449000
2003-07-01,1693615000
2003-07-02,1715769000
2003-07-03,1684870000
2003-07-07,1700028000
2003-07-08,1700611000
2003-07-09,1675542000
2003-07-10,1670295000
2003-07-11,1683121000
2003-07-14,1666797000
2003-07-15,1663882000
2003-07-16,1656886000
2003-07-17,1670878000
2003-07-18,1659801000
2003-07-21,1635315000
2003-07-22,1638230000
2003-07-23,1646392000
2003-07-24,1632400000
2003-07-25,1662716000
2003-07-28,1645809000
2003-07-29,1632400000
2003-07-30,1634149000
2003-07-31,1651056000
2003-08-01,1625404000
2003-08-04,1611995000
2003-08-05,1584011000
2003-08-06,1590424000
2003-08-07,1606748000
2003-08-08,1617242000
2003-08-11,1618408000
2003-08-12,1625987000
2003-08-13,1652805000
2003-08-14,1685453000
2003-08-15,1693615000
2003-08-18,1705275000
2003-08-19,1725097000
2003-08-20,1728012000
2003-08-21,1743753000
2003-08-22,1698862000
2003-08-25,1694781000
2003-08-26,1694198000
2003-08-27,1695947000
2003-08-28,1710522000
2003-08-29,1719850000
2003-09-02,1723348000
2003-09-03,1737340000
2003-09-04,1729761000
2003-09-05,1691283000
2003-09-08,1695364000
2003-09-09,1690700000
2003-09-10,1680789000
2003-09-11,1688951000
2003-09-12,1691866000
2003-09-15,1690700000
2003-09-16,1690700000
2003-09-17,1711688000
2003-09-18,1729761000
2003-09-19,1704692000
2003-09-22,1688368000
2003-09-23,1687202000
2003-09-24,1655137000
2003-09-25,1625987000
2003-09-26,1598003000
2003-09-29,1606320000
2003-09-30,1609230000
2003-10-01,1638330000
2003-10-02,1649388000
2003-10-03,1673250000
2003-10-06,1683144000
2003-10-07,1687800000
2003-10-08,1690128000
2003-10-09,1681980000
2003-10-10,1668012000
2003-10-13,1684890000
2003-10-14,1703514000
2003-10-15,1690710000
2003-10-16,1687218000
2003-10-17,1658700000
2003-10-20,1651134000
2003-10-21,1645896000
2003-10-22,1626108000
2003-10-23,1662192000
2003-10-24,1650552000
2003-10-27,1675578000
2003-10-28,1693038000
2003-10-29,1683726000
2003-10-30,1689546000
2003-10-31,1707588000
2003-11-03,1717482000
2003-11-04,1708170000
2003-11-05,1732032000
2003-11-06,1722138000
2003-11-07,1711080000
2003-11-10,1686054000
2003-11-11,1661610000
2003-11-12,1705260000
2003-11-13,1734942000
2003-11-14,1731450000
2003-11-17,1704096000
2003-11-18,1692456000
2003-11-19,1707588000
2003-11-20,1688382000
2003-11-21,1687800000
2003-11-24,1713990000
2003-11-25,1743090000
2003-11-26,1737852000
2003-11-28,1747164000
2003-12-01,1777428000
2003-12-02,1781502000
2003-12-03,1765788000
2003-12-04,1783830000
2003-12-05,1767534000
2003-12-08,1777428000
2003-12-09,1806528000
2003-12-10,1776264000
2003-12-11,1810020000
2003-12-12,1815258000
2003-12-15,1816422000
2003-12-16,1801290000
2003-12-17,1791978000
2003-12-18,1832718000
2003-12-19,1850760000
2003-12-22,1857744000
2003-12-23,1861236000
2003-12-24,1846104000
2003-12-26,1859490000
2003-12-29,1882188000
2003-12-30,1879278000
2003-12-31,1876368000
2004-01-02,1850760000
2004-01-05,1857162000
2004-01-06,1837374000
2004-01-07,1881024000
2004-01-08,1888590000
2004-01-09,1852506000
2004-01-12,1882770000
2004-01-13,1898483999
2004-01-14,1938642000
2004-01-15,1956683999
2004-01-16,1964832000
2004-01-20,1945044000
2004-01-21,1858908000
2004-01-22,1829808000
2004-01-23,1834464000
2004-01-26,1837374000
2004-01-27,1823988000
2004-01-28,1817004000
2004-01-29,1804200000
2004-01-30,1812930000
2004-02-02,1810602000
2004-02-03,1804200000
2004-02-04,1780338000
2004-02-05,1798962000
2004-02-06,1826898000
2004-02-09,1812930000
2004-02-10,1827480000
2004-02-11,1828644000
2004-02-12,1826898000
2004-02-13,1818750000
2004-02-17,1832718000
2004-02-18,1826316000
2004-02-19,1833882000
2004-02-20,1840866000
2004-02-23,1825152000
2004-02-24,1830390000
2004-02-25,1825152000
2004-02-26,1854834000
2004-02-27,1862400000
2004-03-01,1863564000
2004-03-02,1864146000
2004-03-03,1908959999
2004-03-04,1920600000
2004-03-05,1929330000
2004-03-08,1907214000
2004-03-09,1886844000
2004-03-10,1853088000
2004-03-11,1801290000
2004-03-12,1820496000
2004-03-15,1795470000
2004-03-16,1819914000
2004-03-17,1864728000
2004-03-18,1853670000
2004-03-19,1845522000
2004-03-22,1839702000
2004-03-23,1839702000
2004-03-24,1832718000
2004-03-25,1875785999
2004-03-26,1862982000
2004-03-29,1885098000
2004-03-30,1892082000
2004-03-31,1882188000
2004-04-01,1873457999
2004-04-02,1932240000
2004-04-05,1936755000
2004-04-06,1969179000
2004-04-07,1930965000
2004-04-08,1917647999
2004-04-12,1926333000
2004-04-13,1928649000
2004-04-14,1900278000
2004-04-15,1909541999
2004-04-16,1910700000
2004-04-19,1907805000
2004-04-20,1880591999
2004-04-21,1873065000
2004-04-22,1925754000
2004-04-23,1942544999
2004-04-26,1947177000
2004-04-27,1979600999
2004-04-28,1952966999
2004-04-29,1937334000
2004-04-30,1955862000
2004-05-03,1985969999
2004-05-04,1972653000
2004-05-05,1960494000
2004-05-06,1953546000
2004-05-07,1886382000
2004-05-10,1886961000
2004-05-11,1904910000
2004-05-12,1905488999
2004-05-13,1906647000
2004-05-14,1911858000
2004-05-17,1877697000
2004-05-18,1882908000
2004-05-19,1870169999
2004-05-20,1900857000
2004-05-21,1917647999
2004-05-24,1926333000
2004-05-25,1936175999
2004-05-26,1928649000
2004-05-27,1937913000
2004-05-28,1947177000
2004-06-01,1962231000
2004-06-02,1956441000
2004-06-03,1937334000
2004-06-04,1913594999
2004-06-07,1969179000
2004-06-08,1959915000
2004-06-09,1930386000
2004-06-10,1932702000
2004-06-14,1905488999
2004-06-15,1928069999
2004-06-16,1936755000
2004-06-17,1940808000
2004-06-18,1948913999
2004-06-21,1945440000
2004-06-22,1944282000
2004-06-23,1957019999
2004-06-24,1936175999
2004-06-25,1945440000
2004-06-28,1939650000
2004-06-29,1927491000
2004-06-30,1942544999
2004-07-01,1952966999
2004-07-02,1945440000
2004-07-06,1924295000
2004-07-07,1921409999
2004-07-08,1901215000
2004-07-09,1911023999
2004-07-12,1891983000
2004-07-13,1894291000
2004-07-14,1871787999
2004-07-15,1870056999
2004-07-16,1861979000
2004-07-19,1919102000
2004-07-20,1928334000
2004-07-21,1898906999
2004-07-22,1911601000
2004-07-23,1917948000
2004-07-26,1868903000
2004-07-27,1872942000
2004-07-28,1872365000
2004-07-29,1885059000
2004-07-30,1852747000
2004-08-02,1883328000
2004-08-03,1846400000
2004-08-04,1864287000
2004-08-05,1842938000
2004-08-06,1801394000
2004-08-09,1800240000
2004-08-10,1842361000
2004-08-11,1823320000
2004-08-12,1804856000
2004-08-13,1796201000
2004-08-16,1837745000
2004-08-17,1855055000
2004-08-18,1855631999
2004-08-19,1836591000
2004-08-20,1848708000
2004-08-23,1826782000
