,PNC
2001-04-19,19779840000
2001-04-20,19540800000
2001-04-23,19198080000
2001-04-24,18956159999
2001-04-25,18921600000
2001-04-26,18345600000
2001-04-27,19059840000
2001-04-30,18740159999
2001-05-01,18936000000
2001-05-02,18676800000
2001-05-03,18374400000
2001-05-04,18691200000
2001-05-07,18388800000
2001-05-08,18437760000
2001-05-09,18420480000
2001-05-10,18345600000
2001-05-11,18190080000
2001-05-14,18437760000
2001-05-15,18601920000
2001-05-16,19324800000
2001-05-17,19232640000
2001-05-18,19275840000
2001-05-21,19324800000
2001-05-22,19782720000
2001-05-23,19843200000
2001-05-24,19987200000
2001-05-25,19915200000
2001-05-29,19929600000
2001-05-30,19877760000
2001-05-31,19944000000
2001-06-01,20162880000
2001-06-04,20476800000
2001-06-05,20390400000
2001-06-06,20240640000
2001-06-07,20085120000
2001-06-08,19860480000
2001-06-11,19869120000
2001-06-12,19866240000
2001-06-13,19684800000
2001-06-14,19402560000
2001-06-15,19241280000
2001-06-18,19336320000
2001-06-19,19224000000
2001-06-20,19296000000
2001-06-21,19944000000
2001-06-22,19641600000
2001-06-25,19180800000
2001-06-26,19028159999
2001-06-27,18944640000
2001-06-28,18881280000
2001-06-29,18947520000
2001-07-02,18933200000
2001-07-03,18738720000
2001-07-05,18701540000
2001-07-06,18384080000
2001-07-09,18346900000
2001-07-10,17969380000
2001-07-11,17972240000
2001-07-12,18218200000
2001-07-13,18504200000
2001-07-16,17637620000
2001-07-17,17766320000
2001-07-18,18018000000
2001-07-19,17946500000
2001-07-20,17949360000
2001-07-23,18092360000
2001-07-24,17963660000
2001-07-25,18086640000
2001-07-26,18195320000
2001-07-27,18472740000
2001-07-30,18610019999
2001-07-31,18976100000
2001-08-01,18941780000
2001-08-02,19170580000
2001-08-03,19121960000
2001-08-06,19230640000
2001-08-07,19259240000
2001-08-08,19190600000
2001-08-09,19202040000
2001-08-10,19313580000
2001-08-13,19490900000
2001-08-14,19456580000
2001-08-15,19536660000
2001-08-16,19413680000
2001-08-17,19333600000
2001-08-20,19713980000
2001-08-21,19762600000
2001-08-22,19962800000
2001-08-23,19925620000
2001-08-24,19565260000
2001-08-27,19305000000
2001-08-28,19164860000
2001-08-29,18590000000
2001-08-30,18850260000
2001-08-31,19044740000
2001-09-04,18504200000
2001-09-05,18181020000
2001-09-06,17872140000
2001-09-07,17194320000
2001-09-10,17145700000
2001-09-17,16313440000
2001-09-18,16453580000
2001-09-19,16116100000
2001-09-20,15446860000
2001-09-21,14992120000
2001-09-24,15815800000
2001-09-25,15873000000
2001-09-26,15807220000
2001-09-27,16116100000
2001-09-28,16373500000
2001-10-01,16210240000
2001-10-02,16470600000
2001-10-03,16728130000
2001-10-04,16563990000
2001-10-05,15870640000
2001-10-08,15666880000
2001-10-09,15381050000
2001-10-10,15644240000
2001-10-11,15774420000
2001-10-12,15635750000
2001-10-15,15635750000
2001-10-16,15814040000
2001-10-17,15672540000
2001-10-18,15004660000
2001-10-19,14891460000
2001-10-22,15423500000
2001-10-23,15692350000
2001-10-24,15876300000
2001-10-25,16388529999
2001-10-26,16343250000
2001-10-29,15958370000
2001-10-30,15862150000
2001-10-31,15536700000
2001-11-01,15768760000
2001-11-02,15774420000
2001-11-05,16023460000
2001-11-06,16442300000
2001-11-07,16484750000
2001-11-08,16767750000
2001-11-09,16668700000
2001-11-12,16428150000
2001-11-13,16835670000
2001-11-14,16903590000
2001-11-15,16314950000
2001-11-16,15748950000
2001-11-19,16054590000
2001-11-20,15955540000
2001-11-21,15887620000
2001-11-23,16102700000
2001-11-26,16261180000
2001-11-27,16235710000
2001-11-28,15907430000
2001-11-29,16131000000
2001-11-30,16399850000
2001-12-03,16031950000
2001-12-04,16173450000
2001-12-05,16470600000
2001-12-06,16575310000
2001-12-07,16640400000
2001-12-10,16425320000
2001-12-11,16371550000
2001-12-12,16176279999
2001-12-13,15884790000
2001-12-14,15763100000
2001-12-17,15785740000
2001-12-18,15947050000
2001-12-19,16099870000
2001-12-20,16065910000
2001-12-21,15777250000
2001-12-24,15723480000
2001-12-26,15706500000
2001-12-27,15681029999
2001-12-28,15904600000
2001-12-31,15904600000
2002-01-02,15808380000
2002-01-03,16555500000
2002-01-04,16804540000
2002-01-07,17195080000
2002-01-08,17056410000
2002-01-09,16917740000
2002-01-10,17011130000
2002-01-11,16965850000
2002-01-14,16838500000
2002-01-15,17186590000
2002-01-16,17064900000
2002-01-17,17243190000
2002-01-18,17336580000
2002-01-22,17299790000
2002-01-23,17390350000
2002-01-24,17724290000
2002-01-25,17546000000
2002-01-28,17509210000
2002-01-29,15870640000
2002-01-30,15765930000
2002-01-31,16343250000
2002-02-01,16320610000
2002-02-04,15505570000
2002-02-05,15301810000
2002-02-06,15310300000
2002-02-07,15262190000
2002-02-08,15763100000
2002-02-11,15995160000
2002-02-12,16085720000
2002-02-13,16300800000
2002-02-14,16201750000
2002-02-15,16116850000
2002-02-19,15664050000
2002-02-20,15791400000
2002-02-21,15420670000
2002-02-22,15282000000
2002-02-25,15706500000
2002-02-26,15678200000
2002-02-27,15788570000
2002-02-28,15548020000
2002-03-01,15763100000
2002-03-04,16204580000
2002-03-05,16187600000
2002-03-06,16484750000
2002-03-07,16394190000
2002-03-08,16385700000
2002-03-11,16665870000
2002-03-12,16903590000
2002-03-13,16980000000
2002-03-14,17115840000
2002-03-15,17560150000
2002-03-18,17514870000
2002-03-19,17645050000
2002-03-20,17370540000
2002-03-21,17353560000
2002-03-22,17438460000
2002-03-25,17197910000
2002-03-26,17412990000
2002-03-27,17673350000
2002-03-28,17401670000
2002-04-01,17093200000
2002-04-02,17059240000
2002-04-03,16810200000
2002-04-04,16824350000
2002-04-05,16883779999
2002-04-08,16855480000
2002-04-09,16937550000
2002-04-10,16866800000
2002-04-11,16521540000
2002-04-12,16527200000
2002-04-15,16227220000
2002-04-16,16640400000
2002-04-17,16691340000
2002-04-18,16521540000
2002-04-19,16470600000
2002-04-22,16329100000
2002-04-23,16164960000
2002-04-24,16173450000
2002-04-25,16034779999
2002-04-26,15842340000
2002-04-29,15494250000
2002-04-30,15607450000
2002-05-01,15565000000
2002-05-02,15811210000
2002-05-03,15731970000
2002-05-06,15511230000
2002-05-07,15579150000
2002-05-08,15890450000
2002-05-09,15726310000
2002-05-10,15440480000
2002-05-13,15550850000
2002-05-14,15986670000
2002-05-15,16074400000
2002-05-16,15935730000
2002-05-17,16031950000
2002-05-20,15731970000
2002-05-21,15675370000
2002-05-22,15579150000
2002-05-23,15751779999
2002-05-24,15692350000
2002-05-28,15647070000
2002-05-29,15703670000
2002-05-30,15706500000
2002-05-31,15918750000
2002-06-03,15556510000
2002-06-04,15434820000
2002-06-05,15550850000
2002-06-06,15313130000
2002-06-07,15338600000
2002-06-10,15358410000
2002-06-11,15231060000
2002-06-12,15081070000
2002-06-13,14905610000
2002-06-14,15069750000
2002-06-17,15502740000
2002-06-18,15522550000
2002-06-19,15296150000
2002-06-20,15038620000
2002-06-21,14894290000
2002-06-24,14846180000
2002-06-25,14648080000
2002-06-26,14433000000
2002-06-27,14628270000
2002-06-28,14795240000
2002-07-01,14665760000
2002-07-02,14080720000
2002-07-03,13930200000
2002-07-05,14506720000
2002-07-08,14503880000
2002-07-09,14029600000
2002-07-10,13211680000
2002-07-11,13549640000
2002-07-12,13490000000
2002-07-15,13447400000
2002-07-16,13305400000
2002-07-17,13234400000
2002-07-18,11271960000
2002-07-19,10533560000
2002-07-22,10505160000
2002-07-23,10224000000
2002-07-24,10979439999
2002-07-25,11155520000
2002-07-26,11181080000
2002-07-29,12033080000
2002-07-30,11999000000
2002-07-31,11970600000
2002-08-01,11746240000
2002-08-02,11612760000
2002-08-05,11118600000
2002-08-06,11592880000
2002-08-07,11820080000
2002-08-08,12368200000
2002-08-09,12379560000
2002-08-12,12328439999
2002-08-13,11967760000
2002-08-14,12447720000
2002-08-15,12660720000
2002-08-16,12538600000
2002-08-19,12740240000
2002-08-20,12683439999
2002-08-21,12975960000
2002-08-22,13177600000
2002-08-23,13313920000
2002-08-26,13575200000
2002-08-27,13595080000
2002-08-28,13120800000
2002-08-29,12808400000
2002-08-30,13089560000
2002-09-03,12589720000
2002-09-04,12896439999
2002-09-05,12791360000
2002-09-06,13064000000
2002-09-09,13348000000
2002-09-10,13103760000
2002-09-11,13106600000
2002-09-12,12870880000
2002-09-13,12723200000
2002-09-16,12623800000
2002-09-17,12359680000
2002-09-18,12169400000
2002-09-19,11757600000
2002-09-20,11973439999
2002-09-23,11996160000
2002-09-24,11644000000
2002-09-25,12251760000
2002-09-26,12407960000
2002-09-27,11891080000
2002-09-30,11934110000
2002-10-01,12500110000
2002-10-02,11682240000
2002-10-03,10813430000
2002-10-04,10683250000
2002-10-07,10219130000
2002-10-08,10804940000
2002-10-09,10287050000
2002-10-10,10833240000
2002-10-11,11308680000
2002-10-14,11336980000
2002-10-15,11871850000
2002-10-16,11588850000
2002-10-17,10454020000
2002-10-18,10725700000
2002-10-21,10881350000
2002-10-22,11039830000
2002-10-23,11407730000
2002-10-24,11325660000
2002-10-25,11404900000
2002-10-28,11532250000
2002-10-29,11427540000
2002-10-30,11560550000
2002-10-31,11506779999
2002-11-01,11730350000
2002-11-04,11786950000
2002-11-05,11857700000
2002-11-06,11608660000
2002-11-07,11189820000
2002-11-08,11107750000
2002-11-11,11070960000
2002-11-12,11158690000
2002-11-13,11198310000
2002-11-14,11467160000
2002-11-15,11577529999
2002-11-18,11232270000
2002-11-19,11280380000
2002-11-20,11724690000
2002-11-21,12041650000
2002-11-22,11922790000
2002-11-25,11871850000
2002-11-26,11730350000
2002-11-27,12050140000
2002-11-29,11942600000
2002-12-02,11837890000
2002-12-03,11716200000
2002-12-04,11789779999
2002-12-05,11546400000
2002-12-06,11755820000
2002-12-09,11464330000
2002-12-10,11738840000
2002-12-11,11767140000
2002-12-12,11665260000
2002-12-13,11484140000
2002-12-16,11939770000
2002-12-17,11795440000
2002-12-18,11503950000
2002-12-19,11509610000
2002-12-20,11801100000
2002-12-23,11829400000
2002-12-24,11730350000
2002-12-26,11809590000
2002-12-27,11611490000
2002-12-30,11874680000
2002-12-31,11857700000
2003-01-02,12324650000
2003-01-03,12502940000
2003-01-06,12805750000
2003-01-07,12834050000
2003-01-08,12783110000
2003-01-09,12720850000
2003-01-10,12630290000
2003-01-13,12599160000
2003-01-14,12712360000
2003-01-15,12395400000
2003-01-16,12703870000
2003-01-17,12791600000
2003-01-21,12618970000
2003-01-22,12497279999
2003-01-23,12692550000
2003-01-24,12276540000
2003-01-27,12200130000
2003-01-28,12372760000
2003-01-29,12508600000
2003-01-30,12350120000
2003-01-31,12463320000
2003-02-03,12525580000
2003-02-04,12347290000
2003-02-05,12251070000
2003-02-06,12135040000
2003-02-07,12183150000
2003-02-10,12169000000
2003-02-11,11982220000
2003-02-12,11945430000
2003-02-13,11942600000
2003-02-14,12268050000
2003-02-18,12477470000
2003-02-19,12551050000
2003-02-20,12542560000
2003-02-21,12735000000
2003-02-24,12522750000
2003-02-25,12477470000
2003-02-26,12347290000
2003-02-27,12587840000
2003-02-28,12715190000
2003-03-03,12576520000
2003-03-04,12551050000
2003-03-05,12740660000
2003-03-06,12553880000
2003-03-07,12882160000
2003-03-10,12352950000
2003-03-11,12143529999
2003-03-12,12027500000
2003-03-13,12341630000
2003-03-14,12132210000
2003-03-17,12517090000
2003-03-18,12468980000
2003-03-19,12601990000
2003-03-20,12729340000
2003-03-21,12853860000
2003-03-24,12429360000
2003-03-25,12463320000
2003-03-26,12273710000
2003-03-27,12222770000
2003-03-28,12152020000
2003-03-31,11908780000
2003-04-01,12026800000
2003-04-02,12282510000
2003-04-03,12158870000
2003-04-04,12217880000
2003-04-07,12212260000
2003-04-08,12260030000
2003-04-09,11891920000
2003-04-10,12029610000
2003-04-11,12043660000
2003-04-14,12394910000
2003-04-15,12476400000
2003-04-16,12217880000
2003-04-17,12237550000
2003-04-21,12223500000
2003-04-22,12431440000
2003-04-23,12490450000
2003-04-24,12282510000
2003-04-25,12195400000
2003-04-28,12313420000
2003-04-29,12302180000
2003-04-30,12335900000
2003-05-01,12268459999
2003-05-02,12411770000
2003-05-05,12406150000
2003-05-06,12546650000
2003-05-07,12473590000
2003-05-08,12414580000
2003-05-09,12588800000
2003-05-12,12813600000
2003-05-13,13240720000
2003-05-14,13108650000
2003-05-15,13277250000
2003-05-16,13353120000
2003-05-19,12920380000
2003-05-20,12934430000
2003-05-21,13125510000
2003-05-22,13249150000
2003-05-23,13428990000
2003-05-27,13482380000
2003-05-28,13488000000
2003-05-29,13369980000
2003-05-30,13839250000
2003-06-02,13830820000
2003-06-03,13681890000
2003-06-04,14007850000
2003-06-05,13957270000
2003-06-06,13726850000
2003-06-09,13465520000
2003-06-10,13527340000
2003-06-11,13816770000
2003-06-12,13861730000
2003-06-13,13740900000
2003-06-16,14010660000
2003-06-17,13872970000
2003-06-18,13645360000
2003-06-19,13409320000
2003-06-20,13628500000
2003-06-23,13524530000
2003-06-24,13586350000
2003-06-25,13507670000
2003-06-26,13656600000
2003-06-27,13659410000
2003-06-30,13569180000
2003-07-01,13663700000
2003-07-02,13635900000
2003-07-03,13521920000
2003-07-07,13744320000
2003-07-08,13872200000
2003-07-09,13599760000
2003-07-10,13449640000
2003-07-11,13432960000
2003-07-14,13622000000
2003-07-15,13413500000
2003-07-16,13380140000
2003-07-17,13182760000
2003-07-18,13338440000
2003-07-21,13344000000
2003-07-22,13524700000
2003-07-23,13583080000
2003-07-24,13591420000
2003-07-25,13816600000
2003-07-28,13797140000
2003-07-29,13744320000
2003-07-30,13755440000
2003-07-31,13608100000
2003-08-01,13483000000
2003-08-04,13510800000
2003-08-05,13168860000
2003-08-06,13227240000
2003-08-07,13318980000
2003-08-08,13405160000
2003-08-11,13332880000
2003-08-12,13577520000
2003-08-13,13452420000
2003-08-14,13452420000
2003-08-15,13430180000
2003-08-18,13494120000
2003-08-19,13521920000
2003-08-20,13491340000
2003-08-21,13363460000
2003-08-22,13057660000
2003-08-25,13168860000
2003-08-26,13188320000
2003-08-27,13113260000
2003-08-28,13171640000
2003-08-29,13232800000
2003-09-02,13344000000
2003-09-03,13371800000
2003-09-04,13483000000
2003-09-05,13460760000
2003-09-08,13566400000
2003-09-09,13483000000
2003-09-10,13344000000
2003-09-11,13382920000
2003-09-12,13427400000
2003-09-15,13349560000
2003-09-16,13344000000
2003-09-17,13302300000
2003-09-18,13502460000
2003-09-19,13599760000
2003-09-22,13399600000
2003-09-23,13349560000
2003-09-24,13274500000
2003-09-25,13129940000
2003-09-26,13202220000
2003-09-29,13246700000
2003-09-30,13179660000
2003-10-01,13525910000
2003-10-02,13464970000
2003-10-03,13520370000
2003-10-06,13650560000
2003-10-07,13755820000
2003-10-08,13586850000
2003-10-09,13669950000
2003-10-10,13647790000
2003-10-13,13844460000
2003-10-14,13886010000
2003-10-15,13631170000
2003-10-16,13780750000
2003-10-17,13805680000
2003-10-20,13949720000
2003-10-21,14115920000
2003-10-22,14066060000
2003-10-23,14115920000
2003-10-24,14068830000
2003-10-27,14611750000
2003-10-28,14750250000
2003-10-29,14750250000
2003-10-30,14811190000
2003-10-31,14838890000
2003-11-03,14999550000
2003-11-04,14974620000
2003-11-05,15060490000
2003-11-06,15243310000
2003-11-07,15235000000
2003-11-10,15024480000
2003-11-11,15027250000
2003-11-12,15096500000
2003-11-13,15129740000
2003-11-14,14960770000
2003-11-17,14844430000
2003-11-18,14766870000
2003-11-19,14764100000
2003-11-20,14722550000
2003-11-21,14722550000
2003-11-24,14908140000
2003-11-25,15043870000
2003-11-26,15043870000
2003-11-28,15057720000
2003-12-01,15168520000
2003-12-02,15043870000
2003-12-03,14880440000
2003-12-04,14852740000
2003-12-05,14642220000
2003-12-08,14802880000
2003-12-09,14683770000
2003-12-10,14606210000
2003-12-11,14775180000
2003-12-12,14697620000
2003-12-15,14492640000
2003-12-16,14783490000
2003-12-17,14769640000
2003-12-18,14866590000
2003-12-19,14833350000
2003-12-22,14872130000
2003-12-23,14949690000
2003-12-24,14938610000
2003-12-26,14974620000
2003-12-29,15107580000
2003-12-30,15168520000
2003-12-31,15433860000
2004-01-02,15366180000
2004-01-05,15160320000
2004-01-06,15287220000
2004-01-07,15242100000
2004-01-08,15194160000
2004-01-09,15242100000
2004-01-12,15143400000
2004-01-13,14906520000
2004-01-14,14977020000
2004-01-15,15349260000
2004-01-16,15484619999
2004-01-20,15366180000
2004-01-21,15518460000
2004-01-22,15490260000
2004-01-23,15600240000
2004-01-26,15800460000
2004-01-27,15792000000
2004-01-28,15862500000
2004-01-29,15890700000
2004-01-30,15935820000
2004-02-02,15933000000
2004-02-03,15724320000
2004-02-04,15772260000
2004-02-05,15789180000
2004-02-06,15992220000
2004-02-09,15916080000
2004-02-10,16031700000
2004-02-11,16175520000
2004-02-12,16161420000
2004-02-13,16121940000
2004-02-17,16124760000
2004-02-18,16006320000
2004-02-19,15913260000
2004-02-20,15935820000
2004-02-23,16200900000
2004-02-24,16054260000
2004-02-25,16113480000
2004-02-26,16260119999
2004-02-27,16530840000
2004-03-01,16491360000
2004-03-02,16313700000
2004-03-03,16356000000
2004-03-04,16412400000
2004-03-05,16553400000
2004-03-08,16516740000
2004-03-09,16488540000
2004-03-10,16217820000
2004-03-11,15927360000
2004-03-12,16110660000
2004-03-15,15893520000
2004-03-16,15989400000
2004-03-17,16223460000
2004-03-18,16074000000
2004-03-19,15772260000
2004-03-22,15600240000
2004-03-23,15636900000
2004-03-24,15504360000
2004-03-25,15727140000
2004-03-26,15600240000
2004-03-29,15729960000
2004-03-30,15732780000
2004-03-31,15573020000
2004-04-01,15648890000
2004-04-02,15426900000
2004-04-05,15438140000
2004-04-06,15508390000
2004-04-07,15483100000
2004-04-08,15424090000
2004-04-12,15376320000
2004-04-13,14985730000
2004-04-14,14586709999
2004-04-15,14454640000
2004-04-16,14595140000
2004-04-19,14347860000
2004-04-20,14328190000
2004-04-21,14333810000
2004-04-22,14763740000
2004-04-23,14749690000
2004-04-26,14724400000
2004-04-27,14822750000
2004-04-28,14654150000
2004-04-29,14738450000
2004-04-30,14921100000
2004-05-03,15185240000
2004-05-04,15190860000
2004-05-05,15303260000
2004-05-06,15207720000
2004-05-07,14862090000
2004-05-10,14822750000
2004-05-11,14898620000
2004-05-12,14966060000
2004-05-13,15078459999
2004-05-14,15061600000
2004-05-17,14999780000
2004-05-18,15165570000
2004-05-19,15314500000
2004-05-20,15356650000
2004-05-21,15440950000
2004-05-24,15581450000
2004-05-25,15550540000
2004-05-26,15589880000
2004-05-27,15561780000
2004-05-28,15514010000
2004-06-01,15449380000
2004-06-02,15440950000
2004-06-03,15410040000
2004-06-04,15373510000
2004-06-07,15474670000
2004-06-08,15491530000
2004-06-09,15342600000
2004-06-10,15356650000
2004-06-14,15070030000
2004-06-15,15185240000
2004-06-16,15134660000
2004-06-17,15089700000
2004-06-18,14943580000
2004-06-21,14921100000
2004-06-22,15140280000
2004-06-23,15244250000
2004-06-24,15098130000
2004-06-25,14949200000
2004-06-28,14971680000
2004-06-29,14780600000
2004-06-30,14915480000
2004-07-01,14752500000
2004-07-02,14819940000
2004-07-06,14741260000
2004-07-07,14848040000
2004-07-08,14836800000
2004-07-09,14856470000
2004-07-12,14836800000
2004-07-13,14738450000
2004-07-14,14527700000
2004-07-15,14395630000
2004-07-16,14207360000
2004-07-19,14120250000
2004-07-20,14094959999
2004-07-21,13887020000
2004-07-22,13965700000
2004-07-23,13962890000
2004-07-26,14047190000
2004-07-27,14117440000
2004-07-28,14165209999
2004-07-29,14260750000
2004-07-30,14218600000
2004-08-02,14294470000
2004-08-03,14097770000
2004-08-04,14280420000
2004-08-05,14066860000
2004-08-06,13929170000
2004-08-09,13996610000
2004-08-10,14286040000
2004-08-11,14277610000
2004-08-12,14263560000
2004-08-13,14333810000
2004-08-16,14789030000
2004-08-17,14828370000
2004-08-18,14876140000
2004-08-19,14791840000
2004-08-20,14932340000
2004-08-23,14752500000
