,META
2014-06-24,171206373830
2014-06-25,175687124941
2014-06-26,174879547706
2014-06-27,176103938998
2014-06-30,177031895282
2014-07-01,179057672654
2014-07-02,174821956330
2014-07-03,174401015578
2014-07-07,171770135874
2014-07-08,165114010223
2014-07-09,170928254368
2014-07-10,170665166398
2014-07-11,174532559563
2014-07-14,178636731901
2014-07-15,176716189717
2014-07-16,178005320772
2014-07-17,174716721142
2014-07-18,180004789347
2014-07-21,182583051457
2014-07-22,182241037096
2014-07-23,187555414098
2014-07-24,197263360205
2014-07-25,197815844943
2014-07-28,197105507423
2014-07-29,193922142981
2014-07-30,196474096294
2014-07-31,191133410495
2014-08-01,190370455381
2014-08-04,193395967041
2014-08-05,191238645683
2014-08-06,190659852148
2014-08-07,192501467941
2014-08-08,192212071174
2014-08-11,193211805461
2014-08-12,191606968842
2014-08-13,194079995764
2014-08-14,195474362007
2014-08-15,193711672605
2014-08-18,196237317121
2014-08-19,198078932914
2014-08-20,196816110656
2014-08-21,196184699527
2014-08-22,196184699527
2014-08-25,197368595394
2014-08-26,199841622315
2014-08-27,196342552309
2014-08-28,194316774937
2014-08-29,196842419453
2014-09-02,201735855702
2014-09-03,199499607954
2014-09-04,199815313518
2014-09-05,203261765931
2014-09-08,204919220144
2014-09-09,201709546905
2014-09-10,203709015480
2014-09-11,204998146535
2014-09-12,203840559465
2014-09-15,196211008324
2014-09-16,200157327880
2014-09-17,201078135776
2014-09-18,202577737208
2014-09-19,204971837738
2014-09-22,202051561267
2014-09-23,205971572026
2014-09-24,206629291952
2014-09-25,203156530742
2014-09-26,207287011878
2014-09-29,207839496616
2014-09-30,220989659862
2014-10-01,214027814555
2014-10-02,215509653114
2014-10-03,216516184966
2014-10-06,216851695583
2014-10-07,213300874884
2014-10-08,216739858711
2014-10-09,212238424597
2014-10-10,203850659167
2014-10-13,204074332911
2014-10-14,205751885997
2014-10-15,204689435710
2014-10-16,203067801060
2014-10-17,212350261469
2014-10-20,215146183279
2014-10-21,220011087228
2014-10-22,219116392249
2014-10-23,223785581672
2014-10-24,225547012412
2014-10-27,224456602906
2014-10-28,225826604593
2014-10-29,212098628506
2014-10-30,207205765339
2014-10-31,209666176531
2014-11-03,206562703322
2014-11-04,211819036325
2014-11-05,209218829042
2014-11-06,210421075420
2014-11-07,211371688835
2014-11-10,209694135750
2014-11-11,208603726244
2014-11-12,208911277643
2014-11-13,207597194392
2014-11-14,209358625132
2014-11-17,207569235174
2014-11-18,207848827355
2014-11-19,205024946327
2014-11-20,205779845215
2014-11-21,206199233487
2014-11-24,206926173158
2014-11-25,211455566490
2014-11-26,217019450892
2014-11-28,217243124637
2014-12-01,209973727930
2014-12-02,210980259782
2014-12-03,209358625132
2014-12-04,210365156984
2014-12-05,213496589411
2014-12-08,213943936901
2014-12-09,214838631880
2014-12-10,212993323485
2014-12-11,217327002291
2014-12-12,217606594472
2014-12-15,215258020151
2014-12-16,208827399988
2014-12-17,212797608959
2014-12-18,219200269904
2014-12-19,223338234182
2014-12-22,227727831424
2014-12-23,225379257104
2014-12-24,225826604593
2014-12-26,225854563811
2014-12-29,223729663236
2014-12-30,221492925788
2014-12-31,219969424158
2015-01-02,221181765255
2015-01-05,217629323901
2015-01-06,214697150085
2015-01-07,214697150085
2015-01-08,220420527822
2015-01-09,219179992746
2015-01-12,216304206888
2015-01-13,215542969455
2015-01-14,215063671812
2015-01-15,208776414495
2015-01-16,211962334122
2015-01-20,214950895896
2015-01-21,216360594846
2015-01-22,218926246935
2015-01-23,219433738557
2015-01-26,218503337250
2015-01-27,213653972862
2015-01-28,214950895896
2015-01-29,219913036200
2015-01-30,214020494589
2015-02-02,211426648521
2015-02-03,212582601660
2015-02-04,213231063177
2015-02-05,213174675219
2015-02-06,209960561613
2015-02-09,209875979676
2015-02-10,211990528101
2015-02-11,215712133329
2015-02-12,214922701917
2015-02-13,213541196946
2015-02-17,213146481239
2015-02-18,216276012908
2015-02-19,223916581218
2015-02-20,225269892210
2015-02-23,222281330436
2015-02-24,221181765255
2015-02-25,224311296924
2015-02-26,226707785139
2015-02-27,222647852163
2015-03-02,224846982525
2015-03-03,224424072839
2015-03-04,228089290110
2015-03-05,228963303458
2015-03-06,225580025979
2015-03-09,223972969176
2015-03-10,218644307145
2015-03-11,218700695102
2015-03-12,222535076247
2015-03-13,220054006095
2015-03-16,220110394052
2015-03-17,223747417344
2015-03-18,228117484089
2015-03-19,233305176225
2015-03-20,236265544020
2015-03-23,238041764697
2015-03-24,240522834849
2015-03-25,233784473868
2015-03-26,234038219679
2015-03-27,234855845070
2015-03-30,234573905280
2015-03-31,233024020852
2015-04-01,231465236961
2015-04-02,231153480183
2015-04-06,233647534408
2015-04-07,233307436104
2015-04-08,233194070003
2015-04-09,232882313225
2015-04-10,232513873397
2015-04-13,235263001349
2015-04-14,236708419138
2015-04-15,234412755590
2015-04-16,233279094579
2015-04-17,228942841211
2015-04-20,235489733551
2015-04-21,236991834391
2015-04-22,239854328444
2015-04-23,233562509832
2015-04-24,231068455607
2015-04-27,232145433568
2015-04-28,228659425959
2015-04-29,228064253928
2015-04-30,223246194630
2015-05-01,223869708186
2015-05-04,223359560731
2015-05-05,219816870071
2015-05-06,221347312436
2015-05-07,222282582771
2015-05-08,222509314973
2015-05-11,221092238709
2015-05-12,219533454818
2015-05-13,222310924296
2015-05-14,230614991203
2015-05-15,227922546301
2015-05-18,229226256464
2015-05-19,228517718332
2015-05-20,228290986130
2015-05-21,228092595453
2015-05-22,228262644605
2015-05-26,224833320046
2015-05-27,228290986130
2015-05-28,227157325119
2015-05-29,224436538692
2015-06-01,227554106473
2015-06-02,227979229352
2015-06-03,233647534408
2015-06-04,232542214922
2015-06-05,232797288649
2015-06-08,228631084433
2015-06-09,228631084433
2015-06-10,232853971700
2015-06-11,231918701366
2015-06-12,231068455607
2015-06-15,228744450534
2015-06-16,229736403919
2015-06-17,231805335265
2015-06-18,234979586096
2015-06-19,233845925085
2015-06-22,240166085222
2015-06-23,249065324160
2015-06-24,251842793638
2015-06-25,249348739413
2015-06-26,249433763989
2015-06-29,243170286902
2015-06-30,244189539754
2015-07-01,247435150986
2015-07-02,248517021396
2015-07-06,249257248519
2015-07-07,248317729479
2015-07-08,243847896467
2015-07-09,244502712768
2015-07-10,250396059478
2015-07-13,256517168379
2015-07-14,255321416873
2015-07-15,255549179064
2015-07-16,258652438926
2015-07-17,270382191798
2015-07-20,278752452342
2015-07-21,280119025492
2015-07-22,276275538507
2015-07-23,271720294674
2015-07-24,276019306042
2015-07-27,268104569881
2015-07-28,271293240564
2015-07-29,276133187138
2015-07-30,271065478373
2015-07-31,267649045497
2015-08-03,268019159059
2015-08-04,267791396867
2015-08-05,274567322070
2015-08-06,270809245907
2015-08-07,268474683442
2015-08-10,268047629333
2015-08-11,266538704813
2015-08-12,268161510429
2015-08-13,265997769608
2015-08-14,268816326730
2015-08-17,267421283306
2015-08-18,270951597277
2015-08-19,271350181112
2015-08-20,257826800981
2015-08-21,245015177699
2015-08-24,233712478937
2015-08-25,236303273868
2015-08-26,248232318657
2015-08-27,255463768243
2015-08-28,259107963309
2015-08-31,254609660024
2015-09-01,248346199753
2015-09-02,255919292626
2015-09-03,250965464957
2015-09-04,251278637970
2015-09-08,254894362763
2015-09-09,257485157694
2015-09-10,261869579884
2015-09-11,262068871801
2015-09-14,262809098924
2015-09-15,264488845088
2015-09-16,266054710156
2015-09-17,268588564538
2015-09-18,268759386182
2015-09-21,272033467687
2015-09-22,264659666732
2015-09-23,267535164402
2015-09-24,268787856456
2015-09-25,264118731526
2015-09-28,253983313997
2015-09-29,246751864411
2015-09-30,257572226593
2015-10-01,260580578516
2015-10-02,263789487234
2015-10-05,269347775550
2015-10-06,265881008096
2015-10-07,264734969268
2015-10-08,264935526062
2015-10-09,267141650806
2015-10-12,270064049818
2015-10-13,269662936228
2015-10-14,269519681374
2015-10-15,274934714837
2015-10-16,279461568207
2015-10-19,282126108482
2015-10-20,277914415790
2015-10-21,278229576467
2015-10-22,285564224966
2015-10-23,292784269583
2015-10-26,297311122953
2015-10-27,297110566159
2015-10-28,298543114694
2015-10-29,300491380701
2015-10-30,292153948227
2015-11-02,295993178301
2015-11-03,293901657440
2015-11-04,297798189455
2015-11-05,311607957333
2015-11-06,306851896197
2015-11-09,305104186984
2015-11-10,309172624823
2015-11-11,312324231600
2015-11-12,309487785501
2015-11-13,297826840426
2015-11-16,298084699162
2015-11-17,301207654969
2015-11-18,308771511233
2015-11-19,304445214658
2015-11-20,307482217552
2015-11-23,306422131636
2015-11-24,302955364181
2015-11-25,302009882148
2015-11-27,302124486031
2015-11-30,298657718576
2015-12-01,306909198138
2015-12-02,303900846214
2015-12-03,299058832166
2015-12-04,304216006892
2015-12-07,302582901562
2015-12-08,305104186984
2015-12-09,299689153522
2015-12-10,302038533119
2015-12-11,292583712788
2015-12-14,299861059346
2015-12-15,299545898668
2015-12-16,305963716105
2015-12-17,304330610775
2015-12-18,298084699162
2015-12-21,300176220023
2015-12-22,302296391855
2015-12-23,299775106434
2015-12-24,300892494291
2015-12-28,303499732625
2015-12-29,307310311728
2015-12-30,304330610775
2015-12-31,302988109141
2016-01-04,295924369543
2016-01-05,297400806918
2016-01-06,298095600977
2016-01-07,283475975990
2016-01-08,281767940595
2016-01-11,282289036139
2016-01-12,287673690095
2016-01-13,276296437382
2016-01-14,284778714850
2016-01-15,274935799017
2016-01-19,275775341838
2016-01-20,273140914365
2016-01-21,272590869069
2016-01-22,283533875495
2016-01-25,280841548517
2016-01-26,281796890348
2016-01-27,273430411890
2016-01-28,315870748981
2016-01-29,324845172241
2016-02-01,333182700947
2016-02-02,331793112829
2016-02-03,326234760359
2016-02-04,319865814820
2016-02-05,301280073747
2016-02-08,288773780688
2016-02-09,288165835887
2016-02-10,292392499745
2016-02-11,295026927217
2016-02-12,295316424742
2016-02-16,294158434644
2016-02-17,304551395774
2016-02-18,299543088600
2016-02-19,302727561369
2016-02-22,310225547254
2016-02-23,305304089337
2016-02-24,309414954185
2016-02-25,312859974727
2016-02-26,312425728440
2016-02-29,309530753195
2016-03-01,317926181405
2016-03-02,318302528187
2016-03-03,317231387347
2016-03-04,313786366805
2016-03-07,306085732653
2016-03-08,306664727702
2016-03-09,311238788589
2016-03-10,310688743293
2016-03-11,316739241555
2016-03-14,318128829673
2016-03-15,320386910364
2016-03-16,324758322984
2016-03-17,321400151699
2016-03-18,322644991055
2016-03-21,323802981153
2016-03-22,324960971251
2016-03-23,325800514072
2016-03-24,327276951447
2016-03-28,329129735604
2016-03-29,336222424954
2016-03-30,332053660601
2016-03-31,332264474158
2016-04-01,337972084757
2016-04-04,327750802511
2016-04-05,326789827257
2016-04-06,331128776131
2016-04-07,330924932895
2016-04-08,322159673761
2016-04-11,317383917953
2016-04-12,322101432836
2016-04-13,321810228214
2016-04-14,322771203468
2016-04-15,319276747999
2016-04-18,321635505440
2016-04-19,326993670492
2016-04-20,327372236502
2016-04-21,330342523650
2016-04-22,321955830525
2016-04-25,320616289262
2016-04-26,316714147322
2016-04-27,317092713331
2016-04-28,339923155727
2016-04-29,342398395017
2016-05-02,345281320779
2016-05-03,341961588084
2016-05-04,343796177205
2016-05-05,343068165649
2016-05-06,347960403305
2016-05-09,347232391749
2016-05-10,350901569992
2016-05-11,348047764692
2016-05-12,350260919822
2016-05-13,348892258097
2016-05-16,345572525402
2016-05-17,341728624386
2016-05-18,342602238253
2016-05-19,340156119425
2016-05-20,341728624386
2016-05-23,337710000597
2016-05-24,342747840564
2016-05-25,343301129347
2016-05-26,347902162381
2016-05-27,347640078221
2016-05-31,345980211873
2016-06-01,345892850486
2016-06-02,346329657420
2016-06-03,344990116157
2016-06-06,345921970948
2016-06-07,342922563338
2016-06-08,344757152459
2016-06-09,345252200317
2016-06-10,339602830642
2016-06-13,331827667224
2016-06-14,334710592986
2016-06-15,333720497270
2016-06-16,333108967563
2016-06-17,329119464236
2016-06-20,330138680414
2016-06-21,333079847101
2016-06-22,331711185375
2016-06-23,335118279457
2016-06-24,326382140785
2016-06-27,317325677029
2016-06-28,328187609444
2016-06-29,332439196931
2016-06-30,334062196969
2016-07-01,333799109834
2016-07-05,333828341738
2016-07-06,341136317696
2016-07-07,338651605870
2016-07-08,342714840502
2016-07-11,344556450444
2016-07-12,344731841867
2016-07-13,341370172926
2016-07-14,342861000022
2016-07-15,341604028157
2016-07-18,348941236018
2016-07-19,352565992093
2016-07-20,356395371495
2016-07-21,352565992093
2016-07-22,353706036343
2016-07-25,355547646284
2016-07-26,354349138227
2016-07-27,360546301839
2016-07-28,365398797875
2016-07-29,362300216069
2016-08-01,363381796510
2016-08-02,359815504243
2016-08-03,358120053821
2016-08-04,363527956029
2016-08-05,365837276432
2016-08-08,366158827374
2016-08-09,365574189297
2016-08-10,365048015029
2016-08-11,365106478836
2016-08-12,365048015029
2016-08-15,362183288453
2016-08-16,360429374223
2016-08-17,363557187933
2016-08-18,362212520357
2016-08-19,361189403723
2016-08-22,362914086049
2016-08-23,363557187933
2016-08-24,360955548492
2016-08-25,362154056549
2016-08-26,365281870259
2016-08-29,369900511064
2016-08-30,367854277796
2016-08-31,368672771103
2016-09-01,368818930623
2016-09-02,369812815353
2016-09-06,379225488386
2016-09-07,383084099692
2016-09-08,380804011193
2016-09-09,371537497679
2016-09-12,376185370388
2016-09-13,371859048621
2016-09-14,373496035235
2016-09-15,375191485658
2016-09-16,377296182733
2016-09-19,376068442772
2016-09-20,376039210869
2016-09-21,379839358367
2016-09-22,380248605020
2016-09-23,374051441408
2016-09-26,372151367659
2016-09-27,376185370388
2016-09-28,377763893195
2016-09-29,374431456158
2016-09-30,375907228501
2016-10-03,377372525252
2016-10-04,375672781021
2016-10-05,376493347201
2016-10-06,377284607447
2016-10-07,378017255822
2016-10-10,381680497700
2016-10-11,377694890537
2016-10-12,378193091433
2016-10-13,374588461425
2016-10-14,374764297035
2016-10-17,373767895245
2016-10-18,376786406552
2016-10-19,381299520545
2016-10-20,380977155260
2016-10-21,387043483809
2016-10-24,390589501946
2016-10-25,387688214379
2016-10-26,384024972502
2016-10-27,380068671274
2016-10-28,384757620877
2016-10-31,383878442826
2016-11-01,379511858509
2016-11-02,372683575649
2016-11-03,351671220240
2016-11-04,353869165366
2016-11-07,357971996269
2016-11-08,364038324818
2016-11-09,360990507576
2016-11-10,354015695041
2016-11-11,348799238608
2016-11-14,337252700210
2016-11-15,343465558434
2016-11-16,340945248022
2016-11-17,345194608600
2016-11-18,342938051604
2016-11-21,356858370738
2016-11-22,355979192687
2016-11-23,354132918781
2016-11-25,352784845770
2016-11-28,352872763575
2016-11-29,354220836586
2016-11-30,347040882506
2016-12-01,337311312080
2016-12-02,338190490130
2016-12-05,344139594939
2016-12-06,343787923719
2016-12-07,345663503560
2016-12-08,348476873322
2016-12-09,350733430319
2016-12-12,345135996730
2016-12-13,352579704225
2016-12-14,352286644875
2016-12-15,353341658536
2016-12-16,351290243084
2016-12-19,349443969178
2016-12-20,349004380153
2016-12-21,348857850478
2016-12-22,344051677134
2016-12-23,343670699979
2016-12-27,345839339171
2016-12-28,342644992253
2016-12-29,340974553957
2016-12-30,337164782405
2017-01-03,343474710767
2017-01-04,348853443615
2017-01-05,354673056206
