,AIG
2001-06-11,187759266500
2001-06-12,187550897000
2001-06-13,186761976000
2001-06-14,187295349500
2001-06-15,189846893000
2001-06-18,191470602500
2001-06-19,194044424500
2001-06-20,194254104500
2001-06-21,199008598500
2001-06-22,197198798000
2001-06-25,195877814000
2001-06-26,195877814000
2001-06-27,196990428500
2001-06-28,200655897000
2001-06-29,197176519500
2001-07-02,200532180000
2001-07-03,201853970000
2001-07-05,197819170000
2001-07-06,195662910000
2001-07-09,197587300000
2001-07-10,194828440000
2001-07-11,193599660000
2001-07-12,194990880000
2001-07-13,195941940000
2001-07-16,197749740000
2001-07-17,197355430000
2001-07-18,197495600000
2001-07-19,196845840000
2001-07-20,194782590000
2001-07-23,193042910000
2001-07-24,192186170000
2001-07-25,191675270000
2001-07-26,190771370000
2001-07-27,189473160000
2001-07-30,191582260000
2001-07-31,193020640000
2001-08-01,191512830000
2001-08-02,191165680000
2001-08-03,189287140000
2001-08-06,188962260000
2001-08-07,189889740000
2001-08-08,189310720000
2001-08-09,188730390000
2001-08-10,189380150000
2001-08-13,187687630000
2001-08-14,186203400000
2001-08-15,188823400000
2001-08-16,188220800000
2001-08-17,183652830000
2001-08-20,181173000000
2001-08-21,181381290000
2001-08-22,179873480000
2001-08-23,179456900000
2001-08-24,178993160000
2001-08-27,177949090000
2001-08-28,178993160000
2001-08-29,181079990000
2001-08-30,182007470000
2001-08-31,181311860000
2001-09-04,177370070000
2001-09-05,171549740000
2001-09-06,175166650000
2001-09-07,169603080000
2001-09-10,172175920000
2001-09-17,164617220000
2001-09-18,162415110000
2001-09-19,161140480000
2001-09-20,159749260000
2001-09-21,155459010000
2001-09-24,164617220000
2001-09-25,170530560000
2001-09-26,175051370000
2001-09-27,176210720000
2001-09-28,180848120000
2001-10-01,177587265000
2001-10-02,181543760000
2001-10-03,186750225000
2001-10-04,185454492500
2001-10-05,182863027500
2001-10-08,177840920000
2001-10-09,178998057500
2001-10-10,186750225000
2001-10-11,194503700000
2001-10-12,193669515000
2001-10-15,196400882500
2001-10-16,199039417500
2001-10-17,197627317500
2001-10-18,192073057500
2001-10-19,188833072500
2001-10-22,196262287500
2001-10-23,193971547500
