,FANG
2016-01-11,4091097600
2016-01-12,4156441520
2016-01-13,4226757260
2016-01-14,4451909680
2016-01-15,4486002160
2016-01-19,4295652480
2016-01-20,4326193660
2016-01-21,4552766600
2016-01-22,4699790420
2016-01-25,4409294080
2016-01-26,4725359780
2016-01-27,4848945020
2016-01-28,5169982540
2016-01-29,5366014300
2016-02-01,5156487600
2016-02-02,5060602500
2016-02-03,5318426880
2016-02-04,5113872000
2016-02-05,4780760060
2016-02-08,4968268700
2016-02-09,4763003560
2016-02-10,4782180580
2016-02-11,4822665400
2016-02-12,4910027380
2016-02-16,4827637220
2016-02-17,5003071440
2016-02-18,4989576500
2016-02-19,5119554080
2016-02-22,5234616200
2016-02-23,4971109740
2016-02-24,5093984720
2016-02-25,5082620560
2016-02-26,5156487600
2016-02-29,5060602500
2016-03-01,5148674740
2016-03-02,5255924000
2016-03-03,5150095260
2016-03-04,5397265740
2016-03-07,5415022240
2016-03-08,5283624140
2016-03-09,5305642200
2016-03-10,5332632080
2016-03-11,5570569180
2016-03-14,5398686260
2016-03-15,5467581480
2016-03-16,5476814860
2016-03-17,5503804740
2016-03-18,5513038120
2016-03-21,5543579300
2016-03-22,5541448520
2016-03-23,5447694200
2016-03-24,5499543180
2016-03-28,5430647960
2016-03-29,5480366160
2016-03-30,5613184780
2016-03-31,5530284816
2016-04-01,5500906522
2016-04-04,5338967630
2016-04-05,5288093022
2016-04-06,5495174172
2016-04-07,5665711589
2016-04-08,5807587255
2016-04-11,5773909698
2016-04-12,5879241632
2016-04-13,5832666287
2016-04-14,5856312232
2016-04-15,5740232141
2016-04-18,5862761126
2016-04-19,5897155227
2016-04-20,5979557760
2016-04-21,5915068821
2016-04-22,5996038267
2016-04-25,6053361768
2016-04-26,6198820154
2016-04-27,6336396558
2016-04-28,6225332273
2016-04-29,6203835960
2016-05-02,6277639968
2016-05-03,6083456607
2016-05-04,6031148912
2016-05-05,6282655775
2016-05-06,6123583058
2016-05-09,6142929740
2016-05-10,6263309093
2016-05-11,6197387066
2016-05-12,6243962411
2016-05-13,6125732689
2016-05-16,6203835960
2016-05-17,6229631536
2016-05-18,6228914992
2016-05-19,6228914992
2016-05-20,6235363886
2016-05-23,6222466098
2016-05-24,6303435544
2016-05-25,6430263791
2016-05-26,6585753790
2016-05-27,6653825448
2016-05-31,6516965588
2016-06-01,6558525126
2016-06-02,6622297522
2016-06-03,6456775911
2016-06-06,6511233237
2016-06-07,6777787520
2016-06-08,6673172130
2016-06-09,6605100471
2016-06-10,6401602041
2016-06-13,6360042502
2016-06-14,6438862317
2016-06-15,6386554622
2016-06-16,6251844393
2016-06-17,6270474531
2016-06-20,6377956096
2016-06-21,6514815956
2016-06-22,6505500887
2016-06-23,6549926601
2016-06-24,6253994024
2016-06-27,6002487161
2016-06-28,6349294345
2016-06-29,6505500887
2016-06-30,6779943302
2016-07-01,6730139969
2016-07-05,6655063303
2016-07-06,6727166636
2016-07-07,6585189970
2016-07-08,6627559970
2016-07-11,6667699970
2016-07-12,6835693302
2016-07-13,6767306636
2016-07-14,6855763302
2016-07-15,6759129969
2016-07-18,6732369969
2016-07-19,6646886636
2016-07-20,6651346636
2016-07-21,6554713303
2016-07-22,6558429970
2016-07-25,6344349971
2016-07-26,6384489971
2016-07-27,6345093304
2016-07-28,6387463304
2016-07-29,6525723304
2016-08-01,6388949971
2016-08-02,6381516638
2016-08-03,6492273304
2016-08-04,6608976637
2016-08-05,6909283302
2016-08-08,6965033302
2016-08-09,7008146635
2016-08-10,6934556635
2016-08-11,6999226635
2016-08-12,7030446635
2016-08-15,7169449967
2016-08-16,7062409968
2016-08-17,7083966634
2016-08-18,7325549967
2016-08-19,7328523300
2016-08-22,7172423301
2016-08-23,7179856634
2016-08-24,7150123301
2016-08-25,7155326634
2016-08-26,7160529967
2016-08-29,7237093300
2016-08-30,7173166634
2016-08-31,7080249968
2016-09-01,7081736634
2016-09-02,7164246634
2016-09-06,7221483300
2016-09-07,7326293300
2016-09-08,7309939967
2016-09-09,7139716634
2016-09-12,7108496634
2016-09-13,6756899969
2016-09-14,6582959970
2016-09-15,6681079970
2016-09-16,6666956636
2016-09-19,6637223303
2016-09-20,6567349970
2016-09-21,6644656636
2016-09-22,6764333303
2016-09-23,6609719970
2016-09-26,6713043303
2016-09-27,6580729970
2016-09-28,6941246635
2016-09-29,7101063301
2016-09-30,7753610100
2016-10-03,7431546950
2016-10-04,7356050850
2016-10-05,7605830500
2016-10-06,7633137600
2016-10-07,7605830500
2016-10-10,8449941149
2016-10-11,8420224600
2016-10-12,8396130100
2016-10-13,8315011950
2016-10-14,8103783500
2016-10-17,8069248050
2016-10-18,8008208649
2016-10-19,8288508000
2016-10-20,8212208750
2016-10-21,8211405600
2016-10-24,7999374000
2016-10-25,7825893600
2016-10-26,7714255750
2016-10-27,7772885700
2016-10-28,7548806850
2016-10-31,7331956350
2016-11-01,7373720150
2016-11-02,7331153200
2016-11-03,7433956400
2016-11-04,7364082350
2016-11-07,7546397399
2016-11-08,7528728100
2016-11-09,7883720400
2016-11-10,7820271550
2016-11-11,7669279350
2016-11-14,7575310799
2016-11-15,7763247900
2016-11-16,7837940850
2016-11-17,7864444800
2016-11-18,7798586500
2016-11-21,8068444899
2016-11-22,7967248000
2016-11-23,8093342550
2016-11-25,7986523600
2016-11-28,7770476250
2016-11-29,7662051000
2016-11-30,8661972750
2016-12-01,8834650000
2016-12-02,8685264100
2016-12-05,8588082950
2016-12-06,8536681350
2016-12-07,8464397850
2016-12-08,8614586900
2016-12-09,8516602600
2016-12-12,8432271850
2016-12-13,8455563200
2016-12-14,8152775650
2016-12-15,8126271700
2016-12-16,8188114250
2016-12-19,8453153750
2016-12-20,8245137900
2016-12-21,8147956750
2016-12-22,8250759950
2016-12-23,8266822950
2016-12-27,8340712750
2016-12-28,8267626100
2016-12-29,8196145750
2016-12-30,8116633900
2017-01-03,9618873250
2017-01-04,9648684770
2017-01-05,9658000870
2017-01-06,9657069260
2017-01-09,9449320230
2017-01-10,9568566310
2017-01-11,9680359510
2017-01-12,9648684770
2017-01-13,9442798960
2017-01-17,9357090840
2017-01-18,9364543720
2017-01-19,9526643860
2017-01-20,9605830710
2017-01-23,9520122590
2017-01-24,9664522140
2017-01-25,9793084320
2017-01-26,9940278700
2017-01-27,9938415480
2017-01-30,9549002500
2017-01-31,9797742370
2017-02-01,9852707360
2017-02-02,9747435430
2017-02-03,9727871620
2017-02-06,9822895840
2017-02-07,9327279320
2017-02-08,9368270160
2017-02-09,9682222730
2017-02-10,9762341190
2017-02-13,9716692300
2017-02-14,10031576480
2017-02-15,10419126240
2017-02-16,10155480610
2017-02-17,10026918430
2017-02-21,9953321240
2017-02-22,9505216830
2017-02-23,9405534560
2017-02-24,9354296010
2017-02-27,9469815650
2017-02-28,9396218460
2017-03-01,9848049310
2017-03-02,9671975020
2017-03-03,9649616380
2017-03-06,9685017560
2017-03-07,9742777380
2017-03-08,9293741360
2017-03-09,9453978280
2017-03-10,9452115060
2017-03-13,9433482860
2017-03-14,9162384350
2017-03-15,9588130120
2017-03-16,9636573840
2017-03-17,9753025090
2017-03-20,9661727310
2017-03-21,9513601320
2017-03-22,9425098370
2017-03-23,9278835600
2017-03-24,9290946530
2017-03-27,9217349340
2017-03-28,9430688030
2017-03-29,9610488760
2017-03-30,9564839870
2017-03-31,10179288240
2017-04-03,10214619360
2017-04-04,10478621340
2017-04-05,10102737480
2017-04-06,10272523140
2017-04-07,10244061960
2017-04-10,10267616040
2017-04-11,10399126320
2017-04-12,10434457440
2017-04-13,10308835680
2017-04-17,10318649880
2017-04-18,10124328720
2017-04-19,9868178100
2017-04-20,9840698340
2017-04-21,9938840340
2017-04-24,9986929920
2017-04-25,10203823740
2017-04-26,10129235820
2017-04-27,9858363900
2017-04-28,9798497280
2017-05-01,9712132320
2017-05-02,9655209960
2017-05-03,9841679760
2017-05-04,9344099820
2017-05-05,9779850300
2017-05-08,9875048040
2017-05-09,9776906040
2017-05-10,10047777960
2017-05-11,9949635960
2017-05-12,10000669800
2017-05-15,10136105760
2017-05-16,10202842320
2017-05-17,9989874180
2017-05-18,9973190040
2017-05-19,10120403040
2017-05-22,10035019500
2017-05-23,9877992300
2017-05-24,9752370540
2017-05-25,9777887460
2017-05-26,9658154220
2017-05-30,9252827760
2017-05-31,9103651920
2017-06-01,9222403740
2017-06-02,9013361280
2017-06-05,8896572300
2017-06-06,9103651920
2017-06-07,8695381200
2017-06-08,8618830440
2017-06-09,8847501300
2017-06-12,8897553720
2017-06-13,9072246480
2017-06-14,8773894800
2017-06-15,8427453540
