,WELL
2001-04-05,640858350
2001-04-06,631873000
2001-04-09,628974500
2001-04-10,646945200
2001-04-11,649264000
2001-04-12,659408750
2001-04-16,652452350
2001-04-17,659118900
2001-04-18,647814750
2001-04-19,648684300
2001-04-20,640568500
2001-04-23,648974150
2001-04-24,659408750
2001-04-25,679698250
2001-04-26,688393750
2001-04-27,680857650
2001-04-30,676799750
2001-05-01,663756500
2001-05-02,650713250
2001-05-03,635061350
2001-05-04,642017750
2001-05-07,637670000
2001-05-08,636220750
2001-05-09,642307600
2001-05-10,633322250
2001-05-11,629844050
2001-05-14,637670000
2001-05-15,646365500
2001-05-16,657379800
2001-05-17,657089950
2001-05-18,648974150
2001-05-21,659408750
2001-05-22,667524550
2001-05-23,653032050
2001-05-24,672452000
2001-05-25,665205750
2001-05-29,662886950
2001-05-30,662307250
2001-05-31,659118900
2001-06-01,669553500
2001-06-04,669553500
2001-06-05,671002750
2001-06-06,666655000
2001-06-07,681147500
2001-06-08,671002750
2001-06-11,674770800
2001-06-12,687814050
2001-06-13,691292250
2001-06-14,690132850
2001-06-15,630423750
2001-06-18,642597450
2001-06-19,645495950
2001-06-20,649264000
2001-06-21,657379800
2001-06-22,656800100
2001-06-25,660278300
2001-06-26,667524550
2001-06-27,671872300
2001-06-28,673611400
2001-06-29,688393750
2001-07-02,797073750
2001-07-03,781937400
2001-07-05,780971250
2001-07-06,785802000
2001-07-09,781937400
2001-07-10,772920000
2001-07-11,769699500
2001-07-12,775818450
2001-07-13,778072800
2001-07-16,758749800
2001-07-17,790632750
2001-07-18,793853250
2001-07-19,804480900
2001-07-20,801904500
2001-07-23,785802000
2001-07-24,782581500
2001-07-25,796751700
2001-07-26,816396750
2001-07-27,791276850
2001-07-30,787412250
2001-07-31,792243000
2001-08-01,791276850
2001-08-02,798684000
2001-08-03,793853250
2001-08-06,796751700
2001-08-07,803514750
2001-08-08,809955750
2001-08-09,816396750
2001-08-10,822837750
2001-08-13,813498300
2001-08-14,811243950
2001-08-15,809633700
2001-08-16,811243950
2001-08-17,809955750
2001-08-20,813176250
2001-08-21,835719750
2001-08-22,842160750
2001-08-23,827668500
2001-08-24,827668500
2001-08-27,824448000
2001-08-28,821227500
2001-08-29,805125000
2001-08-30,789022500
2001-08-31,797395800
2001-09-04,788378400
2001-09-05,792243000
2001-09-06,780971250
2001-09-07,764868750
2001-09-10,760038000
2001-09-17,749088300
2001-09-18,779361000
2001-09-19,793853250
2001-09-20,771309750
2001-09-21,776140500
2001-09-24,782581500
2001-09-25,790954800
2001-09-26,785802000
2001-09-27,787412250
2001-09-28,811566000
2001-10-01,832874880
2001-10-02,836169480
2001-10-03,848359500
2001-10-04,841770300
2001-10-05,846053280
2001-10-08,839464080
2001-10-09,856596000
2001-10-10,867468180
2001-10-11,836828400
2001-10-12,849347880
2001-10-15,848359500
2001-10-16,842758680
2001-10-17,830568660
2001-10-18,828591900
2001-10-19,826615140
2001-10-22,825297300
2001-10-23,832215960
2001-10-24,842758680
2001-10-25,854948700
2001-10-26,855278160
2001-10-29,826285680
2001-10-30,828591900
2001-10-31,844405980
2001-11-01,858243300
2001-11-02,845064900
2001-11-05,841111380
2001-11-06,862526280
2001-11-07,854948700
2001-11-08,850006800
2001-11-09,852642480
2001-11-12,846053280
2001-11-13,847041660
2001-11-14,836828400
2001-11-15,831886500
2001-11-16,822991080
2001-11-19,813766200
2001-11-20,806188620
2001-11-21,816401880
2001-11-23,820355400
2001-11-26,817060800
2001-11-27,821343780
2001-11-28,826944600
2001-11-29,836169480
2001-11-30,822661620
2001-12-03,813766200
2001-12-04,838146240
2001-12-05,835181100
2001-12-06,820355400
2001-12-07,822002700
2001-12-10,813107280
2001-12-11,813766200
2001-12-12,804541320
2001-12-13,807177000
2001-12-14,813766200
2001-12-17,815413500
2001-12-18,817719720
2001-12-19,811130520
2001-12-20,790704000
2001-12-21,817060800
2001-12-24,815413500
2001-12-26,810471600
2001-12-27,812448360
2001-12-28,806847540
2001-12-31,802235100
2002-01-02,814425120
2002-01-03,833533800
2002-01-04,836828400
2002-01-07,844735440
2002-01-08,856596000
2002-01-09,851654100
2002-01-10,864173580
2002-01-11,856925460
2002-01-14,884600100
2002-01-15,888883080
2002-01-16,883282260
2002-01-17,882293880
2002-01-18,886247400
2002-01-22,884600100
2002-01-23,887565240
2002-01-24,887894700
2002-01-25,895142820
2002-01-28,910297980
2002-01-29,900084720
2002-01-30,902720400
2002-01-31,900414180
2002-02-01,895472280
2002-02-04,899425800
2002-02-05,906015000
2002-02-06,890859840
2002-02-07,897778500
2002-02-08,897778500
2002-02-11,898437420
2002-02-12,895801740
2002-02-13,902720400
2002-02-14,898766880
2002-02-15,908650680
2002-02-19,906015000
2002-02-20,932371800
2002-02-21,906015000
2002-02-22,914251500
2002-02-25,908980140
2002-02-26,904367700
2002-02-27,904367700
2002-02-28,896131200
2002-03-01,911286360
2002-03-04,915239880
2002-03-05,909309600
2002-03-06,919522860
2002-03-07,909309600
2002-03-08,906344460
2002-03-11,892507140
2002-03-12,885588480
2002-03-13,885259020
2002-03-14,891189300
2002-03-15,904367700
2002-03-18,907662300
2002-03-19,909309600
2002-03-20,900084720
2002-03-21,915239880
2002-03-22,917546100
2002-03-25,909639060
2002-03-26,921499620
2002-03-27,921170160
2002-03-28,919852320
2002-04-01,997804900
2002-04-02,1003830720
2002-04-03,1005957480
2002-04-04,1027579540
2002-04-05,1033250900
2002-04-08,1043884700
2002-04-09,1058063100
2002-04-10,1075786100
2002-04-11,1083229760
2002-04-12,1127891720
2002-04-15,1082875300
2002-04-16,1027934000
2002-04-17,1009147620
2002-04-18,1020135880
2002-04-19,1002767340
2002-04-22,983626500
2002-04-23,996032600
2002-04-24,1005603020
2002-04-25,1013046679
2002-04-26,987171100
2002-04-29,974765000
2002-04-30,999577200
2002-05-01,994614760
2002-05-02,1016591280
2002-05-03,1037504420
2002-05-06,1027934000
2002-05-07,1022262640
2002-05-08,1009502080
2002-05-09,988943400
2002-05-10,974765000
2002-05-13,978309600
2002-05-14,978309600
2002-05-15,986462179
2002-05-16,987171100
2002-05-17,988943400
2002-05-20,988943400
2002-05-21,972992700
2002-05-22,976182840
2002-05-23,981854200
2002-05-24,976537300
2002-05-28,979372980
2002-05-29,981854200
2002-05-30,987880020
2002-05-31,990715700
2002-06-03,991779080
2002-06-04,995323679
2002-06-05,995678140
2002-06-06,991779080
2002-06-07,997450440
2002-06-10,1000640580
2002-06-11,1004894100
2002-06-12,1013755600
2002-06-13,1018718040
2002-06-14,1029351840
2002-06-17,1029351840
2002-06-18,1029351840
2002-06-19,1011983300
2002-06-20,1024743860
2002-06-21,1038567800
2002-06-24,1033250900
2002-06-25,1035377660
2002-06-26,1031124140
2002-06-27,1033250900
2002-06-28,1061607700
2002-07-01,1143388800
2002-07-02,1118280600
2002-07-03,1106692200
2002-07-05,1117508040
2002-07-08,1112486400
2002-07-09,1118280600
2002-07-10,1108623600
2002-07-11,1076176080
2002-07-12,1093558680
2002-07-15,1081197720
2002-07-16,1100898000
2002-07-17,1120212000
2002-07-18,1118280600
2002-07-19,1093172400
2002-07-22,1049136480
2002-07-23,1033299000
2002-07-24,1046818800
2002-07-25,1081584000
2002-07-26,1118666880
2002-07-29,1127165040
2002-07-30,1135276920
2002-07-31,1139526000
2002-08-01,1124074800
2002-08-02,1110555000
2002-08-05,1100125440
2002-08-06,1124074800
2002-08-07,1137594600
2002-08-08,1119825720
2002-08-09,1112486400
2002-08-12,1100898000
2002-08-13,1090854720
2002-08-14,1104760800
2002-08-15,1097035200
2002-08-16,1095103800
2002-08-19,1087378200
2002-08-20,1091241000
2002-08-21,1095103800
2002-08-22,1093172400
2002-08-23,1090468440
2002-08-26,1098966600
2002-08-27,1091627280
2002-08-28,1093172400
2002-08-29,1094331240
2002-08-30,1097035200
2002-09-03,1092013560
2002-09-04,1098194040
2002-09-05,1091627280
2002-09-06,1102829400
2002-09-09,1092399840
2002-09-10,1084674240
2002-09-11,1080811440
2002-09-12,1071927000
2002-09-13,1081584000
2002-09-16,1080811440
2002-09-17,1062270000
2002-09-18,1051454160
2002-09-19,1041410880
2002-09-20,1042956000
2002-09-23,1033299000
2002-09-24,1037934360
2002-09-25,1031367600
2002-09-26,1054544400
2002-09-27,1043728560
2002-09-30,1093206850
2002-10-01,1085612360
2002-10-02,1079217000
2002-10-03,1076019320
2002-10-04,1059231500
2002-10-07,1020459630
2002-10-08,1018061370
2002-10-09,999275000
2002-10-10,1015263400
2002-10-11,1039246000
2002-10-14,1035248900
2002-10-15,1069224250
2002-10-16,1081215550
2002-10-17,1108395830
2002-10-18,1133177850
2002-10-21,1115990320
2002-10-22,1101201050
2002-10-23,1115190900
2002-10-24,1131978720
2002-10-25,1140772340
2002-10-28,1139173500
2002-10-29,1121586260
2002-10-30,1114391480
2002-10-31,1122385680
2002-11-01,1127981620
2002-11-04,1131579010
2002-11-05,1138773790
2002-11-06,1143170600
2002-11-07,1121186550
2002-11-08,1122385680
2002-11-11,1101201050
2002-11-12,1123185100
2002-11-13,1101201050
2002-11-14,1117189450
2002-11-15,1115190900
2002-11-18,1093206850
2002-11-19,1096404530
2002-11-20,1101201050
2002-11-21,1112792640
2002-11-22,1107196700
2002-11-25,1098802790
2002-11-26,1105198150
2002-11-27,1119188000
2002-11-29,1113192350
2002-12-02,1121985970
2002-12-03,1095605110
2002-12-04,1089209750
2002-12-05,1088410330
2002-12-06,1086411780
2002-12-09,1083214100
2002-12-10,1075619610
2002-12-11,1076818740
2002-12-12,1072022220
2002-12-13,1068025120
2002-12-16,1065227150
2002-12-17,1059231500
2002-12-18,1052036720
2002-12-19,1052036720
2002-12-20,1059231500
2002-12-23,1063228600
2002-12-24,1053635560
2002-12-26,1060430630
2002-12-27,1058432080
2002-12-30,1048039620
2002-12-31,1081215550
2003-01-02,1083214100
2003-01-03,1096404530
2003-01-06,1113991770
2003-01-07,1091208300
2003-01-08,1083214100
2003-01-09,1091208300
2003-01-10,1079616710
2003-01-13,1079217000
2003-01-14,1079217000
2003-01-15,1049238750
2003-01-16,1062029470
2003-01-17,1059231500
2003-01-21,1051237300
2003-01-22,1058432080
2003-01-23,1062429179
2003-01-24,1040445130
2003-01-27,1032051220
2003-01-28,1033250350
2003-01-29,1013264850
2003-01-30,1011266300
2003-01-31,1031251800
2003-02-03,1012065720
2003-02-04,1026455280
2003-02-05,1031251800
2003-02-06,1030852090
2003-02-07,1009267750
2003-02-10,1025256150
2003-02-11,1009267750
2003-02-12,999674710
2003-02-13,1007269200
2003-02-14,1003671810
2003-02-18,1014064270
2003-02-19,1008868039
2003-02-20,1002872390
2003-02-21,1010067170
2003-02-24,1000873840
2003-02-25,1023257600
2003-02-26,1012465429
2003-02-27,1026854990
2003-02-28,1029652960
2003-03-03,1015263400
2003-03-04,1025256150
2003-03-05,1042843390
2003-03-06,1023257600
2003-03-07,1030852090
2003-03-10,1020859340
2003-03-11,1028853539
2003-03-12,1041244550
2003-03-13,1049238750
2003-03-14,1040445130
2003-03-17,1068424830
2003-03-18,1069224250
2003-03-19,1065227150
2003-03-20,1056833240
2003-03-21,1049238750
2003-03-24,1046041070
2003-03-25,1042843390
2003-03-26,1055634110
2003-03-27,1052036720
2003-03-28,1052836140
2003-03-31,1062305200
2003-04-01,1087443720
2003-04-02,1095958380
2003-04-03,1095552920
2003-04-04,1094742000
2003-04-07,1106905800
2003-04-08,1104878500
2003-04-09,1106500340
2003-04-10,1110960400
2003-04-11,1110149480
2003-04-14,1124746040
2003-04-15,1134882540
2003-04-16,1147451800
2003-04-17,1153939160
2003-04-21,1165697500
2003-04-22,1185970500
2003-04-23,1190430560
2003-04-24,1185970500
2003-04-25,1183132280
2003-04-28,1158804680
2003-04-29,1159615600
2003-04-30,1154344620
2003-05-01,1150695480
2003-05-02,1154344620
2003-05-05,1157182840
2003-05-06,1171779400
2003-05-07,1170157560
2003-05-08,1173806700
2003-05-09,1183943200
2003-05-12,1191241480
2003-05-13,1185565040
2003-05-14,1184348660
2003-05-15,1188808720
2003-05-16,1191241480
2003-05-19,1185970500
2003-05-20,1193268780
2003-05-21,1196917920
2003-05-22,1198539760
2003-05-23,1210703560
2003-05-27,1213541780
2003-05-28,1209487180
2003-05-29,1177455840
2003-05-30,1206648960
2003-06-02,1202188900
2003-06-03,1204216200
2003-06-04,1216380000
2003-06-05,1211109020
2003-06-06,1215569080
2003-06-09,1189214180
2003-06-10,1212325400
2003-06-11,1214352700
2003-06-12,1209081720
2003-06-13,1198134300
2003-06-16,1234220240
2003-06-17,1221650980
2003-06-18,1215974540
2003-06-19,1206243500
2003-06-20,1209487180
2003-06-23,1192457860
2003-06-24,1203405280
2003-06-25,1218407300
2003-06-26,1228543800
2003-06-27,1230571100
2003-06-30,1347520500
2003-07-01,1353264030
2003-07-02,1368727380
2003-07-03,1371820050
2003-07-07,1391701500
2003-07-08,1388167020
2003-07-09,1398328650
2003-07-10,1397445030
2003-07-11,1391259690
2003-07-14,1386841590
2003-07-15,1389492450
2003-07-16,1396119600
2003-07-17,1379772630
2003-07-18,1381539870
2003-07-21,1365192900
2003-07-22,1375796340
2003-07-23,1392143310
2003-07-24,1386399780
2003-07-25,1393910550
2003-07-28,1400537700
2003-07-29,1381981680
2003-07-30,1391701500
2003-07-31,1391259690
2003-08-01,1348845930
2003-08-04,1331173530
2003-08-05,1316593800
2003-08-06,1308199410
2003-08-07,1313059320
2003-08-08,1336475250
2003-08-11,1340009730
2003-08-12,1329848100
2003-08-13,1304664930
2003-08-14,1311733890
2003-08-15,1304223120
2003-08-18,1307757600
2003-08-19,1313501130
2003-08-20,1332057150
2003-08-21,1332498960
2003-08-22,1309083030
2003-08-25,1309524840
2003-08-26,1315710180
2003-08-27,1325430000
2003-08-28,1325430000
2003-08-29,1327197240
2003-09-02,1346636880
2003-09-03,1361658420
2003-09-04,1365634710
2003-09-05,1360774800
2003-09-08,1364751090
2003-09-09,1354147650
2003-09-10,1336033440
2003-09-11,1355914890
2003-09-12,1356798510
2003-09-15,1344427830
2003-09-16,1354147650
2003-09-17,1343102400
2003-09-18,1355473080
2003-09-19,1362983850
2003-09-22,1354147650
2003-09-23,1343102400
2003-09-24,1351938600
2003-09-25,1337358870
2003-09-26,1336917060
2003-09-29,1359891180
2003-09-30,1560393000
2003-10-01,1586188800
2003-10-02,1600857000
2003-10-03,1602880200
2003-10-06,1603386000
2003-10-07,1605409200
2003-10-08,1603386000
2003-10-09,1645873200
2003-10-10,1635251400
2003-10-13,1625641200
2003-10-14,1648908000
2003-10-15,1649919599
2003-10-16,1658012400
2003-10-17,1659023999
2003-10-20,1651437000
2003-10-21,1651942799
2003-10-22,1638792000
2003-10-23,1645873200
2003-10-24,1643850000
2003-10-27,1671163200
2003-10-28,1666611000
2003-10-29,1696958999
2003-10-30,1675715400
2003-10-31,1676727000
2003-11-03,1733376600
2003-11-04,1756137600
2003-11-05,1750068000
2003-11-06,1763218800
2003-11-07,1751079599
2003-11-10,1729836000
2003-11-11,1722248999
2003-11-12,1767771000
2003-11-13,1768276800
2003-11-14,1756643399
2003-11-17,1734893999
2003-11-18,1724778000
2003-11-19,1722754800
2003-11-20,1713650400
2003-11-21,1720225800
2003-11-24,1749562200
2003-11-25,1755126000
2003-11-26,1764736200
2003-11-28,1766253600
2003-12-01,1775358000
2003-12-02,1762207200
2003-12-03,1755631800
2003-12-04,1754620200
2003-12-05,1761701400
2003-12-08,1788003000
2003-12-09,1784968200
2003-12-10,1779910200
2003-12-11,1785473999
2003-12-12,1787497200
2003-12-15,1757655000
2003-12-16,1755126000
2003-12-17,1771817400
2003-12-18,1760689800
2003-12-19,1757149200
2003-12-22,1764736200
2003-12-23,1779910200
2003-12-24,1784462400
2003-12-26,1791543600
2003-12-29,1815822000
2003-12-30,1818856800
2003-12-31,1820880000
2004-01-02,1815822000
2004-01-05,1824420600
2004-01-06,1827455400
2004-01-07,1828467000
2004-01-08,1833525000
2004-01-09,1823914800
2004-01-12,1836053999
2004-01-13,1833019200
2004-01-14,1845664200
2004-01-15,1855274400
2004-01-16,1841112000
2004-01-20,1851228000
2004-01-21,1842629400
2004-01-22,1846170000
2004-01-23,1871460000
2004-01-26,1918499400
2004-01-27,1948847400
2004-01-28,1896750000
2004-01-29,1885622400
2004-01-30,1957446000
2004-02-02,1940248800
2004-02-03,1873483200
2004-02-04,1850722200
2004-02-05,1836053999
2004-02-06,1856791800
2004-02-09,1872471600
2004-02-10,1877529599
2004-02-11,1871965800
2004-02-12,1856286000
2004-02-13,1847687400
2004-02-17,1848698999
2004-02-18,1840100400
2004-02-19,1836053999
2004-02-20,1842629400
2004-02-23,1828972799
2004-02-24,1852745400
2004-02-25,1876518000
2004-02-26,1893715200
2004-02-27,1909900800
2004-03-01,1937719800
2004-03-02,1925580600
2004-03-03,1962503999
2004-03-04,1976666400
2004-03-05,1984759200
2004-03-08,1963515600
2004-03-09,1956434400
2004-03-10,1924063200
2004-03-11,1911418200
2004-03-12,1950870600
2004-03-15,1906360200
2004-03-16,1919511000
2004-03-17,1952388000
2004-03-18,1959975000
2004-03-19,1963515600
2004-03-22,1956940200
2004-03-23,1983241800
2004-03-24,1943283600
2004-03-25,1982736000
2004-03-26,1958457600
2004-03-29,1975148999
2004-03-30,2015107200
2004-03-31,2080019200
2004-04-01,2085142400
2004-04-02,2046718400
2004-04-05,1918638400
2004-04-06,1760843839
2004-04-07,1801829440
2004-04-08,1769553280
2004-04-12,1659404480
2004-04-13,1647108800
2004-04-14,1668626240
2004-04-15,1722932160
2004-04-16,1741888000
2004-04-19,1741375680
2004-04-20,1675286400
2004-04-21,1698340800
2004-04-22,1729592320
2004-04-23,1695779200
2004-04-26,1700390080
2004-04-27,1712173440
2004-04-28,1662478400
2004-04-29,1626616000
2004-04-30,1636350080
2004-05-03,1620468160
2004-05-04,1674774080
2004-05-05,1639936320
2004-05-06,1623029760
2004-05-07,1528762880
2004-05-10,1485728000
2004-05-11,1510319360
2004-05-12,1514417920
2004-05-13,1499560640
2004-05-14,1507245440
2004-05-17,1530812160
2004-05-18,1551304960
2004-05-19,1503659200
2004-05-20,1545669440
2004-05-21,1536447680
2004-05-24,1569748480
2004-05-25,1595876800
2004-05-26,1624054400
2004-05-27,1630714560
2004-05-28,1662478400
2004-06-01,1615344960
2004-06-02,1644547200
2004-06-03,1623542080
2004-06-04,1628152960
2004-06-07,1651719680
2004-06-08,1656842880
2004-06-09,1634813120
2004-06-10,1626616000
2004-06-14,1581531840
2004-06-15,1626616000
2004-06-16,1648645760
2004-06-17,1651207359
2004-06-18,1643010240
2004-06-21,1665040000
2004-06-22,1634813120
2004-06-23,1629177600
2004-06-24,1624054400
2004-06-25,1618931200
2004-06-28,1642497920
2004-06-29,1624054400
2004-06-30,1674985000
2004-07-01,1674985000
2004-07-02,1717761540
2004-07-06,1717761540
2004-07-07,1731676800
2004-07-08,1706423180
2004-07-09,1700754000
2004-07-12,1754868899
2004-07-13,1734769079
2004-07-14,1744045920
2004-07-15,1758476559
2004-07-16,1750745860
2004-07-19,1764661120
2004-07-20,1755899660
2004-07-21,1726007620
2004-07-22,1660038980
2004-07-23,1674469620
2004-07-26,1649216000
2004-07-27,1667254300
2004-07-28,1632723840
2004-07-29,1628600800
2004-07-30,1663131260
2004-08-02,1674985000
2004-08-03,1670346579
2004-08-04,1674985000
2004-08-05,1642516060
2004-08-06,1641485300
2004-08-09,1635816120
2004-08-10,1638908400
2004-08-11,1633239220
2004-08-12,1612108640
2004-08-13,1603347180
2004-08-16,1628085420
2004-08-17,1650762140
2004-08-18,1663646640
2004-08-19,1636846880
2004-08-20,1654369800
2004-08-23,1674985000
2004-08-24,1685292600
2004-08-25,1675500380
2004-08-26,1684261840
2004-08-27,1691992540
2004-08-30,1719823059
2004-08-31,1752292000
2004-09-01,1745592059
2004-09-02,1760538079
2004-09-03,1766207260
2004-09-07,1768784160
2004-09-08,1778061000
2004-09-09,1754353520
2004-09-10,1777545620
2004-09-13,1755899660
2004-09-14,1730130660
2004-09-15,1752292000
2004-09-16,1762084220
2004-09-17,1752292000
2004-09-20,1730646040
2004-09-21,1745076680
2004-09-22,1745592059
2004-09-23,1746107440
2004-09-24,1746622820
2004-09-27,1754868899
2004-09-28,1772907200
2004-09-29,1793007020
2004-09-30,1864297600
2004-10-01,1897134660
2004-10-04,1880716130
2004-10-05,1875419829
2004-10-06,1877008719
2004-10-07,1878067980
2004-10-08,1894486510
2004-10-11,1882305020
2004-10-12,1908786520
2004-10-13,1890249469
2004-10-14,1916730969
2004-10-15,1932619870
2004-10-18,1937386540
2004-10-19,1917260600
2004-10-20,1901901329
2004-10-21,1933149500
2004-10-22,1890249469
2004-10-25,1886542059
2004-10-26,1917260600
2004-10-27,1947979140
2004-10-28,1923616160
2004-10-29,1906668000
2004-11-01,1901901329
2004-11-02,1880186500
