,VMC
2000-06-06,4648927920
2000-06-07,4541940000
2000-06-08,4516707000
2000-06-09,4561117080
2000-06-12,4541940000
2000-06-13,4421830920
2000-06-14,4605527160
2000-06-15,4535884080
2000-06-16,4491474000
2000-06-19,4403663160
2000-06-20,4295665920
2000-06-21,4308787080
2000-06-22,4295665920
2000-06-23,4219966920
2000-06-26,4233088080
2000-06-27,4194733920
2000-06-28,4227032160
2000-06-29,4327964160
2000-06-30,4308787080
2000-07-03,4402330500
2000-07-05,4548062820
2000-07-06,4396258320
2000-07-07,4370957570
2000-07-10,4357801180
2000-07-11,4452932000
2000-07-12,4357801180
2000-07-13,4452932000
2000-07-14,4427631250
2000-07-17,4415486890
2000-07-18,4364885390
2000-07-19,4357801180
2000-07-20,4364885390
2000-07-21,4357801180
2000-07-24,4408402680
2000-07-25,4390186140
2000-07-26,4339584640
2000-07-27,4314283890
2000-07-28,4314283890
2000-07-31,4332500430
2000-08-01,4440787640
2000-08-02,4427631250
2000-08-03,4452932000
2000-08-04,4484304930
2000-08-07,4554135000
2000-08-08,4617892890
2000-08-09,4554135000
2000-08-10,4516689890
2000-08-11,4680638750
2000-08-14,4680638750
2000-08-15,4699867320
2000-08-16,4725168070
2000-08-17,4712011680
2000-08-18,4693795140
2000-08-21,4686710930
2000-08-22,4636109430
2000-08-23,4560207180
2000-08-24,4497461320
2000-08-25,4516689890
2000-08-28,4396258320
2000-08-29,4491389140
2000-08-30,4408402680
2000-08-31,4484304930
2000-09-01,4415486890
2000-09-05,4402330500
2000-09-06,4484304930
2000-09-07,4472160570
2000-09-08,4466088390
2000-09-11,4452932000
2000-09-12,4396258320
2000-09-13,4357801180
2000-09-14,4244453820
2000-09-15,4143250820
2000-09-18,3997518500
2000-09-19,3985374140
2000-09-20,3960073390
2000-09-21,3915544070
2000-09-22,3890243320
2000-09-25,3884171140
2000-09-26,3851786180
2000-09-27,3820413250
2000-09-28,3960073390
2000-09-29,4067348570
2000-10-02,4084330130
2000-10-03,4224155870
2000-10-04,4072171370
2000-10-05,3957676380
2000-10-06,3888776740
2000-10-09,3875604750
2000-10-10,3793533120
2000-10-11,3774281750
2000-10-12,3762122990
2000-10-13,3799612500
2000-10-16,3805691880
2000-10-17,3787453740
2000-10-18,3717540870
2000-10-19,3818863870
2000-10-20,3824943250
2000-10-23,3838115240
2000-10-24,3932345630
2000-10-25,3875604750
2000-10-26,3945517620
2000-10-27,3983007130
2000-10-30,4185653130
2000-10-31,4255566000
2000-11-01,4261645380
2000-11-02,4337637630
2000-11-03,4312306880
2000-11-06,4319399490
2000-11-07,4325478870
2000-11-08,4395391740
2000-11-09,4350809620
2000-11-10,4230235250
2000-11-13,4286976130
2000-11-14,4344730240
2000-11-15,4280896750
2000-11-16,4300148120
2000-11-17,4268737990
2000-11-20,4236314630
2000-11-21,4230235250
2000-11-22,4204904500
2000-11-24,4224155870
2000-11-27,4249486620
2000-11-28,4286976130
2000-11-29,4286976130
2000-11-30,4344730240
2000-12-01,4407550500
2000-12-04,4572706990
2000-12-05,4654778620
2000-12-06,4553455620
2000-12-07,4598037740
2000-12-08,4635527250
2000-12-11,4610196500
2000-12-12,4604117120
2000-12-13,4578786370
2000-12-14,4547376240
2000-12-15,4464291380
2000-12-18,4572706990
2000-12-19,4635527250
2000-12-20,4578786370
2000-12-21,4635527250
2000-12-22,4692268130
2000-12-26,4762181000
2000-12-27,4806763120
2000-12-28,4826014490
2000-12-29,4851345240
2001-01-02,4680109370
2001-01-03,4762181000
2001-01-04,4844252630
2001-01-05,4680109370
2001-01-08,4629447870
2001-01-09,4514952880
2001-01-10,4559535000
2001-01-11,4559535000
2001-01-12,4559535000
2001-01-16,4692268130
2001-01-17,4635527250
2001-01-18,4572706990
2001-01-19,4446053240
2001-01-22,4331558250
2001-01-23,4452132620
2001-01-24,4420722490
2001-01-25,4458212000
2001-01-26,4458212000
2001-01-29,4512926420
2001-01-30,4522045490
2001-01-31,4608170040
2001-02-01,4634514020
2001-02-02,4624381720
2001-02-05,4588918670
2001-02-06,4612222960
2001-02-07,4610196500
2001-02-08,4564601150
2001-02-09,4541296860
2001-02-12,4479489830
2001-02-13,4508873500
2001-02-14,4456185540
2001-02-15,4483542750
2001-02-16,4410590190
2001-02-20,4390325590
2001-02-21,4332571480
2001-02-22,4246446929
2001-02-23,4171467910
2001-02-26,4270764450
2001-02-27,4251513080
2001-02-28,4289002590
2001-03-01,4414643110
2001-03-02,4493675050
2001-03-05,4642619860
2001-03-06,4640593400
2001-03-07,4697334280
2001-03-08,4762181000
2001-03-09,4761167770
2001-03-12,4711519500
2001-03-13,4718612110
2001-03-14,4594998050
2001-03-15,4635527250
2001-03-16,4566627610
2001-03-19,4649712470
2001-03-20,4660858000
2001-03-21,4554468850
2001-03-22,4427815100
2001-03-23,4491648590
2001-03-26,4630461100
2001-03-27,4727731180
2001-03-28,4694294590
2001-03-29,4664910920
2001-03-30,4744956090
2001-04-02,4703256660
2001-04-03,4682975260
2001-04-04,4754974230
2001-04-05,4824945060
2001-04-06,4714411430
2001-04-09,4788438540
2001-04-10,4709341080
2001-04-11,4549118020
2001-04-12,4543033600
2001-04-16,4535935110
2001-04-17,4545061740
2001-04-18,4654581300
2001-04-19,4616046640
2001-04-20,4548103950
2001-04-23,4478133120
2001-04-24,4496386380
2001-04-25,4493344170
2001-04-26,4522752200
2001-04-27,4711369220
2001-04-30,4688045610
2001-05-01,4652553160
2001-05-02,4615032570
2001-05-03,4552160230
2001-05-04,4646468740
2001-05-07,4847254600
2001-05-08,4940549040
2001-05-09,5082518840
2001-05-10,5130180130
2001-05-11,5121053500
2001-05-14,5119025360
2001-05-15,5139306760
2001-05-16,5481048350
2001-05-17,5465837300
2001-05-18,5444541830
2001-05-21,5471921720
2001-05-22,5481048350
2001-05-23,5410063450
2001-05-24,5417161940
2001-05-25,5340092620
2001-05-29,5460766950
2001-05-30,5388767980
2001-05-31,5484090560
2001-06-01,5426288570
2001-06-04,5450626250
2001-06-05,5455696600
2001-06-06,5414119730
2001-06-07,5450626250
2001-06-08,5489160910
2001-06-11,5429330780
2001-06-12,5457724740
2001-06-13,5541892550
2001-06-14,5308656450
2001-06-15,5297501680
2001-06-18,5320825290
2001-06-19,5305614240
2001-06-20,5511470450
2001-06-21,5506400100
2001-06-22,5436429270
2001-06-25,5288375050
2001-06-26,5440485550
2001-06-27,5367472510
2001-06-28,5373556930
2001-06-29,5450626250
2001-07-02,5592870400
2001-07-03,5479185920
2001-07-05,5459900160
2001-07-06,5370576640
2001-07-09,5359411200
2001-07-10,5320839680
2001-07-11,5250801920
2001-07-12,5278208000
2001-07-13,5308659200
2001-07-16,5279223040
2001-07-17,5247756800
2001-07-18,5276177920
2001-07-19,5281253120
2001-07-20,5228471040
2001-07-23,5120876800
2001-07-24,4929034240
2001-07-25,4971665920
2001-07-26,4834635520
2001-07-27,4863056640
2001-07-30,4885387520
2001-07-31,4978771200
2001-08-01,4940199680
2001-08-02,4933094400
2001-08-03,4909748480
2001-08-06,4856966400
2001-08-07,4892492800
2001-08-08,4861026560
2001-08-09,4873207040
2001-08-10,4982831360
2001-08-13,4960500480
2001-08-14,4960500480
2001-08-15,4914823680
2001-08-16,5002117120
2001-08-17,4918883840
2001-08-20,4929034240
2001-08-21,4953395200
2001-08-22,4875237120
2001-08-23,4904673280
2001-08-24,5019372800
2001-08-27,4977756160
2001-08-28,4898583040
2001-08-29,4876252160
2001-08-30,4851891200
2001-08-31,4873207040
2001-09-04,5015312640
2001-09-05,5065049600
2001-09-06,4957455360
2001-09-07,4779823360
2001-09-10,4734146560
2001-09-17,4465160960
2001-09-18,4410348800
2001-09-19,4260122880
2001-09-20,4060160000
2001-09-21,3872377600
2001-09-24,4096701440
2001-09-25,4063205120
2001-09-26,4100761600
2001-09-27,4220536320
2001-09-28,4384972800
2001-10-01,4329772540
2001-10-02,4384644100
2001-10-03,4592952800
2001-10-04,4647824360
2001-10-05,4659001900
2001-10-08,4566533160
2001-10-09,4639695240
2001-10-10,4738260820
2001-10-11,4839874820
2001-10-12,4838858680
2001-10-15,4710825040
2001-10-16,4705744340
2001-10-17,4696599080
2001-10-18,4651888920
2001-10-19,4586855960
2001-10-22,4704728200
2001-10-23,4389724800
2001-10-24,4346030780
2001-10-25,4332820960
2001-10-26,4377531120
2001-10-29,4297256060
2001-10-30,4239336080
2001-10-31,4224093980
2001-11-01,4194625920
2001-11-02,4239336080
2001-11-05,4399886200
2001-11-06,4423257420
2001-11-07,4513693880
2001-11-08,4496419500
2001-11-09,4424273560
2001-11-12,4442564080
2001-11-13,4573646140
2001-11-14,4560436320
2001-11-15,4593968940
2001-11-16,4625469280
2001-11-19,4720986440
2001-11-20,4674244000
2001-11-21,4618356300
2001-11-23,4706760480
2001-11-26,4639695240
2001-11-27,4616324020
2001-11-28,4646808220
2001-11-29,4626485420
2001-11-30,4699647500
2001-12-03,4692534520
2001-12-04,4714889600
2001-12-05,4786019400
2001-12-06,4857149200
2001-12-07,4883568840
2001-12-10,4834794120
2001-12-11,4841907100
2001-12-12,4796180800
2001-12-13,4780938700
2001-12-14,4775858000
2001-12-17,4763664320
2001-12-18,4739276960
2001-12-19,4711841180
2001-12-20,4716921880
2001-12-21,4723018720
2001-12-24,4814471320
2001-12-26,4828697280
2001-12-27,4841907100
2001-12-28,4871375160
2001-12-31,4871375160
2002-01-02,4832761840
2002-01-03,4826665000
2002-01-04,4872391300
2002-01-07,4899827080
2002-01-08,4841907100
2002-01-09,4884584980
2002-01-10,4858165340
2002-01-11,4811422900
2002-01-14,4786019400
2002-01-15,4809390620
2002-01-16,4749438360
2002-01-17,4715905740
2002-01-18,4659001900
2002-01-22,4663066460
2002-01-23,4645792080
2002-01-24,4648840500
2002-01-25,4690502240
2002-01-28,4695582940
2002-01-29,4674244000
2002-01-30,4684405400
2002-01-31,4714889600
2002-02-01,4669163300
2002-02-04,4662050320
2002-02-05,4679324700
2002-02-06,4663066460
2002-02-07,4692534520
2002-02-08,4677292420
2002-02-11,4760615900
2002-02-12,4803293780
2002-02-13,4786019400
2002-02-14,4769761160
2002-02-15,4763664320
2002-02-19,4667131020
2002-02-20,4699647500
2002-02-21,4725051000
2002-02-22,4796180800
2002-02-25,4835810260
2002-02-26,4852068500
2002-02-27,4824632720
2002-02-28,4911004620
2002-03-01,4819552020
2002-03-04,4953682500
2002-03-05,4697615220
2002-03-06,4832761840
2002-03-07,4878488140
2002-03-08,4865278320
2002-03-11,4846987800
2002-03-12,4889665680
2002-03-13,4861213760
2002-03-14,4870359020
2002-03-15,4883568840
2002-03-18,4841907100
2002-03-19,4917101460
2002-03-20,4832761840
2002-03-21,4771793440
2002-03-22,4822600440
2002-03-25,4681356980
2002-03-26,4815487460
2002-03-27,4832761840
2002-03-28,4830729560
2002-04-01,4833069120
2002-04-02,4851376200
2002-04-03,4784250240
2002-04-04,4829000880
2002-04-05,4889007420
2002-04-08,4970372220
2002-04-09,5000884020
2002-04-10,5039532300
2002-04-11,4983594000
2002-04-12,5037498180
2002-04-15,5009020500
2002-04-16,4972406340
2002-04-17,4913416860
2002-04-18,4876802700
2002-04-19,4881888000
2002-04-22,4735431360
2002-04-23,4756789620
2002-04-24,4751704320
2002-04-25,4711021920
2002-04-26,4690680720
2002-04-29,4693731900
2002-04-30,4680510120
2002-05-01,4775096700
2002-05-02,4790352600
2002-05-03,4802557320
2002-05-06,4710004860
2002-05-07,4757806680
2002-05-08,4780182000
2002-05-09,4736448420
2002-05-10,4722209580
2002-05-13,4750687260
2002-05-14,4853410320
2002-05-15,4845273840
2002-05-16,4820864400
2002-05-17,4883922120
2002-05-20,4839171480
2002-05-21,4767977280
2002-05-22,4754755500
2002-05-23,4869683280
2002-05-24,4786284360
2002-05-28,4742550780
2002-05-29,4749670200
2002-05-30,4770011400
2002-05-31,4864597980
2002-06-03,4727294880
2002-06-04,4735431360
2002-06-05,4834086180
2002-06-06,4748653140
2002-06-07,4764926100
2002-06-10,4732380180
2002-06-11,4691697780
2002-06-12,4763909040
2002-06-13,4710004860
2002-06-14,4751704320
2002-06-17,4805608500
2002-06-18,4871717400
2002-06-19,4717124280
2002-06-20,4815779100
2002-06-21,4408955100
2002-06-24,4455739860
2002-06-25,4382511540
2002-06-26,4373358000
2002-06-27,4385562720
2002-06-28,4454722800
2002-07-01,4381311940
2002-07-02,4273458000
2002-07-03,4252090710
2002-07-05,4379276960
2002-07-08,4319245050
2002-07-09,4230723420
2002-07-10,4126939440
2002-07-11,4052662670
2002-07-12,4075047449
2002-07-15,4024172949
2002-07-16,3808465070
2002-07-17,3863409530
2002-07-18,3805412600
2002-07-19,3636509260
2002-07-22,3528655320
2002-07-23,3546970140
2002-07-24,3696541170
2002-07-25,3798290170
2002-07-26,3907161600
2002-07-29,4204268680
2002-07-30,4068942510
2002-07-31,4114729560
2002-08-01,4011963070
2002-08-02,3859339570
2002-08-05,3825762400
2002-08-06,3922423949
2002-08-07,3970245980
2002-08-08,4078099920
2002-08-09,4052662670
2002-08-12,3929546379
2002-08-13,3903091640
2002-08-14,4015015540
2002-08-15,4066907530
2002-08-16,4069960000
2002-08-19,4172726490
2002-08-20,4172726490
2002-08-21,3946843710
2002-08-22,3996700720
2002-08-23,3950913670
2002-08-26,4052662670
2002-08-27,4023155460
2002-08-28,3967193510
2002-08-29,3967193510
2002-08-30,3970245980
2002-09-03,3871549449
2002-09-04,4023155460
2002-09-05,4019085500
2002-09-06,4057750120
2002-09-09,4085222350
2002-09-10,4139149320
2002-09-11,4176796449
2002-09-12,4076064940
2002-09-13,4106589640
2002-09-16,4101502190
2002-09-17,4023155460
2002-09-18,3987543310
2002-09-19,3818639970
2002-09-20,3889864269
2002-09-23,3830849850
2002-09-24,3686366269
2002-09-25,3778957860
2002-09-26,3806430089
2002-09-27,3660929019
2002-09-30,3679243839
2002-10-01,3699666650
2002-10-02,3575496270
2002-10-03,3518500030
2002-10-04,3462521580
2002-10-07,3386187330
2002-10-08,3451325889
2002-10-09,3294586229
2002-10-10,3456414840
2002-10-11,3587709750
2002-10-14,3570407320
2002-10-15,3796356699
2002-10-16,3668115160
2002-10-17,3858441889
2002-10-18,3704755600
2002-10-21,3806534600
2002-10-22,3704755600
2002-10-23,3745467199
2002-10-24,3648777150
2002-10-25,3719004660
2002-10-28,3402471970
2002-10-29,3385169540
2002-10-30,3390258490
2002-10-31,3415703240
2002-11-01,3512393290
2002-11-04,3548015940
2002-11-05,3575496270
2002-11-06,3635545880
2002-11-07,3519517820
2002-11-08,3521553400
2002-11-11,3484912960
2002-11-12,3516464449
2002-11-13,3526642350
2002-11-14,3630456930
2002-11-15,3656919470
2002-11-18,3649794940
2002-11-19,3666079580
2002-11-20,3724093610
2002-11-21,3839103880
2002-11-22,3735289300
2002-11-25,3776000900
2002-11-26,3717986870
2002-11-27,3836050510
2002-11-29,3841139460
2002-12-02,3851317360
2002-12-03,3743431620
2002-12-04,3777018690
2002-12-05,3769894160
2002-12-06,3787196590
2002-12-09,3723075820
2002-12-10,3747502780
2002-12-11,3776000900
2002-12-12,3781089850
2002-12-13,3743431620
2002-12-16,3857424100
2002-12-17,3853352940
2002-12-18,3721040240
2002-12-19,3753609520
2002-12-20,3836050510
2002-12-23,3842157250
2002-12-24,3823837030
2002-12-26,3792285540
2002-12-27,3733253720
2002-12-30,3761751840
2002-12-31,3816712500
2003-01-02,3903224650
2003-01-03,3821801449
2003-01-06,3852335150
2003-01-07,3816712500
2003-01-08,3707808970
2003-01-09,3672186320
2003-01-10,3643688199
2003-01-13,3621296820
2003-01-14,3613154500
2003-01-15,3541909199
2003-01-16,3524606770
2003-01-17,3511375500
2003-01-21,3427916720
2003-01-22,3409596500
2003-01-23,3461503790
2003-01-24,3460486000
2003-01-27,3409596500
2003-01-28,3470663900
2003-01-29,3487966330
2003-01-30,3411632080
2003-01-31,3465574949
2003-02-03,3476770639
2003-02-04,3369902690
2003-02-05,3319013190
2003-02-06,3245732310
2003-02-07,3229447670
2003-02-10,3246750100
2003-02-11,3241661150
2003-02-12,3224358720
2003-02-13,3199931760
2003-02-14,3277283800
2003-02-18,3305781919
2003-02-19,3285426120
2003-02-20,3278301590
2003-02-21,3338351199
2003-02-24,3260999160
2003-02-25,3296621810
2003-02-26,3256928000
2003-02-27,3240643360
2003-02-28,3226394300
2003-03-03,3239625570
2003-03-04,3115455190
2003-03-05,3093063810
2003-03-06,3046245470
2003-03-07,3078814750
2003-03-10,3017747350
2003-03-11,2988231440
2003-03-12,2957697740
2003-03-13,3027925250
2003-03-14,3035049780
2003-03-17,3112401820
2003-03-18,3111384030
2003-03-19,3154131210
2003-03-20,3136828780
2003-03-21,3287461699
2003-03-24,3192807230
2003-03-25,3190771650
2003-03-26,3141917730
2003-03-27,3123597510
2003-03-28,3111384030
2003-03-31,3076779170
2003-04-01,3132324460
2003-04-02,3220888720
2003-04-03,3212744880
2003-04-04,3203583060
2003-04-07,3228014580
2003-04-08,3217834780
2003-04-09,3183223460
2003-04-10,3199511140
2003-04-11,3193403260
2003-04-14,3242266300
2003-04-15,3268733780
2003-04-16,3199511140
2003-04-17,3241248320
2003-04-21,3220888720
2003-04-22,3256518020
2003-04-23,3278913580
2003-04-24,3266697820
2003-04-25,3184241440
2003-04-28,3255500040
2003-04-29,3369513800
2003-04-30,3559876060
2003-05-01,3544606360
2003-05-02,3587361520
2003-05-05,3544606360
2003-05-06,3611793039
2003-05-07,3597541320
2003-05-08,3561912020
2003-05-09,3603649200
2003-05-12,3654548200
2003-05-13,3641314460
2003-05-14,3613829000
2003-05-15,3631134660
2003-05-16,3636224560
2003-05-19,3591433440
2003-05-20,3589397480
2003-05-21,3578199700
2003-05-22,3611793039
2003-05-23,3644368399
2003-05-27,3735986600
2003-05-28,3754310240
2003-05-29,3676943759
2003-05-30,3729878720
2003-06-02,3815389039
2003-06-03,3753292259
2003-06-04,3840838539
2003-06-05,3909043200
2003-06-06,3929402800
2003-06-09,3796047420
2003-06-10,3888683600
2003-06-11,3983355740
2003-06-12,3996589480
2003-06-13,3965032100
2003-06-16,4036290700
2003-06-17,4051560399
2003-06-18,4026110899
2003-06-19,3934492700
2003-06-20,3830658740
2003-06-23,3791975500
2003-06-24,3827604800
2003-06-25,3780777720
2003-06-26,3819460960
2003-06-27,3761436100
2003-06-30,3773651860
2003-07-01,3794247750
2003-07-02,3839065710
2003-07-03,3786099030
2003-07-07,3924627270
2003-07-08,3919534319
2003-07-09,3898143930
2003-07-10,3875734949
2003-07-11,3860456100
2003-07-14,3875734949
2003-07-15,3784061850
2003-07-16,3753504150
2003-07-17,3731095170
2003-07-18,3777950310
2003-07-21,3730076579
2003-07-22,3778968900
2003-07-23,3811563780
2003-07-24,3804433650
2003-07-25,3775913130
2003-07-28,3848233020
2003-07-29,4057043970
2003-07-30,4045839480
2003-07-31,4096768980
2003-08-01,4059081150
2003-08-04,4069267050
2003-08-05,4060099740
2003-08-06,4039727939
2003-08-07,4047876660
2003-08-08,4104917699
2003-08-11,4081490130
2003-08-12,4100843340
2003-08-13,4083527310
2003-08-14,4183349130
2003-08-15,4213906829
2003-08-18,4225111319
2003-08-19,4295394030
2003-08-20,4243445939
2003-08-21,4271966460
2003-08-22,4187423490
2003-08-25,4198627980
2003-08-26,4195572210
2003-08-27,4190479260
2003-08-28,4210851060
2003-08-29,4217981189
2003-09-02,4306598520
2003-09-03,4347342120
2003-09-04,4251594660
2003-09-05,4179274770
2003-09-08,4267892100
2003-09-09,4217981189
2003-09-10,4124270910
2003-09-11,4154828610
2003-09-12,4282152360
2003-09-15,4335119040
2003-09-16,4368732510
2003-09-17,4101861930
2003-09-18,4153810020
2003-09-19,4178256180
2003-09-22,4138531170
2003-09-23,4129363860
2003-09-24,4062136920
2003-09-25,4039727939
2003-09-26,4034634990
2003-09-29,4113066420
2003-09-30,4065192689
2003-10-01,4176423559
2003-10-02,4220364399
2003-10-03,4278611559
2003-10-06,4297005400
2003-10-07,4331749320
2003-10-08,4291896000
2003-10-09,4291896000
2003-10-10,4288830360
2003-10-13,4644444600
2003-10-14,4645466480
2003-10-15,4607656920
2003-10-16,4575978640
2003-10-17,4473790640
2003-10-20,4473790640
2003-10-21,4462549960
2003-10-22,4427806040
2003-10-23,4450287400
2003-10-24,4431893560
2003-10-27,4459484320
2003-10-28,4546344120
2003-10-29,4545322240
2003-10-30,4553497280
2003-10-31,4527950280
2003-11-03,4570869240
2003-11-04,4538169080
2003-11-05,4561672320
2003-11-06,4609700680
2003-11-07,4544300360
2003-11-10,4573934880
2003-11-11,4560650440
2003-11-12,4601525640
2003-11-13,4562694200
2003-11-14,4547366000
2003-11-17,4493206360
2003-11-18,4438024840
2003-11-19,4428827920
2003-11-20,4419631000
2003-11-21,4405324680
2003-11-24,4478900040
2003-11-25,4547366000
2003-11-26,4532037800
2003-11-28,4544300360
2003-12-01,4687363560
2003-12-02,4699626120
2003-12-03,4684297920
2003-12-04,4710866800
2003-12-05,4680210400
2003-12-08,4850864360
2003-12-09,4826339240
2003-12-10,4751742000
2003-12-11,4851886240
2003-12-12,4884586400
2003-12-15,4864148800
2003-12-16,4861083160
2003-12-17,4777289000
2003-12-18,4879477000
2003-12-19,4894805200
2003-12-22,4929549120
2003-12-23,4922395960
2003-12-24,4907067760
2003-12-26,4926483480
2003-12-29,4930571000
2003-12-30,4885608280
2003-12-31,4861083160
2004-01-02,4824295480
2004-01-05,5120640680
2004-01-06,5068524800
2004-01-07,5078743600
2004-01-08,4999036960
2004-01-09,5026627720
2004-01-12,5047065320
2004-01-13,5068524800
2004-01-14,5058306000
2004-01-15,5102246840
2004-01-16,5061371640
2004-01-20,5026627720
2004-01-21,5091006160
2004-01-22,5078743600
2004-01-23,5063415400
2004-01-26,5121662560
2004-01-27,5077721720
2004-01-28,4990861920
2004-01-29,4925461600
2004-01-30,4874367600
2004-02-02,4871301960
2004-02-03,4884586400
2004-02-04,4751742000
2004-02-05,4792617200
2004-02-06,4853930000
2004-02-09,4823273600
2004-02-10,4826339240
2004-02-11,4803857880
2004-02-12,4786485920
2004-02-13,4710866800
2004-02-17,4776267120
2004-02-18,4728238760
2004-02-19,4714954320
2004-02-20,4747654480
2004-02-23,4751742000
2004-02-24,4750720120
2004-02-25,4769113960
2004-02-26,4751742000
2004-02-27,4833492400
2004-03-01,4886630160
2004-03-02,4906045880
2004-03-03,4889695800
2004-03-04,4905024000
2004-03-05,4905024000
2004-03-08,4829404880
2004-03-09,4783420280
2004-03-10,4750720120
2004-03-11,4723129360
2004-03-12,4809989160
2004-03-15,4709844920
2004-03-16,4749698240
2004-03-17,4772179600
2004-03-18,4741523200
2004-03-19,4719041840
2004-03-22,4736413800
2004-03-23,4722107480
2004-03-24,4693494840
2004-03-25,4745610720
2004-03-26,4727216880
2004-03-29,4788529680
2004-03-30,4798748480
2004-03-31,4847798720
2004-04-01,4919791450
2004-04-02,4903409210
2004-04-05,4902385320
2004-04-06,4923887010
2004-04-07,4845047480
2004-04-08,4814330780
2004-04-12,4856310270
2004-04-13,4779518520
2004-04-14,4755969050
2004-04-15,4830713020
2004-04-16,4881907520
2004-04-19,4888050860
2004-04-20,4884979190
2004-04-21,4919791450
2004-04-22,4965866500
2004-04-23,4935149800
2004-04-26,4882931410
2004-04-27,4908528660
2004-04-28,4808187440
2004-04-29,4779518520
2004-04-30,4734467360
2004-05-03,4729347910
2004-05-04,4720132900
2004-05-05,4701702880
2004-05-06,4627982800
2004-05-07,4474399300
2004-05-10,4378153640
2004-05-11,4336174150
2004-05-12,4359723620
2004-05-13,4359723620
2004-05-14,4415013680
2004-05-17,4343341380
2004-05-18,4384296980
2004-05-19,4356651950
2004-05-20,4385320870
2004-05-21,4419109240
2004-05-24,4472351520
2004-05-25,4567573290
2004-05-26,4505116000
2004-05-27,4556310500
2004-05-28,4582931640
2004-06-01,4579859970
2004-06-02,4603409440
2004-06-03,4583955530
2004-06-04,4598289990
2004-06-07,4657675610
2004-06-08,4679177300
2004-06-09,4664842840
2004-06-10,4685320640
2004-06-14,4631054470
2004-06-15,4689416200
2004-06-16,4721156790
2004-06-17,4760064610
2004-06-18,4789757420
2004-06-21,4812283000
2004-06-22,4795900760
2004-06-23,4861429720
2004-06-24,4816378560
2004-06-25,4806139660
2004-06-28,4770303510
2004-06-29,4854262490
2004-06-30,4868596950
2004-07-01,4771468100
2004-07-02,4768393040
2004-07-06,4686391440
2004-07-07,4763267940
2004-07-08,4741742520
2004-07-09,4731492320
2004-07-12,4712016940
2004-07-13,4729442280
2004-07-14,4681266340
2004-07-15,4680241320
2004-07-16,4721242120
2004-07-19,4713041960
2004-07-20,4746867620
2004-07-21,4669991120
2004-07-22,4645390640
2004-07-23,4615665060
2004-07-26,4570564180
2004-07-27,4594139640
2004-07-28,4681266340
2004-07-29,4859619820
2004-07-30,4881145240
2004-08-02,4942646440
2004-08-03,4914970900
2004-08-04,4897545560
2004-08-05,4769418060
2004-08-06,4699716700
2004-08-09,4668966100
2004-08-10,4763267940
2004-08-11,4731492320
2004-08-12,4715092000
2004-08-13,4702791760
2004-08-16,4815543960
2004-08-17,4863719900
2004-08-18,4891395440
2004-08-19,4908820780
2004-08-20,4941621420
2004-08-23,4883195280
