,DG
2011-02-10,9443083355
2011-02-11,9303059334
2011-02-14,9169865753
2011-02-15,9197187513
2011-02-16,10122712139
2011-02-17,10081729499
2011-02-18,9989518558
2011-02-22,9726546616
2011-02-23,9552370395
2011-02-24,9682148756
2011-02-25,9562616056
2011-02-28,9647996556
2011-03-01,9658242216
2011-03-02,9654826996
2011-03-03,9555785615
2011-03-04,9723131396
2011-03-07,9528463855
2011-03-08,9572861716
2011-03-09,9562616056
2011-03-10,9600183476
2011-03-11,9842664097
2011-03-14,9784605357
2011-03-15,9863155417
2011-03-16,10170525219
2011-03-17,10160279559
2011-03-18,10194431759
2011-03-21,10375438420
2011-03-22,10532538541
2011-03-23,10453988481
2011-03-24,10665732122
2011-03-25,10775019163
2011-03-28,10754527842
2011-03-29,10423251501
2011-03-30,10771603943
2011-03-31,10706714762
2011-04-01,10775019163
2011-04-04,10792095263
2011-04-05,11007254124
2011-04-06,11048236764
2011-04-07,11102880285
2011-04-08,10867230103
2011-04-11,10802340923
2011-04-12,10863814883
2011-04-13,10836493123
2011-04-14,10740866962
2011-04-15,10754527842
2011-04-18,10754527842
2011-04-19,10710129982
2011-04-20,10587182062
2011-04-21,10645240802
2011-04-25,10915043183
2011-04-26,10997008464
2011-04-27,11229243425
2011-04-28,11287302166
2011-04-29,11130593125
2011-05-02,11291114106
2011-05-03,11332098186
2011-05-04,11174992545
2011-05-05,11103270405
2011-05-06,11253545365
2011-05-09,11274037406
2011-05-10,11301360126
2011-05-11,11414066346
2011-05-12,11513111207
2011-05-13,11403820326
2011-05-16,11437973726
2011-05-17,11482373147
2011-05-18,11632648108
2011-05-19,11478957807
2011-05-20,11485788487
2011-05-23,11236468665
2011-05-24,11185238565
2011-05-25,11325267506
2011-05-26,11574587327
2011-05-27,11837568509
2011-05-31,11977597450
2011-06-01,10864196603
2011-06-02,10918842043
2011-06-03,10874442623
2011-06-06,11014471564
2011-06-07,11075947684
2011-06-08,11034963604
2011-06-09,11168161865
2011-06-10,11123762445
2011-06-13,11277452746
2011-06-14,11424312366
2011-06-15,11393574306
2011-06-16,11332098186
2011-06-17,11574587327
2011-06-20,11704370248
2011-06-21,11748769668
2011-06-22,11605325387
2011-06-23,11465296447
2011-06-24,11420897026
2011-06-27,11301360126
2011-06-28,11427727706
2011-06-29,11414066346
2011-06-30,11574587327
2011-07-01,11612156068
2011-07-05,11642894128
2011-07-06,11646309468
2011-07-07,11656555488
2011-07-08,11564341307
2011-07-11,11366251586
2011-07-12,11362836246
2011-07-13,11390158966
2011-07-14,11393574306
2011-07-15,11342344206
2011-07-18,11291114106
2011-07-19,11550679947
2011-07-20,11345759546
2011-07-21,11410651006
2011-07-22,11338928866
2011-07-25,11093024384
2011-07-26,11099855065
2011-07-27,10840289223
2011-07-28,10758321063
2011-07-29,10757904362
2011-08-01,10648478762
2011-08-02,10436466661
2011-08-03,10617702812
2011-08-04,10395432060
2011-08-05,10532214061
2011-08-08,10415949360
2011-08-09,10819456263
2011-08-10,10525374961
2011-08-11,10812617163
2011-08-12,10826295363
2011-08-15,11007531514
2011-08-16,11554659517
2011-08-17,11205865415
2011-08-18,11130635315
2011-08-19,10969916464
2011-08-22,10922042763
2011-08-23,11079342064
2011-08-24,11229802265
2011-08-25,11021209714
2011-08-26,11130635315
2011-08-29,11554659517
2011-08-30,12228310871
2011-08-31,12515553073
2011-09-01,12300121421
2011-09-02,12330897372
2011-09-06,12464259822
2011-09-07,12696789224
2011-09-08,11968425070
2011-09-09,11900034069
2011-09-12,12221471771
2011-09-13,12327477822
2011-09-14,12655754624
2011-09-15,12785697524
2011-09-16,13018226926
2011-09-19,12960094575
2011-09-20,12874605825
2011-09-21,12679691474
2011-09-22,12313799622
2011-09-23,12498455323
2011-09-26,12679691474
2011-09-27,12761760674
2011-09-28,12919059975
2011-09-29,12898542675
2011-09-30,12912220875
2011-10-03,12590783173
2011-10-04,12727565174
2011-10-05,12895123125
2011-10-06,12953255475
2011-10-07,12925899075
2011-10-10,13148169826
2011-10-11,13360181928
2011-10-12,13319147327
2011-10-13,13278112727
2011-10-14,13449090228
2011-10-17,13445670678
2011-10-18,13691878280
2011-10-19,13650843679
2011-10-20,13592711329
2011-10-21,13678200080
2011-10-24,13681619630
2011-10-25,13801303880
2011-10-26,13633745929
2011-10-27,13599550429
2011-10-28,13246916297
2011-10-31,13481465239
2011-11-01,13287707418
2011-11-02,13318300758
2011-11-03,13229919997
2011-11-04,13345494838
2011-11-07,13325099278
2011-11-08,13410080778
2011-11-09,13158535537
2011-11-10,13243517037
2011-11-11,13549450439
2011-11-14,13501860799
2011-11-15,13695618620
2011-11-16,13416879298
2011-11-17,13277509638
2011-11-18,13498461539
2011-11-21,13335297058
2011-11-22,13389685218
2011-11-23,13233319257
2011-11-25,13025964396
2011-11-28,13155136277
2011-11-29,13573245259
2011-11-30,13790797901
2011-12-01,13627633420
2011-12-02,13576644519
2011-12-05,13794197161
2011-12-06,13471267459
2011-12-07,13416879298
2011-12-08,13593640819
2011-12-09,13746607520
2011-12-12,14045742402
2011-12-13,14089932782
2011-12-14,13916570521
2011-12-15,13906372741
2011-12-16,13943764602
2011-12-19,13756805300
2011-12-20,13889376441
2011-12-21,13841786801
2011-12-22,13919969781
2011-12-23,14011749802
2011-12-27,14100130562
2011-12-28,14089932782
2011-12-29,14045742402
2011-12-30,13984555722
2012-01-03,13964160162
2012-01-04,14059339442
2012-01-05,14059339442
2012-01-06,13892775701
2012-01-09,13885977181
2012-01-10,13767003081
2012-01-11,13736409740
2012-01-12,13722812700
2012-01-13,13936966082
2012-01-17,14066137962
2012-01-18,14083134262
2012-01-19,14011749802
2012-01-20,13923369041
2012-01-23,14035544622
2012-01-24,14215705403
2012-01-25,14514840285
2012-01-26,14419661004
2012-01-27,14307485424
2012-01-30,14378869884
2012-01-31,14484246945
2012-02-01,14385668404
2012-02-02,14378869884
2012-02-03,14095195283
2012-02-06,14122081684
2012-02-07,14253152884
2012-02-08,14206101684
2012-02-09,14340533685
2012-02-10,14414471285
2012-02-13,14034700883
2012-02-14,14280039284
2012-02-15,14206101684
2012-02-16,14095195283
2012-02-17,14243070484
2012-02-21,14159050484
2012-02-22,13906990482
2012-02-23,14162411284
2012-02-24,14004453683
2012-02-27,13994371283
2012-02-28,14212823284
2012-02-29,14135524884
2012-03-01,14454800886
2012-03-02,14374141685
2012-03-05,14518656086
2012-03-06,14353976885
2012-03-07,14300204085
2012-03-08,14579150486
2012-03-09,14858096888
2012-03-12,14656448887
2012-03-13,14740468887
2012-03-14,14942116888
2012-03-15,15167290490
2012-03-16,15019415289
2012-03-19,15039580089
2012-03-20,15207620090
2012-03-21,15039580089
2012-03-22,15506731292
2012-03-23,15839450494
2012-03-26,15883140894
2012-03-27,15375660091
2012-03-28,15459680092
2012-03-29,15550421692
2012-03-30,15526896092
2012-04-02,15715100893
2012-04-03,15795760094
2012-04-04,15741987293
2012-04-05,15869697694
2012-04-09,15641163293
2012-04-10,15291640091
2012-04-11,15412628891
2012-04-12,15671410493
2012-04-13,15560504092
2012-04-16,15422711291
2012-04-17,15644524093
2012-04-18,15755430493
2012-04-19,15674771293
2012-04-20,15772234493
2012-04-23,15627720093
2012-04-24,15355495291
2012-04-25,15560504092
2012-04-26,15933552894
2012-04-27,16057902495
2012-04-30,15950356894
2012-05-01,16064624095
2012-05-02,16195695296
2012-05-03,16158726496
2012-05-04,15837527655
2012-05-07,16053978306
2012-05-08,15684347194
2012-05-09,15597766933
2012-05-10,15634397043
2012-05-11,15707657264
2012-05-14,15591106913
2012-05-15,15651047094
2012-05-16,15854177705
2012-05-17,15314716081
2012-05-18,15201495741
2012-05-21,15434596442
2012-05-22,15284745991
2012-05-23,15617746993
2012-05-24,15867497745
2012-05-25,15844187675
2012-05-29,16004028156
2012-05-30,16170528657
2012-05-31,16287079007
2012-06-01,16190508717
2012-06-04,16147218586
2012-06-05,15571126853
2012-06-06,16217148797
2012-06-07,16310389077
2012-06-08,16746620390
2012-06-11,16709990280
2012-06-12,16759940430
2012-06-13,16709990280
2012-06-14,16833200651
2012-06-15,17379322294
2012-06-18,17192841733
2012-06-19,17382652304
2012-06-20,17515852705
2012-06-21,17442592484
2012-06-22,17515852705
2012-06-25,17712323296
2012-06-26,18298405059
2012-06-27,17988714128
2012-06-28,17892143837
2012-06-29,18111924498
2012-07-02,18225144839
2012-07-03,17902133867
2012-07-05,18078624398
2012-07-06,18178524699
2012-07-09,18268434969
2012-07-10,18514855711
2012-07-11,18288415029
2012-07-12,17982054108
2012-07-13,18158544639
2012-07-16,18185184719
2012-07-17,18335035170
2012-07-18,17895473847
2012-07-19,17412622394
2012-07-20,17429272444
2012-07-23,17422612424
2012-07-24,17475892584
2012-07-25,17079621392
2012-07-26,17076291382
2012-07-27,16979721091
2012-07-30,16966401051
2012-07-31,16986381112
2012-08-01,17003031162
2012-08-02,17139561572
2012-08-03,17248290403
2012-08-06,17128649083
2012-08-07,17520806745
2012-08-08,17314757804
2012-08-09,17065505052
2012-08-10,17205086593
2012-08-13,17460986085
2012-08-14,17384548574
2012-08-15,17201763223
2012-08-16,17022301242
2012-08-17,17065505052
2012-08-20,16879396331
2012-08-21,16872749591
2012-08-22,16796312081
2012-08-23,16520472369
2012-08-24,16503855519
2012-08-27,16234662547
2012-08-28,16224692437
2012-08-29,16131638077
2012-08-30,16640113690
2012-08-31,16972450692
2012-09-04,16836192521
2012-09-05,16969127322
2012-09-06,16829545781
2012-09-07,16566999549
2012-09-10,16274542987
2012-09-11,16228015807
2012-09-12,16523795739
2012-09-13,16862779481
2012-09-14,16670024020
2012-09-17,16653407170
2012-09-18,16699934350
2012-09-19,17009007762
2012-09-20,17431075754
2012-09-21,17593920885
2012-09-24,17451015975
2012-09-25,17514160005
2012-09-26,17567333925
2012-09-27,17281524104
2012-09-28,17128649083
2012-10-01,17151912673
2012-10-02,17131972453
2012-10-03,17131972453
2012-10-04,17304787694
2012-10-05,17178499633
2012-10-08,16965803952
2012-10-09,16686640870
2012-10-10,16769725120
2012-10-11,16473945189
2012-10-12,16367597348
2012-10-15,16394184308
2012-10-16,16713227830
2012-10-17,16031936976
2012-10-18,15716216824
2012-10-19,15676336384
2012-10-22,15603222243
2012-10-23,15656396164
2012-10-24,15692953234
2012-10-25,15719540194
2012-10-26,15829211405
2012-10-31,16158225037
2012-11-01,16118344597
2012-11-02,15649356555
2012-11-05,15636252635
2012-11-06,15724704096
2012-11-07,15718152135
2012-11-08,15764015856
2012-11-09,15393830113
2012-11-12,15302102673
2012-11-13,15266066893
2012-11-14,15456073734
2012-11-15,15711600175
2012-11-16,15954022697
2012-11-19,15878675156
2012-11-20,15590388915
2012-11-21,15724704096
2012-11-23,16186617278
2012-11-26,16153857478
2012-11-27,16219377079
2012-11-28,16242308939
2012-11-29,16334036379
2012-11-30,16379900100
2012-12-03,15973678577
2012-12-04,15705048215
2012-12-05,15266066893
2012-12-06,15210375232
2012-12-07,15331586493
2012-12-10,15256238953
2012-12-11,14067058205
2012-12-12,14542075308
2012-12-13,14725530189
2012-12-14,14358620427
2012-12-17,14456899828
2012-12-18,14479831688
2012-12-19,14178441526
2012-12-20,14404484147
2012-12-21,14293100827
2012-12-24,14237409166
2012-12-26,14070334185
2012-12-27,14126025846
2012-12-28,13988434685
2012-12-31,14443795908
2013-01-02,14060506245
2013-01-03,13867223424
2013-01-04,14610870889
2013-01-07,14322584647
2013-01-08,14204649366
2013-01-09,14083438105
2013-01-10,14211201326
2013-01-11,14198097406
2013-01-14,14093266046
2013-01-15,14623974809
2013-01-16,14620698829
2013-01-17,14692770389
2013-01-18,14627250789
2013-01-22,14732082149
2013-01-23,14761565970
2013-01-24,15190719352
2013-01-25,15344690413
2013-01-28,15397106094
2013-01-29,15449521774
2013-01-30,15321758553
2013-01-31,15141579652
2013-02-01,15132403092
2013-02-04,14883902091
2013-02-05,14890441591
2013-02-06,15057198842
2013-02-07,14844665090
2013-02-08,15040850092
2013-02-11,14959106341
2013-02-12,14726954090
2013-02-13,14514420338
2013-02-14,14723684340
2013-02-15,14507880838
2013-02-19,14373821087
2013-02-20,14321505087
2013-02-21,14880632341
2013-02-22,15050659342
2013-02-25,14861013840
2013-02-26,14697526339
2013-02-27,15223956093
2013-02-28,15152021592
2013-03-01,15554200845
2013-03-04,15907333847
2013-03-05,15995617097
2013-03-06,15760195096
2013-03-07,15518233594
2013-03-08,15626135345
2013-03-11,15524773094
2013-03-12,15616326095
2013-03-13,15704609346
2013-03-14,15946570847
2013-03-15,15753655596
2013-03-18,15730767346
2013-03-19,15619595845
2013-03-20,16280085349
2013-03-21,16286624849
2013-03-22,16371638350
2013-03-25,16701883102
2013-03-26,17074634604
2013-03-27,16659376351
2013-03-28,16538395601
2013-04-01,16551474601
2013-04-02,16525316601
2013-04-03,16387987100
2013-04-04,16587441851
2013-04-05,16479540100
2013-04-08,16466461100
2013-04-09,16299703849
2013-04-10,16427224100
2013-04-11,16440303100
2013-04-12,16450112350
2013-04-15,16316052599
2013-04-16,16502428350
2013-04-17,16970002603
2013-04-18,16773817602
2013-04-19,16943844603
2013-04-22,16881719353
2013-04-23,17051746354
2013-04-24,17032127854
2013-04-25,17234852355
2013-04-26,17274089355
2013-04-29,17061555604
2013-04-30,17032127854
2013-05-01,17012509354
2013-05-02,17130220354
2013-05-03,17047177404
2013-05-06,17401176707
2013-05-07,17355708906
2013-05-08,17349213506
2013-05-09,17108883705
2013-05-10,17147856105
2013-05-13,17079654405
2013-05-14,17144608405
2013-05-15,17316736506
2013-05-16,17297250306
2013-05-17,17563561708
2013-05-20,17485616907
2013-05-21,17690222008
2013-05-22,17492112307
2013-05-23,17683726608
2013-05-24,17673983508
2013-05-28,17693469708
2013-05-29,17514846207
2013-05-30,17430406007
2013-05-31,17147856105
2013-06-03,17391433607
2013-06-04,15796812897
2013-06-05,16300206400
2013-06-06,16667196502
2013-06-07,16592499402
2013-06-10,16352169600
2013-06-11,16780866003
2013-06-12,16592499402
2013-06-13,16628224102
2013-06-14,16621728702
2013-06-17,16605490202
2013-06-18,16982223404
2013-06-19,16670444202
2013-06-20,16199527699
2013-06-21,16306701800
2013-06-24,16238500100
2013-06-25,16404132801
2013-06-26,16618481002
2013-06-27,16771122903
2013-06-28,16378151200
2013-07-01,17027691204
2013-07-02,16680187302
2013-07-03,16598994802
2013-07-05,16891287804
2013-07-08,16927012504
2013-07-09,16823086103
2013-07-10,17790900709
2013-07-11,18073450611
2013-07-12,17462883007
2013-07-15,17524589307
2013-07-16,17505103107
2013-07-17,17423910607
2013-07-18,17358956606
2013-07-19,17310241106
2013-07-22,17388185907
2013-07-23,17479121507
2013-07-24,17612277208
2013-07-25,17612277208
2013-07-26,17466130707
2013-07-29,17596038708
2013-07-30,17557066308
2013-07-31,17755176009
2013-08-01,17998753510
2013-08-02,17948256801
2013-08-05,17774532860
2013-08-06,17652282679
2013-08-07,17410999428
2013-08-08,17607243139
2013-08-09,17452821858
2013-08-12,17484992958
2013-08-13,17565420709
2013-08-14,17533249609
2013-08-15,17211538607
2013-08-16,16880176274
2013-08-19,17401348098
2013-08-20,17169716176
2013-08-21,17501078508
2013-08-22,17838875060
2013-08-23,17710190660
2013-08-26,17883914601
2013-08-27,17581506259
2013-08-28,17526815388
2013-08-29,17491427178
2013-08-30,17362742777
2013-09-03,17333788787
2013-09-04,18141283402
2013-09-05,18459777294
2013-09-06,18324658673
2013-09-09,18488731284
2013-09-10,18443691744
2013-09-11,18453343074
2013-09-12,18382566654
2013-09-13,18282836243
2013-09-16,18337527114
2013-09-17,18443691744
2013-09-18,18633501235
2013-09-19,18816876506
2013-09-20,18546639265
2013-09-23,18720363206
2013-09-24,18694626326
2013-09-25,18337527114
2013-09-26,18257099363
2013-09-27,18205625603
2013-09-30,18163803172
2013-10-01,18588461695
2013-10-02,18627067015
2013-10-03,18578810365
2013-10-04,18906955587
2013-10-07,18382566654
2013-10-08,18128414962
2013-10-09,18241013813
2013-10-10,18511251055
2013-10-11,18604547245
2013-10-14,18353612664
2013-10-15,18257099363
2013-10-16,18456560184
2013-10-17,18923041137
2013-10-18,18945560907
2013-10-21,18955212237
2013-10-22,19099982188
2013-10-23,18974514897
2013-10-24,19222232369
2013-10-25,19141804619
2013-10-28,19035639988
2013-10-29,19090330858
2013-10-30,18842613387
2013-10-31,18588461695
2013-11-01,18376059415
2013-11-04,18299717815
2013-11-05,18484210016
2013-11-06,18452401016
2013-11-07,18201109914
2013-11-08,18220195314
2013-11-11,18452401016
2013-11-12,18598722416
2013-11-13,18843651718
2013-11-14,18923174218
2013-11-15,18850013518
2013-11-18,18729139317
2013-11-19,18671883117
2013-11-20,18554189816
2013-11-21,18430134715
2013-11-22,18576456116
2013-11-25,18605084216
2013-11-26,18700511217
2013-11-27,18242461614
2013-11-29,18112044713
2013-12-02,17905286212
2013-12-03,17965723312
2013-12-04,17930733412
2013-12-05,19024963019
2013-12-06,19149018120
2013-12-09,19428937322
2013-12-10,19320786721
2013-12-11,19502098022
2013-12-12,19231721520
2013-12-13,19238083320
2013-12-16,18923174218
2013-12-17,18776852818
2013-12-18,19094942820
2013-12-19,18945440519
2013-12-20,19110847320
2013-12-23,19591163223
2013-12-24,19552992422
2013-12-26,19381223821
2013-12-27,19120390020
2013-12-30,19308063121
2013-12-31,19187188920
2014-01-02,19467108122
2014-01-03,19397128321
2014-01-06,18961345019
2014-01-07,19050410219
2014-01-08,18989973119
2014-01-09,19575258723
2014-01-10,19998318425
2014-01-13,19304882221
2014-01-14,19591163223
2014-01-15,19463927222
2014-01-16,19266711421
2014-01-17,19117209120
2014-01-21,18662340417
2014-01-22,18433315615
2014-01-23,18318803215
2014-01-24,18242461614
2014-01-27,18293356015
2014-01-28,18217014414
2014-01-29,18010255913
2014-01-30,17972085113
2014-01-31,17421522032
2014-02-03,17170963921
2014-02-04,17257576601
2014-02-05,17365842452
2014-02-06,17706106554
2014-02-07,17662800214
2014-02-10,17526694573
2014-02-11,17539067813
2014-02-12,17406055482
2014-02-13,17294696321
2014-02-14,17712293174
2014-02-18,17947384736
2014-02-19,17767972754
2014-02-20,17662800214
2014-02-21,17783439304
2014-02-24,17950478046
2014-02-25,17947384736
2014-02-26,18522740399
2014-02-27,18488713989
2014-02-28,18528927019
2014-03-03,18510367159
2014-03-04,18504180539
2014-03-05,18470154129
2014-03-06,18377354828
2014-03-07,18371168208
2014-03-10,18374261518
2014-03-11,18374261518
2014-03-12,18340235108
2014-03-13,17836025575
2014-03-14,17690640004
2014-03-17,17854585435
2014-03-18,17913358325
2014-03-19,17894798465
2014-03-20,17811279095
2014-03-21,17950478046
2014-03-24,17412242102
2014-03-25,17075071310
2014-03-26,17195710401
2014-03-27,17220456881
2014-03-28,17136937510
2014-03-31,17161683990
2014-04-01,17452455132
2014-04-02,17699919934
2014-04-03,17727759724
2014-04-04,17532881193
2014-04-07,17130750890
2014-04-08,17152404060
2014-04-09,17433895272
2014-04-10,17152404060
2014-04-11,16932779049
2014-04-14,17075071310
2014-04-15,17003925179
2014-04-16,16976085389
2014-04-17,17146217440
2014-04-21,17041044900
2014-04-22,17041044900
2014-04-23,17115284340
2014-04-24,17109097720
2014-04-25,17424615342
2014-04-28,17402962172
2014-04-29,17328722732
2014-04-30,17458641752
2014-05-01,17523601263
2014-05-02,17271855114
2014-05-05,17238523463
2014-05-06,17247613913
2014-05-07,17199131513
2014-05-08,17187010913
2014-05-09,17193071213
2014-05-12,17274885264
2014-05-13,17090046112
2014-05-14,17041563712
2014-05-15,16744609010
2014-05-16,16856724561
2014-05-19,16968840112
2014-05-20,16580980909
2014-05-21,16574920609
2014-05-22,16793091410
2014-05-23,16890056211
2014-05-27,17059744612
2014-05-28,16544619109
2014-05-29,16211302607
2014-05-30,16296146807
2014-06-02,16453714608
2014-06-03,17093076262
2014-06-04,17156709413
2014-06-05,17480935465
2014-06-06,17571839965
2014-06-09,18862683874
2014-06-10,18526337222
2014-06-11,18326347320
2014-06-12,18238472970
2014-06-13,18389980471
2014-06-16,18650573373
2014-06-17,18644513073
2014-06-18,18614211572
2014-06-19,18641482923
2014-06-20,19035402425
2014-06-23,18683905023
2014-06-24,18692995473
2014-06-25,18629362322
2014-06-26,18689965323
2014-06-27,17329427964
2014-06-30,17380940514
2014-07-01,17486995765
2014-07-02,17611231916
2014-07-03,17641533416
