,EBAY
2001-07-10,6878544960
2001-07-11,6867695520
2001-07-12,7638005760
2001-07-13,7648855200
2001-07-16,7518661920
2001-07-17,7703102400
2001-07-18,7594608000
2001-07-19,7355920320
2001-07-20,7627156320
2001-07-23,7421016960
2001-07-24,7041286560
2001-07-25,7030437120
2001-07-26,7399318080
2001-07-27,7258275360
2001-07-30,6965340480
2001-07-31,7138931520
2001-08-01,7030437120
2001-08-02,6943641600
2001-08-03,7345070880
2001-08-06,7247425920
2001-08-07,7345070880
2001-08-08,7117232640
2001-08-09,7171479840
2001-08-10,6976189920
2001-08-13,6932792160
2001-08-14,7008738240
2001-08-15,6845996640
2001-08-16,6965340480
2001-08-17,6737502240
2001-08-20,6911093280
2001-08-21,6607308960
2001-08-22,6498814560
2001-08-23,6281825760
2001-08-24,6737502240
2001-08-27,6433717920
2001-08-28,6162481920
2001-08-29,6151632480
2001-08-30,6336072960
2001-08-31,6422868480
2001-09-04,6216729120
2001-09-05,6238428000
2001-09-06,6292675200
2001-09-07,6043138080
2001-09-10,6227578560
2001-09-17,5641708800
2001-09-18,5706805440
2001-09-19,5522364960
2001-09-20,5131785120
2001-09-21,5001591840
2001-09-24,5337924480
2001-09-25,5348773920
2001-09-26,5023290720
2001-09-27,5153484000
2001-09-28,5218580640
2001-10-01,5424831360
2001-10-02,5490720000
2001-10-03,5776237440
2001-10-04,6072736320
2001-10-05,6171569280
2001-10-08,6402179520
2001-10-09,6281383680
2001-10-10,6566901120
2001-10-11,6863400000
2001-10-12,6808492800
2001-10-15,7115973120
2001-10-16,7115973120
2001-10-17,6599845440
2001-10-18,6819474240
2001-10-19,6006847680
2001-10-22,6138624960
2001-10-23,6424142400
2001-10-24,6610826880
2001-10-25,6830455680
2001-10-26,6588864000
2001-10-29,6072736320
2001-10-30,6171569280
2001-10-31,6061754880
2001-11-01,6149606400
2001-11-02,5973903360
2001-11-05,6226476480
2001-11-06,6435123840
2001-11-07,6533956800
2001-11-08,6391198080
2001-11-09,6577882560
2001-11-12,6665734080
2001-11-13,6918307200
2001-11-14,7181861760
2001-11-15,6940270080
2001-11-16,6929288640
2001-11-19,7181861760
2001-11-20,6830455680
2001-11-21,7028121600
2001-11-23,7115973120
2001-11-26,7533267840
2001-11-27,7489342080
2001-11-28,7522286400
2001-11-29,7654063680
2001-11-30,7862711040
2001-12-03,7752896640
2001-12-04,8082339840
2001-12-05,7972525440
2001-12-06,8104302720
2001-12-07,7851729600
2001-12-10,7741915200
2001-12-11,8104302720
2001-12-12,8027432640
2001-12-13,7643082240
2001-12-14,7697989440
2001-12-17,8005469760
2001-12-18,7719952320
2001-12-19,7654063680
2001-12-20,7346583360
2001-12-21,7511304960
2001-12-24,7368546240
2001-12-26,7665045120
2001-12-27,7643082240
2001-12-28,7851729600
2001-12-31,7837829120
2002-01-02,7748762880
2002-01-03,7960295200
2002-01-04,8027094880
2002-01-07,7826695840
2002-01-08,7915762080
2002-01-09,7837829120
2002-01-10,7726496320
2002-01-11,7481564160
2002-01-14,7403631200
2002-01-15,7503830720
2002-01-16,7025099680
2002-01-17,7214365440
2002-01-18,7047366240
2002-01-22,6969433280
2002-01-23,6924900160
2002-01-24,7013966400
2002-01-25,7103032640
2002-01-28,6991699840
2002-01-29,6947166720
2002-01-30,6757900960
2002-01-31,6913766880
2002-02-01,6802434080
2002-02-04,6512968800
2002-02-05,6379369440
2002-02-06,6468435680
2002-02-07,6435035840
2002-02-08,6869233760
2002-02-11,6713367840
2002-02-12,6802434080
2002-02-13,6869233760
2002-02-14,7025099680
2002-02-15,6902633600
2002-02-19,6256903360
2002-02-20,6368236160
2002-02-21,6323703040
2002-02-22,6112170720
2002-02-25,6345969600
2002-02-26,6234636800
2002-02-27,5755905760
2002-02-28,6101037440
2002-03-01,6423902560
2002-03-04,6969433280
2002-03-05,6880367040
2002-03-06,6858100480
2002-03-07,6746767680
2002-03-08,7080766080
2002-03-11,7080766080
2002-03-12,6869233760
2002-03-13,6657701440
2002-03-14,6635434880
2002-03-15,6757900960
2002-03-18,6769034240
2002-03-19,6802434080
2002-03-20,6602035040
2002-03-21,6858100480
2002-03-22,6936033440
2002-03-25,6724501120
2002-03-26,6679968000
2002-03-27,6691101280
2002-03-28,6635434880
2002-04-01,6669598320
2002-04-02,6489945840
2002-04-03,6299065080
2002-04-04,6242923680
2002-04-05,6276608520
2002-04-08,6512402400
2002-04-09,6287836800
2002-04-10,6355206480
2002-04-11,6007129800
2002-04-12,6388891320
2002-04-15,6534858960
2002-04-16,6624685200
2002-04-17,6489945840
2002-04-18,6265380240
2002-04-19,6422576160
2002-04-22,6343978200
2002-04-23,6198010559
2002-04-24,6063271200
2002-04-25,6119412600
2002-04-26,5872390440
2002-04-29,6007129800
2002-04-30,6276608520
2002-05-01,6388891320
2002-05-02,6175554000
2002-05-03,6063271200
2002-05-06,5973444960
2002-05-07,5883618720
2002-05-08,6377663040
2002-05-09,6343978200
2002-05-10,6265380240
2002-05-13,6433804440
2002-05-14,6692054880
2002-05-15,6770652840
2002-05-16,6635913480
2002-05-17,6658370040
2002-05-20,6635913480
2002-05-21,6512402400
2002-05-22,6523630680
2002-05-23,6927848760
2002-05-24,6770652840
2002-05-28,6613456920
2002-05-29,6714511440
2002-05-30,6669598320
2002-05-31,6523630680
2002-06-03,6512402400
2002-06-04,6512402400
2002-06-05,6501174120
2002-06-06,6489945840
2002-06-07,6692054880
2002-06-10,6692054880
2002-06-11,6591000360
2002-06-12,6894163920
2002-06-13,6972761880
2002-06-14,6972761880
2002-06-17,7455577920
2002-06-18,7343295120
2002-06-19,7298382000
2002-06-20,7141186080
2002-06-21,7062588120
2002-06-24,7410664800
2002-06-25,7129957800
2002-06-26,7163642640
2002-06-27,7253468880
2002-06-28,7275925440
2002-07-01,6955058880
2002-07-02,6853442760
