,CMA
2001-08-09,11110979250
2001-08-10,11116318500
2001-08-13,11189288250
2001-08-14,11160812250
2001-08-15,11123437500
2001-08-16,11164371750
2001-08-17,11173270500
2001-08-20,11150133750
2001-08-21,11159032500
2001-08-22,11212425000
2001-08-23,11248020000
2001-08-24,11062926000
2001-08-27,10858254750
2001-08-28,10810201500
2001-08-29,10507644000
2001-08-30,10580613750
2001-08-31,10634006250
2001-09-04,10568155500
2001-09-05,10368823500
2001-09-06,10224663750
2001-09-07,10002195000
2001-09-10,10030671000
2001-09-17,9642685500
2001-09-18,9769047750
2001-09-19,9754809750
2001-09-20,9429115500
2001-09-21,9094522500
2001-09-24,9338348250
2001-09-25,9667602000
2001-09-26,9512763750
2001-09-27,9694298250
2001-09-28,9859815000
2001-10-01,13429720159
2001-10-02,13246420976
2001-10-03,13207317150
2001-10-04,13124221520
2001-10-05,12403244733
2001-10-08,11926666856
2001-10-09,11995098551
2001-10-10,12549884079
2001-10-11,12439904569
2001-10-12,12217501560
2001-10-15,12102634072
2001-10-16,11982878606
2001-10-17,11550292533
2001-10-18,11235017938
2001-10-19,10993063016
2001-10-22,10914855365
2001-10-23,11244793895
2001-10-24,11660272043
2001-10-25,11733591717
2001-10-26,11738479695
2001-10-29,11586952370
2001-10-30,11340109470
2001-10-31,11264345807
2001-11-01,11506300729
2001-11-02,11450088980
2001-11-05,11706707836
2001-11-06,11995098551
2001-11-07,12061086257
2001-11-08,12244385441
2001-11-09,12173509756
2001-11-12,12166177789
2001-11-13,12427684624
2001-11-14,12185729702
2001-11-15,12158845822
2001-11-16,12127073963
2001-11-19,12266381343
2001-11-20,12281045277
2001-11-21,12210169593
2001-11-23,12498560308
2001-11-26,12544996101
2001-11-27,12537664134
2001-11-28,12344588994
2001-11-29,12537664134
2001-11-30,12552328068
2001-12-03,12378804842
2001-12-04,12584099927
2001-12-05,12997134086
2001-12-06,13258640921
2001-12-07,13202429172
2001-12-10,13136441466
2001-12-11,13090005673
2001-12-12,13053345836
2001-12-13,12901818511
2001-12-14,13075341738
2001-12-17,13038681901
2001-12-18,13175545292
2001-12-19,13434608137
2001-12-20,13810982460
2001-12-21,13808538471
2001-12-24,13784098580
2001-12-26,13913630003
2001-12-27,13911186014
2001-12-28,14233792576
2001-12-31,10050993000
2002-01-02,9989599500
2002-01-03,9998370000
2002-01-04,10173780000
2002-01-07,10205353800
2002-01-08,10107124200
2002-01-09,10035206100
2002-01-10,10033452000
2002-01-11,9966796200
2002-01-14,9821205900
2002-01-15,9961533900
2002-01-16,9701927100
2002-01-17,9870320700
2002-01-18,9875583000
2002-01-22,9851025600
2002-01-23,9966796200
2002-01-24,10012402800
2002-01-25,10010648700
2002-01-28,10005386400
2002-01-29,9482664600
2002-01-30,9726484500
2002-01-31,9873828900
2002-02-01,9775599300
2002-02-04,9515992500
2002-02-05,9452844900
2002-02-06,9331812000
2002-02-07,9542304000
2002-02-08,9658074600
2002-02-11,9814189500
2002-02-12,9793140300
2002-02-13,9903648600
2002-02-14,9972058500
2002-02-15,9938730600
2002-02-19,9744025500
2002-02-20,9891369900
2002-02-21,9798402600
2002-02-22,9905402700
