,FOXA
2022-07-22,19338000000
2022-07-25,19404000000
2022-07-26,18755000000
2022-07-27,19068500000
2022-07-28,19184000000
2022-07-29,18210500000
2022-08-01,18392000000
2022-08-02,18260000000
2022-08-03,18463500000
2022-08-04,18441500000
2022-08-05,18331500000
2022-08-08,18408500000
2022-08-09,18557000000
2022-08-10,19184000000
2022-08-11,20036500000
2022-08-12,20075000000
2022-08-15,20009000000
2022-08-16,20075000000
2022-08-17,19893500000
2022-08-18,19811000000
2022-08-19,19624000000
2022-08-22,19085000000
2022-08-23,18980500000
2022-08-24,19129000000
2022-08-25,19239000000
2022-08-26,18832000000
2022-08-29,18876000000
2022-08-30,18810000000
2022-08-31,18799000000
2022-09-01,18722000000
2022-09-02,18557000000
2022-09-06,18133500000
2022-09-07,18381000000
2022-09-08,18436000000
2022-09-09,18986000000
2022-09-12,19140000000
2022-09-13,18419500000
2022-09-14,18436000000
2022-09-15,19008000000
2022-09-16,18518500000
2022-09-19,18898000000
2022-09-20,18832000000
2022-09-21,17996000000
2022-09-22,17660500000
2022-09-23,17440500000
2022-09-26,17116000000
2022-09-27,17022500000
2022-09-28,17292000000
2022-09-29,16780500000
2022-09-30,16597880000
2022-10-03,16911660000
2022-10-04,17436430000
2022-10-05,17063140000
2022-10-06,16862970000
2022-10-07,16971170000
2022-10-10,16846740000
2022-10-11,16592470000
2022-10-12,16495090000
2022-10-13,17149700000
2022-10-14,17068550000
2022-10-17,15461780000
2022-10-18,15797200000
2022-10-19,15862120000
2022-10-20,15694410000
2022-10-21,15921630000
2022-10-24,16024420000
2022-10-25,16143440000
2022-10-26,15672770000
2022-10-27,15239970000
2022-10-28,15602440000
2022-10-31,15618670000
2022-11-01,16516730000
2022-11-02,16257050000
2022-11-03,16202950000
2022-11-04,16143440000
2022-11-07,15764740000
2022-11-08,15872940000
2022-11-09,15386040000
2022-11-10,15927040000
2022-11-11,16511320000
2022-11-14,16451810000
2022-11-15,16635750000
2022-11-16,16495090000
2022-11-17,16570830000
2022-11-18,16733130000
2022-11-21,16505910000
2022-11-22,16716900000
2022-11-23,16814280000
2022-11-25,16927890000
2022-11-28,16771000000
2022-11-29,17160520000
2022-11-30,17555450000
2022-12-01,17366100000
2022-12-02,17609550000
2022-12-05,17317410000
2022-12-06,16771000000
2022-12-07,16608700000
2022-12-08,16771000000
2022-12-09,16938710000
2022-12-12,17057730000
2022-12-13,17328230000
2022-12-14,17203800000
2022-12-15,16608700000
2022-12-16,16630340000
2022-12-19,15954090000
2022-12-20,16202950000
2022-12-21,16408530000
2022-12-22,16500500000
2022-12-23,16641160000
2022-12-27,16565420000
2022-12-28,16289510000
2022-12-29,16532960000
2022-12-30,16430170000
2023-01-03,15770670000
2023-01-04,16296880000
2023-01-05,16072850000
2023-01-06,16541750000
2023-01-09,16291670000
2023-01-10,16614690000
2023-01-11,16708470000
2023-01-12,16781410000
2023-01-13,16843930000
2023-01-17,16552170000
2023-01-18,16401080000
2023-01-19,16312510000
2023-01-20,16442760000
2023-01-23,17021070000
2023-01-24,17021070000
2023-01-25,17448290000
2023-01-26,17693160000
2023-01-27,17635850000
2023-01-30,17536860000
2023-01-31,17682740000
2023-02-01,17875510000
2023-02-02,18224580000
2023-02-03,18026600000
2023-02-06,17698370000
2023-02-07,17740050000
2023-02-08,18516340000
2023-02-09,18620540000
2023-02-10,18657010000
2023-02-13,18594490000
2023-02-14,18630960000
2023-02-15,19339520000
2023-02-16,19136330000
2023-02-17,19292630000
2023-02-21,18844570000
2023-02-22,19021710000
2023-02-23,18933140000
2023-02-24,18698690000
2023-02-27,18589280000
2023-02-28,18245420000
2023-03-01,18130800000
2023-03-02,18292310000
2023-03-03,18193320000
2023-03-06,18130800000
2023-03-07,18073490000
2023-03-08,17974500000
2023-03-09,17333670000
2023-03-10,17265940000
2023-03-13,16817880000
2023-03-14,17140900000
2023-03-15,16942920000
2023-03-16,17161739999
2023-03-17,17052329999
2023-03-20,17417030000
2023-03-21,17573330000
2023-03-22,17359720000
2023-03-23,17542070000
2023-03-24,17224260000
2023-03-27,17521230000
2023-03-28,17067959999
2023-03-29,17281570000
2023-03-30,17542070000
2023-03-31,17229300000
2023-04-03,17295080000
2023-04-04,17138219999
2023-04-05,17072440000
2023-04-06,16925700000
2023-04-10,17168580000
2023-04-11,17300140000
2023-04-12,17067379999
2023-04-13,17173639999
2023-04-14,16905459999
2023-04-17,17198940000
2023-04-18,17204000000
2023-04-19,17123040000
2023-04-20,17052200000
2023-04-21,17011719999
2023-04-24,16515840000
2023-04-25,16414639999
2023-04-26,16429820000
2023-04-27,16627160000
2023-04-28,16829559999
2023-05-01,16849799999
2023-05-02,16728360000
2023-05-03,16546200000
2023-05-04,15766960000
2023-05-05,16176820000
2023-05-08,16278020000
2023-05-09,16030080000
2023-05-10,15782140000
2023-05-11,15519020000
2023-05-12,15544320000
2023-05-15,15691060000
2023-05-16,15448180000
2023-05-17,15878280000
2023-05-18,15731540000
2023-05-19,15858040000
2023-05-22,15842860000
2023-05-23,15863100000
2023-05-24,15701180000
2023-05-25,15721420000
2023-05-26,15888400000
2023-05-30,15928880000
2023-05-31,15787200000
2023-06-01,15842860000
2023-06-02,16126220000
2023-06-05,16288139999
2023-06-06,16465240000
2023-06-07,16875100000
2023-06-08,17123040000
2023-06-09,16971240000
2023-06-12,16945940000
2023-06-13,16854860000
2023-06-14,16844740000
2023-06-15,17037020000
2023-06-16,17021840000
2023-06-20,16824500000
2023-06-21,16794139999
2023-06-22,16647400000
2023-06-23,16531020000
2023-06-26,16819440000
2023-06-27,17386160000
2023-06-28,17370980000
2023-06-29,17411460000
2023-06-30,16728000000
2023-07-03,16885440000
2023-07-05,16831320000
2023-07-06,16747680000
2023-07-07,16767360000
2023-07-10,16580400000
2023-07-11,16595159999
2023-07-12,16565640000
2023-07-13,16570560000
2023-07-14,16329479999
2023-07-17,16452479999
2023-07-18,16728000000
2023-07-19,16590240000
2023-07-20,16619760000
2023-07-21,16486919999
2023-07-24,16334400000
2023-07-25,16221240000
2023-07-26,16309800000
2023-07-27,16285200000
2023-07-28,16354080000
2023-07-31,16457400000
2023-08-01,16363919999
2023-08-02,16398360000
2023-08-03,16216320000
2023-08-04,16265520000
2023-08-07,16275360000
2023-08-08,17185560000
2023-08-09,17047800000
2023-08-10,16969080000
2023-08-11,17023200000
2023-08-14,16649280000
2023-08-15,16732919999
2023-08-16,16526280000
2023-08-17,16211400000
2023-08-18,16457400000
2023-08-21,16334400000
2023-08-22,16167120000
2023-08-23,16206479999
2023-08-24,16029360000
2023-08-25,15955560000
2023-08-28,16122840000
2023-08-29,16191719999
2023-08-30,16432800000
2023-08-31,16265520000
2023-09-01,15242160000
2023-09-05,15463560000
2023-09-06,15438960000
2023-09-07,15183120000
2023-09-08,15429120000
2023-09-11,15586560000
2023-09-12,15803039999
2023-09-13,15438960000
2023-09-14,15758760000
2023-09-15,15684960000
2023-09-18,15640680000
2023-09-19,15788280000
2023-09-20,15325800000
2023-09-21,15812880000
2023-09-22,15424200000
2023-09-25,15355320000
2023-09-26,15227400000
2023-09-27,15212640000
2023-09-28,15320880000
2023-09-29,15350400000
2023-10-02,14838850000
2023-10-03,14526200000
2023-10-04,14579110000
2023-10-05,14526200000
2023-10-06,14612780000
2023-10-09,14901380000
2023-10-10,15040870000
