,RRC
2001-10-10,231972187
2001-10-11,226274624
2001-10-12,227088562
2001-10-15,230344312
2001-10-16,236041875
2001-10-17,232786125
2001-10-18,223832812
2001-10-19,231972187
2001-10-22,235227937
2001-10-23,231972187
2001-10-24,230344312
2001-10-25,237669750
2001-10-26,252320625
2001-10-29,244995187
2001-10-30,238483687
2001-10-31,243367312
2001-11-01,244181250
2001-11-02,244995187
2001-11-05,244181250
2001-11-06,244995187
2001-11-07,241739437
2001-11-08,244181250
2001-11-09,248250937
2001-11-12,241739437
2001-11-13,246623062
2001-11-14,234414000
2001-11-15,218949187
2001-11-16,226274624
2001-11-19,228716437
2001-11-20,228716437
2001-11-21,226274624
2001-11-23,227088562
2001-11-26,215693437
2001-11-27,216507375
2001-11-28,218949187
2001-11-29,227088562
2001-11-30,227088562
2001-12-03,218135250
2001-12-04,227088562
2001-12-05,225460687
2001-12-06,238483687
2001-12-07,238483687
2001-12-10,239297625
2001-12-11,238483687
2001-12-12,240111562
2001-12-13,237669750
2001-12-14,233600062
2001-12-17,238483687
2001-12-18,235227937
2001-12-19,236855812
2001-12-20,233600062
2001-12-21,240925500
2001-12-24,243367312
2001-12-26,256390312
2001-12-27,253134562
2001-12-28,254762437
2001-12-31,244712247
2002-01-02,236635935
2002-01-03,249558034
2002-01-04,251980928
2002-01-07,264095395
2002-01-08,266518289
2002-01-09,258441977
2002-01-10,251980928
2002-01-11,247942772
2002-01-14,220483312
2002-01-15,230982517
2002-01-16,227751992
2002-01-17,228559623
2002-01-18,231790148
2002-01-22,226136730
2002-01-23,234213042
2002-01-24,234213042
2002-01-25,229367255
2002-01-28,230982517
2002-01-29,228559623
2002-01-30,228559623
2002-01-31,227751992
2002-02-01,228559623
2002-02-04,218060418
2002-02-05,219675680
2002-02-06,223713836
2002-02-07,226136730
2002-02-08,242289354
2002-02-11,246327509
2002-02-12,241481722
2002-02-13,249558034
2002-02-14,239866460
2002-02-15,244712247
2002-02-19,238251198
2002-02-20,244712247
2002-02-21,244712247
2002-02-22,252788559
2002-02-25,252788559
2002-02-26,251173296
2002-02-27,251173296
2002-02-28,250365665
2002-03-01,257634346
2002-03-04,259249608
2002-03-05,247135141
2002-03-06,249558034
2002-03-07,254403821
2002-03-08,260864871
2002-03-11,264095395
2002-03-12,268133551
2002-03-13,272171707
2002-03-14,272171707
2002-03-15,272171707
2002-03-18,289939593
2002-03-19,280248019
2002-03-20,270556445
2002-03-21,282670913
2002-03-22,272171707
2002-03-25,268133551
2002-03-26,268133551
2002-03-27,279440388
2002-03-28,279440388
2002-04-01,252195000
2002-04-02,254388000
2002-04-03,251464000
2002-04-04,250002000
2002-04-05,246347000
2002-04-08,250733000
2002-04-09,246347000
2002-04-10,250002000
2002-04-11,246347000
2002-04-12,250733000
2002-04-15,255850000
2002-04-16,261698000
2002-04-17,262429000
2002-04-18,272663000
2002-04-19,271201000
2002-04-22,261698000
2002-04-23,274856000
2002-04-24,277049000
2002-04-25,281435000
2002-04-26,272663000
2002-04-29,274125000
2002-04-30,281435000
2002-05-01,279973000
2002-05-02,282897000
2002-05-03,286552000
2002-05-06,282166000
2002-05-07,260967000
2002-05-08,265353000
2002-05-09,253657000
2002-05-10,253657000
2002-05-13,263160000
2002-05-14,268277000
2002-05-15,260967000
2002-05-16,261698000
2002-05-17,266084000
2002-05-20,268277000
2002-05-21,266815000
2002-05-22,267546000
2002-05-23,269008000
2002-05-24,253657000
2002-05-28,260967000
2002-05-29,262429000
2002-05-30,258774000
2002-05-31,258043000
2002-06-03,249271000
2002-06-04,263160000
2002-06-05,264622000
2002-06-06,253657000
2002-06-07,258043000
2002-06-10,255850000
2002-06-11,255119000
2002-06-12,263160000
2002-06-13,262429000
2002-06-14,254388000
2002-06-17,253657000
2002-06-18,252195000
2002-06-19,248540000
2002-06-20,252195000
2002-06-21,259505000
2002-06-24,256580999
2002-06-25,259505000
2002-06-26,253657000
2002-06-27,269739000
2002-06-28,272663000
2002-07-01,303512293
2002-07-02,295375234
2002-07-03,297002646
2002-07-05,303512293
2002-07-08,298630057
2002-07-09,301884881
2002-07-10,292120410
2002-07-11,283169646
2002-07-12,277473705
2002-07-15,266081822
2002-07-16,262826999
2002-07-17,279101116
2002-07-18,256317352
2002-07-19,244925469
2002-07-22,238415822
2002-07-23,227023940
2002-07-24,233533587
2002-07-25,232719881
2002-07-26,243298058
2002-07-29,274218881
2002-07-30,269336646
2002-07-31,275846293
2002-08-01,265268116
2002-08-02,238415822
2002-08-05,241670646
2002-08-06,279101116
2002-08-07,264454411
2002-08-08,249807705
2002-08-09,260385881
2002-08-12,268522940
2002-08-13,262826999
2002-08-14,271777763
2002-08-15,270964058
2002-08-16,276659999
2002-08-19,274218881
2002-08-20,279101116
2002-08-21,279101116
2002-08-22,282355940
2002-08-23,279101116
2002-08-26,281542234
2002-08-27,279101116
2002-08-28,275846293
2002-08-29,270964058
2002-08-30,289679293
2002-09-03,259572175
2002-09-04,274218881
2002-09-05,258758469
2002-09-06,270150352
2002-09-09,264454411
2002-09-10,253876234
2002-09-11,253876234
2002-09-12,252248822
2002-09-13,257944763
2002-09-16,257131058
2002-09-17,257131058
2002-09-18,249807705
2002-09-19,244111764
2002-09-20,248180293
2002-09-23,244925469
2002-09-24,244111764
2002-09-25,246552881
2002-09-26,246552881
2002-09-27,244111764
2002-09-30,245803998
2002-10-01,253682332
2002-10-02,246591832
2002-10-03,252106665
2002-10-04,240289165
2002-10-07,228471665
2002-10-08,230835165
2002-10-09,216654165
2002-10-10,218229832
2002-10-11,227683832
2002-10-14,243440498
2002-10-15,251318832
2002-10-16,247379665
2002-10-17,249743165
2002-10-18,255257998
2002-10-21,259984998
2002-10-22,253682332
2002-10-23,244228332
2002-10-24,237137832
2002-10-25,244228332
2002-10-28,234774332
2002-10-29,246591832
2002-10-30,247379665
2002-10-31,250530998
2002-11-01,256833665
2002-11-04,257621498
2002-11-05,259197165
2002-11-06,257621498
2002-11-07,249743165
2002-11-08,249743165
2002-11-11,246591832
2002-11-12,256833665
2002-11-13,249743165
2002-11-14,256833665
2002-11-15,254470165
2002-11-18,255257998
2002-11-19,254470165
2002-11-20,262348498
2002-11-21,263924165
2002-11-22,257621498
2002-11-25,260772832
2002-11-26,266287665
2002-11-27,274165998
2002-11-29,278892998
2002-12-02,289134832
2002-12-03,278892998
2002-12-04,278105165
2002-12-05,276529498
2002-12-06,281256498
2002-12-09,275741665
2002-12-10,287559165
2002-12-11,291498332
2002-12-12,304103665
2002-12-13,297013165
2002-12-16,301740165
2002-12-17,298588832
2002-12-18,295437498
2002-12-19,301740165
2002-12-20,307254998
2002-12-23,307254998
2002-12-24,303315832
2002-12-26,304103665
2002-12-27,287559165
2002-12-30,282832165
2002-12-31,283619998
2003-01-02,297013165
2003-01-03,297800998
2003-01-06,292286165
2003-01-07,280468665
2003-01-08,276529498
2003-01-09,293861832
2003-01-10,293861832
2003-01-13,291498332
2003-01-14,295437498
2003-01-15,311194165
2003-01-16,312769832
2003-01-17,307254998
2003-01-21,298588832
2003-01-22,301740165
2003-01-23,303315832
2003-01-24,306467165
2003-01-27,294649665
2003-01-28,297013165
2003-01-29,300952332
2003-01-30,307254998
2003-01-31,307254998
2003-02-03,308830665
2003-02-04,320648165
2003-02-05,320648165
2003-02-06,316708998
2003-02-07,317496831
2003-02-10,316708998
2003-02-11,311981998
2003-02-12,306467165
2003-02-13,308042832
2003-02-14,308830665
2003-02-18,309618498
2003-02-19,307254998
2003-02-20,306467165
2003-02-21,311194165
2003-02-24,315921165
2003-02-25,319860331
2003-02-26,312769832
2003-02-27,313557665
2003-02-28,311194165
2003-03-03,307254998
2003-03-04,299376665
2003-03-05,287559165
2003-03-06,289134832
2003-03-07,276529498
2003-03-10,265499832
2003-03-11,271802498
2003-03-12,280468665
2003-03-13,275741665
2003-03-14,279680832
2003-03-17,289134832
2003-03-18,282832165
2003-03-19,283619998
2003-03-20,284407832
2003-03-21,285983498
2003-03-24,289134832
2003-03-25,300952332
2003-03-26,285983498
2003-03-27,298588832
2003-03-28,304891498
2003-03-31,327969562
2003-04-01,325387125
2003-04-02,322804687
2003-04-03,314196562
2003-04-04,317639812
2003-04-07,328830375
2003-04-08,317639812
2003-04-09,329691187
2003-04-10,328830375
2003-04-11,321943875
2003-04-14,327108750
2003-04-15,319361437
2003-04-16,336577687
2003-04-17,344325000
2003-04-21,343464187
2003-04-22,344325000
2003-04-23,343464187
2003-04-24,338299312
2003-04-25,334856062
2003-04-28,340020937
2003-04-29,338299312
2003-04-30,339160125
2003-05-01,348629062
2003-05-02,357237187
2003-05-05,351211500
2003-05-06,345185812
2003-05-07,346046624
2003-05-08,340020937
2003-05-09,338299312
2003-05-12,333134437
2003-05-13,338299312
2003-05-14,337438500
2003-05-15,339160125
2003-05-16,331412812
2003-05-19,329691187
2003-05-20,322804687
2003-05-21,340020937
2003-05-22,338299312
2003-05-23,339160125
2003-05-27,343464187
2003-05-28,340020937
2003-05-29,337438500
2003-05-30,344325000
2003-06-02,362402062
2003-06-03,371871000
2003-06-04,372731812
2003-06-05,375314250
2003-06-06,382200750
2003-06-09,384783187
2003-06-10,387365625
2003-06-11,415772437
2003-06-12,419215687
2003-06-13,408885937
2003-06-16,405442687
2003-06-17,396834562
2003-06-18,387365625
2003-06-19,385644000
2003-06-20,388226437
2003-06-23,379618312
2003-06-24,377896687
2003-06-25,381339937
2003-06-26,376175062
2003-06-27,373592625
2003-06-30,337204646
2003-07-01,346885162
2003-07-02,352532130
2003-07-03,354952259
2003-07-07,350112001
2003-07-08,338818065
2003-07-09,350918710
2003-07-10,349305291
2003-07-11,349305291
2003-07-14,349305291
2003-07-15,340431484
2003-07-16,341238194
2003-07-17,334784517
2003-07-18,338011355
2003-07-21,335591226
2003-07-22,338011355
2003-07-23,338818065
2003-07-24,333171097
2003-07-25,337204646
2003-07-28,354952259
2003-07-29,349305291
2003-07-30,350918710
2003-07-31,347691872
2003-08-01,341238194
2003-08-04,338818065
2003-08-05,332364388
2003-08-06,336397936
2003-08-07,347691872
2003-08-08,342851614
2003-08-11,353338839
2003-08-12,365439485
2003-08-13,360599226
2003-08-14,365439485
2003-08-15,361405936
2003-08-18,364632775
2003-08-19,368666323
2003-08-20,365439485
2003-08-21,367859614
2003-08-22,360599226
2003-08-25,347691872
2003-08-26,352532130
2003-08-27,358179097
2003-08-28,363019356
2003-08-29,360599226
2003-09-02,370279743
2003-09-03,364632775
2003-09-04,359792517
2003-09-05,355758968
2003-09-08,367859614
2003-09-09,373506581
2003-09-10,367052904
2003-09-11,363019356
2003-09-12,372699872
2003-09-15,371086452
2003-09-16,372699872
2003-09-17,371086452
2003-09-18,372699872
2003-09-19,375120001
2003-09-22,376733420
2003-09-23,380766968
2003-09-24,384800517
2003-09-25,372699872
2003-09-26,366246194
2003-09-29,365439485
2003-09-30,397337715
2003-10-01,406922616
2003-10-02,412150744
2003-10-03,419121581
2003-10-06,433063256
2003-10-07,453975767
2003-10-08,456589831
2003-10-09,454847122
2003-10-10,455718476
2003-10-13,451361703
2003-10-14,452233058
2003-10-15,441776802
2003-10-16,444390866
2003-10-17,443519511
2003-10-20,451361703
2003-10-21,462689313
2003-10-22,450490348
2003-10-23,448747639
2003-10-24,450490348
2003-10-27,460946604
2003-10-28,453104412
2003-10-29,462689313
2003-10-30,435677320
2003-10-31,444390866
2003-11-03,447004930
2003-11-04,440034093
2003-11-05,437420029
2003-11-06,447004930
2003-11-07,446133575
2003-11-10,442648157
2003-11-11,440034093
2003-11-12,450490348
2003-11-13,461817959
2003-11-14,462689313
2003-11-17,459203895
2003-11-18,459203895
2003-11-19,453104412
2003-11-20,453975767
2003-11-21,459203895
2003-11-24,461817959
2003-11-25,456589831
2003-11-26,459203895
2003-11-28,459203895
2003-12-01,475759633
2003-12-02,481859115
2003-12-03,471402860
2003-12-04,490572662
2003-12-05,491444016
2003-12-08,511485173
2003-12-09,511485173
2003-12-10,505385691
2003-12-11,503642981
2003-12-12,513227882
2003-12-15,514970592
2003-12-16,547210713
2003-12-17,555052905
2003-12-18,566380516
2003-12-19,557666969
2003-12-22,559409678
2003-12-23,557666969
2003-12-24,557666969
2003-12-26,562023742
2003-12-29,553310196
2003-12-30,568123225
2003-12-31,505317273
2004-01-02,507723546
2004-01-05,551036455
2004-01-06,533390455
2004-01-07,534192546
2004-01-08,537400909
2004-01-09,539807182
2004-01-12,568682455
2004-01-13,557453182
2004-01-14,560661546
2004-01-15,531786273
2004-01-16,540609273
2004-01-20,567078273
2004-01-21,580713818
2004-01-22,577505455
2004-01-23,603172364
2004-01-26,594349364
2004-01-27,585526364
2004-01-28,562265727
2004-01-29,551838546
2004-01-30,551036455
2004-02-02,546223909
2004-02-03,539807182
2004-02-04,524567455
2004-02-05,522963273
2004-02-06,534994636
2004-02-09,543015546
2004-02-10,560661546
2004-02-11,571890818
2004-02-12,554244818
2004-02-13,563869909
2004-02-17,574297091
2004-02-18,579911727
2004-02-19,575901273
2004-02-20,577505455
2004-02-23,571088727
2004-02-24,567078273
2004-02-25,575099182
2004-02-26,593547273
2004-02-27,593547273
2004-03-01,616005818
2004-03-02,615203727
2004-03-03,607182818
2004-03-04,607182818
2004-03-05,616807909
2004-03-08,616005818
2004-03-09,628839273
2004-03-10,617610000
2004-03-11,620016273
2004-03-12,624026727
2004-03-15,631245546
2004-03-16,625630909
2004-03-17,630443455
2004-03-18,640870637
2004-03-19,639266455
2004-03-22,628839273
2004-03-23,628839273
2004-03-24,628839273
2004-03-25,629641364
2004-03-26,628839273
2004-03-29,631245546
2004-03-30,648891546
2004-03-31,695615535
2004-04-01,690456458
2004-04-02,710232919
2004-04-05,700774612
2004-04-06,704213996
2004-04-07,716251842
2004-04-08,706793535
2004-04-12,723130612
2004-04-13,716251842
2004-04-14,707653381
2004-04-15,724850304
2004-04-16,729149535
2004-04-19,738607842
2004-04-20,730869227
2004-04-21,730869227
2004-04-22,738607842
2004-04-23,736888150
2004-04-26,742047227
2004-04-27,754085073
2004-04-28,739467689
2004-04-29,716251842
2004-04-30,717111689
2004-05-03,748925996
2004-05-04,748066150
2004-05-05,712812458
2004-05-06,710232919
2004-05-07,687876920
2004-05-10,634566458
2004-05-11,652623227
2004-05-12,656922458
2004-05-13,637145997
2004-05-14,649183843
2004-05-17,642305074
2004-05-18,647464150
2004-05-19,653483074
2004-05-20,650903535
2004-05-21,652623227
2004-05-24,676698920
2004-05-25,687876920
2004-05-26,688736766
2004-05-27,680138304
2004-05-28,680138304
2004-06-01,697335227
2004-06-02,704213996
2004-06-03,700774612
2004-06-04,692176150
2004-06-07,692176150
2004-06-08,707653381
2004-06-09,702494304
2004-06-10,750645688
2004-06-14,745486612
2004-06-15,759244150
2004-06-16,757524458
2004-06-17,797937227
2004-06-18,799656919
2004-06-21,800516765
2004-06-22,805675842
2004-06-23,815993996
2004-06-24,816853842
2004-06-25,835770457
2004-06-28,805675842
2004-06-29,812554611
2004-06-30,984513830
2004-07-01,1038140996
2004-07-02,1018916163
2004-07-06,1032069996
2004-07-07,1035105496
2004-07-08,1011833330
2004-07-09,1018916163
2004-07-12,1039152829
2004-07-13,1049271163
2004-07-14,1072543329
2004-07-15,1075578829
2004-07-16,1091768163
2004-07-19,1095815496
2004-07-20,1097839163
2004-07-21,1069507829
2004-07-22,1049271163
2004-07-23,1034093663
2004-07-26,1002726830
2004-07-27,1064448663
2004-07-28,1054330329
2004-07-29,1137300662
2004-07-30,1130217829
2004-08-02,1132241496
2004-08-03,1114028496
2004-08-04,1102898329
2004-08-05,1057365829
2004-08-06,1001714996
2004-08-09,1029034496
2004-08-10,1041176496
2004-08-11,1023975329
2004-08-12,970348163
2004-08-13,984513830
2004-08-16,972371830
2004-08-17,948087830
2004-08-18,1007785996
2004-08-19,1002726830
2004-08-20,1025998996
2004-08-23,1006774163
2004-08-24,1002726830
2004-08-25,1000703163
2004-08-26,988561163
2004-08-27,994632163
2004-08-30,974395496
2004-08-31,1011833330
2004-09-01,1053318496
2004-09-02,1079626163
2004-09-03,1074566996
2004-09-07,1084685329
2004-09-08,1069507829
2004-09-09,1082661663
2004-09-10,1080637996
2004-09-13,1091768163
2004-09-14,1077602496
2004-09-15,1060401329
2004-09-16,1065460496
2004-09-17,1059389496
2004-09-20,1088732663
2004-09-21,1109981163
2004-09-22,1107957496
2004-09-23,1129205996
2004-09-24,1160572829
2004-09-27,1163608329
2004-09-28,1185868662
2004-09-29,1172714829
2004-09-30,1374401675
2004-10-01,1386188996
2004-10-04,1394440121
2004-10-05,1406227443
2004-10-06,1412121103
2004-10-07,1367329282
2004-10-08,1367329282
2004-10-11,1347290836
2004-10-12,1340218443
2004-10-13,1281281836
2004-10-14,1304856478
2004-10-15,1290711693
2004-10-18,1290711693
2004-10-19,1275388175
2004-10-20,1281281836
2004-10-21,1280103104
2004-10-22,1280103104
2004-10-25,1273030711
2004-10-26,1283639300
2004-10-27,1265958318
2004-10-28,1214094104
2004-10-29,1234132550
2004-11-01,1252992264
2004-11-02,1252992264
2004-11-03,1288354229
2004-11-04,1340218443
2004-11-05,1339039711
2004-11-08,1314286336
2004-11-09,1296605354
2004-11-10,1319001264
2004-11-11,1313107603
2004-11-12,1328431121
2004-11-15,1310750139
2004-11-16,1300141550
2004-11-17,1322537461
2004-11-18,1328431121
2004-11-19,1335503514
2004-11-22,1382652800
2004-11-23,1564177549
2004-11-24,1590109656
2004-11-26,1612505567
2004-11-29,1604254442
2004-11-30,1630186549
2004-12-01,1578322335
2004-12-02,1488738692
2004-12-03,1531173049
2004-12-06,1507598407
2004-12-07,1432159550
2004-12-08,1472236442
2004-12-09,1566535014
2004-12-10,1528815585
2004-12-13,1583037264
2004-12-14,1590109656
2004-12-15,1647867531
2004-12-16,1658476120
2004-12-17,1690301888
2004-12-20,1678514567
2004-12-21,1671442174
2004-12-22,1634901478
2004-12-23,1632544013
2004-12-27,1575964871
2004-12-28,1607790638
2004-12-29,1607790638
2004-12-30,1587752192
2004-12-31,1667338445
2005-01-03,1556101056
2005-01-04,1567102556
2005-01-05,1540210001
2005-01-06,1564657779
