,CHIR
2020-02-14,30899317.0
2020-02-18,30261375.0
2020-02-19,30479475.0
2020-02-20,29917867.0
2020-02-21,29754292.0
2020-02-24,28669245.0
2020-02-25,28625625.0
2020-02-26,29465310.0
2020-02-27,29018205.0
2020-02-28,28789200.0
2020-03-02,29885152.0
2020-03-03,29797912.0
2020-03-04,30877507.0
2020-03-05,30381330.0
2020-03-06,29607075.0
2020-03-09,28085827.0
2020-03-10,29116350.0
2020-03-11,28434787.0
2020-03-12,26008425.0
2020-03-13,26722702.0
2020-03-16,24127312.0
2020-03-17,24699825.0
2020-03-18,22769640.0
2020-03-19,22769640.0
2020-03-20,22818712.0
2020-03-23,22573350.0
2020-03-24,23963737.0
2020-03-25,25174192.0
2020-03-26,25763062.0
2020-03-27,25114215.0
2020-03-30,25435912.0
2020-03-31,25877565.0
2020-04-01,25157835.0
2020-04-02,26117475.0
2020-04-03,25435912.0
2020-04-06,26580937.0
2020-04-07,26744512.0
2020-04-08,26662725.0
2020-04-09,26760870.0
2020-04-13,26613652.0
2020-04-14,26744512.0
2020-04-15,26172000.0
2020-04-16,25713990.0
2020-04-17,26390100.0
2020-04-20,26384647.0
2020-04-21,25713990.0
2020-04-22,26122927.0
2020-04-23,26041140.0
2020-04-24,25844850.0
2020-04-27,26624557.0
2020-04-28,26564580.0
2020-04-29,27284310.0
2020-04-30,27317025.0
2020-05-01,26253787.0
2020-05-04,25926637.0
2020-05-05,26264692.0
2020-05-06,26188357.0
2020-05-07,26204715.0
2020-05-08,26929897.0
2020-05-11,26853562.0
2020-05-12,26466435.0
2020-05-13,26368290.0
2020-05-14,25763062.0
2020-05-15,25681275.0
2020-05-18,26864467.0
2020-05-19,26286502.0
2020-05-20,26417362.0
2020-05-21,25921185.0
2020-05-22,24814327.0
2020-05-26,25604940.0
2020-05-27,25026975.0
2020-05-28,25419555.0
2020-05-29,25697632.0
2020-06-01,27071662.0
2020-06-02,27698700.0
2020-06-03,27807750.0
2020-06-04,27366097.0
2020-06-05,27971325.0
2020-06-08,27938610.0
2020-06-09,28134900.0
2020-06-10,28053112.0
2020-06-11,26940802.0
2020-06-12,27442432.0
2020-06-15,27186165.0
2020-06-16,27246142.0
2020-06-17,27480600.0
2020-06-18,28074922.0
2020-06-19,28064017.0
2020-06-22,27889537.0
2020-06-23,27611460.0
2020-06-24,27377002.0
2020-06-25,27349740.0
2020-06-26,27496957.0
2020-06-29,27038947.0
2020-06-30,26630010.0
2020-07-01,26989875.0
2020-07-02,29116350.0
2020-07-06,31968007.0
2020-07-07,30801172.0
2020-07-08,30752100.0
2020-07-09,29966940.0
2020-07-10,30016012.0
2020-07-13,29612527.0
2020-07-14,29323545.0
2020-07-15,28969132.0
2020-07-16,28560195.0
2020-07-17,28380262.0
2020-07-20,29372617.0
2020-07-21,29067277.0
2020-07-22,28745580.0
2020-07-23,28396620.0
2020-07-24,28036755.0
2020-07-27,27840465.0
2020-07-28,27546030.0
2020-07-29,28134900.0
2020-07-30,28042207.0
2020-07-31,28211235.0
2020-08-03,28134900.0
2020-08-04,28391167.0
2020-08-05,28118542.0
2020-08-06,28118542.0
2020-08-07,27922252.0
2020-08-10,28374810.0
2020-08-11,28347547.0
2020-08-12,28772842.0
2020-08-13,28707412.0
2020-08-14,28985490.0
2020-08-17,29214495.0
2020-08-18,28767390.0
2020-08-19,28669245.0
2020-08-20,28756485.0
2020-08-21,28641982.0
2020-08-24,28789200.0
2020-08-25,28625625.0
2020-08-26,28865535.0
2020-08-27,28173067.0
2020-08-28,28887345.0
2020-08-31,28162162.0
2020-09-01,27807750.0
2020-09-02,27807750.0
2020-09-03,27922252.0
2020-09-04,27840465.0
2020-09-08,27644175.0
2020-09-09,27824107.0
2020-09-10,27562387.0
2020-09-11,27480600.0
2020-09-14,27562387.0
2020-09-15,28336642.0
2020-09-16,28336642.0
2020-09-17,28200330.0
2020-09-18,28096732.0
2020-09-21,27709605.0
2020-09-22,27562387.0
2020-09-23,27235237.0
2020-09-24,27169807.0
2020-09-25,26073855.0
2020-09-28,27366097.0
2020-09-29,27169807.0
2020-09-30,27676890.0
2020-10-01,27845917.0
2020-10-02,27785940.0
2020-10-05,27704152.0
2020-10-06,27644175.0
2020-10-07,27938610.0
2020-10-08,28183972.0
2020-10-09,28004040.0
2020-10-12,27971325.0
2020-10-13,27916800.0
2020-10-14,27284310.0
2020-10-15,27055305.0
2020-10-16,27202522.0
2020-10-19,27049852.0
2020-10-20,26984422.0
2020-10-21,26908087.0
2020-10-22,27137092.0
2020-10-23,27147997.0
2020-10-26,26908087.0
2020-10-27,26439172.0
2020-10-28,25937542.0
2020-10-29,26417362.0
2020-10-30,26286502.0
2020-11-02,26466435.0
2020-11-03,26875372.0
2020-11-04,27725962.0
2020-11-05,28696507.0
2020-11-06,28980037.0
2020-11-09,28887345.0
2020-11-10,29170875.0
2020-11-11,30097800.0
2020-11-12,29345355.0
2020-11-13,29361712.0
2020-11-16,28936417.0
2020-11-17,28925512.0
2020-11-18,28985490.0
2020-11-19,28789200.0
2020-11-20,28478407.0
2020-11-23,27889537.0
2020-11-24,28183972.0
2020-11-25,28140352.0
2020-11-27,28920060.0
2020-11-30,28625625.0
2020-12-01,28522027.0
2020-12-02,28085827.0
2020-12-03,27905895.0
2020-12-04,27442432.0
2020-12-07,27071662.0
2020-12-08,26924445.0
2020-12-09,26433720.0
2020-12-10,26580937.0
2020-12-11,26319217.0
2020-12-14,26777227.0
2020-12-15,26657272.0
2020-12-16,26777227.0
2020-12-17,26700892.0
2020-12-18,26662725.0
2020-12-21,26319217.0
2020-12-22,26319217.0
2020-12-23,26237430.0
2020-12-24,26237430.0
2020-12-28,26188357.0
2020-12-29,26139285.0
2020-12-30,25501342.0
2020-12-31,25828492.0
2021-01-04,25103310.0
2021-01-05,25266885.0
2021-01-06,25337767.0
2021-01-07,25354125.0
2021-01-08,25435912.0
2021-01-11,25997520.0
2021-01-12,26133832.0
2021-01-13,26073855.0
2021-01-14,25953900.0
2021-01-15,25779420.0
2021-01-19,27976777.0
2021-01-20,28233045.0
2021-01-21,28085827.0
2021-01-22,27393360.0
2021-01-25,27071662.0
2021-01-26,27115282.0
2021-01-27,26368290.0
2021-01-28,25942995.0
2021-01-29,25354125.0
2021-02-01,25386840.0
2021-02-02,25517700.0
2021-02-03,25435912.0
2021-02-04,25190550.0
2021-02-05,25741252.0
2021-02-08,25883017.0
2021-02-09,25768515.0
2021-02-10,25615845.0
2021-02-11,25844850.0
2021-02-12,26035687.0
2021-02-16,26182905.0
2021-02-17,26106570.0
2021-02-18,26057497.0
2021-02-19,26515507.0
2021-02-22,26597295.0
2021-02-23,26570032.0
2021-02-24,26455530.0
2021-02-25,27944062.0
2021-02-26,28216687.0
2021-03-01,28254855.0
2021-03-02,28134900.0
2021-03-03,27611460.0
2021-03-04,27071662.0
2021-03-05,27164355.0
2021-03-08,26597295.0
2021-03-09,26973517.0
2021-03-10,26869920.0
2021-03-11,27197070.0
2021-03-12,27458790.0
2021-03-15,28265760.0
2021-03-16,28625625.0
2021-03-17,28603815.0
2021-03-18,28014945.0
2021-03-19,28069470.0
2021-03-22,28412977.0
2021-03-23,28167615.0
2021-03-24,27431527.0
2021-03-25,27464242.0
2021-03-26,28134900.0
2021-03-29,28881892.0
2021-03-30,28887345.0
2021-03-31,28456597.0
2021-04-01,28162162.0
2021-04-05,28347547.0
2021-04-06,28363905.0
2021-04-07,28216687.0
2021-04-08,28282117.0
2021-04-09,27949515.0
2021-04-12,27753225.0
2021-04-13,27715057.0
2021-04-14,27627817.0
2021-04-15,28036755.0
2021-04-16,27840465.0
2021-04-19,27796845.0
2021-04-20,27785940.0
2021-04-21,28085827.0
2021-04-22,27878632.0
2021-04-23,27791392.0
2021-04-26,27300667.0
2021-04-27,27349740.0
2021-04-28,27377002.0
2021-04-29,27284310.0
2021-04-30,27153450.0
2021-05-03,27115282.0
2021-05-04,26859015.0
2021-05-05,27284310.0
2021-05-06,27213427.0
2021-05-07,27169807.0
2021-05-10,26940802.0
2021-05-11,27104377.0
2021-05-12,26041140.0
2021-05-13,26384647.0
2021-05-14,26493697.0
2021-05-17,26379195.0
2021-05-18,27071662.0
2021-05-19,27098925.0
2021-05-20,26728155.0
2021-05-21,26460982.0
2021-05-24,26875372.0
2021-05-25,27033495.0
2021-05-26,27327930.0
2021-05-27,27480600.0
2021-05-28,27344287.0
2021-06-01,27349740.0
2021-06-02,27306120.0
2021-06-03,26918992.0
2021-06-04,26897182.0
2021-06-07,26575485.0
2021-06-08,26826300.0
2021-06-09,26946255.0
2021-06-10,27055305.0
2021-06-11,26908087.0
2021-06-14,26908087.0
2021-06-15,26166547.0
2021-06-16,26172000.0
2021-06-17,26390100.0
2021-06-18,26090212.0
2021-06-21,26008425.0
2021-06-22,25904827.0
2021-06-23,26073855.0
2021-06-24,26291955.0
2021-06-25,26531865.0
2021-06-28,26215620.0
2021-06-29,25544962.0
2021-06-30,24917925.0
2021-07-01,25130572.0
2021-07-02,25185097.0
2021-07-06,24383580.0
2021-07-07,24094597.0
2021-07-08,23881950.0
2021-07-09,24263625.0
2021-07-12,24094597.0
2021-07-13,23963737.0
2021-07-14,23800162.0
2021-07-15,24252720.0
2021-07-16,24160027.0
2021-07-19,23473012.0
2021-07-20,22965930.0
2021-07-21,22785997.0
2021-07-22,23407582.0
2021-07-23,22867785.0
2021-07-26,21461040.0
2021-07-27,20266942.0
2021-07-28,20855812.0
2021-07-29,20250585.0
2021-07-30,19530855.0
2021-08-02,20152440.0
2021-08-03,20332372.0
2021-08-04,20037937.0
2021-08-05,20070652.0
2021-08-06,19841647.0
2021-08-09,20692237.0
2021-08-10,20855812.0
2021-08-11,21684592.0
2021-08-12,21608257.0
2021-08-13,21477397.0
2021-08-16,21531922.0
2021-08-17,21330180.0
2021-08-18,21362895.0
2021-08-19,20823097.0
2021-08-20,20305110.0
2021-08-23,20016127.0
2021-08-24,20686785.0
2021-08-25,20953957.0
2021-08-26,20675880.0
2021-08-27,20937600.0
2021-08-30,20528662.0
2021-08-31,20610450.0
2021-09-01,21362895.0
2021-09-02,21335632.0
2021-09-03,21384705.0
2021-09-07,21003030.0
2021-09-08,20970315.0
2021-09-09,20643165.0
2021-09-10,20801287.0
2021-09-13,21019387.0
2021-09-14,20054295.0
2021-09-15,19367280.0
2021-09-16,18434902.0
2021-09-17,18565762.0
2021-09-20,17567955.0
2021-09-21,18516690.0
2021-09-22,19399995.0
2021-09-23,19825290.0
2021-09-24,19629000.0
2021-09-27,19629000.0
2021-09-28,19727145.0
2021-09-29,20005222.0
2021-09-30,20752215.0
2021-10-01,20746762.0
2021-10-04,20692237.0
2021-10-05,20386897.0
2021-10-06,20119725.0
2021-10-07,20643165.0
2021-10-08,20675880.0
2021-10-11,20316015.0
2021-10-12,20648617.0
2021-10-13,21150247.0
2021-10-14,20937600.0
2021-10-15,20806740.0
2021-10-18,20926695.0
