,JBL
2000-08-04,8748885200
2000-08-07,10012760000
2000-08-08,9871070000
2000-08-09,10604079600
2000-08-10,10390600000
2000-08-11,10910130000
2000-08-14,10934689600
2000-08-15,11193510000
2000-08-16,11146280000
2000-08-17,11660142400
2000-08-18,11690369600
2000-08-21,11777272800
2000-08-22,10957360000
2000-08-23,10779775200
2000-08-24,10815670000
2000-08-25,10910130000
2000-08-28,10904462400
2000-08-29,11110385200
2000-08-30,11193510000
2000-08-31,12151748280
2000-09-01,12504221380
2000-09-05,11801180440
2000-09-06,12081253660
2000-09-07,12288927000
2000-09-08,12544231840
2000-09-11,12473737220
2000-09-12,12306074340
2000-09-13,11789748880
2000-09-14,12266063880
2000-09-15,12050769500
2000-09-18,11241034000
2000-09-19,11490623060
2000-09-20,12361326880
2000-09-21,11002876500
2000-09-22,10478930000
2000-09-25,11241034000
2000-09-26,10717087500
2000-09-27,10621824500
2000-09-28,11075276380
2000-09-29,10812350500
2000-10-02,10372235440
2000-10-03,10122646380
2000-10-04,9932120380
2000-10-05,9526300000
2000-10-06,9764457500
2000-10-09,8931858880
2000-10-10,8013523560
2000-10-11,8144986500
2000-10-12,8383144000
2000-10-13,9408173880
2000-10-16,9299574060
2000-10-17,8632733060
2000-10-18,9204311060
2000-10-19,11027644880
2000-10-20,11431560000
2000-10-23,10884750380
2000-10-24,11002876500
2000-10-25,9918783560
2000-10-26,10265540880
2000-10-27,10252204060
2000-10-30,9716826000
2000-10-31,10871413560
2000-11-01,10537993060
2000-11-02,11193402500
2000-11-03,10764719000
2000-11-06,10884750380
2000-11-07,9753025940
2000-11-08,8907090500
2000-11-09,8562238440
2000-11-10,8430775500
2000-11-13,8705132940
2000-11-14,9181447940
2000-11-15,9288142500
2000-11-16,8764196000
2000-11-17,9204311060
2000-11-20,8918522060
2000-11-21,8680364560
2000-11-22,8192618000
2000-11-24,8680364560
2000-11-27,8775627560
2000-11-28,7822997560
2000-11-29,7621040000
2000-11-30,5966593750
2000-12-01,6850604280
2000-12-04,6407644360
2000-12-05,7589507250
2000-12-06,6837239110
2000-12-07,7137000780
2000-12-08,7184733530
2000-12-11,7375664530
2000-12-12,6898337030
2000-12-13,6432465390
2000-12-14,5871128250
2000-12-15,5536999000
2000-12-18,5155137000
2000-12-19,5309791110
2000-12-20,4009551000
2000-12-21,4082104780
2000-12-22,4177570280
2000-12-26,4200482000
2000-12-27,4391413000
2000-12-28,4952750140
2000-12-29,4845828780
2001-01-02,4463966780
2001-01-03,4868740500
2001-01-04,4427689890
2001-01-05,4523155390
2001-01-08,4320768530
2001-01-09,4379957140
2001-01-10,4523155390
2001-01-11,5298335250
2001-01-12,5800483780
2001-01-16,5907405140
2001-01-17,6432465390
2001-01-18,7219101110
2001-01-19,7064447000
2001-01-22,6707406030
2001-01-23,6789506360
2001-01-24,6850604280
2001-01-25,6564207780
2001-01-26,7005258390
2001-01-29,6921248750
2001-01-30,7140819400
2001-01-31,7350843500
2001-02-01,7364208670
2001-02-02,6989983910
2001-02-05,6585210190
2001-02-06,6424828150
2001-02-07,5987596160
2001-02-08,5756569650
2001-02-09,5517905900
2001-02-12,5250602500
2001-02-13,5157046310
2001-02-14,5533180380
2001-02-15,6042966150
2001-02-16,5336521450
2001-02-20,4821007750
2001-02-21,4830554300
2001-02-22,4800005340
2001-02-23,4845828780
2001-02-26,4658716400
2001-02-27,4040099960
2001-02-28,4298940320
2001-03-01,4155514820
2001-03-02,4312326700
2001-03-05,4524596440
2001-03-06,4738778520
2001-03-07,4842044880
2001-03-08,4799973400
2001-03-09,4493999000
2001-03-12,3977667200
2001-03-13,4054160800
2001-03-14,4015914000
2001-03-15,3958543800
2001-03-16,3633446000
2001-03-19,3903085940
2001-03-20,3465160080
2001-03-21,3778783840
2001-03-22,4618301100
2001-03-23,4790411700
2001-03-26,4493999000
2001-03-27,4553281540
2001-03-28,4186112260
2001-03-29,3947069760
2001-03-30,4134479080
2001-04-02,3948982099
2001-04-03,3662131099
2001-04-04,3621971960
2001-04-05,4360135200
2001-04-06,4232008420
2001-04-09,4212885020
2001-04-10,4662284920
2001-04-11,4780850000
2001-04-12,4972084000
2001-04-16,4803798080
2001-04-17,4996944420
2001-04-18,5584032800
2001-04-19,5832637000
2001-04-20,6203630960
2001-04-23,5459730700
2001-04-24,5159493320
2001-04-25,5597419180
2001-04-26,5526662600
2001-04-27,5366026040
2001-04-30,5553435360
2001-05-01,5689211500
2001-05-02,6318371360
2001-05-03,5947377400
2001-05-04,6264825840
2001-05-07,6314546680
2001-05-08,6345144120
2001-05-09,6119488000
2001-05-10,6029608020
2001-05-11,5888094860
2001-05-14,5846023380
2001-05-15,5897656560
2001-05-16,5794390200
2001-05-17,6230403720
2001-05-18,6310722000
2001-05-21,7219083500
2001-05-22,7264979660
2001-05-23,6601397680
2001-05-24,6664504900
2001-05-25,6595660660
2001-05-29,6073591840
2001-05-30,5394711140
2001-05-31,5730422100
2001-06-01,5529525750
2001-06-04,5818192350
2001-06-05,6245340900
2001-06-06,6026890500
2001-06-07,6379921950
2001-06-08,5950822950
2001-06-11,5412498750
2001-06-12,5297422200
2001-06-13,5240859150
2001-06-14,4909282650
2001-06-15,5100426750
2001-06-18,4597210650
2001-06-19,4897579950
2001-06-20,4653773700
2001-06-21,5041913250
2001-06-22,4827363750
2001-06-25,4934638500
2001-06-26,5186246550
2001-06-27,5158940250
2001-06-28,5560732950
2001-06-29,6019088700
2001-07-02,5722620300
2001-07-03,5679710400
2001-07-05,5385192450
2001-07-06,4486035000
2001-07-09,4942440300
2001-07-10,4569904350
2001-07-11,4778602500
2001-07-12,5266215000
2001-07-13,5291570850
2001-07-16,5326678950
2001-07-17,5529525750
2001-07-18,5145287100
2001-07-19,5591940150
2001-07-20,5547079800
2001-07-23,5510021250
2001-07-24,5599741950
2001-07-25,5968377000
2001-07-26,6099057150
2001-07-27,6381872400
2001-07-30,6231687750
2001-07-31,6338962500
2001-08-01,6652984950
2001-08-02,6440385900
2001-08-03,6434534550
2001-08-06,6342863400
2001-08-07,6143917500
2001-08-08,5677759950
2001-08-09,5523674400
2001-08-10,5465160900
2001-08-13,5529525750
2001-08-14,5363737500
2001-08-15,5071170000
2001-08-16,5069219550
2001-08-17,4447026000
2001-08-20,4491886350
2001-08-21,4349503500
2001-08-22,4534796250
2001-08-23,4538697150
2001-08-24,4848818700
2001-08-27,4720089000
2001-08-28,4532845800
2001-08-29,4448976450
2001-08-30,4302692700
2001-08-31,4552947320
2001-09-04,4137252000
2001-09-05,3664423200
2001-09-06,3644722000
2001-09-07,3565917200
2001-09-10,3575767799
2001-09-17,3252668120
2001-09-18,2947299520
2001-09-19,2957150120
2001-09-20,2955180000
2001-09-21,3181743799
2001-09-24,3534395280
2001-09-25,3542275760
2001-09-26,3400427120
2001-09-27,3398457000
2001-09-28,3526514799
2001-10-01,3408307600
2001-10-02,3485142280
2001-10-03,3991463120
2001-10-04,4115580680
2001-10-05,3950090600
2001-10-08,3987522879
2001-10-09,3782630400
2001-10-10,4147102600
2001-10-11,4511574800
2001-10-12,4531276000
2001-10-15,4470202280
2001-10-16,4629782000
2001-10-17,4580529000
2001-10-18,4294861600
2001-10-19,4543096720
2001-10-22,4511574800
2001-10-23,4610080800
2001-10-24,4755869680
2001-10-25,5019865760
2001-10-26,4854375680
2001-10-29,4432770000
2001-10-30,4107700200
2001-10-31,4176654400
2001-11-01,4474142520
2001-11-02,4617961280
2001-11-05,4895748200
2001-11-06,5207027160
2001-11-07,5210967400
2001-11-08,4988343840
2001-11-09,4964702400
2001-11-12,4974553000
2001-11-13,5143983320
2001-11-14,5246429560
2001-11-15,5173535120
2001-11-16,5311443520
2001-11-19,5275981360
2001-11-20,4917419520
2001-11-21,4958792040
2001-11-23,5011985280
2001-11-26,5260220400
2001-11-27,5472993360
2001-11-28,5201116800
2001-11-29,5161714400
2001-11-30,5189121500
2001-12-03,5056927150
2001-12-04,5416022250
2001-12-05,5970449300
2001-12-06,6029640800
2001-12-07,5856012400
2001-12-10,5783009550
2001-12-11,6059236550
2001-12-12,5958611000
2001-12-13,5506782550
2001-12-14,5307504500
2001-12-17,5437725800
2001-12-18,5264097400
2001-12-19,4883298750
2001-12-20,4192731250
2001-12-21,4277572400
2001-12-24,4251922750
2001-12-26,4350575250
2001-12-27,4411739800
2001-12-28,4577476000
2001-12-31,4482769600
2002-01-02,4644559700
2002-01-03,4885271800
2002-01-04,4936571100
2002-01-07,4995762600
2002-01-08,4912894500
2002-01-09,5082576800
2002-01-10,5051008000
2002-01-11,4889217900
2002-01-14,4739266100
2002-01-15,4768861850
2002-01-16,4534068900
2002-01-17,4632721400
2002-01-18,4545907200
2002-01-22,4244030550
2002-01-23,4500527050
2002-01-24,4459093000
2002-01-25,4490661800
2002-01-28,4340710000
2002-01-29,4340710000
2002-01-30,4427524200
2002-01-31,4577476000
2002-02-01,4364386600
2002-02-04,4025021999
2002-02-05,3969776600
2002-02-06,3961884399
2002-02-07,3965830500
2002-02-08,3993453199
2002-02-11,4064483000
2002-02-12,4192731250
2002-02-13,4212461750
2002-02-14,4244030550
2002-02-15,4186812100
2002-02-19,3981614900
2002-02-20,4060536899
2002-02-21,3892827650
2002-02-22,3782336850
2002-02-25,4086186550
2002-02-26,3888881550
2002-02-27,3869151050
2002-02-28,3683020649
2002-03-01,3839030640
2002-03-04,4496642370
2002-03-05,4549962240
2002-03-06,4676350080
2002-03-07,4942949430
2002-03-08,5201649540
2002-03-11,4929125760
2002-03-12,4591433250
2002-03-13,4212269729
2002-03-14,4247816310
2002-03-15,4303110990
2002-03-18,4166849100
2002-03-19,4099705560
2002-03-20,4344582000
2002-03-21,4445297310
2002-03-22,4324833900
2002-03-25,4228068210
2002-03-26,4336682760
2002-03-27,4510466040
2002-03-28,4646727930
2002-04-01,4723745520
2002-04-02,4571685150
2002-04-03,4472944650
2002-04-04,4534163760
2002-04-05,4423574400
2002-04-08,4342607190
2002-04-09,4285337700
2002-04-10,4186597200
2002-04-11,4109579609
2002-04-12,4137226950
2002-04-15,4103655180
2002-04-16,4401851490
2002-04-17,4397901870
2002-04-18,4255715550
2002-04-19,4293236939
2002-04-22,4149075810
2002-04-23,4087856700
2002-04-24,4042436070
2002-04-25,4133277330
2002-04-26,3998990250
2002-04-29,3975292530
2002-04-30,4030587210
2002-05-01,3961468859
2002-05-02,3795584820
2002-05-03,3673146600
2002-05-06,3600078630
2002-05-07,3505287750
2002-05-08,4196471250
2002-05-09,4087856700
2002-05-10,3937771140
2002-05-13,4147101000
2002-05-14,4468995030
2002-05-15,4897528800
2002-05-16,4911352470
2002-05-17,4933075380
2002-05-20,4796813490
2002-05-21,4573659960
2002-05-22,4567735530
2002-05-23,4696098180
2002-05-24,4494667560
2002-05-28,4553911860
2002-05-29,4393952250
2002-05-30,4425549210
2002-05-31,4534163760
2002-06-03,4336682760
2002-06-04,4255715550
2002-06-05,4344582000
2002-06-06,4109579609
2002-06-07,4188572010
2002-06-10,4113529229
2002-06-11,3985166580
2002-06-12,4048360500
2002-06-13,4000965060
2002-06-14,4000965060
2002-06-17,3979242149
2002-06-18,3781761149
2002-06-19,4018738350
2002-06-20,3914073420
2002-06-21,3941720760
2002-06-24,4008864300
2002-06-25,3842980260
2002-06-26,3763987859
2002-06-27,3963443670
2002-06-28,4168823910
2002-07-01,3866677979
2002-07-02,3528985470
2002-07-03,3791635200
2002-07-05,4109579609
2002-07-08,3864703170
2002-07-09,3744239760
2002-07-10,3475665600
2002-07-11,3738315330
2002-07-12,3752139000
2002-07-15,3773861910
2002-07-16,3839030640
2002-07-17,3835081020
2002-07-18,3821257350
2002-07-19,3643524450
2002-07-22,3501338130
2002-07-23,3327554850
2002-07-24,3515161800
2002-07-25,3171544859
2002-07-26,3199192200
2002-07-29,3501338130
2002-07-30,3641549640
2002-07-31,3513186990
2002-08-01,3438144210
2002-08-02,3317680800
2002-08-05,3102426510
2002-08-06,3313731180
2002-08-07,3319655609
2002-08-08,3580330530
2002-08-09,3570456479
2002-08-12,3475665600
2002-08-13,3351252570
2002-08-14,3554658000
2002-08-15,3643524450
2002-08-16,3821257350
2002-08-19,3835081020
2002-08-20,3683020649
2002-08-21,3886426080
2002-08-22,3937771140
2002-08-23,3722516850
2002-08-26,3785710770
2002-08-27,3692894700
2002-08-28,3552683189
2002-08-29,3625751160
2002-08-30,3694869510
2002-09-03,3508063840
2002-09-04,3670400880
2002-09-05,3626847040
2002-09-06,3840656799
2002-09-09,3880251200
2002-09-10,3801062400
2002-09-11,3791163799
2002-09-12,3751569400
2002-09-13,3541719080
2002-09-16,3401158960
2002-09-17,3472428880
2002-09-18,3331868759
2002-09-19,3300193240
2002-09-20,3044809360
2002-09-23,2999275800
2002-09-24,2898310080
2002-09-25,3116079280
2002-09-26,3060647120
2002-09-27,3032931040
2002-09-30,2926026160
2002-10-01,3015113560
2002-10-02,2783486320
2002-10-03,2910188400
2002-10-04,2440994760
2002-10-07,2365765400
2002-10-08,2300434640
2002-10-09,2282617160
2002-10-10,2456832520
2002-10-11,2623129000
2002-10-14,2553838800
2002-10-15,2844857640
2002-10-16,2563737400
2002-10-17,2737952760
2002-10-18,2631047880
2002-10-21,2882472320
2002-10-22,2783486320
2002-10-23,2920087000
2002-10-24,2949782800
2002-10-25,3098261800
2002-10-28,3129937320
2002-10-29,2987397480
2002-10-30,3068566000
2002-10-31,3048768800
2002-11-01,3266538000
2002-11-04,3515982720
2002-11-05,3438773640
2002-11-06,3575374319
2002-11-07,3199227520
2002-11-08,3151714240
2002-11-11,2967600280
2002-11-12,3050748520
2002-11-13,3167552000
2002-11-14,3365524000
2002-11-15,3367503720
2002-11-18,3314051279
2002-11-19,3335828200
2002-11-20,3579333759
2002-11-21,4137614799
2002-11-22,4347465120
2002-11-25,4511781880
2002-11-26,4183148360
2002-11-27,4295992400
2002-11-29,4246499400
2002-12-02,4238760870
2002-12-03,4076113050
2002-12-04,3885696090
2002-12-05,3887679600
2002-12-06,3861893970
2002-12-09,3679411050
2002-12-10,3842058870
2002-12-11,3814289730
2002-12-12,3764701980
2002-12-13,3629823300
2002-12-16,3758751450
2002-12-17,3887679600
2002-12-18,3625856280
2002-12-19,3619905750
2002-12-20,3699246149
2002-12-23,3669493500
2002-12-24,3639740850
2002-12-26,3578252040
2002-12-27,3492961110
2002-12-30,3485027070
2002-12-31,3554449920
2003-01-02,3750817410
2003-01-03,3754784430
2003-01-06,3947184899
2003-01-07,3974954040
2003-01-08,3802388670
2003-01-09,3976937550
2003-01-10,3951151920
2003-01-13,3744866880
2003-01-14,3768669000
2003-01-15,3655608930
2003-01-16,3526680780
2003-01-17,3461224950
2003-01-21,3334280309
2003-01-22,3367999980
2003-01-23,3399736140
2003-01-24,3290643090
2003-01-27,3163698450
2003-01-28,3239071829
2003-01-29,3153780900
2003-01-30,3054605400
2003-01-31,3096259110
2003-02-03,3030803280
2003-02-04,2955429900
2003-02-05,3044687850
2003-02-06,2929644270
2003-02-07,2915759700
2003-02-10,2965347450
2003-02-11,2945512350
2003-02-12,2955429900
2003-02-13,2921710230
2003-02-14,3058572420
2003-02-18,3187500570
2003-02-19,3102209640
2003-02-20,3207335670
2003-02-21,3203368649
2003-02-24,3147830370
2003-02-25,3133945800
2003-02-26,3060555930
2003-02-27,3114110700
2003-02-28,3298679560
2003-03-03,3207325399
2003-03-04,3177536000
2003-03-05,3237114800
2003-03-06,3225199039
2003-03-07,3169592160
2003-03-10,3076252040
2003-03-11,3068308200
2003-03-12,3127887000
2003-03-13,3332440880
2003-03-14,3372160080
2003-03-17,3648208520
2003-03-18,3685941759
2003-03-19,3429752920
2003-03-20,3670054080
2003-03-21,3679983880
2003-03-24,3562812240
2003-03-25,3640264679
2003-03-26,3634306800
2003-03-27,3630334880
2003-03-28,3618419120
2003-03-31,3475430000
2003-04-01,3515149200
2003-04-02,3679983880
2003-04-03,3753464399
2003-04-04,3713745200
2003-04-07,3749492480
2003-04-08,3658138320
2003-04-09,3535008800
2003-04-10,3511177280
2003-04-11,3525079000
2003-04-14,3564798200
2003-04-15,3560826280
2003-04-16,3570756080
2003-04-17,3761408240
2003-04-21,3878579880
2003-04-22,3860706240
2003-04-23,3840846640
2003-04-24,3830916840
2003-04-25,3664096200
2003-04-28,3775309960
2003-04-29,3763394200
2003-04-30,3713745200
2003-05-01,3674026000
2003-05-02,3771338039
2003-05-05,3904397360
2003-05-06,4013625160
2003-05-07,4154628320
2003-05-08,4182431759
2003-05-09,4140726600
2003-05-12,4230094800
2003-05-13,4116895080
2003-05-14,4051358399
2003-05-15,4035470720
2003-05-16,4132782759
2003-05-19,3894467560
2003-05-20,3902411399
2003-05-21,3912341200
2003-05-22,3961990200
2003-05-23,3892481600
2003-05-27,4128810840
2003-05-28,4091077600
2003-05-29,4124838920
2003-05-30,4168530039
2003-06-02,4156414560
2003-06-03,4162386420
2003-06-04,4419176400
2003-06-05,4417185780
2003-06-06,4347514080
2003-06-09,4247983080
2003-06-10,4311682920
2003-06-11,4460979420
2003-06-12,4524679260
2003-06-13,4437091980
2003-06-16,4626200880
2003-06-17,4761563040
2003-06-18,4819291020
2003-06-19,4701844440
2003-06-20,4668003900
2003-06-23,4526669880
2003-06-24,4375382760
2003-06-25,4488848100
2003-06-26,4494819960
2003-06-27,4397279580
2003-06-30,4399270200
2003-07-01,4435101360
2003-07-02,4504773060
2003-07-03,4443063840
2003-07-07,4691891340
2003-07-08,5036268600
2003-07-09,5026315500
2003-07-10,4886972100
2003-07-11,4886972100
2003-07-14,4970578140
2003-07-15,4996456200
2003-07-16,4956643800
2003-07-17,4727722500
2003-07-18,4795403580
2003-07-21,4679947620
2003-07-22,4697863200
2003-07-23,4755591180
2003-07-24,4586388480
2003-07-25,4592360340
2003-07-28,4624210260
2003-07-29,4492829340
2003-07-30,4532641740
2003-07-31,4588379100
2003-08-01,4578426000
2003-08-04,4608285300
2003-08-05,4508754300
2003-08-06,4439082600
2003-08-07,4484866860
2003-08-08,4498801200
2003-08-11,4570463520
2003-08-12,4771516140
2003-08-13,4859103420
2003-08-14,4968587520
2003-08-15,4944700080
2003-08-18,5181583860
2003-08-19,5414486400
2003-08-20,5454298800
2003-08-21,5516008020
2003-08-22,5458280040
2003-08-25,5372683380
2003-08-26,5378655240
2003-08-27,5446336320
2003-08-28,5476195620
2003-08-29,5603595300
2003-09-02,5689341000
2003-09-03,5687344740
2003-09-04,5767195140
2003-09-05,5733258720
2003-09-08,5805124080
2003-09-09,5729266200
2003-09-10,5503688820
2003-09-11,5629453200
2003-09-12,5609490600
2003-09-15,5639434500
2003-09-16,5829079200
2003-09-17,5829079200
2003-09-18,5878985700
2003-09-19,5851038060
2003-09-22,5639434500
2003-09-23,5681355960
2003-09-24,5290089000
2003-09-25,5266133880
2003-09-26,5090463000
2003-09-29,5168317140
2003-09-30,5200257300
2003-10-01,5218223640
2003-10-02,5314044120
2003-10-03,5493707520
2003-10-06,5673370920
2003-10-07,5621468160
2003-10-08,5389902000
2003-10-09,5591524260
2003-10-10,5569565400
2003-10-13,5623464420
2003-10-14,5749228800
2003-10-15,5673370920
2003-10-16,5603501820
2003-10-17,5477737440
2003-10-20,5509677600
2003-10-21,5751225060
2003-10-22,5545610280
2003-10-23,5381916960
2003-10-24,5274118920
2003-10-27,5353969320
2003-10-28,5605498080
2003-10-29,5673370920
2003-10-30,5649415800
2003-10-31,5559584100
2003-11-03,5691337260
2003-11-04,6010738860
2003-11-05,6012735120
2003-11-06,6174432180
2003-11-07,6218349900
2003-11-10,6024712680
2003-11-11,5922903420
2003-11-12,6078611700
2003-11-13,6036690240
2003-11-14,5759210100
2003-11-17,5611486860
2003-11-18,5545610280
2003-11-19,5447793540
2003-11-20,5314044120
2003-11-21,5276115180
2003-11-24,5397887040
2003-11-25,5399883300
2003-11-26,5479733700
2003-11-28,5491711260
2003-12-01,5559411920
2003-12-02,5503337160
2003-12-03,5445259730
2003-12-04,5559411920
2003-12-05,5567422600
2003-12-08,5411214340
2003-12-09,5251000740
2003-12-10,5076768450
2003-12-11,5315086180
2003-12-12,5331107540
2003-12-15,5357142250
2003-12-16,5240987390
2003-12-17,5367155600
2003-12-18,5849799070
2003-12-19,5759678920
2003-12-22,5683577460
2003-12-23,5695593480
2003-12-24,5693590810
2003-12-26,5671561440
2003-12-29,5767689600
2003-12-30,5681574790
2003-12-31,5667556100
2004-01-02,5745660230
2004-01-05,6004004660
2004-01-06,5977969950
2004-01-07,6008010000
2004-01-08,6162215590
2004-01-09,6016020680
2004-01-12,6102135490
2004-01-13,6008010000
2004-01-14,6186247630
2004-01-15,6140186220
2004-01-16,6362482590
2004-01-20,6478637450
2004-01-21,6412549340
2004-01-22,6206274330
2004-01-23,5937916550
2004-01-26,6022028690
2004-01-27,5817756350
2004-01-28,5747662900
2004-01-29,5727636200
2004-01-30,5927903200
2004-02-02,5935913880
2004-02-03,6036047380
2004-02-04,5637516050
2004-02-05,5705606830
2004-02-06,5927903200
2004-02-09,5903871160
2004-02-10,5961948590
2004-02-11,5943924560
2004-02-12,5805740330
2004-02-13,5727636200
2004-02-17,5845793730
2004-02-18,5945927230
2004-02-19,5779705620
2004-02-20,5727636200
2004-02-23,5607476000
2004-02-24,5571427940
2004-02-25,5607476000
2004-02-26,5621494690
2004-02-27,5603470660
2004-03-01,5760549200
2004-03-02,5756534880
2004-03-03,5690298600
2004-03-04,5780620800
2004-03-05,5736463280
2004-03-08,5501625560
2004-03-09,5399260400
2004-03-10,5236680440
2004-03-11,5218616000
2004-03-12,5517682840
2004-03-15,5419332000
2004-03-16,5495604080
2004-03-17,5652162560
2004-03-18,5612019360
2004-03-19,5589940600
2004-03-22,5523704320
2004-03-23,5603990720
2004-03-24,5575890480
2004-03-25,5712377360
2004-03-26,5780620800
2004-03-29,5826785480
2004-03-30,5860907200
2004-03-31,5907071880
2004-04-01,5987358280
2004-04-02,6145923920
2004-04-05,6320546840
2004-04-06,6131873800
2004-04-07,6097752080
2004-04-08,6081694800
2004-04-12,6097752080
2004-04-13,6021480000
2004-04-14,5981336800
2004-04-15,5820764000
2004-04-16,5722413160
2004-04-19,5748506240
2004-04-20,5632090960
2004-04-21,5760549200
2004-04-22,5800692400
2004-04-23,5981336800
2004-04-26,5808721040
2004-04-27,5780620800
2004-04-28,5501625560
2004-04-29,5405281880
2004-04-30,5296895240
2004-05-03,5369153000
2004-05-04,5409296200
2004-05-05,5485568280
2004-05-06,5475532480
2004-05-07,5296895240
2004-05-10,5208580200
2004-05-11,5357110040
2004-05-12,5298902400
2004-05-13,5298902400
2004-05-14,5134315280
2004-05-17,5100193560
2004-05-18,5150372560
2004-05-19,5351088560
2004-05-20,5371160160
2004-05-21,5433382120
2004-05-24,5445425080
2004-05-25,5563847520
2004-05-26,5658184040
2004-05-27,5678255640
2004-05-28,5682269960
2004-06-01,5695463520
2004-06-02,5661274650
2004-06-03,5504408070
2004-06-04,5600941350
2004-06-07,5848307880
2004-06-08,5771885700
2004-06-09,5608985790
2004-06-10,5663285760
2004-06-14,5522508060
2004-06-15,5671330200
2004-06-16,5641163550
2004-06-17,4925208390
2004-06-18,4943308380
2004-06-21,4909119510
2004-06-22,5009675010
2004-06-23,5015708340
2004-06-24,5027775000
2004-06-25,5132352720
2004-06-28,5039841660
2004-06-29,5043863880
2004-06-30,5063974980
2004-07-01,4907108400
2004-07-02,4897052850
2004-07-06,4794486240
2004-07-07,4766330700
2004-07-08,4754264040
2004-07-09,4756275150
2004-07-12,4679852970
2004-07-13,4693930740
2004-07-14,4494830850
2004-07-15,4490808630
2004-07-16,4424442000
2004-07-19,4444553100
2004-07-20,4438519770
2004-07-21,4366119810
2004-07-22,4440530880
2004-07-23,4265564310
2004-07-26,4229364330
2004-07-27,4259530980
2004-07-28,4203219899
2004-07-29,4339975380
2004-07-30,4374164250
2004-08-02,4424442000
2004-08-03,4309808730
2004-08-04,4366119810
2004-08-05,4247464320
2004-08-06,4078531080
2004-08-09,4140875490
2004-08-10,4195175460
2004-08-11,3963897810
2004-08-12,3917642280
2004-08-13,3933731159
2004-08-16,4014175560
2004-08-17,4056408870
2004-08-18,4138864379
2004-08-19,4100653290
2004-08-20,4181097690
2004-08-23,4116742170
