,NOV
2001-06-25,2312567400
2001-06-26,2367551520
2001-06-27,2244645840
2001-06-28,2053818600
2001-06-29,2011771920
2001-07-02,1933199300
2001-07-03,1897609020
2001-07-05,1889520320
2001-07-06,1889520320
2001-07-09,1810251060
2001-07-10,1785984959
2001-07-11,1697009260
2001-07-12,1535235260
2001-07-13,1554648140
2001-07-16,1354048379
2001-07-17,1378314480
2001-07-18,1378314480
2001-07-19,1386403180
2001-07-20,1431699900
2001-07-23,1465672440
2001-07-24,1381549959
2001-07-25,1464054700
2001-07-26,1462436959
2001-07-27,1447877300
2001-07-30,1421993459
2001-07-31,1426846680
2001-08-01,1410669280
2001-08-02,1426846680
2001-08-03,1355666120
2001-08-06,1352430640
2001-08-07,1300662959
2001-08-08,1227864660
2001-08-09,1208451780
2001-08-10,1258601720
2001-08-13,1266690420
2001-08-14,1269925900
2001-08-15,1409051540
2001-08-16,1381549959
2001-08-17,1370225780
2001-08-20,1310369400
2001-08-21,1294192000
2001-08-22,1297427480
2001-08-23,1250513020
2001-08-24,1268308160
2001-08-27,1276396860
2001-08-28,1200363080
2001-08-29,1198745340
2001-08-30,1163155060
2001-08-31,1166390540
2001-09-04,1145359920
2001-09-05,1127564780
2001-09-06,1140506700
2001-09-07,1158301840
2001-09-10,1179332460
2001-09-17,1134035740
2001-09-18,1040206820
2001-09-19,1009469760
2001-09-20,975497220
2001-09-21,1051531000
2001-09-24,1043442300
2001-09-25,1007852020
2001-09-26,969026260
2001-09-27,1033735860
2001-09-28,1088739020
2001-10-01,1040258260
2001-10-02,1041876080
2001-10-03,1074232480
2001-10-04,1168066040
2001-10-05,1176155140
2001-10-08,1159976940
2001-10-09,1203658080
2001-10-10,1279695620
2001-10-11,1302345100
2001-10-12,1305580740
2001-10-15,1273224340
2001-10-16,1318523300
2001-10-17,1315287660
2001-10-18,1265135240
2001-10-19,1313669839
2001-10-22,1344408420
2001-10-23,1350879700
2001-10-24,1313669839
2001-10-25,1407503400
2001-10-26,1472216200
2001-10-29,1502954779
2001-10-30,1407503400
2001-10-31,1391325200
2001-11-01,1360586620
2001-11-02,1354115339
2001-11-05,1315287660
2001-11-06,1276459980
2001-11-07,1292638180
2001-11-08,1341172779
2001-11-09,1426917240
2001-11-12,1426917240
2001-11-13,1480305300
2001-11-14,1329848040
2001-11-15,1134091820
2001-11-16,1164830400
2001-11-19,1239250120
2001-11-20,1287784720
2001-11-21,1223071920
2001-11-23,1258663960
2001-11-26,1231161020
2001-11-27,1269988700
2001-11-28,1231161020
2001-11-29,1261899600
2001-11-30,1257046140
2001-12-03,1279695620
2001-12-04,1310434200
2001-12-05,1388089560
2001-12-06,1312052020
2001-12-07,1336319320
2001-12-10,1328230220
2001-12-11,1326612400
2001-12-12,1324994580
2001-12-13,1358968800
2001-12-14,1394560839
2001-12-17,1373529180
2001-12-18,1380000460
2001-12-19,1446331080
2001-12-20,1410739040
2001-12-21,1456038000
2001-12-24,1493247860
2001-12-26,1566049760
2001-12-27,1553107200
2001-12-28,1582227960
2001-12-31,1548808800
2002-01-02,1482454400
2002-01-03,1430665600
2002-01-04,1446849600
2002-01-07,1448468000
2002-01-08,1411244800
2002-01-09,1393442400
2002-01-10,1356219200
2002-01-11,1276917600
2002-01-14,1254260000
2002-01-15,1299575200
2002-01-16,1276917600
2002-01-17,1288246400
2002-01-18,1315759200
2002-01-22,1310904000
2002-01-23,1375640000
2002-01-24,1406389600
2002-01-25,1419336800
2002-01-28,1354600799
2002-01-29,1341653599
2002-01-30,1391824000
2002-01-31,1430665600
2002-02-01,1399916000
2002-02-04,1349745600
2002-02-05,1344890400
2002-02-06,1369166400
2002-02-07,1302812000
2002-02-08,1351364000
2002-02-11,1378876800
2002-02-12,1411244800
2002-02-13,1403152800
2002-02-14,1435520799
2002-02-15,1437139200
2002-02-19,1432284000
2002-02-20,1416100000
2002-02-21,1450086400
2002-02-22,1480836000
2002-02-25,1568229600
2002-02-26,1592505600
2002-02-27,1568229600
2002-02-28,1571466400
2002-03-01,1586032000
2002-03-04,1721977600
2002-03-05,1681517600
2002-03-06,1709030400
2002-03-07,1754345600
2002-03-08,1731688000
2002-03-11,1754345600
2002-03-12,1741398400
2002-03-13,1712267200
2002-03-14,1650768000
2002-03-15,1705793599
2002-03-18,1844976000
2002-03-19,1848212800
2002-03-20,1895146400
2002-03-21,1916185600
2002-03-22,1819081600
2002-03-25,1772148000
2002-03-26,1728451200
2002-03-27,1833647200
2002-03-28,1903238400
2002-04-01,1958096400
2002-04-02,1943520000
2002-04-03,1872257600
2002-04-04,1807473600
2002-04-05,1826908800
2002-04-08,1823669600
2002-04-09,1755646400
2002-04-10,1758885600
2002-04-11,1773462000
2002-04-12,1745928800
2002-04-15,1788038399
2002-04-16,1872257600
2002-04-17,1914367200
2002-04-18,1937041600
2002-04-19,1943520000
2002-04-22,1948378800
2002-04-23,1996966800
2002-04-24,1977531600
2002-04-25,2040696000
2002-04-26,2019641200
2002-04-29,1996966800
2002-04-30,1998586400
2002-05-01,2040696000
2002-05-02,2102240800
