,CAG
2000-11-20,10242194831
2000-11-21,10367036211
2000-11-22,10039327590
2000-11-24,10112151728
2000-11-27,10104026322
2000-11-28,10306210533
2000-11-29,10332131586
2000-11-30,10207710533
2000-12-01,10181789480
2000-12-04,10378789481
2000-12-05,9907026322
2000-12-06,9803342112
2000-12-07,10005526322
2000-12-08,9907026322
2000-12-11,9404157901
2000-12-12,9730763164
2000-12-13,9756684217
2000-12-14,9829263164
2000-12-15,9580421059
2000-12-18,9730763164
2000-12-19,9979605270
2000-12-20,10057368428
2000-12-21,10207710533
2000-12-22,10228447375
2000-12-26,10181789480
2000-12-27,10430631586
2000-12-28,10456552639
2000-12-29,10430631586
2001-01-02,10254368428
2001-01-03,9601157901
2001-01-04,9129394743
2001-01-05,9378236848
2001-01-08,9554500006
2001-01-09,9704842112
2001-01-10,9756684217
2001-01-11,9528578954
2001-01-12,9430078954
2001-01-16,9528578954
2001-01-17,9528578954
2001-01-18,9627078954
2001-01-19,9476736848
2001-01-22,9476736848
2001-01-23,9430078954
2001-01-24,9378236848
2001-01-25,9430078954
2001-01-26,9352315796
2001-01-29,9414526322
2001-01-30,9533763164
2001-01-31,9388605269
2001-02-01,9673736848
2001-02-02,9637447375
2001-02-05,9601157901
2001-02-06,9637447375
2001-02-07,9730763164
2001-02-08,9932947375
2001-02-09,9813710533
2001-02-12,9948500007
2001-02-13,9974421059
2001-02-14,8030342110
2001-02-15,8388052637
2001-02-16,8242894742
2001-02-20,8242894742
2001-02-21,8154763163
2001-02-22,8030342110
2001-02-23,7942210531
2001-02-26,7961185600
2001-02-27,7784038800
2001-02-28,7935134600
2001-03-01,7950765200
2001-03-02,7773618400
2001-03-05,7794459200
2001-03-06,7726726600
2001-03-07,7851771400
2001-03-08,7820510200
2001-03-09,7872612200
2001-03-12,7976816200
2001-03-13,7909083600
2001-03-14,7799669400
2001-03-15,7862191800
2001-03-16,7768408200
2001-03-19,7731936800
2001-03-20,7606892000
2001-03-21,7591261400
2001-03-22,7601681800
2001-03-23,7674624600
2001-03-26,7424535000
2001-03-27,7309910600
2001-03-28,7320331000
2001-03-29,7252598400
2001-03-30,7356802400
2001-04-02,7315120800
2001-04-03,7304700400
2001-04-04,7658994000
2001-04-05,7705885800
2001-04-06,7862191800
2001-04-09,7950765200
2001-04-10,7856981600
2001-04-11,7799669400
2001-04-12,7851771400
2001-04-16,7982026400
2001-04-17,8039338600
2001-04-18,8086230400
2001-04-19,8138332400
2001-04-20,8086230400
2001-04-23,8127912000
2001-04-24,8101861000
2001-04-25,8279007800
2001-04-26,8247746600
2001-04-27,8351950600
2001-04-30,8388422000
2001-05-01,8591619800
2001-05-02,8372791400
2001-05-03,8346740400
2001-05-04,8476995400
2001-05-07,8607250400
2001-05-08,8638511600
2001-05-09,8549938200
2001-05-10,8659352400
2001-05-11,8523887200
2001-05-14,8555148400
2001-05-15,8513466800
2001-05-16,8747925800
2001-05-17,8487415800
2001-05-18,8466575000
2001-05-21,8409262800
2001-05-22,8263377200
2001-05-23,8310269000
2001-05-24,8091440600
2001-05-25,8174803800
2001-05-29,8545734000
2001-05-30,8425075999
2001-05-31,8467044000
2001-06-01,8377862000
2001-06-04,8367370000
2001-06-05,8367370000
2001-06-06,8278188000
2001-06-07,8283434000
2001-06-08,8220482000
2001-06-11,8115562000
2001-06-12,8236220000
2001-06-13,8304418000
2001-06-14,8335894000
2001-06-15,8362124000
2001-06-18,8230974000
2001-06-19,8162776000
2001-06-20,8209990000
2001-06-21,8519503999
2001-06-22,8335894000
2001-06-25,8042118000
2001-06-26,8000150000
2001-06-27,7722112000
2001-06-28,7958182000
2001-06-29,8042118000
2001-07-02,7947690000
2001-07-03,7994904000
2001-07-05,8068348000
2001-07-06,8105070000
2001-07-09,8031626000
2001-07-10,7979166000
2001-07-11,8057856000
2001-07-12,8120808000
2001-07-13,8230974000
2001-07-16,8325402000
2001-07-17,8509011999
2001-07-18,8582456000
2001-07-19,8603440000
2001-07-20,8629670000
2001-07-23,8561472000
2001-07-24,8524750000
2001-07-25,8645408000
2001-07-26,8703114000
2001-07-27,8640162000
2001-07-30,8697868000
2001-07-31,8724098000
2001-08-01,8566717999
2001-08-02,8655900000
2001-08-03,8519503999
2001-08-06,8535242000
2001-08-07,8456552000
2001-08-08,8367370000
2001-08-09,8556225999
2001-08-10,8682130000
2001-08-13,8682130000
2001-08-14,8682130000
2001-08-15,8697868000
2001-08-16,8629670000
2001-08-17,8724098000
2001-08-20,9007382000
2001-08-21,9007382000
2001-08-22,9185746000
2001-08-23,9012628000
2001-08-24,8996890000
2001-08-27,9074509084
2001-08-28,9032399993
2001-08-29,9085036357
2001-08-30,9369272720
2001-08-31,9348218175
2001-09-04,9574554538
2001-09-05,9527181811
2001-09-06,9411381811
2001-09-07,9295581811
2001-09-10,9316636357
2001-09-17,9158727266
2001-09-18,9195572720
2001-09-19,9163990902
2001-09-20,8942918175
2001-09-21,8885018175
2001-09-24,8963972721
2001-09-25,8890281812
2001-09-26,8848172721
2001-09-27,8963972721
2001-09-28,9142936357
2001-10-01,9163990902
2001-10-02,9369272720
2001-10-03,9342954539
2001-10-04,9306109084
2001-10-05,9348218175
2001-10-08,9227154539
2001-10-09,9127145448
2001-10-10,9274527266
2001-10-11,9295581811
2001-10-12,8974499993
2001-10-15,8948181812
2001-10-16,8942918175
2001-10-17,8916599993
2001-10-18,8974499993
2001-10-19,9153463630
2001-10-22,9232418175
2001-10-23,9248209084
2001-10-24,9227154539
2001-10-25,9353481811
2001-10-26,9421909084
2001-10-29,9358745448
2001-10-30,9406118175
2001-10-31,9327163629
2001-11-01,9606136357
2001-11-02,9769309084
2001-11-05,9911427265
2001-11-06,10043018174
2001-11-07,10064072720
2001-11-08,9769309084
2001-11-09,9611399993
2001-11-12,9553499993
2001-11-13,9595609084
2001-11-14,9553499993
2001-11-15,9516654538
2001-11-16,9500863629
2001-11-19,9448227266
2001-11-20,9448227266
2001-11-21,9432436357
2001-11-23,9442963629
2001-11-26,9840283872
2001-11-27,9680503226
2001-11-28,9702541936
2001-11-29,9735600001
2001-11-30,9796206452
2001-12-03,9873341936
2001-12-04,9933948388
2001-12-05,9922929033
2001-12-06,9889870968
2001-12-07,9928438710
2001-12-10,9922929033
2001-12-11,9746619355
2001-12-12,9779677420
2001-12-13,9994554839
2001-12-14,10137806452
2001-12-17,10137806452
2001-12-18,10198412904
2001-12-19,10363703227
2001-12-20,10336154839
2001-12-21,10236980646
2001-12-24,10286567743
2001-12-26,10308606452
2001-12-27,10314116130
2001-12-28,10192903227
2001-12-31,10137806452
2002-01-02,10170864517
2002-01-03,10005574194
2002-01-04,9906400001
2002-01-07,9933948388
2002-01-08,10022103226
2002-01-09,9978025807
2002-01-10,10209432259
2002-01-11,10259019356
2002-01-14,10380232259
2002-01-15,10534503227
2002-01-16,10363703227
2002-01-17,10413290323
2002-01-18,10407780646
2002-01-22,10694283872
2002-01-23,10639187098
2002-01-24,10385741936
2002-01-25,10325135485
2002-01-28,10600619356
2002-01-29,10589600001
2002-01-30,10540012904
2002-01-31,10573070968
2002-02-01,10479406452
2002-02-04,10402270968
2002-02-05,10396761291
2002-02-06,10209432259
2002-02-07,10231470968
2002-02-08,10214941936
2002-02-11,10181883872
2002-02-12,10077200001
2002-02-13,10154335485
2002-02-14,10314116130
2002-02-15,10231470968
2002-02-19,10005574194
2002-02-20,9972516130
2002-02-21,10099238710
2002-02-22,10292077420
2002-02-25,9470488644
2002-02-26,9328684536
2002-02-27,9247653617
2002-02-28,9176751563
2002-03-01,9272975779
2002-03-04,9202073725
2002-03-05,9034947455
2002-03-06,9131171671
2002-03-07,8999496428
2002-03-08,8953916536
2002-03-11,8903272211
2002-03-12,8953916536
2002-03-13,8857692320
2002-03-14,9004560860
2002-03-15,9085591779
2002-03-18,8928594374
2002-03-19,8989367563
2002-03-20,9040011887
2002-03-21,9232460319
2002-03-22,9298297941
2002-03-25,9288169076
2002-03-26,9399586590
2002-03-27,9384393292
2002-03-28,9505939671
2002-04-01,9490746373
2002-04-02,9612292752
2002-04-03,9718645833
2002-04-04,10047833941
2002-04-05,9956674157
2002-04-08,9855385508
2002-04-09,9809805616
2002-04-10,9875643238
2002-04-11,9794612319
2002-04-12,9835127779
2002-04-15,9713581400
2002-04-16,9718645833
2002-04-17,9713581400
2002-04-18,9789547887
2002-04-19,9799676752
2002-04-22,9789547887
2002-04-23,9733839130
2002-04-24,9617357184
2002-04-25,9769290157
2002-04-26,9637614914
2002-04-29,9586970589
2002-04-30,9602163887
2002-05-01,9602163887
2002-05-02,9581906157
2002-05-03,9592035022
2002-05-06,9592035022
2002-05-07,9592035022
2002-05-08,9592035022
2002-05-09,9566712860
2002-05-10,9602163887
2002-05-13,9602163887
2002-05-14,9561648427
2002-05-15,9607228319
2002-05-16,9612292752
2002-05-17,9602163887
2002-05-20,9581906157
2002-05-21,9586970589
2002-05-22,9718645833
2002-05-23,9779419022
2002-05-24,9703452535
2002-05-28,10116009000
2002-05-29,10195164000
2002-05-30,10057962000
2002-05-31,10052685000
2002-06-03,9894375000
2002-06-04,9941868000
2002-06-05,10100178000
2002-06-06,9904929000
2002-06-07,10031577000
2002-06-10,10110732000
2002-06-11,10147671000
2002-06-12,10158225000
2002-06-13,9989361000
2002-06-14,9926037000
2002-06-17,10205718000
2002-06-18,10174056000
2002-06-19,10337643000
2002-06-20,10453737000
2002-06-21,10501230000
2002-06-24,10448460000
2002-06-25,10163502000
2002-06-26,10680648000
2002-06-27,11023653000
2002-06-28,11292780000
2002-07-01,10997268000
2002-07-02,10944498000
2002-07-03,10933944000
2002-07-05,10902282000
2002-07-08,10865343000
2002-07-09,10970883000
2002-07-10,10939221000
2002-07-11,10601493000
2002-07-12,10358751000
2002-07-15,9984084000
2002-07-16,9762450000
2002-07-17,10110732000
2002-07-18,9699126000
2002-07-19,8960346000
2002-07-22,8955069000
2002-07-23,9261135000
2002-07-24,9435276000
2002-07-25,9904929000
2002-07-26,10036854000
2002-07-29,10147671000
2002-07-30,10026300000
2002-07-31,10253211000
2002-08-01,10105455000
2002-08-02,10121286000
2002-08-05,9904929000
2002-08-06,9994638000
2002-08-07,10158225000
2002-08-08,10258488000
2002-08-09,10448460000
2002-08-12,10395690000
2002-08-13,10501230000
2002-08-14,10691202000
2002-08-15,10469568000
2002-08-16,10527615000
2002-08-19,10559277000
2002-08-20,10538169000
2002-08-21,10548723000
2002-08-22,10701756000
2002-08-23,10712310000
2002-08-26,10616240000
2002-08-27,10883480000
2002-08-28,10789160000
2002-08-29,10563840000
2002-08-30,10663400000
2002-09-03,10296600000
2002-09-04,10380440000
2002-09-05,10411880000
2002-09-06,10338520000
2002-09-09,10322800000
2002-09-10,10296600000
2002-09-11,10359480000
2002-09-12,10176080000
2002-09-13,10286120000
2002-09-16,10500960000
2002-09-17,10595280000
2002-09-18,10548120000
2002-09-19,10034600000
2002-09-20,10003160000
2002-09-23,9935040000
2002-09-24,9945520000
2002-09-25,10317560000
2002-09-26,10500960000
2002-09-27,10207520000
2002-09-30,10076520000
2002-10-01,10270400000
2002-10-02,9893120000
2002-10-03,9992680000
2002-10-04,9945520000
2002-10-07,10050320000
2002-10-08,10055560000
2002-10-09,9730680000
2002-10-10,9730680000
2002-10-11,9746400000
2002-10-14,9835480000
2002-10-15,10018880000
2002-10-16,9940280000
2002-10-17,9893120000
2002-10-18,10139400000
2002-10-21,10202280000
2002-10-22,10238960000
2002-10-23,10102720000
2002-10-24,9882640000
2002-10-25,9903600000
2002-10-28,9777840000
2002-10-29,9987440000
2002-10-30,9819760000
2002-10-31,9835480000
2002-11-01,9940280000
2002-11-04,9929800000
2002-11-05,10071280000
2002-11-06,10107960000
2002-11-07,10055560000
2002-11-08,9987440000
2002-11-11,9893120000
2002-11-12,9683520000
2002-11-13,9767360000
2002-11-14,9961240000
2002-11-15,10050320000
2002-11-18,9730680000
2002-11-19,9872160000
2002-11-20,10013640000
2002-11-21,10024120000
2002-11-22,10024120000
2002-11-25,10175200006
2002-11-26,10126900006
2002-11-27,10223500006
2002-11-29,10121533339
2002-12-02,10100066672
2002-12-03,10110800006
2002-12-04,10094700006
2002-12-05,10057133339
2002-12-06,10089333339
2002-12-09,10019566672
2002-12-10,10094700006
2002-12-11,10132266672
2002-12-12,10078600006
2002-12-13,10180566672
2002-12-16,10330833339
2002-12-17,10110800006
2002-12-18,10244966673
2002-12-19,10277166673
2002-12-20,10405966673
2002-12-23,10572333339
2002-12-24,10534766673
2002-12-26,10572333339
2002-12-27,10459633339
2002-12-30,10507933339
2002-12-31,10384500006
2003-01-02,10642100006
2003-01-03,10733333340
2003-01-06,10899700006
2003-01-07,10760166673
2003-01-08,10674300006
2003-01-09,10862133340
2003-01-10,10706500006
2003-01-13,10819200006
2003-01-14,10835300006
2003-01-15,10620633339
2003-01-16,10674300006
2003-01-17,10647466673
2003-01-21,10674300006
2003-01-22,10642100006
2003-01-23,10588433339
2003-01-24,10422066673
2003-01-27,10341566673
2003-01-28,10261066673
2003-01-29,9949800006
2003-01-30,10073233339
2003-01-31,10185933339
2003-02-03,10212766673
2003-02-04,10218133339
2003-02-05,10148366672
2003-02-06,10143000006
2003-02-07,10105433339
2003-02-10,10148366672
2003-02-11,9992733339
2003-02-12,9890766672
2003-02-13,10014200006
2003-02-14,10083966672
2003-02-18,10041033339
2003-02-19,9949800006
2003-02-20,9740500006
2003-02-21,9729766672
2003-02-24,9481700000
2003-02-25,9603600000
2003-02-26,9449900000
2003-02-27,9434000000
2003-02-28,9460500000
2003-03-03,9407500000
2003-03-04,9248500000
2003-03-05,9110700000
2003-03-06,8909300000
2003-03-07,8914600000
2003-03-10,8729100000
2003-03-11,8776800000
2003-03-12,8813900000
2003-03-13,8204400000
2003-03-14,8469400000
2003-03-17,8670800000
2003-03-18,8718500000
2003-03-19,8872200000
2003-03-20,8776800000
2003-03-21,9153100000
2003-03-24,8877500000
2003-03-25,8951700000
2003-03-26,8829800000
2003-03-27,8808600000
2003-03-28,8061300000
2003-03-31,8236200000
2003-04-01,8310400000
2003-04-02,8564800000
2003-04-03,8533000000
2003-04-04,8411100000
2003-04-07,8533000000
2003-04-08,8617800000
2003-04-09,8559499999
2003-04-10,8469400000
2003-04-11,8469400000
2003-04-14,8607200000
2003-04-15,8697300000
2003-04-16,8591300000
2003-04-17,8665500000
2003-04-21,8623100000
2003-04-22,8829800000
2003-04-23,8898700000
2003-04-24,8729100000
2003-04-25,8649600000
2003-04-28,8808600000
2003-04-29,8972900000
2003-04-30,8612500000
2003-05-01,8739700000
2003-05-02,8803300000
2003-05-05,8824500000
2003-05-06,8914600000
2003-05-07,8898700000
2003-05-08,8967600000
2003-05-09,9084200000
2003-05-12,9041800000
2003-05-13,8988800000
2003-05-14,8914600000
2003-05-15,8877500000
2003-05-16,8914600000
2003-05-19,8872200000
2003-05-20,8872200000
2003-05-21,8951700000
2003-05-22,9121300000
2003-05-23,9439300000
2003-05-27,9783800000
2003-05-28,9820900000
2003-05-29,9852700000
2003-05-30,9953400000
2003-06-02,9969300000
2003-06-03,9948100000
2003-06-04,10017000000
2003-06-05,10191900000
2003-06-06,10292600000
2003-06-09,10234300000
2003-06-10,10096500000
2003-06-11,10218400000
2003-06-12,10313800000
2003-06-13,10335000000
2003-06-16,10419800000
2003-06-17,10419800000
2003-06-18,10335000000
2003-06-19,10202500000
2003-06-20,10123000000
2003-06-23,9969300000
2003-06-24,10091200000
2003-06-25,9889800000
2003-06-26,9762600000
2003-06-27,9736100000
2003-06-30,9677800000
2003-07-01,9746700000
2003-07-02,9720200000
2003-07-03,9571800000
2003-07-07,9651300000
2003-07-08,9661900000
2003-07-09,9624800000
2003-07-10,9587700000
2003-07-11,9667200000
2003-07-14,9598300000
2003-07-15,9524100000
2003-07-16,9402200000
2003-07-17,9455200000
2003-07-18,9598300000
2003-07-21,9423400000
2003-07-22,9566500000
2003-07-23,9587700000
2003-07-24,9513500000
2003-07-25,9534700000
2003-07-28,9513500000
2003-07-29,9603600000
2003-07-30,9487000000
2003-07-31,9243200000
2003-08-01,9084200000
2003-08-04,9200800000
2003-08-05,9169000000
2003-08-06,9222000000
2003-08-07,9296200000
2003-08-08,9301500000
2003-08-11,9227300000
2003-08-12,9222000000
2003-08-13,9131900000
2003-08-14,9232600000
2003-08-15,9222000000
2003-08-18,9190200000
2003-08-19,9206100000
2003-08-20,9068300000
2003-08-21,9020600000
2003-08-22,8904000000
2003-08-25,8892115683
2003-08-26,8886819605
2003-08-27,8897411762
2003-08-28,8929188232
2003-08-29,9019221566
2003-09-02,9019221566
2003-09-03,9013925487
2003-09-04,8960964703
2003-09-05,8913299997
2003-09-08,8929188232
2003-09-09,8929188232
2003-09-10,8955668625
2003-09-11,9241656860
2003-09-12,9442907840
2003-09-15,9368762742
2003-09-16,9273433330
2003-09-17,9342282350
2003-09-18,9167511762
2003-09-19,9040405880
2003-09-22,8998037252
2003-09-23,8950372546
2003-09-24,8828562742
2003-09-25,8743825487
2003-09-26,8669680389
2003-09-29,8770305880
2003-09-30,8706752938
2003-10-01,8886819605
2003-10-02,8892115683
2003-10-03,8955668625
2003-10-06,9119847056
2003-10-07,9135735291
2003-10-08,9241656860
2003-10-09,9151623527
2003-10-10,9167511762
2003-10-13,9310505879
2003-10-14,9506460781
2003-10-15,9485276468
2003-10-16,9564717644
2003-10-17,9548829409
2003-10-20,9628270585
2003-10-21,9797745095
2003-10-22,9622974507
2003-10-23,9750080389
2003-10-24,9808337252
2003-10-27,9744784311
2003-10-28,9803041173
2003-10-29,9723599997
2003-10-30,9697119605
2003-10-31,9771264703
2003-11-03,9877186271
2003-11-04,9776560781
2003-11-05,9787152938
2003-11-06,9781856860
2003-11-07,9707711762
2003-11-10,9675935291
2003-11-11,9776560781
2003-11-12,9956627448
2003-11-13,9951331369
2003-11-14,9940739213
2003-11-17,9940739213
2003-11-18,9940739213
2003-11-19,10051956860
2003-11-20,9914258820
2003-11-21,9871890193
2003-11-24,9819780483
2003-11-25,9982568288
2003-11-26,10008824386
2003-11-28,9956312190
2003-12-01,10014075605
2003-12-02,10108597556
2003-12-03,10124351215
2003-12-04,10113848776
2003-12-05,10313395117
2003-12-08,10318646337
2003-12-09,10360656093
2003-12-10,10365907312
2003-12-11,10502439020
2003-12-12,10586458532
2003-12-15,10560202434
2003-12-16,10533946337
2003-12-17,10533946337
2003-12-18,10486685361
2003-12-19,10355404873
2003-12-22,10628468288
2003-12-23,10728241458
2003-12-24,10617965849
2003-12-26,10570704873
2003-12-29,10665226824
2003-12-30,10654724385
2003-12-31,10722990239
2004-01-02,10565453654
2004-01-05,10749246336
2004-01-06,10691482922
2004-01-07,10701985361
2004-01-08,10722990239
2004-01-09,10696734141
2004-01-12,10696734141
2004-01-13,10644221946
2004-01-14,10623217068
2004-01-15,10633719507
2004-01-16,10638970727
2004-01-20,10607463410
2004-01-21,10665226824
2004-01-22,10665226824
2004-01-23,10728241458
2004-01-26,10665226824
2004-01-27,10649473166
2004-01-28,10486685361
2004-01-29,10476182922
2004-01-30,10539197556
2004-02-02,10539197556
2004-02-03,10528695117
2004-02-04,10512941459
2004-02-05,10523443898
2004-02-06,10570704873
2004-02-09,10549699995
2004-02-10,10612714629
2004-02-11,10659975605
2004-02-12,10633719507
2004-02-13,10628468288
2004-02-17,10786004873
2004-02-18,10770251215
2004-02-19,10786004873
2004-02-20,10764999995
2004-02-23,10635603299
2004-02-24,10630452886
2004-02-25,10671656191
2004-02-26,10692257844
2004-02-27,10836469414
2004-03-01,10882823133
2004-03-02,10939477679
2004-03-03,10985831398
2004-03-04,10975530571
2004-03-05,10990981811
2004-03-08,10918876026
2004-03-09,11063087596
2004-03-10,11052786770
2004-03-11,10784965282
2004-03-12,10939477679
2004-03-15,10692257844
2004-03-16,10537745448
2004-03-17,10584099167
2004-03-18,10558347101
2004-03-19,10455338836
2004-03-22,10305976853
2004-03-23,10372932225
2004-03-24,10264773547
2004-03-25,10620152059
2004-03-26,10609851233
2004-03-29,10728310737
2004-03-30,10697408257
2004-03-31,10738611563
2004-04-01,10831319001
2004-04-02,10949778505
2004-04-05,11001282637
2004-04-06,11119742141
2004-04-07,11114591728
2004-04-08,11217599993
2004-04-12,11227900819
2004-04-13,11253652885
2004-04-14,11372112389
2004-04-15,11423616521
2004-04-16,11485421480
2004-04-19,11552376852
2004-04-20,11531775199
2004-04-21,11588429745
2004-04-22,11681137182
2004-04-23,11675986769
2004-04-26,11681137182
2004-04-27,11681137182
2004-04-28,11552376852
2004-04-29,11562677678
2004-04-30,11516323959
2004-05-03,11660535530
2004-05-04,11645084290
2004-05-05,11655385116
2004-05-06,11696588422
2004-05-07,11650234703
2004-05-10,11485421480
2004-05-11,11469970240
2004-05-12,11382413216
2004-05-13,11305157017
2004-05-14,11372112389
2004-05-17,11176396687
2004-05-18,11222750406
2004-05-19,11130042968
2004-05-20,11073388423
2004-05-21,11027034704
2004-05-24,11160945447
2004-05-25,11263953712
2004-05-26,11310307431
2004-05-27,11253652885
2004-05-28,11207299166
2004-06-01,11177540000
2004-06-02,11141350000
2004-06-03,11079310000
2004-06-04,11156860000
2004-06-07,11182710000
2004-06-08,11244750000
2004-06-09,11187880000
2004-06-10,11146520000
2004-06-14,11043120000
2004-06-15,10996590000
2004-06-16,11053460000
2004-06-17,11012100000
2004-06-18,11017270000
2004-06-21,11027610000
2004-06-22,11084480000
2004-06-23,11084480000
2004-06-24,10975910000
2004-06-25,10846660000
2004-06-28,10924210000
2004-06-29,10820810000
2004-06-30,10836320000
2004-07-01,10681220000
2004-07-02,10748430000
2004-07-06,10743260000
2004-07-07,10794960000
2004-07-08,10898360000
2004-07-09,11012100000
2004-07-12,11058630000
2004-07-13,10944890000
2004-07-14,10893190000
2004-07-15,10893190000
2004-07-16,10841490000
2004-07-19,10877680000
2004-07-20,10924210000
2004-07-21,10763940000
2004-07-22,10738090000
2004-07-23,10696730000
2004-07-26,10660540000
2004-07-27,10577820000
2004-07-28,10629520000
2004-07-29,10464080000
2004-07-30,10402040000
2004-08-02,10526120000
2004-08-03,10500270000
2004-08-04,10551970000
2004-08-05,10484760000
2004-08-06,10308980000
2004-08-09,10308980000
2004-08-10,10360680000
2004-08-11,10422720000
2004-08-12,10464080000
2004-08-13,10407210000
2004-08-16,10427890000
2004-08-17,10422720000
2004-08-18,10448570000
2004-08-19,10402040000
2004-08-20,10474420000
2004-08-23,10396870000
