,OKE
2000-06-22,701871840
2000-06-23,696032640
2000-06-26,699536160
2000-06-27,685522080
2000-06-28,703039680
2000-06-29,686689920
2000-06-30,663424000
2000-07-03,693792000
2000-07-05,689120000
2000-07-06,685616000
2000-07-07,682112000
2000-07-10,683280000
2000-07-11,696128000
2000-07-12,698464000
2000-07-13,693792000
2000-07-14,683280000
2000-07-17,683280000
2000-07-18,691456000
2000-07-19,703136000
2000-07-20,704304000
2000-07-21,698464000
2000-07-24,683280000
2000-07-25,689120000
2000-07-26,689120000
2000-07-27,693792000
2000-07-28,672768000
2000-07-31,682112000
2000-08-01,693792000
2000-08-02,728832000
2000-08-03,746352000
2000-08-04,742848000
2000-08-07,749856000
2000-08-08,760368000
2000-08-09,762704000
2000-08-10,759200000
2000-08-11,774384000
2000-08-14,786064000
2000-08-15,807088000
2000-08-16,811760000
2000-08-17,807088000
2000-08-18,797744000
2000-08-21,790736000
2000-08-22,803584000
2000-08-23,807088000
2000-08-24,803584000
2000-08-25,790736000
2000-08-28,797744000
2000-08-29,804752000
2000-08-30,815264000
2000-08-31,816432000
2000-09-01,821104000
2000-09-05,843296000
2000-09-06,854976000
2000-09-07,880672000
2000-09-08,883008000
2000-09-11,913376000
2000-09-12,911040000
2000-09-13,912208000
2000-09-14,891184000
2000-09-15,933232000
2000-09-18,932064000
2000-09-19,907536000
2000-09-20,912208000
2000-09-21,907536000
2000-09-22,904032000
2000-09-25,901696000
2000-09-26,919216000
2000-09-27,941408000
2000-09-28,954256000
2000-09-29,1016159999
2000-10-02,1720370760
2000-10-03,1742197839
2000-10-04,1805694800
2000-10-05,1793789119
2000-10-06,1853317520
2000-10-09,1823553320
2000-10-10,1779899160
2000-10-11,1793789119
2000-10-12,1807679080
2000-10-13,1799741960
2000-10-16,1815616200
2000-10-17,1758072080
2000-10-18,1728307880
2000-10-19,1742197839
2000-10-20,1756087800
2000-10-23,1716402200
2000-10-24,1704496520
2000-10-25,1672748040
2000-10-26,1680685160
2000-10-27,1686638000
2000-10-30,1686638000
2000-10-31,1720370760
2000-11-01,1756087800
2000-11-02,1769977760
2000-11-03,1767993480
2000-11-06,1791804839
2000-11-07,1823553320
2000-11-08,1829506160
2000-11-09,1815616200
2000-11-10,1809663359
2000-11-13,1805694800
2000-11-14,1779899160
2000-11-15,1813631920
2000-11-16,1807679080
2000-11-17,1835459000
2000-11-20,1829506160
2000-11-21,1843396119
2000-11-22,1813631920
2000-11-24,1823553320
2000-11-27,1823553320
2000-11-28,1851333240
2000-11-29,1827521880
2000-11-30,1771962040
2000-12-01,1809663359
2000-12-04,1845380400
2000-12-05,1875144599
2000-12-06,1859270359
2000-12-07,1827521880
2000-12-08,1839427560
2000-12-11,1821569040
2000-12-12,1879113160
2000-12-13,1887050280
2000-12-14,1849348960
2000-12-15,1881097440
2000-12-18,1889034560
2000-12-19,1968405760
2000-12-20,1990232839
2000-12-21,2004122800
2000-12-22,2025949880
2000-12-26,2087462560
2000-12-27,2103336800
2000-12-28,2196597960
2000-12-29,2089446839
2001-01-02,1006029960
2001-01-03,1008014240
2001-01-04,941540860
2001-01-05,1021904200
2001-01-08,1031825600
2001-01-09,1035794160
2001-01-10,1048691980
2001-01-11,993132140
2001-01-12,985195020
2001-01-16,977257900
2001-01-17,976265760
2001-01-18,965352220
2001-01-19,965352220
2001-01-22,995116419
2001-01-23,1006029960
2001-01-24,1017935640
2001-01-25,1031825600
2001-01-26,1000077120
2001-01-29,997100700
2001-01-30,996108559
2001-01-31,970312919
2001-02-01,963367940
2001-02-02,961383660
2001-02-05,977257900
2001-02-06,972297200
2001-02-07,990155720
2001-02-08,1020912059
2001-02-09,1017935640
2001-02-12,1015951360
2001-02-13,1012974940
2001-02-14,997100700
2001-02-15,982218600
2001-02-16,994124280
2001-02-20,953446540
2001-02-21,955430820
2001-02-22,944517280
2001-02-23,941540860
2001-02-26,948485840
2001-02-27,955430820
2001-02-28,954438679
2001-03-01,959399380
2001-03-02,972297200
2001-03-05,963367940
2001-03-06,953446540
2001-03-07,959399380
2001-03-08,952454400
2001-03-09,928643040
2001-03-12,922690200
2001-03-13,908800240
2001-03-14,888957440
2001-03-15,907808100
2001-03-16,890941720
2001-03-19,904831679
2001-03-20,884988880
2001-03-21,860185380
2001-03-22,817523360
2001-03-23,832405460
2001-03-26,862169660
2001-03-27,865146080
2001-03-28,858201100
2001-03-29,872091059
2001-03-30,887965299
2001-04-02,1743598780
2001-04-03,1729681799
2001-04-04,1751551340
2001-04-05,1797278559
2001-04-06,1771432740
2001-04-09,1821136240
2001-04-10,1868851600
2001-04-11,1821136240
2001-04-12,1856922760
2001-04-16,1898673700
2001-04-17,1942412780
2001-04-18,1902649980
2001-04-19,1912590679
2001-04-20,1870839740
2001-04-23,1894697419
2001-04-24,1906626260
2001-04-25,1930483940
2001-04-26,1916566960
2001-04-27,1916566960
2001-04-30,1880780440
2001-05-01,1874816020
2001-05-02,1835053220
2001-05-03,1795290419
2001-05-04,1823124380
2001-05-07,1821136240
2001-05-08,1797278559
2001-05-09,1811195540
2001-05-10,1823124380
2001-05-11,1829088799
2001-05-14,1841017640
2001-05-15,1850958340
2001-05-16,1864875320
2001-05-17,1837041360
2001-05-18,1864875320
2001-05-21,1884756720
2001-05-22,1896685559
2001-05-23,1876804160
2001-05-24,1846982059
2001-05-25,1829088799
2001-05-29,1799266700
2001-05-30,1819148100
2001-05-31,1831076940
2001-06-01,1829088799
2001-06-04,1862887179
2001-06-05,1829088799
2001-06-06,1825112520
2001-06-07,1797278559
2001-06-08,1803242980
2001-06-11,1841017640
2001-06-12,1839029500
2001-06-13,1835053220
2001-06-14,1769444600
2001-06-15,1791314140
2001-06-18,1775409020
2001-06-19,1761492040
2001-06-20,1761492040
2001-06-21,1725705520
2001-06-22,1707812260
2001-06-25,1683954580
2001-06-26,1731669940
2001-06-27,1719741100
2001-06-28,1715764820
2001-06-29,1713776679
2001-07-02,1733655820
2001-07-03,1737636660
2001-07-05,1755550440
2001-07-06,1733655820
2001-07-09,1719722880
2001-07-10,1707780360
2001-07-11,1675933640
2001-07-12,1665981539
2001-07-13,1665981539
2001-07-16,1644086920
2001-07-17,1624182720
2001-07-18,1586364740
2001-07-19,1564470120
2001-07-20,1542575500
2001-07-23,1582383900
2001-07-24,1528642560
2001-07-25,1588355160
2001-07-26,1610249780
2001-07-27,1596316840
2001-07-30,1586364740
2001-07-31,1586364740
2001-08-01,1576412640
2001-08-02,1542575500
2001-08-03,1538594660
2001-08-06,1500776680
2001-08-07,1498786260
2001-08-08,1451016180
2001-08-09,1478882060
2001-08-10,1508738360
2001-08-13,1486843740
2001-08-14,1496795840
2001-08-15,1508738360
2001-08-16,1532623400
2001-08-17,1522671300
2001-08-20,1504757520
2001-08-21,1476891640
2001-08-22,1476891640
2001-08-23,1480872480
2001-08-24,1486843740
2001-08-27,1484853320
2001-08-28,1415188620
2001-08-29,1451016180
2001-08-30,1417179040
2001-08-31,1411207780
2001-09-04,1433102400
2001-09-05,1425140720
2001-09-06,1419169460
2001-09-07,1403246100
2001-09-10,1403246100
2001-09-17,1369408960
2001-09-18,1319648460
2001-09-19,1311686780
2001-09-20,1281830480
2001-09-21,1255955020
2001-09-24,1271878380
2001-09-25,1331590980
2001-09-26,1331590980
2001-09-27,1407226940
2001-09-28,1443054500
2001-10-01,1444925000
2001-10-02,1430974000
2001-10-03,1490764000
2001-10-04,1526638000
2001-10-05,1542582000
2001-10-08,1516673000
2001-10-09,1518666000
2001-10-10,1570484000
2001-10-11,1558526000
2001-10-12,1532617000
2001-10-15,1576463000
2001-10-16,1588421000
2001-10-17,1556533000
2001-10-18,1532617000
2001-10-19,1564505000
2001-10-22,1576463000
2001-10-23,1542582000
2001-10-24,1534610000
2001-10-25,1534610000
2001-10-26,1548561000
2001-10-29,1500729000
2001-10-30,1478806000
2001-10-31,1502722000
2001-11-01,1504715000
2001-11-02,1478806000
2001-11-05,1508701000
2001-11-06,1542582000
2001-11-07,1524645000
2001-11-08,1538596000
2001-11-09,1530624000
2001-11-12,1552547000
2001-11-13,1580449000
2001-11-14,1574470000
2001-11-15,1516673000
2001-11-16,1534610000
2001-11-19,1558526000
2001-11-20,1570484000
2001-11-21,1550554000
2001-11-23,1586428000
2001-11-26,1566498000
2001-11-27,1550554000
2001-11-28,1500729000
2001-11-29,1500729000
2001-11-30,1500729000
2001-12-03,1510694000
2001-12-04,1554540000
2001-12-05,1584435000
2001-12-06,1544575000
2001-12-07,1564505000
2001-12-10,1522652000
2001-12-11,1508701000
2001-12-12,1478806000
2001-12-13,1484785000
2001-12-14,1482792000
2001-12-17,1482792000
2001-12-18,1542582000
2001-12-19,1580449000
2001-12-20,1532617000
2001-12-21,1526638000
2001-12-24,1534610000
2001-12-26,1560519000
2001-12-27,1558526000
2001-12-28,1556533000
2001-12-31,1563093400
2002-01-02,1541078000
2002-01-03,1515059800
2002-01-04,1525066800
2002-01-07,1513058400
2002-01-08,1507054200
2002-01-09,1491043000
2002-01-10,1495045800
2002-01-11,1489041600
2002-01-14,1495045800
2002-01-15,1505052800
2002-01-16,1485038800
2002-01-17,1505052800
2002-01-18,1513058400
2002-01-22,1493044400
2002-01-23,1499048600
2002-01-24,1499048600
2002-01-25,1511057000
2002-01-28,1521064000
2002-01-29,1511057000
2002-01-30,1543079400
2002-01-31,1511057000
2002-02-01,1501050000
2002-02-04,1473030400
2002-02-05,1505052800
2002-02-06,1461022000
2002-02-07,1463023400
2002-02-08,1531071000
2002-02-11,1533072400
2002-02-12,1537075200
2002-02-13,1555087800
2002-02-14,1539076600
2002-02-15,1569097600
2002-02-19,1581106000
2002-02-20,1591113000
2002-02-21,1577103200
2002-02-22,1637145200
2002-02-25,1609125599
2002-02-26,1611127000
2002-02-27,1615129800
2002-02-28,1597117200
2002-03-01,1635143800
2002-03-04,1669167600
2002-03-05,1701190000
2002-03-06,1725206799
2002-03-07,1745220800
2002-03-08,1697187200
2002-03-11,1739216600
2002-03-12,1745220800
2002-03-13,1735213800
2002-03-14,1749223600
2002-03-15,1739216600
2002-03-18,1759230599
2002-03-19,1763233400
2002-03-20,1745220800
2002-03-21,1833282400
2002-03-22,1773240400
2002-03-25,1763233400
2002-03-26,1787250200
2002-03-27,1809265599
2002-03-28,1827278200
2002-04-01,1825751560
2002-04-02,1833741720
2002-04-03,1803778619
2002-04-04,1833741720
2002-04-05,1819758940
2002-04-08,1873692520
2002-04-09,1819758940
2002-04-10,1833741720
2002-04-11,1797786000
2002-04-12,1835739260
2002-04-15,1829746640
2002-04-16,1887675299
2002-04-17,1899660540
2002-04-18,1887675299
2002-04-19,1879685140
2002-04-22,1867699900
2002-04-23,1881682680
2002-04-24,1855714659
2002-04-25,1879685140
2002-04-26,1827749100
2002-04-29,1831744180
2002-04-30,1911645780
2002-05-01,1903655619
2002-05-02,1991547380
2002-05-03,1969574440
2002-05-06,1951596580
2002-05-07,1951596580
2002-05-08,1973569520
2002-05-09,1905653159
2002-05-10,1893667920
2002-05-13,1923631020
2002-05-14,1975567060
2002-05-15,1957589200
2002-05-16,1959586740
2002-05-17,1963581820
2002-05-20,1915640860
2002-05-21,1899660540
2002-05-22,1879685140
2002-05-23,1933618720
2002-05-24,1925628560
2002-05-28,1905653159
2002-05-29,1879685140
2002-05-30,1839734340
2002-05-31,1815763860
2002-06-03,1755837659
2002-06-04,1817761400
2002-06-05,1827749100
2002-06-06,1777810600
2002-06-07,1817761400
2002-06-10,1811768780
2002-06-11,1769820440
2002-06-12,1825751560
2002-06-13,1791793380
2002-06-14,1811768780
2002-06-17,1889672840
2002-06-18,1891670380
2002-06-19,1819758940
2002-06-20,1857712200
2002-06-21,1837736799
2002-06-24,1801781080
2002-06-25,1823754020
2002-06-26,1841731880
2002-06-27,1875690060
2002-06-28,1919635940
2002-07-01,1895184720
2002-07-02,1825214820
2002-07-03,1797226860
2002-07-05,1833211380
2002-07-08,1783232880
2002-07-09,1767239760
2002-07-10,1699269000
2002-07-11,1673280179
2002-07-12,1637295660
2002-07-15,1617304260
2002-07-16,1603310280
2002-07-17,1609307700
2002-07-18,1555330920
2002-07-19,1431384240
2002-07-22,1405395420
2002-07-23,1331427240
2002-07-24,1427385960
2002-07-25,1505352420
2002-07-26,1515348120
2002-07-29,1571324040
2002-07-30,1593314580
2002-07-31,1619303400
2002-08-01,1561328340
2002-08-02,1557330060
2002-08-05,1513348980
2002-08-06,1613305980
2002-08-07,1683275880
2002-08-08,1697269860
2002-08-09,1651289640
2002-08-12,1689273299
2002-08-13,1633297380
2002-08-14,1731255240
2002-08-15,1735253520
2002-08-16,1741250940
2002-08-19,1751246640
2002-08-20,1773237179
2002-08-21,1817218260
2002-08-22,1821216540
2002-08-23,1751246640
2002-08-26,1723258679
2002-08-27,1721259540
2002-08-28,1689273299
2002-08-29,1661285340
2002-08-30,1693271580
2002-09-03,1613305980
2002-09-04,1663284480
2002-09-05,1609307700
2002-09-06,1685275020
2002-09-09,1683275880
2002-09-10,1677278460
2002-09-11,1723258679
2002-09-12,1655287919
2002-09-13,1707265559
2002-09-16,1685275020
2002-09-17,1627299960
2002-09-18,1635296520
2002-09-19,1597312860
2002-09-20,1603310280
2002-09-23,1595313720
2002-09-24,1573323180
2002-09-25,1629299100
2002-09-26,1671281040
2002-09-27,1627299960
2002-09-30,1384943820
2002-10-01,1411738380
2002-10-02,1359823919
2002-10-03,1386618480
2002-10-04,1331354700
2002-10-07,1316282760
2002-10-08,1328005380
2002-10-09,1277765580
2002-10-10,1322981400
2002-10-11,1338053340
2002-10-14,1344751980
2002-10-15,1400015760
2002-10-16,1343077320
2002-10-17,1371546540
2002-10-18,1368197220
2002-10-21,1393317120
2002-10-22,1356474600
2002-10-23,1373221200
2002-10-24,1388293139
2002-10-25,1389967800
2002-10-28,1389967800
2002-10-29,1373221200
2002-10-30,1393317120
2002-10-31,1388293139
2002-11-01,1366522560
2002-11-04,1383269160
2002-11-05,1374895860
2002-11-06,1418437020
2002-11-07,1319632080
2002-11-08,1319632080
2002-11-11,1311258780
2002-11-12,1296186840
2002-11-13,1294512180
2002-11-14,1322981400
2002-11-15,1344751980
2002-11-18,1349775960
2002-11-19,1348101300
2002-11-20,1371546540
2002-11-21,1383269160
2002-11-22,1400015760
2002-11-25,1411738380
2002-11-26,1386618480
2002-11-27,1410063720
2002-11-29,1388293139
2002-12-02,1374895860
2002-12-03,1426810320
2002-12-04,1406714400
2002-12-05,1400015760
2002-12-06,1388293139
2002-12-09,1384943820
2002-12-10,1381594500
2002-12-11,1401690419
2002-12-12,1413413040
2002-12-13,1394991780
2002-12-16,1413413040
2002-12-17,1406714400
2002-12-18,1388293139
2002-12-19,1401690419
2002-12-20,1415087700
2002-12-23,1425135660
2002-12-24,1430159639
2002-12-26,1435183620
2002-12-27,1411738380
2002-12-30,1396666440
2002-12-31,1406714400
2003-01-02,1428484980
2003-01-03,1426810320
2003-01-06,1463652840
2003-01-07,1440207600
2003-01-08,1438532940
2003-01-09,1393317120
2003-01-10,1366522560
2003-01-13,1349775960
2003-01-14,1334704020
2003-01-15,1312933440
2003-01-16,1296186840
2003-01-17,1267717620
2003-01-21,1250971020
2003-01-22,1259344320
2003-01-23,1259344320
2003-01-24,1247621700
2003-01-27,1242597720
2003-01-28,1264368300
2003-01-29,1266042960
2003-01-30,1254320340
2003-01-31,1257669660
2003-02-03,1262693640
2003-02-04,1250971020
2003-02-05,1237573740
2003-02-06,1239248400
2003-02-07,1214128500
2003-02-10,1230875100
2003-02-11,1232549760
2003-02-12,1207429860
2003-02-13,1205755200
2003-02-14,1220827140
2003-02-18,1239248400
2003-02-19,1217477820
2003-02-20,1247621700
2003-02-21,1262693640
2003-02-24,1266042960
2003-02-25,1282789560
2003-02-26,1269392280
2003-02-27,1230875100
2003-02-28,1262693640
2003-03-03,1259344320
2003-03-04,1277765580
2003-03-05,1294512180
2003-03-06,1312933440
2003-03-07,1317957420
2003-03-10,1306234800
2003-03-11,1319632080
2003-03-12,1304560140
2003-03-13,1316282760
2003-03-14,1312933440
2003-03-17,1329680040
2003-03-18,1334704020
2003-03-19,1333029360
2003-03-20,1343077320
2003-03-21,1361498580
2003-03-24,1314608100
2003-03-25,1341402660
2003-03-26,1329680040
2003-03-27,1344751980
2003-03-28,1351450620
2003-03-31,1195056720
2003-04-01,1206962640
2003-04-02,1215892080
2003-04-03,1206962640
2003-04-04,1203986160
2003-04-07,1202497920
2003-04-08,1208450880
2003-04-09,1206962640
2003-04-10,1218868560
2003-04-11,1217380320
2003-04-14,1223333280
2003-04-15,1223333280
2003-04-16,1215892080
2003-04-17,1229286240
2003-04-21,1253098080
2003-04-22,1266492240
2003-04-23,1256074560
2003-04-24,1244168640
2003-04-25,1239703920
2003-04-28,1250121600
2003-04-29,1242680400
2003-04-30,1235239200
2003-05-01,1245656880
2003-05-02,1276909920
2003-05-05,1282862880
2003-05-06,1300721760
2003-05-07,1281374640
2003-05-08,1287327600
2003-05-09,1297745280
2003-05-12,1287327600
2003-05-13,1303698240
2003-05-14,1293280560
2003-05-15,1314115920
2003-05-16,1293280560
2003-05-19,1296257040
2003-05-20,1305186480
2003-05-21,1311139440
2003-05-22,1318580640
2003-05-23,1328998320
2003-05-27,1333463040
2003-05-28,1317092400
2003-05-29,1306674720
2003-05-30,1327510080
2003-06-02,1336439520
2003-06-03,1334951280
2003-06-04,1364716080
2003-06-05,1345368959
2003-06-06,1346857200
2003-06-09,1330486560
2003-06-10,1337927760
2003-06-11,1331974800
2003-06-12,1340904240
2003-06-13,1328998320
2003-06-16,1351321920
2003-06-17,1340904240
2003-06-18,1331974800
2003-06-19,1343880720
2003-06-20,1331974800
2003-06-23,1309651200
2003-06-24,1306674720
2003-06-25,1308162959
2003-06-26,1282862880
2003-06-27,1275421680
2003-06-30,1337720700
2003-07-01,1367309400
2003-07-02,1373538600
2003-07-03,1381325099
2003-07-07,1381325099
2003-07-08,1370424000
2003-07-09,1371981300
2003-07-10,1340835300
2003-07-11,1337720700
2003-07-14,1364194800
2003-07-15,1387554300
2003-07-16,1390668900
2003-07-17,1368866699
2003-07-18,1395340800
2003-07-21,1409356500
2003-07-22,1445174400
2003-07-23,1426486800
2003-07-24,1431158700
2003-07-25,1442059800
2003-07-28,1442059800
2003-07-29,1434273300
2003-07-30,1414028400
2003-07-31,1421814900
2003-08-01,1396898100
2003-08-04,1387554300
2003-08-05,1298788200
2003-08-06,1315918500
2003-08-07,1315918500
2003-08-08,1325262300
2003-08-11,1348621800
2003-08-12,1353293700
2003-08-13,1350179100
2003-08-14,1356408300
2003-08-15,1362637500
2003-08-18,1353293700
2003-08-19,1364194800
2003-08-20,1398455400
2003-08-21,1415585700
2003-08-22,1396898100
2003-08-25,1401570000
2003-08-26,1415585700
2003-08-27,1424929500
2003-08-28,1431158700
2003-08-29,1431158700
2003-09-02,1466976600
2003-09-03,1473205800
2003-09-04,1457632800
2003-09-05,1440502500
2003-09-08,1452960900
2003-09-09,1454518200
2003-09-10,1443617100
2003-09-11,1432716000
2003-09-12,1437387900
2003-09-15,1434273300
2003-09-16,1421814900
2003-09-17,1418700300
2003-09-18,1431158700
2003-09-19,1435830600
2003-09-22,1434273300
2003-09-23,1428044100
2003-09-24,1418700300
2003-09-25,1406241900
2003-09-26,1404684600
2003-09-29,1401570000
2003-09-30,1750388560
2003-10-01,1792017279
2003-10-02,1809858160
2003-10-03,1815805120
2003-10-06,1823734399
2003-10-07,1837610640
2003-10-08,1809858160
2003-10-09,1807875839
2003-10-10,1805893520
2003-10-13,1813822800
2003-10-14,1813822800
2003-10-15,1807875839
2003-10-16,1803911200
2003-10-17,1792017279
2003-10-20,1795981920
2003-10-21,1815805120
2003-10-22,1803911200
2003-10-23,1792017279
2003-10-24,1784088000
2003-10-27,1774176399
2003-10-28,1762282480
2003-10-29,1726600720
2003-10-30,1736512320
2003-10-31,1726600720
2003-11-03,1740476959
2003-11-04,1724618399
2003-11-05,1722636080
2003-11-06,1714706800
2003-11-07,1722636080
2003-11-10,1716689120
2003-11-11,1714706800
2003-11-12,1742459279
2003-11-13,1734530000
2003-11-14,1726600720
2003-11-17,1722636080
2003-11-18,1690918959
2003-11-19,1708759839
2003-11-20,1708759839
2003-11-21,1726600720
2003-11-24,1724618399
2003-11-25,1734530000
2003-11-26,1730565360
2003-11-28,1718671440
2003-12-01,1730565360
2003-12-02,1718671440
2003-12-03,1724618399
2003-12-04,1752370880
2003-12-05,1740476959
2003-12-08,1758317839
2003-12-09,1762282480
2003-12-10,1776158720
2003-12-11,1801928880
2003-12-12,1817787440
2003-12-15,1811840480
2003-12-16,1786070320
2003-12-17,1813822800
2003-12-18,1813822800
2003-12-19,1869327760
2003-12-22,1875274720
2003-12-23,1869327760
2003-12-24,1883204000
2003-12-26,1922850399
2003-12-29,1928797360
2003-12-30,1926815040
2003-12-31,1916903440
2004-01-02,1914921120
2004-01-05,1910956480
2004-01-06,1908974160
2004-01-07,1924832720
2004-01-08,1916903440
2004-01-09,1901044880
2004-01-12,1887168640
2004-01-13,1920868080
2004-01-14,1930779680
2004-01-15,1944655920
2004-01-16,1948620560
2004-01-20,1978355360
2004-01-21,2004125520
2004-01-22,2006107839
2004-01-23,2004125520
2004-01-26,2000160880
2004-01-27,2006107839
2004-01-28,1958532160
2004-01-29,1968443760
2004-01-30,1968443760
2004-02-02,1962496800
2004-02-03,1948620560
2004-02-04,1908974160
2004-02-05,1910956480
2004-02-06,1920868080
2004-02-09,1905009520
2004-02-10,1930779680
2004-02-11,1958532160
2004-02-12,1950602880
2004-02-13,1944655920
2004-02-17,1940691279
2004-02-18,1924832720
2004-02-19,1920868080
2004-02-20,1916903440
2004-02-23,1908974160
2004-02-24,1910956480
2004-02-25,1906991839
2004-02-26,1910956480
2004-02-27,1926815040
2004-03-01,1976373040
2004-03-02,1996196240
2004-03-03,1980337680
2004-03-04,1986284640
2004-03-05,2012054800
2004-03-08,2027913360
2004-03-09,2012054800
2004-03-10,1970426080
2004-03-11,1952585200
2004-03-12,1988266959
2004-03-15,1990249279
2004-03-16,1968443760
2004-03-17,1978355360
2004-03-18,1964479120
2004-03-19,1974390720
2004-03-22,1930779680
2004-03-23,1905009520
2004-03-24,1897080240
2004-03-25,1901044880
2004-03-26,1891133279
2004-03-29,1914921120
2004-03-30,1950602880
2004-03-31,2024238299
2004-04-01,2059103599
2004-04-02,2048849100
2004-04-05,2055001800
2004-04-06,2057052699
2004-04-07,2048849100
2004-04-08,2005780199
2004-04-12,1999627500
2004-04-13,1979118500
2004-04-14,1940151400
2004-04-15,1964762200
2004-04-16,1999627500
2004-04-19,1970914900
2004-04-20,1944253200
2004-04-21,1931947800
2004-04-22,1970914900
2004-04-23,1966813100
2004-04-26,1972965799
2004-04-27,1979118500
2004-04-28,1929896900
2004-04-29,1882726200
2004-04-30,1880675300
2004-05-03,1907337000
2004-05-04,1899133400
2004-05-05,1901184300
2004-05-06,1911438800
2004-05-07,1843759100
2004-05-10,1817097400
2004-05-11,1804792000
2004-05-12,1778130300
2004-05-13,1810944700
2004-05-14,1839657300
2004-05-17,1812995600
2004-05-18,1831453700
2004-05-19,1829402800
2004-05-20,1849911800
2004-05-21,1862217200
2004-05-24,1890929800
2004-05-25,1905286099
2004-05-26,1913489700
2004-05-27,1911438800
2004-05-28,1917591500
2004-06-01,1909387900
2004-06-02,1917591500
2004-06-03,1884777100
2004-06-04,1905286099
2004-06-07,1940151400
2004-06-08,1911438800
2004-06-09,1917591500
2004-06-10,1911438800
2004-06-14,1911438800
2004-06-15,1917591500
2004-06-16,1917591500
2004-06-17,1911438800
2004-06-18,1899133400
2004-06-21,1884777100
2004-06-22,1946304100
2004-06-23,1948355000
2004-06-24,1977067600
2004-06-25,1979118500
2004-06-28,1956558599
2004-06-29,1942202300
2004-06-30,1982123640
2004-07-01,1957424280
2004-07-02,1982123640
2004-07-06,1996531599
2004-07-07,1978007080
2004-07-08,1969773960
2004-07-09,1975948800
2004-07-12,1963599119
2004-07-13,1963599119
2004-07-14,1963599119
2004-07-15,1967715680
2004-07-16,1963599119
2004-07-19,1973890520
2004-07-20,1971832240
2004-07-21,1943016320
2004-07-22,1920375240
2004-07-23,1905967280
2004-07-26,1893617599
2004-07-27,1889501040
2004-07-28,1891559320
2004-07-29,1895675880
2004-07-30,1891559320
2004-08-02,1951249440
2004-08-03,2031522359
2004-08-04,2043872040
2004-08-05,2015056119
2004-08-06,2008881280
2004-08-09,1990356760
2004-08-10,1990356760
2004-08-11,2019172680
2004-08-12,2025347520
2004-08-13,2035638920
2004-08-16,2058280000
2004-08-17,2041813760
2004-08-18,2076804520
2004-08-19,2070629680
2004-08-20,2091212480
2004-08-23,2080921080
2004-08-24,2056221720
2004-08-25,2076804520
2004-08-26,2085037640
2004-08-27,2091212480
2004-08-30,2085037640
2004-08-31,2122086680
2004-09-01,2134436359
2004-09-02,2134436359
2004-09-03,2132378080
2004-09-07,2157077440
2004-09-08,2159135720
2004-09-09,2181776800
2004-09-10,2183835080
2004-09-13,2190009920
2004-09-14,2192068200
2004-09-15,2206476160
2004-09-16,2235292080
2004-09-17,2251758320
2004-09-20,2216767560
2004-09-21,2210592720
