,AZO
2000-05-10,2640722125
2000-05-11,2793913187
2000-05-12,2764733937
2000-05-15,3136769375
2000-05-16,3093000500
2000-05-17,3034642000
2000-05-18,3122179750
2000-05-19,3129474562
2000-05-22,3238896750
2000-05-23,3209717500
2000-05-24,3129474562
2000-05-25,3158653812
2000-05-26,3173243437
2000-05-30,3246191562
2000-05-31,3268076000
2000-06-01,3289960437
2000-06-02,3377498187
2000-06-05,3377498187
2000-06-06,3275370812
2000-06-07,3311844875
2000-06-08,3238896750
2000-06-09,3260781187
2000-06-12,3275370812
2000-06-13,3355613750
2000-06-14,3377498187
2000-06-15,3384793000
2000-06-16,3195127875
2000-06-19,3165948625
2000-06-20,3078410875
2000-06-21,3071116062
2000-06-22,3027347187
2000-06-23,2910630187
2000-06-26,2852271687
2000-06-27,2896040562
2000-06-28,2875979828
2000-06-29,2801208000
2000-06-30,2569597703
2000-07-03,2772028750
2000-07-05,2808502812
2000-07-06,2859566500
2000-07-07,2874156125
2000-07-10,2852271687
2000-07-11,2852271687
2000-07-12,2808502812
2000-07-13,2757439125
2000-07-14,2823092437
2000-07-17,2793913187
2000-07-18,2801208000
2000-07-19,2757439125
2000-07-20,2757439125
2000-07-21,2728259875
2000-07-24,2691785812
2000-07-25,2706375437
2000-07-26,2684491000
2000-07-27,2669901375
2000-07-28,2662606562
2000-07-31,2669901375
2000-08-01,2669901375
2000-08-02,2699080625
2000-08-03,2699080625
2000-08-04,2677196187
2000-08-07,2684491000
2000-08-08,2677196187
2000-08-09,2655311750
2000-08-10,2662606562
2000-08-11,2567774000
2000-08-14,2655311750
2000-08-15,2611542875
2000-08-16,2575068812
2000-08-17,2582363625
2000-08-18,2567774000
2000-08-21,2560479187
2000-08-22,2560479187
2000-08-23,2538594750
2000-08-24,2567774000
2000-08-25,2567774000
2000-08-28,2567774000
2000-08-29,2582363625
2000-08-30,2604248062
2000-08-31,2627956203
2000-09-01,2640722125
2000-09-05,2699080625
2000-09-06,2728259875
2000-09-07,2684491000
2000-09-08,2735554687
2000-09-11,2699080625
2000-09-12,2713670250
2000-09-13,2633427312
2000-09-14,2611542875
2000-09-15,2567774000
2000-09-18,2589658437
2000-09-19,2516710312
2000-09-20,2465646625
2000-09-21,2538594750
2000-09-22,2553184375
2000-09-25,2618837687
2000-09-26,2633427312
2000-09-27,2662606562
2000-09-28,2618837687
2000-09-29,2648016937
2000-10-02,2582363625
2000-10-03,2662606562
2000-10-04,2706375437
2000-10-05,2772028750
2000-10-06,2903335375
2000-10-09,2866861312
2000-10-10,2837682062
2000-10-11,2830387250
2000-10-12,2750144312
2000-10-13,2881450937
2000-10-16,2947104250
2000-10-17,2786618375
2000-10-18,2844976875
2000-10-19,2917925000
2000-10-20,2815797625
2000-10-23,2844976875
2000-10-24,2917925000
2000-10-25,2903335375
2000-10-26,2910630187
2000-10-27,2968988687
2000-10-30,3027347187
2000-10-31,3129474562
2000-11-01,3144064187
2000-11-02,3253486375
2000-11-03,3034642000
2000-11-06,3093000500
2000-11-07,3100295312
2000-11-08,3114884937
2000-11-09,2968988687
2000-11-10,3063821250
2000-11-13,3100295312
2000-11-14,3122179750
2000-11-15,3122179750
2000-11-16,3056526437
2000-11-17,3151359000
2000-11-20,3068396750
2000-11-21,3096873750
2000-11-22,2990085000
2000-11-24,2997204250
2000-11-27,3111112250
2000-11-28,2997204250
2000-11-29,2968727250
2000-11-30,2940250250
2000-12-01,2947369500
2000-12-04,2968727250
2000-12-05,2975846500
2000-12-06,2926011750
2000-12-07,2883296250
2000-12-08,2897534750
2000-12-11,2861938500
2000-12-12,2883296250
2000-12-13,2847700000
2000-12-14,2933131000
2000-12-15,2926011750
2000-12-18,2997204250
2000-12-19,2982965750
2000-12-20,2975846500
2000-12-21,3047039000
2000-12-22,3103993000
2000-12-26,3103993000
2000-12-27,3132470000
2000-12-28,3146708500
2000-12-29,3246378000
2001-01-02,3175185500
2001-01-03,3274855000
2001-01-04,3303332000
2001-01-05,3253497250
2001-01-08,3260616500
2001-01-09,3239258750
2001-01-10,3289093500
2001-01-11,3260616500
2001-01-12,3281974250
2001-01-16,3303332000
2001-01-17,3367405250
2001-01-18,3281974250
2001-01-19,3253497250
2001-01-22,2990085000
2001-01-23,3054158250
2001-01-24,2975846500
2001-01-25,3047039000
2001-01-26,3047039000
2001-01-29,3084628640
2001-01-30,3052734286
2001-01-31,2965025353
2001-02-01,2933131000
2001-02-02,2937687433
2001-02-05,2904654000
2001-02-06,2863647006
2001-02-07,2875037920
2001-02-08,2829474720
2001-02-09,2821501160
2001-02-12,2850674792
2001-02-13,2894496640
2001-02-14,2915845912
2001-02-15,2923711280
2001-02-16,2904609400
2001-02-20,2885507520
2001-02-21,2752918000
2001-02-22,2748423327
2001-02-23,2770896240
2001-02-26,2878765792
2001-02-27,2854045600
2001-02-28,2838314640
2001-03-01,2921464000
2001-03-02,2943936912
2001-03-05,2937194847
2001-03-06,2975398720
2001-03-07,3079897240
2001-03-08,3134955600
2001-03-09,3101246400
2001-03-12,3042817120
2001-03-13,3078773600
2001-03-14,2981017032
2001-03-15,3002365967
2001-03-16,3012478727
2001-03-19,3028209912
2001-03-20,3030456967
2001-03-21,3002365967
2001-03-22,2982140672
2001-03-23,2992253207
2001-03-26,3045064400
2001-03-27,3121472032
2001-03-28,3047311792
2001-03-29,3128213760
2001-03-30,3148439280
2001-04-02,3129337400
2001-04-03,3088886360
2001-04-04,3116977360
2001-04-05,3200126720
2001-04-06,3163046600
2001-04-09,3214734152
2001-04-10,3303501600
2001-04-11,3365301912
2001-04-12,3258556000
2001-04-16,3224846912
2001-04-17,3269792400
2001-04-18,3364178272
2001-04-19,3340581720
2001-04-20,3323727120
2001-04-23,3387774600
2001-04-24,3315861640
2001-04-25,3337210912
2001-04-26,3377661727
2001-04-27,3427102000
2001-04-30,3521487760
2001-05-01,3593400720
2001-05-02,3552949792
2001-05-03,3536094967
2001-05-04,3483284000
2001-05-07,3348583840
2001-05-08,3373420160
2001-05-09,3306470187
2001-05-10,3342104907
2001-05-11,3382058880
2001-05-14,3436050880
2001-05-15,3429571840
2001-05-16,3442529812
2001-05-17,3547274184
2001-05-18,3513799467
2001-05-21,3666056907
2001-05-22,3587228587
2001-05-23,3518118935
2001-05-24,3564551624
2001-05-25,3547274184
2001-05-29,3569951147
2001-05-30,3553753439
2001-05-31,3571030880
2001-06-01,3655258184
2001-06-04,3629342347
2001-06-05,3652018880
2001-06-06,3650939147
2001-06-07,3646619680
2001-06-08,3622863092
2001-06-11,3568871092
2001-06-12,3654178560
2001-06-13,3808595680
2001-06-14,3959773064
2001-06-15,4045080532
2001-06-18,4195178184
2001-06-19,4102312375
2001-06-20,4184380000
2001-06-21,4189779092
2001-06-22,4110950880
2001-06-25,4070996907
2001-06-26,4104471624
2001-06-27,4110950880
2001-06-28,4185459624
2001-06-29,4049400000
2001-07-02,4174661439
2001-07-03,4182220319
2001-07-05,4114190184
2001-07-06,4037521652
2001-07-09,4076396000
2001-07-10,4093673439
2001-07-11,4547206347
2001-07-12,4725379624
2001-07-13,4695144320
2001-07-16,4718900907
2001-07-17,5076327624
2001-07-18,5077407680
2001-07-19,5184311624
2001-07-20,5150836907
2001-07-23,5048252000
2001-07-24,4998579467
2001-07-25,5119521440
2001-07-26,5211307624
2001-07-27,5201589064
2001-07-30,5145437815
2001-07-31,5110882935
2001-08-01,5021256000
2001-08-02,4988860907
2001-08-03,5061209972
2001-08-06,5007217972
2001-08-07,5075248000
2001-08-08,4927310027
2001-08-09,4929469815
2001-08-10,4916511412
2001-08-13,4935948532
2001-08-14,4945667092
2001-08-15,4929469815
2001-08-16,5048252000
2001-08-17,4929469815
2001-08-20,4867918935
2001-08-21,4809607467
2001-08-22,4708102184
2001-08-23,4859280000
2001-08-24,5129240000
2001-08-27,5124920532
2001-08-28,4988860907
2001-08-29,4961864907
2001-08-30,4878717120
2001-08-31,4988860907
2001-09-04,5074168375
2001-09-05,4976982560
2001-09-06,4790170347
2001-09-07,4546126184
2001-09-10,4482415624
2001-09-17,4156304375
2001-09-18,4589320000
2001-09-19,4740497815
2001-09-20,4683265972
2001-09-21,4756695092
2001-09-24,5079567467
2001-09-25,5285816907
2001-09-26,5358165972
2001-09-27,5496385815
2001-09-28,5600050347
2001-10-01,5772824532
2001-10-02,5776064375
2001-10-03,5825736907
2001-10-04,5644323680
2001-10-05,5701555092
2001-10-08,5861371412
2001-10-09,5879728907
2001-10-10,5939120000
2001-10-11,6051423467
2001-10-12,6020108000
2001-10-15,6125932320
2001-10-16,6269551147
2001-10-17,6253353440
2001-10-18,6305185652
2001-10-19,6462842184
2001-10-22,6274950347
2001-10-23,6239315412
2001-10-24,6201521120
2001-10-25,6191802560
2001-10-26,6184243680
2001-10-29,6039545120
2001-10-30,5882968320
2001-10-31,6320303412
2001-11-01,6387253815
2001-11-02,6550309440
2001-11-05,6714445120
2001-11-06,6932572476
2001-11-07,6949850347
2001-11-08,7067552476
2001-11-09,6963887944
2001-11-12,6971446824
2001-11-13,7221969596
2001-11-14,7218730184
2001-11-15,7180936000
2001-11-16,6997363523
2001-11-19,7115943386
2001-11-20,7145860159
2001-11-21,7025124500
2001-11-23,7140518393
2001-11-26,7147997613
2001-11-27,7078547500
2001-11-28,7026193173
2001-11-29,7112738219
2001-11-30,7190736120
2001-12-03,7080684099
2001-12-04,7114874712
2001-12-05,8456861113
2001-12-06,8216457613
2001-12-07,8141664879
2001-12-10,7895919613
2001-12-11,7874549879
2001-12-12,7821126879
2001-12-13,7879892500
2001-12-14,7853181000
2001-12-17,7853181000
2001-12-18,7895919613
2001-12-19,7986738500
2001-12-20,7970711386
2001-12-21,7858523620
2001-12-24,7941863393
2001-12-26,7799758000
2001-12-27,7802963273
2001-12-28,7788004833
2001-12-31,7671543120
2002-01-02,7479220000
2002-01-03,6993070379
2002-01-04,7158682000
2002-01-07,7066794333
2002-01-08,6975975446
2002-01-09,6859512879
2002-01-10,6966358879
2002-01-11,6930031666
2002-01-14,6822116886
2002-01-15,6959948333
2002-01-16,6878745159
2002-01-17,6837075753
2002-01-18,6883019106
2002-01-22,6933236833
2002-01-23,6886224379
2002-01-24,6810364253
2002-01-25,6919347173
2002-01-28,6922552446
2002-01-29,6853102333
2002-01-30,7153339379
2002-01-31,7228132113
2002-02-01,7170435166
2002-02-04,7039014159
2002-02-05,6944990000
2002-02-06,6912935879
2002-02-07,6947126599
2002-02-08,6964222280
2002-02-11,6912366682
2002-02-12,6881178797
2002-02-13,6936278023
2002-02-14,7055833381
2002-02-15,6978901618
2002-02-19,6854148730
2002-02-20,7069348000
2002-02-21,7162913107
2002-02-22,7278309817
2002-02-25,7266874107
2002-02-26,7225289500
2002-02-27,6965387000
2002-02-28,6898852063
2002-03-01,6643108107
2002-03-04,6659741452
2002-03-05,6445582000
2002-03-06,6672216980
2002-03-07,6812564226
2002-03-08,6707563408
2002-03-11,6757465000
2002-03-12,6944595111
2002-03-13,7029843131
2002-03-14,7037120297
2002-03-15,7116130138
2002-03-18,7197220341
2002-03-19,7313656142
2002-03-20,7356280567
2002-03-21,7209695142
2002-03-22,7131724392
2002-03-25,7123407408
2002-03-26,7042317932
2002-03-27,7100536611
2002-03-28,7157714642
2002-04-01,6907169047
2002-04-02,6717960131
2002-04-03,6807366591
2002-04-04,6933159297
2002-04-05,7127565952
2002-04-08,7289745631
2002-04-09,7264794368
2002-04-10,7318854607
2002-04-11,7363557837
2002-04-12,7294943162
2002-04-15,7371874925
2002-04-16,7486231817
2002-04-17,7615143250
2002-04-18,7832421324
2002-04-19,7753411587
2002-04-22,7770044932
2002-04-23,7811629436
2002-04-24,7888560368
2002-04-25,8186928750
2002-04-26,8160938500
2002-04-29,7771084750
2002-04-30,7901036000
2002-05-01,7911431892
2002-05-02,7921827888
2002-05-03,7849055500
2002-05-06,7499527397
2002-05-07,7608216000
2002-05-08,7639834559
2002-05-09,7537074141
2002-05-10,7464944696
2002-05-13,7466920559
2002-05-14,7410600000
2002-05-15,7360207722
2002-05-16,7293018282
2002-05-17,7282149303
2002-05-20,7469884602
2002-05-21,7183341303
2002-05-22,7575609162
2002-05-23,8033090696
2002-05-24,8154624141
2002-05-28,8034078282
2002-05-29,7968865397
2002-05-30,8157588282
2002-05-31,8087434602
2002-06-03,8004436277
2002-06-04,7791998978
2002-06-05,7970841162
2002-06-06,8073601581
2002-06-07,8196123303
2002-06-10,8153635863
2002-06-11,8128933863
2002-06-12,8106208418
2002-06-13,8003448000
2002-06-14,7962936324
2002-06-17,8062732602
2002-06-18,7986650837
2002-06-19,8092375397
2002-06-20,8080518141
2002-06-21,7999495581
2002-06-24,8038030602
2002-06-25,7729750136
2002-06-26,7795951397
2002-06-27,7682322000
2002-06-28,7637858696
2002-07-01,7563752696
2002-07-02,7331553303
2002-07-03,7280173440
2002-07-05,7618096602
2002-07-08,7438266141
2002-07-09,7277209397
2002-07-10,7125044978
2002-07-11,6886917303
2002-07-12,6852334602
2002-07-15,6703134324
2002-07-16,6644838000
2002-07-17,6638909717
2002-07-18,6758467397
2002-07-19,6410662743
2002-07-22,6207118560
2002-07-23,6099417840
2002-07-24,6638909717
2002-07-25,6676456559
2002-07-26,6804907256
2002-07-29,7291042418
2002-07-30,7298947256
2002-07-31,7287090000
2002-08-01,7024260324
2002-08-02,6714991581
2002-08-05,6452162696
2002-08-06,6686337162
2002-08-07,6768348000
2002-08-08,6560851397
2002-08-09,6647802141
2002-08-12,6447222000
2002-08-13,6536149397
2002-08-14,6842454000
2002-08-15,7133937303
2002-08-16,7070700282
2002-08-19,7295982324
2002-08-20,7268316282
2002-08-21,7420480602
2002-08-22,7378981440
2002-08-23,7289065863
2002-08-26,7293018282
2002-08-27,7108247717
2002-08-28,7016356277
2002-08-29,7105283675
2002-08-30,7148758602
2002-09-03,7015368000
2002-09-04,6932369675
2002-09-05,7027225256
2002-09-06,7241638418
2002-09-09,7381945581
2002-09-10,7464944696
2002-09-11,7455063303
2002-09-12,7220888837
2002-09-13,7353291162
2002-09-16,7435302000
2002-09-17,7404671717
2002-09-18,7336494000
2002-09-19,7388862141
2002-09-20,7494586602
2002-09-23,7388862141
2002-09-24,7217924696
2002-09-25,7832509863
2002-09-26,7988626602
2002-09-27,7903651722
2002-09-30,7791998978
2002-10-01,8031114141
2002-10-02,8042971397
2002-10-03,8002459722
2002-10-04,8030125863
2002-10-07,8010364559
2002-10-08,7923413717
2002-10-09,7655644136
2002-10-10,7843378743
2002-10-11,8033090696
2002-10-14,8146719303
2002-10-15,8250468000
2002-10-16,8164504743
2002-10-17,8288014743
2002-10-18,8476738418
2002-10-21,8671390277
2002-10-22,8566653303
2002-10-23,8672377863
2002-10-24,8401644141
2002-10-25,8492547303
2002-10-28,8211932978
2002-10-29,8329514696
2002-10-30,8301847863
2002-10-31,8474761863
2002-11-01,8685223397
2002-11-04,8425357863
2002-11-05,8539975440
2002-11-06,8430298559
2002-11-07,8280110696
2002-11-08,8142767675
2002-11-11,8055816141
2002-11-12,8079529863
2002-11-13,8307776837
2002-11-14,8413501397
2002-11-15,8398680000
2002-11-18,8245527303
2002-11-19,8238610743
2002-11-20,8181302696
2002-11-21,8343347717
2002-11-22,8430298559
2002-11-25,8178893876
2002-11-26,7885524403
2002-11-27,8217287718
2002-11-29,8043037904
2002-12-02,7881586563
2002-12-03,7744746623
2002-12-04,7829410281
2002-12-05,7813659315
2002-12-06,7871742061
2002-12-09,7721119780
2002-12-10,7907182719
2002-12-11,7842208753
2002-12-12,7241687563
2002-12-13,6744535656
2002-12-16,6967023124
2002-12-17,7078267596
2002-12-18,7053656096
2002-12-19,7019200095
2002-12-20,6946349563
2002-12-23,6878422315
2002-12-24,6878422315
2002-12-26,6950287403
2002-12-27,6905987096
2002-12-30,7013292843
2002-12-31,6955210096
2003-01-02,7240703595
2003-01-03,7184589375
2003-01-06,6995572563
2003-01-07,6859717280
2003-01-08,6683498841
2003-01-09,6788836061
2003-01-10,6763239904
2003-01-13,6541736404
2003-01-14,6448213000
2003-01-15,6334999903
2003-01-16,6408834403
2003-01-17,6512203096
2003-01-21,6271010298
2003-01-22,6015050403
2003-01-23,6172564298
2003-01-24,5988470376
2003-01-27,5769920158
2003-01-28,5980594500
2003-01-29,6024895298
2003-01-30,6335984658
2003-01-31,6468886561
2003-02-03,6506295746
2003-02-04,6448213000
2003-02-05,6457072746
2003-02-06,6300544000
2003-02-07,6315311096
2003-02-10,6201113736
2003-02-11,6330078095
2003-02-12,6323186875
2003-02-13,6280854701
2003-02-14,6467901904
2003-02-18,6310435938
2003-02-19,6176956500
2003-02-20,6271622500
2003-02-21,6300968770
2003-02-24,6105957000
2003-02-25,6149503265
2003-02-26,6140036854
2003-02-27,6200623000
2003-02-28,6229023083
2003-03-03,6250795885
2003-03-04,5963958000
2003-03-05,6105957000
2003-03-06,6064303770
2003-03-07,6165596296
2003-03-10,6082290500
2003-03-11,6078503765
2003-03-12,6105957000
2003-03-13,6529114114
2003-03-14,6623780114
2003-03-17,6848138061
2003-03-18,6740218916
2003-03-19,6738325880
2003-03-20,6734539145
2003-03-21,6924818089
2003-03-24,6661646703
2003-03-25,6820685583
2003-03-26,6815952000
2003-03-27,6707085910
2003-03-28,6609580119
2003-03-31,6504500765
2003-04-01,6579287000
2003-04-02,6834884916
2003-04-03,7138763438
2003-04-04,7230588796
2003-04-07,7252362354
2003-04-08,7153909619
2003-04-09,7009070734
2003-04-10,7090483589
2003-04-11,7122669650
2003-04-14,7241002150
2003-04-15,7364068234
2003-04-16,7109416410
2003-04-17,7288335150
2003-04-21,7174736234
2003-04-22,7431281000
2003-04-23,7573280000
2003-04-24,7507960270
2003-04-25,7396254296
2003-04-28,7508907119
2003-04-29,7605466061
2003-04-30,7649959270
2003-05-01,7664159265
2003-05-02,7807105114
2003-05-05,7914077410
2003-05-06,8106249296
2003-05-07,8045663150
2003-05-08,8056076410
2003-05-09,8221741910
2003-05-12,7756851164
2003-05-13,7684970422
2003-05-14,7541210446
2003-05-15,7591792816
2003-05-16,7454244000
2003-05-19,7366390587
2003-05-20,7378814327
2003-05-21,7472879521
2003-05-22,7596229422
2003-05-23,7535885542
2003-05-27,7756851164
2003-05-28,7431171162
2003-05-29,7405436183
2003-05-30,7425846880
2003-06-02,7302496978
2003-06-03,7265225936
2003-06-04,7312258577
2003-06-05,7421409563
2003-06-06,7265225936
2003-06-09,7111703651
2003-06-10,7191570728
2003-06-11,7192458316
2003-06-12,7249252467
2003-06-13,7017638457
2003-06-16,6904050066
2003-06-17,7023850327
2003-06-18,6784249183
2003-06-19,6817971207
2003-06-20,6801997827
2003-06-23,6829507271
2003-06-24,6750527869
2003-06-25,6707931835
2003-06-26,6695508183
2003-06-27,6835719141
2003-06-30,6741653858
2003-07-01,6690183901
2003-07-02,6711481563
2003-07-03,6742541446
2003-07-07,6817971207
2003-07-08,7035386391
2003-07-09,6946645391
2003-07-10,6767388837
2003-07-11,6862341707
2003-07-14,6998115348
2003-07-15,7050472183
2003-07-16,6954632436
2003-07-17,7004327130
2003-07-18,7047810042
2003-07-21,6889851151
2003-07-22,6899612750
2003-07-23,6996340085
2003-07-24,6990128303
2003-07-25,7114365792
2003-07-28,7362840858
2003-07-29,7432058750
2003-07-30,7416972957
2003-07-31,7388575837
2003-08-01,7334443827
2003-08-04,7289185651
2003-08-05,7101942141
2003-08-06,7150749957
2003-08-07,7155186563
2003-08-08,7357516664
2003-08-11,7354853813
2003-08-12,7443594813
2003-08-13,7605103433
2003-08-14,7671659183
2003-08-15,7705381207
2003-08-18,7724904316
2003-08-19,7778148827
2003-08-20,7863340098
2003-08-21,8035497816
2003-08-22,7965392337
2003-08-25,8031060500
2003-08-26,7927233707
2003-08-27,7992901869
2003-08-28,7975153936
2003-08-29,8146424066
2003-09-02,8132225151
2003-09-03,7968942066
2003-09-04,7913922380
2003-09-05,7874876162
2003-09-08,7968054478
2003-09-09,7634388141
2003-09-10,7764837500
2003-09-11,7749751530
2003-09-12,7797671670
2003-09-15,7746201890
2003-09-16,7764837500
2003-09-17,7773711599
2003-09-18,7881088210
2003-09-19,7959180290
2003-09-22,7962729930
2003-09-23,8349640690
2003-09-24,8386911910
2003-09-25,8169496460
2003-09-26,8084305099
2003-09-29,8128675599
2003-09-30,7944981730
2003-10-01,8224515880
2003-10-02,8220078830
2003-10-03,8259124869
2003-10-06,8301720550
2003-10-07,8310594650
2003-10-08,8207655090
2003-10-09,8231615160
2003-10-10,8221853650
2003-10-13,8254687820
2003-10-14,8378925220
2003-10-15,8303495369
2003-10-16,8336329540
2003-10-17,8258237460
2003-10-20,8331005080
2003-10-21,8402885290
2003-10-22,8362064430
2003-10-23,8481864780
2003-10-24,8470328450
2003-10-27,8693955770
2003-10-28,8904271940
2003-10-29,9020522650
2003-10-30,9187355730
2003-10-31,8528010099
2003-11-03,8572380599
2003-11-04,8635386710
2003-11-05,8575042830
2003-11-06,8529784920
2003-11-07,8279535300
2003-11-10,8035497550
2003-11-11,8244038900
2003-11-12,8308819830
2003-11-13,8265336740
2003-11-14,8121576320
2003-11-17,8064782080
2003-11-18,8084305099
2003-11-19,8066556900
2003-11-20,8107377760
2003-11-21,8248475950
2003-11-24,8256427759
2003-11-25,8315328000
2003-11-26,8310997100
2003-11-28,8285877880
2003-12-01,8467775680
2003-12-02,8328320700
2003-12-03,8163746500
2003-12-04,8055474000
2003-12-05,7936807340
2003-12-08,7997439940
2003-12-09,7911688120
2003-12-10,6951094500
2003-12-11,7024719799
2003-12-12,7116534880
2003-12-15,7057634640
2003-12-16,7005663840
2003-12-17,7068028799
2003-12-18,7131259940
2003-12-19,7164174779
2003-12-22,7175435120
2003-12-23,7198821980
2003-12-24,7242997160
2003-12-26,7249926600
2003-12-29,7319221000
2003-12-30,7337410779
2003-12-31,7380719779
2004-01-02,7291503240
2004-01-05,7206617600
2004-01-06,7356466740
2004-01-07,7327882799
2004-01-08,7311425380
2004-01-09,7263785480
2004-01-12,7267250200
2004-01-13,7416233160
2004-01-14,7362530000
2004-01-15,7410169900
2004-01-16,7333946060
2004-01-20,7295834140
2004-01-21,7453478900
2004-01-22,7490724640
2004-01-23,7426627320
2004-01-26,7406705180
2004-01-27,7440486200
2004-01-28,7275912000
2004-01-29,7339143140
2004-01-30,7303629759
2004-02-02,7327882799
2004-02-03,7389381580
2004-02-04,7470802500
2004-02-05,7508914420
2004-02-06,7676087160
2004-02-09,7778296400
2004-02-10,7766169880
2004-02-11,7903892500
2004-02-12,7829401020
2004-02-13,7695143120
2004-02-17,7479417550
2004-02-18,7496196949
2004-02-19,7463477119
2004-02-20,7575899100
2004-02-23,7578416010
2004-02-24,7449214630
2004-02-25,7565831460
2004-02-26,7596873350
2004-02-27,7525560900
2004-03-01,7523882960
2004-03-02,7416494800
2004-03-03,7017145080
2004-03-04,7020500960
2004-03-05,7132083970
2004-03-08,7158092039
2004-03-09,7189972900
2004-03-10,7085940619
2004-03-11,6942476750
2004-03-12,6965128940
2004-03-15,6921502500
2004-03-16,7011272289
2004-03-17,7022178900
2004-03-18,7085101650
2004-03-19,7020500960
2004-03-22,7094330320
2004-03-23,7125372210
2004-03-24,7080067830
2004-03-25,7189972900
2004-03-26,7174871440
2004-03-29,7168998650
2004-03-30,7204235390
2004-03-31,7212625090
2004-04-01,7274708869
2004-04-02,7181583199
2004-04-05,7236955220
2004-04-06,7181583199
2004-04-07,7122855300
2004-04-08,7068322250
2004-04-12,6997848770
2004-04-13,6854384900
2004-04-14,6836766530
2004-04-15,6965128940
2004-04-16,6985264220
2004-04-19,6932409110
2004-04-20,7222692730
2004-04-21,7103558990
2004-04-22,7307428699
2004-04-23,7210947150
2004-04-26,7202557449
2004-04-27,7278064750
2004-04-28,7383774970
2004-04-29,7354411020
2004-04-30,7346860289
2004-05-03,7410622010
2004-05-04,7219336850
2004-05-05,7254573590
2004-05-06,7134600880
2004-05-07,7005399500
2004-05-10,6656665610
2004-05-11,6715651750
2004-05-12,6758695690
2004-05-13,6719637300
2004-05-14,6715651750
2004-05-17,6620795660
2004-05-18,6699709550
2004-05-19,6671810700
2004-05-20,6593693920
2004-05-21,6587317040
2004-05-24,6719637300
2004-05-25,6646303180
2004-05-26,6678984690
2004-05-27,6750724590
2004-05-28,6914929250
2004-06-01,6969929840
2004-06-02,6937248330
2004-06-03,7000220019
2004-06-04,6977103830
2004-06-07,7066380150
2004-06-08,7090293450
2004-06-09,7110221200
2004-06-10,7108626980
2004-06-14,7124569180
2004-06-15,7075148360
2004-06-16,7071162809
2004-06-17,7006596900
2004-06-18,7075148360
2004-06-21,7056814830
2004-06-22,7053626390
2004-06-23,7078336800
2004-06-24,7119786519
2004-06-25,7158047800
2004-06-28,7142105600
2004-06-29,7032104420
2004-06-30,6384851100
2004-07-01,6376880000
2004-07-02,6281226800
2004-07-06,6304342990
2004-07-07,6291589230
2004-07-08,6202312910
2004-07-09,6239777080
2004-07-12,6224631990
2004-07-13,6191950480
2004-07-14,6177602500
2004-07-15,6115427920
2004-07-16,6006223850
2004-07-19,5984701880
2004-07-20,6141732550
2004-07-21,6101877050
2004-07-22,6047673570
2004-07-23,6087529070
2004-07-26,6054847559
2004-07-27,6157674750
2004-07-28,6075572420
2004-07-29,6114630809
2004-07-30,6153689200
2004-08-02,6181588050
2004-08-03,5999049860
2004-08-04,5946440600
2004-08-05,5759119750
2004-08-06,5883468910
2004-08-09,5912164870
2004-08-10,6009412290
2004-08-11,6038905360
2004-08-12,5866729600
2004-08-13,5910570650
2004-08-16,6145718100
2004-08-17,6205501350
2004-08-18,6137747000
2004-08-19,6142529660
2004-08-20,6195936030
2004-08-23,6064412880
