,NBR
2001-10-10,3752529300
2001-10-11,3834387000
2001-10-12,3789867900
2001-10-15,3667799400
2001-10-16,3835823100
2001-10-17,3804228900
2001-10-18,3590250000
2001-10-19,3820026000
2001-10-22,3995230200
2001-10-23,4087140600
2001-10-24,4021080000
2001-10-25,4459090500
2001-10-26,4740566100
2001-10-29,4813807200
2001-10-30,4466271000
2001-10-31,4414571400
2001-11-01,4506481800
2001-11-02,4382977200
2001-11-05,4236495000
2001-11-06,4404518700
2001-11-07,4624242000
2001-11-08,4760671500
2001-11-09,4940184000
2001-11-12,4954545000
2001-11-13,5033530500
2001-11-14,4517970600
2001-11-15,3878906100
2001-11-16,4005282900
2001-11-19,4229314500
2001-11-20,4456218300
2001-11-21,4372924500
2001-11-23,4466271000
2001-11-26,4309736100
2001-11-27,4451910000
2001-11-28,4416007500
2001-11-29,4523715000
2001-11-30,4523715000
2001-12-03,4444729500
2001-12-04,4642911300
2001-12-05,4806626700
2001-12-06,4681686000
2001-12-07,4609881000
2001-12-10,4513662300
2001-12-11,4523715000
2001-12-12,4469143200
2001-12-13,4624242000
2001-12-14,4661580600
2001-12-17,4660144500
2001-12-18,4599828300
2001-12-19,4862634600
2001-12-20,4861198500
2001-12-21,4871251200
2001-12-24,4961725500
2001-12-26,5131185300
2001-12-27,5026350000
2001-12-28,5026350000
2001-12-31,4839500100
2002-01-02,4656239100
2002-01-03,4525137000
2002-01-04,4659058500
2002-01-07,4681613700
2002-01-08,4612538400
2002-01-09,4595622000
2002-01-10,4426458000
2002-01-11,4154385900
2002-01-14,3989451000
2002-01-15,4088130000
2002-01-16,3890772000
2002-01-17,3914736900
2002-01-18,3878084700
2002-01-22,3813238500
2002-01-23,4047248700
2002-01-24,4224870900
2002-01-25,4426458000
2002-01-28,4274210400
2002-01-29,4215003000
2002-01-30,4279849200
2002-01-31,4413770700
2002-02-01,4515269100
2002-02-04,4368660300
2002-02-05,4244606700
2002-02-06,4348924500
2002-02-07,4215003000
2002-02-08,4268571600
2002-02-11,4436325900
2002-02-12,4481436300
2002-02-13,4580115300
2002-02-14,4591392900
2002-02-15,4505401200
2002-02-19,4520907900
2002-02-20,4491304200
2002-02-21,4640732400
2002-02-22,4743640500
2002-02-25,4905756000
2002-02-26,4998796200
2002-02-27,4877562000
2002-02-28,5000205900
2002-03-01,5004435000
2002-03-04,5427345000
2002-03-05,5427345000
2002-03-06,5462587500
2002-03-07,5511927000
2002-03-08,5390692800
2002-03-11,5509107600
2002-03-12,5497830000
2002-03-13,5441442000
2002-03-14,5300472000
2002-03-15,5620473900
2002-03-18,5893955700
2002-03-19,6044793600
2002-03-20,5800915500
2002-03-21,5930607900
2002-03-22,5638800000
2002-03-25,5633161200
2002-03-26,5635980600
2002-03-27,5965850400
2002-03-28,5955982500
2002-04-01,6102672560
2002-04-02,6169970920
2002-04-03,6048261120
2002-04-04,5959484560
2002-04-05,5856389200
2002-04-08,5966643960
2002-04-09,5736111280
2002-04-10,5820592200
2002-04-11,5793386480
2002-04-12,5584332000
2002-04-15,5770476400
2002-04-16,5985258400
2002-04-17,6187153480
2002-04-18,6357547200
2002-04-19,6364706600
2002-04-22,6267338760
2002-04-23,6450619400
2002-04-24,6300272000
2002-04-25,6525077160
2002-04-26,6566601680
2002-04-29,6600966800
2002-04-30,6522213400
2002-05-01,6722676600
2002-05-02,6901661600
2002-05-03,6973255600
2002-05-06,6545123480
2002-05-07,6532236560
2002-05-08,6658242000
2002-05-09,6606694320
2002-05-10,6754177960
2002-05-13,6840090760
2002-05-14,6739859160
2002-05-15,6278793800
2002-05-16,6343228400
2002-05-17,6155652120
2002-05-20,6179994080
2002-05-21,6032510440
2002-05-22,6207199800
2002-05-23,6268770640
2002-05-24,6300272000
2002-05-28,6314590800
2002-05-29,6348955920
2002-05-30,6157084000
2002-05-31,6285953200
2002-06-03,5939438240
2002-06-04,5727520000
2002-06-05,5620129000
2002-06-06,5644470960
2002-06-07,5784795200
2002-06-10,5504146720
2002-06-11,5199156280
2002-06-12,5272182160
2002-06-13,5326593600
2002-06-14,5413938280
2002-06-17,5591491400
2002-06-18,5528488680
2002-06-19,5462622200
2002-06-20,5269318400
2002-06-21,5369550000
2002-06-24,5433984600
2002-06-25,5305115400
2002-06-26,5164791160
2002-06-27,5176246200
2002-06-28,5054536400
2002-07-01,5157522900
2002-07-02,5034206600
2002-07-03,5295347000
2002-07-05,5433171100
2002-07-08,5193792400
2002-07-09,5215554100
2002-07-10,5055968300
2002-07-11,4831097400
2002-07-12,4729542800
2002-07-15,4716485780
2002-07-16,4751304500
2002-07-17,4638143660
2002-07-18,4690371740
2002-07-19,4490164100
2002-07-22,4149230800
2002-07-23,3967883300
2002-07-24,4349438440
2002-07-25,4134723000
2002-07-26,4044774640
2002-07-29,4475656300
2002-07-30,4584464800
2002-07-31,4427780560
2002-08-01,4126018320
2002-08-02,3992546560
2002-08-05,3847468560
2002-08-06,4009955920
2002-08-07,3938867700
2002-08-08,4207262000
2002-08-09,4453894600
2002-08-12,4539490620
2002-08-13,4511925800
2002-08-14,4683117840
2002-08-15,4977626180
2002-08-16,4938455120
2002-08-19,4947159800
2002-08-20,4748402940
2002-08-21,4799180240
2002-08-22,5128507300
2002-08-23,4968921500
2002-08-26,5193792400
2002-08-27,5063222200
2002-08-28,4823843500
2002-08-29,4758558400
2002-08-30,4790475560
2002-09-03,4403117300
2002-09-04,4395863400
2002-09-05,4490164100
2002-09-06,4627988200
2002-09-09,4642496000
2002-09-10,4807884920
2002-09-11,4845605200
2002-09-12,4783221660
2002-09-13,4754206060
2002-09-16,4838351300
2002-09-17,4665708480
2002-09-18,4671511600
2002-09-19,4533687500
2002-09-20,4368298580
2002-09-23,4352340000
2002-09-24,4223220580
2002-09-25,4591718700
2002-09-26,4831097400
2002-09-27,4767263080
2002-09-30,4761293250
2002-10-01,4674063450
2002-10-02,4710409200
2002-10-03,4746754950
2002-10-04,4668248130
2002-10-07,4543218750
2002-10-08,4543218750
2002-10-09,4448719800
2002-10-10,4463258100
2002-10-11,4630448550
2002-10-14,4986636900
2002-10-15,5132019900
2002-10-16,4979367750
2002-10-17,5190173100
2002-10-18,5161096500
2002-10-21,5229426510
2002-10-22,5195988420
2002-10-23,5448954840
2002-10-24,5209072890
2002-10-25,5008444350
2002-10-28,4993906050
2002-10-29,4899407100
2002-10-30,5146558200
2002-10-31,5084043510
2002-11-01,5400978450
2002-11-04,5321017800
2002-11-05,5448954840
2002-11-06,5649583380
2002-11-07,5480939100
2002-11-08,5422785900
2002-11-11,5342825250
2002-11-12,5226518850
2002-11-13,5001175200
2002-11-14,5095674150
2002-11-15,5124750750
2002-11-18,5158188840
2002-11-19,5197442250
2002-11-20,5466400800
2002-11-21,5440231860
2002-11-22,5233788000
2002-11-25,5213434380
2002-11-26,4972098600
2002-11-27,5100035640
2002-11-29,5146558200
2002-12-02,5473669950
2002-12-03,5504200380
2002-12-04,5422785900
2002-12-05,5430055050
2002-12-06,5408247600
2002-12-09,5321017800
2002-12-10,5290487370
2002-12-11,5204711400
2002-12-12,5491115910
2002-12-13,5488208250
2002-12-16,5597245500
2002-12-17,5479485270
2002-12-18,5318110140
2002-12-19,5299210350
2002-12-20,5459131650
2002-12-23,5480939100
2002-12-24,5422785900
2002-12-26,5332648440
2002-12-27,5174180970
2002-12-30,5062236060
2002-12-31,5139121160
2003-01-02,5346026520
2003-01-03,5325627400
2003-01-06,5121636200
2003-01-07,4752994960
2003-01-08,4741338320
2003-01-09,4888503400
2003-01-10,4907445440
2003-01-13,4779222400
2003-01-14,4735510000
2003-01-15,4910359600
2003-01-16,5041496800
2003-01-17,4990499000
2003-01-21,4884132160
2003-01-22,4897245880
2003-01-23,5099780000
2003-01-24,4971556960
2003-01-27,4736967080
2003-01-28,4808364000
2003-01-29,5026926000
2003-01-30,5260058800
2003-01-31,5369339800
2003-02-03,5391196000
2003-02-04,5536904000
2003-02-05,5587901800
2003-02-06,5507762400
2003-02-07,5487363280
2003-02-10,5659298720
2003-02-11,5682612000
2003-02-12,5474249560
2003-02-13,5391196000
2003-02-14,5466964160
2003-02-18,5612672160
2003-02-19,5561674360
2003-02-20,5646185000
2003-02-21,5847262040
2003-02-24,6119736000
2003-02-25,5988598800
2003-02-26,5969656760
2003-02-27,5784607600
2003-02-28,5777322200
2003-03-03,5748180600
2003-03-04,5745266440
2003-03-05,5834148320
2003-03-06,6023568720
2003-03-07,5953628880
2003-03-10,5826862920
2003-03-11,5668041200
2003-03-12,5551474800
2003-03-13,5536904000
2003-03-14,5551474800
2003-03-17,5536904000
2003-03-18,5806463800
2003-03-19,5675326600
2003-03-20,5828320000
2003-03-21,5653470400
2003-03-24,5484449120
2003-03-25,5550017720
2003-03-26,5551474800
2003-03-27,5675326600
2003-03-28,5780236360
2003-03-31,5836250340
2003-04-01,5818684500
2003-04-02,5941645380
2003-04-03,5814293040
2003-04-04,5811365400
2003-04-07,5818684500
2003-04-08,5796727200
2003-04-09,5779161360
2003-04-10,5985559980
2003-04-11,6017764020
2003-04-14,6089491200
2003-04-15,5956283580
2003-04-16,5862599100
2003-04-17,6082172100
2003-04-21,6118767600
2003-04-22,6133405800
2003-04-23,6162682200
2003-04-24,6096810300
2003-04-25,6060214800
2003-04-28,5946036840
2003-04-29,5808437760
2003-04-30,5738174400
2003-05-01,5730855300
2003-05-02,5739638220
2003-05-05,5742565860
2003-05-06,5606430600
2003-05-07,5821612140
2003-05-08,5957747400
2003-05-09,6057287160
2003-05-12,6067533900
2003-05-13,6142188720
2003-05-14,6180248040
2003-05-15,6221235000
2003-05-16,6374936100
2003-05-19,6287106900
2003-05-20,6114376140
2003-05-21,6385182840
2003-05-22,6436416540
2003-05-23,6490577880
2003-05-27,6645742800
2003-05-28,6461301480
2003-05-29,6408603960
2003-05-30,6598900560
2003-06-02,6535956300
2003-06-03,6367617000
2003-06-04,6344195880
2003-06-05,6370544640
2003-06-06,6301745100
2003-06-09,6338340600
2003-06-10,6382255200
2003-06-11,6660381000
2003-06-12,6352978800
2003-06-13,6052895700
2003-06-16,5950428300
2003-06-17,5887484040
2003-06-18,5950428300
2003-06-19,6104129400
2003-06-20,6093882660
2003-06-23,5935790100
2003-06-24,5931398640
2003-06-25,6045576600
2003-06-26,5877237300
2003-06-27,5906513700
2003-06-30,5807154650
2003-07-01,5773366500
2003-07-02,5752799800
2003-07-03,5864447600
2003-07-07,5685223500
2003-07-08,5641152000
2003-07-09,5742516450
2003-07-10,5567699500
2003-07-11,5545663750
2003-07-14,5435485000
2003-07-15,5310615750
2003-07-16,5178401250
2003-07-17,5339996750
2003-07-18,5698444950
2003-07-21,5638213900
2003-07-22,5508937500
2003-07-23,5447237400
2003-07-24,5266544250
2003-07-25,5281234750
2003-07-28,5104948750
2003-07-29,5024151000
2003-07-30,5163710750
2003-07-31,5259199000
2003-08-01,5284172850
2003-08-04,5141675000
2003-08-05,5126984500
2003-08-06,5196029850
2003-08-07,5485432700
2003-08-08,5525097050
2003-08-11,5564761400
2003-08-12,5550070900
2003-08-13,5567699500
2003-08-14,5435485000
2003-08-15,5436954050
2003-08-18,5508937500
2003-08-19,5738109300
2003-08-20,5802747500
2003-08-21,5861509500
2003-08-22,5788057000
2003-08-25,5764552200
2003-08-26,5832128500
2003-08-27,5714604500
2003-08-28,5939369150
2003-08-29,5898235750
2003-09-02,5793933200
2003-09-03,5861509500
2003-09-04,5790995100
2003-09-05,5810092750
2003-09-08,5846819000
2003-09-09,5630868650
2003-09-10,5498654150
2003-09-11,5451644550
2003-09-12,5525097050
2003-09-15,5486901750
2003-09-16,5445768350
2003-09-17,5288580000
2003-09-18,5401696850
2003-09-19,5420794500
2003-09-22,5435485000
2003-09-23,5428139750
2003-09-24,5564761400
2003-09-25,5553009000
2003-09-26,5438423100
2003-09-29,5519220850
2003-09-30,5476549320
2003-10-01,5597074560
2003-10-02,5664686280
2003-10-03,5717599800
2003-10-06,5774922780
2003-10-07,5733767820
2003-10-08,5714660160
2003-10-09,5736707460
2003-10-10,5746996200
2003-10-13,5686733580
2003-10-14,5501536260
2003-10-15,5401588500
2003-10-16,5413347060
2003-10-17,5419226340
2003-10-20,5416286700
2003-10-21,5498596620
2003-10-22,5438334000
2003-10-23,5382480840
2003-10-24,5335446600
2003-10-27,5298701100
2003-10-28,5428045260
2003-10-29,5451562380
2003-10-30,5350144800
2003-10-31,5555919600
2003-11-03,5389829940
2003-11-04,5408937600
2003-11-05,5426575440
2003-11-06,5466260580
2003-11-07,5504475900
2003-11-10,5411877240
2003-11-11,5408937600
2003-11-12,5430984900
2003-11-13,5610302940
2003-11-14,5673505200
2003-11-17,5551510140
2003-11-18,5554449780
2003-11-19,5433924540
2003-11-20,5447152920
2003-11-21,5360433540
2003-11-24,5357493900
2003-11-25,5373661920
2003-11-26,5476549320
2003-11-28,5455971840
2003-12-01,5511825000
2003-12-02,5479488960
2003-12-03,5411877240
2003-12-04,5655867360
2003-12-05,5673505200
2003-12-08,5761694400
2003-12-09,5702901600
2003-12-10,5732298000
2003-12-11,5713190340
2003-12-12,5882219640
2003-12-15,5842534500
2003-12-16,5927784060
2003-12-17,5936602980
2003-12-18,6158545800
2003-12-19,6124739940
2003-12-22,6199700760
2003-12-23,6027731820
2003-12-24,6165894900
2003-12-26,6096813360
2003-12-29,6099753000
2003-12-30,6099753000
2003-12-31,6141336000
2004-01-02,6148735200
2004-01-05,6341114400
2004-01-06,6315957120
2004-01-07,6280440960
2004-01-08,6419545920
2004-01-09,6527574240
2004-01-12,6466900800
2004-01-13,6378110400
2004-01-14,6311517600
2004-01-15,6085102080
2004-01-16,6185731200
2004-01-20,6607485600
2004-01-21,6644481600
2004-01-22,6466900800
2004-01-23,6659280000
2004-01-26,6674078400
2004-01-27,6681477600
2004-01-28,6691836480
2004-01-29,6585288000
2004-01-30,6511296000
2004-02-02,6533493600
2004-02-03,6455062080
2004-02-04,6512775840
2004-02-05,6446183040
2004-02-06,6506856480
2004-02-09,6672598560
2004-02-10,6773227680
2004-02-11,6827981760
2004-02-12,6931570560
2004-02-13,6950808480
2004-02-17,6992244000
2004-02-18,6844260000
2004-02-19,6807264000
2004-02-20,6793945440
2004-02-23,6786546240
2004-02-24,6940449600
2004-02-25,6975965760
2004-02-26,7088433600
2004-02-27,7007042400
2004-03-01,7177224000
2004-03-02,7100272320
2004-03-03,7160945760
2004-03-04,6984844800
2004-03-05,6977445600
2004-03-08,6937489920
2004-03-09,6788026080
2004-03-10,6561610560
2004-03-11,6401787840
2004-03-12,6570489600
2004-03-15,6574929120
2004-03-16,6540892800
2004-03-17,6718473600
2004-03-18,6786546240
2004-03-19,6703675200
2004-03-22,6592687200
2004-03-23,6503896800
2004-03-24,6326316000
2004-03-25,6431384640
2004-03-26,6526094400
2004-03-29,6518695200
2004-03-30,6718473600
2004-03-31,6810619500
2004-04-01,6698970000
2004-04-02,6795732900
2004-04-05,6716833920
2004-04-06,6640912260
2004-04-07,6639423600
2004-04-08,6728743200
2004-04-12,6920780340
2004-04-13,6780846300
2004-04-14,6789778260
2004-04-15,6995213340
2004-04-16,6996702000
2004-04-19,6947576220
2004-04-20,6780846300
2004-04-21,6773403000
2004-04-22,6950553540
2004-04-23,6844858680
2004-04-26,6835926720
2004-04-27,7001167980
2004-04-28,6898450440
2004-04-29,6621559680
2004-04-30,6603695760
2004-05-03,6771914340
2004-05-04,6807642180
2004-05-05,6640912260
2004-05-06,6505444200
2004-05-07,6270235920
2004-05-10,6051402900
2004-05-11,6104994660
2004-05-12,6152631780
2004-05-13,6308941080
2004-05-14,6307452420
2004-05-17,6276190560
2004-05-18,6085642080
2004-05-19,6103506000
2004-05-20,6060334860
2004-05-21,5999299800
2004-05-24,6297031800
2004-05-25,6374442120
2004-05-26,6218132820
2004-05-27,6048425580
2004-05-28,6163052400
2004-06-01,6206223540
2004-06-02,6191336940
2004-06-03,6073732800
2004-06-04,6061823520
2004-06-07,6125835900
2004-06-08,6140722500
2004-06-09,6149654460
2004-06-10,6207712200
2004-06-14,6145188480
2004-06-15,6356578200
2004-06-16,6594763800
2004-06-17,6698970000
2004-06-18,6646866900
2004-06-21,6520330800
2004-06-22,6631980300
2004-06-23,6765959700
2004-06-24,6669196800
2004-06-25,6765959700
2004-06-28,6631980300
2004-06-29,6676640100
2004-06-30,6741804580
2004-07-01,6656823850
2004-07-02,6627006050
2004-07-06,6574824900
2004-07-07,6597188250
2004-07-08,6479407940
2004-07-09,6549479770
2004-07-12,6425735900
2004-07-13,6391445430
2004-07-14,6589733800
2004-07-15,6783549500
2004-07-16,6850639550
2004-07-19,6783549500
2004-07-20,6786531280
2004-07-21,6679187200
2004-07-22,6664278300
2004-07-23,6574824900
2004-07-26,6512207520
2004-07-27,6688132540
2004-07-28,6776095050
2004-07-29,6870021120
2004-07-30,6932638500
2004-08-02,6846166880
2004-08-03,6910275150
2004-08-04,6783549500
2004-08-05,6726895680
2004-08-06,6597188250
2004-08-09,6674714530
2004-08-10,6600170030
2004-08-11,6503262180
2004-08-12,6379518310
2004-08-13,6445117470
2004-08-16,6503262180
2004-08-17,6246829100
2004-08-18,6304973810
2004-08-19,6306464700
2004-08-20,6418281450
2004-08-23,6273665120
