,EC
2010-09-24,80135574908
2010-09-27,80985497672
2010-09-28,82948414532
2010-09-29,85720781644
2010-09-30,84486370010
2010-10-01,85012512674
2010-10-04,83778101040
2010-10-05,88634802550
2010-10-06,93734339135
2010-10-07,90132285515
2010-10-08,91609532224
2010-10-11,93187960215
2010-10-12,94685443180
2010-10-13,95656783482
2010-10-14,94442608105
2010-10-15,95413948407
2010-10-18,97518519061
2010-10-19,96182926146
2010-10-20,96304343684
2010-10-21,96284107427
2010-10-22,96769777578
2010-10-25,96931667629
2010-10-26,96951903885
2010-10-27,96607887528
2010-10-28,94725915693
2010-10-29,96607887528
2010-11-01,97619700342
2010-11-02,97700645368
2010-11-03,98044661725
2010-11-04,100877737605
2010-11-05,104398846200
2010-11-08,105066642657
2010-11-09,102962072003
2010-11-10,101181281450
2010-11-11,96688832553
2010-11-12,91730949762
2010-11-15,93127251446
2010-11-16,88391967474
2010-11-17,90759609460
2010-11-18,93349850265
2010-11-19,88756220087
2010-11-22,89039527676
2010-11-23,86509995639
2010-11-24,88493148756
2010-11-26,83251958377
2010-11-29,81896129205
2010-11-30,81289041516
2010-12-01,82543689406
2010-12-02,85761254157
2010-12-03,84749441342
2010-12-06,87359918403
2010-12-07,85801726669
2010-12-08,85943380463
2010-12-09,87420627172
2010-12-10,88574093781
2010-12-13,86813539484
2010-12-14,88837165113
2010-12-15,86206451795
2010-12-16,86004089232
2010-12-17,82867469507
2010-12-20,83717392271
2010-12-21,84243534935
2010-12-22,86186215539
2010-12-23,84951803905
2010-12-27,85052985186
2010-12-28,83980463603
2010-12-29,86165979282
2010-12-30,87076610815
2010-12-31,88270549936
2011-01-03,86044561745
2011-01-04,84385188729
2011-01-05,83535265965
2011-01-06,82584161919
2011-01-07,82907942020
2011-01-10,82847233251
2011-01-11,83474557196
2011-01-12,85498182825
2011-01-13,87359918403
2011-01-14,87137319584
2011-01-18,88655038806
2011-01-19,88149132399
2011-01-20,85821962925
2011-01-21,86469523127
2011-01-24,85660072875
2011-01-25,83757864784
2011-01-26,86307633076
2011-01-27,85741017900
2011-01-28,85518419081
2011-01-31,86489759383
2011-02-01,87218264609
2011-02-02,86388578102
2011-02-03,85133930212
2011-02-04,83757864784
2011-02-07,84425661241
2011-02-08,85356529031
2011-02-09,85761254157
2011-02-10,84344716216
2011-02-11,83494793452
2011-02-14,83636447246
2011-02-15,83029359557
2011-02-16,83049595814
2011-02-17,82098491768
2011-02-18,80904552647
2011-02-22,80398646240
2011-02-23,84344716216
2011-02-24,84688732573
2011-02-25,84506606267
2011-02-28,84708968829
2011-03-01,84951803905
2011-03-02,84810150111
2011-03-03,86226688051
2011-03-04,87400390916
2011-03-07,87137319584
2011-03-08,85801726669
2011-03-09,86226688051
2011-03-10,84931567649
2011-03-11,84972040161
2011-03-14,83980463603
2011-03-15,80924788903
2011-03-16,80014157370
2011-03-17,81997310487
2011-03-18,81349750285
2011-03-21,82725815713
2011-03-22,83393612171
2011-03-23,85012512674
2011-03-24,84081644884
2011-03-25,82402035612
2011-03-28,83413848427
2011-03-29,83413848427
2011-03-30,83980463603
2011-03-31,84324479960
