,ULTA
2008-04-17,797384000
2008-04-18,803079600
2008-04-21,799662240
2008-04-22,755806120
2008-04-23,756945240
2008-04-24,763210400
2008-04-25,790549280
2008-04-28,786562360
2008-04-29,807066520
2008-04-30,805927400
2008-05-01,852061760
2008-05-02,845796600
2008-05-05,835679250
2008-05-06,825340950
2008-05-07,832807500
2008-05-08,824192250
2008-05-09,816151350
2008-05-12,819597450
2008-05-13,838551000
2008-05-14,843720150
2008-05-15,856930200
2008-05-16,839699700
2008-05-19,813279600
2008-05-20,799495200
2008-05-21,823617900
2008-05-22,820746150
2008-05-23,790305600
2008-05-27,825340950
2008-05-28,860950650
2008-05-29,855781500
2008-05-30,819023100
2008-06-02,820746150
2008-06-03,802941300
2008-06-04,765608550
2008-06-05,821894850
2008-06-06,794900400
2008-06-09,766757250
2008-06-10,805238700
2008-06-11,751249800
2008-06-12,722532300
2008-06-13,743783250
2008-06-16,772500750
2008-06-17,749526750
2008-06-18,701855700
2008-06-19,702430050
2008-06-20,727127100
2008-06-23,665097300
2008-06-24,667394700
2008-06-25,648441150
2008-06-26,602493150
2008-06-27,647292450
2008-06-30,645569400
2008-07-01,649015500
2008-07-02,619723650
2008-07-03,578944800
2008-07-07,552524700
2008-07-08,577221750
2008-07-09,559991250
2008-07-10,559991250
2008-07-11,542186400
2008-07-14,549652950
2008-07-15,550801650
2008-07-16,574350000
2008-07-17,594452250
2008-07-18,568032150
2008-07-21,595026600
2008-07-22,616277550
2008-07-23,659928150
2008-07-24,658205100
2008-07-25,654184650
2008-07-28,608811000
2008-07-29,634082400
2008-07-30,627764550
2008-07-31,541612050
2008-08-01,542760750
2008-08-04,540203580
2008-08-05,547114500
2008-08-06,568423170
2008-08-07,588580020
2008-08-08,639836010
2008-08-11,666903780
2008-08-12,677270160
2008-08-13,685908810
2008-08-14,689940180
2008-08-15,700882470
2008-08-18,704337930
2008-08-19,684181080
2008-08-20,691667910
2008-08-21,668055600
2008-08-22,692819730
2008-08-25,658841040
2008-08-26,688212450
2008-08-27,645019200
2008-08-28,659416950
2008-08-29,626590080
2008-09-02,659992860
2008-09-03,655385580
2008-09-04,636956460
2008-09-05,727374330
2008-09-08,792452160
2008-09-09,774023040
2008-09-10,788996700
2008-09-11,801666720
2008-09-12,806274000
2008-09-15,790724430
2008-09-16,802242630
2008-09-17,798211260
2008-09-18,803394450
2008-09-19,846587700
2008-09-22,739468440
2008-09-23,730829790
2008-09-24,700882470
2008-09-25,724494780
2008-09-26,753866190
2008-09-29,753290280
2008-09-30,764808480
2008-10-01,757897560
2008-10-02,726798420
2008-10-03,700306560
2008-10-06,678997890
2008-10-07,627741900
2008-10-08,639260100
2008-10-09,595490940
2008-10-10,684756990
2008-10-13,659416950
2008-10-14,664024230
2008-10-15,593763210
2008-10-16,601825950
2008-10-17,608736870
2008-10-20,610464600
2008-10-21,589155930
2008-10-22,540203580
2008-10-23,536748120
2008-10-24,516591270
2008-10-27,463607550
2008-10-28,526957650
2008-10-29,568711125
2008-10-30,534444479
2008-10-31,507952620
2008-11-03,519687000
2008-11-04,579739720
2008-11-05,510448120
2008-11-06,498322090
2008-11-07,504673820
2008-11-10,521996719
2008-11-11,490815500
2008-11-12,460789140
2008-11-13,464831150
2008-11-14,438846800
2008-11-17,449817970
2008-11-18,437114510
2008-11-19,434804790
2008-11-20,414594740
2008-11-21,428453060
2008-11-24,504673820
2008-11-25,405933290
2008-11-26,408243010
2008-11-28,414594740
2008-12-01,332599680
2008-12-02,362626040
2008-12-03,403623570
2008-12-04,438846800
2008-12-05,489083210
2008-12-08,564726540
2008-12-09,558374810
2008-12-10,490238070
2008-12-11,481576620
2008-12-12,531813030
2008-12-15,520264430
2008-12-16,558374810
2008-12-17,549135930
2008-12-18,570500840
2008-12-19,594752900
2008-12-22,558374810
2008-12-23,535277610
2008-12-24,527193590
2008-12-26,523151580
2008-12-29,444621100
2008-12-30,465408580
2008-12-31,478112039
2009-01-02,479266900
2009-01-05,505251250
2009-01-06,519109570
2009-01-07,506983539
2009-01-08,402468710
2009-01-09,399004130
2009-01-12,391497540
2009-01-13,392652400
2009-01-14,373597210
2009-01-15,352809730
2009-01-16,349345150
2009-01-20,342993420
2009-01-21,375329500
2009-01-22,377639220
2009-01-23,375329500
2009-01-26,375906930
2009-01-27,380526370
2009-01-28,397849270
2009-01-29,371287490
2009-01-30,336641690
2009-02-02,355119450
2009-02-03,352232300
2009-02-04,341838560
2009-02-05,356274310
2009-02-06,389765250
2009-02-09,386300670
2009-02-10,375906930
2009-02-11,356851740
2009-02-12,358006600
2009-02-13,363780900
2009-02-17,344148280
2009-02-18,366090620
2009-02-19,340106270
2009-02-20,318163930
2009-02-23,322205940
2009-02-24,340106270
2009-02-25,327402810
2009-02-26,310079910
2009-02-27,323360800
2009-03-02,315854210
2009-03-03,297953880
2009-03-04,284095560
2009-03-05,266772660
2009-03-06,254069200
2009-03-09,247717470
2009-03-10,260420930
2009-03-11,269659810
2009-03-12,314699350
2009-03-13,324515660
2009-03-16,320473650
2009-03-17,355696880
2009-03-18,372442350
2009-03-19,362626040
2009-03-20,362048610
2009-03-23,374174640
2009-03-24,361471180
2009-03-25,373597210
2009-03-26,402468710
2009-03-27,401313850
2009-03-30,382258660
2009-03-31,382258660
2009-04-01,388032960
2009-04-02,382836090
2009-04-03,405355860
2009-04-06,400158990
2009-04-07,379948940
2009-04-08,392652400
2009-04-09,411707590
2009-04-13,458479420
2009-04-14,431340210
2009-04-15,437114510
2009-04-16,444043670
2009-04-17,463676289
2009-04-20,443466240
2009-04-21,474070030
2009-04-22,493702650
2009-04-23,482731479
2009-04-24,482154050
2009-04-27,472915170
2009-04-28,477534610
2009-04-29,494280080
2009-04-30,505251250
2009-05-01,494280080
2009-05-04,511698150
2009-05-05,515745480
2009-05-06,511119960
2009-05-07,483366839
2009-05-08,511119960
2009-05-11,516323670
2009-05-12,504181680
2009-05-13,483366839
2009-05-14,492039690
2009-05-15,492617880
2009-05-18,521527380
2009-05-19,514589100
2009-05-20,521527380
2009-05-21,512854529
2009-05-22,496087020
2009-05-26,516901860
2009-05-27,500134350
2009-05-28,485679600
2009-05-29,494930640
2009-06-01,522683759
2009-06-02,557953350
2009-06-03,560844300
2009-06-04,555062400
2009-06-05,666074880
2009-06-08,668387640
2009-06-09,597848460
2009-06-10,588597420
2009-06-11,566626200
2009-06-12,604786740
2009-06-15,564891630
2009-06-16,565469820
2009-06-17,563735250
2009-06-18,538294890
2009-06-19,541764030
2009-06-22,556796970
2009-06-23,540029460
2009-06-24,550436880
2009-06-25,575877240
2009-06-26,608255880
2009-06-29,631961670
2009-06-30,642947280
2009-07-01,657402030
2009-07-02,614615970
2009-07-06,633696240
2009-07-07,629070720
2009-07-08,620976060
2009-07-09,634852620
2009-07-10,623867010
2009-07-13,654511080
2009-07-14,609412260
2009-07-15,620976060
2009-07-16,603630360
2009-07-17,633118050
2009-07-20,636009000
2009-07-21,646416420
2009-07-22,666653070
2009-07-23,663762120
2009-07-24,657980220
2009-07-27,643525470
2009-07-28,655089270
2009-07-29,656823840
2009-07-30,666074880
2009-07-31,655089270
2009-08-03,673136190
2009-08-04,656322280
2009-08-05,644146690
2009-08-06,637769000
2009-08-07,669077660
2009-08-10,691109680
2009-08-11,667338290
2009-08-12,664439340
2009-08-13,655742490
2009-08-14,625013620
2009-08-17,596024120
2009-08-18,594284750
2009-08-19,618056140
2009-08-20,654003120
2009-08-21,674295770
2009-08-24,684152200
2009-08-25,691689470
2009-08-26,676614930
2009-08-27,688210730
2009-08-28,683572410
2009-08-31,667918080
2009-09-01,687051150
2009-09-02,704444850
2009-09-03,724157710
2009-09-04,869685000
2009-09-08,863887100
2009-09-09,835477390
2009-09-10,816924110
2009-09-11,813445370
2009-09-14,848232770
2009-09-15,844174240
2009-09-16,869105210
2009-09-17,882440380
2009-09-18,924765050
2009-09-21,905631980
2009-09-22,912589460
2009-09-23,909690510
2009-09-24,916647990
2009-09-25,906211770
2009-09-28,942158750
2009-09-29,958392870
2009-09-30,957233290
2009-10-01,929403370
2009-10-02,913169250
2009-10-05,946797069
2009-10-06,985063209
2009-10-07,964190770
2009-10-08,976946150
2009-10-09,1009414390
2009-10-12,1011153760
2009-10-13,989121739
2009-10-14,993760060
2009-10-15,996659010
2009-10-16,967089720
2009-10-19,982744050
2009-10-20,952594970
2009-10-21,934621480
2009-10-22,978105730
2009-10-23,928823580
2009-10-26,922445890
2009-10-27,912009670
2009-10-28,892876600
2009-10-29,920706520
2009-10-30,877802060
2009-11-02,896746280
2009-11-03,918902560
2009-11-04,930563760
2009-11-05,991785060
2009-11-06,992368120
2009-11-09,1012192160
2009-11-10,1037846800
2009-11-11,1019771939
2009-11-12,994700359
2009-11-13,1033182319
2009-11-16,1058253899
2009-11-17,1051257180
2009-11-18,1019771939
2009-11-19,983039160
2009-11-20,980123859
2009-11-23,1007527680
2009-11-24,987703640
2009-11-25,978374680
2009-11-27,950387800
2009-11-30,957967580
2009-12-01,1019188880
2009-12-02,1061169200
2009-12-03,1044260460
2009-12-04,1043677399
2009-12-07,1063501439
2009-12-08,1043677399
2009-12-09,1019188880
2009-12-10,1016856640
2009-12-11,1051257180
2009-12-14,1097901980
2009-12-15,1085074660
2009-12-16,1081576300
2009-12-17,1059420020
2009-12-18,1041345160
2009-12-21,1033765380
2009-12-22,1053006359
2009-12-23,1072830399
2009-12-24,1069915100
2009-12-28,1063501439
2009-12-29,1075745700
2009-12-30,1069915100
2009-12-31,1058836960
2010-01-04,1099068100
2010-01-05,1093820560
2010-01-06,1120641320
2010-01-07,1216263160
2010-01-08,1259992660
2010-01-11,1240751680
2010-01-12,1232588840
2010-01-13,1242500860
2010-01-14,1191774640
2010-01-15,1186527100
2010-01-19,1178364260
2010-01-20,1171950600
2010-01-21,1166120000
2010-01-22,1169035300
2010-01-25,1150960440
2010-01-26,1164370820
2010-01-27,1160872460
2010-01-28,1124722740
2010-01-29,1131136400
2010-02-01,1153875740
2010-02-02,1136383940
2010-02-03,1114810720
2010-02-04,1050091060
2010-02-05,1044843520
2010-02-08,1041928220
2010-02-09,1046009640
2010-02-10,1008110740
2010-02-11,1034931500
2010-02-12,1041345160
2010-02-16,1072247340
2010-02-17,1075745700
2010-02-18,1073996520
2010-02-19,1046009640
2010-02-22,1048341880
2010-02-23,1033182319
2010-02-24,1070498160
2010-02-25,1055338600
2010-02-26,1068748979
2010-03-01,1114810720
2010-03-02,1146879020
2010-03-03,1164370820
2010-03-04,1236670260
2010-03-05,1247748400
2010-03-08,1223259880
2010-03-09,1234338020
2010-03-10,1251829820
2010-03-11,1255911240
2010-03-12,1360278980
2010-03-15,1289145660
2010-03-16,1332875160
2010-03-17,1311301940
2010-03-18,1320047840
2010-03-19,1265240200
2010-03-22,1286813420
2010-03-23,1294976260
2010-03-24,1280982820
2010-03-25,1324712320
2010-03-26,1311885000
2010-03-29,1329959860
2010-03-30,1353282260
2010-03-31,1318881720
2010-04-01,1291477900
2010-04-05,1319464780
2010-04-06,1352116140
2010-04-07,1294393200
2010-04-08,1291477900
2010-04-09,1352699200
2010-04-12,1353865320
2010-04-13,1331709040
2010-04-14,1356197560
2010-04-15,1388265860
2010-04-16,1376604660
2010-04-19,1292644020
2010-04-20,1330542920
2010-04-21,1351533080
2010-04-22,1433627928
2010-04-23,1478640160
2010-04-26,1455900820
2010-04-27,1326461500
2010-04-28,1339871880
2010-04-29,1404008480
2010-04-30,1348034720
2010-05-03,1405337110
2010-05-04,1351308270
2010-05-05,1321357500
2010-05-06,1291406730
2010-05-07,1247361480
2010-05-10,1340150140
2010-05-11,1374211800
2010-05-12,1450556900
2010-05-13,1420018860
2010-05-14,1394178980
2010-05-17,1395353520
2010-05-18,1380084500
2010-05-19,1380671770
2010-05-20,1301390320
2010-05-21,1369513640
2010-05-24,1383020850
2010-05-25,1342499220
2010-05-26,1387131740
2010-05-27,1444096930
2010-05-28,1502236660
2010-06-01,1453493250
2010-06-02,1385369930
2010-06-03,1403575300
2010-06-04,1360117320
2010-06-07,1305501210
2010-06-08,1257932340
2010-06-09,1286121300
2010-06-10,1315484800
2010-06-11,1449382360
2010-06-14,1440573310
2010-06-15,1475222240
2010-06-16,1518092950
2010-06-17,1515156600
2010-06-18,1537472860
2010-06-21,1500474850
2010-06-22,1471111350
2010-06-23,1466119555
2010-06-24,1434113340
2010-06-25,1463476840
2010-06-28,1516331140
2010-06-29,1411797080
2010-06-30,1389187185
2010-07-01,1350721000
2010-07-02,1355419160
2010-07-06,1304326670
2010-07-07,1371275450
2010-07-08,1348959190
2010-07-09,1380671770
2010-07-12,1356006430
2010-07-13,1402988030
2010-07-14,1385957200
2010-07-15,1368339100
2010-07-16,1337213790
2010-07-19,1344848300
2010-07-20,1359530050
2010-07-21,1342499220
2010-07-22,1416495240
2010-07-23,1452905980
2010-07-26,1493427610
2010-07-27,1448795090
2010-07-28,1445271470
2010-07-29,1494014880
2010-07-30,1483444020
2010-08-02,1501972090
2010-08-03,1496065790
2010-08-04,1470668700
2010-08-05,1470078070
2010-08-06,1464171770
2010-08-09,1459446730
2010-08-10,1422827670
2010-08-11,1355495850
2010-08-12,1356677110
2010-08-13,1310017340
2010-08-16,1333642540
2010-08-17,1372624120
2010-08-18,1419874520
2010-08-19,1384436720
2010-08-20,1379711680
2010-08-23,1369670970
2010-08-24,1356234137
2010-08-25,1392705540
2010-08-26,1374396010
2010-08-27,1400383730
2010-08-30,1390047705
2010-08-31,1340730100
2010-09-01,1314742380
2010-09-02,1312970490
2010-09-03,1553356900
2010-09-07,1559263200
2010-09-08,1577572730
2010-09-09,1556310050
2010-09-10,1548041230
2010-09-13,1633091950
2010-09-14,1688611170
2010-09-15,1654354630
2010-09-16,1655535890
2010-09-17,1662623450
2010-09-20,1667348490
2010-09-21,1719323930
2010-09-22,1650220220
2010-09-23,1633682580
2010-09-24,1708692590
2010-09-27,1691564320
2010-09-28,1733499050
2010-09-29,1761258660
2010-09-30,1724639600
2010-10-01,1733499050
2010-10-04,1677979830
2010-10-05,1694517470
2010-10-06,1671482900
2010-10-07,1685067390
2010-10-08,1710464480
2010-10-11,1714598890
2010-10-12,1825046700
2010-10-13,1823865440
2010-10-14,1796696460
2010-10-15,1831543630
2010-10-18,1869934580
2010-10-19,1819140400
2010-10-20,1814415360
2010-10-21,1824456070
2010-10-22,1835087410
2010-10-25,1895922300
2010-10-26,1909506790
2010-10-27,1865800170
2010-10-28,1839221820
2010-10-29,1812643470
2010-11-01,1841447140
2010-11-02,1865668740
2010-11-03,1917745180
2010-11-04,1929250440
2010-11-05,1955894199
2010-11-08,2000098620
2010-11-09,1974665940
2010-11-10,1998282000
2010-11-11,1983143500
2010-11-12,1936516920
2010-11-15,1925617200
2010-11-16,1911689780
2010-11-17,1907451000
2010-11-18,1935911380
2010-11-19,1934700300
2010-11-22,1978904720
2010-11-23,2027347919
2010-11-24,2087296380
2010-11-26,2118784460
2010-11-29,2128473100
2010-11-30,2116362300
2010-12-01,2208404380
2010-12-02,2162988880
2010-12-03,2132711880
2010-12-06,2063680320
2010-12-07,2050358440
2010-12-08,2083663139
2010-12-09,2104857039
2010-12-10,2101829340
2010-12-13,2059441539
2010-12-14,2007970639
2010-12-15,1985565660
2010-12-16,2064285860
2010-12-17,2007365100
2010-12-20,2000098620
2010-12-21,2023109139
2010-12-22,2088507460
2010-12-23,2103645960
2010-12-27,2067919100
2010-12-28,2056413840
2010-12-29,2075185580
2010-12-30,2079424360
2010-12-31,2058836000
2011-01-03,2078213280
2011-01-04,2075791120
2011-01-05,2090324080
2011-01-06,2251397720
2011-01-07,2273802700
2011-01-10,2291968900
2011-01-11,2250792180
2011-01-12,2245947860
2011-01-13,2247764480
2011-01-14,2244131240
2011-01-18,2207193300
2011-01-19,2162988880
2011-01-20,2187210480
2011-01-21,2172071980
2011-01-24,2185393860
2011-01-25,2182971700
2011-01-26,2219304100
2011-01-27,2244131240
2011-01-28,2224148420
2011-01-31,2242920160
2011-02-01,2297418760
2011-02-02,2235048140
2011-02-03,2358578300
2011-02-04,2426398780
2011-02-07,2445776060
2011-02-08,2494824800
2011-02-09,2495430340
2011-02-10,2515413160
2011-02-11,2578994860
2011-02-14,2603216460
2011-02-15,2562645280
2011-02-16,2609877400
2011-02-17,2623199280
2011-02-18,2631676840
2011-02-22,2576572700
2011-02-23,2484530620
2011-02-24,2493613720
2011-02-25,2602005380
2011-02-28,2526918420
2011-03-01,2485741700
2011-03-02,2488769400
2011-03-03,2558406500
2011-03-04,2542056920
2011-03-07,2499063580
2011-03-08,2535395980
2011-03-09,2490586020
2011-03-10,2549928940
2011-03-11,2771677688
2011-03-14,2843010300
2011-03-15,2857543260
2011-03-16,2797594800
2011-03-17,2810916680
2011-03-18,2832110580
2011-03-21,2861176500
2011-03-22,2813944380
2011-03-23,2862387580
2011-03-24,2896600590
2011-03-25,2885398100
2011-03-28,2902958760
2011-03-29,2893875660
2011-03-30,2949585340
2011-03-31,2914464020
2011-04-01,2933841300
2011-04-04,2923547120
2011-04-05,3016194740
2011-04-06,3018616900
2011-04-07,3094309400
2011-04-08,3069482260
2011-04-11,3095520480
2011-04-12,3058582540
2011-04-13,3015589200
2011-04-14,3002872860
2011-04-15,3031938780
2011-04-18,3034966480
2011-04-19,3014378120
2011-04-20,3210573080
2011-04-21,3202095520
2011-04-25,3192406880
2011-04-26,3183323780
2011-04-27,3203912140
2011-04-28,3197856740
2011-04-29,3220867260
2011-05-02,3261683360
2011-05-03,3203002400
2011-05-04,3243956820
2011-05-05,3247624380
2011-05-06,3286745020
2011-05-09,3335645820
2011-05-10,3364986300
2011-05-11,3319141800
2011-05-12,3417554660
2011-05-13,3393104260
2011-05-16,3261072100
2011-05-17,3192610980
2011-05-18,3286745020
2011-05-19,3267184700
2011-05-20,3209115000
2011-05-23,3203613660
2011-05-24,3181608300
2011-05-25,3229286580
2011-05-26,3334423300
2011-05-27,3377211500
2011-05-31,3421833480
2011-06-01,3308139120
2011-06-02,3092364340
2011-06-03,3121093560
2011-06-06,3037962200
2011-06-07,3032460860
2011-06-08,3416943400
2011-06-09,3487238300
2011-06-10,3432836160
2011-06-13,3530026500
2011-06-14,3625383060
2011-06-15,3486015780
2011-06-16,3476846880
2011-06-17,3509854920
2011-06-20,3590541240
2011-06-21,3794702080
2011-06-22,3758637740
2011-06-23,3825265080
2011-06-24,3839935320
2011-06-27,3861329420
2011-06-28,3923677940
2011-06-29,3872332100
2011-06-30,3947517080
2011-07-01,3984192680
2011-07-05,4084439319
2011-07-06,4100943340
2011-07-07,4076492940
2011-07-08,4199356200
2011-07-11,3970744959
2011-07-12,3929790540
2011-07-13,3965243620
2011-07-14,3871109580
2011-07-15,3931013060
2011-07-18,3895559980
2011-07-19,4019034500
2011-07-20,3992139060
2011-07-21,4017200720
2011-07-22,4035538519
2011-07-25,3978691340
2011-07-26,3969522440
2011-07-27,3794702080
2011-07-28,3837490280
2011-07-29,3852771780
2011-08-01,3885546730
2011-08-02,3774934930
2011-08-03,3814878080
2011-08-04,3510081120
2011-08-05,3465221890
2011-08-08,3102660990
2011-08-09,3409301480
2011-08-10,3261819080
2011-08-11,3512539160
2011-08-12,3649574890
2011-08-15,3546337210
2011-08-16,3414217560
2011-08-17,3275952810
2011-08-18,3077466080
2011-08-19,3047969600
2011-08-22,3004339390
2011-08-23,3237853190
2011-08-24,3334331260
2011-08-25,3286399480
2011-08-26,3470752480
2011-08-29,3623765470
2011-08-30,3538963090
2011-08-31,3630525080
2011-09-01,3539577600
2011-09-02,3400083830
2011-09-06,3402541870
2011-09-07,3490416800
2011-09-08,3672311760
2011-09-09,4206320950
2011-09-12,4358719430
2011-09-13,4299111960
2011-09-14,4298497450
2011-09-15,4313860200
2011-09-16,4329837460
2011-09-19,4477319860
2011-09-20,4312631180
2011-09-21,4182355060
2011-09-22,4109842879
2011-09-23,4114758959
2011-09-26,4247493120
2011-09-27,4302799020
2011-09-28,4138110340
2011-09-29,4063140120
2011-09-30,3824095730
2011-10-03,3768175320
2011-10-04,3867111430
2011-10-05,4097552680
2011-10-06,4093251110
2011-10-07,4029956580
2011-10-10,4254867239
2011-10-11,4200175849
2011-10-12,4164534269
2011-10-13,4176209959
2011-10-14,4233973900
2011-10-17,4146713480
2011-10-18,4224756250
2011-10-19,4221683700
2011-10-20,4171293879
2011-10-21,4178668000
2011-10-24,4358719430
2011-10-25,4215538599
2011-10-26,4154087599
2011-10-27,4204477420
2011-10-28,4149786030
2011-10-31,4205355840
2011-11-01,4395343680
2011-11-02,4439090880
2011-11-03,4453464960
2011-11-04,4639703040
2011-11-07,4624704000
2011-11-08,4587206400
2011-11-09,4445340480
2011-11-10,4509086400
2011-11-11,4521585600
2011-11-14,4485962880
2011-11-15,4531584960
2011-11-16,4471588800
2011-11-17,4313473920
2011-11-18,4220979840
2011-11-21,4140984960
2011-11-22,4155359039
2011-11-23,4122861120
2011-11-25,4037241599
2011-11-28,4277851200
2011-11-29,4272851520
2011-11-30,4351596480
2011-12-01,4280351039
2011-12-02,4636578240
2011-12-05,4618454400
2011-12-06,4557833280
2011-12-07,4570332480
2011-12-08,4507836480
2011-12-09,4628453760
2011-12-12,4547208960
2011-12-13,4413467520
2011-12-14,4200356159
2011-12-15,4169733120
2011-12-16,4187856960
2011-12-19,4056615360
2011-12-20,4185357120
2011-12-21,4116611520
2011-12-22,4009743360
2011-12-23,4140984960
2011-12-27,4094112960
2011-12-28,4005368640
2011-12-29,4041616320
2011-12-30,4057240320
2012-01-03,4005993599
2012-01-04,4147859520
2012-01-05,4347221760
2012-01-06,4344721920
2012-01-09,4370345280
2012-01-10,4403468160
2012-01-11,4485962880
2012-01-12,4495337280
2012-01-13,4570332480
2012-01-17,4632828480
2012-01-18,4734072000
2012-01-19,4836565440
2012-01-20,4765944960
2012-01-23,4805942400
2012-01-24,4835940480
2012-01-25,4924684800
2012-01-26,4792818240
2012-01-27,4831565760
2012-01-30,4829065920
2012-01-31,4759070400
2012-02-01,4800942720
2012-02-02,4787818560
2012-02-03,4881562560
2012-02-06,4917185280
2012-02-07,4977806400
2012-02-08,5037802560
2012-02-09,5088424320
2012-02-10,5052176640
2012-02-13,5127796800
2012-02-14,5174668800
2012-02-15,5220290880
2012-02-16,5260288320
2012-02-17,5159669760
2012-02-21,5128421760
2012-02-22,5160294720
2012-02-23,5212166400
2012-02-24,5120922240
2012-02-27,5237789760
2012-02-28,5242164480
2012-02-29,5202167040
2012-03-01,5331533760
2012-03-02,5321534400
2012-03-05,5445901440
2012-03-06,5365281600
2012-03-07,5494648320
2012-03-08,5579142912
2012-03-09,5579642880
2012-03-12,5528396160
2012-03-13,5624640000
2012-03-14,5590892160
2012-03-15,5647763520
2012-03-16,5535895680
2012-03-19,5599641600
2012-03-20,5662762560
2012-03-21,5754006720
2012-03-22,5849000640
2012-03-23,5846500800
2012-03-26,5906496960
2012-03-27,5872749120
2012-03-28,5849000640
2012-03-29,5801503680
2012-03-30,5805253440
2012-04-02,5869624320
2012-04-03,5937744960
2012-04-04,5932745280
2012-04-05,5939619840
2012-04-09,5897747520
2012-04-10,5740882560
2012-04-11,5855875200
2012-04-12,5920246080
2012-04-13,5932745280
2012-04-16,5821502400
2012-04-17,5903372160
2012-04-18,5972117760
2012-04-19,5905247040
2012-04-20,5958993600
2012-04-23,5845250880
2012-04-24,5446526400
2012-04-25,5570268480
2012-04-26,5595266880
2012-04-27,5600891520
2012-04-30,5561512600
2012-05-01,5618275600
2012-05-02,5760183100
2012-05-03,5729909500
2012-05-04,5517994300
2012-05-07,5427804200
2012-05-08,5360950000
2012-05-09,5314908900
2012-05-10,5427804200
2012-05-11,5547637200
2012-05-14,5508533800
2012-05-15,5519255700
2012-05-16,5695851700
2012-05-17,5415820900
2012-05-18,5381132400
2012-05-21,5540068800
2012-05-22,5707835000
2012-05-23,5751984000
2012-05-24,5734955100
2012-05-25,5736216500
2012-05-29,5754506800
2012-05-30,5651072000
2012-05-31,5636565900
2012-06-01,5458708500
2012-06-04,5442310300
2012-06-05,5511056600
2012-06-06,5975251800
2012-06-07,5886323100
2012-06-08,5928580000
2012-06-11,5818207500
2012-06-12,5944978200
2012-06-13,5780365500
2012-06-14,5864248600
2012-06-15,6044628800
2012-06-18,6118420700
2012-06-19,6102653200
2012-06-20,6161939000
2012-06-21,5994803500
2012-06-22,6029807350
2012-06-25,5951915900
2012-06-26,5939301900
2012-06-27,5881908200
2012-06-28,5694590300
2012-06-29,5889476600
2012-07-02,5806854900
2012-07-03,5902721300
2012-07-05,5954438700
2012-07-06,5907136200
2012-07-09,5888215200
2012-07-10,5877493300
2012-07-11,5742523500
2012-07-12,5767751500
2012-07-13,5845958300
2012-07-16,5739370000
2012-07-17,5761444500
2012-07-18,5799917200
2012-07-19,5834605700
2012-07-20,5520517100
2012-07-23,5453662900
2012-07-24,5369779800
2012-07-25,5284004600
2012-07-26,5447355900
2012-07-27,5511056600
2012-07-30,5555484840
2012-07-31,5388521920
2012-08-01,5316150160
2012-08-02,5412011000
2012-08-03,5572625520
2012-08-06,5579608760
2012-08-07,5603097840
