,JBHT
2003-03-21,1137727260
2003-03-24,1093665900
2003-03-25,1099960380
2003-03-26,1106254860
2003-03-27,1087371420
2003-03-28,1057472640
2003-03-31,1063689960
2003-04-01,1073173080
2003-04-02,1106364000
2003-04-03,1088978280
2003-04-04,1101622440
2003-04-07,1126910760
2003-04-08,1122169200
2003-04-09,1103202960
2003-04-10,1123749720
2003-04-11,1144296480
2003-04-14,1149038040
2003-04-15,1289704320
2003-04-16,1310251079
2003-04-17,1330797840
2003-04-21,1326056280
2003-04-22,1359247200
2003-04-23,1359247200
2003-04-24,1356086160
2003-04-25,1352925120
2003-04-28,1373471880
2003-04-29,1363988760
2003-04-30,1363988760
2003-05-01,1365569280
2003-05-02,1378213440
2003-05-05,1370310840
2003-05-06,1373471880
2003-05-07,1348183560
2003-05-08,1357666680
2003-05-09,1363988760
2003-05-12,1381374480
2003-05-13,1373471880
2003-05-14,1376632920
2003-05-15,1330797840
2003-05-16,1297606920
2003-05-19,1275479640
2003-05-20,1289704320
2003-05-21,1278640680
2003-05-22,1288123800
2003-05-23,1302348480
2003-05-27,1376632920
2003-05-28,1381374480
2003-05-29,1381374480
2003-05-30,1468303079
2003-06-02,1477786200
2003-06-03,1510977120
2003-06-04,1539426480
2003-06-05,1510977120
2003-06-06,1461981000
2003-06-09,1420887480
2003-06-10,1441434239
2003-06-11,1471464120
2003-06-12,1471464120
2003-06-13,1454078400
2003-06-16,1474625160
2003-06-17,1495171920
2003-06-18,1503074520
2003-06-19,1487269320
2003-06-20,1487269320
2003-06-23,1458819960
2003-06-24,1454078400
2003-06-25,1419306960
2003-06-26,1457239440
2003-06-27,1503074520
2003-06-30,1521026120
2003-07-01,1521026120
2003-07-02,1565715240
2003-07-03,1559331080
2003-07-07,1589655840
2003-07-08,1619980600
2003-07-09,1610404360
2003-07-10,1594443960
2003-07-11,1578483560
2003-07-14,1623172680
2003-07-15,1776392520
2003-07-16,1864174720
2003-07-17,1800333120
2003-07-18,1824273720
2003-07-21,1864174720
2003-07-22,1851406400
2003-07-23,1848214320
2003-07-24,1860982640
2003-07-25,1868962840
2003-07-28,1886519280
2003-07-29,1878539080
2003-07-30,1867366800
2003-07-31,1876943040
2003-08-01,1854598479
2003-08-04,1811505400
2003-08-05,1829061840
2003-08-06,1797141040
2003-08-07,1816293520
2003-08-08,1803525200
2003-08-11,1851406400
2003-08-12,1854598479
2003-08-13,1822677680
2003-08-14,1841830159
2003-08-15,1849810360
2003-08-18,1867366800
2003-08-19,1889711360
2003-08-20,1905671760
2003-08-21,1921632159
2003-08-22,1897691560
2003-08-25,1904075720
2003-08-26,1920036120
2003-08-27,1935996520
2003-08-28,1969513360
2003-08-29,1982281680
2003-09-02,2062083680
2003-09-03,2073255960
2003-09-04,2111560920
2003-09-05,2074852000
2003-09-08,2090812400
2003-09-09,2114753000
2003-09-10,2094004479
2003-09-11,2095600520
2003-09-12,2090812400
2003-09-15,2114753000
2003-09-16,2165826280
2003-09-17,2148269840
2003-09-18,2165826280
2003-09-19,2157846080
2003-09-22,2151461920
2003-09-23,2159442120
2003-09-24,2125925280
2003-09-25,2101984680
2003-09-26,2087620320
2003-09-29,2127521320
2003-09-30,2100323000
2003-10-01,2132389000
2003-10-02,2145215400
2003-10-03,2204537500
2003-10-06,2225380400
2003-10-07,2260653000
2003-10-08,2244620000
2003-10-09,2276686000
2003-10-10,2233396900
2003-10-13,2262256300
2003-10-14,2132389000
2003-10-15,2106736200
2003-10-16,2005728300
2003-10-17,1915943500
2003-10-20,1964042500
2003-10-21,1999315100
2003-10-22,1964042500
2003-10-23,1956026000
2003-10-24,2000918400
2003-10-27,2015348100
2003-10-28,2041000900
2003-10-29,2076273500
2003-10-30,2077876800
2003-10-31,2034587700
2003-11-03,2073066900
2003-11-04,2084290000
2003-11-05,2032984400
2003-11-06,2124372500
2003-11-07,2162851700
2003-11-10,2167661600
2003-11-11,2154835200
2003-11-12,2185297900
2003-11-13,2145215400
2003-11-14,2129182400
2003-11-17,2082686700
2003-11-18,1980075500
2003-11-19,1991298600
2003-11-20,1992901900
2003-11-21,1989695300
2003-11-24,2049017400
2003-11-25,2077876800
2003-11-26,2092306500
2003-11-28,2106736200
2003-12-01,2135595600
2003-12-02,2105132900
2003-12-03,2167661600
2003-12-04,2169264900
2003-12-05,2129182400
2003-12-08,2175678100
2003-12-09,2151628600
2003-12-10,2084290000
2003-12-11,2113149400
2003-12-12,2116356000
2003-12-15,2105132900
2003-12-16,2061843800
2003-12-17,2106736200
2003-12-18,2132389000
2003-12-19,2183694600
2003-12-22,2182091300
2003-12-23,2170868200
2003-12-24,2162851700
2003-12-26,2164455000
2003-12-29,2178884700
2003-12-30,2164455000
2003-12-31,2164455000
2004-01-02,2198124300
2004-01-05,2252636500
2004-01-06,2244620000
2004-01-07,2278289300
2004-01-08,2287909100
2004-01-09,2225380400
2004-01-12,2260653000
2004-01-13,2215760600
2004-01-14,2215760600
2004-01-15,2215760600
2004-01-16,2218967200
2004-01-20,2217363900
2004-01-21,2252636500
2004-01-22,2316768500
2004-01-23,2332801500
2004-01-26,2295925600
2004-01-27,2239810100
2004-01-28,2077876800
2004-01-29,2154835200
2004-01-30,2109942800
2004-02-02,2121165900
2004-02-03,2100323000
2004-02-04,2071463600
2004-02-05,2142008800
2004-02-06,2191711100
2004-02-09,2190107800
2004-02-10,2167661600
2004-02-11,2209347400
2004-02-12,2251033200
2004-02-13,2249429900
2004-02-17,2188504500
2004-02-18,2175678100
2004-02-19,2140405500
2004-02-20,2108339500
2004-02-23,2037794300
2004-02-24,2090703199
2004-02-25,2109942800
2004-02-26,2158041800
2004-02-27,2194917700
2004-03-01,2230190300
2004-03-02,2241413400
2004-03-03,2244620000
2004-03-04,2188504500
2004-03-05,2183694600
2004-03-08,2191711100
2004-03-09,2159645100
2004-03-10,2129182400
2004-03-11,2169264900
2004-03-12,2226983700
2004-03-15,2164455000
2004-03-16,2127579100
2004-03-17,2175678100
2004-03-18,2185297900
2004-03-19,2146818700
2004-03-22,2090703199
2004-03-23,2132389000
2004-03-24,2129182400
2004-03-25,2193314400
2004-03-26,2207744100
2004-03-29,2268669500
2004-03-30,2244620000
2004-03-31,2266809600
2004-04-01,2281299150
2004-04-02,2326377750
2004-04-05,2352136950
2004-04-06,2450343900
2004-04-07,2429414550
2004-04-08,2395605600
2004-04-12,2379506100
2004-04-13,2339257350
2004-04-14,2435854350
2004-04-15,2455173750
2004-04-16,2546940900
2004-04-19,2569480200
2004-04-20,2579139900
2004-04-21,2619388650
2004-04-22,2672517000
2004-04-23,2658027450
2004-04-26,2637098100
2004-04-27,2654807549
2004-04-28,2583969750
2004-04-29,2579139900
2004-04-30,2548550850
2004-05-03,2564650350
2004-05-04,2542111050
2004-05-05,2583969750
2004-05-06,2575920000
2004-05-07,2445514050
2004-05-10,2403655350
2004-05-11,2442294150
2004-05-12,2464833450
2004-05-13,2543721000
2004-05-14,2511522000
2004-05-17,2482542900
2004-05-18,2530841400
2004-05-19,2517961800
2004-05-20,2440684200
2004-05-21,2511522000
2004-05-24,2522791650
2004-05-25,2640318000
2004-05-26,2685396600
2004-05-27,2664467250
2004-05-28,2635488150
2004-06-01,2706325950
2004-06-02,2777163750
2004-06-03,2728865250
2004-06-04,2854441350
2004-06-07,2878590600
2004-06-08,2897910000
2004-06-09,2802922950
2004-06-10,2804532900
2004-06-14,2761064250
2004-06-15,2817412500
2004-06-16,2868930900
2004-06-17,2827072200
2004-06-18,2819022450
2004-06-21,2846391600
2004-06-22,2870540849
2004-06-23,2942988600
2004-06-24,2970357750
2004-06-25,2991287099
2004-06-28,3110423400
2004-06-29,3055685100
2004-06-30,3127506990
2004-07-01,3137234850
2004-07-02,3099944720
2004-07-06,3072382450
2004-07-07,3080489000
2004-07-08,2921600620
2004-07-09,2767576170
2004-07-12,2840535120
2004-07-13,2808108920
2004-07-14,2809730229
2004-07-15,2910251450
2004-07-16,2887553110
2004-07-19,2999423500
2004-07-20,3020500530
2004-07-21,2950784200
2004-07-22,2929707170
2004-07-23,2942677650
2004-07-26,2999423500
2004-07-27,3005908740
2004-07-28,3031849700
2004-07-29,3111293890
2004-07-30,3112915200
2004-08-02,3182631530
2004-08-03,3086974240
2004-08-04,3022121840
2004-08-05,2945920270
2004-08-06,2800002370
2004-08-09,2850262979
2004-08-10,2947541580
2004-08-11,2952405510
2004-08-12,2923221930
2004-08-13,2863233460
2004-08-16,2950784200
2004-08-17,2884310490
2004-08-18,2947541580
2004-08-19,2871340010
2004-08-20,2910251450
2004-08-23,2837292500
2004-08-24,2829185950
2004-08-25,2825943330
2004-08-26,2806487610
2004-08-27,2819458090
2004-08-30,2782167960
2004-08-31,2748120450
2004-09-01,2740013900
2004-09-02,2812972850
2004-09-03,2790274510
2004-09-07,2866476080
2004-09-08,2918358000
2004-09-09,2950784200
2004-09-10,2989695640
2004-09-13,3015636600
2004-09-14,3038334939
2004-09-15,3007530050
2004-09-16,2955648130
2004-09-17,2966997300
2004-09-20,2970239920
2004-09-21,3014015290
2004-09-22,2885931800
2004-09-23,2819458090
2004-09-24,2877825250
2004-09-27,2871340010
2004-09-28,2887553110
2004-09-29,2996180880
2004-09-30,2939449793
2004-10-01,3009097500
2004-10-04,3042338451
2004-10-05,3078745206
2004-10-06,3072413597
2004-10-07,3007514598
2004-10-08,2956861720
2004-10-11,2948947208
2004-10-12,2964776232
2004-10-13,2877716599
2004-10-14,2914123355
2004-10-15,3020177817
2004-10-18,3104071645
2004-10-19,3142061303
2004-10-20,3195879985
2004-10-21,3222789327
2004-10-22,3162639035
2004-10-25,3137312596
2004-10-26,3176885156
2004-10-27,3233869644
2004-10-28,3216457717
2004-10-29,3233869644
2004-11-01,3192714181
2004-11-02,3135729694
2004-11-03,3265527692
2004-11-04,3314597667
2004-11-05,3305100252
