,DFS
2009-11-30,8589646265
2009-12-01,8584090220
2009-12-02,8484081402
2009-12-03,8239615402
2009-12-04,8434076993
2009-12-07,8561866038
2009-12-08,8389628629
2009-12-09,8578534174
2009-12-10,8667430902
2009-12-11,8961901310
2009-12-14,9161918947
2009-12-15,8895228765
2009-12-16,9123026628
2009-12-17,8289619811
2009-12-18,8306287947
2009-12-21,8167386811
2009-12-22,8134050538
2009-12-23,8156274720
2009-12-24,8295175856
2009-12-28,8234059356
2009-12-29,8200723084
2009-12-30,8228503311
2009-12-31,8172942856
2010-01-04,8117382402
2010-01-05,8389628629
2010-01-06,8334068175
2010-01-07,8384072584
2010-01-08,8350736311
2010-01-11,8245171447
2010-01-12,8284063765
2010-01-13,8339624220
2010-01-14,8317400038
2010-01-15,8200723084
2010-01-19,8256283538
2010-01-20,8234059356
2010-01-21,7906252675
2010-01-22,7478437175
2010-01-25,7489549266
2010-01-26,7483993221
2010-01-27,7678454811
2010-01-28,7506217402
2010-01-29,7600670175
2010-02-01,7400652539
2010-02-02,7667342721
2010-02-03,7389540448
2010-02-04,7167298630
2010-02-05,7228415130
2010-02-08,7089513994
2010-02-09,7239527221
2010-02-10,7178410721
2010-02-11,7245083266
2010-02-12,7239527221
2010-02-16,7528441584
2010-02-17,7517329493
2010-02-18,7533997630
2010-02-19,7595114130
2010-02-22,7689566902
2010-02-23,7483993221
2010-02-24,7572889948
2010-02-25,7478437175
2010-02-26,7584002039
2010-03-01,7402138750
2010-03-02,7559862500
2010-03-03,7494597500
2010-03-04,7489158750
2010-03-05,7706708750
2010-03-08,7679515000
2010-03-09,7853555000
2010-03-10,7820922500
2010-03-11,8114615000
2010-03-12,8141808750
2010-03-15,8266900000
2010-03-16,8321287500
2010-03-17,8288655000
2010-03-18,8440940000
2010-03-19,8288655000
2010-03-22,8348481250
2010-03-23,8375675000
2010-03-24,8375675000
2010-03-25,8370236250
2010-03-26,8370236250
2010-03-29,8348481250
2010-03-30,8223390000
2010-03-31,8103737500
2010-04-01,8343042500
2010-04-05,8473572500
2010-04-06,8364797500
2010-04-07,8250583750
2010-04-08,8381113750
2010-04-09,8430062500
2010-04-12,8484450000
2010-04-13,8484450000
2010-04-14,8723755000
2010-04-15,8767265000
2010-04-16,8353920000
2010-04-19,8522521250
2010-04-20,8625857500
2010-04-21,8517082500
2010-04-22,8604102500
2010-04-23,8843407500
2010-04-26,8750948750
2010-04-27,8359358750
2010-04-28,8397430000
2010-04-29,8723755000
2010-04-30,8408307500
2010-05-03,8756387500
2010-05-04,8343042500
2010-05-05,8125492500
2010-05-06,7837238750
2010-05-07,7657760000
2010-05-10,8087421250
2010-05-11,8103737500
2010-05-12,8272338750
2010-05-13,8043911250
2010-05-14,7744780000
2010-05-17,7728463750
2010-05-18,7320557500
2010-05-19,7396700000
2010-05-20,7092130000
2010-05-21,7358628750
2010-05-24,7157395000
2010-05-25,7173711250
2010-05-26,7162833750
2010-05-27,7451087500
2010-05-28,7315118750
2010-06-01,7174058520
2010-06-02,7331909580
2010-06-03,7359125280
2010-06-04,6999878040
2010-06-07,6765823020
2010-06-08,6880128960
2010-06-09,6842026980
2010-06-10,7402670400
2010-06-11,7435329240
2010-06-14,7293807600
2010-06-15,7576850880
2010-06-16,7663941120
2010-06-17,7642168560
2010-06-18,7620396000
2010-06-21,7614952860
2010-06-22,7533305760
2010-06-23,7625839140
2010-06-24,7663941120
2010-06-25,7903439280
2010-06-28,8034074640
2010-06-29,7511533200
2010-06-30,7609509720
2010-07-01,7576850880
2010-07-02,7533305760
2010-07-06,7565964600
2010-07-07,7930654980
2010-07-08,7963313820
2010-07-09,8083062900
2010-07-12,7974200100
2010-07-13,8311674780
2010-07-14,8262686520
2010-07-15,8279015940
2010-07-16,7892553000
2010-07-19,7887109860
2010-07-20,8072176620
2010-07-21,7767360780
2010-07-22,8159266860
2010-07-23,8197368840
2010-07-26,8431423860
2010-07-27,8295345360
2010-07-28,8186482560
2010-07-29,8219141400
2010-07-30,8311674780
2010-08-02,8578388640
2010-08-03,8458639560
2010-08-04,8491298400
2010-08-05,8398765020
2010-08-06,8333447340
2010-08-09,8474968980
2010-08-10,8344333620
2010-08-11,8028631500
2010-08-12,8006858940
2010-08-13,7990529520
2010-08-16,7990529520
2010-08-17,8050404060
2010-08-18,8039517780
2010-08-19,7838121600
2010-08-20,7767360780
2010-08-23,7767360780
2010-08-24,7604066580
2010-08-25,7571407740
2010-08-26,7598623440
2010-08-27,8039517780
2010-08-30,7794576480
2010-08-31,7898924780
2010-09-01,8252770480
2010-09-02,8459634120
2010-09-03,8633835080
2010-09-07,8334427180
2010-09-08,8503184360
2010-09-09,8552178380
2010-09-10,8655610200
2010-09-13,8742710680
2010-09-14,8535847040
2010-09-15,8595728620
2010-09-16,8595728620
2010-09-17,8475965460
2010-09-20,8797148480
2010-09-21,8688272880
2010-09-22,8873361400
2010-09-23,8982237000
2010-09-24,9129219060
2010-09-27,8976793220
2010-09-28,8987680780
2010-09-29,9025787240
2010-09-30,9080225040
2010-10-01,9025787240
2010-10-04,8878805180
2010-10-05,9189100640
2010-10-06,9254426000
2010-10-07,9134662840
2010-10-08,9227207100
2010-10-11,9221763320
2010-10-12,9303420020
2010-10-13,9624603040
