,MU
2001-04-05,22897920000
2001-04-06,21955766000
2001-04-09,21401207000
2001-04-10,22748845000
2001-04-11,24806080000
2001-04-12,27674282999
2001-04-16,26535350000
2001-04-17,25605122000
2001-04-18,28204990000
2001-04-19,28592585000
2001-04-20,27751802000
2001-04-23,25849605000
2001-04-24,23852000000
2001-04-25,25450084000
2001-04-26,25330824000
2001-04-27,26278941000
2001-04-30,27060094000
2001-05-01,26106014000
2001-05-02,25700530000
2001-05-03,24734524000
2001-05-04,24925340000
2001-05-07,25581270000
2001-05-08,24979007000
2001-05-09,24746450000
2001-05-10,23881815000
2001-05-11,24042816000
2001-05-14,24269410000
2001-05-15,23315330000
2001-05-16,23374960000
2001-05-17,24472152000
2001-05-18,23905667000
2001-05-21,25414306000
2001-05-22,24340966000
2001-05-23,24001075000
2001-05-24,23989149000
2001-05-25,24269410000
2001-05-29,22647474000
2001-05-30,21908062000
2001-05-31,22406250000
2001-06-01,23422000000
2001-06-04,22949974999
2001-06-05,25095000000
2001-06-06,24778325000
2001-06-07,26797875000
2001-06-08,25883700000
2001-06-11,24861975000
2001-06-12,24945625000
2001-06-13,24437750000
2001-06-14,22585500000
2001-06-15,23601250000
2001-06-18,23003750000
2001-06-19,22716950000
2001-06-20,22011900000
2001-06-21,22531725000
2001-06-22,22932050000
2001-06-25,23314450000
2001-06-26,23900000000
2001-06-27,23744650000
2001-06-28,24856000000
2001-06-29,24557250000
2001-07-02,25274250000
2001-07-03,25841875000
2001-07-05,25029275000
2001-07-06,23242750000
2001-07-09,23003750000
2001-07-10,22460025000
2001-07-11,23601250000
2001-07-12,23894025000
2001-07-13,23308475000
2001-07-16,21958125000
2001-07-17,23105325000
2001-07-18,22854375000
2001-07-19,23637100000
2001-07-20,23356275000
2001-07-23,22764750000
2001-07-24,22609400000
2001-07-25,22932050000
2001-07-26,24354100000
2001-07-27,24646875000
2001-07-30,24712600000
2001-07-31,25095000000
2001-08-01,26110750000
2001-08-02,26827750000
2001-08-03,25961375000
2001-08-06,25100975000
2001-08-07,24455675000
2001-08-08,23451875000
2001-08-09,23159100000
2001-08-10,23416025000
2001-08-13,23177025000
2001-08-14,22346500000
2001-08-15,21778875000
2001-08-16,22537700000
2001-08-17,21569750000
2001-08-20,21539875000
2001-08-21,21091750000
2001-08-22,22256875000
2001-08-23,21677300000
2001-08-24,23027650000
2001-08-27,24109125000
2001-08-28,23314450000
2001-08-29,22436125000
2001-08-30,22008616000
2001-08-31,22535912000
2001-09-04,21750960000
2001-09-05,21571200000
2001-09-06,20049232000
2001-09-07,19623800000
2001-09-10,19030592000
2001-09-17,17496640000
2001-09-18,15231664000
2001-09-19,14051240000
2001-09-20,13236328000
2001-09-21,12649112000
2001-09-24,13362160000
2001-09-25,12727008000
2001-09-26,10336200000
2001-09-27,10653776000
2001-09-28,11282935999
2001-10-01,10635800000
2001-10-02,10947384000
2001-10-03,11384800000
2001-10-04,11678408000
2001-10-05,12019952000
2001-10-08,12673080000
2001-10-09,11984000000
2001-10-10,12721016000
2001-10-11,14081200000
2001-10-12,15279600000
2001-10-15,13865488000
2001-10-16,13212360000
2001-10-17,12379472000
2001-10-18,11834200000
2001-10-19,12463360000
2001-10-22,13026608000
2001-10-23,13056568000
2001-10-24,13422080000
2001-10-25,13919416000
2001-10-26,14350840000
2001-10-29,13482000000
2001-10-30,12631135999
2001-10-31,13637792000
2001-11-01,13781600000
2001-11-02,14830200000
2001-11-05,14740320000
2001-11-06,14662424000
2001-11-07,15519280000
2001-11-08,16124472000
2001-11-09,15645112000
2001-11-12,16268280000
2001-11-13,17376800000
2001-11-14,16633792000
2001-11-15,16633792000
2001-11-16,15758960000
2001-11-19,16370144000
2001-11-20,15615152000
2001-11-21,15519280000
2001-11-23,16022608000
2001-11-26,17137120000
2001-11-27,17466680000
2001-11-28,16016616000
2001-11-29,16723925000
2001-11-30,16309580000
2001-12-03,17150280000
2001-12-04,18309245000
2001-12-05,19852530000
2001-12-06,19546275000
2001-12-07,19065875000
2001-12-10,18663540000
2001-12-11,18555450000
2001-12-12,19065875000
2001-12-13,17828845000
2001-12-14,18165125000
2001-12-17,18435350000
2001-12-18,19101905000
2001-12-19,18075050000
2001-12-20,17720755000
2001-12-21,18111080000
2001-12-24,17846860000
2001-12-26,18255200000
2001-12-27,18717585000
2001-12-28,19011830000
2001-12-31,18615500000
2002-01-02,19960620000
2002-01-03,21924255000
2002-01-04,21587975000
2002-01-07,21708075000
2002-01-08,21197650000
2002-01-09,21023505000
2002-01-10,20266875000
2002-01-11,21095565000
2002-01-14,21377800000
2002-01-15,21197650000
2002-01-16,20236850000
2002-01-17,20417000000
2002-01-18,19089895000
2002-01-22,18543440000
2002-01-23,18999820000
2002-01-24,19125925000
2002-01-25,19516250000
2002-01-28,19396150000
2002-01-29,18309245000
2002-01-30,19456200000
2002-01-31,20266875000
2002-02-01,20927425000
2002-02-04,20657200000
2002-02-05,20687225000
2002-02-06,22032345000
2002-02-07,20332930000
2002-02-08,20957450000
2002-02-11,22578800000
2002-02-12,22698900000
2002-02-13,23425505000
2002-02-14,22969125000
2002-02-15,22188475000
2002-02-19,21972295000
2002-02-20,21918250000
2002-02-21,19942605000
2002-02-22,19534265000
2002-02-25,20447025000
2002-02-26,20236850000
2002-02-27,20537100000
2002-02-28,19363945000
2002-03-01,21857467000
2002-03-04,23309010000
2002-03-05,23790850000
2002-03-06,22803078000
2002-03-07,22369422000
2002-03-08,22983767999
2002-03-11,22254985000
2002-03-12,21496087000
2002-03-13,20538430000
2002-03-14,19285646000
2002-03-15,20110797000
2002-03-18,20026475000
2002-03-19,20357740000
2002-03-20,19574750000
2002-03-21,20785373000
2002-03-22,20417970000
2002-03-25,19875900000
2002-03-26,20496269000
2002-03-27,19875900000
2002-03-28,19815670000
2002-04-01,20183073000
2002-04-02,19514520000
2002-04-03,18538794000
2002-04-04,18424357000
2002-04-05,17978655000
2002-04-08,18611070000
2002-04-09,18099115000
2002-04-10,18388219000
2002-04-11,17587160000
2002-04-12,17502838000
2002-04-15,17286010000
2002-04-16,18135253000
2002-04-17,18213552000
2002-04-18,17466700000
2002-04-19,17767850000
2002-04-22,18611070000
2002-04-23,17701597000
2002-04-24,16442790000
2002-04-25,16593365000
2002-04-26,15659800000
2002-04-29,15930835000
2002-04-30,14274510000
2002-05-01,14876810000
2002-05-02,14069728000
2002-05-03,13618003000
2002-05-06,13720394000
2002-05-07,14003475000
2002-05-08,14762373000
2002-05-09,13762555000
2002-05-10,13533681000
2002-05-13,14214280000
2002-05-14,15840490000
2002-05-15,15352627000
2002-05-16,15665823000
2002-05-17,15063523000
2002-05-20,14732258000
2002-05-21,14214280000
2002-05-22,14184165000
2002-05-23,14635890000
2002-05-24,14069728000
2002-05-28,13925176000
2002-05-29,13780624000
2002-05-30,14191650000
2002-05-31,14239961999
2002-06-03,13466970000
2002-06-04,13787036999
2002-06-05,13557555000
2002-06-06,13466970000
2002-06-07,13376385000
2002-06-10,12959694000
2002-06-11,12597354000
2002-06-12,13074435000
2002-06-13,12742290000
2002-06-14,13466970000
2002-06-17,14070870000
2002-06-18,14252040000
2002-06-19,12126311999
2002-06-20,11111760000
2002-06-21,11347281000
2002-06-24,11908908000
2002-06-25,11927025000
2002-06-26,11474100000
2002-06-27,12379950000
2002-06-28,12210858000
2002-07-01,12078000000
2002-07-02,11619036000
2002-07-03,12379950000
2002-07-05,13473009000
2002-07-08,13044240000
2002-07-09,13545477000
2002-07-10,12850992000
2002-07-11,13497165000
2002-07-12,14125221000
2002-07-15,14765355000
2002-07-16,14028597000
2002-07-17,14493600000
2002-07-18,13756842000
2002-07-19,13454892000
2002-07-22,12379950000
2002-07-23,12047805000
2002-07-24,13134825000
2002-07-25,11594880000
2002-07-26,11854557000
2002-07-29,12597354000
2002-07-30,12669822000
2002-07-31,11770011000
2002-08-01,11172150000
2002-08-02,10978902000
2002-08-05,10417275000
2002-08-06,11051370000
2002-08-07,11286891000
2002-08-08,11594880000
2002-08-09,11413710000
2002-08-12,11105721000
2002-08-13,10948707000
2002-08-14,11745855000
2002-08-15,12071961000
2002-08-16,12591315000
2002-08-19,13364307000
2002-08-20,12265209000
2002-08-21,12796641000
2002-08-22,12742290000
2002-08-23,12144429000
2002-08-26,11763972000
2002-08-27,11087604000
2002-08-28,10767536999
2002-08-29,10439700000
2002-08-30,10439700000
2002-09-03,10294452000
2002-09-04,10530480000
2002-09-05,10409440000
2002-09-06,10742300000
2002-09-09,10548636000
2002-09-10,11353552000
2002-09-11,11317240000
2002-09-12,10699936000
2002-09-13,9985800000
2002-09-16,9834500000
2002-09-17,9755824000
2002-09-18,9501640000
2002-09-19,9247456000
2002-09-20,8394124000
2002-09-23,7722352000
2002-09-24,7837340000
2002-09-25,8103628000
2002-09-26,7595260000
2002-09-27,7710248000
2002-09-30,7486324000
2002-10-01,7867600000
2002-10-02,8248876000
2002-10-03,7528688000
2002-10-04,7213984000
2002-10-07,7111100000
2002-10-08,7129256000
2002-10-09,7347128000
2002-10-10,7565000000
2002-10-11,8273084000
2002-10-14,8152044000
2002-10-15,8805660000
2002-10-16,7528688000
2002-10-17,8061264000
2002-10-18,8472800000
2002-10-21,9005376000
2002-10-22,8745140000
2002-10-23,9489536000
2002-10-24,9683200000
2002-10-25,10469960000
2002-10-28,10197620000
2002-10-29,9737668000
2002-10-30,9525848000
2002-10-31,9683200000
2002-11-01,10167360000
2002-11-04,10500220000
2002-11-05,10282348000
2002-11-06,10772560000
2002-11-07,9997904000
2002-11-08,9422964000
2002-11-11,8527268000
2002-11-12,8369916000
2002-11-13,7909964000
2002-11-14,8587788000
2002-11-15,8394124000
2002-11-18,8515164000
2002-11-19,8309396000
2002-11-20,8829868000
2002-11-21,9489536000
2002-11-22,9695304000
2002-11-25,9979748000
2002-11-26,9410860000
2002-11-27,9749772000
2002-11-29,9599832000
2002-12-02,9557328000
2002-12-03,8865120000
2002-12-04,8470440000
2002-12-05,8330784000
2002-12-06,8100048000
2002-12-09,7820736000
2002-12-10,8415792000
2002-12-11,8300424000
2002-12-12,8239704000
2002-12-13,7887528000
2002-12-16,8191128000
2002-12-17,8063616000
2002-12-18,6205584000
2002-12-19,6187368000
2002-12-20,6193440000
2002-12-23,6254160000
2002-12-24,6235944000
2002-12-26,6248087999
2002-12-27,6254160000
2002-12-30,5956632000
2002-12-31,5914128000
2003-01-02,6072000000
2003-01-03,6169152000
2003-01-06,6412032000
2003-01-07,6679200000
2003-01-08,6102360000
2003-01-09,6041640000
2003-01-10,6248087999
2003-01-13,6126648000
2003-01-14,6193440000
2003-01-15,6047712000
2003-01-16,5859480000
2003-01-17,5561952000
2003-01-21,5404080000
2003-01-22,5161200000
2003-01-23,5337287999
2003-01-24,4997256000
2003-01-27,4851528000
2003-01-28,4821168000
2003-01-29,5112624000
2003-01-30,5051904000
2003-01-31,4985112000
2003-02-03,5100480000
2003-02-04,5009400000
2003-02-05,4942608000
2003-02-06,4626864000
2003-02-07,4620792000
2003-02-10,4462920000
2003-02-11,4390056000
2003-02-12,4250400000
2003-02-13,4104672000
2003-02-14,4371840000
2003-02-18,4353624000
2003-02-19,4517568000
2003-02-20,4705800000
2003-02-21,4566144000
2003-02-24,4535784000
2003-02-25,4468992000
2003-02-26,4572216000
2003-02-27,4629163000
2003-02-28,4860317000
2003-03-03,4513586000
2003-03-04,4623080000
2003-03-05,4866400000
2003-03-06,4805570000
2003-03-07,4623080000
2003-03-10,4635246000
2003-03-11,4714325000
2003-03-12,4708242000
2003-03-13,5036724000
2003-03-14,4775155000
2003-03-17,4884649000
2003-03-18,4896815000
2003-03-19,4957645000
2003-03-20,4866400000
2003-03-21,5401704000
2003-03-24,5073222000
2003-03-25,5298293000
2003-03-26,5146218000
2003-03-27,5359123000
2003-03-28,5304376000
2003-03-31,4951562000
2003-04-01,4884649000
2003-04-02,5322625000
2003-04-03,5298293000
2003-04-04,5304376000
2003-04-07,5474700000
2003-04-08,5395621000
2003-04-09,5182716000
2003-04-10,5200965000
2003-04-11,5091471000
2003-04-14,5194881999
2003-04-15,5280044000
2003-04-16,5316542000
2003-04-17,5468617000
2003-04-21,5572028000
2003-04-22,5797099000
2003-04-23,5809265000
2003-04-24,5693688000
2003-04-25,5286127000
2003-04-28,5286127000
2003-04-29,5267878000
2003-04-30,5170550000
2003-05-01,5182716000
2003-05-02,5298293000
2003-05-05,5474700000
2003-05-06,5523364000
2003-05-07,5535530000
2003-05-08,5535530000
2003-05-09,5870095000
2003-05-12,5973506000
2003-05-13,6174245000
2003-05-14,6295905000
2003-05-15,6271573000
2003-05-16,6295905000
2003-05-19,6101249000
2003-05-20,6016087000
2003-05-21,6046502000
2003-05-22,6101249000
2003-05-23,6101249000
2003-05-27,6691300000
2003-05-28,6666968000
2003-05-29,6836346000
2003-05-30,6897276000
2003-06-02,6787602000
2003-06-03,6939927000
2003-06-04,7421274000
2003-06-05,7597971000
2003-06-06,7616250000
2003-06-09,7500483000
2003-06-10,8012295000
2003-06-11,8091504000
2003-06-12,8243829000
2003-06-13,7969644000
2003-06-16,8036667000
2003-06-17,7951365000
2003-06-18,7969644000
2003-06-19,7762482000
2003-06-20,7725924000
2003-06-23,7317693000
2003-06-24,7165368000
2003-06-25,7226298000
2003-06-26,7281135000
2003-06-27,7189740000
2003-06-30,7086159000
2003-07-01,7512669000
2003-07-02,7884342000
2003-07-03,7805133000
2003-07-07,8383968000
2003-07-08,8530200000
2003-07-09,8773920000
2003-07-10,8457084000
2003-07-11,8469270000
2003-07-14,8712990000
2003-07-15,8633781000
2003-07-16,8481456000
2003-07-17,8091504000
2003-07-18,8712990000
2003-07-21,8536293000
2003-07-22,8712990000
2003-07-23,9371034000
2003-07-24,9048105000
2003-07-25,8926245000
2003-07-28,8877501000
2003-07-29,8847036000
2003-07-30,8743455000
2003-07-31,8920152000
2003-08-01,9206523000
2003-08-04,9029826000
2003-08-05,8670339000
2003-08-06,8390061000
2003-08-07,8286480000
2003-08-08,7896528000
2003-08-11,7926993000
2003-08-12,8085411000
2003-08-13,8152434000
2003-08-14,7859970000
2003-08-15,7616250000
2003-08-18,7774668000
2003-08-19,8444898000
2003-08-20,8103690000
2003-08-21,8383968000
2003-08-22,8463177000
2003-08-25,8310852000
2003-08-26,8316945000
2003-08-27,8530200000
2003-08-28,8993622000
2003-08-29,9101368000
2003-09-02,9171086000
2003-09-03,9006298000
2003-09-04,8930242000
2003-09-05,9063340000
2003-09-08,9589394000
2003-09-09,9316860000
2003-09-10,8461230000
2003-09-11,8619680000
2003-09-12,8651370000
2003-09-15,8378836000
2003-09-16,8632356000
2003-09-17,8987284000
2003-09-18,8980946000
2003-09-19,9209114000
2003-09-22,9095030000
2003-09-23,9297846000
2003-09-24,8936580000
2003-09-25,8607004000
2003-09-26,8651370000
2003-09-29,8600666000
2003-09-30,8505596000
2003-10-01,8416864000
2003-10-02,8492920000
2003-10-03,8657708000
2003-10-06,8549962000
2003-10-07,8239400000
2003-10-08,8118978000
2003-10-09,8195034000
2003-10-10,8099964000
2003-10-13,7947851999
2003-10-14,8011232000
2003-10-15,8118978000
2003-10-16,8131654000
2003-10-17,8144330000
2003-10-20,8144330000
2003-10-21,8607004000
2003-10-22,8429540000
2003-10-23,8397850000
2003-10-24,8359822000
2003-10-27,8879538000
2003-10-28,9031650000
2003-10-29,9253480000
2003-10-30,9316860000
2003-10-31,9088692000
2003-11-03,9348550000
2003-11-04,9278832000
2003-11-05,9247142000
2003-11-06,9126720000
2003-11-07,9012636000
2003-11-10,8524610000
2003-11-11,8391512000
2003-11-12,8619680000
2003-11-13,8353484000
2003-11-14,8264751999
2003-11-17,8099964000
2003-11-18,7935176000
2003-11-19,7941514000
2003-11-20,7973204000
2003-11-21,7922500000
2003-11-24,8125316000
2003-11-25,8296442000
2003-11-26,8264751999
2003-11-28,8245738000
2003-12-01,8271090000
2003-12-02,8087288000
2003-12-03,7865458000
2003-12-04,7821312000
2003-12-05,7795583999
2003-12-08,7647648000
2003-12-09,7435392000
2003-12-10,7583327999
2003-12-11,7718400000
2003-12-12,7808448000
2003-12-15,7409664000
2003-12-16,7506144000
2003-12-17,7396800000
2003-12-18,7756992000
2003-12-19,7930656000
2003-12-22,8213664000
2003-12-23,8464512000
2003-12-24,8644608000
2003-12-26,8696064000
2003-12-29,8972640000
2003-12-30,8831136000
2003-12-31,8663904000
2004-01-02,8837568000
2004-01-05,9101280000
2004-01-06,9352128000
2004-01-07,9763776000
2004-01-08,9950304000
2004-01-09,9873120000
2004-01-12,9828096000
2004-01-13,9557952000
2004-01-14,9564384000
2004-01-15,9538656000
2004-01-16,9622272000
2004-01-20,9725184000
2004-01-21,9654432000
2004-01-22,9300672000
2004-01-23,9461472000
2004-01-26,9648000000
2004-01-27,10104672000
2004-01-28,10361952000
2004-01-29,10368384000
2004-01-30,10361952000
2004-02-02,10284768000
2004-02-03,10265472000
2004-02-04,10117536000
2004-02-05,9937440000
2004-02-06,10387680000
2004-02-09,10226880000
2004-02-10,10426272000
2004-02-11,10419840000
2004-02-12,10188288000
2004-02-13,10117536000
2004-02-17,10316928000
2004-02-18,10561344000
2004-02-19,10381248000
2004-02-20,10014624000
2004-02-23,9699456000
2004-02-24,9744480000
2004-02-25,9808800000
2004-02-26,9763776000
2004-02-27,9673728000
2004-03-01,9873120000
2004-03-02,10181856000
2004-03-03,10336224000
2004-03-04,10494018000
2004-03-05,10506902000
2004-03-08,9965774000
2004-03-09,9927122000
2004-03-10,9418204000
2004-03-11,9295806000
2004-03-12,9476182000
2004-03-15,9353784000
2004-03-16,9566370000
2004-03-17,9965774000
2004-03-18,10184802000
2004-03-19,10107498000
2004-03-22,9933564000
2004-03-23,10191244000
2004-03-24,10184802000
2004-03-25,10023752000
2004-03-26,10249222000
2004-03-29,10436040000
2004-03-30,10506902000
2004-03-31,10764582000
2004-04-01,10886980000
2004-04-02,11402340000
2004-04-05,11569832000
2004-04-06,11273500000
2004-04-07,11138218000
2004-04-08,11176870000
2004-04-12,11073798000
2004-04-13,10951400000
2004-04-14,10622857999
2004-04-15,10313642000
2004-04-16,10249222000
2004-04-19,10184802000
2004-04-20,9901354000
2004-04-21,9907796000
2004-04-22,9920680000
2004-04-23,10010868000
2004-04-26,9965774000
2004-04-27,9843376000
2004-04-28,9199176000
2004-04-29,8799772000
2004-04-30,8774004000
2004-05-03,8831982000
2004-05-04,8831982000
2004-05-05,8947938000
2004-05-06,9108988000
2004-05-07,9263596000
2004-05-10,9212060000
2004-05-11,9308690000
2004-05-12,9057452000
2004-05-13,9038126000
2004-05-14,8928612000
2004-05-17,8735352000
2004-05-18,8799772000
2004-05-19,8947938000
2004-05-20,8696700000
2004-05-21,8767562000
2004-05-24,8851308000
2004-05-25,9224944000
2004-05-26,9418204000
2004-05-27,9566370000
2004-05-28,9682326000
2004-06-01,9592138000
2004-06-02,9501950000
2004-06-03,9854670000
2004-06-04,10184328000
2004-06-07,10450860000
2004-06-08,10443846000
2004-06-09,10044048000
2004-06-10,9959880000
2004-06-14,9777516000
2004-06-15,9861684000
2004-06-16,9805572000
2004-06-17,9567096000
2004-06-18,9602166000
2004-06-21,9630222000
2004-06-22,9721404000
2004-06-23,10142244000
2004-06-24,10079118000
2004-06-25,10359678000
2004-06-28,10156272000
2004-06-29,10689336000
2004-06-30,10738434000
2004-07-01,10499958000
2004-07-02,10296552000
2004-07-06,9903768000
2004-07-07,10072104000
2004-07-08,9903768000
2004-07-09,10100160000
2004-07-12,9784530000
2004-07-13,9889740000
2004-07-14,9405774000
2004-07-15,9461886000
2004-07-16,9279522000
2004-07-19,9237438000
2004-07-20,9539040000
2004-07-21,9146256000
2004-07-22,9475914000
2004-07-23,9111186000
2004-07-26,9005976000
2004-07-27,9097158000
2004-07-28,9034032000
2004-07-29,9482928000
2004-07-30,9489942000
2004-08-02,9370704000
2004-08-03,9090144000
2004-08-04,9069102000
2004-08-05,8928822000
2004-08-06,8718402000
2004-08-09,8557079999
2004-08-10,8655276000
2004-08-11,8241450000
2004-08-12,7757484000
2004-08-13,7792554000
2004-08-16,7827624000
2004-08-17,7806582000
2004-08-18,8192352000
2004-08-19,8045058000
2004-08-20,8388744000
2004-08-23,8529024000
2004-08-24,8346660000
