,IEX
2001-05-15,943212757
2001-05-16,979151130
2001-05-17,973726470
2001-05-18,977116882
2001-05-21,988644285
2001-05-22,992034697
2001-05-23,985253872
2001-05-24,988644285
2001-05-25,980507295
2001-05-29,973726470
2001-05-30,971692222
2001-05-31,975082635
2001-06-01,1017801832
2001-06-04,1013733337
2001-06-05,1018479915
2001-06-06,1008308677
2001-06-07,1018479915
2001-06-08,998137440
2001-06-11,971692222
2001-06-12,976438800
2001-06-13,981863460
2001-06-14,964233315
2001-06-15,965589480
2001-06-18,947959335
2001-06-19,942534675
2001-06-20,966267562
2001-06-21,955418242
2001-06-22,949315500
2001-06-25,933719602
2001-06-26,967623727
2001-06-27,967623727
2001-06-28,988644285
2001-06-29,1024582657
2001-07-02,1003880272
2001-07-03,1007292510
2001-07-05,1007292510
2001-07-06,988866427
2001-07-09,996373350
2001-07-10,984089295
2001-07-11,993643560
2001-07-12,1007292510
2001-07-13,1015481880
2001-07-16,1008657405
2001-07-17,1046192017
2001-07-18,1013434537
2001-07-19,1001150482
2001-07-20,985454190
2001-07-23,973170135
2001-07-24,982724400
2001-07-25,976582372
2001-07-26,976582372
2001-07-27,977947267
2001-07-30,970440345
2001-07-31,982041952
2001-08-01,977947267
2001-08-02,981359505
2001-08-03,989548875
2001-08-06,970440345
2001-08-07,996373350
2001-08-08,981359505
2001-08-09,988866427
2001-08-10,995008455
2001-08-13,995690902
2001-08-14,1004562720
2001-08-15,1005245167
2001-08-16,1016164327
2001-08-17,1010022300
2001-08-20,1016164327
2001-08-21,1031178172
2001-08-22,1063935652
2001-08-23,1073489917
2001-08-24,1091916000
2001-08-27,1089186210
2001-08-28,1092598447
2001-08-29,1096010685
2001-08-30,1080314392
2001-08-31,1085773972
2001-09-04,1113071872
2001-09-05,1126038375
2001-09-06,1096010685
2001-09-07,1049604255
2001-09-10,925398810
2001-09-17,893323777
2001-09-18,861248745
2001-09-19,840775320
2001-09-20,788909310
2001-09-21,777990150
2001-09-24,795733785
2001-09-25,868073220
2001-09-26,794368890
2001-09-27,811430077
2001-09-28,838727977
2001-10-01,822790035
2001-10-02,836480385
2001-10-03,847432665
2001-10-04,846748147
2001-10-05,833742315
2001-10-08,832373280
2001-10-09,821421000
2001-10-10,876182400
2001-10-11,880974022
2001-10-12,865230120
2001-10-15,903563100
2001-10-16,914515380
2001-10-17,868652707
2001-10-18,872759812
2001-10-19,870021742
2001-10-22,919991520
2001-10-23,906301170
2001-10-24,902194065
2001-10-25,922045072
2001-10-26,930943800
2001-10-29,887134680
2001-10-30,887134680
2001-10-31,885081127
2001-11-01,889872750
2001-11-02,877551435
2001-11-05,861123015
2001-11-06,887134680
2001-11-07,863176567
2001-11-08,878920470
2001-11-09,857015910
2001-11-12,839902972
2001-11-13,827581657
2001-11-14,861123015
2001-11-15,880289505
2001-11-16,889872750
2001-11-19,911777310
2001-11-20,917253450
2001-11-21,900140512
2001-11-23,922045072
2001-11-26,939158010
2001-11-27,939842527
2001-11-28,921360555
2001-11-29,946003185
2001-11-30,924783142
2001-12-03,911092792
2001-12-04,930943800
2001-12-05,944634150
2001-12-06,939158010
2001-12-07,959693535
2001-12-10,950794807
2001-12-11,964485157
2001-12-12,958324500
2001-12-13,950794807
2001-12-14,976806472
2001-12-17,1049365327
2001-12-18,1052787915
2001-12-19,1054156950
2001-12-20,1046627257
2001-12-21,1078799580
2001-12-24,1081537650
2001-12-26,1076061510
2001-12-27,1087013790
2001-12-28,1074007957
2001-12-31,1052469652
2002-01-02,1042171515
2002-01-03,1057275450
2002-01-04,1059335077
2002-01-07,1054529280
2002-01-08,1065513960
2002-01-09,1075812097
2002-01-10,1062081247
2002-01-11,1068260130
2002-01-14,1048350397
2002-01-15,1035992632
2002-01-16,1028440665
2002-01-17,1040798430
2002-01-18,1031186835
2002-01-22,1018829070
2002-01-23,1037365717
2002-01-24,1033933005
2002-01-25,1040111887
2002-01-28,1040798430
2002-01-29,1045604227
2002-01-30,1041484972
2002-01-31,1037365717
2002-02-01,1053842737
2002-02-04,1056588907
2002-02-05,1057275450
2002-02-06,1053156195
2002-02-07,1025007952
2002-02-08,1062081247
2002-02-11,1103960340
2002-02-12,1090916032
2002-02-13,1119750817
2002-02-14,1114945020
2002-02-15,1125929700
2002-02-19,1106019967
2002-02-20,1104646882
2002-02-21,1090916032
2002-02-22,1113571935
2002-02-25,1106019967
2002-02-26,1098468000
2002-02-27,1101900712
2002-02-28,1092289117
2002-03-01,1095035287
2002-03-04,1117004647
2002-03-05,1098468000
2002-03-06,1115631562
2002-03-07,1123183530
2002-03-08,1145839432
2002-03-11,1103273797
2002-03-12,1086110235
2002-03-13,1123183530
2002-03-14,1120437360
2002-03-15,1121810445
2002-03-18,1132795125
2002-03-19,1165749165
2002-03-20,1167122250
2002-03-21,1178106930
2002-03-22,1167808792
2002-03-25,1158197197
2002-03-26,1142406720
2002-03-27,1136914380
2002-03-28,1128675870
2002-04-01,1207025820
2002-04-02,1209875940
2002-04-03,1209875940
2002-04-04,1231251840
2002-04-05,1222701480
2002-04-08,1244789910
2002-04-09,1242652320
2002-04-10,1254765330
2002-04-11,1239089670
2002-04-12,1234814489
2002-04-15,1234814489
2002-04-16,1233389430
2002-04-17,1224839070
2002-04-18,1217001239
2002-04-19,1212726060
2002-04-22,1204888230
2002-04-23,1202750640
2002-04-24,1212726060
2002-04-25,1214151120
2002-04-26,1199900520
2002-04-29,1154298600
2002-04-30,1138622940
2002-05-01,1151448480
2002-05-02,1177099560
2002-05-03,1171399320
2002-05-06,1167124140
2002-05-07,1160711370
2002-05-08,1179237150
2002-05-09,1177812090
2002-05-10,1138622940
2002-05-13,1162136430
2002-05-14,1184224860
2002-05-15,1202750640
2002-05-16,1187787510
2002-05-17,1198475460
2002-05-20,1186362450
2002-05-21,1177099560
2002-05-22,1186362450
2002-05-23,1202038110
2002-05-24,1198475460
2002-05-28,1197762930
2002-05-29,1194912810
2002-05-30,1197050400
2002-05-31,1199900520
2002-06-03,1154298600
2002-06-04,1163561489
2002-06-05,1162136430
2002-06-06,1124372340
2002-06-07,1142898120
2002-06-10,1137197880
2002-06-11,1101571380
2002-06-12,1092308490
2002-06-13,1053119340
2002-06-14,1060957170
2002-06-17,1070220060
2002-06-18,1084470660
2002-06-19,1084470660
2002-06-20,1078057890
2002-06-21,1085895720
2002-06-24,1091595960
2002-06-25,1051694280
2002-06-26,1057394520
2002-06-27,1055969460
2002-06-28,1060957170
2002-07-01,1062875812
2002-07-02,1027325700
2002-07-03,1020796087
2002-07-05,1037482875
2002-07-08,1036031850
2002-07-09,1025874675
2002-07-10,1004834812
2002-07-11,982343924
2002-07-12,970010212
2002-07-15,950421375
2002-07-16,915596775
2002-07-17,933734587
2002-07-18,960578550
2002-07-19,951872400
2002-07-22,943166250
2002-07-23,898909987
2002-07-24,949695862
2002-07-25,982343924
2002-07-26,980892900
2002-07-29,1051267612
2002-07-30,1022247112
2002-07-31,1004109300
2002-08-01,992501100
2002-08-02,954774450
2002-08-05,942440737
2002-08-06,995403150
2002-08-07,996128662
2002-08-08,1010638912
2002-08-09,1009913400
2002-08-12,1010638912
2002-08-13,937362150
2002-08-14,961304062
2002-08-15,955499962
2002-08-16,975088800
2002-08-19,986697000
2002-08-20,969284700
2002-08-21,977990850
2002-08-22,974363287
2002-08-23,951146887
2002-08-26,977265337
2002-08-27,967108162
2002-08-28,971461237
2002-08-29,989599050
2002-08-30,1004109300
2002-09-03,998305200
2002-09-04,1004834812
2002-09-05,993226612
2002-09-06,1022247112
2002-09-09,1021521600
2002-09-10,1070856450
2002-09-11,1064326837
2002-09-12,1059248250
2002-09-13,1065777862
2002-09-16,1051267612
2002-09-17,1051267612
2002-09-18,1056346200
2002-09-19,1048365562
2002-09-20,1025149162
2002-09-23,964931625
2002-09-24,946068299
2002-09-25,935185612
2002-09-26,977990850
2002-09-27,902537550
2002-09-30,920846677
2002-10-01,939713512
2002-10-02,928103152
2002-10-03,923023620
2002-10-04,902705490
2002-10-07,888918187
2002-10-08,901254195
2002-10-09,838848510
2002-10-10,880936065
2002-10-11,931731390
2002-10-14,922297972
2002-10-15,980349772
2002-10-16,915767145
2002-10-17,969465060
2002-10-18,986880600
2002-10-21,1011552615
2002-10-22,999942255
2002-10-23,1006473082
2002-10-24,981801067
2002-10-25,973818945
2002-10-28,968739412
2002-10-29,965836822
2002-10-30,975270240
2002-10-31,968739412
2002-11-01,970190707
2002-11-04,983252362
2002-11-05,967288117
2002-11-06,967288117
2002-11-07,953500815
2002-11-08,960757290
2002-11-11,935359627
2002-11-12,935359627
2002-11-13,928828800
2002-11-14,948421282
2002-11-15,972367650
2002-11-18,960031642
2002-11-19,971642002
2002-11-20,983978010
2002-11-21,1013003910
2002-11-22,1031870745
2002-11-25,1067427472
2002-11-26,1073958300
2002-11-27,1114594560
