,KHC
2016-04-05,94938170000
2016-04-06,95364120000
2016-04-07,94317500000
2016-04-08,95497990000
2016-04-11,94816470000
2016-04-12,95327610000
2016-04-13,94195800000
2016-04-14,93915890000
2016-04-15,94986850000
2016-04-18,95339780000
2016-04-19,95291100000
2016-04-20,94828640000
2016-04-21,93392580000
2016-04-22,95047700000
2016-04-25,95814410000
2016-04-26,95777900000
2016-04-27,96264700000
2016-04-28,95364120000
2016-04-29,95011189999
2016-05-02,96775840000
2016-05-03,95753560000
2016-05-04,97335660000
2016-05-05,100974490000
2016-05-06,102228000000
2016-05-09,102544420000
2016-05-10,104832380000
2016-05-11,103688400000
2016-05-12,105075780000
2016-05-13,103603210000
2016-05-16,104503790000
2016-05-17,99988720000
2016-05-18,98796060000
2016-05-19,101011000000
2016-05-20,100305140000
2016-05-23,100779770000
2016-05-24,102495740000
2016-05-25,102556590000
2016-05-26,101996770000
2016-05-27,102349700000
2016-05-31,101242230000
2016-06-01,102167150000
2016-06-02,103177260000
2016-06-03,103810100000
2016-06-06,103432830000
2016-06-07,103140750000
2016-06-08,103664060000
2016-06-09,104199540000
2016-06-10,103858780000
2016-06-13,103384150000
2016-06-14,103298960000
2016-06-15,103250280000
2016-06-16,103785760000
2016-06-17,103225939999
2016-06-20,104053500000
2016-06-21,104284730000
2016-06-22,103700570000
2016-06-23,105112290000
2016-06-24,101899410000
2016-06-27,101777710000
2016-06-28,103165090000
2016-06-29,104783700000
2016-06-30,107680160000
2016-07-01,107388080000
2016-07-05,108085320000
2016-07-06,109303320000
2016-07-07,108779580000
2016-07-08,109437300000
2016-07-11,109425120000
2016-07-12,106940400000
2016-07-13,108426360000
2016-07-14,107598120000
2016-07-15,108231480000
2016-07-18,108523800000
2016-07-19,108365460000
2016-07-20,107391060000
2016-07-21,106745520000
2016-07-22,107378880000
2016-07-25,107683380000
2016-07-26,106039080000
2016-07-27,104297340000
2016-07-28,104699280000
2016-07-29,105223020000
2016-08-01,104711460000
2016-08-02,103712700000
2016-08-03,103408200000
2016-08-04,104187720000
2016-08-05,108146220000
2016-08-08,108097500000
2016-08-09,109352040000
2016-08-10,108828300000
2016-08-11,108937920000
2016-08-12,109084080000
2016-08-15,108499440000
2016-08-16,108353280000
2016-08-17,108901380000
2016-08-18,109327680000
2016-08-19,109522560000
2016-08-22,109583460000
2016-08-23,108974460000
2016-08-24,108341100000
2016-08-25,108280200000
2016-08-26,107391060000
2016-08-29,107878259999
2016-08-30,107147460000
2016-08-31,108998820000
2016-09-01,108986640000
2016-09-02,109144980000
2016-09-06,109303320000
2016-09-07,109364220000
2016-09-08,108633420000
2016-09-09,104711460000
2016-09-12,107866080000
2016-09-13,107512860000
2016-09-14,106794240000
2016-09-15,108609060000
2016-09-16,108328920000
2016-09-19,105929460000
2016-09-20,106112160000
2016-09-21,107074380000
2016-09-22,108462900000
2016-09-23,108194940000
2016-09-26,107829540000
2016-09-27,108682140000
2016-09-28,109071900000
2016-09-29,107878259999
2016-09-30,109023180000
2016-10-03,108410360000
2016-10-04,107120340000
2016-10-05,106341460000
2016-10-06,106475330000
2016-10-07,106365800000
2016-10-10,107704500000
2016-10-11,106171080000
2016-10-12,106049380000
2016-10-13,105939850000
2016-10-14,107741010000
2016-10-17,108106110000
2016-10-18,108227810000
2016-10-19,107193360000
2016-10-20,107047320000
2016-10-21,106998640000
2016-10-24,108203470000
2016-10-25,107534120000
2016-10-26,107193360000
2016-10-27,106718730000
2016-10-28,107193360000
2016-10-31,108252150000
2016-11-01,107546290000
2016-11-02,107278550000
2016-11-03,104966250000
2016-11-04,102288850000
2016-11-07,104698510000
2016-11-08,107509780000
2016-11-09,103371980000
2016-11-10,99088140000
2016-11-11,98832570000
2016-11-14,97457360000
2016-11-15,98747380000
2016-11-16,100280800000
2016-11-17,100816280000
2016-11-18,100439010000
2016-11-21,101789880000
2016-11-22,102337530000
2016-11-23,100329480000
2016-11-25,100950150000
2016-11-28,101278740000
2016-11-29,102228000000
2016-11-30,99368050000
2016-12-01,97956330000
2016-12-02,98467470000
2016-12-05,97700760000
2016-12-06,97311320000
2016-12-07,100950150000
2016-12-08,100171270000
2016-12-09,101960260000
2016-12-12,102471400000
2016-12-13,103371980000
2016-12-14,102666120000
2016-12-15,103895290000
2016-12-16,105221820000
2016-12-19,105392200000
2016-12-20,104637660000
2016-12-21,105404370000
2016-12-22,106219760000
2016-12-23,106572689999
2016-12-27,106584860000
2016-12-28,106256270000
2016-12-29,107010810000
2016-12-30,106268439999
2017-01-03,106524010000
2017-01-04,105915510000
2017-01-05,105307010000
2017-01-06,105039270000
2017-01-09,104747189999
2017-01-10,104552470000
2017-01-11,105586920000
2017-01-12,106390140000
2017-01-13,105915510000
2017-01-17,106998640000
2017-01-18,107521950000
2017-01-19,106913450000
2017-01-20,108252150000
2017-01-23,108069600000
2017-01-24,107935730000
2017-01-25,108118280000
2017-01-26,108811970000
2017-01-27,108836310000
2017-01-30,108410360000
2017-01-31,108665930000
2017-02-01,107594970000
2017-02-02,107838370000
2017-02-03,108641590000
2017-02-06,107947900000
2017-02-07,108081770000
2017-02-08,108544230000
2017-02-09,109262260000
2017-02-10,109773400000
2017-02-13,110235860000
2017-02-14,110515770000
2017-02-15,110868700000
2017-02-16,106219760000
2017-02-17,117623050000
2017-02-21,115456790000
2017-02-22,113619120000
2017-02-23,113107980000
2017-02-24,113278360000
2017-02-27,110272370000
2017-02-28,111367670000
2017-03-01,111270310000
2017-03-02,111087760000
2017-03-03,111355500000
2017-03-06,110941720000
2017-03-07,110503600000
2017-03-08,110625300000
2017-03-09,111392010000
2017-03-10,111367670000
2017-03-13,110966060000
2017-03-14,110820020000
2017-03-15,111769280000
2017-03-16,112901090000
2017-03-17,111939660000
2017-03-20,112402120000
2017-03-21,111842300000
2017-03-22,112316930000
2017-03-23,111976170000
2017-03-24,111574560000
2017-03-27,111051250000
2017-03-28,111245970000
2017-03-29,111343330000
2017-03-30,110868700000
2017-03-31,110515770000
2017-04-03,110911080000
2017-04-04,111105960000
2017-04-05,111349560000
2017-04-06,110777100000
2017-04-07,110472600000
2017-04-10,110704020000
2017-04-11,110630940000
2017-04-12,111970740000
2017-04-13,111447000000
2017-04-17,111544440000
2017-04-18,112665000000
2017-04-19,111873300000
2017-04-20,112104720000
2017-04-21,111568800000
2017-04-24,112738080000
2017-04-25,112409220000
2017-04-26,110740560000
2017-04-27,110630940000
2017-04-28,110095020000
2017-05-01,108974460000
2017-05-02,108402000000
2017-05-03,108572520000
2017-05-04,109254600000
2017-05-05,109169340000
2017-05-08,108986640000
2017-05-09,108645600000
2017-05-10,108803940000
2017-05-11,108743040000
2017-05-12,108341100000
2017-05-15,108950100000
2017-05-16,108535980000
2017-05-17,109023180000
2017-05-18,109814880000
2017-05-19,109961040000
2017-05-22,111057240000
2017-05-23,111897660000
2017-05-24,112774620000
2017-05-25,113042580000
2017-05-26,113261820000
2017-05-30,112616280000
2017-05-31,112299600000
2017-06-01,112945140000
2017-06-02,113931720000
2017-06-05,113809920000
2017-06-06,113529780000
2017-06-07,114211860000
2017-06-08,112750259999
2017-06-09,110630940000
2017-06-12,111142500000
2017-06-13,111556620000
2017-06-14,111398280000
2017-06-15,111629700000
2017-06-16,108901380000
2017-06-19,109437300000
2017-06-20,108743040000
2017-06-21,108889200000
2017-06-22,108523800000
2017-06-23,108219300000
2017-06-26,108328920000
2017-06-27,106587180000
2017-06-28,106964759999
2017-06-29,104455680000
2017-06-30,104309520000
2017-07-03,102884460000
2017-07-05,102056220000
2017-07-06,100874759999
2017-07-07,101142720000
2017-07-10,100813860000
2017-07-11,102007500000
2017-07-12,103164600000
2017-07-13,103347300000
2017-07-14,104321700000
2017-07-17,104260800000
2017-07-18,104260800000
2017-07-19,104370420000
2017-07-20,104626200000
2017-07-21,104942880000
2017-07-24,105015960000
2017-07-25,106477560000
2017-07-26,106769880000
2017-07-27,107415420000
2017-07-28,106745520000
2017-07-31,106526280000
2017-08-01,105564060000
2017-08-02,105807660000
2017-08-03,105369180000
2017-08-04,105551880000
2017-08-07,105990360000
2017-08-08,104942880000
2017-08-09,105308280000
2017-08-10,104614020000
2017-08-11,105320460000
2017-08-14,105990360000
2017-08-15,105649320000
2017-08-16,105357000000
2017-08-17,103663980000
2017-08-18,102908820000
2017-08-21,102981900000
2017-08-22,103590900000
2017-08-23,103225500000
2017-08-24,100850400000
2017-08-25,100606800000
2017-08-28,100046520000
2017-08-29,99193920000
2017-08-30,99790740000
2017-08-31,98353500000
2017-09-01,98475300000
2017-09-05,98840700000
2017-09-06,99059940000
2017-09-07,99218280000
2017-09-08,99534960000
2017-09-11,100545900000
2017-09-12,100095240000
2017-09-13,99766380000
2017-09-14,98999040000
2017-09-15,99181740000
2017-09-18,99145200000
2017-09-19,98450940000
2017-09-20,97281660000
2017-09-21,96234180000
2017-09-22,94419360000
2017-09-25,95515560000
2017-09-26,95722620000
2017-09-27,95284140000
2017-09-28,94967460000
2017-09-29,94455900000
2017-10-02,94830068479
2017-10-03,94793525100
2017-10-04,94732619468
2017-10-05,95317313532
2017-10-06,95232045647
2017-10-09,94196649909
2017-10-10,95183321142
2017-10-11,95244226774
2017-10-12,95195502268
2017-10-13,94696076089
2017-10-16,94586445952
2017-10-17,94452453562
2017-10-18,93916484004
2017-10-19,93149073045
2017-10-20,93441420077
2017-10-23,93867759498
2017-10-24,94062657520
2017-10-25,94196649909
2017-10-26,94160106530
2017-10-27,94160106530
2017-10-30,91687337885
2017-10-31,94196649909
2017-11-01,94647351584
2017-11-02,95049328752
2017-11-03,95012785374
2017-11-06,93794672741
2017-11-07,95232045647
2017-11-08,96937403334
2017-11-09,96730324186
2017-11-10,97107939102
2017-11-13,97266293745
2017-11-14,96693780807
2017-11-15,95962913227
2017-11-16,97059214597
2017-11-17,96998308965
2017-11-20,97363742755
2017-11-21,97461191766
2017-11-22,97229750366
2017-11-24,97156663608
2017-11-27,96973946713
2017-11-28,96206535754
2017-11-29,98776753409
2017-11-30,99117824947
2017-12-01,98922926925
2017-12-04,99787786895
2017-12-05,98228602725
2017-12-06,98045885830
2017-12-07,96669418554
2017-12-08,95597479437
2017-12-11,95463487048
2017-12-12,96169992375
2017-12-13,96571969544
2017-12-14,96206535754
2017-12-15,96888678828
2017-12-18,96681599681
2017-12-19,95646203943
2017-12-20,94257555541
2017-12-21,94866611858
2017-12-22,95305132405
2017-12-26,95146777763
2017-12-27,94988423121
2017-12-28,94915336363
2017-12-29,94720438342
2018-01-02,93887380000
2018-01-03,93875190000
2018-01-04,94972290000
2018-01-05,94886960000
2018-01-08,95667120000
2018-01-09,95837780000
2018-01-10,94947910000
2018-01-11,94021470000
2018-01-12,94289650000
2018-01-16,95862160000
2018-01-17,97605329999
2018-01-18,96630130000
2018-01-19,97105540000
2018-01-22,97727230000
2018-01-23,97849130000
2018-01-24,97349340000
2018-01-25,97117730000
2018-01-26,96776410000
2018-01-29,95593980000
2018-01-30,95691500000
2018-01-31,95557410000
2018-02-01,95776829999
2018-02-02,94094610000
2018-02-05,90522940000
2018-02-06,90583890000
2018-02-07,89657450000
2018-02-08,87256020000
2018-02-09,87012220000
2018-02-12,87536390000
2018-02-13,87414490000
2018-02-14,87670480000
2018-02-15,88633490000
2018-02-16,86305200000
2018-02-20,83733110000
2018-02-21,82245930000
2018-02-22,82453160000
2018-02-23,84135380000
2018-02-26,85013060000
2018-02-27,82733530000
2018-02-28,81733950000
2018-03-01,81538910000
2018-03-02,81880230000
2018-03-05,82197170000
2018-03-06,82611630000
2018-03-07,82233740000
2018-03-08,81660810000
2018-03-09,81953370000
2018-03-12,82526300000
2018-03-13,82124030000
2018-03-14,81161020000
2018-03-15,79795740000
2018-03-16,79673840000
2018-03-19,77955050000
2018-03-20,77016420000
2018-03-21,75565810000
2018-03-22,73786070000
2018-03-23,73176570000
2018-03-26,75151350000
2018-03-27,73993300000
2018-03-28,74810030000
2018-03-29,75931510000
2018-04-02,73213140000
2018-04-03,73432560000
2018-04-04,74822220000
2018-04-05,74736890000
2018-04-06,73798260000
2018-04-09,73932350000
2018-04-10,74663750000
2018-04-11,75017260000
2018-04-12,74285860000
2018-04-13,74261480000
2018-04-16,74590610000
2018-04-17,75200110000
2018-04-18,74103010000
2018-04-19,72810870000
2018-04-20,70970180000
2018-04-23,70311920000
2018-04-24,68910070000
2018-04-25,69300150000
2018-04-26,69885270000
2018-04-27,70287540000
2018-04-30,68727220000
2018-05-01,67898300000
2018-05-02,66069800000
2018-05-03,66984050000
2018-05-04,70714190000
2018-05-07,71713770000
2018-05-08,71628440000
2018-05-09,71287120000
2018-05-10,71969760000
2018-05-11,72213560000
2018-05-14,72262320000
2018-05-15,71969760000
2018-05-16,72274510000
2018-05-17,70775140000
2018-05-18,69227010000
2018-05-21,68812550000
2018-05-22,68971020000
2018-05-23,69458620000
2018-05-24,69556140000
2018-05-25,70421630000
2018-05-29,69970600000
2018-05-30,71725960000
2018-05-31,70068120000
2018-06-01,70275350000
2018-06-04,71213980000
2018-06-05,70604480000
2018-06-06,70604480000
2018-06-07,70299730000
2018-06-08,71274930000
2018-06-11,72993720000
2018-06-12,73286280000
2018-06-13,73261900000
2018-06-14,73956730000
2018-06-15,75102590000
2018-06-18,74200530000
2018-06-19,75748660000
2018-06-20,76845760000
2018-06-21,76272830000
2018-06-22,77052990000
2018-06-25,77187080000
2018-06-26,77052990000
2018-06-27,76419110000
2018-06-28,76370350000
2018-06-29,76577580000
2018-07-02,75687710000
2018-07-03,76358160000
2018-07-05,77955050000
2018-07-06,78540170000
2018-07-09,77979430000
2018-07-10,78016000000
2018-07-11,77699060000
2018-07-12,77577160000
2018-07-13,77833150000
2018-07-16,76358160000
2018-07-17,76857950000
2018-07-18,75078210000
2018-07-19,74773460000
2018-07-20,73981110000
2018-07-23,73505700000
2018-07-24,72737730000
2018-07-25,72944960000
2018-07-26,73725120000
2018-07-27,73456940000
2018-07-30,73481320000
2018-07-31,73444750000
2018-08-01,72262320000
2018-08-02,72408600000
2018-08-03,78601120000
2018-08-06,75943700000
2018-08-07,74749080000
2018-08-08,73481320000
2018-08-09,73140000000
2018-08-10,72713350000
2018-08-13,72262320000
2018-08-14,72554880000
2018-08-15,72030710000
2018-08-16,73176570000
2018-08-17,74383380000
2018-08-20,73920160000
2018-08-21,72944960000
2018-08-22,72591450000
2018-08-23,71677200000
2018-08-24,71957570000
2018-08-27,72615830000
2018-08-28,71665010000
2018-08-29,72286700000
2018-08-30,70970180000
2018-08-31,71031130000
2018-09-04,69068540000
2018-09-05,69483000000
2018-09-06,69239200000
2018-09-07,68983210000
2018-09-10,69775560000
2018-09-11,70409440000
2018-09-12,72067280000
2018-09-13,72518310000
2018-09-14,71884430000
2018-09-17,71128650000
2018-09-18,69604900000
2018-09-19,69348910000
2018-09-20,70177830000
2018-09-21,69629280000
2018-09-24,68897880000
2018-09-25,67849539999
2018-09-26,67252230000
2018-09-27,67093760000
2018-09-28,67179090000
2018-10-01,67741448693
2018-10-02,68217126852
2018-10-03,67814629948
2018-10-04,67717054941
2018-10-05,68168339349
2018-10-08,69595373828
2018-10-09,68387883115
2018-10-10,67985386210
2018-10-11,65643586039
2018-10-12,66155854827
2018-10-15,66436382972
2018-10-16,67619479934
2018-10-17,68790380019
2018-10-18,67741448693
2018-10-19,70205217622
2018-10-22,68558639377
2018-10-23,69034317537
2018-10-24,68034173714
2018-10-25,68278111232
2018-10-26,66655926738
2018-10-29,67717054941
2018-10-30,68119551845
2018-10-31,67046226767
2018-11-01,68546442501
2018-11-02,61874751389
2018-11-05,63899432787
2018-11-06,65204498507
2018-11-07,65314270390
2018-11-08,65021545369
2018-11-09,65850932930
2018-11-12,65460632901
2018-11-13,65106923500
2018-11-14,64204354684
2018-11-15,63411557752
2018-11-16,63521329635
2018-11-19,63289588993
2018-11-20,62130885783
2018-11-21,62399217053
2018-11-23,62252854542
2018-11-26,62289445170
2018-11-27,63179817110
2018-11-28,62423610805
2018-11-29,62435807680
2018-11-30,62350429549
2018-12-03,62716335826
2018-12-04,60959985698
2018-12-06,60398929407
2018-12-07,59410982460
2018-12-10,58874319921
2018-12-11,59008485555
2018-12-12,58862123045
2018-12-13,59118257438
2018-12-14,57886372973
2018-12-17,57105772916
2018-12-18,56288582232
2018-12-19,54995713388
2018-12-20,54702988366
2018-12-21,53727238295
2018-12-24,51885510036
2018-12-26,52800275727
2018-12-27,53373528894
2018-12-28,53141788252
2018-12-31,52508800000
2019-01-02,52874800000
2019-01-03,52838200000
2019-01-04,54277800000
2019-01-07,55302600000
2019-01-08,55351400000
2019-01-09,55058600000
2019-01-10,55632000000
2019-01-11,55644200000
2019-01-14,56425000000
2019-01-15,57230199999
2019-01-16,57144800000
2019-01-17,57437600000
2019-01-18,57986600000
2019-01-22,57681600000
2019-01-23,57413200000
2019-01-24,56778800000
2019-01-25,57035000000
2019-01-28,57218000000
2019-01-29,57193600000
2019-01-30,57035000000
2019-01-31,58633200000
2019-02-01,58267200000
2019-02-04,58230600000
2019-02-05,58730800000
2019-02-06,58181800000
2019-02-07,57620600000
2019-02-08,57901200000
2019-02-11,57742600000
2019-02-12,58694200000
2019-02-13,58120800000
2019-02-14,57754800000
2019-02-15,58096400000
2019-02-19,58279400000
2019-02-20,58877200000
2019-02-21,58779600000
2019-02-22,42639000000
2019-02-25,41760600000
2019-02-26,40406400000
2019-02-27,39284000000
2019-02-28,40491800000
2019-03-01,39528000000
2019-03-04,40540600000
2019-03-05,40308800000
2019-03-06,40089200000
2019-03-07,38905800000
2019-03-08,39162000000
2019-03-11,39247400000
2019-03-12,39027800000
2019-03-13,39406000000
2019-03-14,38881400000
2019-03-15,39149800000
2019-03-18,39076600000
2019-03-19,39198600000
2019-03-20,39064400000
2019-03-21,39955000000
2019-03-22,39393800000
2019-03-25,39650000000
2019-03-26,40138000000
2019-03-27,39820800000
2019-03-28,40125800000
2019-03-29,39833000000
2019-04-01,39650000000
2019-04-02,39137600000
2019-04-03,39345000000
2019-04-04,39881800000
2019-04-05,40467400000
2019-04-08,40491800000
2019-04-09,40199000000
2019-04-10,40235600000
2019-04-11,40247800000
2019-04-12,40345400000
2019-04-15,40430800000
2019-04-16,40308800000
2019-04-17,40125800000
2019-04-18,40211200000
2019-04-22,40138000000
2019-04-23,40382000000
2019-04-24,39967200000
2019-04-25,39674400000
2019-04-26,40333200000
2019-04-29,40589400000
2019-04-30,40552800000
2019-05-01,40247800000
2019-05-02,39259600000
2019-05-03,39747600000
2019-05-06,39979400000
2019-05-07,39650000000
2019-05-08,39564600000
2019-05-09,39747600000
2019-05-10,39833000000
2019-05-13,39003400000
2019-05-14,39369400000
2019-05-15,39528000000
2019-05-16,39601200000
2019-05-17,39686600000
2019-05-20,38783800000
2019-05-21,39015600000
2019-05-22,38893600000
2019-05-23,38369000000
2019-05-24,37954200000
2019-05-28,35453200000
2019-05-29,34989600000
2019-05-30,33428000000
2019-05-31,33733000000
2019-06-03,34672400000
2019-06-04,34977400000
2019-06-05,34733400000
2019-06-06,34916400000
2019-06-07,35062800000
2019-06-10,36978200000
2019-06-11,36892800000
2019-06-12,36758600000
2019-06-13,37100200000
2019-06-14,36978200000
2019-06-17,36807400000
2019-06-18,36929400000
2019-06-19,37771200000
2019-06-20,37978600000
2019-06-21,38405600000
2019-06-24,37234400000
2019-06-25,37429600000
2019-06-26,37624800000
2019-06-27,37539400000
2019-06-28,37868800000
2019-07-01,37191660000
2019-07-02,37264920000
2019-07-03,38156250000
2019-07-05,37838790000
2019-07-08,37472490000
2019-07-09,37240500000
2019-07-10,38217300000
2019-07-11,37423650000
2019-07-12,37606800000
2019-07-15,37460280000
2019-07-16,37020720000
2019-07-17,37167240000
2019-07-18,37912050000
2019-07-19,38510340000
2019-07-22,38449290000
2019-07-23,39010950000
2019-07-24,39157470000
2019-07-25,38522550000
2019-07-26,38888850000
2019-07-29,38778960000
2019-07-30,38876640000
2019-07-31,39084210000
2019-08-01,39719130000
2019-08-02,39328410000
2019-08-05,38388240000
2019-08-06,37338180000
2019-08-07,37692270000
2019-08-08,34456620000
2019-08-09,32356500000
2019-08-12,32100090000
2019-08-13,31697160000
2019-08-14,31159920000
2019-08-15,30598260000
2019-08-16,31025610000
2019-08-19,31391910000
2019-08-20,30695940000
2019-08-21,30854670000
2019-08-22,31282020000
2019-08-23,30927929999
2019-08-26,31233179999
2019-08-27,30525000000
2019-08-28,30732570000
2019-08-29,30927929999
2019-08-30,31159920000
2019-09-03,31819260000
2019-09-04,32063460000
2019-09-05,32466390000
2019-09-06,33308880000
2019-09-09,34285679999
2019-09-10,35360160000
2019-09-11,35750880000
2019-09-12,35445630000
2019-09-13,35714250000
2019-09-16,36166020000
2019-09-17,34627560000
2019-09-18,34688610000
2019-09-19,34371150000
2019-09-20,34358940000
2019-09-23,34432200000
2019-09-24,34102530000
2019-09-25,34358940000
2019-09-26,34200210000
2019-09-27,33992640000
2019-09-30,34114740000
2019-10-01,33382140000
2019-10-02,32417550000
2019-10-03,32405340000
2019-10-04,32942580000
2019-10-07,32893740000
2019-10-08,32612910000
2019-10-09,32637330000
2019-10-10,32893740000
2019-10-11,33064679999
2019-10-14,33357720000
2019-10-15,33565289999
2019-10-16,33504240000
2019-10-17,33907170000
2019-10-18,33711810000
2019-10-21,33956010000
2019-10-22,34798500000
2019-10-23,34932810000
2019-10-24,34737450000
2019-10-25,34651980000
2019-10-28,34639770000
2019-10-29,34358940000
2019-10-30,34798500000
2019-10-31,39474930000
2019-11-01,39816810000
2019-11-04,40695930000
2019-11-05,40183109999
2019-11-06,40463940000
2019-11-07,39951120000
2019-11-08,40109850000
2019-11-11,39999960000
2019-11-12,40268579999
2019-11-13,40659300000
2019-11-14,37802160000
2019-11-15,38217300000
2019-11-18,37863210000
2019-11-19,38217300000
2019-11-20,37960890000
2019-11-21,36923040000
2019-11-22,37289340000
2019-11-25,37924260000
2019-11-26,37203870000
2019-11-27,37081770000
2019-11-29,37240500000
2019-12-02,37789950000
2019-12-03,37606800000
2019-12-04,37887630000
2019-12-05,38156250000
2019-12-06,37960890000
2019-12-09,38986530000
2019-12-10,38925480000
2019-12-11,38583600000
2019-12-12,38998740000
2019-12-13,38583600000
2019-12-16,38754540000
2019-12-17,38608020000
2019-12-18,38766750000
2019-12-19,38949900000
2019-12-20,39340620000
2019-12-23,38974320000
2019-12-24,39047580000
2019-12-26,38620230000
2019-12-27,38608020000
2019-12-30,38749620000
2019-12-31,39262860000
2020-01-02,38627420000
2020-01-03,38175280000
2020-01-06,38260820000
2020-01-07,37588720000
2020-01-08,37380980000
2020-01-09,37368760000
2020-01-10,37515400000
2020-01-13,38077520000
2020-01-14,38774060000
2020-01-15,38615200000
2020-01-16,38774060000
2020-01-17,37918660000
2020-01-21,37894220000
2020-01-22,37478740000
2020-01-23,37490960000
2020-01-24,37161020000
2020-01-27,37087700000
2020-01-28,36818860000
2020-01-29,36195640000
2020-01-30,36586680000
2020-01-31,35682400000
2020-02-03,35621300000
2020-02-04,35621300000
2020-02-05,35890140000
2020-02-06,35511320000
2020-02-07,36097880000
2020-02-10,36281180000
2020-02-11,36672220000
2020-02-12,36708880000
2020-02-13,33934940000
2020-02-14,32847360000
2020-02-18,33397259999
2020-02-19,33372820000
