,ALL
2001-08-14,24395373000
2001-08-15,24302124000
2001-08-16,24287778000
2001-08-17,24251913000
2001-08-20,24754023000
2001-08-21,24682292999
2001-08-22,24531660000
2001-08-23,24603389999
2001-08-24,24746850000
2001-08-27,24624909000
2001-08-28,24639255000
2001-08-29,24567525000
2001-08-30,24567525000
2001-08-31,24337989000
2001-09-04,23993685000
2001-09-05,24187356000
2001-09-06,24144317999
2001-09-07,23800014000
2001-09-10,24445584000
2001-09-17,24029550000
2001-09-18,23505921000
2001-09-19,23505921000
2001-09-20,22774275000
2001-09-21,22774275000
2001-09-24,24244739999
2001-09-25,24280605000
2001-09-26,24639255000
2001-09-27,25528707000
2001-09-28,26791155000
2001-10-01,25614083000
2001-10-02,26660282000
2001-10-03,26681633000
2001-10-04,26759920000
2001-10-05,26318665999
2001-10-08,25898763000
2001-10-09,25998401000
2001-10-10,25820476000
2001-10-11,23379345000
2001-10-12,24091045000
2001-10-15,23991407000
2001-10-16,24183565999
2001-10-17,23920237000
2001-10-18,23229888000
2001-10-19,23051963000
2001-10-22,23898886000
2001-10-23,23614206000
2001-10-24,23343759999
2001-10-25,23201420000
2001-10-26,23144484000
2001-10-29,23051963000
2001-10-30,22518188000
2001-10-31,22333146000
2001-11-01,22610709000
2001-11-02,22731698000
2001-11-05,23301058000
2001-11-06,23201420000
2001-11-07,23130250000
2001-11-08,22995027000
2001-11-09,22610709000
2001-11-12,22639177000
2001-11-13,22987909999
2001-11-14,22525305000
2001-11-15,22838453000
2001-11-16,23094665000
2001-11-19,23130250000
2001-11-20,23237005000
2001-11-21,23265473000
2001-11-23,23521684999
2001-11-26,23685376000
2001-11-27,23977173000
2001-11-28,23671142000
2001-11-29,24276087000
2001-11-30,24368608000
2001-12-03,24162215000
2001-12-04,23343759999
2001-12-05,23457632000
2001-12-06,23649790999
2001-12-07,22881155000
2001-12-10,22859804000
2001-12-11,22418550000
2001-12-12,22261976000
2001-12-13,22076934000
2001-12-14,22496837000
2001-12-17,23194303000
2001-12-18,23244121999
2001-12-19,22923857000
2001-12-20,23002144000
2001-12-21,22774400000
2001-12-24,22774400000
2001-12-26,22987909999
2001-12-27,23422046999
2001-12-28,24098162000
2001-12-31,23984290000
2002-01-02,23621323000
2002-01-03,23187186000
2002-01-04,23265473000
2002-01-07,23521684999
2002-01-08,23486100000
2002-01-09,23493217000
2002-01-10,23116015999
2002-01-11,22952325000
2002-01-14,23023495000
2002-01-15,23500334000
2002-01-16,23237005000
2002-01-17,23016378000
2002-01-18,22738815000
2002-01-22,22575124000
2002-01-23,22681879000
2002-01-24,22774400000
2002-01-25,23059080000
2002-01-28,22888271999
2002-01-29,22461252000
2002-01-30,23002144000
2002-01-31,22959442000
2002-02-01,23272590000
2002-02-04,23130250000
2002-02-05,23379345000
2002-02-06,22916740000
2002-02-07,23763663000
2002-02-08,24005640999
2002-02-11,24126630000
2002-02-12,24026992000
2002-02-13,24881032000
2002-02-14,24994904000
2002-02-15,24197800000
2002-02-19,23699609999
2002-02-20,24525182000
2002-02-21,24041226000
2002-02-22,24333023000
2002-02-25,24809862000
2002-02-26,24916617000
2002-02-27,25172829000
2002-02-28,24923734000
2002-03-01,25386339000
2002-03-04,25756423000
2002-03-05,25848944000
2002-03-06,26140740999
2002-03-07,25571381000
2002-03-08,25991284000
2002-03-11,26340017000
2002-03-12,26283081000
2002-03-13,26211911000
2002-03-14,26482357000
2002-03-15,26745686000
2002-03-18,26631814000
2002-03-19,26859558000
2002-03-20,26162092000
2002-03-21,26304432000
2002-03-22,26283081000
2002-03-25,25912996999
2002-03-26,26169209000
2002-03-27,26617580000
2002-03-28,26880909000
2002-04-01,26725077000
2002-04-02,26781773000
2002-04-03,26746338000
2002-04-04,27065253000
2002-04-05,27235341000
2002-04-08,27412516000
2002-04-09,27901519000
2002-04-10,27795214000
2002-04-11,27582604000
2002-04-12,27788127000
2002-04-15,27391255000
2002-04-16,27674734999
2002-04-17,29099222000
2002-04-18,28546436000
2002-04-19,28766133000
2002-04-22,28773220000
2002-04-23,28539349000
2002-04-24,28539349000
2002-04-25,28149564000
2002-04-26,28319652000
2002-04-29,28021998000
2002-04-30,28163738000
2002-05-01,27908606000
2002-05-02,28248782000
2002-05-03,28099955000
2002-05-06,27639300000
2002-05-07,27603865000
2002-05-08,27568430000
2002-05-09,27610952000
2002-05-10,27355820000
2002-05-13,27724344000
2002-05-14,27922780000
2002-05-15,27695996000
2002-05-16,27646387000
2002-05-17,27851909999
2002-05-20,27277863000
2002-05-21,26916425999
2002-05-22,27284950000
2002-05-23,27306211000
2002-05-24,27249515000
2002-05-28,27143209999
2002-05-29,27235341000
2002-05-30,27341646000
2002-05-31,27270775999
2002-06-03,26760512000
2002-06-04,26824295000
2002-06-05,26640033000
2002-06-06,26576250000
2002-06-07,26668381000
2002-06-10,27001470000
2002-06-11,26406162000
2002-06-12,26498293000
2002-06-13,26129769000
2002-06-14,25789593000
2002-06-17,26640033000
2002-06-18,26916425999
2002-06-19,26767599000
2002-06-20,26519554000
2002-06-21,26930600000
2002-06-24,26895165000
2002-06-25,26505380000
2002-06-26,26051812000
2002-06-27,26469945000
2002-06-28,26207725999
2002-07-01,26205610000
2002-07-02,25888180000
2002-07-03,25648344000
2002-07-05,26092746000
2002-07-08,25979882000
2002-07-09,25867018000
2002-07-10,25218050000
2002-07-11,24992322000
2002-07-12,24942944000
2002-07-15,24583190000
2002-07-16,24138788000
2002-07-17,24040032000
2002-07-18,24689000000
2002-07-19,24745432000
2002-07-22,24336300000
2002-07-23,23821358000
2002-07-24,24689000000
2002-07-25,24336300000
2002-07-26,24752486000
2002-07-29,26099800000
2002-07-30,26318474000
2002-07-31,26812254000
2002-08-01,26911010000
2002-08-02,26304366000
2002-08-05,25895234000
2002-08-06,26205610000
2002-08-07,26417230000
2002-08-08,26776984000
2002-08-09,26664119999
2002-08-12,26508932000
2002-08-13,25916396000
2002-08-14,26438391999
2002-08-15,26572418000
2002-08-16,26741713999
2002-08-19,27094413999
2002-08-20,26981550000
2002-08-21,26748768000
2002-08-22,27327196000
2002-08-23,27052090000
2002-08-26,27263710000
2002-08-27,26776984000
2002-08-28,26142124000
2002-08-29,26396068000
2002-08-30,26254988000
2002-09-03,25690668000
2002-09-04,26099800000
2002-09-05,26156232000
2002-09-06,26276150000
2002-09-09,26452500000
2002-09-10,26381960000
2002-09-11,26332582000
2002-09-12,26198556000
2002-09-13,26459554000
2002-09-16,26170340000
2002-09-17,26078638000
2002-09-18,26050422000
2002-09-19,25613074000
2002-09-20,25189834000
2002-09-23,25218050000
2002-09-24,24512650000
2002-09-25,24858296000
2002-09-26,25486102000
2002-09-27,25048754000
2002-09-30,25002314999
2002-10-01,25452427000
2002-10-02,24538137000
2002-10-03,24615500000
2002-10-04,24425608999
2002-10-07,23982530000
2002-10-08,24327147000
2002-10-09,23497252999
2002-10-10,24615500000
2002-10-11,25424295000
2002-10-14,25389130000
2002-10-15,26134627999
2002-10-16,26422981000
2002-10-17,28040571000
2002-10-18,28441452000
2002-10-21,29046289999
2002-10-22,28835300000
2002-10-23,29060356000
2002-10-24,28272660000
2002-10-25,28448485000
2002-10-28,28286726000
2002-10-29,27780350000
2002-10-30,28124967000
2002-10-31,27977274000
2002-11-01,27674855000
2002-11-04,27590458999
2002-11-05,27189577999
2002-11-06,27850680000
2002-11-07,27702987000
2002-11-08,28132000000
2002-11-11,27808482000
2002-11-12,27569360000
2002-11-13,27794416000
2002-11-14,27597492000
2002-11-15,28096835000
2002-11-18,28082769000
2002-11-19,28342989999
2002-11-20,28174198000
2002-11-21,27604525000
2002-11-22,27653756000
2002-11-25,27590458999
2002-11-26,26985621000
2002-11-27,27407601000
2002-11-29,27449799000
2002-12-02,27288039999
2002-12-03,27400568000
2002-12-04,27182545000
2002-12-05,26964522000
2002-12-06,26788697000
2002-12-09,26619905000
2002-12-10,27041885000
2002-12-11,27154413000
2002-12-12,26887158999
2002-12-13,26767598000
2002-12-16,27062983999
2002-12-17,26830895000
2002-12-18,26711333999
2002-12-19,26690235000
2002-12-20,26894192000
2002-12-23,26767598000
2002-12-24,26711333999
2002-12-26,26795730000
2002-12-27,26401882000
2002-12-30,26233089999
2002-12-31,26015067000
2003-01-02,26697268000
2003-01-03,26746499000
2003-01-06,27070017000
2003-01-07,26605839000
2003-01-08,26437047000
2003-01-09,26795730000
2003-01-10,26830895000
2003-01-13,26809796000
2003-01-14,27020786000
2003-01-15,26387816000
2003-01-16,26331552000
2003-01-17,26387816000
2003-01-21,25916605000
2003-01-22,25508691000
2003-01-23,25009348000
2003-01-24,24116157000
2003-01-27,24158355000
2003-01-28,24221652000
2003-01-29,24299014999
2003-01-30,24390444000
2003-01-31,24749127000
2003-02-03,24742094000
2003-02-04,24256817000
2003-02-05,24186487000
2003-02-06,22519666000
2003-02-07,22097686000
2003-02-10,22386039000
2003-02-11,22153950000
2003-02-12,21844498000
2003-02-13,22294610000
2003-02-14,22554831000
2003-02-18,22287577000
2003-02-19,22118785000
2003-02-20,22125818000
2003-02-21,22639227000
2003-02-24,22393072000
2003-02-25,22709557000
2003-02-26,22153950000
2003-02-27,22301643000
2003-02-28,22245379000
2003-03-03,22421204000
2003-03-04,22379006000
2003-03-05,22632194000
2003-03-06,22421204000
2003-03-07,22597029000
2003-03-10,21985158000
2003-03-11,21703838000
2003-03-12,21577244000
2003-03-13,22301643000
2003-03-14,22435270000
2003-03-17,23166702000
2003-03-18,23342527000
2003-03-19,23342527000
2003-03-20,23546483999
2003-03-21,23778573000
2003-03-24,23096372000
2003-03-25,23138570000
2003-03-26,23054174000
2003-03-27,23166702000
2003-03-28,23208900000
2003-03-31,23351680000
2003-04-01,24069760000
2003-04-02,24421760000
2003-04-03,24421760000
2003-04-04,24752639999
2003-04-07,24745600000
2003-04-08,24794880000
2003-04-09,24879360000
2003-04-10,24794880000
2003-04-11,24710400000
2003-04-14,25336960000
2003-04-15,25301760000
2003-04-16,25766400000
2003-04-17,26378880000
2003-04-21,26245120000
2003-04-22,26885760000
2003-04-23,27040639999
2003-04-24,26477440000
2003-04-25,26442240000
2003-04-28,26752000000
2003-04-29,26329600000
2003-04-30,26604160000
2003-05-01,26885760000
2003-05-02,26998400000
2003-05-05,26794240000
2003-05-06,26048000000
2003-05-07,25977600000
2003-05-08,25520000000
2003-05-09,25569280000
2003-05-12,25667840000
2003-05-13,25611520000
2003-05-14,25688960000
2003-05-15,25752320000
2003-05-16,25850880000
2003-05-19,25463680000
2003-05-20,25104639999
2003-05-21,24921600000
2003-05-22,24689280000
2003-05-23,24625919999
2003-05-27,24851199999
2003-05-28,24893440000
2003-05-29,24640000000
2003-05-30,25336960000
2003-06-02,25372160000
2003-06-03,25252480000
2003-06-04,25351040000
2003-06-05,25168000000
2003-06-06,25386240000
2003-06-09,24914560000
2003-06-10,24816000000
2003-06-11,24893440000
2003-06-12,25238400000
2003-06-13,25379199999
2003-06-16,26048000000
2003-06-17,25991680000
2003-06-18,25787520000
2003-06-19,25484800000
2003-06-20,25731199999
2003-06-23,25477760000
2003-06-24,25745280000
2003-06-25,25696000000
2003-06-26,25815680000
2003-06-27,25555199999
2003-06-30,25072645000
2003-07-01,25986935000
2003-07-02,26549575000
2003-07-03,26444080000
2003-07-07,26746499000
2003-07-08,26901225000
2003-07-09,27020786000
2003-07-10,26415948000
2003-07-11,26563641000
2003-07-14,26584739999
2003-07-15,26500344000
2003-07-16,26373750000
2003-07-17,27597492000
2003-07-18,27632657000
2003-07-21,27295073000
2003-07-22,27154413000
2003-07-23,26915291000
2003-07-24,26957489000
2003-07-25,27428700000
2003-07-28,26971555000
2003-07-29,26830895000
2003-07-30,26887158999
2003-07-31,26746499000
2003-08-01,26415948000
2003-08-04,25853308000
2003-08-05,25571988000
2003-08-06,25628252000
2003-08-07,25846275000
2003-08-08,25860341000
2003-08-11,25353964999
2003-08-12,25290668000
2003-08-13,25241437000
2003-08-14,25417262000
2003-08-15,25459460000
2003-08-18,25445394000
2003-08-19,25332866000
2003-08-20,25543856000
2003-08-21,25888473000
2003-08-22,25508691000
2003-08-25,25360998000
2003-08-26,25382097000
2003-08-27,24974183000
2003-08-28,25009348000
2003-08-29,25142975000
2003-09-02,25438361000
2003-09-03,25733747000
2003-09-04,25881439999
2003-09-05,25881439999
2003-09-08,26085397000
2003-09-09,25965836000
2003-09-10,26036166000
2003-09-11,25719681000
2003-09-12,25311767000
2003-09-15,25009348000
2003-09-16,25923638000
2003-09-17,25628252000
2003-09-18,25986935000
2003-09-19,26359683999
2003-09-22,26176826000
2003-09-23,26338585000
2003-09-24,25811110000
2003-09-25,25663417000
2003-09-26,25670450000
2003-09-29,25747813000
2003-09-30,25735385000
2003-10-01,26277849999
2003-10-02,26334210000
2003-10-03,26517380000
2003-10-06,26616010000
2003-10-07,26771000000
2003-10-08,26975305000
2003-10-09,26961215000
2003-10-10,26735775000
2003-10-13,26735775000
2003-10-14,27264150000
2003-10-15,27595265000
2003-10-16,28109550000
2003-10-17,28215224999
2003-10-20,28271585000
2003-10-21,28356125000
2003-10-22,28172955000
2003-10-23,28172955000
2003-10-24,28250450000
2003-10-27,28067280000
2003-10-28,28010920000
2003-10-29,28349080000
2003-10-30,27891155000
2003-10-31,27827750000
2003-11-03,28236360000
2003-11-04,28377260000
2003-11-05,28475890000
2003-11-06,28518159999
2003-11-07,28518159999
2003-11-10,28532250000
2003-11-11,28673150000
2003-11-12,28504070000
2003-11-13,28356125000
2003-11-14,28799960000
2003-11-17,28581565000
2003-11-18,28060235000
2003-11-19,28039099999
2003-11-20,28130685000
2003-11-21,28194090000
2003-11-24,28440665000
2003-11-25,28454755000
2003-11-26,28546340000
2003-11-28,28447710000
2003-12-01,28912680000
2003-12-02,28757690000
2003-12-03,28468844999
2003-12-04,28687240000
2003-12-05,28680195000
2003-12-08,28863365000
2003-12-09,28778825000
2003-12-10,28680195000
2003-12-11,29412875000
2003-12-12,29518550000
2003-12-15,29166300000
2003-12-16,29412875000
2003-12-17,29377650000
2003-12-18,29779215000
2003-12-19,29948295000
2003-12-22,29842620000
2003-12-23,29666495000
2003-12-24,29779215000
2003-12-26,29821485000
2003-12-29,30004655000
2003-12-30,30314635000
2003-12-31,30307590000
2004-01-02,30617570000
2004-01-05,30314635000
2004-01-06,30089195000
2004-01-07,30335770000
2004-01-08,30561210000
2004-01-09,31012090000
2004-01-12,31230485000
2004-01-13,31195260000
2004-01-14,31427745000
2004-01-15,31427745000
2004-01-16,31491150000
2004-01-20,31096630000
2004-01-21,31815219999
2004-01-22,31688409999
2004-01-23,31625005000
2004-01-26,32153380000
2004-01-27,31836355000
2004-01-28,31730680000
2004-01-29,31582735000
2004-01-30,32026570000
2004-02-02,32350640000
2004-02-03,32012480000
2004-02-04,31554555000
2004-02-05,31956120000
2004-02-06,32766295000
2004-02-09,32625395000
2004-02-10,32857880000
2004-02-11,33139680000
2004-02-12,32808565000
2004-02-13,32921284999
2004-02-17,32864925000
2004-02-18,32738115000
2004-02-19,32724025000
2004-02-20,32794474999
2004-02-23,32583125000
2004-02-24,32364730000
2004-02-25,32068840000
2004-02-26,32223830000
2004-02-27,32146335000
2004-03-01,31787040000
2004-03-02,31399565000
2004-03-03,31336159999
2004-03-04,31350250000
2004-03-05,31315025000
2004-03-08,31702500000
2004-03-09,31801130000
2004-03-10,31596825000
2004-03-11,31033224999
2004-03-12,31455925000
2004-03-15,30955730000
2004-03-16,31251620000
2004-03-17,31392520000
2004-03-18,31554555000
2004-03-19,31533420000
2004-03-22,31251620000
2004-03-23,31315025000
2004-03-24,30835965000
2004-03-25,31660230000
2004-03-26,31533420000
2004-03-29,31956120000
2004-03-30,31956120000
2004-03-31,31822000000
2004-04-01,32333000000
2004-04-02,32277000000
2004-04-05,32550000000
2004-04-06,32311999999
2004-04-07,32095000000
2004-04-08,33495000000
2004-04-12,33235999999
2004-04-13,32865000000
2004-04-14,32928000000
2004-04-15,32669000000
2004-04-16,33040000000
2004-04-19,32928000000
2004-04-20,32368000000
2004-04-21,32200000000
2004-04-22,32683000000
2004-04-23,32550000000
2004-04-26,32486999999
2004-04-27,32774000000
2004-04-28,32354000000
2004-04-29,32179000000
2004-04-30,32130000000
2004-05-03,32409999999
2004-05-04,32347000000
2004-05-05,32228000000
2004-05-06,31927000000
2004-05-07,31346000000
2004-05-10,30940000000
2004-05-11,30940000000
2004-05-12,30667000000
2004-05-13,30856000000
2004-05-14,30590000000
2004-05-17,30352000000
2004-05-18,30282000000
2004-05-19,30254000000
2004-05-20,30646000000
2004-05-21,30569000000
2004-05-24,30590000000
2004-05-25,30919000000
2004-05-26,30793000000
2004-05-27,30870000000
2004-05-28,30785999999
2004-06-01,30779000000
2004-06-02,30954000000
2004-06-03,30422000000
2004-06-04,30639000000
2004-06-07,31220000000
2004-06-08,31444000000
2004-06-09,31346000000
2004-06-10,31611999999
2004-06-14,31339000000
2004-06-15,31717000000
2004-06-16,31549000000
2004-06-17,31822000000
2004-06-18,31990000000
2004-06-21,31969000000
2004-06-22,32144000000
2004-06-23,32311999999
2004-06-24,32459000000
2004-06-25,32130000000
2004-06-28,32081000000
2004-06-29,32165000000
2004-06-30,32217254999
2004-07-01,32217254999
2004-07-02,32044229999
2004-07-06,32127282000
2004-07-07,32251860000
2004-07-08,31954257000
2004-07-09,32251860000
2004-07-12,32556384000
2004-07-13,32445648000
2004-07-14,32570226000
2004-07-15,32348754000
2004-07-16,31975020000
2004-07-19,32957802000
2004-07-20,32279544000
2004-07-21,31905810000
2004-07-22,31712022000
2004-07-23,31850442000
2004-07-26,32113440000
2004-07-27,32424885000
2004-07-28,32542542000
2004-07-29,32501016000
2004-07-30,32584068000
2004-08-02,32549463000
2004-08-03,32514857999
2004-08-04,32611752000
2004-08-05,32334912000
2004-08-06,31988862000
2004-08-09,32189571000
2004-08-10,32687882999
2004-08-11,32860907999
2004-08-12,32238018000
2004-08-13,31788153000
2004-08-16,32217254999
2004-08-17,31919652000
2004-08-18,32438727000
2004-08-19,32584068000
2004-08-20,32888592000
2004-08-23,32985485999
