,KBH
2000-10-10,961510000
2000-10-11,928643840
2000-10-12,891582000
2000-10-13,874100000
2000-10-16,928643840
2000-10-17,906966160
2000-10-18,876197840
2000-10-19,900672640
2000-10-20,906966160
2000-10-23,885288480
2000-10-24,926546000
2000-10-25,924448160
2000-10-26,948223680
2000-10-27,965705680
2000-10-30,1007662480
2000-10-31,1040528640
2000-11-01,1051017840
2000-11-02,1090177520
2000-11-03,1103463840
2000-11-06,1116750160
2000-11-07,1107659520
2000-11-08,1118848000
2000-11-09,1095072480
2000-11-10,1046822160
2000-11-13,1072695520
2000-11-14,1090177520
2000-11-15,1123043680
2000-11-16,1105561680
2000-11-17,1110456640
2000-11-20,1068499840
2000-11-21,1105561680
2000-11-22,1079688320
2000-11-24,1103463840
2000-11-27,1132134320
2000-11-28,1112554480
2000-11-29,1105561680
2000-11-30,1097170320
2000-12-01,1112554480
2000-12-04,1095072480
2000-12-05,1223740000
2000-12-06,1162902640
2000-12-07,1186678160
2000-12-08,1210453680
2000-12-11,1293668000
2000-12-12,1295765840
2000-12-13,1274088160
2000-12-14,1210453680
2000-12-15,1217446480
2000-12-18,1239124160
2000-12-19,1171294000
2000-12-20,1085981840
2000-12-21,1077590480
2000-12-22,1125141520
2000-12-26,1171294000
2000-12-27,1153812000
2000-12-28,1206258000
2000-12-29,1177587520
2001-01-02,1099268160
2001-01-03,1227935680
2001-01-04,1221642160
2001-01-05,1206258000
2001-01-08,1149616320
2001-01-09,1182482480
2001-01-10,1204160160
2001-01-11,1202062320
2001-01-12,1188776000
2001-01-16,1202062320
2001-01-17,1219544320
2001-01-18,1210453680
2001-01-19,1142623520
2001-01-22,1048920000
2001-01-23,1085981840
2001-01-24,1107659520
2001-01-25,1140525680
2001-01-26,1088079680
2001-01-29,1092275360
2001-01-30,1111855200
2001-01-31,1118848000
2001-02-01,1139826400
2001-02-02,1127938640
2001-02-05,1152413440
2001-02-06,1192971680
2001-02-07,1171993280
2001-02-08,1120246560
2001-02-09,1076191920
2001-02-12,1083184720
2001-02-13,1120945840
2001-02-14,1100666720
2001-02-15,1097869600
2001-02-16,1069199119
2001-02-20,1037032240
2001-02-21,1006963200
2001-02-22,943328720
2001-02-23,939832320
2001-02-26,985984800
2001-02-27,981789119
2001-02-28,997920360
2001-03-01,971509020
2001-03-02,995778900
2001-03-05,1022190240
2001-03-06,1052170680
2001-03-07,1042891020
2001-03-08,1069302360
2001-03-09,1021476420
2001-03-12,971509020
2001-03-13,980074860
2001-03-14,938673300
2001-03-15,981502500
2001-03-16,937959480
2001-03-19,965798460
2001-03-20,990782160
2001-03-21,1035039000
2001-03-22,1027900800
2001-03-23,1060022700
2001-03-26,1106421000
2001-03-27,1131404700
2001-03-28,1129263240
2001-03-29,1159243680
2001-03-30,1164954240
2001-04-02,1121411220
2001-04-03,1074299100
2001-04-04,1070016180
2001-04-05,1016479680
2001-04-06,948666779
2001-04-09,1004344740
2001-04-10,1035039000
2001-04-11,1019334960
2001-04-12,994351260
2001-04-16,1025045520
2001-04-17,1011482940
2001-04-18,1033611360
2001-04-19,1040749560
2001-04-20,1030756080
2001-04-23,1018621140
2001-04-24,1043604840
2001-04-25,1110703920
2001-04-26,1117842120
2001-04-27,1111417740
2001-04-30,1078582020
2001-05-01,1066447080
2001-05-02,1070730000
2001-05-03,1021476420
2001-05-04,1052884500
2001-05-07,1075726740
2001-05-08,1094999880
2001-05-09,1067874720
2001-05-10,1088575500
2001-05-11,1044318660
2001-05-14,1037180460
2001-05-15,1062164160
2001-05-16,1033611360
2001-05-17,1017193500
2001-05-18,1013624400
2001-05-21,974364300
2001-05-22,962229360
2001-05-23,926538360
2001-05-24,928679820
2001-05-25,910120500
2001-05-29,888705900
2001-05-30,899413200
2001-05-31,940946720
2001-06-01,977962720
2001-06-04,975741760
2001-06-05,975741760
2001-06-06,962416000
2001-06-07,1003873920
2001-06-08,1025343200
2001-06-11,1000172320
2001-06-12,966117600
2001-06-13,965377279
2001-06-14,942427360
2001-06-15,956493440
2001-06-18,964636960
2001-06-19,967598240
2001-06-20,1043851200
2001-06-21,1083088160
2001-06-22,1040889920
2001-06-25,1064580160
2001-06-26,1088270400
2001-06-27,1121584800
2001-06-28,1121584800
2001-06-29,1117142880
2001-07-02,1151197600
2001-07-03,1168965280
2001-07-05,1139352480
2001-07-06,1125286400
2001-07-09,1153418560
2001-07-10,1152678240
2001-07-11,1163042720
2001-07-12,1212644160
2001-07-13,1214865120
2001-07-16,1208202240
2001-07-17,1195616800
2001-07-18,1239295680
2001-07-19,1328874400
2001-07-20,1271869760
2001-07-23,1223008640
2001-07-24,1201539360
2001-07-25,1183771680
2001-07-26,1201539360
2001-07-27,1177849120
2001-07-30,1189694240
2001-07-31,1206721600
2001-08-01,1188213600
2001-08-02,1166004000
2001-08-03,1154899200
2001-08-06,1071983360
2001-08-07,1046812480
2001-08-08,1031265760
2001-08-09,1057917279
2001-08-10,1071983360
2001-08-13,1012757760
2001-08-14,1028304480
2001-08-15,1012757760
2001-08-16,1043851200
2001-08-17,1034967360
2001-08-20,1014978720
2001-08-21,1003873920
2001-08-22,1004614240
2001-08-23,1051994720
2001-08-24,1100855840
2001-08-27,1084568800
2001-08-28,1088270400
2001-08-29,1152678240
2001-08-30,1170445920
2001-08-31,1362715131
2001-09-04,1401457341
2001-09-05,1387981790
2001-09-06,1353450689
2001-09-07,1280177379
2001-09-10,1242277391
2001-09-17,1123524094
2001-09-18,1158055195
2001-09-19,1154686307
2001-09-20,1111732987
2001-09-21,1073832999
2001-09-24,1148790753
2001-09-25,1178268522
2001-09-26,1185006297
2001-09-27,1178268522
2001-09-28,1196797405
2001-10-01,1175741856
2001-10-02,1194270739
2001-10-03,1282704045
2001-10-04,1251541832
2001-10-05,1279335157
2001-10-08,1256595164
2001-10-09,1265017383
2001-10-10,1361872909
2001-10-11,1427566222
2001-10-12,1346712914
2001-10-15,1320604033
2001-10-16,1286072932
2001-10-17,1231328505
2001-10-18,1200166293
2001-10-19,1229644061
2001-10-22,1228801839
2001-10-23,1237224059
2001-10-24,1227959617
2001-10-25,1238908503
2001-10-26,1278492935
2001-10-29,1217852954
2001-10-30,1174899634
2001-10-31,1244804056
2001-11-01,1323972921
2001-11-02,1301232928
2001-11-05,1320604033
2001-11-06,1334079584
2001-11-07,1382086236
2001-11-08,1345870692
2001-11-09,1310497369
2001-11-12,1373664016
2001-11-13,1430092888
2001-11-14,1433461775
2001-11-15,1358504021
2001-11-16,1368610685
2001-11-19,1373664016
2001-11-20,1317235145
2001-11-21,1334921806
2001-11-23,1353450689
2001-11-26,1332395140
2001-11-27,1318919589
2001-11-28,1320604033
2001-11-29,1339132916
2001-11-30,1433893000
2001-12-03,1423657000
2001-12-04,1457777000
2001-12-05,1560990000
2001-12-06,1546489000
2001-12-07,1543077000
2001-12-10,1523458000
2001-12-11,1533694000
2001-12-12,1613023000
2001-12-13,1612169999
2001-12-14,1631789000
2001-12-17,1665056000
2001-12-18,1690646000
2001-12-19,1738414000
2001-12-20,1702588000
2001-12-21,1663350000
2001-12-24,1726471999
2001-12-26,1744385000
2001-12-27,1727325000
2001-12-28,1747796999
2001-12-31,1710265000
2002-01-02,1688940000
2002-01-03,1669321000
2002-01-04,1663350000
2002-01-07,1661644000
2002-01-08,1640319000
2002-01-09,1663350000
2002-01-10,1646290000
2002-01-11,1607905000
2002-01-14,1631789000
2002-01-15,1659085000
2002-01-16,1643731000
2002-01-17,1674439000
2002-01-18,1685528000
2002-01-22,1717942000
2002-01-23,1701735000
2002-01-24,1752062000
2002-01-25,1766563000
2002-01-28,1810919000
2002-01-29,1827979000
2002-01-30,1845892000
2002-01-31,1836509000
2002-02-01,1811771999
2002-02-04,1835656000
2002-02-05,1797271000
2002-02-06,1738414000
2002-02-07,1692352000
2002-02-08,1693205000
2002-02-11,1754621000
2002-02-12,1777652000
2002-02-13,1769975000
2002-02-14,1778505000
2002-02-15,1761444999
2002-02-19,1736708000
2002-02-20,1714530000
2002-02-21,1735855000
2002-02-22,1708559000
2002-02-25,1784476000
2002-02-26,1825419999
2002-02-27,1832244000
2002-02-28,1863253440
2002-03-01,1902533760
2002-03-04,1929859200
2002-03-05,1872646560
2002-03-06,1930713120
2002-03-07,1899118079
2002-03-08,1877770079
2002-03-11,1910219040
2002-03-12,1933274880
2002-03-13,1899972000
2002-03-14,1844467200
2002-03-15,1824827040
2002-03-18,1782984960
2002-03-19,1812872160
2002-03-20,1770176160
2002-03-21,1729188000
2002-03-22,1847028960
2002-03-25,1784692799
2002-03-26,1895702400
2002-03-27,1877770079
2002-03-28,1853006400
2002-04-01,1826534880
2002-04-02,1814580000
2002-04-03,1861545600
2002-04-04,1855568160
2002-04-05,1881185760
2002-04-08,1953768960
2002-04-09,1981094400
2002-04-10,1972555200
2002-04-11,1948645440
2002-04-12,2000734560
2002-04-15,1971701280
2002-04-16,1966577760
2002-04-17,1973409120
2002-04-18,1954622880
2002-04-19,1981948320
2002-04-22,2086980480
2002-04-23,2149316640
2002-04-24,2124552960
2002-04-25,2132238240
2002-04-26,2079295200
2002-04-29,2117721600
2002-04-30,2128822560
2002-05-01,2201405760
2002-05-02,2238124320
2002-05-03,2257764480
2002-05-06,2183473440
2002-05-07,2231292960
2002-05-08,2209944960
2002-05-09,2200551840
2002-05-10,2151878400
2002-05-13,2174934240
2002-05-14,2258618400
2002-05-15,2215922400
2002-05-16,2156148000
2002-05-17,2209944960
2002-05-20,2209944960
2002-05-21,2151878400
2002-05-22,2138215680
2002-05-23,2213360640
2002-05-24,2245809600
2002-05-28,2227023360
2002-05-29,2193720480
2002-05-30,2168102880
2002-05-31,2097574920
2002-06-03,2035713960
2002-06-04,1969783200
2002-06-05,2008853280
2002-06-06,2021876640
2002-06-07,2060132760
2002-06-10,2043853560
2002-06-11,2034086039
2002-06-12,2012923080
2002-06-13,1914433920
2002-06-14,1896526800
2002-06-17,1968969240
2002-06-18,2009667240
2002-06-19,2048737320
2002-06-20,2104900560
2002-06-21,2121179760
2002-06-24,2142342720
2002-06-25,2055249000
2002-06-26,2101644720
2002-06-27,2079667800
2002-06-28,2095947000
2002-07-01,2136645000
2002-07-02,2028388320
2002-07-03,2043039600
2002-07-05,2112226200
2002-07-08,2114668080
2002-07-09,2116296000
2002-07-10,2021876640
2002-07-11,2012923080
2002-07-12,1976294880
2002-07-15,1981992600
2002-07-16,1854200880
2002-07-17,1866410280
2002-07-18,1856642760
2002-07-19,1748386080
2002-07-22,1643385240
2002-07-23,1732106880
2002-07-24,1821642480
2002-07-25,1804549320
2002-07-26,1776060720
2002-07-29,1945364400
2002-07-30,1925015400
2002-07-31,1881061560
2002-08-01,1851759000
2002-08-02,1703618280
2002-08-05,1709316000
2002-08-06,1804549320
2002-08-07,1810247039
2002-08-08,1881061560
2002-08-09,1920945600
2002-08-12,1898154720
2002-08-13,1872108000
2002-08-14,1907922240
2002-08-15,2015364960
2002-08-16,2034900000
2002-08-19,2091877200
2002-08-20,2063388600
2002-08-21,2016992880
2002-08-22,2094319080
2002-08-23,2046295440
2002-08-26,2082923640
2002-08-27,2027574360
2002-08-28,2004783480
2002-08-29,1955945880
2002-08-30,1951876080
2002-09-03,1806492575
2002-09-04,1916292701
2002-09-05,1959571582
2002-09-06,1973997876
2002-09-09,2058151257
2002-09-10,2034107434
2002-09-11,2059754178
2002-09-12,2007659228
2002-09-13,2069371708
2002-09-16,2093415531
2002-09-17,2068570247
2002-09-18,2013269454
2002-09-19,1882631348
2002-09-20,1951556974
2002-09-23,1943542367
2002-09-24,1885035731
2002-09-25,1933924838
2002-09-26,2018078218
2002-09-27,1958770121
2002-09-30,1957167200
2002-10-01,2027695748
2002-10-02,1988424170
2002-10-03,1893851799
2002-10-04,1806492575
2002-10-07,1723942116
2002-10-08,1790463360
2002-10-09,1687074920
2002-10-10,1748787400
2002-10-11,1791264820
2002-10-14,1773632684
2002-10-15,1889043034
2002-10-16,1827330555
2002-10-17,2001247542
2002-10-18,1960373043
2002-10-21,2053342492
2002-10-22,1984416866
2002-10-23,2019681140
2002-10-24,1960373043
2002-10-25,1931520455
2002-10-28,1853778761
2002-10-29,1866602133
2002-10-30,1834543702
2002-10-31,1891447417
2002-11-01,1873815280
2002-11-04,1893851799
2002-11-05,1854580221
2002-11-06,1889043034
2002-11-07,1781647291
2002-11-08,1745581557
2002-11-11,1741574253
2002-11-12,1711118743
2002-11-13,1711118743
2002-11-14,1778441448
2002-11-15,1823323251
2002-11-18,1738368410
2002-11-19,1719133351
2002-11-20,1744780096
2002-11-21,1771228301
2002-11-22,1739169870
2002-11-25,1786456056
2002-11-26,1745581557
2002-11-27,1823323251
2002-11-29,1791264820
2002-12-02,1801447000
2002-12-03,1668869500
2002-12-04,1697795500
2002-12-05,1695385000
2002-12-06,1729132000
2002-12-09,1688957000
2002-12-10,1650389000
2002-12-11,1659227500
2002-12-12,1696188500
2002-12-13,1655210000
2002-12-16,1730739000
2002-12-17,1735560000
2002-12-18,1762075500
2002-12-19,1766093000
2002-12-20,1778949000
2002-12-23,1752433500
2002-12-24,1746808999
2002-12-26,1758861500
2002-12-27,1722704000
2002-12-30,1707437500
2002-12-31,1721900500
2003-01-02,1835194000
2003-01-03,1767700000
2003-01-06,1750826500
2003-01-07,1760468500
2003-01-08,1793412000
2003-01-09,1817517000
2003-01-10,1817517000
2003-01-13,1799036500
2003-01-14,1786983999
2003-01-15,1771717500
2003-01-16,1872958500
2003-01-17,1852067500
2003-01-21,1862513000
2003-01-22,1856085000
2003-01-23,1888225000
2003-01-24,1848853500
2003-01-27,1792608500
2003-01-28,1819927500
2003-01-29,1835194000
2003-01-30,1778949000
2003-01-31,1796626000
2003-02-03,1811089000
2003-02-04,1801447000
2003-02-05,1856888500
2003-02-06,1811892500
2003-02-07,1784573500
2003-02-10,1837604500
2003-02-11,1848050000
2003-02-12,1818320500
2003-02-13,1783770000
2003-02-14,1843229000
2003-02-18,1916347500
2003-02-19,1892242500
2003-02-20,1864923500
2003-02-21,1923579000
2003-02-24,1898670500
2003-02-25,1950898000
2003-02-26,1918758000
2003-02-27,1902688000
2003-02-28,1858271800
2003-03-03,1867781080
2003-03-04,1757631920
2003-03-05,1737820920
2003-03-06,1720387240
2003-03-07,1763179000
2003-03-10,1724349440
2003-03-11,1713255280
2003-03-12,1734651160
2003-03-13,1791706840
2003-03-14,1802801000
2003-03-17,1844007880
2003-03-18,1822612000
2003-03-19,1866988640
2003-03-20,1875705480
2003-03-21,1926421640
2003-03-24,1851932280
2003-03-25,1865403760
2003-03-26,1842423000
2003-03-27,1838460800
2003-03-28,1824196880
2003-03-31,1801216120
2003-04-01,1808348080
2003-04-02,1881252559
2003-04-03,1882045000
2003-04-04,1852724720
2003-04-07,1846385200
2003-04-08,1856686920
2003-04-09,1842423000
2003-04-10,1844007880
2003-04-11,1846385200
2003-04-14,1859064240
2003-04-15,1874120600
2003-04-16,1866196200
2003-04-17,1885214760
2003-04-21,1892346720
2003-04-22,1969213400
2003-04-23,1977930240
2003-04-24,1947817519
2003-04-25,1900271120
2003-04-28,1941478000
2003-04-29,1943062880
2003-04-30,1952572160
2003-05-01,1901063559
2003-05-02,1912157720
2003-05-05,1901856000
2003-05-06,1893139160
2003-05-07,1959704120
2003-05-08,1958119240
2003-05-09,2000911000
2003-05-12,2069060840
2003-05-13,2068268400
2003-05-14,2046080080
2003-05-15,2065891080
2003-05-16,2047664960
2003-05-19,2000911000
2003-05-20,2011212720
2003-05-21,2029438840
2003-05-22,2193473920
2003-05-23,2271925480
2003-05-27,2269548160
2003-05-28,2389999040
2003-05-29,2375735120
2003-05-30,2476375000
2003-06-02,2413823700
2003-06-03,2371039200
2003-06-04,2453496600
2003-06-05,2525063400
2003-06-06,2436382800
2003-06-09,2350035900
2003-06-10,2407600500
2003-06-11,2605965000
2003-06-12,2605965000
2003-06-13,2659640100
2003-06-16,2774769300
2003-06-17,2759211300
2003-06-18,2697757200
2003-06-19,2721094199
2003-06-20,2499392700
2003-06-23,2513394900
2003-06-24,2519618100
2003-06-25,2439494400
2003-06-26,2523507600
2003-06-27,2462831400
2003-06-30,2410712100
2003-07-01,2450385000
2003-07-02,2487724200
2003-07-03,2455830300
2003-07-07,2555401500
2003-07-08,2586517500
2003-07-09,2535176100
2003-07-10,2480723100
2003-07-11,2478389400
2003-07-14,2515728600
2003-07-15,2377262400
2003-07-16,2375706600
2003-07-17,2321253600
2003-07-18,2324365200
2003-07-21,2260577400
2003-07-22,2303361900
2003-07-23,2287026000
2003-07-24,2252798400
2003-07-25,2271468000
2003-07-28,2245797300
2003-07-29,2222460300
2003-07-30,2252798400
2003-07-31,2202234900
2003-08-01,2171896800
2003-08-04,2188232700
2003-08-05,2144670300
2003-08-06,2227127700
2003-08-07,2243463600
2003-08-08,2290137600
2003-08-11,2254354200
2003-08-12,2258243700
2003-08-13,2189010600
2003-08-14,2203012800
2003-08-15,2214681300
2003-08-18,2210013900
2003-08-19,2259799500
2003-08-20,2239574100
2003-08-21,2281580700
2003-08-22,2235684600
2003-08-25,2243463600
2003-08-26,2227127700
2003-08-27,2190566400
2003-08-28,2244241500
2003-08-29,2225571900
2003-09-02,2235030492
2003-09-03,2335455060
2003-09-04,2335455060
2003-09-05,2295752323
2003-09-08,2304315659
2003-09-09,2238144432
2003-09-10,2110472889
2003-09-11,2136941379
2003-09-12,2175865630
2003-09-15,2242036857
2003-09-16,2315992934
2003-09-17,2259942013
2003-09-18,2320663844
2003-09-19,2292638383
2003-09-22,2213232911
2003-09-23,2273176258
2003-09-24,2254492617
2003-09-25,2261498983
2003-09-26,2249821707
2003-09-29,2286410503
2003-09-30,2322220814
2003-10-01,2498936914
2003-10-02,2484145698
2003-10-03,2467797513
2003-10-06,2537861165
2003-10-07,2519177524
2003-10-08,2567443595
2003-10-09,2595469056
2003-10-10,2579899356
2003-10-13,2637507247
2003-10-14,2646849068
2003-10-15,2553430865
2003-10-16,2562772685
2003-10-17,2539418135
2003-10-20,2561994200
2003-10-21,2588462691
2003-10-22,2575228446
2003-10-23,2625051487
2003-10-24,2587684206
2003-10-27,2617266637
2003-10-28,2650741493
2003-10-29,2695893624
2003-10-30,2670203618
2003-10-31,2666311193
2003-11-03,2695893624
2003-11-04,2708349384
2003-11-05,2792425766
2003-11-06,2777634551
2003-11-07,2646849068
2003-11-10,2583791781
2003-11-11,2629722397
2003-11-12,2675653013
2003-11-13,2685773319
2003-11-14,2641399672
2003-11-17,2631279367
2003-11-18,2602475421
2003-11-19,2607924817
2003-11-20,2606367846
2003-11-21,2650741493
2003-11-24,2685773319
2003-11-25,2698229079
2003-11-26,2671760588
2003-11-28,2681102408
2003-12-01,2750387680
2003-12-02,2736291160
2003-12-03,2694784739
2003-12-04,2651712040
2003-12-05,2656410880
2003-12-08,2750387680
2003-12-09,2679121940
2003-12-10,2549903840
2003-12-11,2603157360
2003-12-12,2614121320
2003-12-15,2580446300
2003-12-16,2577313739
2003-12-17,2584362000
2003-12-18,2630567260
2003-12-19,2740990000
2003-12-22,2851412739
2003-12-23,2909365100
2003-12-24,2883521480
2003-12-26,2915630219
2003-12-29,2892919160
2003-12-30,2858461000
2003-12-31,2839665640
2004-01-02,2762134780
2004-01-05,2675206239
2004-01-06,2737074300
2004-01-07,2707314980
2004-01-08,2596892239
2004-01-09,2632133540
2004-01-12,2595325960
2004-01-13,2582795719
2004-01-14,2634482960
2004-01-15,2681471360
2004-01-16,2695567880
2004-01-20,2655627739
2004-01-21,2776231300
2004-01-22,2799725500
2004-01-23,2776231300
2004-01-26,2761351640
2004-01-27,2786412120
2004-01-28,2606289920
2004-01-29,2625868420
2004-01-30,2644663780
2004-02-02,2686953340
2004-02-03,2701833000
2004-02-04,2636049239
2004-02-05,2623519000
2004-02-06,2736291160
2004-02-09,2690085900
2004-02-10,2674423100
2004-02-11,2746471980
2004-02-12,2723760920
2004-02-13,2709664400
2004-02-17,2764484200
2004-02-18,2724544060
2004-02-19,2722194640
2004-02-20,2651712040
2004-02-23,2626651560
2004-02-24,2638398660
2004-02-25,2675989380
2004-02-26,2759002219
2004-02-27,2833400520
2004-03-01,3019736320
2004-03-02,3008680800
2004-03-03,2981042000
2004-03-04,3048164800
2004-03-05,3108180480
2004-03-08,3094755920
2004-03-09,3090807520
2004-03-10,3019736320
2004-03-11,3013418879
2004-03-12,3069486160
2004-03-15,3086069440
2004-03-16,3129501840
2004-03-17,3123184400
2004-03-18,3097914639
2004-03-19,3051323520
2004-03-22,3029212480
2004-03-23,3074224240
2004-03-24,3071855200
2004-03-25,3099494000
2004-03-26,3108180480
2004-03-29,3112918560
2004-03-30,3193465920
2004-03-31,3190307200
2004-04-01,3166616800
2004-04-02,3024474400
2004-04-05,2972355520
2004-04-06,3014998240
2004-04-07,2993676879
2004-04-08,2945506400
2004-04-12,2916288240
2004-04-13,2883121680
2004-04-14,2872066160
2004-04-15,2862590000
2004-04-16,2902074000
2004-04-19,2851534480
2004-04-20,2768618080
2004-04-21,2811260800
2004-04-22,2879962960
2004-04-23,2835740879
2004-04-26,2832582160
2004-04-27,2882332000
2004-04-28,2805733040
2004-04-29,2736241200
2004-04-30,2721237280
2004-05-03,2740189600
2004-05-04,2738610240
2004-05-05,2740189600
2004-05-06,2667539040
2004-05-07,2531714080
2004-05-10,2451956400
2004-05-11,2457484160
2004-05-12,2464591280
2004-05-13,2487492000
2004-05-14,2532503760
2004-05-17,2482753920
2004-05-18,2484333280
2004-05-19,2410893040
2004-05-20,2412472400
2004-05-21,2459853200
2004-05-24,2531714080
2004-05-25,2642269280
2004-05-26,2582253600
2004-05-27,2599626560
2004-05-28,2601205920
2004-06-01,5083986239
2004-06-02,5094882719
2004-06-03,5034173760
2004-06-04,5104222560
2004-06-07,5314368960
2004-06-08,5105779200
2004-06-09,4928322240
2004-06-10,4925208960
2004-06-14,4796007840
2004-06-15,4934548800
2004-06-16,4959455040
2004-06-17,5119788960
2004-06-18,5152478400
2004-06-21,5144695200
2004-06-22,5213187360
2004-06-23,5319038880
2004-06-24,5454466560
2004-06-25,5378191200
2004-06-28,5258329920
2004-06-29,5242763520
2004-06-30,5342388480
2004-07-01,5277009600
2004-07-02,5379747840
2004-07-06,5272339680
2004-07-07,5275452960
2004-07-08,5029503840
2004-07-09,5055966719
2004-07-12,5040400320
2004-07-13,5152478400
2004-07-14,5074646400
2004-07-15,5093326080
2004-07-16,5220970560
2004-07-19,5163374880
2004-07-20,5097996000
2004-07-21,4970351520
2004-07-22,5082429600
2004-07-23,5026390560
2004-07-26,4894076160
2004-07-27,4892519520
2004-07-28,4912755840
2004-07-29,5017050719
2004-07-30,4985917920
2004-08-02,4999927680
2004-08-03,4959455040
2004-08-04,5004597600
2004-08-05,5009267520
2004-08-06,5046626880
2004-08-09,4965681600
2004-08-10,5112005760
2004-08-11,5080872960
2004-08-12,4953228480
2004-08-13,5026390560
2004-08-16,5171158080
2004-08-17,5252103360
2004-08-18,5301915840
2004-08-19,5248990080
2004-08-20,5337718560
2004-08-23,5395314239
2004-08-24,5354841600
2004-08-25,5311255680
2004-08-26,5361068160
2004-08-27,5376634560
2004-08-30,5272339680
2004-08-31,5515743320
2004-09-01,5655280880
2004-09-02,5642449840
2004-09-03,5676131320
2004-09-07,5961621960
2004-09-08,5934356000
2004-09-09,6022569400
2004-09-10,6025777160
2004-09-13,6150879800
2004-09-14,6197392320
2004-09-15,6093140120
2004-09-16,6150879800
2004-09-17,6192580680
2004-09-20,6115594440
2004-09-21,6684971840
