,FTV
2017-11-27,21195809000
2017-11-28,21348973000
2017-11-29,21387264000
2017-11-30,21745807000
2017-12-01,21724921000
2017-12-04,21623972000
2017-12-05,21251505000
2017-12-06,21348973000
2017-12-07,21439479000
2017-12-08,21467327000
2017-12-11,21268910000
2017-12-12,21126189000
2017-12-13,21091379000
2017-12-14,20798975000
2017-12-15,20990430000
2017-12-18,21185366000
2017-12-19,21185366000
2017-12-20,21261948000
2017-12-21,21206252000
2017-12-22,21108784000
2017-12-26,21154037000
2017-12-27,21080936000
2017-12-28,21119227000
2017-12-29,21073974000
2018-01-02,21114702000
2018-01-03,21125160000
2018-01-04,21658518000
2018-01-05,21411012000
2018-01-08,21369180000
2018-01-09,21522564000
2018-01-10,21299460000
2018-01-11,21501648000
2018-01-12,21724752000
2018-01-16,21585312000
2018-01-17,21801444000
2018-01-18,21721266000
2018-01-19,21749154000
2018-01-22,21644574000
2018-01-23,21895566000
2018-01-24,21982716000
2018-01-25,21822360000
2018-01-26,22338288000
2018-01-29,22282512000
2018-01-30,22177932000
2018-01-31,22177932000
2018-02-01,22038492000
2018-02-02,21979230000
2018-02-05,20905542000
2018-02-06,21034524000
2018-02-07,20912514000
2018-02-08,20169996000
2018-02-09,21135618000
2018-02-12,21675948000
2018-02-13,21627144000
2018-02-14,21641088000
2018-02-15,21902538000
2018-02-16,22069866000
2018-02-20,22125642000
2018-02-21,22174446000
2018-02-22,22369662000
2018-02-23,22502130000
2018-02-26,22742664000
2018-02-27,22683401999
2018-02-28,22404522000
2018-03-01,21790986000
2018-03-02,21585312000
2018-03-05,21662004000
2018-03-06,21912996000
2018-03-07,22742664000
2018-03-08,22857701999
2018-03-09,23415462000
2018-03-12,22909992000
2018-03-13,22749636000
2018-03-14,22641570000
2018-03-15,22784496000
2018-03-16,22819355999
2018-03-19,22690374000
2018-03-20,22801926000
2018-03-21,22854216000
2018-03-22,22373148000
2018-03-23,22177932000
2018-03-26,22781009999
2018-03-27,22404522000
2018-03-28,22359204000
2018-03-29,22613682000
2018-04-02,22044996000
2018-04-03,22296420000
2018-04-04,22394196000
2018-04-05,22624668000
2018-04-06,21835476000
2018-04-09,21657384000
2018-04-10,22149756000
2018-04-11,21755160000
2018-04-12,21842460000
2018-04-13,21828492000
2018-04-16,21992616000
2018-04-17,22422131999
2018-04-18,22540860000
2018-04-19,22432608000
2018-04-20,22425624000
2018-04-23,22296420000
2018-04-24,21346596000
2018-04-25,21098664000
2018-04-26,21119616000
2018-04-27,20836764000
2018-04-30,20546928000
2018-05-01,21049776000
2018-05-02,20899620000
2018-05-03,21189456000
2018-05-04,21416436000
2018-05-07,21489768000
2018-05-08,21695796000
2018-05-09,21982140000
2018-05-10,22072932000
2018-05-11,22097376000
2018-05-14,22296420000
2018-05-15,22282452000
2018-05-16,22436100000
2018-05-17,22603716000
2018-05-18,22753872000
2018-05-21,22680540000
2018-05-22,22240548000
2018-05-23,22261500000
2018-05-24,22254516000
2018-05-25,22065948000
2018-05-29,21629448000
2018-05-30,21678336000
2018-05-31,21241836000
2018-06-01,21570084000
2018-06-04,21695796000
2018-06-05,21713256000
2018-06-06,21905316000
2018-06-07,22788792000
2018-06-08,22851648000
2018-06-11,22900536000
2018-06-12,22876092000
2018-06-13,22820219999
2018-06-14,23413860000
2018-06-15,23689728000
2018-06-18,23487192000
2018-06-19,23089104000
2018-06-20,23026248000
2018-06-21,22823712000
2018-06-22,22746888000
2018-06-25,22684031999
2018-06-26,21975156000
2018-06-27,21856428000
2018-06-28,22149756000
2018-06-29,22579047000
2018-07-02,22474077000
2018-07-03,22411095000
2018-07-05,22586045000
2018-07-06,22610538000
2018-07-09,22809981000
2018-07-10,22565051000
2018-07-11,22323620000
2018-07-12,22530061000
2018-07-13,22610538000
2018-07-16,22386602000
2018-07-17,22712009000
2018-07-18,22698013000
2018-07-19,22726005000
2018-07-20,22733003000
2018-07-23,22306125000
2018-07-24,22666522000
2018-07-25,23138887000
2018-07-26,23779203999
2018-07-27,23369821000
2018-07-30,23352326000
2018-07-31,24034631000
2018-08-01,23698727000
2018-08-02,23695228000
2018-08-03,23779203999
2018-08-06,23705725000
2018-08-07,23800198000
2018-08-08,23653239999
2018-08-09,23495785000
