,SO
2000-07-07,9616829070
2000-07-10,9792152760
2000-07-11,9844100520
2000-07-12,9668776830
2000-07-13,9694750710
2000-07-14,9571374780
2000-07-17,9571374780
2000-07-18,9642802950
2000-07-19,9967476450
2000-07-20,9967476450
2000-07-21,9993450330
2000-07-24,9915528690
2000-07-25,9889554810
2000-07-26,9668776830
2000-07-27,9792152760
2000-07-28,9844100520
2000-07-31,9694750710
2000-08-01,9941502570
2000-08-02,10363578120
2000-08-03,10493447520
2000-08-04,10512927930
2000-08-07,10889549190
2000-08-08,11058379410
2000-08-09,10805134080
2000-08-10,10766173259
2000-08-11,10785653670
2000-08-14,10909029600
2000-08-15,10935003480
2000-08-16,10837601430
2000-08-17,10837601430
2000-08-18,10857081840
2000-08-21,10883055720
2000-08-22,10837601430
2000-08-23,11084353290
2000-08-24,11110327170
2000-08-25,11253183509
2000-08-28,11454481080
2000-08-29,11305131270
2000-08-30,11655778650
2000-08-31,11883050100
2000-09-01,11883050100
2000-09-05,12149282370
2000-09-06,12370060350
2000-09-07,12597331800
2000-09-08,13051874700
2000-09-11,13123302870
2000-09-12,13240185330
2000-09-13,13512911070
2000-09-14,13038887759
2000-09-15,13045381230
2000-09-18,13136289810
2000-09-19,12519410160
2000-09-20,12149282370
2000-09-21,11876556630
2000-09-22,11928504390
2000-09-25,12344086470
2000-09-26,12792135900
2000-09-27,12701227320
2000-09-28,12720707730
2000-09-29,12876551009
2000-10-02,12945542160
2000-10-03,12463140640
2000-10-04,11881615520
2000-10-05,11709801280
2000-10-06,11782491919
2000-10-09,12112903919
2000-10-10,12086470960
2000-10-11,12185594560
2000-10-12,12060038000
2000-10-13,12159161600
2000-10-16,12060038000
2000-10-17,12086470960
2000-10-18,12060038000
2000-10-19,11908048480
2000-10-20,11934481440
2000-10-23,12086470960
2000-10-24,11908048480
2000-10-25,11531378800
2000-10-26,11432255200
2000-10-27,11656935360
2000-10-30,12007172080
2000-10-31,11861790800
2000-11-01,12139336880
2000-11-02,11729626000
2000-11-03,11782491919
2000-11-06,11656935360
2000-11-07,11584244720
2000-11-08,11557811759
2000-11-09,11584244720
2000-11-10,11656935360
2000-11-13,11782491919
2000-11-14,11379389280
2000-11-15,11656935360
2000-11-16,11934481440
2000-11-17,12516006560
2000-11-20,12212027520
2000-11-21,12086470960
2000-11-22,12139336880
2000-11-24,12139336880
2000-11-27,12060038000
2000-11-28,12185594560
2000-11-29,12390450000
2000-11-30,12740686720
2000-12-01,12516006560
2000-12-04,12588697200
2000-12-05,12264893440
2000-12-06,11808924880
2000-12-07,11352956320
2000-12-08,11557811759
2000-12-11,11630502400
2000-12-12,11729626000
2000-12-13,12311151120
2000-12-14,12112903919
2000-12-15,12264893440
2000-12-18,12588697200
2000-12-19,12562264240
2000-12-20,13249521200
2000-12-21,13143789360
2000-12-22,13295778880
2000-12-26,13599757919
2000-12-27,13573324960
2000-12-28,13474201360
2000-12-29,13421335440
2001-01-02,13446727500
2001-01-03,13030356750
2001-01-04,12095229000
2001-01-05,11883630750
2001-01-08,12197615250
2001-01-09,12224918250
2001-01-10,12040623000
2001-01-11,11392176750
2001-01-12,11699335500
2001-01-16,11596949249
2001-01-17,11467260000
2001-01-18,11521866000
2001-01-19,11753941500
2001-01-22,11965539750
2001-01-23,12013320000
2001-01-24,12197615250
2001-01-25,12327304500
2001-01-26,12115706250
2001-01-29,12265872750
2001-01-30,12286350000
2001-01-31,12170312249
2001-02-01,11869979250
2001-02-02,11979191250
2001-02-05,12115706250
2001-02-06,12197615250
2001-02-07,12279524249
2001-02-08,12532077000
2001-02-09,12586683000
2001-02-12,12743675250
2001-02-13,12695895000
2001-02-14,12600334500
2001-02-15,12340955999
2001-02-16,12648114750
2001-02-20,12866538750
2001-02-21,12736849500
2001-02-22,12750501000
2001-02-23,12579857250
2001-02-26,12695895000
2001-02-27,12852887249
2001-02-28,12907493250
2001-03-01,12921144750
2001-03-02,13050834000
2001-03-05,13098614250
2001-03-06,13030356750
2001-03-07,12907493250
2001-03-08,12996228000
2001-03-09,12907493250
2001-03-12,12846061500
2001-03-13,12620811749
2001-03-14,12375084750
2001-03-15,13235129250
2001-03-16,13248780750
2001-03-19,13453553250
2001-03-20,13555939500
2001-03-21,13617371250
2001-03-22,13344341250
2001-03-23,13235129250
2001-03-26,13863098250
2001-03-27,14054219250
2001-03-28,14293120500
2001-03-29,14409158250
2001-03-30,14634408000
2001-04-02,14805295120
2001-04-03,15176114200
2001-04-04,15038773799
2001-04-05,15148646120
2001-04-06,14743491940
2001-04-09,15100576979
2001-04-10,15299720560
2001-04-11,15375257780
2001-04-12,15224183340
2001-04-16,15519465200
2001-04-17,15787278979
2001-04-18,15656805600
2001-04-19,15320321620
2001-04-20,15354656720
2001-04-23,15574401360
2001-04-24,15910885340
2001-04-25,16000156600
2001-04-26,16020757659
2001-04-27,15835348120
2001-04-30,16061959780
2001-05-01,16034491700
2001-05-02,15849082159
2001-05-03,15361523740
2001-05-04,15423326920
2001-05-07,15512598180
2001-05-08,15416459900
2001-05-09,15450795000
2001-05-10,15629337520
2001-05-11,15519465200
2001-05-14,15574401360
2001-05-15,15409592880
2001-05-16,15450795000
2001-05-17,15512598180
2001-05-18,15450795000
2001-05-21,15471396060
2001-05-22,15595002420
2001-05-23,15759810900
2001-05-24,15849082159
2001-05-25,15732342820
2001-05-29,15656805600
2001-05-30,15849082159
2001-05-31,16164965080
2001-06-01,15945220440
2001-06-04,16261103360
2001-06-05,16316039520
2001-06-06,15993289580
2001-06-07,15787278979
2001-06-08,15787278979
2001-06-11,15931486400
2001-06-12,15965821500
2001-06-13,15759810900
2001-06-14,15430193940
2001-06-15,15595002420
2001-06-18,15636204540
2001-06-19,15794146000
2001-06-20,16068826799
2001-06-21,15807880040
2001-06-22,15897151299
2001-06-25,15835348120
2001-06-26,16034491700
2001-06-27,16219901240
2001-06-28,16130629979
2001-06-29,15965821500
2001-07-02,16123223970
2001-07-03,16137057709
2001-07-05,16116307100
2001-07-06,16026387790
2001-07-09,16171642060
2001-07-10,16303062590
2001-07-11,16185475799
2001-07-12,16081722750
2001-07-13,16143974580
2001-07-16,16337646940
2001-07-17,16309979459
2001-07-18,16303062590
2001-07-19,16185475799
2001-07-20,15943385350
2001-07-23,15791214209
2001-07-24,15625209330
2001-07-25,15528373150
2001-07-26,15888050390
2001-07-27,15894967260
2001-07-30,16247727629
2001-07-31,16254644500
2001-08-01,16330730070
2001-08-02,16323813200
2001-08-03,16738825400
2001-08-06,16185475799
2001-08-07,16316896330
2001-08-08,16026387790
2001-08-09,16213143280
2001-08-10,16012554049
2001-08-13,15888050390
2001-08-14,15971052830
2001-08-15,15881133520
2001-08-16,16012554049
2001-08-17,15818881690
2001-08-20,15908801000
2001-08-21,15888050390
2001-08-22,16109390230
2001-08-23,16019470920
2001-08-24,16019470920
2001-08-27,16157808320
2001-08-28,16171642060
2001-08-29,16116307100
2001-08-30,15908801000
2001-08-31,16026387790
2001-09-04,16164725190
2001-09-05,16171642060
2001-09-06,16323813200
2001-09-07,16503651820
2001-09-10,16413732510
2001-09-17,16565903650
2001-09-18,16766492879
2001-09-19,17112336379
2001-09-20,17741771550
2001-09-21,17672602850
2001-09-24,17326759350
2001-09-25,16946331500
2001-09-26,16787243490
2001-09-27,16462150600
2001-09-28,16586654260
2001-10-01,17236892800
2001-10-02,17403701440
2001-10-03,17758169800
2001-10-04,17772070520
2001-10-05,17980581320
2001-10-08,17869375560
2001-10-09,17424552520
2001-10-10,17361999280
2001-10-11,16958878399
2001-10-12,17063133800
2001-10-15,17361999280
2001-10-16,17688666200
2001-10-17,17626112960
2001-10-18,17209091360
2001-10-19,17487105760
2001-10-22,17257743880
2001-10-23,17132637399
2001-10-24,16819871200
2001-10-25,16868523720
2001-10-26,16812920840
2001-10-29,16903275520
2001-10-30,16715615800
2001-10-31,16611360399
2001-11-01,16680864000
2001-11-02,16333346000
2001-11-05,16819871200
2001-11-06,16875474080
2001-11-07,16680864000
2001-11-08,16757317960
2001-11-09,16805970480
2001-11-12,16701715080
2001-11-13,16680864000
2001-11-14,16437601399
2001-11-15,16284693480
2001-11-16,16402849600
2001-11-19,16124835200
2001-11-20,16423700680
2001-11-21,16173487720
2001-11-23,16333346000
2001-11-26,16333346000
2001-11-27,16201289160
2001-11-28,15985828000
2001-11-29,15812069000
2001-11-30,15812069000
2001-12-03,15853771160
2001-12-04,15958026560
2001-12-05,15944125840
2001-12-06,15721714320
2001-12-07,15839870440
2001-12-10,15777317200
2001-12-11,15534054600
2001-12-12,15930225120
2001-12-13,16236040960
2001-12-14,16173487720
2001-12-17,16194338800
2001-12-18,16527956080
2001-12-19,17139587760
2001-12-20,16993630200
2001-12-21,17042282720
2001-12-24,17348098560
2001-12-26,17619162600
2001-12-27,17653914400
2001-12-28,17653914400
2001-12-31,17770654200
2002-01-02,17875806000
2002-01-03,17623441680
2002-01-04,17392107720
2002-01-07,17371077360
2002-01-08,17307986280
2002-01-09,17188814240
2002-01-10,17300976160
2002-01-11,17343036880
2002-01-14,17595401200
2002-01-15,17700553000
2002-01-16,17672512520
2002-01-17,17581380960
2002-01-18,17721583360
2002-01-22,17525300000
2002-01-23,17364067240
2002-01-24,17588391080
2002-01-25,17441178560
2002-01-28,17413138080
2002-01-29,17209844600
2002-01-30,17167783879
2002-01-31,17279945800
2002-02-01,17279945800
2002-02-04,17258915440
2002-02-05,17209844600
2002-02-06,17174794000
2002-02-07,17420148200
2002-02-08,17518289880
2002-02-11,17518289880
2002-02-12,17462208920
2002-02-13,17693542880
2002-02-14,17728593480
2002-02-15,17539320240
2002-02-19,17392107720
2002-02-20,17553340480
2002-02-21,17357057120
2002-02-22,17616431560
2002-02-25,17805704800
2002-02-26,17735603600
2002-02-27,17896836360
2002-02-28,17805704800
2002-03-01,17980957800
2002-03-04,18093119720
2002-03-05,18268372720
2002-03-06,18345484040
2002-03-07,18352494160
2002-03-08,18254352480
2002-03-11,18219301880
2002-03-12,18149200680
2002-03-13,18065079240
2002-03-14,18163220920
2002-03-15,18450635840
2002-03-18,18415585240
2002-03-19,18527747160
2002-03-20,18429605480
2002-03-21,18752071000
2002-03-22,18773101360
2002-03-25,18590838240
2002-03-26,18681969800
2002-03-27,18688979920
2002-03-28,18569807880
2002-04-01,18713796500
2002-04-02,18911527180
2002-04-03,18890341750
2002-04-04,19045701570
2002-04-05,18847970890
2002-04-08,18946836230
2002-04-09,18862094510
2002-04-10,18925650800
2002-04-11,18678487450
2002-04-12,18883279940
2002-04-15,18551374870
2002-04-16,18847970890
2002-04-17,19052763380
2002-04-18,19596522750
2002-04-19,19977860490
2002-04-22,19843686100
2002-04-23,19977860490
2002-04-24,19766006190
2002-04-25,19610646370
2002-04-26,19525904650
2002-04-29,19730697140
2002-04-30,20020231350
2002-05-01,19886056960
2002-05-02,19822500670
2002-05-03,19893118770
2002-05-06,20041416780
2002-05-07,19963736870
2002-05-08,20048478590
2002-05-09,19893118770
2002-05-10,19695388090
2002-05-13,19857809720
2002-05-14,19857809720
2002-05-15,19547090080
2002-05-16,19081010620
2002-05-17,18671425640
2002-05-20,18960959850
2002-05-21,19088072430
2002-05-22,19716573520
2002-05-23,19829562480
2002-05-24,19638893610
2002-05-28,19540028270
2002-05-29,19264617680
2002-05-30,19278741300
2002-05-31,19066887000
2002-06-03,18819723650
2002-06-04,18855032700
2002-06-05,18706734690
2002-06-06,18184160750
2002-06-07,18113542650
2002-06-10,18403076860
2002-06-11,18494880390
2002-06-12,18586683920
2002-06-13,18869156320
2002-06-14,18636116590
2002-06-17,18862094510
2002-06-18,19144566910
2002-06-19,19045701570
2002-06-20,19045701570
2002-06-21,19236370440
2002-06-24,18890341750
2002-06-25,18749105550
2002-06-26,18558436680
2002-06-27,18996268900
2002-06-28,19349359400
2002-07-01,19223001350
2002-07-02,19322491930
2002-07-03,19116404300
2002-07-05,19258533700
2002-07-08,18952955490
2002-07-09,18711335510
2002-07-10,18121498500
2002-07-11,18491034940
2002-07-12,17972262630
2002-07-15,18618951400
2002-07-16,17865665580
2002-07-17,18078859680
2002-07-18,17759068530
2002-07-19,16977356830
2002-07-22,17396638560
2002-07-23,17034208590
2002-07-24,18597631990
2002-07-25,19130617240
2002-07-26,18931636080
2002-07-29,18924529610
2002-07-30,20082884220
2002-07-31,20452420660
2002-08-01,19578324850
2002-08-02,19642283080
2002-08-05,19905222470
2002-08-06,20509272420
2002-08-07,20324504200
2002-08-08,20459527130
2002-08-09,20210800680
2002-08-12,19997606580
2002-08-13,19741773660
2002-08-14,20601656530
2002-08-15,20125523040
2002-08-16,19898116000
2002-08-19,19940754820
2002-08-20,19898116000
2002-08-21,20303184790
2002-08-22,20622975940
2002-08-23,20168161860
2002-08-26,20416888310
2002-08-27,20225013620
2002-08-28,20338717140
2002-08-29,20182374800
2002-08-30,20580337120
2002-09-03,20089990690
2002-09-04,20040245400
2002-09-05,20182374800
2002-09-06,20296078320
2002-09-09,20360036550
2002-09-10,19798625420
2002-09-11,19613857200
2002-09-12,19080871950
2002-09-13,19294066050
2002-09-16,19393556630
2002-09-17,19045339600
2002-09-18,20075777750
2002-09-19,19699134840
2002-09-20,20097097160
2002-09-23,19706241310
2002-09-24,19770199540
2002-09-25,20260545970
2002-09-26,20544804770
2002-09-27,20317397730
2002-09-30,20553582360
2002-10-01,20839247160
2002-10-02,20596432080
2002-10-03,20724981240
2002-10-04,20482166160
2002-10-07,20967796320
2002-10-08,20753547720
2002-10-09,19289515620
2002-10-10,20632140180
2002-10-11,20610715320
2002-10-14,20667848280
2002-10-15,20710698000
2002-10-16,20075093820
2002-10-17,20667848280
2002-10-18,20610715320
2002-10-21,21560550780
2002-10-22,20860672020
2002-10-23,21103487100
2002-10-24,21074920620
2002-10-25,21724808040
2002-10-28,22031897700
2002-10-29,21617683740
2002-10-30,21817649100
2002-10-31,21210611400
2002-11-01,21053495760
2002-11-04,21174903300
2002-11-05,20982079560
2002-11-06,21067779000
2002-11-07,20339333760
2002-11-08,19553755560
2002-11-11,19639455000
2002-11-12,17975457540
2002-11-13,18196847760
2002-11-14,18339680160
2002-11-15,18896726520
2002-11-18,18732469260
2002-11-19,18611061720
2002-11-20,18532503900
2002-11-21,18432521220
2002-11-22,18953859480
2002-11-25,19182391320
2002-11-26,18782460600
2002-11-27,18668194680
2002-11-29,18682477920
2002-12-02,18211131000
2002-12-03,18825310320
2002-12-04,18839593560
2002-12-05,18825310320
2002-12-06,18939576240
2002-12-09,19482339360
2002-12-10,19689446340
2002-12-11,19753720920
2002-12-12,19889411700
2002-12-13,19889411700
2002-12-16,19889411700
2002-12-17,20032244100
2002-12-18,20160793260
2002-12-19,20460741300
2002-12-20,20603573700
2002-12-23,20360758620
2002-12-24,20567865600
2002-12-26,20682131520
2002-12-27,20325050520
2002-12-30,20367900240
2002-12-31,20410791770
2003-01-02,20834968140
2003-01-03,20928430730
2003-01-06,22150633830
2003-01-07,21366985960
2003-01-08,21259144510
2003-01-09,21259144510
2003-01-10,21223197360
2003-01-13,20957188450
2003-01-14,20914051870
2003-01-15,20921241300
2003-01-16,20676800680
2003-01-17,20482686070
2003-01-21,20410791770
2003-01-22,20590527520
2003-01-23,20799020990
2003-01-24,20295760890
2003-01-27,19993804830
2003-01-28,20648042960
2003-01-29,20849347000
2003-01-30,20151972290
2003-01-31,20252624310
2003-02-03,20719937260
2003-02-04,20453928350
2003-02-05,20159161720
2003-02-06,20489875500
2003-02-07,20389223480
2003-02-10,20849347000
2003-02-11,20619285240
2003-02-12,19921910530
2003-02-13,19972236540
2003-02-14,20310139750
2003-02-18,20374844620
2003-02-19,20331708040
2003-02-20,20259813740
2003-02-21,20324518610
2003-02-24,20238245450
2003-02-25,20403602340
2003-02-26,20259813740
2003-02-27,20310139750
2003-02-28,20281382030
2003-03-03,20417981200
2003-03-04,20281382030
2003-03-05,20547390940
2003-03-06,20533012080
2003-03-07,20439549490
2003-03-10,20137593430
2003-03-11,20216677160
2003-03-12,20360465760
2003-03-13,20432360060
2003-03-14,20389223480
2003-03-17,20741505550
2003-03-18,20827778710
2003-03-19,20705558400
2003-03-20,20748694980
2003-03-21,21021893320
2003-03-24,20791831560
2003-03-25,20993135600
2003-03-26,20554580370
2003-03-27,20475496640
2003-03-28,20576148660
2003-03-31,20608391880
2003-04-01,20688100850
2003-04-02,20608391880
2003-04-03,20427235130
2003-04-04,20593899340
2003-04-07,20470712750
2003-04-08,20419988860
2003-04-09,20289556000
2003-04-10,20333033620
2003-04-11,20246078380
2003-04-14,20644623230
2003-04-15,20833026250
2003-04-16,20695347120
2003-04-17,20825779980
2003-04-21,20659115770
2003-04-22,20876503870
2003-04-23,20753317280
2003-04-24,20862011330
2003-04-25,20890996410
2003-04-28,21086645700
2003-04-29,20883750140
2003-04-30,21079399430
2003-05-01,20659115770
2003-05-02,20746071010
2003-05-05,20854765060
2003-05-06,20702593390
2003-05-07,20767809820
2003-05-08,20796794900
2003-05-09,21057660620
2003-05-12,21166354670
2003-05-13,21072153160
2003-05-14,21006936730
2003-05-15,21050414350
2003-05-16,21470698010
2003-05-19,21275048720
2003-05-20,21550406980
2003-05-21,21340265150
2003-05-22,21557653250
2003-05-23,22644593750
2003-05-27,22811257960
2003-05-28,22876474390
2003-05-29,22340250410
2003-05-30,22811257960
2003-06-02,22753287800
2003-06-03,22876474390
2003-06-04,23050384870
2003-06-05,22434451920
2003-06-06,22318511600
2003-06-09,22325757870
2003-06-10,22166339930
2003-06-11,22543145970
2003-06-12,22775026610
2003-06-13,22492422080
2003-06-16,22818504230
2003-06-17,22789519150
2003-06-18,22847489310
2003-06-19,22890966930
2003-06-20,22912705740
2003-06-23,22825750500
2003-06-24,22702563910
2003-06-25,22456190730
2003-06-26,22832996770
2003-06-27,22630101210
2003-06-30,22741066560
2003-07-01,22281282480
2003-07-02,22128021120
2003-07-03,21974759760
2003-07-07,22120722960
2003-07-08,22025846880
2003-07-09,21660938880
2003-07-10,21018700800
2003-07-11,21383608800
2003-07-14,21098980560
2003-07-15,20770563360
2003-07-16,20412953520
2003-07-17,20624600160
2003-07-18,21215751120
2003-07-21,20661090960
2003-07-22,21128173200
2003-07-23,21164664000
2003-07-24,21179260320
2003-07-25,21128173200
2003-07-28,20894632080
2003-07-29,20792457840
2003-07-30,20945719200
2003-07-31,20755967040
2003-08-01,20529724080
2003-08-04,20602705680
2003-08-05,20259692160
2003-08-06,20595407520
2003-08-07,20653792800
2003-08-08,20661090960
2003-08-11,20522425920
2003-08-12,20726774400
2003-08-13,20588109360
2003-08-14,20610003840
2003-08-15,20529724080
2003-08-18,20456742480
2003-08-19,20427549840
2003-08-20,20434848000
2003-08-21,20434848000
2003-08-22,20347270080
2003-08-25,20537022240
2003-08-26,20537022240
2003-08-27,20799756000
2003-08-28,20763265200
2003-08-29,20712178080
2003-09-02,20974911840
2003-09-03,21077086080
2003-09-04,21106278720
2003-09-05,21142769520
2003-09-08,21493081200
2003-09-09,21317925360
2003-09-10,21376310640
2003-09-11,21186558480
2003-09-12,21266838240
2003-09-15,21106278720
2003-09-16,21274136400
2003-09-17,21069787920
2003-09-18,21376310640
2003-09-19,21354416160
2003-09-22,21033297120
2003-09-23,21215751120
2003-09-24,20953017360
2003-09-25,21128173200
2003-09-26,21456590400
2003-09-29,21719324160
2003-09-30,21560920900
2003-10-01,21744574400
2003-10-02,21795997380
2003-10-03,21678459140
2003-10-06,21627036160
2003-10-07,21604997740
2003-10-08,21531536340
2003-10-09,21744574400
2003-10-10,21744574400
2003-10-13,21604997740
2003-10-14,21744574400
2003-10-15,21472767220
2003-10-16,21612343880
2003-10-17,21560920900
2003-10-20,21759266680
2003-10-21,22155958240
2003-10-22,22126573680
2003-10-23,22258804200
2003-10-24,22273496480
2003-10-27,22266150340
2003-10-28,22332265600
2003-10-29,22280842620
2003-10-30,22067804560
2003-10-31,21891497200
2003-11-03,22053112280
2003-11-04,21898843340
2003-11-05,21832728080
2003-11-06,21715189840
2003-11-07,21582959320
2003-11-10,21656420720
2003-11-11,21487459500
2003-11-12,21487459500
2003-11-13,21531536340
2003-11-14,21531536340
2003-11-17,21421344240
2003-11-18,21076075660
2003-11-19,21369921260
2003-11-20,21127498640
2003-11-21,21046691100
2003-11-24,21186267760
2003-11-25,21311152140
2003-11-26,21538882480
2003-11-28,21502151780
2003-12-01,21656420720
2003-12-02,21715189840
2003-12-03,21818035800
2003-12-04,21803343520
2003-12-05,21869458780
2003-12-08,21788651240
2003-12-09,21649074580
2003-12-10,21575613180
2003-12-11,21656420720
2003-12-12,21781305100
2003-12-15,21744574400
2003-12-16,21707843700
2003-12-17,21847420360
2003-12-18,21891497200
2003-12-19,21979650880
2003-12-22,22155958240
2003-12-23,22200035080
2003-12-24,22082496840
2003-12-26,22031073860
2003-12-29,22111881400
2003-12-30,22236765780
2003-12-31,22283299500
2004-01-02,22143338280
2004-01-05,22143338280
2004-01-06,22158071040
2004-01-07,22099140000
2004-01-08,22099140000
2004-01-09,21988644300
2004-01-12,21973911540
2004-01-13,21907614120
2004-01-14,21914980500
2004-01-15,21841316700
2004-01-16,21679256340
2004-01-20,21856049460
2004-01-21,22150704660
2004-01-22,22158071040
2004-01-23,22275933120
2004-01-26,22187536560
2004-01-27,22246467600
2004-01-28,22349596920
2004-01-29,22113872760
2004-01-30,21951812400
2004-02-02,21826583940
2004-02-03,21730821000
2004-02-04,21598226160
2004-02-05,21436165800
2004-02-06,21539295120
2004-02-09,21517195980
2004-02-10,21686622720
2004-02-11,21671889960
2004-02-12,21789752040
2004-02-13,21730821000
2004-02-17,21797118420
2004-02-18,22032842580
2004-02-19,22106506380
2004-02-20,21973911540
2004-02-23,21878148600
2004-02-24,21841316700
2004-02-25,21944446020
2004-02-26,22135971900
2004-02-27,22334864160
2004-03-01,22408527960
2004-03-02,22327497780
2004-03-03,22334864160
2004-03-04,22401161580
2004-03-05,22563221940
2004-03-08,22504290900
2004-03-09,22577954700
2004-03-10,22334864160
2004-03-11,22180170180
2004-03-12,22209635700
2004-03-15,22364329680
2004-03-16,22423260720
2004-03-17,22740015060
2004-03-18,22437993480
2004-03-19,22217002080
2004-03-22,22003377060
2004-03-23,22054941720
2004-03-24,22062308100
2004-03-25,22209635700
2004-03-26,22386428820
2004-03-29,22452726240
2004-03-30,22511657280
2004-03-31,22514642500
2004-04-01,22581079150
2004-04-02,22411296600
2004-04-05,22344859950
2004-04-06,22330096250
2004-04-07,22211986650
2004-04-08,21975767450
2004-04-12,21702639000
2004-04-13,21562383850
2004-04-14,21488565350
2004-04-15,21628820500
2004-04-16,21813366750
2004-04-19,21591911250
2004-04-20,21407365000
2004-04-21,21444274250
2004-04-22,21555002000
2004-04-23,21577147550
2004-04-26,21769075650
2004-04-27,21650966050
2004-04-28,21481183500
2004-04-29,21178527650
2004-04-30,21230200600
2004-05-03,21311400950
2004-05-04,21363073900
2004-05-05,21215436900
2004-05-06,21355692050
2004-05-07,20757762200
2004-05-10,20676561850
2004-05-11,20661798150
2004-05-12,20565834100
2004-05-13,20624888900
2004-05-14,20853726250
2004-05-17,20661798150
2004-05-18,20861108100
2004-05-19,20765144050
2004-05-20,20779907750
2004-05-21,20742998500
2004-05-24,20883253650
2004-05-25,21333546500
2004-05-26,21237582450
2004-05-27,21444274250
2004-05-28,21348310200
2004-06-01,21377837600
2004-06-02,21555002000
2004-06-03,21422128700
2004-06-04,21510710900
2004-06-07,21621438650
2004-06-08,21451656100
2004-06-09,21185909500
2004-06-10,21318782800
2004-06-14,21178527650
2004-06-15,21348310200
2004-06-16,21296637250
2004-06-17,21318782800
2004-06-18,21377837600
2004-06-21,21510710900
2004-06-22,21495947200
2004-06-23,21562383850
2004-06-24,21518092750
2004-06-25,21444274250
2004-06-28,21540238300
2004-06-29,21348310200
2004-06-30,21551906750
2004-07-01,21337496700
2004-07-02,21463185350
2004-07-06,21389250850
2004-07-07,21396644300
2004-07-08,21418824650
2004-07-09,21404037750
2004-07-12,21418824650
2004-07-13,21367070500
2004-07-14,21596267450
2004-07-15,21692382300
2004-07-16,21810677500
2004-07-19,22010300650
2004-07-20,22099022050
2004-07-21,21914185800
2004-07-22,21736743000
2004-07-23,21721956100
2004-07-26,21729349550
2004-07-27,21773710250
2004-07-28,21810677500
2004-07-29,21544513300
2004-07-30,21648021600
2004-08-02,21744136450
2004-08-03,21744136450
2004-08-04,21884612000
2004-08-05,21699775750
2004-08-06,22069448250
2004-08-09,21988120300
2004-08-10,22017694100
2004-08-11,22076841700
2004-08-12,22143382750
2004-08-13,22054661350
2004-08-16,22099022050
2004-08-17,21995513750
2004-08-18,22128595850
2004-08-19,22002907200
2004-08-20,21928972700
2004-08-23,21965939950
2004-08-24,22039874450
