,TT
2002-12-31,5622945059
2003-01-02,5824967038
2003-01-03,5784562642
2003-01-06,5919243961
2003-01-07,5838435169
2003-01-08,5666716488
2003-01-09,5713854950
2003-01-10,5666716488
2003-01-13,5673450554
2003-01-14,5676817587
2003-01-15,5575806598
2003-01-16,5585907697
2003-01-17,5535402202
2003-01-21,5400720883
2003-01-22,5070751652
2003-01-23,5377151653
2003-01-24,5144826378
2003-01-27,5057283520
2003-01-28,5165028575
2003-01-29,5249204400
2003-01-30,5107789015
2003-01-31,5127991213
2003-02-03,5222268136
2003-02-04,5138092312
2003-02-05,5087586817
2003-02-06,5043815389
2003-02-07,4949538465
2003-02-10,4956272531
2003-02-11,4915868136
2003-02-12,4814857147
2003-02-13,4794654949
2003-02-14,4824958246
2003-02-18,5026980224
2003-02-19,5047182422
2003-02-20,5074118685
2003-02-21,5185230773
2003-02-24,5064017586
2003-02-25,5080852751
2003-02-26,5016879125
2003-02-27,5111156048
2003-02-28,5151560444
2003-03-03,5090953850
2003-03-04,4922602202
2003-03-05,4983208795
2003-03-06,4868729674
2003-03-07,4929336268
2003-03-10,4760984619
2003-03-11,4619569234
2003-03-12,4602734069
2003-03-13,4902400004
2003-03-14,4851894509
2003-03-17,5185230773
2003-03-18,5202065938
2003-03-19,5158294510
2003-03-20,5138092312
2003-03-21,5417556048
2003-03-24,5151560444
2003-03-25,5282874729
2003-03-26,5212167037
2003-03-27,5239103301
2003-03-28,5037081323
2003-03-31,5040448356
2003-04-01,5079353665
2003-04-02,5419109763
2003-04-03,5344363421
2003-04-04,5378339031
2003-04-07,5408917080
2003-04-08,5361351226
2003-04-09,5283207323
2003-04-10,5310387811
2003-04-11,5273014640
2003-04-14,5371543909
2003-04-15,5422507324
2003-04-16,5378339031
2003-04-17,5639951226
2003-04-21,5609373177
2003-04-22,5775853666
2003-04-23,5704504885
2003-04-24,5694312202
2003-04-25,5541421958
2003-04-28,5718095129
2003-04-29,5745275617
2003-04-30,5809829275
2003-05-01,5707902446
2003-05-02,5752070739
2003-05-05,5775853666
2003-05-06,5840407324
2003-05-07,5772456105
2003-05-08,5684119519
2003-05-09,5745275617
2003-05-12,5860792690
2003-05-13,5752070739
2003-05-14,5677324397
2003-05-15,5769058544
2003-05-16,5731685373
2003-05-19,5578795129
2003-05-20,5609373177
2003-05-21,5436097568
2003-05-22,5605975617
2003-05-23,5609373177
2003-05-27,5752070739
2003-05-28,5731685373
2003-05-29,5588987812
2003-05-30,5772456105
2003-06-02,5915153666
2003-06-03,5911756105
2003-06-04,6095224398
2003-06-05,6268500008
2003-06-06,6115609764
2003-06-09,5938936593
2003-06-10,5949129275
2003-06-11,6088429276
2003-06-12,6135995129
2003-06-13,6054453666
2003-06-16,6384017081
2003-06-17,6468956105
2003-06-18,6360234154
2003-06-19,6169970739
2003-06-20,6319463422
2003-06-23,6339848788
2003-06-24,6309270739
2003-06-25,6241319520
2003-06-26,6312668300
2003-06-27,6190356105
2003-06-30,6234524398
2003-07-01,6297373341
2003-07-02,6369520008
2003-07-03,6348906674
2003-07-07,6448537786
2003-07-08,6510377786
2003-07-09,6482893341
2003-07-10,6414182230
2003-07-11,6585960008
2003-07-14,6541297786
2003-07-15,6520684452
2003-07-16,6472586675
2003-07-17,6981048897
2003-07-18,7029146675
2003-07-21,7235280009
2003-07-22,7338346676
2003-07-23,7194053342
2003-07-24,7090986675
2003-07-25,7231844453
2003-07-28,7224973342
2003-07-29,7139084453
2003-07-30,7139084453
2003-07-31,7228408898
2003-08-01,7214666676
2003-08-04,7279942231
2003-08-05,7101293342
2003-08-06,6871111120
2003-08-07,6902031120
2003-08-08,7018840009
2003-08-11,7166568898
2003-08-12,7393315565
2003-08-13,7503253343
2003-08-14,7554786676
2003-08-15,7544480009
2003-08-18,7695644454
2003-08-19,7781533343
2003-08-20,7747177787
2003-08-21,7922391121
2003-08-22,7757484454
2003-08-25,7620062232
2003-08-26,7599448898
2003-08-27,7620062232
2003-08-28,7743742232
2003-08-29,7932697788
2003-09-02,7843373343
2003-09-03,7699080009
2003-09-04,7712822232
2003-09-05,7513560009
2003-09-08,7592577787
2003-09-09,7451720009
2003-09-10,7286813342
2003-09-11,7328040009
2003-09-12,7424235565
2003-09-15,7331475565
2003-09-16,7513560009
2003-09-17,7417364454
2003-09-18,7554786676
2003-09-19,7558222232
2003-09-22,7383008898
2003-09-23,7472333343
2003-09-24,7262764453
2003-09-25,7080680009
2003-09-26,7053195564
2003-09-29,7108164453
2003-09-30,7121906675
2003-10-01,7403067954
2003-10-02,7462320381
2003-10-03,7556427177
2003-10-06,7633106789
2003-10-07,7660990284
2003-10-08,7765553390
2003-10-09,7911941740
2003-10-10,7911941740
2003-10-13,7992106788
2003-10-14,7985135914
2003-10-15,8061815526
2003-10-16,7814349507
2003-10-17,7727213585
2003-10-20,7664475721
2003-10-21,7615679604
2003-10-22,7629621352
2003-10-23,7821320381
2003-10-24,7789951449
2003-10-27,7981650478
2003-10-28,8110611643
2003-10-29,8204718439
2003-10-30,8218660186
2003-10-31,8166378633
2003-11-03,8047873779
2003-11-04,8114097079
2003-11-05,8135009701
2003-11-06,8302310671
2003-11-07,8138495138
2003-11-10,7953766982
2003-11-11,7925883487
2003-11-12,8162893196
2003-11-13,8093184458
2003-11-14,8047873779
2003-11-17,7925883487
2003-11-18,7842233002
2003-11-19,7946796109
2003-11-20,7971194167
2003-11-21,7953766982
2003-11-24,8169864070
2003-11-25,8361563099
2003-11-26,8354592225
2003-11-28,8427786400
2003-12-01,8525378632
2003-12-02,8490524264
2003-12-03,8514922322
2003-12-04,8480067953
2003-12-05,8574174749
2003-12-08,8706621351
2003-12-09,8807699021
2003-12-10,8591601933
2003-12-11,8797242710
2003-12-12,8790271836
2003-12-15,8912262127
2003-12-16,8995912613
2003-12-17,8856495137
2003-12-18,9027281545
2003-12-19,9020310671
2003-12-22,9065621350
2003-12-23,9044708729
2003-12-24,9013339797
2003-12-26,9110932030
2003-12-29,9198067952
2003-12-30,9142300962
2003-12-31,9177155331
2004-01-02,9062135914
2004-01-05,9170184457
2004-01-06,8988941739
2004-01-07,9142300962
2004-01-08,9187611642
2004-01-09,8974999991
2004-01-12,8922718438
2004-01-13,9096990282
2004-01-14,9361883486
2004-01-15,9403708729
2004-01-16,9459475719
2004-01-20,9368854360
2004-01-21,9571009699
2004-01-22,9564038826
2004-01-23,9766194165
2004-01-26,9661631059
2004-01-27,9194582515
2004-01-28,9065621350
2004-01-29,8922718438
2004-01-30,8995912613
2004-02-02,8919233001
2004-02-03,8797242710
2004-02-04,8664796108
2004-02-05,8828611642
2004-02-06,8974999991
2004-02-09,8985456302
2004-02-10,8894834943
2004-02-11,9159728146
2004-02-12,9058650477
2004-02-13,9009854360
2004-02-17,9163213583
2004-02-18,9065621350
2004-02-19,9069106787
2004-02-20,8964543681
2004-02-23,8901805817
2004-02-24,8748446593
2004-02-25,8922718438
2004-02-26,8915747564
2004-02-27,8988941739
2004-03-01,9128359214
2004-03-02,9110932030
2004-03-03,9093504846
2004-03-04,9079563098
2004-03-05,9055165040
2004-03-08,8919233001
2004-03-09,8772844652
2004-03-10,8577660186
2004-03-11,8459155332
2004-03-12,8720563098
2004-03-15,8602058244
2004-03-16,8741475720
2004-03-17,8950601933
2004-03-18,8961058244
2004-03-19,8870436885
2004-03-22,8664796108
2004-03-23,8748446593
2004-03-24,8793757273
2004-03-25,8971514554
2004-03-26,9002883486
2004-03-29,9239893195
2004-03-30,9208524263
2004-03-31,9145786399
2004-04-01,8789181808
2004-04-02,9112090899
2004-04-05,9175999990
2004-04-06,9357636353
2004-04-07,9199545444
2004-04-08,9192818171
2004-04-12,9297090899
2004-04-13,9112090899
2004-04-14,9229818171
2004-04-15,9307181808
2004-04-16,9482090898
2004-04-19,9394636353
2004-04-20,9239909080
2004-04-21,9112090899
2004-04-22,9414818171
2004-04-23,9054909081
2004-04-26,8950636353
2004-04-27,8947272717
2004-04-28,8664727263
2004-04-29,8499909081
2004-04-30,8422545445
2004-05-03,8506636354
2004-05-04,8610909081
2004-05-05,8590727263
2004-05-06,8472999990
2004-05-07,8348545445
2004-05-10,7954999991
2004-05-11,8153454536
2004-05-12,8294727263
2004-05-13,8176999991
2004-05-14,8227454536
2004-05-17,7995363627
2004-05-18,8193818172
2004-05-19,8150090900
2004-05-20,8028999991
2004-05-21,8106363627
2004-05-24,8361999990
2004-05-25,8499909081
2004-05-26,8483090899
2004-05-27,8553727263
2004-05-28,8520090899
2004-06-01,8523454536
2004-06-02,8590727263
2004-06-03,8597454536
2004-06-04,8684909081
2004-06-07,8916999990
2004-06-08,8964090899
2004-06-09,8859818172
2004-06-10,8903545444
2004-06-14,8829545445
2004-06-15,8970818172
2004-06-16,8980909081
2004-06-17,8910272717
2004-06-18,8950636353
2004-06-21,8879999990
2004-06-22,8863181808
2004-06-23,8890090899
2004-06-24,8903545444
2004-06-25,8896818172
2004-06-28,8789181808
2004-06-29,8789181808
2004-06-30,8913636354
2004-07-01,9084649271
2004-07-02,8867527532
2004-07-06,8684869561
2004-07-07,8691762314
2004-07-08,8509104343
2004-07-09,8705547822
2004-07-12,8753797097
2004-07-13,8864081155
2004-07-14,8833063764
2004-07-15,8933008691
2004-07-16,8908884053
2004-07-19,8843402894
2004-07-20,8860634778
2004-07-21,8757243474
2004-07-22,8829617387
2004-07-23,8860634778
2004-07-26,8864081155
2004-07-27,9026060865
2004-07-28,9170808691
2004-07-29,9277646372
2004-07-30,9181147821
2004-08-02,9112220285
2004-08-03,9112220285
2004-08-04,9022614488
2004-08-05,8726226082
2004-08-06,8460855068
2004-08-09,8502211590
2004-08-10,8684869561
2004-08-11,8705547822
2004-08-12,8540121735
2004-08-13,8316107242
2004-08-16,8598710140
2004-08-17,8581478256
2004-08-18,8574585503
2004-08-19,8371249271
2004-08-20,8484979706
2004-08-23,8491872459
2004-08-24,8602156517
